Charge / Procedure Number,CPT / HCPCS Code,Billing Description,CDM Price
5798754,,Head ZI Legacy Femoral 12/14 32mm +10.5  8018-032-05,"2,034.00"
5798755,,STEM ZI FITMORE HIP A SZ 7  01.00551.107,"13,572.00"
5826736,,00000-1378-30 - lactulose 10g/15ml Soln-Oral,5.50
5826737,,00185-0140-01 - etodolac 400 mg Tab,6.65
5826743,,00000-0527-04 - methadone 10 mg/mL Soln-Oral Conc,2.10
5826789,,Plasminogen Activator,294.00
5826790,,Clotting Factor XI,386.00
5826791,,Factor Inhibitor Test,711.00
5826899,,76805 -For Coding OB US >= 14 WKS SNGL FETUS,303.00
5826900,,76810 -For Coding- OB US >= 14 WKS ADDL FETUS,361.00
5826901,,76815 - For Coding- OB US LIMITED 1+ FETUS(S),215.00
5826902,,76818- For Coding FBP W/ NON-STRESS TEST,302.00
5826903,,54162-0725-12 - vitamin E 15 intl units/0.3 mL Sol,126.50
5826917,,"Sigmoidoscopy, flexible; w/directed submucosal injection","2,066.00"
5826918,,Colonoscopy with directed submucosal injection,"5,426.00"
5840513,,Plate sy AO 11H broad  226.61,"1,120.00"
5840514,,Screw sy cannulated 6.5mm x 90mm  208.413,843.00
5840515,,Screw sy cannulated 7.3mm x 145mm  209.945,"1,026.00"
5840516,,Screw NV Armada Polyaxial 4.0mm x 35mm  8454035,"4,368.00"
5840517,,Screw NV Armada Polyaxial 4.5mm x 35mm  8454535,"4,368.00"
5840518,,Rod NV SpheRx Pre-Bent 5.5mm x 30mm  7783030,"1,782.00"
5840519,,Rod NV SpheRx Pre-Bent 5.5mm x 70mm  7783070,"1,962.00"
5840534,,51079-0087-56 - mirtazapine 30 mg Tab,14.00
5840535,,51079-0087-01 - mirtazapine 30 mg Tab,14.00
5840536,,00904-6290-61 - atorvastatin 10 mg Tab,2.50
5840537,,00069-0059-03 - heparin 5000 units/mL Sol,94.20
5855148,,Kiddythotics Functional P3 Size A Purple,463.00
5855149,,Kiddythotics Functional P3 Size B Yellow,463.00
5855150,,Kiddythotics Functional P3 Size C Orange,463.00
5855151,,Kiddythotics Functional P3 Size D Green,463.00
5855152,,Kiddythotics Functional P3 Size E Red,463.00
5855153,,Kiddythotics Functional P3 Size F Blue,463.00
5855154,,Kiddythotics Functional P3 Size G Grey,463.00
5855155,,Lens Alcon MTA4UO 27.0D,255.00
5855156,,Lens Alcon MTA4UO 27.5D,255.00
5855157,,Lens Alcon MTA4UO 28.0D,255.00
5855158,,Lens Alcon MTA4UO 26.5D,255.00
5855159,,Lens Alcon MTA4UO 26.0D,255.00
5855160,,Lens Alcon MTA4UO 25.5D,255.00
5855161,,Lens Alcon MTA4UO 25.0D,255.00
5855176,,CVT Echocardiogram with Contrast,"5,203.00"
5855218,,SACROILIAC JOINT INJECTION W/O FLUOROSCOPY,829.00
5855232,,51672-1264-01 - fluocinonide Top 0.05% Oin - 51672-1264-01,336.10
5868821,,Guide Nerve NeuraGen 2mm x 3cm  PNG230,"10,813.00"
5868823,,Rod NV Armada Pre-Bent 5.5mm x 65mm  8052065,"1,347.00"
5868824,,Screw NV Armada Reduction 5.5mm x 45mm  8275545,"4,949.00"
5868825,,Screw NV Armada Polyaxial 8.5mm x 45mm  8458545,"4,368.00"
5868826,,Screw NV Armada Polyaxial 8.5mm x 40mm  8458540,"4,050.00"
5868827,,Screw NV Armada Polyaxial 7.5mm x 40mm  8457540,"4,050.00"
5868828,,Rod NV Armada Pre-Bent 5.5mm x 60mm  8052060,"1,221.00"
5868846,,00386-0008-02 - pentafluoropropane-tetrafluoroethane Top Spray 103.5 mL - 00386-0008-02,170.00
5868848,,IPV (19+ yrs) 90713 - Immunization Charge,"1,395.00"
5882456,,60758-0119-05 - prednisoLONE ophthalmic acetate 1% Sus,250.80
5882457,,60505-0233-01 - torsemide 10 mg Tab,3.55
5882460,,70450- For Coding CT Head or Brain w/o Contrast,489.00
5882474,,"63323-0468-37 - bupivacaine-EPINEPHrine 0.25%-1:200,000 preservative-free Sol",100.60
5882475,,00409-1582-10 - bupivacaine 0.75% PF Inj Sol 10 mL - 00409-1582-10,58.45
5882476,,63323-0506-01 - dexamethasone 10 mg/mL PF Inj Sol 1 mL - 63323-0506-01,107.60
5896065,,Lens Alcon MTA4UO 24.5D,255.00
5896066,,Lens Alcon MTA4UO 24.0D,255.00
5896067,,Lens Alcon MTA4UO 23.5D,255.00
5896068,,Lens Alcon MTA4UO 23.0D,255.00
5896069,,Lens Alcon MTA4UO 22.5D,255.00
5896070,,Lens Alcon MTA4UO 17.5D,255.00
5896071,,Lens Alcon MTA4UO 13.5D,255.00
5896072,,Lens Alcon MTA4UO 11.0D,255.00
5896073,,Plate ZI ULS T-PLT 3.5mm 3H Head 5H Shaft  4936-035-04,997.00
5896074,,Plate ZI Humeral Peri Prox 6H Rt  2358-001-06,"4,607.00"
5896075,,Tap ZI 3.5mm QC  4811-110-35,"1,450.00"
5896076,,Plate ZI Humeral Peri Prox Lat 8H Rt  2358-001-08,"4,723.00"
5923249,,00406-1144-01 - methylphenidate 10 mg Tab,5.25
5923250,,67767-0153-01 - NIFEdipine 30 mg Tab,7.00
5923251,,00069-0099-01 - vinorelbine 10 mg/mL Sol,214.30
5923566,,00065-0543-01 - triamcinolone 40 mg/mL PF Inj Susp 1 mL - 00065-0543-01,922.40
5937154,,Screw zi znn hex head 3.5mm x 8mm  47-2493-000-00,694.00
5937155,,Screw zi ncb 5.5mm x 44mm  02.03150.044,564.00
5937158,,Plate sy 2.4/2.7mm va-lcp 12hole  02.211.224,"5,074.00"
5937159,,Screw sy cannulated ft 6.5mm x 105mm  208.477,"1,391.00"
5937160,,Screw sy locking va-lcp st 2.7mm x 34mm  02.211.034,463.00
5937161,,Plate sy 3.5mm low profile recon 16hole  245.936,"2,100.00"
5937189,,63739-0375-10 - gabapentin 300 mg Cap,8.30
5937190,,24338-0122-13 - erythromycin 250 mg Tab,44.15
5937192,,16714-0684-03 - simvastatin 40 mg Tab - 16714-0684-03,23.95
5937215,,76282-0225-05 - gemfibrozil 600 mg Tab - 76282-0225-05,11.60
5951146,,Plate sy humerus 2.7/3.5mm ca va-lcp ext medl 2H/lt/85mm/med  02.117.702,"3,822.00"
5951147,,Plate sy humerus 2.7/3.5mm ca va-lcp lat distl 2H/lt/82mm/med  02.117.902,"3,707.00"
5951148,,Plate sy dist rad vlr lcp 9H/lt  02.110.109,"5,857.00"
5951149,,Screw sy cortex 2.0mm x 14mm  201.814,118.00
5951151,,00603-4991-21 - oxyCODONE 15 mg Tab,9.50
5951154,,Barium Thin 6.2oz Bottle (powder),"1,450.00"
5951159,,51991-0188-31 - methylPREDNISolone 4 mg Tab 21's - 51991-0188-31,7.15
5951179,,00024-1596-01 - primaquine 26.3 mg Tab - 00024-1596-01,10.15
5951180,,00054-0434-25 - dipyridamole 25 mg Tab - 00054-0434-25,4.75
5951182,,00603-3857-21 - hydrochlorothiazide 50 mg Tab - 00603-3857-21,0.90
5964771,,Circuit SPU includes Nebulizer 5/Kt,"3,623.00"
5964772,,Nail Zi Znn CPN Fem 11.5mm x 38cm 130 R  47-2493-382-11,"8,218.00"
5964773,,Plate zi reduction 3.5/2.7mm  2360-11-01,"2,460.00"
5964786,,00641-6035-25 - glycopyrrolate 0.2 mg/mL Sol,85.75
5964789,,"Brochoscopy, with bronchial alveolar lavage (BAL)","3,047.00"
5964790,,Bronchoscopy with biopsy(s),"6,145.00"
5964791,,"Biopsy of liver, needle; perc","4,639.00"
5964804,,Eval oral and pharyngeal swallowing function,"1,315.00"
5978395,,Block Zi Nexgen Tibial Augment 5mm Sz 3  5988-003-26,"3,297.00"
5978396,,Plate Sy Matrix Mandible Adaption 1.0mm Thick 8 Hole  04.503.709,"1,794.00"
5978402,,63739-0350-10 - lisinopril 20 mg Tab,6.65
5978405,,64764-0301-14 - pioglitazone 30 mg Tab - 64764-0301-14,118.80
5978407,,68682-0302-10 - pyridostigmine 60 mg Tab,5.65
5978408,,51079-0172-20 - metFORMIN 500 mg Tab,3.90
5978410,,00409-3178-03 - EPI-lidocaine1:100000-1% Injl50mL,93.90
5978411,,00472-0911-45 - metroNIDAZOLE Top 0.75% Crm 45 gm - 00472-0911-45,"1,358.60"
5991998,,Mesh Ventralex ST Hernia 6.2cm/2.5in  5950008,"2,496.00"
5991999,,Pin S&N Ilizarov 4.5mmX30mmX150mm  71070825,781.00
5992000,,Pin S&N Ilizarov 4.5mmX40mmX150mm  71070826,375.00
5992001,,Screw stryker 2.0x5mm  50-20705,179.00
5992002,,Tip Cusa Precision Crvd C4608S,"5,250.00"
6005591,,Plate SY Olecranon Prox 2.7/3.5mm VA-LCP 2H/Rt 02.107.002,"3,001.00"
6005592,,00046-1107-11 - conjugated estrogens-medroxyPROGESTERone 0.625 mg-2.5 mg Tab,38.30
6005593,,00000-5894-01 - simethicone 40 mg / 0.6 mL Soln-Oral,1.00
6021146,,49702-0206-13 - abacavir-lamiVUDine 600 mg-300 mg Tab,239.80
6021147,,00087-6070-05 - metFORMIN 850 mg Tab,10.10
6021148,,00093-5769-56 - OLANZapine 7.5 mg Tab,1.70
6021169,,68180-0311-01 - imipramine 10 mg Tab - 68180-0311-01,2.15
6021170,,"Treatment of missed abortion, 1st tri, completed surgically","6,024.00"
6021175,,Clotting Factor XIII (fibrin stabilizing),384.00
6021176,,00603-5484-32 - propranolol 40 mg Tab,3.60
6034764,,Plate sy low profile recon 3.5mm 6hole  02.100.106,"2,129.00"
6034765,,Plate sy J low profile recon 3.5mm 10holes/lt/130mm,"2,405.00"
6034767,,Plate sy humerus 2.7/3.5mm ca va-lcp ext medl 1h/lt/short  02.117.701,"3,822.00"
6034768,,Screw sy metaphyseal st 2.7mmX20mm  02.118.520,149.00
6034769,,Screw sy metaphyseal st 2.7mmX14mm  02.118.514,149.00
6034770,,Screw sy cortex 1.5mmX11mm  200.011,94.00
6034771,,Plate sy metaphyseal 3.5mm lcp 7hole  223.407,"2,957.00"
6034773,,10019-0926-02 - ifosfamide 3 g Pow,901.70
6034774,,00143-9877-25 - cefOXitin 2 g Pow,258.00
6034775,,31722-0537-12 - levETIRAcetam 500 mg Tab - 31722-0537-12,17.60
6034776,,63323-0482-27 - EPINEPHrine-lidocaine 1:100000-1% Inj Sol 20 mL - 63323-0482-27,95.40
6034802,,13668-0409-90 - losartan 50 mg Tab,11.35
6034803,,00069-0058-01 - heparin 1000 units/mL Sol,88.50
6034805,,13107-0156-30 - PARoxetine 30 mg Tab,14.10
6034806,,00409-2308-01 - midazolam 5 mg/mL PF Inj Sol - 00409-2308-01,6.35
6034807,,61703-0327-22 - dacarbazine 200 mg Pow,247.30
6034808,,61314-0044-75 - trifluridine ophthalmic 1% Sol,655.80
6048396,,"Lens Air Optix Night & Day Plano, BC 8.6, DIA 13.8",126.00
6048397,,08290-3064-24 - heparin flush 100 units/mL Inj Soln 5 mL - 08290-3064-24,85.00
6048398,,Endobronchial Ultrasound during bronchoscopy,"2,809.00"
6048454,,"Paravaginal defect repair, vaginal approach","3,812.00"
6048468,,00603-3740-32 - furosemide 40 mg Tab - 00603-3740-32,0.90
6062057,,Film 8x10 Dryview DVM+ for Mammo 500 Sheets/Cs,"3,829.00"
6062058,,Film 10x12 Dryview DVM+ for Mammo 500 Sheets/Cs,"5,031.00"
6062060,,Clamp ZI XtraFix 75mm 2 Bar 5201-030-06,"14,414.00"
6062061,,67457-0228-05 - rocuronium 10 mg/mL Sol,71.30
6062092,,60432-0126-08 - megestrol 40 mg/mL Sus,3.00
6062097,,67767-0153-01 - NIFEdipine 30 mg ER Tab - 67767-0153-01,7.00
6062102,,63323-0496-97 - lidocaine 2% PF Inj Sol 10 mL - 63323-0496-97,113.80
6062103,,00409-1323-05 - lidocaine 2% PF Inj Sol 5 mL - 00409-1323-05,89.50
6062104,,00832-1211-00 - warfarin 1 mg Tab - 00832-1211-00,3.10
6062105,,00832-1212-00 - warfarin 2 mg Tab - 00832-1212-00,3.25
6062106,,00832-1213-00 - warfarin 2.5 mg Tab - 00832-1213-00,3.35
6062107,,00832-1214-00 - warfarin 3 mg Tab - 00832-1214-00,3.35
6062108,,00832-1215-00 - warfarin 4 mg Tab - 00832-1215-00,3.35
6062109,,00832-1216-00 - warfarin 5 mg Tab - 00832-1216-00,3.45
6062110,,00832-1219-00 - warfarin 10 mg Tab - 00832-1219-00,3.80
6075697,,Screw sy to starl er 2.0mmX4mm  400.254,885.00
6075698,,Plate sy ti box 13mmX8mm 4h  421.095,681.00
6075699,,Plate sy l ti obl 3hX4h 27mm rt  446.53,822.00
6075715,,00781-1695-10 - isosorbide dinitrate 20 mg Tab - 00781-1695-10,6.00
6075716,,76329-1240-05 - phytonadione 1 mg/0.5 mL Sol,62.45
6075719,,00591-3965-01 - progesterone 200 mg Cap - 00591-3965-01,20.35
6075749,,50111-0648-03 - FLUoxetine 20 mg Cap - 50111-0648-03,13.10
6075766,,66993-0877-61 - calcipotriene Top 0.005% Crm 60 gm - 66993-0877-61,"1,800.70"
6089355,,Screw zi cannu 3.5mmX24mm  1147-24-36,522.00
6089356,,Barrier Flat Skin with Floating Flange 2-1/4? Cut to Fit,92.00
6116730,,Screw SY Locking VA-LCP 2.7mmx12mm ST 02.211.012,463.00
6116731,,Screw SY Cortex Star 3.5x26mm ST 02.200.026,82.00
6116732,,Screw SY Cortex Star 3.5x65mm ST 02.200.065,81.00
6116733,,Screw Sy Cannulated 7.3x55mm 208.855,839.00
6116734,,Screw SY Cannulated 7.3mm x60mm 208.860,839.00
6116735,,Screw SY Cortex 2.7mm x36mm ST 202.896,124.00
6116736,,Plate SY L-Fusion VA-LCP 2.4/2.7mm Lt 02.211.259,"2,890.00"
6116737,,Screw SY Locking VA-LCP 2.7mm x36mm ST 02.211.036,501.00
6116738,,Screw SY Headless Comp Long 3.0mm x16mm 02.226.116,"1,280.00"
6116739,,Plate SY Anterolateral 3.5mm LCP Dist Tib 7H Rt 241.442,"5,127.00"
6116740,,Screw SY MatrixRib Non-Lock 2.9mm x10mm 04.501.040.05,354.00
6116741,,ScrewSY MatrixRib Locking 2.9 x10mm ST 04.501.020.05,591.00
6116743,,00409-2720-02 - heparin 1000 units/mL Sol,88.50
6116784,,66689-0023-01 - acetaminophen-HYDROcodone 325 mg-7.5 mg/15 mL Soln-Oral,16.20
6116785,,00904-6291-61 - atorvastatin 20 mg Tab,2.65
6116786,,66689-0023-16 - APAP-HYDROcodone 325 mg-7.5 mg/15 mL Oral Sol 473 mL - 66689-0023-16,0.65
6116787,,66689-0023-01 - acetaminophen-HYDROcodone 325 mg-7.5 mg/15 mL Soln-Oral,16.20
6130424,,00049-3440-19 - fluconazole 10 mg/mL Oral Liq 35 mL - 00049-3440-19,784.00
6130425,,25021-0113-82 - fluconazole 200 mg/100 mL-0.9% Sol,114.90
6130426,,00000-0269-10 - propofol 10 mg/mL Emulsion,50.00
6130428,,"81001 Urinalysis, automated, with microscopy",144.00
6130449,,00832-1211-00 - warfarin 1 mg Tab,3.10
6130450,,00832-1212-00 - warfarin 2 mg Tab,3.25
6130451,,00832-1213-00 - warfarin 2.5 mg Tab,3.35
6130452,,00832-1214-00 - warfarin 3 mg Tab,3.35
6130453,,00832-1216-00 - warfarin 5 mg Tab,3.45
6130454,,58394-0635-03 - coagulation factor IX recombinant Pow,35.50
6130459,,00832-1219-00 - warfarin 10 mg Tab,3.80
6130460,,51991-0738-01 - neomycin 500 mg Tab - 51991-0738-01,6.85
6130461,,68382-0762-14 - clarithromycin 500 mg Tab - 68382-0762-14,30.10
6130463,,63323-0325-20 - acyclovir 50 mg/mL Sol,35.50
6130464,,63323-0297-66 - propofol 10 mg/mL Emulsion,897.50
6145146,,Head ZI Legacy Femoral 12/14 22mm +0  8018-22-02,"2,088.00"
6145156,,00832-1215-00 - warfarin 4 mg Tab,3.35
6145157,,00013-8727-89 - dexrazoxane 500 mg Pow,"3,397.90"
6145169,,65162-0554-10 - demeclocycline 150 mg Tab - 65162-0554-10,47.05
6145170,,61748-0115-01 - demeclocycline 150 mg Tab - 61748-0115-01,42.35
6158757,,Brace Over Shoulder Humeral Fx Sml,789.00
6158758,,Anchor Suture AR BioComposite SL 5.5x19.1mm AR-2323BCC,"3,394.00"
6158759,,Anchor Suture S&N Healicoil 4.5mm 72203378,"1,198.00"
6158761,,Screw SY Metaphyseal 2.7 x26mm ST 02.118.526,149.00
6158762,,Screw SY Metaphyseal 2.7 x30mm ST 02.118.530,146.00
6158764,,Plate SY Humerus 3.5mm LCP Med Dist 9H Rt 241.288,"4,469.00"
6158805,,37000-0032-04 - bismuth subsalicylate 262 mg/15 mL Sus,0.10
6158806,,00000-0032-30 - bismuth subsalicylate 524 mg / 30 mL Susp-Oral,0.75
6158808,,00703-2395-03 - rocuronium 10 mg/mL Sol,100.90
6158809,,63323-0690-30 - acetylcysteine 20 % Soln-Inh,125.10
6158810,,65162-0442-11 - meclizine 25 mg Tab - 65162-0442-11,2.05
6158812,,00703-2395-01 - rocuronium 10 mg/mL Soln-IV,100.90
6172399,,00409-1893-01 - morphine 10 mg/mL Sol,85.00
6172400,,51672-3007-01 - acetic acid-hydrocortisone otic 2%-1% Sol,959.60
6214325,,65649-0551-02 - methylnaltrexone 12 mg/0.6 mL SC Sol - 65649-0551-02,686.30
6214327,,65628-0070-10 - omeprazole 2 mg/mL Oral Susp - 65628-0070-10,1.65
6227911,,Screw SY 2.7MM x 48MM Locking ST,450.00
6227912,,Plate SY MTP First Fusion  2.4/2.7mm 10 Deg/Left 02.211.235,"6,858.00"
6227913,,SCREW 2.4MM X 12MM MATRIXMANDIBLE  04.503.642.01,591.00
6227914,,16714-0584-01 - pramipexole 0.125 mg Tab,14.75
6227921,,00603-4975-21 - oxybutynin 5 mg Tab,3.85
6227922,,"Peritoneal lavage, including imaging guidance, when performed",609.00
6241506,,Liner ZI Triolgy 50/52/54 x 28 6334-050-28,"11,025.00"
6241509,,00378-2047-01 - tacrolimus 5 mg Cap,111.50
6241516,,76329-3316-01 - EPINEPHrine 0.1 mg/mL Sol,113.60
6241564,,Rupture of Fetal Membrane Rapid,250.00
6241572,,76282-0209-30 - terbinafine 250 mg Tab - 76282-0209-30,65.15
6257139,,Suture Capio 0 Polypro TC43 Taper M0068331231,356.00
6257144,,00224-1855-30 - psyllium 3.4 g/5.8 g Pow,1.35
6257145,,17478-0209-19 - ketorolac ophthalmic 0.5% Sol,385.80
6257190,,00182-4417-01 - niacin 500 mg Tab,0.30
6257379,,67108-3565-09 - mesna 400 mg Tab,448.00
6257382,,00781-6077-46 - cefdinir 125 mg/5 mL Pow,4.05
6257383,,60429-0222-30 - terbinafine 250 mgTab,1.95
6257384,,00093-3165-01 - minocycline 50 mg Cap - 00093-3165-01,1.60
6257385,,16714-0207-01 - cefdinir 250 mg/5 mL Oral Susp 60 mL - 16714-0207-01,8.30
6257388,,51672-4026-01 - ketoconazole 200 mg Tab - 51672-4026-01,15.80
6257389,,49884-0122-01 - labetalol 100 mg Tab - 49884-0122-01,3.40
6257390,,00955-1037-10 - methenamine hippurate 1 g Tab - 00955-1037-10,10.70
6270974,,00093-0054-05 - busPIRone 10 mg Tab - 00093-0054-05,6.55
6312290,,16714-0042-04 - allopurinol 300 mg Tab,3.00
6312291,,00093-7364-98 - losartan 25 mg Tab,8.45
6312292,,13668-0115-90 - losartan 100 mg Tab,15.40
6312293,,62856-0245-90 - donepezil 5 mg Tab,92.10
6313562,,67253-0203-20 - penicillin V potassium 250 mg/5 mL Oral Liq 200 mL - 67253-0203-20,35.00
6327137,,Cath Ventricular TraumaCath INS8420,"2,310.00"
6327138,,Shunt Glaucoma Express P-200 47203,"2,190.00"
6327139,,Screw nv armada ti polyaxial 6.5mmX35mm  8456535,"4,050.00"
6327141,,Rod nv armada 55mm  8052055,"1,221.00"
6327142,,Paste Strip Ostomy 10/Bx,20.00
6327169,,00409-3814-12 - morphine 0.5 mg/mL preservative-free Sol,3.65
6327170,,63323-0762-17 - topotecan 4 mg Pow,"1,989.50"
6327171,,24338-0130-13 - erythromycin ethylsuccinate 400 mg/5 mL Gra,"2,381.90"
6327172,,59762-0180-02 - venlafaxine 37.5 mg ER Cap - 59762-0180-02,1.40
6327173,,16714-0685-02 - simvastatin 80 mg Tab - 16714-0685-02,24.10
6341132,,SCREW 2.0MM X11MM TI CORTEX ST  401.811.96,113.00
6341133,,DuraGen Matrix Plus 1in x1in DP1011,"1,224.00"
6341134,,DuraGen Matrix Plus 2in x 2in Dp1022,"1,357.00"
6341135,,"Sialolithotomy; parotid, extraoral or complicated intraoral","4,914.00"
6341136,,"Sialolithotomy; submandibular (submaxillary), complicated, intraoral","4,770.00"
6341137,,"Sialolithotomy; submandibular (submaxillary), sublingual or parotid, uncomplicated, intraoral","4,701.00"
6341162,,67108-3565-09 - mesna 400 mg Tab,448.00
6341163,,00472-0166-30 - nystatin topical 100000 units/g Oin,131.30
6341174,,"Destruction of lesion(s), penis (eg, condyloma, papilloma, molluscum contagiosum, herpetic vesicle),","1,294.00"
6341175,,Excision of vaginal cyst or tumor,"3,353.00"
6341192,,62267 - ASPIRATION INTERDISCAL PERQ FOR  DX PURPOSES,"1,277.00"
6355132,,WIRE PLATE REDUCTION  1.25MM THRD W/LRG STOP  02.111.501.10,"1,995.00"
6355133,,Screw Sy Cortex Star 3.5 x24mm ST 02.200.024,96.00
6355134,,Plate Sy Olecranon VA-LCP 2.7/3.5mm 4H Lt 02.107.304,"3,374.00"
6355135,,Plate Sy Olecranon VA-LCP 2.7/3.5mm Rt 02.107.204,"4,340.00"
6355136,,Screw SU Poly 6.5 x40mm SLP6540,"3,000.00"
6355137,,Screw SU Poly 6.5 x45mm SLP6545,"3,000.00"
6355138,,Rod SU Pre-Bent 5.5 x100mm 100-5100,600.00
6355139,,Screw SU Cap SL1000,510.00
6355140,,Rod SU Crosslink 50mm CL-050,"2,100.00"
6355141,,Screw SU Variable 14 x4.0mm SD SDV4014,840.00
6355142,,Plate SU Level 1 26mm ACP126,"3,300.00"
6355143,,Plate SU Level 2 43mm ACP243,"3,600.00"
6355206,,43386-0160-06 - misoprostol 100 mcg Tab,4.90
6355207,,00904-6084-61 - citalopram 10 mg Tab,12.15
6355310,,00009-0005-01 - hydrocortisone 1000 mg/8 mL PF Inj - 00009-0005-01,506.80
6355311,,LITHOTRIPSY EXTRACORPOREAL SHOCK WAVE,"13,337.00"
6355320,,63304-0296-01 - hydroxychloroquine 200 mg Tab - 63304-0296-01,20.45
6355339,,00591-3964-01 - progesterone 100 mg Cap - 00591-3964-01,10.70
6355340,,67253-0201-50 - penicillin V potassium 500 mg Tab - 67253-0201-50,3.90
6355341,,76282-0214-05 - sertraline 100 mg Tab - 76282-0214-05,13.60
6355342,,00603-5335-21 - predniSONE 1 mg Tab - 00603-5335-21,1.30
6368916,,Stem ZI TM 48deg 13x130mm 00-4348-113-13,"9,695.00"
6368917,,Suture Vicryl 2-0 CT-2 CR J726D,153.00
6368918,,Plate Sy MatrixMandible 3x3H 1.5mm Thick 04.503.716,"2,694.00"
6368919,,Plate SY 1.3 Ti L Obl 3x3H L 421.050,768.00
6368922,,Peg Bio Smooth 2.0x22mm P22000,324.00
6368924,,Dressing Kerlix w/AMD 4.5 x 4.1yd 6-Ply,27.00
6368925,,Anchor Mitek Mini Plus #2/0 V5 212035,"5,350.00"
6368927,,Screw Bio Peg 2.5x26mm SP26000,324.00
6368928,,Peg Bio Smooth 2.0x24mm P24000,324.00
6368929,,Screw STRY Poly XIA 3 4.5x45mm 482314545,"2,700.00"
6368966,,00904-7822-31 - clotrimazole topical 1% Cre,43.90
6368967,,00603-2127-21 - ALPRAZolam 0.25 mg Tab,3.50
6369560,,00000-0160-25 - misoprostol 25 mcg Tab,1.25
6383135,,Plate Sy Radial Head Rim 2.4mm LCP 2H Rt 241.680,"2,100.00"
6383138,,Plate Sy Humerus Lat Dist 2.7/3.5mm 1H Lt 02.117.901,"3,707.00"
6383139,,Screw SY Cannulated 7.3x75mm FT 209.675,926.00
6383140,,Screw SY Cannulated 7.3x55mm FT 209.655,989.00
6383142,,Pin ZI XtraFix 5x200x45mm 5204-050-45,581.00
6383143,,Pin ZI XtraFix Half 5x160x35mm 5204-050-35,484.00
6383144,,Pacemaker BSCI Ingenio DR IS-1 K173,"19,200.00"
6383147,,Screw Sy IMF 2.0x8mm SD 201.928,402.00
6383148,,SCREW 2.9MM X 10MM MATRIXMANDIBLE ST  04.503.670.01,624.00
6410706,,"Small intestinal endoscopy, enteroscopy beyond 2nd portion duodenum, incl ileum;w/bx,","3,183.00"
6410714,,29033-0003-01 - sucralfate 1 g Tab,3.65
6410751,,51672-4018-01 - etodolac 400 mg Tab - 51672-4018-01,7.35
6410755,,63323-0491-57 - lidocaine 0.5% preservative-free Sol,167.00
6425132,,Plate SY J Low Pro Recon 3.5 16H/LT/208mm 02.100.367,"2,769.00"
6425133,,Screw SY Locking VA-LCP 2.7x54mm ST 02.211.054,480.00
6425134,,Screw SY Metaphyseal 2.7x40mm ST 02.118.540,149.00
6425135,,Screw SY Metaphyseal 2.7x36mm ST 02.118.536,149.00
6425136,,Screw SY Metaphyseal 2.7x20mm 02.118.522,149.00
6425137,,Screw SY Cortex Star 3.5x85mm ST 02.200.085,86.00
6425138,,Screw SY Cortex Star 3.5x70mm ST 02.200.070,81.00
6425139,,Screw SY Cortex Star 3.5x45mm ST 02.200.045,85.00
6425140,,Screw SY Cortex Star 3.5x20mm ST 02.200.020,96.00
6425141,,Screw SY Cortex Star 3.5x30mm ST 02.200.030,82.00
6425146,,Thumb spica - PCC Supplies Given,116.00
6425155,,Plantar Fasciitis Boot - PCC Supplies Given,297.00
6425158,,Maternity Belt L0625 - PCC Supplies Given,170.00
6425159,,"Knee Splint, Universal - PCC Supplies Given",287.00
6425170,,"Collar, Serpentine Support - PCC Supplies Given",80.00
6425206,,63323-0184-11 - folic acid 5 mg/mL Sol,310.30
6425207,,39822-4000-01 - levETIRAcetam 100 mg/mL Sol,83.95
6425209,,EGD Sm Bowel /Biopsy,"3,183.00"
6425216,,00378-1150-01 - busPIRone 10 mg Tab - 00378-1150-01,6.75
6425217,,00085-1733-01 - moxifloxacin 400 mg Tab,182.70
6425224,,76536 -US Soft Tissue Head - Neck or Thyroid,"1,012.00"
6425232,,"Esophagoscopy, rigid/flex; diag, w/or w/o collection of specimen.","1,599.00"
6425243,,Shoe Sampson Black Mens Lace-Up 10.5 Ee,309.00
6425258,,63739-0532-10 - acetaminophen-HYDROcodone 325 mg-5 mg Tab,2.40
6425259,,Brace - PREFAB TLSO TO SCAPULAR SPINE,656.00
6438837,,Peg Bio Smooth 2.0x18mm P18000,"1,450.00"
6438840,,Graft Pericardium Peri-Guard 4cm x4cm PC-0404SNBIO,783.00
6438842,,Screw SY 3.5 Lst W Star 42mm 212.118,459.00
6438843,,Plate SY Olecranon 3.5 LCP 4H/L/112mm 236.505,"3,480.00"
6438844,,Plate SY 3.5 Low Profile Recon 3hole 245.023,"1,149.00"
6438845,,Screw SY headless compression 3.0x14mm 02.226.014,"1,280.00"
6438862,,00904-5925-61 - haloperidol 5 mg UD Tab - 00904-5925-61,8.90
6438863,,00904-5448-61 - pentoxifylline 400 mg Tab,3.35
6438864,,64764-0119-01 - colchicine 0.6 mg Tab,40.70
6452451,,Graft Pericardium Peri-Guard 6cm x 8cm PC-0608NBIO,"1,478.00"
6452452,,AlloDerm Tissue Graft 2x4cm 1.04-2.28mm Thick 102012,"11,408.00"
6453560,,Computer-aided detection w phys review for interpretation; diagnostic mammography,30.00
6453561,,Computer-aided detection w phys review for interpretation; screening mammography,31.00
6453562,,"Thromboendarterectomy, incl patch graft, if performed; superficial femoral artery","7,363.00"
6467143,,Rod STRY XIA 6x480mm 48232480,"1,050.00"
