Hospital Name:  AHMC GARFIELD MEDICAL CENTER,,,,
OSHPD Facility No: 106190315,,,,
"Effective Date of Charges: June 1, 2018",,,,
,,,,
,,,,
CDM,CHARGE DESCRIPTION , PRICE ,,
2842383,TRIAMCIN 0.1% 80GM CRM (KENALOG),$158.00,,
2842385,HYDROmorphone (DILAUDID) INJ : 2MG/1ML,$152.00,,
2842389,HYDROmorphone (DILAUDID) TAB : 2MG,$51.00,,
2842392,METHYLDOPA (ALDOMET) TAB : 250MG,$29.00,,
2842395,MICONAZOLE (MONISTAT) VAG CREAM : 47GM,$206.00,,
2842397,CYCLOPENTOLATE (CYCLOGYL) 1% OPT : 2ML,$124.00,,
2842402,chlorproMAZINE (THORAZINE) TAB : 10MG,$24.00,,
2842403,BICALUTAMIDE (CASODEX) TAB : 50MG,$62.00,,
2842404,COSYNTROPIN (CORTROSYN) INJ : 0.25MG/ML,$217.00,,
2842407,THIOTHIXEME (NAVANE) CAP : 5MG,$26.00,,
2842409,MULTIVITAMIN (MVI 12) INJ : 10ML,$300.00,,
2842413,TETRACAINE (PONTOCAINE) 0.5% OPTH 2ML,$104.00,,
2842414,METHYLDOPA (ALDOMET) TAB : 500MG,$27.00,,
2842416,MICONAZOLE (MONISTAT DERM) 2% CRM : 15GM,$158.00,,
2842418,METAPROTERENOL (ALUPENT) SUSP 10MG/5ML,$26.00,,
2842420,chlorproMAZINE (THORAZINE) TAB : 25MG,$27.00,,
2842422,TRIAMCIN 0.5% 15GM CRM (KENALOG),$181.00,,
2842428,LEVORPHANOL [LEVO DROMORAN]INJ 2MG/ML,$147.00,,
2842430,VANCOMYCIN INJ : 500MG VIAL,$870.00,,
2842432,CYCLOPENTOLATE (CYCLOGYL) 1% OPT : 5ML,$206.00,,
2842440,TRIAMCIN 0.5% 15GM UNG (KENALOG),$181.00,,
2842441,chlorproMAZINE (THORAZINE) TAB : 100MG,$27.00,,
2842442,LEVORPHANOL [LEVO DROMORAN] TAB 2MG,$29.00,,
2842447,CHARCOAL SUSP : 50GM,$81.00,,
2842448,CYCLOPENTOLATE (CYCLOGYL) 2% OPT : 2ML,$124.00,,
2842452,CYCLOPENTOLATE (CYCLOGYL) 2% OPT : 5ML,$227.00,,
2842453,DEXAMETHASONE (DECADRON) TAB : 2MG,$20.00,,
2842454,PLACEBO ORANGE,$16.00,,
2842456,DEXAMETHASONE (DECADRON) TAB : 4MG,$41.00,,
2842457,NEO/POLY/GRAM (NEOSPORIN) OPTH SOL :10ML,$147.00,,
2842460,KANAMYCIN (KANTREX) INJ : 1GM,$499.00,,
2842461,BEVACIZUMAB (AVASTIN) INJ: PER 10MG,$146.00,,
2842465,ETOMIDATE (AMIDATE) INJ : 20MG/10ML,$148.00,,
2842467,AMINOPHYLLIN/D5W 500MG/500ML *****,$433.00,,
2842475,ETOMIDATE (AMIDATE) INJ : 40MG/20ML,$167.00,,
2842476,MICROFIBRIL (AVITENE) 70X35X1 SHEET,$427.00,,
2842477,SULFAMETHOX/TRIMETH (BACTRIM) INJ : 5ML,$217.00,,
2842479,NEO/POLY/BAC (NEOSPORIN)OPHT OINT: 3.5GM,$147.00,,
2842480,MULTIVITAMINS (MVI PEDIATRIC) INJ : 5ML,$124.00,,
2842482,MICROFIBRIL (AVITENE) 35X35X1 SHEET,$392.00,,
2842483,SULFAMETHOX/TRIMETH (BACTRIM) INJ :10ML,$266.00,,
2842484,ETOMIDATE (AMIDATE) SYRINGE : 40MG/20ML,$151.00,,
2842485,PROCHLORPERAZN (COMPAZINE) SUPP : 25MG,$41.00,,
2842486,ETOPOSIDE (VEPESID) INJ : 150MG/7.5ML,$164.00,,
2842489,HALOPERIDOL (HALDOL) TAB : 1MG,$29.00,,
2842491,CHLORAL HYDRAT : 500MG/5ML,$26.00,,
2842495,BISMUTH SUBSAL (PEPTO BISMOL) TAB:262MG,$16.00,,
2842496,FLURANDRENOLI (CORDRAN) 0.05% TOP : 60GM,$298.00,,
2842498,VITAMIN C LIQ 100MG/ML : 5ML,$246.00,,
2842501,THIAMINE (VITAMIN B-1) INJ : 100MG/1ML,$138.00,,
2842505,TRIAMCIN DENTAL (KENALOG IN ORABASE):5GM,$239.00,,
2842506,RIFABUTIN (MYCOBUTIN) CAP : 150MG,$60.00,,
2842509,BLEOMYCIN (BLENOXANE) INJ : 15 UNITS,$2506.00,,
2842510,HALOPERIDOL (HALDOL) TAB : 5MG,$29.00,,
2842512,AMIODARONE (CORDARONE) TAB : 200MG,$51.00,,
2842513,NITROGLYCERIN SPRAY (NITROLINGUAL):4.9G,$189.00,,
2842516,MEPERIDINE (DEMEROL) SYRG : 25MG/1ML,$152.00,,
2842524,MEPERIDINE (DEMEROL) SYRG : 50MG/1ML,$264.00,,
2842528,KETAMINE INJ 50MG/ML : 10ML,$395.00,,
2842530,METHYLERGONOVIN (METHERGINE) TAB 0.2MG,$29.00,,
2842532,CROTALIDAE POLY (CROFAB) INJ : 1G,$23593.80,,
2842536,AMITRIPTYLINE (ELAVIL) TAB : 10MG,$41.00,,
2842541,OCULAR LUBRICANT (REFRESH) SOLN,$16.00,,
2842542,LISINOPRIL (PRINIVIL/ZESTRIL) TAB : 5MG,$29.00,,
2842543,KETAMINE INJ 100MG/ML : 5ML,$425.00,,
2842544,ENFAMIL : 100ML,$68.00,,
2842547,LISINOPRIL (PRINIVIL/ZESTRIL) TAB : 10MG,$32.00,,
2842548,KETOROLAC (TORADOL) INJ : 15MG/1ML,$18.00,,
2842549,rifAMPin (RIFADIN) CAP: 150MG,$27.00,,
2842550,KETOROLAC (TORADOL) INJ : 30MG/1ML,$147.00,,
2842552,rifAMPin (RIFADIN) CAP : 300MG,$51.00,,
2842553,MEPERIDINE (DEMEROL) SYRG : 100MG/1ML,$195.00,,
2842555,VITAMIN E DROP 15 IU/.3ML : 50ML,$323.00,,
2842556,LISINOPRIL (PRINIVIL/ZESTRIL) TAB : 20MG,$41.00,,
2842557,AMITRIPTYLINE (ELAVIL) TAB : 25MG,$29.00,,
2842559,KETOROLAC (TORADOL) INJ : 60MG/2ML,$163.00,,
2842560,ENFAMIL H MILK FORT : 0.96GM,$16.00,,
2842561,PROMETHAZINE (PHENERGAN) SUPP : 25MG,$24.00,,
2842563,OFLOXACIN (FLOXIN) OTIC UD : 0.25ML,$14.00,,
2842564,DESMOPRESSIN (DDAVP RHINAL) INH : 2.5ML,$499.00,,
2842565,L-CARNITINE (CARNITOR) INJ : 1GM/5ML,$121.00,,
2842566,OXYBUTYNIN (DITROPAN) TAB : 5MG,$29.00,,
2842567,VITAMINS ADC DROPS (TRI-VI-SOL) 50ML,$172.00,,
2842568,OFLOXACIN .3% (OCUFLOX)5ML OS,$84.00,,
2842569,LISINOPRIL/HCTZ(ZESTORETIC)20/12.5MG TAB,$24.00,,
2842570,MUROMONAB-CD3 (ORTHOCLONE) 1MG/ML : 5ML,$4269.00,,
2842571,DESMOPRESSIN (DDAVP NASAL) : 5ML,$805.00,,
2842572,L-CYSTEINE INJ 50MG/1ML,$214.00,,
2842573,MEPERIDINE (DEMEROL) PCA 500MG/50ML ****,$0.00,,
2842574,OFLOXACIN .3% (OCUFLOX)10ML OS,$161.00,,
2842575,LISINOPRIL/HCTZ(ZESTORECTIC)20/25MG TAB,$24.00,,
2842576,DESMOPRESIN 0.01% SPRY PUMP : 5ML,$861.00,,
2842577,LABETALOL (TRANDATE) INJ : 100MG/20ML,$526.00,,
2842583,OXYBUTYNIN ER (DITROPAN XL) TAB : 5MG,$20.00,,
2842588,BLK WIDOW SPIDER INJ (ANTIVENIN),$991.00,,
2842594,MINERAL OIL STERILE (MURI LUBE) : 10ML,$54.00,,
2842595,VITAMINS/MULTI DROPS (VIDAYLIN),$160.00,,
2842598,RILUZOLE (RILUTEK) TAB: 50MG,$115.00,,
2842602,risperiDONE (RisperDAL) TAB : 0.25MG,$29.00,,
2842604,LEPIRUDIN [REFLUDAN] : 50MG,$895.00,,
2842608,VITAMINS MULTI/FE (POLY-VI-SOL/FE)50ML,$177.00,,
2842611,THYROID (ARMOUR) TAB : 60MG,$18.00,,
2842612,TRIPLE SULFA (SULTRIN) VAG CRM 75GM,$206.00,,
2842614,RISEDRONATE NA (ACTONEL) TAB : 5MG,$14.00,,
2842617,MYCOPHENOLATE (CELLCEPT) INJ : 500MG,$147.00,,
2842618,riMANTAdine (FLUMADINE) TAB : 100MG,$16.00,,
2842623,ERYTHROMYCIN BASE FILMTAB : 250MG,$29.00,,
2842624,TROLAMINE SALIC (MYOFLEX) 10% TOP : 60GM,$47.00,,
2842625,risperiDONE (RisperDAL) TAB : 1MG,$29.00,,
2842627,BOTULINUM TOXIN A PER U (OCULINUM),$11.00,,
2842632,EUCERIN LOTION : 480ML,$81.00,,
2842634,leucovorin INJ : 100MG,$50.00,,
2842639,METHYLDOPA (ALDOMET) LIQ : 250MG/5ML,$46.00,,
2842643,TRYPSIN BALSAM 60ML SPRY (GRANULEX),$107.00,,
2842644,FLUTICASONE (CUTIVATE) TOP : 15GM,$125.00,,
2842645,MULTIVITAMIN LIQ 5ML,$29.00,,
2842647,RISEDRONATE NA (ACTONEL) TAB 35MG,$79.00,,
2842648,FLUTICASONE (CUTIVATE) TOP : 30GM,$181.00,,
2842649,POTASSIUM CL (K DUR) TAB : 10MEQ,$29.00,,
2842650,PREVACID INJ : 30MG,$93.00,,
2842653,POTASSIUM CL (K DUR) TAB : 20MEQ,$20.00,,
2842654,MethylPREDNISolone (MEDROL) TAB : 4MG,$30.00,,
2842656,NAFCILLIN (UNIPEN) INJ : 1GM,$246.00,,
2842657,ENSURE PUDDING : 5OZ,$32.00,,
2842658,CALAMINE LOTION : 120ML,$92.00,,
2842660,HEXAMETHYLMELAMINE 50MG (HEXALEN),$60.00,,
2842661,ESTAZOLAM (PROSOM) TAB : 1MG,$20.00,,
2842667,amLODIPine (NORVASC) TAB : 5MG,$22.00,,
2842669,ROSIGLITAZONE (AVANDIA) TAB : 2MG,$16.00,,
2842670,AMLODIPINE (NORVASC) TAB : 10MG,$30.00,,
2842671,TETRAHYDRAZOL (VISINE) .05% 15ML,$107.00,,
2842673,ENSURE (BOOST) ORAL LIQUID : 240ML,$24.00,,
2842675,OXYMETHOLONE (ANADROL) TAB : 50MG,$27.00,,
2842677,ROSIGLITAZONE (AVANDIA) TAB : 4MG,$20.00,,
2842679,NAFCILLIN (UNIPEN) INJ : 2GM,$395.00,,
2842683,CHLORTHALIDONE (HYGROTON) TAB : 25MG,$24.00,,
2842686,ENSURE ENLIVE ORAL LIQUID : 240ML,$60.00,,
2842687,ESCITALOPRAM (LEXAPRO) TAB : 10MG,$16.00,,
2842689,RIVASTIGMINE (EXELON) CAP : 1.5MG,$18.00,,
2842690,METHADONE (DOLOPHINE) INJ : 10MG/ML,$759.00,,
2842693,FENOLDOPAM (CORLOPAM) 10MG/ML INJ : 1ML,$573.00,,
2842694,RIVASTIGMINE 3.0MG (EXELON),$16.00,,
2842695,MINOXIDIL (ROGAINE) 5% : 60ML,$557.00,,
2842699,RIVASTIGMINE (EXELON) CAP : 4.5MG,$16.00,,
2842701,FENOLDOPAM (CORLOPAM) 10MG/ML INJ : 2ML,$131.00,,
2842702,METOCLOPRAMIDE (REGLAN) LIQ : 10MG/10ML,$27.00,,
2842703,LEUPROLIDE (LUPRON DEPOT) INJ 3.75MG,$2028.00,,
2842705,CHLORTHALIDONE (HYGROTON) TAB : 50MG,$26.00,,
2842709,NA FERRIC GLU (FERRLECIT) INJ 62.5MG/5ML,$249.00,,
2842710,CYANIDE ANTIDOTE KIT,$1611.00,,
2842711,CALCIUM ALGINATE 2X2 (SORBSAN),$46.00,,
2842712,CHLOROTHIAZIDE (DIURIL) LIQ 250MG/5ML,$27.00,,
2842713,FLOXURIDINE (FUDR) INJ :500MG/5ML,$1054.00,,
2842714,RITONAvir (NORVIR) CAP 100MG,$23.00,,
2842715,METHADONE (DOLOPHINE) TAB : 10MG,$49.00,,
2842716,CALCIUM ALGINATE 3X3 (SORBSAN),$46.00,,
2842717,FLU SPL VACC 6-35 MONTHS (FLUSHIELD),$32.00,,
2842720,CALCIUM ALGINATE 4X4 (SORBSAN),$70.00,,
2842726,CALCIUM ALGINATE 4X8 (SORBSAN),$90.00,,
2842727,HydrALAZINE (APRESOLINE) TAB : 10MG,$27.00,,
2842728,FLU SPL VACC >3YRS,$68.00,,
2842729,THYROID (ARMOUR) TAB : 30MG,$18.00,,
2842733,ESTRADIOL (ESTRACE) TAB : 1MG,$14.00,,
2842735,CYANOCOBALAMIN (VITAMIN B-12) INJ:1MG,$138.00,,
2842738,ESTRADIOL (ESTRACE) TAB : 2MG,$18.00,,
2842739,FLUCONAZOLE (DIFLUCAN) INJ : 200MG VIAL,$1273.00,,
2842741,rOPINIRole (REQUIP) TAB : 0.25MG,$16.00,,
2842742,PROCAINAMIDE INJ 100MG/ML : 10ML,$245.00,,
2842744,LITHIUM CARBONATE CAP : 300MG,$18.00,,
2842746,ROPINIROLE (REQUIP) TAB : 0.5MG,$16.00,,
2842749,HydrALAZINE (APRESOLINE) TAB : 25MG,$29.00,,
2842750,LEUPROLIDE (LUPRON DEPOT) INJ 7.5MG,$4552.00,,
2842753,FLUCONAZOLE (DIFLUCAN) 200MG/100ML PMX,$1608.00,,
2842754,rOPINIRole (REQUIP) TAB : 1MG,$14.00,,
2842755,PROCAINAMIDE INJ 500MG/ML : 2ML,$385.00,,
2842758,MOMETASONE (ELOCON) 0.1% LOT: 27.5ML,$124.00,,
2842760,CHOLESTYRAMINE (QUESTRAN/PREVALITE) 4GM,$51.00,,
2842764,hydrALAZINE (APRESOLINE) TAB : 50MG,$30.00,,
2842765,FLUDARABINE (FLUDARA) INJ : 50MG,$1363.00,,
2842767,MOMETASONE (ELOCON) 0.1% : 15GM,$125.00,,
2842768,BROMOCRIPTINE (PARLODEL) TAB : 2.5MG,$41.00,,
2842769,METHOHEXITAL (BREVITAL) : 500MG,$222.00,,
2842770,CALCIUM UNDECYL : 60GM,$109.00,,
2842773,MOMETASONE (ELOCON) 0.1% : 45GM,$176.00,,
2842774,THIOTEPA 15MG INJ,$395.00,,
2842775,CHOLESTYRAMINE LIGHT(PREVALITE) 4GM/PKG,$51.00,,
2842776,DEXAMTHEASONE OPTH 0.05% : 3.5GM,$158.00,,
2842777,FLUMAZENIL (ROMAZICON) INJ : 0.5MG/5ML,$386.00,,
2842779,OXYMETAZOLINE (AFRIN) 0.05% SPRAY : 15ML,$147.00,,
2842780,FLUMAZENIL (ROMAZICON) INJ : 1MG/10ML,$592.00,,
2842781,TICLOPIDINE (TICLID) TAB : 250MG,$26.00,,
2842783,SALSALATE (DISALCID) TAB : 500MG,$24.00,,
2842785,BUMETANIDE (BUMEX) INJ : 2.5MG/10ML,$139.00,,
2842788,BUMETANIDE (BUMEX) INJ : 0.5MG/2ML,$138.00,,
2842790,TIMOLOL TAB : 10MG,$27.00,,
2842791,MUPIROCIN 2% (BACTROBAN) : 15GM,$316.00,,
2842792,NEUTRAL PHOS (NaK-PHOS) TAB/PWD : 250MG,$20.00,,
2842793,MethylTESTOSTERone CAP : 10MG,$26.00,,
2842794,nalBUPHine (NUBAIN) 10MG/ML,$138.00,,
2842795,GLUCERNA 1.0 CAL : 240ML,$115.00,,
2842796,SALSALATE (DISALCID) TAB : 750MG,$26.00,,
2842797,NAFTIFINE (NAFTIN) 1% CREAM : 30GM,$125.00,,
2842799,UREA (CARMOL) CRM 20%: 90GM,$118.00,,
2842801,PRAVASTATIN (PRAVACHOL) TAB : 40MG,$27.00,,
2842805,SAQUINAVIR MESY (INVIRASE) : 200MG,$27.00,,
2842806,PRAVASTATIN (PRAVACHOL) TAB : 10MG,$27.00,,
2842809,PRAVASTATIN (PRAVACHOL) TAB : 20MG,$27.00,,
2842811,FLUORESCEIN 10% 5ML (FLUORESCITE),$217.00,,
2842812,PRAMIPEXOLE (MIRAPEX) TAB : 0.25MG,$16.00,,
2842817,tiZANidine (ZANAFLEX) TAB : 2MG,$14.00,,
2842821,METHYLPHENIDATE (RITALIN) TAB : 5MG,$29.00,,
2842823,PRAMIPEXOLE (MIRAPEX) TAB : 0.5MG,$20.00,,
2842824,TIMOLOL (TIMOPTIC) 0.25% OPTH SOL UD,$54.00,,
2842827,TIMOLOL (TIMOPTIC) 0.25% 5ML,$329.00,,
2842828,ESTRAMUSTINE (EMCYT) : 140MG,$23.00,,
2842830,LOMUSTINE (CEENU) CAP : 10MG,$47.00,,
2842831,NOREPINEPHRINE(LEVOPHED) INJ 4MG/4ML,$151.00,,
2842832,GELATIN ABS 100 (GELFOAM),$295.00,,
2842834,BUPIVACAINE 0.25% MPF (MARCAINE): 10ML,$75.00,,
2842837,CYCLOPHOS (LYPH)(CYTOXAN) INJ: PER 100MG,$440.00,,
2842839,TIMOLOL (TIMOPTIC XE) GEL 0.25% 5ML,$95.00,,
2842843,PROCAINE HCL 10% (NOVOCAIN) : 200MG/2ML,$33.00,,
2842845,TIMOLOL (TIMOPTIC XE) GEL 0.5% 2.5ML,$69.00,,
2842847,CAMPHOR/PHENOL (CAMPHO PHENIQUE): 22.5ML,$83.00,,
2842848,LOMUSTINE (CEENU) CAP : 40MG,$160.00,,
2842850,BUPIVACAINE 0.25% MPF (MARCAINE): 30ML,$265.00,,
2842851,TIMOLOL (TIMOPTIC XE) GEL 0.5% 5ML,$112.00,,
2842853,GELATIN ABS 12X7(GELFOAM),$124.00,,
2842854,TIMOLOL (TIMOPTIC) 0.5% 5ML,$349.00,,
2842856,BUPIVACAINE 0.25% MPF (MARCAINE) : 50ML,$236.00,,
2842861,FLUOROURACIL (5-FU) INJ : 500MG/10ML,$124.00,,
2842863,GELETIN ABS POWD 1GM (GELFOAM),$203.00,,
2842864,BUPIVACAINE 0.5% MPF (MARCAINE): 10ML,$68.00,,
2842866,levoFLOXacin (LEVAQUIN) INJ : 500MG/20ML,$212.00,,
2842867,BUPIVACAINE 0.5% (MARCAINE) INJ : 50ML,$245.00,,
2842869,DEXAMETHASONE (MAXIDEX) OPTH 0.1% 5ML,$203.00,,
2842870,LEVOFLOXACIN (LEVAQUIN) INJ : 250MG,$160.00,,
2842871,BUPIVACAINE 0.5% MPF (MARCAINE): 30ML,$262.00,,
2842872,nalOXone (NARCAN) 1MG/ML INJ : 2ML,$242.00,,
2842873,nalOXone (NARCAN) 0.4MG/ML SDV : 1ML,$173.00,,
2842874,levoFLOXacin 500MG/100ML D5W PMX,$673.00,,
2842877,BUPIVACAINE 0.75% MPF-SPINAL : 2ML,$178.00,,
2842878,nalOXone (NARCAN) 0.4MG/ML MDV : 10ML,$956.00,,
2842879,levoFLOXacin 250MG/50ML D5W PMX,$517.00,,
2842880,diazePAM (VALIUM) TAB : 5MG,$29.00,,
2842881,AMOXICILLIN/CLAV (AUGMENTIN) TAB : 250MG,$29.00,,
2842882,AMOXICILLIN/CLAV (AUGMENTIN) TAB : 875MG,$54.00,,
2842883,BUPIVACAINE 0.75% MPF(MARCAINE) INJ:10ML,$68.00,,
2842885,LEVOTHYROXINE (SYNTHROID) INJ: 100MCG,$601.00,,
2842886,NEOMYCIN PWD : 10GM,$255.00,,
2842888,PRAZIQUANTEL (BILTRICIDE) TAB : 600MG,$150.00,,
2842890,hydroCHLOROthiazide TAB : 25MG,$20.00,,
2842891,LEVOTHYROXINE (SYNTHROID) INJ 200MCG,$674.00,,
2842893,CycloSPORINE (SandIMMUNE) INJ: 250MG/5ML,$322.00,,
2842894,AMOXICILLIN/CLAV (AUGMENTIN) TAB : 500MG,$46.00,,
2842895,BUPIVACAINE 0.75% MPF(MARCAINE): 30ML,$245.00,,
2842898,CHOLINE-MG (TRILISATE) TAB : 500MG,$26.00,,
2842899,hydroCHLOROthiazide TAB : 50MG,$18.00,,
2842900,LEVOTHYROXINE (SYNTHROID) INJ 500MCG,$743.00,,
2842902,PROCHLORPERAZN (COMPAZINE) INJ: 10MG/2ML,$167.00,,
2842905,SELEGILINE (ELDEPRYL) TAB : 5MG,$47.00,,
2842910,DEXAMETH/NEO/POLY (MAXITROL) OPH : 5ML,$231.00,,
2842912,AMOXICILLIN (AMOXIL) CAP : 250MG,$29.00,,
2842913,PRAZOSIN (MINIPRESS) CAP : 1MG,$24.00,,
2842917,GENTAMICIN (GARAMYCIN) 0.1% CRM 15GM,$196.00,,
2842919,TOBRAMYCIN (TOBREX) OPHT OINT : 3.5GM,$217.00,,
2842922,fluPHENAZine DEC 25MG/ML INJ : 5ML,$182.00,,
2842923,AMOXICILLIN (AMOXIL) CAP : 500MG,$32.00,,
2842924,SODIUM PHOS ENEMA (FLEET ENEMA) 133ML,$54.00,,
2842925,CYTARABINE (CYTOSAR U) INJ : 100MG,$242.00,,
2842926,TOBRAMYCIN (TOBREX) 0.3% OPTH SOL 5ML,$212.00,,
2842927,CYTARABINE LIPOS (DEPOCYT) INJ PER: 10MG,$6510.58,,
2842931,LOPERAMIDE (IMODIUM) CAP : 2MG,$29.00,,
2842932,GENTAMICIN (GARAMYCIN) 0.1% OINT 15GM,$196.00,,
2842934,LOPINAVIR/RITONAVIR(KALETRA)200/50MG CAP,$20.00,,
2842935,DEXAMETHASONE (MAXIDEX) OPH OINT : 3.5GM,$231.00,,
2842936,CILOSTAZOL (PLETAL) TAB : 50MG,$16.00,,
2842937,SELENIUM TAB : 50MCG,$14.00,,
2842938,CAPSAICIN (ZOSTRIX) 0.025% CRM : 60GM,$241.00,,
2842939,CILOSTAZOL (PLETAL) TAB : 100MG,$16.00,,
2842940,CAPSAICIN (ZOSTRIX) 0.075% CRM : 30GM,$241.00,,
2842941,PRAZOSIN (MINIPRESS) CAP : 5MG,$29.00,,
2842942,TOBRAMYCIN/DEXA (TOBRADEX) OINT  : 3.5GM,$174.00,,
2842943,METOCLOPRAMIDE (REGLAN) TAB : 10MG,$52.00,,
2842945,CAPSAICIN (ZOSTRIX) 0.075% CRM : 60GM,$214.00,,
2842946,TOBRAMYCIN (TOBI) INH  300MG/5ML,$217.00,,
2842948,TOBRAMYCIN/DEXAMETH (TOBRADEX) : 5ML,$151.00,,
2842949,TOBRAMYCIN/DEXAMETH (TOBRADEX) : 2.5ML,$81.00,,
2842951,morphine PF (ASTROMORPH)0.5MG/ML INJ:2ML,$115.00,,
2842952,TICARCILLIN/CLAVULAN(TIMENTIN)INJ:3.1GM,$359.00,,
2842954,VITAMIN A & D OINT UD,$10.00,,
2842955,BUPIVACAINE/EPI 0.25%(MARCAINE) INJ:50ML,$250.00,,
2842959,BUPIVACAINE/EPI 0.25% (MARCAINE)INJ:10ML,$75.00,,
2842960,TRIAMCIN AQ (NASCORT AQ) NASAL SPRAY,$161.00,,
2842962,LIDOCAINE PMX 1GM/250ML,$368.00,,
2842964,LIDOCAINE PMX 2GM/500ML,$473.00,,
2842965,foLIC acid INJ: 5MG/ML 10ML,$168.00,,
2842968,CASTOR OIL/PERUVIAN BALS (PRODERM SPRAY),$84.00,,
2842969,LORATADINE (CLARITIN) TAB : 10MG,$30.00,,
2842972,DACARBAZINE (DTIC-DOME IV) INJ : 200MG,$245.00,,
2842976,LIDOCAINE 0.5% WITH EPI : 50ML,$78.00,,
2842981,BUPIVACAINE/EPI 0.5% MPF (MARCAINE):30ML,$264.00,,
2842984,VITAMIN E CRM 60GM,$147.00,,
2842985,BUMETANIDE (BUMEX) TAB : 1MG,$41.00,,
2842986,morphine PF (ASTRAMORPH) 1MG/ML INJ:2ML,$115.00,,
2842988,MILK OF MAGNESIA (MOM) LIQ : 30ML,$20.00,,
2842989,HYDROCORTISONE (CORTEF) TAB : 10MG,$18.00,,
2842990,morphine PF(DURAMORPH) 10MG/10ML INJ,$132.00,,
2842991,BUPIVACAINE/EPI 0.5% MPF (MARCAINE):10ML,$158.00,,
2842992,MILK OF MAGNESIA (MOM) LIQ : 473ML,$69.00,,
2842993,ETHACRYNIC ACID (EDECRIN) TAB : 25MG,$24.00,,
2842994,FOSCARNET (FOSCAVIR) : PER 1000MG,$112.00,,
2842997,LIDOCAINE 0.5% INJ : 50ML,$124.00,,
2842999,DICLOFENAC (VOLTAREN) TAB : 25MG,$24.00,,
2843000,TOLMETIN (TOLECTIN) TAB : 200MG,$27.00,,
2843001,CIMETIDINE (TAGAMET) TAB : 300MG,$37.00,,
2843002,BuPROPion (WELLBUTRIN) TAB : 75MG,$32.00,,
2843003,DACTINomycin (COSMEGEN) INJ : 0.5MG,$413.00,,
2843005,DICLOFENAC (VOLTAREN) TAB : 50MG,$23.00,,
2843006,BuPROPion (WELLBUTRIN) TAB : 100MG,$37.00,,
2843007,AMPICILLIN CAP : 250MG,$26.00,,
2843008,PROGESTERONE OIL 50MG/ML INJ,$124.00,,
2843010,ETHACRYNIC ACID (EDECRIN) TAB : 50MG,$26.00,,
2843011,DICLOFENAC (VOLTAREN) TAB : 75MG,$24.00,,
2843013,BuPROPion (WELLBUTRIN SR) TAB : 100MG,$52.00,,
2843014,LORazepam (ATIVAN) TAB : 0.5MG,$27.00,,
2843016,TOLMETIN (TOLECTIN) CAP : 400MG,$26.00,,
2843017,BuPROPion (WELLBUTRIN SR) TAB : 150MG,$62.00,,
2843021,DALTEPARIN (FRAGMIN) INJ : 2500IU,$402.00,,
2843023,AMPICILLIN CAP : 500MG,$30.00,,
2843024,BUPRENORPHINE (BUPRENEX) INJ : 0.3MG/1ML,$109.00,,
2843026,DALTEPARIN (FRAGMIN) INJ : 5000IU,$494.00,,
2843027,GENTIAN VIO/BRL GR 0.66ML(TRIPLE DYE),$32.00,,
2843028,DEXAMETH/NEOMY/POLY (MAXITROL) : 3.5GM,$206.00,,
2843030,DANTROLENE LIQ (DANTRIUM) INJ: 20MG/70ML,$808.00,,
2843031,BUTORPHANOL (STADOL) INJ 1MG/ML : 1ML,$151.00,,
2843032,LORazepam (ATIVAN) TAB : 1MG,$27.00,,
2843033,TOLTERODINE (DETROL) TAB : 2MG,$14.00,,
2843034,TRIFLURIDINE (VIROPTIC) 1% OP SOLN:7.5ML,$322.00,,
2843036,NANDROLONE D (DECA DURABOLIN) : 200MG/ML,$346.00,,
2843040,MAGNESIUM CITRATE: 300ML,$51.00,,
2843041,TOPIRAMATE (TOPAMAX) TAB : 25MG,$14.00,,
2843044,BUTORPHANOL (STADOL) INJ 2MG/ML : 1ML,$124.00,,
2843045,PrednisoLONE TAB: 5MG,$18.00,,
2843046,TOPIRAMATE (TOPAMAX) TAB : 100MG,$29.00,,
2843048,ANAGRELIDE (AGRYLIN) CAP: 0.5MG,$39.00,,
2843049,BUTORPHANOL (STADOL) 2MG/ML INJ : 10ML,$124.00,,
2843051,ZINC OXIDE OINT : 30GM,$104.00,,
2843052,BUTORPHANOL (STADOL) INJ : 4MG/2ML,$124.00,,
2843054,ISOSOURCE HN (FOR OSMOLITE HN) 250ML,$75.00,,
2843055,morphine SYG : 2MG/ML,$90.00,,
2843057,LOSARTAN (COZAAR) TAB : 50MG,$20.00,,
2843060,metOLazone (ZAROXOLYN) TAB : 2.5MG,$30.00,,
2843063,LOSARTAN (COZAAR) TAB : 25MG,$20.00,,
2843065,FUROSEMIDE (LASIX) INJ : 100MG/10ML,$246.00,,
2843066,BUSULFAN (BUSULFEX) INJ : 60MG/10ML,$86.00,,
2843067,LIDOCAINE 1% WITH EPI : 50ML,$147.00,,
2843068,TORSEMIDE (DEMADEX) TAB : 5MG,$18.00,,
2843069,ZINC OXIDE/PETROL OINT (CRITIC-AID):71GM,$38.00,,
2843070,SERTRALINE (ZOLOFT) TAB : 50MG,$46.00,,
2843071,BusPIRone (BUSPAR) TAB : 5MG,$27.00,,
2843072,ALKA-SELTZER GOLD EFFERVESCENT TAB,$27.00,,
2843074,MINERAL OIL : 30ML,$18.00,,
2843075,LOVASTATIN (MEVACOR) TAB : 20MG,$27.00,,
