Charge Number,Description,Charge
70173382,MYOSURE TISSUE REMOVAL DEVICE,2590
1515720,MYRBETRIQ {MIRABEGRON 25MG} TAB ER,41
1515499,MYRBETRIQ {MIRABEGRON 50MG} TAB ER (S),41
5005447,MYRIAD SPECIMEN COLLECTION,0
1511283,MYSOLINE {PRIMIDONE 250MG} TAB,12
1512598,MYSOLINE {PRIMIDONE 50MG} TAB,8
400498,N BLOCK INJ FACIAL NERVE,670
9009019,N BLOCK INJ GREATHER OCCIPITAL NERVE,670
400479,N BLOCK INJ GREATHER OCCIPITAL NERVE,670
400481,N BLOCK INJ TRIGEMINAL/INFRAORBITAL NERV,670
9009038,N BLOCK LUMBAR/ THORACIC,894.75
9009037,N BLOCK STELLATE GANGLION,670
70174648,N GAGE NITINOL STONE ESTRACTOR,575.95
1514506,NAFCILLIN 2GM A-V/NS 100ML (S),87
70174221,NAIL HUMERAL STRYKER 1830-0722S,2189.44
70174555,NAIL STRYKER 10X400 3525-0400S,3444
70173715,NAIL STRYKER 1826-1334S,2882
70172562,NAIL TIBIA T2 1822-1133S STRYKER,3614
1500687,NALTREXONE HCL 50MG,5
1514938,NAMENDA (MEMANTINE HCL) TAB:5MG (N),17
1519851,NAMENDA {MEMANTINE 7MG} XR CAP,54.77
1515500,NAMENDA {MEMANTINE HCL 14MG} CAP XR,50
1515501,NAMENDA {MEMANTINE HCL 28MG} CAP XR,50
1512582,NAPROSYN (NAPROXEN) TAB:500MG (S),18
1500109,NAPROSYN TAB (NAPROXEN): 250MG (N),8
1500303,NAPROSYN TAB (NAPROXEN): 500MG (N),10
1516202,NAPROSYN TAB {NAPROXEN} 250MG (S),8
1511691,NARCAN {NALOXONE} INJ 0.4MG/1ML,43
1512790,NARCAN {NALOXONE} INJ 2MG/2ML,94
9009061,NARCAN 0.4MG INJ,49
1500110,NAROPIN 0.2%(ROPIVACAINE:2MG/ML)20ML (N),25
1514604,NAROPIN 2MG/ML INFUSION 100ML,99
1517092,NAROPIN 2MG/ML VIAL 20ML,53
1500552,NAROPIN 5MG/ML 20ML AMP,64
1514605,NAROPIN 5MG/ML 30ML AMP,64
1517379,NAROPIN 5MG/ML INFUSION 100ML,99
4704721,NASAL AIRES - SUPPLY,156
9009093,NASAL CANNULA,50
4704706,NASAL CANNULA - SUPPLY,20
5005465,NASH FIBROSURE 550140,0
5005374,NATERA CARRIER SCREEN,0
5005373,NATERA PANORAMA PANEL,0
1514303,NATURALE TEARS OPHTH DROPS 15ML (S),31
70174501,NAVIGATOR HD M0062502280,532.5
4704714,NEBULIZER INITIAL,80
4765040,NEBULIZER INSTRUCT AND EVAL,80
4765041,NEBULIZER SUBSEQUENT,80
4765141,NEBULIZER SUBSEQUENT 2ND MED,80
4704770,NEBULIZER SUBSEQUENT 3RD MED,80
4704702,NEBULIZER SUPPLY,22
70170604,NEEDLE 18G x1 1/2,0.14
52051,NEEDLE 18GX1,0
70170611,NEEDLE 20G 1,0.14
1101189,NEEDLE 21 GA FNA,280.58
1101190,NEEDLE 22 GA FNA,177.93
53058,NEEDLE 22 X1 1/2 100 EA/BX,0
70170606,NEEDLE 22G x1 1/2,0.14
70170605,NEEDLE 25G x1 1/2,0.14
70170603,NEEDLE 27G x 1 1/2,0.13
70170607,NEEDLE 27G x 1/2,0.14
70170609,NEEDLE 30G x 1/2,0.3
1101220,NEEDLE AQUIRE FNA 22G,1512.5
3303503,NEEDLE BIOPSY 13gx4 DBMNJ1304,14.5
3303488,NEEDLE BIOPSY ACT1811,148.77
3303489,NEEDLE BIOPSY ACT1815,172.31
3303490,NEEDLE BIOPSY ACT1820,164.54
3303491,NEEDLE BIOPSY ACT2011,195.33
3303492,NEEDLE BIOPSY ACT2015,195.33
70170610,NEEDLE BLUNT 18G x1 1/2,0.4
70171940,NEEDLE BOOK,25
70172722,NEEDLE ELECTRODE TIP,12
70172015,NEEDLE ENDOPATH 120 PNEUMO,96.39
2531035,NEEDLE EPIDURAL TUOHY 18X31/2,29
1101219,NEEDLE EXPECT FNA 19G,1035
1101218,NEEDLE EXPECT FNA 22G,1035
1101217,NEEDLE EXPECT FNA 25G,1035
70172678,NEEDLE EXPRESS SEW,138
2051323,NEEDLE HOLDER,101.75
41431,NEEDLE HUBER 20 3/4 20/CS,23
2058009,NEEDLE HUBER 20 GA X 1 BMG573114,30.75
2043600,NEEDLE HUBER 20X1 1/2,44.75
2042260,NEEDLE HUBER 22X1 BMG571114,44.75
2056528,NEEDLE HUBER W/EXT SET 19G 1,30
2056264,NEEDLE HUBER W/EXT SET 22G 100/CS,44.75
1130975,NEEDLE INJECTOR,59
70173376,NEEDLE INSUFFLATION SHORT,130.62
2502918,NEEDLE INSULATED 22 STIMI2250,23.43
2030740,NEEDLE JAMSHIDI BIOSPY,39
70172723,NEEDLE MICRO COLORADO,124
70173995,NEEDLE PERC ENTRY W/B PLATE 376260,16.25
61661679,NEEDLE PERIFIX 22 GA TUOHY 3.15,36.37
70174098,NEEDLE PK-NE0533,887.5
70172361,NEEDLE SCORPION,429
70174113,NEEDLE SCORPION AR-12990N,487.5
70174359,NEEDLE SCORPION MULTIFIRE AR-13995N,425
2531092,NEEDLE SPECIAL 18GA ANESTHESIA,29
70170613,NEEDLE SPINAL 18G,4.61
70170612,NEEDLE SPINAL 25G,2.59
2531036,NEEDLE SPINAL WHITACRE,29
52517,NEEDLE SPINE 22GX3 1/2 25 MN B-D405181Z,6.5
70174054,NEEDLE SPROTTE 22X3 1/2 RSH00115130C,49.75
43288,NEEDLE STERILE ELECTRODE 2   40/CS,5.75
70173787,NEEDLE TAPERED AR-7281,570
70131089,NEEDLE VERRES 172015,96
1101206,NEEDLEMASTER NM-610U-0525,104
7007059,NEGATIVE PRESS WOUND THERAPY 50CM OR LES,193.79
5050297,NEISSERIA GONORRHOEAE AMPLIFICATION,62
61661663,NEOBLUE BILI BLANKET COVER,22.88
1511258,NEOMYCIN SULFATE TAB 500MG,12
61661623,NEOSHADE EYE SHIELD SMALL,31.66
1511349,NEOSPORIN {NEOMYC/POLYM/BACIT 30GM} OINT,21
1511345,NEOSPORIN {NEOMYCIN-BACI} OINT PKT 0.94G,10
1514746,NEOSPORIN + PAIN RELIEF OINT 30G (S),24
1513081,NEOSPORIN G.U. IRRIGANT 1ML AMP (S),25
1511292,NEOSPORIN OPHTH OINT 3.5GM (S),38
1512785,NEOSTIGMINE 1:1000 INJ PER ML,36
1511324,NEO-SYNEPHRINE 0.25% NASAL SPRAY 15ML,16
1511716,NEO-SYNEPHRINE 1% INJ 10MG/1ML AMPULE,39
1510026,NEO-SYNEPHRINE 1% NASAL SPRAY 15ML,20
1513002,NEO-SYNEPHRINE 10% OPHTH DROPS 5ML,55
1514206,NEPHRO-VITE {VIT B COMP W/C} TAB (S),10
2031073,NERVE BLOCK,30
70172724,NERVE LOCATOR,173
2030128,NERVE STIMULATOR,91.25
1500112,NESACAINE 3% INJ : 20ML (N),80
1513402,NESACAINE-MPF 3% INJ 30ML (S),115
1500589,NEULASTA 6MG INJ,6090
1515413,NEULASTA INJ #6MG/0.6ML (CC),6090
1515435,NEUPRO PATCH 1MG/24HRS,23
1515198,NEUPRO PATCH:2MG/24HRS,16
1515478,NEUPRO PATCH:4MG/24HRS (S),80.9
70174174,NEUROMEND CNW4025,3772
5050379,NEUROMYELITIS OPTICA AUTOANTIBODY NMO-LG,648
1513683,NEURONTIN {GABAPENTIN 100MG} CAP,8
1513684,NEURONTIN {GABAPENTIN 300MG} CAP,14
1513700,NEURONTIN {GABAPENTIN 400MG} CAP,15
1514645,NEURONTIN {GABAPENTIN 600MG} TAB,14
5092262,NEURONTIN BLOOD 716811,146
70173344,NEUROSTIMULATOR 3058,20760
1512643,NEUTRA-PHOS {SOD BIPHOS-POT} PKT (S),14
1500287,NEUTRA-PHOS TABLET : 250MG (N),10
7007002,NEW PATIENT - LEVEL 2,227.88
7007047,NEW PATIENT - LEVEL 2 W/ PROCEDURE,227.88
9009045,NEW PATIENT LEVEL I,130.93
9009046,NEW PATIENT LEVEL II,130.93
9009047,NEW PATIENT LEVEL III,150.63
61531295,NEWBORN HEARING SCREENING TEST,46
1500135,NEXIUM(ESOMEPRAZOL):20MG FOR TUBE (N),12
1521042,NF-AMILORIDE HCL,16
1521025,NF-AMITIZA ORAL LIQUID,16
1521331,NF-amLODIPine and Benazepril Cap 10MG-40,0
1520860,NF-amLODIPine Besylate/Atorvastatin Calc,0
1521047,NF-ANORO ELLIPTA INHAL,16
1520799,NF-Anoro Ellipta Inhalation Powder,0
1520846,NF-Anoro Ellipta Inhalation Powder,0
1521091,NF-BICALUTAMIDE,16
1520834,NF-BREO ELLIPTA INH PWD 100MCG-25MCG/1AC,0
1520823,NF-BYDUREON BCISE SUBQ SUSP ER 2MG/0.85M,0
1521135,NF-CALCIUM/MAGNESIUM,16
1520984,NF-COENZYME Q-10 LIQUID,15
1518389,NF-DEXTROSE         INJ  50%,0
1520879,NF-Elmiron Oral Capsule 100MG,0
1520800,NF-Entresto Oral Tablet 49MG-51MG,0
1521088,NF-EPLERENONE ORAL TAB,16
1520920,NF-eszopiclone Oral Tablet 3MG,0
1521217,NF-FAMCICLOVIR AVPAK ORAL TABLET 500MG,0
1520851,NF-Farxiga Oral Tablet 10MG,0
1520907,NF-Ferrous Gluconate Tablet 324MG,0
1521037,NF-FOLBIC ORAL TABLET,16
1520943,NF-Gabapentin Oral Tablet 800MG,0
1520845,NF-HYDROcodone-Acetaminophen Tab 7.5-325,0
1520828,NF-Ilevro Ophthalmic Suspension 0.3%,0
1521131,NF-JARDIANCE ORAL TAB,16
1520889,NF-LaMICtal Tablet 150MG,0
1520897,NF-Levonorgestrel/Ethinyl Estradiol Tabl,0
1520875,NF-Lopressor Oral Tablet 50MG,0
1521159,NF-MAGOX 400 MG ORAL TAB,16
1520615,NF-Melatonin Oral Tablet 10MG,0
1520863,NF-Melatonin Tablet 0.3MG,0
1520905,NF-Mirtazapine Tablet 7.5MG,0
1521017,NF-NAMZARIC CAP ER 21 MG,16
1521054,NF-NEO-POLYMX-DEXAMETH,16
1521101,NF-PARICALCITOL CAPS,16
1520805,NF-PILOCARPINE HCL ORAL TABLET 5MG,0
1521062,NF-PILOCARPINE ORAL TAB,16
1521107,NF-POTASSIUM GLUCONATE,16
1520890,NF-QUEtiapine Fumarate Oral Tablet 50MG,0
1521295,NF-QUININE SULFATE CAP 324MG,0
1521000,NF-RANEXA EXTENDED RELEASE TAB,18
1521143,NF-RENA-VITE TAB,0
1521216,NF-SYEDA ORAL TABLET,0
1521061,NF-SYNJARDY ORAL TABLET,16
1521153,NF-TACROLIMU CAP 0.5 MG,16
1521086,NF-TACROLIMU CAP 1 MG,16
1521150,NF-TACROLIMUS CAP 1 MG,16
1520896,NF-TACROLIMUS CAP 1MG,0
1521144,NF-TACROLIMUS CAP 1MG,0
1521029,NF-TACROLIMUS CAP 1MG,16
1521028,NF-TACROLIMUS CAP 5 MG,16
1520848,NF-TACROLIMUS CAP 5MG,0
1521362,NF-Tacrolimus Oral Capsule 1MG,0
1521322,NF-Tacrolimus Oral Capsule 1MG,0
1520931,NF-Tanzeum Subcutaneous Pwd for Soln 30M,0
1520909,NF-Timolol Maleate Ophth Solution 0.5%,0
1521100,NF-Tivicay Oral Tablet 50MG,0
1521251,NF-TRINTELLIX TAB 10MG,0
1520915,NF-Triumeq Oral Tablet 600MG-50MG-300MG,0
1521152,NF-VALGANCICLOVIR,16
1520599,NF-VRAYLAR CAP 3MG,0
1521236,NF-Vraylar Oral Capsule 3MG,0
1521151,NF-WAL-ITIN ORAL TABLET,16
1520795,NF-ZENPEP CAP DR NO STRENGTH,0
1520798,NF-ZENPEP CAP DR NO STRENGTH,0
1520817,NF-ZENPEP ORAL DELAYED RELEASE CAPSULE,0
1520928,NF-Zofran Tablet 4MG,0
1521069,NF-ZOLPIDEM,16
5094193,NIACIN (VITAMIN B3)  070115,85
1512644,NIACIN 250MG SR CAP,10
1500136,NIACIN TAB : 100MG (N),8
1514337,NIACIN TAB 500MG,3
5005015,NICKEL URINE 071563,142
5032975,NICOTINE (BLOOD) 071255,88
5050395,NICOTINE (URINE)  716555,52
1513324,NICOTINE PATCH 14MG/24HR,17
1513319,NICOTINE PATCH 21MG/24HR,22
1513338,NICOTINE PATCH 7MG/24HR,14
55006,"NITRATE SILVER 6 ,100/VIAL",108
1513418,NITROGLYCERIN 50MG/D5W 250ML,191
1512713,NITROGLYCERIN INJ 50MG/10ML VIAL,43
1510117,NITROGLYCERIN OINT PKT 2% 1GM,12
1512642,NITROGLYCERIN PATCH 0.1MG/HR (2.5MG),13
1511270,NITROGLYCERIN PATCH 0.2MG/HR (5MG),14
1511151,NITROGLYCERIN PATCH 0.4MG/HR (10MG),14
1513021,NITROLINGUAL {NITROGLYCERIN 14.49G} SPRY,210
1512571,NITROPRESS{NITROPRUSSIDE}INJ 50MG VIAL,1666.8
1512262,NITROSTAT {NITROGLYCERIN 0.4MG} (25) TAB,30
9009064,NITROSTAT 1/150 SL,30
1513215,NIX 1% {PERMETHRIN} RINSE 60ML,30
1512968,NIZORAL 2% (KETOCONAZOLE) CREAM:15GM,33
1513630,NIZORAL SHAMPOO {KETOCONAZOLE 2%} 120ML,54
3570355,NM (TAGGED RED BLOOD CELL),822
3503574,NM BONE SCAN (SPECT),930
3570294,NM BONE SCAN (WHOLE BODY),941
3570317,NM BONE SCAN THREE PHASE STUDY,1044
3570443,NM GASTRIC EMPTYING,409
3570448,NM HIDA SCAN W/ E.F.,1025
3570261,NM HIDA SCAN W/O E.F.,1025
3503581,NM IN-111 LABELED AUTO WBC PER STDY DOSE,2617
3503519,NM LEXISCAN,1194
3570344,NM LIVER/SPLEEN SPECT IMAGING,986
3570272,NM LUNG SCAN (PERFUSION),592
3570273,NM LUNG SCAN (VENTILATION),913
3570855,NM LUNG SCAN VENT AND PERF,1505
3570264,NM MECKELS SCAN,779
3570268,NM MUGA,986
3303459,NM MUGA - NON RAD,986
3503570,NM MYOCAR MULTISPE W/EF&WM NON-RAD,1940
3503568,NM MYOCARDIAL MULTI PLANAR W/EF & WM,1940
3570346,NM MYOCARDIAL MULTI SPECT W/EF & WM,1940
3570347,NM MYOCARDIAL SINGLE SPECT W/EF & WM,1940
3503507,NM OCTREOSCAN WHOLE BODY MULTIPLE,2821
3503575,NM PARATHYROID INJECTION FOR SURGERY,400
3570351,NM PARATHYROID SCAN PLANAR IMAGING,969
3503577,NM PARATHYROID SCAN SPECT IMAGING,1225
3570859,NM RAD PHARM 1 123 PER 100UCI,64
3570867,NM RAD PHARM ALBUMIN AGGREG (MAA) DOSE,76
3570861,NM RAD PHARM CARDIOLITE PER DOSE,207
3570856,NM RAD PHARM IN 111 DTPA PER 0.5 MCI,2680
3503571,NM RAD PHARM IN-111 PENTETREOTIDE <6MCI,3145
3570863,NM RAD PHARM MEBROFENIN PER DOSE,125
3570864,NM RAD PHARM MEDRONATE PER DOSE,32
3503503,NM RAD PHARM MERTIATIDE MAG-3,576
3570862,NM RAD PHARM MYOVIEW PER DOSE,161
3570865,NM RAD PHARM PENETATE (DTPA) PER DOSE,117
3503510,NM RAD PHARM PYP,143
3503509,NM RAD PHARM RBC/MECKELS,61
3570866,NM RAD PHARM SULFUR COLLOID PE,132
3503518,NM RAD PHARM TECHNETIUM TC99 PER MCI,28
3503573,NM RAD PHARM WBC IN 111 OXINE PER 0.5MCI,2617
3503580,NM RAD PHARM XOFIGO PER MICROCURIE,296.8
3570271,NM RENAL SCAN,477
3503506,NM RENAL SCAN W/ DIURETIC,713
3570588,NM SCINTIMAMMOGRAPHY,891
3503512,NM SCINTIMAMMOGRAPHY INJECTION,81
3570308,NM THYROID SCAN (1 123),1080
3570266,NM THYROID SCAN (TC 99),668
3571076,NM WHITE BLOOD CELL IMAGING,1241
3503579,NM XOFIGO ADMINISTRATION,608.15
5050305,NMR PROFILE 884318,150
70180056,NO 3. TRIATHLON TS PLUS TIBIAL INSERT X3,3897.6
70180206,NO 3. TRIATHLON TS PLUS TIBIAL INSERT X3,3897.6
70180116,NO 5. TRIATHLON TS PLUS TIBIAL INSERT X3,3897.6
70185135,NO 6. TRIATHLON TS PLUS TIBIAL INSERT X3,3897.6
70185171,NO 6. TRIATHLON TS PLUS TIBIAL INSERT X3,3897.6
9909916,NO DC FOLLOW UP MD,0
1511381,NOLVADEX {TAMOXIFEN 10MG} TAB,17
61130488,NON STRESS-TEST OB,140
4704701,NON-REBREATER/PARTIAL REBREATHER MASK,34
1515441,NORCO 10/325 {HYDROcodone-APAP} TAB,14
1500404,NORCO 5 {HYDROcodone/APAP},12
1500458,NORCO 7.5 {HYDROcodone/APAP},12
1512634,NORCURON {VECURONIUM} INJ 10MG/10ML VIAL,159
1511384,NORFLEX {ORPHENADRINE 100MG} TAB,14
1511383,NORFLEX {ORPHENADRINE} INJ 60MG/2ML,51
70170575,NORMAL SALINE 1000CC BAG,98
70170581,NORMAL SALINE 2000CC BOTTLE,98
70170579,NORMAL SALINE 3000CC BAG,139
1500139,NORMODYNE (LABETALOL) TAB:100MG (N),12
1512509,NORMODYNE {LABETALOL 200MG} TAB,14
1514157,NORMODYNE {LABETALOL} INJ 20MG/4ML (S),14
5050227,"NOROVIRUS DETECTION, RT-PCR 138307",360
5092193,NORTRIPTYLINE (PAMELOR)(AVENTYL) 007393,91.5
1513776,NORVASC (amLODIPine) TAB:2.5MG,12
1514802,NORVASC {amLODIPine 10MG} TAB (S),13
1513442,NORVASC {amLODIPine 5MG} TAB (S),13
1500304,NORVASC TAB (AMLODIPINE) 10MG (N),10
1500306,NORVASC TAB (AMLODIPINE): 5MG (N),10
3370100,NOSE/NASAL BONE,293
70170262,NOVASURE,2125
61661678,NOVI PATCH,116.85
1516000,NPLATE 250MCG/0.5ML INJ (N),5000
1500652,NS /PITOCIN {OXYTOCIN} 30UNITS/500ML,160
9009095,NS 0.9% IVF: 1000ML,112
9009094,NS 0.9% IVF: 500ML,32
68716,NS 250ML,0
5005059,N-TELOPEPTIDE (NTX),161
70180045,NTROL 360  Anatomic Biplanar  Fixation K,7000
1500570,NUBAIN {NALBUPHINE} 10MG/ML,35
1515319,NUBAIN {NALBUPHINE} INJ 10MG/1ML AMP (S),69
1512141,NUBAIN {NALBUPHINE} INJ 20MG/1ML AMP (S),69
1521048,NUCALA SUBCUTANEOUS PWD FOR SOLN 100MG,5163
5084101,NUCLEOTIDASE-5',62
1515492,NUEDEXTA {DM/QUINIDINE} CAP 20/10 (S),58
1512608,NULYTELY SOLN 4000ML (S),59
1511406,NUPERCAINAL {DIBUCAINE} 1% OINT 30GRAM,28
1511265,NYSTATIN CREAM 15GM,55
1513534,NYSTATIN CREAM 30GM,16
1511266,NYSTATIN OINTMENT 15GM,53
1511267,NYSTATIN OINTMENT 30GM (S),59
1513089,NYSTATIN POWDER 15GM,74
1511268,"NYSTATIN SUSP 500,000UNITS/5ML UD",29
4704799,O2 CHECK,0
4704762,O2 DAILY CHARGE,12
4704763,O2 MASK SUPPLIES,41
5050126,O2 SATURATION,60
7007056,OASIS PER SQ CM,20.09
70173443,OASIS WOUND MATRIX 7X10 TRIPLE LAYER,1875
5005437,OB MEDTOX DRUG SCREEN,0
61631079,OB OR-C SECTION,1791
99931039,OBSERVATION DIRECT ADMIT,1
99930743,OBSERVATION EACH HOUR >12,25
99930742,OBSERVATION EACH HOUR 1-12,80
61661632,OBSERVATION EACH HOUR OB >12,25
61661605,OBSERVATION EACH HOUR OB 1-12,80
5050191,OBSTETRIC PANEL,292
5050189,OCCULT BLOOD (FECES) 1-3 SCREENING,25
5050188,OCCULT BLOOD (FECES)1-3 SYMPTOMATIC,25
5081027,OCCULT BLOOD (GASTRIC/VOMITUS),31
3403517,O-CT ABD/PELVIS W/ CONTRAST,1860
3403518,O-CT ABD/PELVIS W/O CONTRAST,1388
3403519,O-CT ABD/PELVIS W/WO CONTRAST,2080
3403521,O-CT ABDOMEN W/O CONTRAST,1388
3403522,O-CT ABDOMEN W/WO CONTRAST,2080
3403523,O-CT CERVICAL SPINE W/O CONTRAST,2142
3403524,O-CT CHEST W/CONTRAST,1549
3403525,O-CT CHEST W/O CONTRAST,1388
3403526,O-CT CHEST W/WO CONTRAST,1771
3403527,O-CT DORSAL SPINE W/O CONTRAST,1860
3403528,O-CT EXTREMITY LOWER W/O CONTRAST,1388
3403531,O-CT HEAD W/O CONTRAST,1549
3403533,O-CT HELICAL IVP W/O CONTRAST,1388
3403534,O-CT LUMBAR SPINE W/O CONTRAST,1860
3403541,O-CT SINUS (MEDTRONIC) W/O CONTRAST,1495
3403542,O-CT SINUSES LIMITED W/O CONTRAST,386
3403543,O-CT SINUSES OR FACIAL BONES W/O CONTR,1495
3403544,O-CT SOFT TISSUE NECK W/CONTRAST,1860
1513819,OCUFLOX 0.3% OPHTH {OFLOXACIN} 5ML,80
1514915,OCUVITE TAB (S),7
1515302,OFIRMEV{ACETAMINOPHEN}10MG/ML 100ML,59
44525,OINTMENT ANTIBIOTIC 144/BX,18.75
43355,OINTMENT TRIPLE,0
5005431,OJ,70
5005472,OLANZAPINE 811513,359
70174228,OLECRANON PLATE    4 HOLE / PLATE 629344,1846.9
70174200,OLECRANON PLATE   4 HOLE / RPLATE 629364,1846.9
5050390,OLIGOCLONAL BANDS,50
70174618,OLIVE WIRE SMOOTH 1.3MM P99-250-1309,260
70174452,"Olive wire, SMOOTH, 1.4 mm",251.88
70185117,"Olive wire, SMOOTH, Short Tip, 1.8 mm",251.88
70174574,OlOLIVE WIRE THREADED 1.4MM P99-201-1406,268.12
70173768,OMEGA PLUS 2.8mm THREADED TIP GUIDE PIN,99.6
70185039,OMEGA PLUS LAG OMEGA PLUS LAG SCREW 90mm,555.45
70173833,OMEGA PLUS LAG SCREW 80mmLAG 3362-5-080,555.45
70180086,OMEGA PLUS LAG SCREW 95mm,555.45
70180093,OMEGA PLUS LAGOMEGA PLUS LAG SCREW 105mm,555.45
70173725,OMEGA PLUS SCREW STANDARD LAG 3362-5-100,555.45
33033242,OMNI CONTRAST 180 PER 20 ml,40
70174640,OMNI SURGICAL SYSTEM 1-100,2798
1514218,OMNICEF {CEFDINIR 300MG} CAP,20
1515399,OMNICEF {CEFDINIR} SUSP 5ML ED DOSE (S),6
1514286,OMNICEF SUSP 125MG/5ML 60ML (N),168
1500434,ONGLYZA {SAXAGLIPTIN 5MG} TAB,18
3403447,OP CT ARRIVAL,0
3303454,OP DEXA SCAN ARRIVAL,0
3703704,OP EKG ARRIVAL,0
5050467,OP LAB ARRIVAL,0
3303453,OP MAMMO ARRIVAL,0
3003015,OP MRI ARRIVAL,0
3503520,OP NUCMED ARRIVAL,0
4704766,OP RESP ARRIVAL,0
3904002,OP SPECIAL PROCEDURE ARRIVAL,0
3203236,OP US ARRIVAL,0
3303401,OP XRAY ARRIVAL,0
1515278,OPANA {OXYMORPHONE 10MG} ER TAB (S),18
1500585,OPANA {OXYMORPHONE 5MG} ER TAB (N),18
3370101,OPERATIVE CHOLANGIOGRAM,583
3303407,OPERATIVE CHOLANGIOGRAM (AD SET) NON-RAD,199
3303406,OPERATIVE CHOLANGIOGRAM NON-RAD,583
5094153,OPIATES CONF (PAIN)  737846,146
5084184,OPIATES CONFIRM 737834,150
4704821,OPTIFLOW ADULT CANNULA LARGE,61.66
4704820,OPTIFLOW ADULT CANNULA MEDIUM,61.66
4704819,OPTIFLOW ADULT CANNULA SMALL,61.66
4704822,OPTIFLOW ADULT TRACHE DIRECT CONNECT,61.66
70173337,OPTIVIEW 15MM B15LT,324.63
1512662,ORAJEL 20% {BENZOCAINE 7GM} GEL (S),16
1500141,ORAJEL GEL 15% (BENZOCAINE) (N),18
1517385,ORBACTIV 400 MG VIAL,1740
70173928,ORBERA ASPIRATION NEEDLE EXTRACT TOOL,1175
70173927,ORBERA INTRAGASTRIC BALLOON B-4800,3700
3370102,ORBITS,282
5050536,ORGANIC ACID ANALYSIS URINE 716720,225
5092431,ORGANIC ACID QUANT EACH SPECIMEN  716720,356
70130006,OR-MAJ 1 HOUR,1600
70172442,OR-MAJ 1/4 HOUR,150
70172732,ORT SAW BLADE,144
70172365,ORTHO YANKAUER SUCTION,21.6
6506721,ORTHOTIC SOFT INSERT,0
6565154,ORTHOTIC TRAINING (INITIAL) EACH 15 MIN,88
1512832,OSCAL 500 {CALCIUM} TAB (S),7
1514706,OSCAL 500+D {CALCIUM/VIT D} TAB,7
5092110,OSMOLALITY SERUM - INHOUSE,68
5094194,OSMOLALITY SERUM DIRECT 002071,150
5091035,OSMOLALITY URINE,70
5050507,OSMOLALITY URINE DIRECT 003442,70
6506875,OT E-STIM MANUAL,98
6506869,OT E-STIM UNATTENDED,61
6506734,OT EXAMINATION - LOW,174
6506735,OT EXAMINATION - MODERATE,174
6506745,OT MANUAL THERAPY,42
6564179,OT MASSAGE (1 AREA),50.5
6506870,OT NEUROMUSCULAR RE-EDUCATION,88
6506743,OT PARAFFIN BATH,51
6506868,OT ROM MEASUREMENT,75
6506872,OT SPLINT FINGER 2 1/4  PLASTALUME,5.4
6506871,OT THERAPEUTIC ACTIVITY/KINETIC,42
6506738,OT THERAPEUTIC EXERCISE EA 15 MIN,53
6506744,OT ULTRASOUND/PHONOPHORESIS,66
330678,OUTPATIENT SERV LEVEL I ESTABLSH,51
330679,OUTPATIENT SERV LEVEL II ESTABLSH,126
330680,OUTPATIENT SERV LEVEL III ESTABLSH,159
5081025,OVA AND PARASITES,59
5005583,OVA AND PARASITES MMCN,59
70170651,OVAL DISTENTION BALLOON,354
70174042,OVERDRILL 2.7DIA FOR LAGGING SCREWS,253
70180175,OVERDRILL 3.5DIA FOR LAGGING SCREWS,253
70173853,OVERSTITCH 2-0 POLYPROP SUTURE,120
70173852,OVERSTITCH ENDO SUTURING SYSTEM,1997.5
70173856,OVERSTITCH OVERTUBE ENDO ACC SYSTEM,410
70173854,OVERSTITCH SUTURE CINCH,152.5
70173855,OVERSTITCH TISSUE HELEX,451.25
5084105,OXALATE-URINE 003970,92
5005009,OXCARBAZEPINE 716928,240
4704748,OXISENSOR ADULT MAXA,35
2502932,OXISENSOR ADULT MAXA,45
2040716,OXISENSOR ADULT MAXA  24MIN,51.75
2030980,OXISENSOR MONITOR NELLCOR,103.25
2053811,OXISENSOR NEONATAL 24MIN MAXNR,63.25
2502931,OXISENSOR PEDI MAXP D20,45
53810,OXISENSOR PEDI. 24MIN MAXP,51.75
1500143,oxy IR TAB (oxyCODONE): 30MG (N),12
1515250,oxy IR TAB {OXYCODONE} 15MG (S),12
1514314,oxy IR TAB {oxyCODONE} 5MG,12
2030168,OXYCEL GAUZE 4X4,15.25
1513969,OxyCONTIN {oxyCODONE 10MG} ER TAB,12
1514598,OxyCONTIN {oxyCODONE 40MG} ER TAB,21
1500144,OxyCONTIN TAB (oxyCODONE ER): 20MG (N),12
4765044,OXYGEN LABOR & DELIVERY,47
4765121,OXYGEN PORTABLE,47
4765081,OXYGEN RECOVERY ROOM PER HOUR,49
4765023,OXYGEN THERAPY DAILY,575
61561510,OXYHOOD DISPOSABLE 0305W,50.32
5050480,P2Y12 FUNCTION,100
5005565,P2Y12 FUNCTION MMCN,100
61661637,PACIFIER PREEMIE LIME GREEN NATUS,6.63
70170388,PACK ARTHROSCOPY,918
70170300,PACK BEACH CHAIR SHOULDER,46.23
70173411,PACK CAROTID VASCULAR-LF,352.8
2051225,PACK COLD INSTANT LRG.24/CS,3.5
2056571,PACK C-SECTION 4/CA DYNJ26155D,357
70170404,PACK CYSTO,96.75
70174634,PACK CYSTO  DYNJ56809,75
70131085,PACK D & C,131
70170384,PACK D&C,131
70174633,PACK DENTAL DYNJ58828,67.5
70173221,PACK DRAINAGE HEAVY,8.5
