Hospital Service, Price ,,,,,,,,
URINE EOSINOPHIL COUNT          , $136.00 ,,,,,,,,
URINE REDUCING SUBSTANCES       , $72.00 ,,,,,,,,
PRT ELECTROPHORESIS URINE       , $283.00 ,,,,,,,,
"MYOGLOBIN, URINE.               ", $424.00 ,,,,,,,,
MAGNESIUM URINE                 , $149.00 ,,,,,,,,
HEMOSIDERIN QL URINE            , $187.00 ,,,,,,,,
CREATININE CLEARANCE            , $189.00 ,,,,,,,,
AMYLASE(TIMED) URINE            , $132.00 ,,,,,,,,
CALCIUM(TIMED) URINE            , $157.00 ,,,,,,,,
CHLORIDE(TIMED) URINE           , $157.00 ,,,,,,,,
CREATININE(TIMED) URINE         , $157.00 ,,,,,,,,
GLUCOSE(TIMED) URINE            , $109.00 ,,,,,,,,
OSMOLALITY(TIMED) URINE         , $245.00 ,,,,,,,,
PHOSPHOROUS(TIMED) URINE        , $157.00 ,,,,,,,,
"PROTEIN, URINE, 24 HOUR         ", $172.00 ,,,,,,,,
URIC ACID; OTHER SOURCE         , $155.00 ,,,,,,,,
UREA NITROGEN(TIMED) URINE      , $157.00 ,,,,,,,,
AMINO ACIDS URINE               , $71.00 ,,,,,,,,
AMINOLEVULINIC ACID             , $391.00 ,,,,,,,,
ARSENIC 24HR URINE              , $373.00 ,,,,,,,,
ARYLSULFATASE B                 , $69.00 ,,,,,,,,
CALCIUM SPOT URINE              , $157.00 ,,,,,,,,
CITRATE URINE                   , $238.00 ,,,,,,,,
COPPER SPOT URINE               , $304.00 ,,,,,,,,
CREATINE(TIMED) URINE           , $143.00 ,,,,,,,,
GLUCOSE URINE                   , $109.00 ,,,,,,,,
HYDROXYPROLINE TOTAL            , $570.00 ,,,,,,,,
HYDROXYPROLINE PLASMA FREE      , $284.00 ,,,,,,,,
LEAD 24HR URINE                 , $229.00 ,,,,,,,,
MERCURY QT 24HR URINE           , $402.00 ,,,,,,,,
METANEPHRINES TOTAL             , $752.00 ,,,,,,,,
URINE ORGANIC ACIDS QUANT       , $553.00 ,,,,,,,,
OXALATE URINE                   , $146.00 ,,,,,,,,
"PHOSPHOROUS INORGANIC, URINE    ", $157.00 ,,,,,,,,
PORPHYRINS FRACTION             , $351.00 ,,,,,,,,
"POTASSIUM, URINE                ", $157.00 ,,,,,,,,
POTASSIUM(TIMED) URINE          , $157.00 ,,,,,,,,
SODIUM  URINE                   , $157.00 ,,,,,,,,
SODIUM(TIMED) URINE             , $157.00 ,,,,,,,,
TETRAHYDRO-S                    , $456.00 ,,,,,,,,
UREA NITROGEN URINE             , $157.00 ,,,,,,,,
URIC ACID SPOT URINE            , $155.00 ,,,,,,,,
COPPER 24HR URINE               , $304.00 ,,,,,,,,
URINE MAGNESIUM TIMED           , $149.00 ,,,,,,,,
VMA                             , $346.00 ,,,,,,,,
5-HIAA 24HR URINE               , $338.00 ,,,,,,,,
PORPHYRINS QUANT                , $351.00 ,,,,,,,,
IMMUNOFIXATION URINE            , $230.00 ,,,,,,,,
MUCOPOLYSACCHARIDES             , $456.00 ,,,,,,,,
"PORPHOBILINOGEN, UR QUANT       ", $223.00 ,,,,,,,,
HOMOVANILLIC ACID 24HR URINE    , $476.00 ,,,,,,,,
"CREATININE URINE, OTHER SOURCE  ", $157.00 ,,,,,,,,
URINE KETONE                    , $71.00 ,,,,,,,,
URINE MICROALBUMIN              , $175.00 ,,,,,,,,
ALCOHOL-URINE                   , $264.00 ,,,,,,,,
NICOTINE URINE                  , $244.00 ,,,,,,,,
OROTIC ACID URINE               , $191.00 ,,,,,,,,
URINE ACYLGLYCINES QUANTITATIV  , $191.00 ,,,,,,,,
GLCOSAMINOGLYCANS GAGS          , $338.00 ,,,,,,,,
STONE RISK PROFILE              , $238.00 ,,,,,,,,
"CARBOHYDRATE, URINE             ", $214.00 ,,,,,,,,
"N,MENINGITIDIS-B AG URINE       ", $143.00 ,,,,,,,,
S.PENUMONIAE AG URINE           , $143.00 ,,,,,,,,
HEMOGLOBIN FREE URINE           , $138.00 ,,,,,,,,
LSD QUAL URINE                  , $264.00 ,,,,,,,,
DRUG CONFIRMATION EA PRODEDURE  , $264.00 ,,,,,,,,
RANDOM URINE TOTAL PROTEIN      , $172.00 ,,,,,,,,
PORPHOBILINOGEN 24 HR           , $223.00 ,,,,,,,,
"DELTA ALA, 24 HR URINE          ", $391.00 ,,,,,,,,
24 HOUR URINE UREA NITROGEN     , $157.00 ,,,,,,,,
24 HOUR URINE URIC ACID         , $155.00 ,,,,,,,,
CITRIC ACID 24 HR URINE         , $238.00 ,,,,,,,,
HOMOCYSTEINE URINE TOTAL        , $521.00 ,,,,,,,,
URINE HOMOVANILLIC ACID         , $476.00 ,,,,,,,,
"MICROALBUMIN,24 HOUR UR         ", $175.00 ,,,,,,,,
"OXYCODONE CONFIRM,GCMS,URINE    ", $105.00 ,,,,,,,,
PROPOXYPHENE URINE              , $105.00 ,,,,,,,,
STONE CRYSTALOGRAPH             , $256.00 ,,,,,,,,
"THC, URINE                      ", $191.00 ,,,,,,,,
DRUG SCREEN MULTIPLE CLASS      , $264.00 ,,,,,,,,
CATECHOLAMINES - FRACT          , $593.00 ,,,,,,,,
URINE OSMOLALITY 24 HR          , $245.00 ,,,,,,,,
DOXEPIN                         , $370.00 ,,,,,,,,
LSD QUANT URINE                 , $244.00 ,,,,,,,,
CADMIUM 24HR URINE              , $157.00 ,,,,,,,,
COBALT 24HR URINE               , $256.00 ,,,,,,,,
POST EJACULATORY URINE          , $137.00 ,,,,,,,,
ARSENIC RANDOM URINE            , $373.00 ,,,,,,,,
CYSTINE 24 HOUR URINE           , $158.00 ,,,,,,,,
CYSTINE RANDOM URINE            , $158.00 ,,,,,,,,
BENZODIAZEPINES URINE QL        , $264.00 ,,,,,,,,
S. PNEUMONIAE AG URINE          , $143.00 ,,,,,,,,
STREP  GROUP B AG URINE         , $143.00 ,,,,,,,,
URINE BENZODIAZEPINE            , $264.00 ,,,,,,,,
URINE COCAINE METABOLITE        , $264.00 ,,,,,,,,
URINE METHADONE                 , $264.00 ,,,,,,,,
URINE PHENCYCLIDINE             , $264.00 ,,,,,,,,
ACYLGLYCINES QUANT              , $456.00 ,,,,,,,,
METHYLMALONIC ACID URINE        , $427.00 ,,,,,,,,
ORGANIC ACIDS URINE             , $392.00 ,,,,,,,,
OROTIC ACID URINE               , $427.00 ,,,,,,,,
URINE HCG POINT OF CARE         , $165.00 ,,,,,,,,
OXYCODONE CONFIRM               , $114.00 ,,,,,,,,
URINE HCG                       , $165.00 ,,,,,,,,
URINE CUP DRUG SCREEN           , $69.00 ,,,,,,,,
BETA 2 MICROGLOBULIN            , $360.00 ,,,,,,,,
ARUP PAIN MANAGE DRUG PANEL     , $101.00 ,,,,,,,,
THYROGLOBULIN AB                , $457.00 ,,,,,,,,
MOLECULE ISOLATE NUCLEIC        , $30.00 ,,,,,,,,
MOLECULE NUCLEIC AMPLI EACH     , $186.00 ,,,,,,,,
NUCLEIC ACID PROBE EACH         , $46.00 ,,,,,,,,
MOLECULE MUTATION SCAN          , $119.00 ,,,,,,,,
REVERSE TRANSCRIPTION           , $100.00 ,,,,,,,,
CBC & PLTS AUTO (W/O DIFF)      , $95.00 ,,,,,,,,
MANUAL DIFFERENTIAL             , $185.00 ,,,,,,,,
"CBC & PLTS, AUTO W/ AUTO DIFF   ", $123.00 ,,,,,,,,
RETICULOCYTE COUNT              , $123.00 ,,,,,,,,
SEDIMENTATION RATE MANUAL       , $95.00 ,,,,,,,,
SICKLE PREP REDUCTION           , $114.00 ,,,,,,,,
HEMOGLOBIN                      , $81.00 ,,,,,,,,
IRON                            , $124.00 ,,,,,,,,
B12 VITAMIN                     , $284.00 ,,,,,,,,
"FOLIC ACID, SERUM               ", $314.00 ,,,,,,,,
RBC FOLATE                      , $460.00 ,,,,,,,,
FERRITIN                        , $280.00 ,,,,,,,,
HEMOGLOBIN SEPARATION  BY HPLC  , $329.00 ,,,,,,,,
HEMOGLOBIN A2                   , $282.00 ,,,,,,,,
HEMOGLOBIN F                    , $282.00 ,,,,,,,,
HAPTOGLOBIN QT                  , $323.00 ,,,,,,,,
G6PD SCREEN                     , $197.00 ,,,,,,,,
PYRUVATE KINASE                 , $261.00 ,,,,,,,,
PT                              , $105.00 ,,,,,,,,
APTT                            , $124.00 ,,,,,,,,
THROMBIN TIME                   , $155.00 ,,,,,,,,
FIBRINOGEN                      , $325.00 ,,,,,,,,
FDP                             , $276.00 ,,,,,,,,
PT CORR WITH NORM PL            , $105.00 ,,,,,,,,
APTT CORRECTION NORM PL         , $124.00 ,,,,,,,,
D DIMER QUANT                   , $328.00 ,,,,,,,,
REPTILASE                       , $352.00 ,,,,,,,,
LUPUS ANTICOAGULANT DRVVT       , $327.00 ,,,,,,,,
ANTI THROMBIN III ACT           , $617.00 ,,,,,,,,
HEMOGLOBIN A1C                  , $210.00 ,,,,,,,,
PLATELET COUNT AUTO             , $76.00 ,,,,,,,,
CIRCULATING INHIBITOR           , $327.00 ,,,,,,,,
CRYOFIBRINOGEN                  , $147.00 ,,,,,,,,
FACTOR 8 INHIBITOR              , $327.00 ,,,,,,,,
FACTOR 8 VW FACTOR AG           , $581.00 ,,,,,,,,
FACTOR II                       , $581.00 ,,,,,,,,
FACTOR IX                       , $581.00 ,,,,,,,,
FACTOR V                        , $581.00 ,,,,,,,,
FACTOR VII                      , $581.00 ,,,,,,,,
FACTOR VIII                     , $553.00 ,,,,,,,,
FACTOR X                        , $581.00 ,,,,,,,,
FACTOR XI                       , $581.00 ,,,,,,,,
FACTOR XII                      , $581.00 ,,,,,,,,
FACTOR XIII                     , $383.00 ,,,,,,,,
LEUKOCYTE ALK PHOS              , $239.00 ,,,,,,,,
LYSOZYME     BLOOD              , $404.00 ,,,,,,,,
METHEMOGLOBIN QT                , $323.00 ,,,,,,,,
PLASMA HEMOGLOBIN               , $161.00 ,,,,,,,,
PROTEIN C FUNCT.                , $543.00 ,,,,,,,,
PROTEIN S FUNCTIONAL            , $597.00 ,,,,,,,,
PYRUVATE     BLOOD              , $445.00 ,,,,,,,,
SERUM VISCOSITY                 , $276.00 ,,,,,,,,
TOTAL IGE                       , $300.00 ,,,,,,,,
UNSTABLE HEMOGLOBIN             , $252.00 ,,,,,,,,
ERYTH PROTOPORPHYRIN            , $250.00 ,,,,,,,,
ERYTHROPOIETIN                  , $443.00 ,,,,,,,,
RBC FETAL HGB STAIN             , $209.00 ,,,,,,,,
"BILE ACIDS, TOTAL               ", $172.00 ,,,,,,,,
BIOTINIDASE ACTIVITY EA         , $283.00 ,,,,,,,,
DIGITOXIN                       , $247.00 ,,,,,,,,
ENDOMYSIAL AB IGA               , $320.00 ,,,,,,,,
H.PYLORI AB                     , $290.00 ,,,,,,,,
HDV                             , $285.00 ,,,,,,,,
JO-1 ANTIBODY                   , $255.00 ,,,,,,,,
LORZAEPAM                       , $322.00 ,,,,,,,,
NEOPTERIN                       , $479.00 ,,,,,,,,
RICKETTSIA AB (IGG OR IGM)      , $157.00 ,,,,,,,,
SCLERODERMA-SCL 70 AB           , $255.00 ,,,,,,,,
THIOCYANATE                     , $360.00 ,,,,,,,,
FRUCTOSAMINE                    , $229.00 ,,,,,,,,
THALLIUM                        , $256.00 ,,,,,,,,
APC RESISTANCE                  , $109.00 ,,,,,,,,
HEPARIN ANTIBODY                , $401.00 ,,,,,,,,
H. PYLORI IGA ELISA             , $290.00 ,,,,,,,,
PLATELET AB (IGG) INDIRECT      , $401.00 ,,,,,,,,
NEUTROPHILE CYTOPLASMA AB       , $465.00 ,,,,,,,,
PLASMINOGEN ACT INHIBIT AG      , $535.00 ,,,,,,,,
PLATELET AB PROFILE             , $401.00 ,,,,,,,,
PLATELET GLYCOPROTEIN AB        , $401.00 ,,,,,,,,
" PLATELET AGG , ADP             ", $233.00 ,,,,,,,,
" PLATELET AGG,COLLAGEN          ", $233.00 ,,,,,,,,
" PLATELET AGG, EPINEPHINE       ", $233.00 ,,,,,,,,
" PLATELET AGG, RISTOCETIN       ", $233.00 ,,,,,,,,
" PLT AGG,HEPARIN 200 UNITS      ", $233.00 ,,,,,,,,
" PLT AGG,HEPARIN 50 UNITS       ", $233.00 ,,,,,,,,
" PLT AGG,HEPARIN 20 UNITS       ", $233.00 ,,,,,,,,
" PLT AGG,HEPARIN 10 UNITS       ", $233.00 ,,,,,,,,
" PLT AGG,HEPARIN 5 UNITS        ", $233.00 ,,,,,,,,
VW RISTICETRIN CO FACTOR        , $544.00 ,,,,,,,,
VWF PROTEASE ACTIVITY           , $94.00 ,,,,,,,,
DOUBLE ESTERASE SE              , $183.00 ,,,,,,,,
PI LINK AG 1ST MARKER           , $465.00 ,,,,,,,,
RBC FRAGILITY                   , $427.00 ,,,,,,,,
"VWF ANTIGEN, MULTIMERIC         ", $656.00 ,,,,,,,,
RETIC MANUAL                    , $54.00 ,,,,,,,,
WBC COUNT MANUAL                , $105.00 ,,,,,,,,
HEMATOCRIT MANUAL               , $28.00 ,,,,,,,,
ALPHA 2 ANTIPLASMIN ACTIVITY    , $604.00 ,,,,,,,,
WBC COUNT AUTO                  , $37.00 ,,,,,,,,
"G-6-PD,RBC                      ", $87.00 ,,,,,,,,
FACTOR IX INHIBITOR             , $327.00 ,,,,,,,,
PLATELET FUNCTION ASPIRIN       , $233.00 ,,,,,,,,
PLATELET FUNCTION PLAVIX REACT  , $233.00 ,,,,,,,,
PLATELET FUNCTION PLAVIX INHIB  , $233.00 ,,,,,,,,
PLASMINOGEN ACT INHIB ACT       , $535.00 ,,,,,,,,
POC INR (PROTHROMBIN TIME)      , $105.00 ,,,,,,,,
POC ACT COAGULATION TIME ACTIV  , $35.00 ,,,,,,,,
COAGULATION TIME ACT LOW RANGE  , $35.00 ,,,,,,,,
ADAMTS13 INHIBITOR              , $327.00 ,,,,,,,,
ADAMTS13 ACTIVITY               , $94.00 ,,,,,,,,
STUDY P2Y12                     , $233.00 ,,,,,,,,
IMMATURE PLATELET FRACTION      , $189.00 ,,,,,,,,
CBC W PLT W DIFF                , $123.00 ,,,,,,,,
CBC W PLT                       , $95.00 ,,,,,,,,
ARUP FACTOR XIII ACTIVITY       , $424.00 ,,,,,,,,
TISSUE BX CX QT                 , $174.00 ,,,,,,,,
BLOOD CULTURE (O2 AND ANO2)     , $261.00 ,,,,,,,,
FLUID CULTURE AEROBIC           , $241.00 ,,,,,,,,
BONE MARROW CULTURE             , $241.00 ,,,,,,,,
BONE MARROW FUNGAL CX           , $261.00 ,,,,,,,,
B. PERTUSSIS DNA PCR            , $296.00 ,,,,,,,,
CATHETER TIP CULTURE            , $241.00 ,,,,,,,,
CSF CULTURE                     , $241.00 ,,,,,,,,
CSF - FUNGAL CULTURE            , $261.00 ,,,,,,,,
EYE CULTURE                     , $241.00 ,,,,,,,,
FUNGAL CULTURE OTHER SOURCE     , $261.00 ,,,,,,,,
FUNGAL CULT BLOOD               , $276.00 ,,,,,,,,
GENITAL CULTURE                 , $241.00 ,,,,,,,,
GRAM STAIN                      , $123.00 ,,,,,,,,
RESPIRATORY CX                  , $241.00 ,,,,,,,,
WOUND CULTURE AEROBIC           , $241.00 ,,,,,,,,
VIRAL CULTURE - GENERAL         , $497.00 ,,,,,,,,
STOOL CULTURE                   , $229.00 ,,,,,,,,
CLOST DIFFICILE                 , $406.00 ,,,,,,,,
OVA & PARASITE                  , $358.00 ,,,,,,,,
STOOL AMOEBA                    , $358.00 ,,,,,,,,
STOOL WBC                       , $185.00 ,,,,,,,,
OCCULT BLOOD 1-3 SIMULT DETERM  , $95.00 ,,,,,,,,
STOOL SODIUM                    , $172.00 ,,,,,,,,
STOOL POTASSIUM                 , $193.00 ,,,,,,,,
STOOL OSMOLALITY                , $193.00 ,,,,,,,,
STOOL PH                        , $93.00 ,,,,,,,,
STOOL REDUCING SUBSTANCE        , $214.00 ,,,,,,,,
"AFB CULTURE, ANY SOURCE         ", $343.00 ,,,,,,,,
AFB CULTURE                     , $343.00 ,,,,,,,,
N. GONORRHEA CULTURE            , $225.00 ,,,,,,,,
AFB SMEAR                       , $124.00 ,,,,,,,,
HELICOBACTER CULTURE            , $225.00 ,,,,,,,,
MISCELLANEOUS CULT              , $241.00 ,,,,,,,,
BURN UNIT QUANTITATIVE CULTURE  , $241.00 ,,,,,,,,
ARTHROPOD                       , $157.00 ,,,,,,,,
PINWORM EXAM                    , $124.00 ,,,,,,,,
BLOOD PARASITES SMEAR           , $440.00 ,,,,,,,,
KOH PREP                        , $178.00 ,,,,,,,,
DARKFIELD EXAM                  , $174.00 ,,,,,,,,
GIEMSA STAIN                    , $123.00 ,,,,,,,,
WET MOUNT FOR TRICH / INDIA IN  , $59.00 ,,,,,,,,
IGA                             , $273.00 ,,,,,,,,
STOOL ELECTROLYTES              , $287.00 ,,,,,,,,
STREPTOCOCCUS GRP A ANTIGEN     , $105.00 ,,,,,,,,
MACROSCOPIC EXAM PARASITE       , $54.00 ,,,,,,,,
T VAGINALIS CULTURE             , $225.00 ,,,,,,,,
NOROVIRUS ANTIGEN               , $462.00 ,,,,,,,,
ASPERGILLUS ANTIGEN             , $95.00 ,,,,,,,,
B.PARAPERTUSSIS DNA PCR         , $296.00 ,,,,,,,,
YEAST DEFINITIVE ID             , $81.00 ,,,,,,,,
GRAM NEGATIVE SENSITIVITY MIC   , $78.00 ,,,,,,,,
VIRAL ISOLATION SHELL VIAL EAC  , $177.00 ,,,,,,,,
STOOL C DIFF DNA REAL TIME PCR  , $295.00 ,,,,,,,,
CX HSV RAPID W/TYP              , $180.00 ,,,,,,,,
HIV 1 CORECEPTOR TROPISM        , $688.00 ,,,,,,,,
JC POLYOMA VIRUS PCR            , $296.00 ,,,,,,,,
BK VIRUS QNT PCR URINE          , $488.00 ,,,,,,,,
ENTEROVIRUS PCR                 , $267.00 ,,,,,,,,
BABESIA MICROTI PCR             , $296.00 ,,,,,,,,
FUNGAL CX HAIR SKIN NAILS       , $56.00 ,,,,,,,,
FUNGAL CX RESPIRATORY           , $261.00 ,,,,,,,,
FINGAL CX MISCELLANEOUS         , $261.00 ,,,,,,,,
FUNGAL CX TISSUE                , $261.00 ,,,,,,,,
ADENOVIRUS DNA QUAL PCR         , $296.00 ,,,,,,,,
HERPESVIRUS 6 QUANT PCR         , $314.00 ,,,,,,,,
CHLAMYDIA AMP PROBE             , $268.00 ,,,,,,,,
GONORRHEA AMP PROBE             , $267.00 ,,,,,,,,
FUNGITELL                       , $462.00 ,,,,,,,,
ADENOVIRUS QUANT PCR            , $488.00 ,,,,,,,,
MYCOPLASMA PNEUMONIAE DNA PCR   , $245.00 ,,,,,,,,
LEGIONELLA ANTIGEN DETECTION    , $72.00 ,,,,,,,,
INFLUENZA A                     , $63.00 ,,,,,,,,
INFLUENZA B                     , $63.00 ,,,,,,,,
INFLUENZA A ANTIGEN             , $59.00 ,,,,,,,,
INFLUENZA B ANTIGEN             , $60.00 ,,,,,,,,
RESP SYNCYTIAL VIRUS ANTIGEN    , $59.00 ,,,,,,,,
HUMAN METAPNEUMOVIRUS ANTIGEN   , $59.00 ,,,,,,,,
PARAINFLUENZA ANTIGEN POOL      , $59.00 ,,,,,,,,
ADENOVIRUS ANTIGEN              , $59.00 ,,,,,,,,
RESPIRATORY VIRUS SCREEN        , $59.00 ,,,,,,,,
PARAINFLUENZA 1 CX              , $59.00 ,,,,,,,,
PARAINFLUENZA 2 CX              , $59.00 ,,,,,,,,
PARAINFLUENZA 3 CX              , $59.00 ,,,,,,,,
INFLUENZA A CX                  , $59.00 ,,,,,,,,
INFLUENZA B CX                  , $60.00 ,,,,,,,,
RESPIRATORY SYNCYTIAL VIRUS CX  , $59.00 ,,,,,,,,
ADENOVIRUS CX                   , $59.00 ,,,,,,,,
24HR SHELL VIAL                 , $177.00 ,,,,,,,,
48HR SHELL VIAL                 , $177.00 ,,,,,,,,
OVA PARASITE DUODENAL GASTRIC   , $358.00 ,,,,,,,,
O AND P SMEAR COMPLEX STAIN     , $128.00 ,,,,,,,,
MICROFILARIAE SMEAR WET MOUNT   , $59.00 ,,,,,,,,
EPSTEIN BARR VIRUS PCR          , $488.00 ,,,,,,,,
INFLUENZA A CULTURE             , $177.00 ,,,,,,,,
INFLUENZA B CULTURE             , $177.00 ,,,,,,,,
RESPIRATORY SYNCYTIAL VIRUS CX  , $177.00 ,,,,,,,,
ADENOVIRUS AMP PROBE            , $296.00 ,,,,,,,,
CORONAVIRUS 229E AMP PROBE      , $296.00 ,,,,,,,,
CORONAVIRUS HKU1 AMP PROBE      , $296.00 ,,,,,,,,
CORONAVIRUS NL63 AMP PROBE      , $296.00 ,,,,,,,,
CORONAVIRUS OC43 AMP PROBE      , $296.00 ,,,,,,,,
"INFLUENZA A, B AMP PROBE        ", $539.00 ,,,,,,,,
INFLUENZA A H3 AMP PROBE        , $134.00 ,,,,,,,,
INFLUENZA A 2009 H1 AMP PROBE   , $134.00 ,,,,,,,,
INFLUENZA A H1 AMP PROBE        , $134.00 ,,,,,,,,
HUMAN METAPNEUMO AMP PROBE      , $296.00 ,,,,,,,,
PARAINFLUENZA 1 AMP PROBE       , $296.00 ,,,,,,,,
PARAINFLUENZA 2 AMP PROBE       , $296.00 ,,,,,,,,
PARAINFLUENZA 3 AMP PROBE       , $296.00 ,,,,,,,,
PARAINFLUENZA 4 AMP PROBE       , $296.00 ,,,,,,,,
RESP SYNCYTIAL VIRUS AMP PROBE  , $296.00 ,,,,,,,,
"RHINO,ENTEROVIRUS AMP PROBE     ", $296.00 ,,,,,,,,
BORDETELLA PERTUSSIS AMP PROBE  , $296.00 ,,,,,,,,
CHLAMYDOPHILA PNEUMO AMP PROBE  , $245.00 ,,,,,,,,
MYCOPLASMA PNEUMO AMP PROBE     , $245.00 ,,,,,,,,
CULTURE FLUID                   , $241.00 ,,,,,,,,
"CX HUMAN CELL,TISSUE PRODUCTS   ", $261.00 ,,,,,,,,
CMV CULTURE                     , $177.00 ,,,,,,,,
HERPES SIMPLEX 1                , $177.00 ,,,,,,,,
HERPES SIMPLEX 2                , $177.00 ,,,,,,,,
VARICELLA CULTURE               , $177.00 ,,,,,,,,
ENTEROVIRUS CULTURE             , $177.00 ,,,,,,,,
RESP VIRUS 12 - 25 TARGETS      ," $1,948.00 ",,,,,,,,
HBV GENOTYPE                    ," $1,204.00 ",,,,,,,,
HPV GENOTYPE 16                 , $300.00 ,,,,,,,,
HPV GENOTYPE 18                 , $275.00 ,,,,,,,,
ID MALDI TOF MASS SPEC YEAST    , $81.00 ,,,,,,,,
FUNGAL ID PANEL A               , $78.00 ,,,,,,,,
FUNGAL ID PANEL B               , $78.00 ,,,,,,,,
VIRUS ISOLATE; ADDTL OR ID      , $132.00 ,,,,,,,,
PNEUMOCYSTIS SMEAR              , $124.00 ,,,,,,,,
SHIGA TOXIN 1                   , $143.00 ,,,,,,,,
SHIGA TOXIN 2                   , $143.00 ,,,,,,,,
SHIGA BROTH ENRICHMENT          , $81.00 ,,,,,,,,
HSV 1 QN PCR                    , $250.00 ,,,,,,,,
HSV II QN PCR                   , $250.00 ,,,,,,,,
RSV POINT OF CARE               , $52.00 ,,,,,,,,
STREP A POINT OF CARE           , $52.00 ,,,,,,,,
INFLUENZA A POINT OF CARE       , $63.00 ,,,,,,,,
INFLUENZA B POINT OF CARE       , $63.00 ,,,,,,,,
YEAST SUSCEPTIBILITY EA PLATE   , $78.00 ,,,,,,,,
TRICHOMONAS VAGINALIS ASSAY     , $180.00 ,,,,,,,,
ID MALDI TOF MASS SPEC FUNGI    , $78.00 ,,,,,,,,
YEAST ID PANEL A                , $81.00 ,,,,,,,,
YEAST ID PANEL B                , $81.00 ,,,,,,,,
YEAST ID PANEL C                , $81.00 ,,,,,,,,
YEAST ID PANEL D                , $81.00 ,,,,,,,,
ID RAPID PCR COCCIDIOIDES       , $188.00 ,,,,,,,,
ID HISTOPLASMA PCR              , $188.00 ,,,,,,,,
ID BLASTOMYCES PCR              , $188.00 ,,,,,,,,
ID MICROBIAL PROBE FUNGUS       , $188.00 ,,,,,,,,
GI PCR PANEL                    ," $1,948.00 ",,,,,,,,
BLOOD CULTURE PCR               , $188.00 ,,,,,,,,
LEGIONELLA PCR                  , $676.00 ,,,,,,,,
CMV RESISTANCE                  ," $5,002.00 ",,,,,,,,
ZIKA VIRUS PCR BLOOD            , $272.00 ,,,,,,,,
ZIKA VIRUS PCR URINE            , $272.00 ,,,,,,,,
ARUP MOLD SUSCEPTIB             , $205.00 ,,,,,,,,
ARUP BACTERIAL ID MALDI TOF     , $142.00 ,,,,,,,,
INFLUENZA DNA AMP PROBE         , $539.00 ,,,,,,,,
RSV DNA RNA AMP PROBE           , $434.00 ,,,,,,,,
INFLUENZA A B RSV RNA  PCR      , $476.00 ,,,,,,,,
BRUCELLA AB IGG                 , $314.00 ,,,,,,,,
CMV IGG AB                      , $323.00 ,,,,,,,,
CMV IGM AB                      , $325.00 ,,,,,,,,
LEGIONELLA CULT &RAP DETECTION  , $72.00 ,,,,,,,,
LYME TITER                      , $419.00 ,,,,,,,,
MONOSPOT                        , $175.00 ,,,,,,,,
M PNEUMONIAE AB IGG             , $287.00 ,,,,,,,,
MYCOPLASMA IGM                  , $287.00 ,,,,,,,,
MEASLES AB IGG                  , $385.00 ,,,,,,,,
MUMPS AB                        , $324.00 ,,,,,,,,
TOXOPLASMA AB (IGG OR IGM)      , $323.00 ,,,,,,,,
TOXOPLASMA IGM AB               , $391.00 ,,,,,,,,
RUBELLA AB IGG                  , $254.00 ,,,,,,,,
RUBELLA IGM   AB                , $254.00 ,,,,,,,,
SYPHILLIS SCREEN - RPR          , $120.00 ,,,,,,,,
SYPHILLIS CONFIRMATION          , $241.00 ,,,,,,,,
VARICELLA  IGG                  , $351.00 ,,,,,,,,
RSV TISSUE CULT                 , $497.00 ,,,,,,,,
HEPATITIS HBS AB                , $230.00 ,,,,,,,,
"HEPATITIS HBC AB, TOTAL         ", $332.00 ,,,,,,,,
HEPATITIS HBE AB                , $323.00 ,,,,,,,,
HEPATITIS HCV AB                , $391.00 ,,,,,,,,
HEPATITIS A IGM AB              , $310.00 ,,,,,,,,
HEPATITIS A AB TOTAL            , $259.00 ,,,,,,,,
CRYPTOCOCCAL AG SERUM SCREEN    , $147.00 ,,,,,,,,
HEPATITIS HBS AG                , $211.00 ,,,,,,,,
HEPATITIS HBE AG                , $301.00 ,,,,,,,,
STREP PNEUMO AG                 , $116.00 ,,,,,,,,
H. INFLUENZAE B  AG             , $60.00 ,,,,,,,,
N. MENINGITIS B                 , $143.00 ,,,,,,,,
N. MENINGITIS A C Y W AG        , $143.00 ,,,,,,,,
MEASLES IGM                     , $385.00 ,,,,,,,,
ACETYLCHOLINE AB                , $479.00 ,,,,,,,,
ASPERGILLUS AB                  , $543.00 ,,,,,,,,
BLASTOMYCES AB                  , $301.00 ,,,,,,,,
BLASTOMYCES PROFILE             , $301.00 ,,,,,,,,
CHLAMYDIA IGG ANTIBODY          , $48.00 ,,,,,,,,
CHLAMYDIA CULTURE               , $347.00 ,,,,,,,,
COXSACKIE VIRUS AB B 1-6        , $664.00 ,,,,,,,,
"COXSACKIE VIRUS TYPE A 7,9,10   ", $664.00 ,,,,,,,,
COCCIDIOIDES AB                 , $311.00 ,,,,,,,,
COCCIDIOIDES AB CF CSF          , $311.00 ,,,,,,,,
CYSTICERCOSIS AB                , $271.00 ,,,,,,,,
E. HISTOLYTICA - EIA AB         , $378.00 ,,,,,,,,
"ECHO VIRUS AB 4,9,11,16         ", $664.00 ,,,,,,,,
GIARDIA ANTIGEN                 , $226.00 ,,,,,,,,
HEP. B CORE AB IGM              , $329.00 ,,,,,,,,
HEPATITIS DELTA AB              , $294.00 ,,,,,,,,
HSV IGG                         , $293.00 ,,,,,,,,
