Standard Charge Description,Charge Description Master,Charge as of 1.1.19
"INJECTION OF ANESTHETIC AGENT, TRIGEMINAL NERVE",31773136,357.05
INJECTION OF BILE DUCT FOR X-RAY IMAGING PROCEDURE ACCESSED THROUGH THE SKIN USING IMAGING GUIDANCE INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION,41315003,"2,431.00"
INJECTION OF BLOOD OR BLOOD CLOT INTO SPINAL CANAL,31771255,882.95
INJECTION OF BONE CEMENT INTO BODY OF LOWER SPINE BONE ACCESSED THROUGH THE SKIN USING IMAGING GUIDANCE,41317692,"13,361.00"
INJECTION OF BONE CEMENT INTO BODY OF MIDDLE SPINE BONE ACCESSED THROUGH THE SKIN USING IMAGING GUIDANCE,41317166,"13,361.00"
"INJECTION OF DIFFERENT DRUG OR SUBSTANCE INTO A VEIN FOR THERAPY, DIAGNOSIS, OR PREVENTION",31773190,126.30
INJECTION OF DRUG INTO ERECTILE TISSUE AT SIDES AND BACK OF PENIS,31773437,410.55
"INJECTION OF DRUG OR SUBSTANCE INTO A VEIN FOR THERAPY, DIAGNOSIS, OR PREVENTION",31771204,164.10
"INJECTION OF DRUG OR SUBSTANCE INTO A VEIN FOR THERAPY, DIAGNOSIS, OR PREVENTION, IN A FACILITY",31773868,57.90
INJECTION OF DYE FOR X-RAY IMAGING AND/OR CT OF LOWER SPINAL CANAL,41310011,771.00
INJECTION OF DYE FOR X-RAY IMAGING OF ELBOW JOINT,41430545,694.30
INJECTION OF DYE FOR X-RAY IMAGING OF HIP JOINT,41313522,745.55
INJECTION OF DYE FOR X-RAY IMAGING OF SHOULDER JOINT,41313042,677.55
INJECTION OF DYE FOR X-RAY IMAGING OF WRIST JOINT,41430556,518.20
INJECTION OF DYE FOR X-RAY OF SALIVARY GLANDS,41310392,772.10
INJECTION OF RADIOACTIVE DYE FOR X-RAY IDENTIFICATION OF LYMPH NODE,31750025,355.60
INJECTION OF SUBSTANCE INTO SPINAL CANAL OF LOWER BACK OR SACRUM USING IMAGING GUIDANCE,41318372,"1,405.00"
INJECTION OF UP TO 7 SKIN GROWTHS,41400009,142.00
INJECTION PROCEDURE FOR X-RAY IMAGING OF KIDNEY AND URINARY DUCT (URETER) USING IMAGING GUIDANCE INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION,41310743,"1,114.00"
INJECTION PROCEDURE FOR X-RAY IMAGING OF THE BLADDER OR DURING VOIDING,41314456,651.25
INJECTION PROCEDURE THROUGH THE BLADDER AND BLADDER CANAL (URETHRA) FOR X-RAY IMAGING,41315200,882.95
"INJECTION TO CAUSE BLOOD CLOT IN A DISEASED OR BULGING VESSEL OF ARM OR LEG, ACCESSED THROUGH THE SKIN",41318362,578.00
"INJECTION, LIDOCAINE HCL FOR INTRAVENOUS INFUSION, 10 MG",41400519,35.95
"INJECTION, LINEZOLID, 200 MG",41400513,312.15
"INJECTION, TRIAMCINOLONE ACETONIDE, NOT OTHERWISE SPECIFIED, 10 MG",41400520,182.70
INJECTIONS OF ANESTHETIC AND/OR STEROID DRUG INTO NERVE OF FOOT,41400759,368.90
INJECTIONS OF TENDON ATTACHMENT TO BONE,31773822,357.05
"INJECTIONS OF TENDON SHEATH, LIGAMENT, OR MUSCLE MEMBRANE",31773193,369.00
INJECTIONS OF TRIGGER POINTS IN 1 OR 2 MUSCLES,31773720,369.00
INJECTIONS OF TRIGGER POINTS IN 3 OR MORE MUSCLES,31773725,357.05
INJECTOR UT 40MM,34301623,54.18
INO THERAPY/HOUR,41331602,334.50
"INSERTION OF ABDOMINAL CAVITY CATHETER FOR DRAINAGE OR DIALYSIS, OPEN PROCEDURE",41310674,"2,907.00"
INSERTION OF ARTERIAL CATHETER FOR BLOOD SAMPLING OR INFUSION,31770087,124.00
"INSERTION OF ARTERIAL CATHETER FOR BLOOD SAMPLING OR INFUSION, ACCESSED THROUGH THE SKIN",41330132,150.00
INSERTION OF CATHETER (ACCESSED THROUGH THE SKIN) INTO GALLBLADDER USING IMAGING GUIDANCE INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION,41310079,"4,690.00"
INSERTION OF CATHETER FOR RECORDING TO IDENTIFY ORIGIN OF ABNORMAL HEART RHYTHM,41470714,"1,378.45"
INSERTION OF CATHETER FOR RECORDING UPPER HEART RHYTHM,41470711,"4,438.00"
INSERTION OF CATHETER FOR SUCTION OF SECRETIONS,41331681,156.00
INSERTION OF CATHETER IN RIGHT HEART FOR X-RAY IMAGING OF BLOOD VESSELS OR GRAFTS,41460629,"8,000.00"
INSERTION OF CATHETER INTO ABDOMINAL PELVIC OR LEG ARTERY,41315708,494.00
INSERTION OF CATHETER INTO AN ARTERY OF A LOBE OF THE LUNG,41470759,"1,193.95"
INSERTION OF CATHETER INTO AORTA,41310004,367.40
INSERTION OF CATHETER INTO ARTERY ON ONE SIDE OF NECK FOR DIAGNOSIS OR TREATMENT INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION,41310118,"7,226.00"
INSERTION OF CATHETER INTO ARTERY ON ONE SIDE OF NECK OR CHEST FOR DIAGNOSIS OR TREATMENT INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION,41471343,"3,860.00"
INSERTION OF CATHETER INTO CHEST OR ARM ARTERY,41315235,"1,239.30"
INSERTION OF CATHETER INTO LEFT HEART FOR DIAGNOSIS,41470161,"7,000.00"
INSERTION OF CATHETER INTO RIGHT AND LEFT HEART FOR DIAGNOSIS,41470502,"8,000.00"
INSERTION OF CATHETER INTO RIGHT UPPER HEART CHAMBER AND PULMONARY (LUNG) ARTERY FOR MONITORING PURPOSES,41471040,"2,227.90"
INSERTION OF CATHETER INTO VEIN,41315005,370.60
INSERTION OF CATHETER INTO VEIN WITH COLLECTION OF BLOOD SAMPLE,41315818,811.00
INSERTION OF CATHETER THROUGH THE CERVIX INTO FALLOPIAN TUBE,41318345,"2,685.61"
INSERTION OF CATHETERS FOR 3D MAPPING OF ELECTRICAL IMPULSES TO HEART MUSCLES,41470873,"5,886.15"
INSERTION OF CATHETERS FOR CREATION OF COMPLETE HEART BLOCK,41471023,"4,438.00"
"INSERTION OF CATHETERS FOR RECORDING, PACING, AND ATTEMPTED INDUCTION OF ABNORMAL RHYTHM IN LEFT UPPER HEART",41470721,"1,916.00"
"INSERTION OF CATHETERS FOR RECORDING, PACING, AND ATTEMPTED INDUCTION OF ABNORMAL RHYTHM IN RIGHT UPPER AND LOWER HEART",41470720,"5,611.05"
INSERTION OF CATHETERS FOR TREATMENT OF ABNORMAL HEART RHYTHM,41471355,"4,280.00"
INSERTION OF CATHETERS INTO MAIN AND ACCESSORY ARTERIES OF BOTH KIDNEYS FOR IMAGING INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION,41460674,"4,640.00"
INSERTION OF CATHETERS INTO MAIN AND ACCESSORY ARTERIES OF ONE KIDNEY FOR IMAGING INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION,41310618,"4,640.00"
INSERTION OF CENTRAL VENOUS CATHETER AND IMPLANTED DEVICE FOR INFUSION BENEATH THE SKIN,41317113,"8,719.60"
"INSERTION OF CENTRAL VENOUS CATHETER FOR INFUSION WITH PORT BENEATH THE SKIN, PATIENT 5 YEARS OR OLDER",41317119,"2,231.40"
"INSERTION OF CENTRAL VENOUS CATHETER FOR INFUSION, PATIENT 5 YEARS OR OLDER",41317110,"2,082.00"
"INSERTION OF CENTRAL VENOUS CATHETER FOR INFUSION, PATIENT YOUNGER THAN 5 YEARS",41317116,"1,327.10"
"INSERTION OF CENTRAL VENOUS CATHETERS FOR INFUSION, TWO CATHETERS IN TWO VEINS",41317114,"3,185.00"
INSERTION OF ELECTRODE FOR PERMANENT PACEMAKER OR PACING DEFIBRILLATOR DEVICE,41471012,"6,155.00"
"INSERTION OF INTRAVASCULAR STENTS IN ARTERY (EXCEPT LOWER EXTREMITY, CERVICAL CAROTID, EXTRACRANIAL VERTEBRAL OR INTRATHORACIC CAROTID, INTRACRANIAL, OR CORONARY), OPEN OR ACCESSED THROUGH THE SKIN, WITH RADIOLOGICAL SUPERVISION AND INTERPRETATION",41315243,"12,703.00"
"INSERTION OF INTRAVASCULAR STENTS IN VEIN, OPEN OR ACCESSED THROUGH THE SKIN, WITH RADIOLOGICAL SUPERVISION AND INTERPRETATION",41471126,"12,703.00"
INSERTION OF LEFT HEART ELECTRODE FOR PACING DEFIBRILLATOR DEVICE,41473346,"12,488.00"
INSERTION OF LOWER HEART CHAMBER BLOOD FLOW ASSIST DEVICE THROUGH THE SKIN INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION,41470130,"14,545.00"
INSERTION OF NASAL OR ORAL STOMACH TUBE USING FLUOROSCOPIC GUIDANCE,41313596,276.00
"INSERTION OF NEEDLE AND/OR CATHETER INTO DIALYSIS CIRCUIT AND BALLOON DILATION OF DIALYSIS SEGMENT, WITH IMAGING INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION",41319525,"10,176.00"
"INSERTION OF NEEDLE AND/OR CATHETER INTO DIALYSIS CIRCUIT, WITH IMAGING INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION",41310008,"1,443.00"
INSERTION OF NEEDLE FOR INFUSION INTO BONE,31772013,309.40
INSERTION OF NEEDLE INTO VEIN FOR COLLECTION OF BLOOD SAMPLE,41301000,9.75
INSERTION OF NEEDLE OR CATHETER INTO A VEIN,41470124,78.50
INSERTION OF NEEDLE OR CATHETER INTO AN ARTERY OF ARM OR LEG,41470858,"1,070.30"
INSERTION OF NEW OR REPLACEMENT OF PERMANENT PACEMAKER INCLUDING UPPER AND LOWER CHAMBER ELECTRODES,41473208,"8,939.00"
INSERTION OF PACEMAKER PULSE GENERATOR WITH EXISTING DUAL LEADS,41471011,"10,136.00"
INSERTION OF PACEMAKER PULSE GENERATOR WITH EXISTING SINGLE LEAD,41471001,"6,155.00"
INSERTION OF PACING DEFIBRILLATOR PULSE GENERATOR WITH EXISTING MULTIPLE LEADS,41470666,"53,320.00"
INSERTION OF PERMANENT CATHETER FOR DRAINAGE OF LUNG FLUID,41318379,"4,883.00"
INSERTION OF SHUNTS TO BYPASS BLOOD FLOW TO LIVER USING IMAGING GUIDANCE,41317081,"14,039.15"
"INSERTION OF STENT, REMOVAL OF PLAQUE AND/OR BALLOON DILATION OF CORONARY VESSEL DURING HEART ATTACK, ACCESSED THROUGH THE SKIN",41471403,"8,240.00"
"INSERTION OF STENT, REMOVAL OF PLAQUE AND/OR BALLOON DILATION OF CORONARY VESSEL, ACCESSED THROUGH THE SKIN",41471395,"8,776.00"
"INSERTION OF STENTS AND BLOOD CLOT PROTECTION DEVICE IN NECK ARTERY, OPEN OR ACCESSED THROUGH THE SKIN",41471099,"4,863.00"
"INSERTION OF STENTS IN ARTERY IN ONE SIDE OF GROIN, ENDOVASCULAR, ACCESSED THROUGH THE SKIN OR OPEN PROCEDURE",41470144,"8,776.00"
"INSERTION OF STENTS INTO ARTERIES IN ONE LEG, ENDOVASCULAR, ACCESSED THROUGH THE SKIN OR OPEN PROCEDURE",41470149,"18,355.00"
"INSERTION OF STENTS INTO ARTERY IN ONE LEG, ENDOVASCULAR, ACCESSED THROUGH THE SKIN OR OPEN PROCEDURE",41470137,"18,355.00"
"INSERTION OF STENTS INTO GROIN ARTERY, ENDOVASCULAR, ACCESSED THROUGH THE SKIN OR OPEN PROCEDURE",41470147,"8,645.00"
INSERTION OF STOMACH TUBE (ACCESSED THROUGH THE SKIN) USING FLUOROSCOPIC GUIDANCE WITH CONTRAST,41310301,"1,200.00"
INSERTION OF STOMACH TUBE AND ASPIRATIONS OF GASTRIC CONTENTS,31772010,245.00
INSERTION OF TEMPORARY BLADDER CATHETER,31741247,113.00
INSERTION OF TEMPORARY PACEMAKER ELECTRODE FOR DIAGNOSTIC UPPER HEART PACING,41470715,"4,438.00"
"INSERTION OF VENA CAVA FILTER BY ENDOVASCULAR APPROACH, INCLUDING RADIOLOGICAL SUPERVISION AND INTERPRETATION",41315820,"6,904.00"
INSERTION OR REPLACEMENT OF DEFIBRILLATOR WITH ELECTRODE,41471423,"52,800.00"
INSERTION OR REPLACEMENT OF PERMANENT PACEMAKER AND LOWER CHAMBER ELECTRODES,41471024,"8,139.00"
INSERTION OR REPLACEMENT OF PERMANENT PACEMAKER AND UPPER CHAMBER ELECTRODES,41479000,"8,139.00"
INSERTION OR REPLACEMENT OF SINGLE OR DUAL CHAMBER PACING DEFIBRILLATOR LEADS,41473595,"27,137.00"
INSYTE IV CATH 18GA,41470912,16.20
INTENSIVE CARE,44309002,"2,175.00"
INTENSIVE OP GROUP PSYCHOTHERAPY,41908005,206.05
INTERCEDE ADHESION BARRIER #7509,40790561,347.20
INTERCEDE ADHESION BARRIER #7509,40790561,347.20
"INTERPHALANGEAL FINGER JOINT REPLACEMENT, 2 OR MORE PIECES, METAL (E.G., STAINLESS STEEL OR COBALT CHROME), CERAMIC-LIKE MATERIAL (E.G., PYROCARBON) FOR SURGICAL IMPLANTATION, ANY SIZE,IMPL PIP DART",34303910,"1,933.75"
"INTERSPINOUS PROCESS DISTRACTION DEVICE (IMPLANTABLE),IMPL COFLEX- 5500",34304082,"17,875.00"
INTRACARDIAC SUCTION DEVICE,34302776,718.25
INTRAOSSEOUS NEEDLE,31770214,22.30
"INTRODUCER/SHEATH, GUIDING, INTRACARDIAC ELECTROPHYSIOLOGICAL, FIXED-CURVE, OTHER THAN PEEL-AWAY",41473985,662.20
"INTRODUCER/SHEATH, GUIDING, INTRACARDIAC ELECTROPHYSIOLOGICAL, FIXED-CURVE, PEEL-AWAY",41479057,140.60
"INTRODUCER/SHEATH, GUIDING, INTRACARDIAC ELECTROPHYSIOLOGICAL, STEERABLE, OTHER THAN PEEL-AWAY",41470228,"3,250.00"
"INTRODUCER/SHEATH, OTHER THAN GUIDING, OTHER THAN INTRACARDIAC ELECTROPHYSIOLOGICAL, LASER",41470059,"8,710.00"
"INTRODUCER/SHEATH, OTHER THAN GUIDING, OTHER THAN INTRACARDIAC ELECTROPHYSIOLOGICAL, NON-LASER",41470524,149.00
"INTRODUCER/SHEATH, OTHER THAN GUIDING, OTHER THAN INTRACARDIAC ELECTROPHYSIOLOGICAL, NON-LASER,CATH MICROPUNCTURE",34302682,183.63
"INTRODUCER/SHEATH, OTHER THAN GUIDING, OTHER THAN INTRACARDIAC ELECTROPHYSIOLOGICAL, NON-LASER,DIL RENAL AMPLATZ TFLN COAT 12FR",34301325,1.46
"INTRODUCER/SHEATH, OTHER THAN GUIDING, OTHER THAN INTRACARDIAC ELECTROPHYSIOLOGICAL, NON-LASER,INTRO CATH 25CM 22FR 035IN XL CKF",40751633,955.21
"INTRODUCER/SHEATH, OTHER THAN GUIDING, OTHER THAN INTRACARDIAC ELECTROPHYSIOLOGICAL, NON-LASER,INTRO IMPL ACC SYS SRG W NDL SET",40751640,131.95
"INTRODUCER/SHEATH, OTHER THAN GUIDING, OTHER THAN INTRACARDIAC ELECTROPHYSIOLOGICAL, NON-LASER,INTRO SHTH RB DSGN RADOPQ TIP WO",34301671,472.88
"INTRODUCER/SHEATH, OTHER THAN GUIDING, OTHER THAN INTRACARDIAC ELECTROPHYSIOLOGICAL, NON-LASER,SHEATH DRYSEAL 20/22/24FR GORE",34303390,"1,056.25"
INTRODUCTION OF CATHETER INTO THE UPPER OR LOWER MAJOR VEIN (VENA CAVA),41310005,891.85
INTRODUCTION OF SALINE OR X-RAY CONTRAST MATERIAL FOR X-RAY IMAGING OF THE UTERUS AND TUBES,41314741,"1,471.60"
IOBAN DRESSING,41470962,18.83
I-SLING ARM,41786062,10.63
JLY LUB SRGLB 425OZ BCTRST TUBE S,40751677,2.50
"JOINT DEVICE (IMPLANTABLE),COMPNT FEMORAL KNEE GENESIS",34302972,"7,923.50"
"JOINT DEVICE (IMPLANTABLE),COMPONENT FEMORAL -4800",34305066,"15,600.00"
"JOINT DEVICE (IMPLANTABLE),COMPONENT HIP -2000",34305054,"6,500.00"
"JOINT DEVICE (IMPLANTABLE),COMPONENT KNEE -4700",34305056,"15,275.00"
"JOINT DEVICE (IMPLANTABLE),COMPONENT PATELLA -1300",34305000,"4,225.00"
"JOINT DEVICE (IMPLANTABLE),COMPONENT RADIAL -2600",34305076,"8,450.00"
"JOINT DEVICE (IMPLANTABLE),COUNTERSINK CANN AO- 160",34304012,520.00
"JOINT DEVICE (IMPLANTABLE),CUP HEMI -1000",34303870,"3,250.00"
"JOINT DEVICE (IMPLANTABLE),HEAD FEMORAL -2130",34303670,"6,915.68"
"JOINT DEVICE (IMPLANTABLE),HEAD FEMORAL HIP-2",34300368,"1,918.87"
"JOINT DEVICE (IMPLANTABLE),HEAD HUMERAL ADVANTAGE-1",34303289,"3,525.00"
"JOINT DEVICE (IMPLANTABLE),HOOK SPINAL TIT-660",34303004,"2,145.00"
"JOINT DEVICE (IMPLANTABLE),HUM STEM REV-3500",34303899,"11,037.81"
"JOINT DEVICE (IMPLANTABLE),HUMERAL STEM-2600",34303707,"8,450.00"
"JOINT DEVICE (IMPLANTABLE),IMPL GLENOID -1300",34305006,"4,225.00"
"JOINT DEVICE (IMPLANTABLE),IMPL GLENOSPHERE -2100",34303879,"6,825.00"
"JOINT DEVICE (IMPLANTABLE),IMPL HIP BALL -320",34303886,"1,017.25"
"JOINT DEVICE (IMPLANTABLE),IMPL HIP FEM HD UNIPO 32 X 59MM",40751513,"1,306.50"
"JOINT DEVICE (IMPLANTABLE),IMPL HIP FEM SPCR DIST CMNT UNV 1",40751529,301.44
"JOINT DEVICE (IMPLANTABLE),IMPL HIP FEMORAL COMPONENT -1750",34303862,"5,687.50"
"JOINT DEVICE (IMPLANTABLE),IMPL HUMERAL BODY -1100",34303781,"3,575.00"
"JOINT DEVICE (IMPLANTABLE),IMPL HUMERAL COLLAR -500",34303780,"1,625.00"
"JOINT DEVICE (IMPLANTABLE),IMPL HUMERAL CUP -1230",34303880,"3,981.74"
"JOINT DEVICE (IMPLANTABLE),IMPL HUMERAL STEM -1700",34303882,"5,525.00"
"JOINT DEVICE (IMPLANTABLE),IMPL RADIAL STEM ACUMED",34303490,"10,708.75"
"JOINT DEVICE (IMPLANTABLE),IMPLANT ELBOW RADIAL HEAD WRIGHT",34300404,"8,251.75"
"JOINT DEVICE (IMPLANTABLE),IMPLANT HIP FEMORAL HEAD VER ENDO",34300413,"1,317.00"
"JOINT DEVICE (IMPLANTABLE),IMPLANT HIP HEAD ACET BIPLR UH1 S",34300414,"2,592.36"
"JOINT DEVICE (IMPLANTABLE),IMPLANT KNEE POLY",34303344,"3,428.88"
"JOINT DEVICE (IMPLANTABLE),PLATE METAGLENE CEMENTLESS",34303883,"5,252.49"
"JOINT DEVICE (IMPLANTABLE),RADIAL STEM- 2030",34304002,"6,597.50"
"JOINT DEVICE (IMPLANTABLE),REVERSE TOTAL SHOULDER -8000",34305142,"26,000.00"
"JOINT DEVICE (IMPLANTABLE),REVISION TOTAL HIP IMPL-1",34303575,"38,072.00"
"JOINT DEVICE (IMPLANTABLE),STEM FEM 125MM 12MM CMNT PRM XTD",34302292,"7,534.22"
"JOINT DEVICE (IMPLANTABLE),STEM HUMERAL",34303292,"9,530.63"
"JOINT DEVICE (IMPLANTABLE),SYSTEM BIPOLAR/ENDO HIP H3-1400",34304043,"4,550.00"
"JOINT DEVICE (IMPLANTABLE),SYSTEM TOTAL HIP H4-6400",34304049,"20,800.00"
"JOINT DEVICE (IMPLANTABLE),SYSTEM TOTAL KNEE K3-4500",34304063,"14,625.00"
"JOINT DEVICE (IMPLANTABLE),SYSTEM TOTAL SHOULDER",34303476,"15,925.00"
"JOINT DEVICE (IMPLANTABLE),SYSTEM UNI KNEE K1-3400",34304050,"11,050.00"
"JOINT DEVICE (IMPLANTABLE),TIBIAL BASEPLATE-40",34303288,"2,060.00"
KERLIX ROLL,41479046,2.85
KIT 4IN COL ILSTM STMHSV SKN BARR,34301697,20.80
KIT ACCESS AMS 800 -1180,34305159,"3,835.00"
KIT ASCP FX FSTFX SELF SLD KNT IN,34301702,780.00
KIT CENTRAL VENOUS CATH (BRAUN,41782000,86.85
KIT DRN 20IN 7FR SIL DRN CLT TUBE,34301714,78.10
KIT GSTRC LAV 36IN 34FR ARG EDLIC,34301720,24.38
KIT INTRODUCER LEAD -90,34303924,292.50
KIT LYMPHEDEMA WRAP ARM,41210241,277.00
KIT LYMPHEDEMA WRAP LEG,41210242,644.00
KIT MAXCESS 4,34303763,"4,049.50"
KIT MONITOR NVISION XLIF 2010050,34303195,"2,587.00"
KIT MULTI-LUMEN CVC (ARROW),41781807,435.50
KIT NAVIGATION SUPERDIMENSION,41380014,"3,233.75"
KIT PEDICLE ACCESS NEEDLE -150,34305180,487.50
KIT PICC 3FR SINGLE LUMEN,41785519,171.80
KIT RIGHT HEART,41470938,42.00
KIT STABILIZATION SHOULDER - 540,34303551,"1,755.00"
KIT STEERING STYLET -185,34303925,601.25
KIT VITRTM PRB CUT ACTN DISP TL+,40751733,201.50
KIT WRENCH 5873W,41470950,157.50
"KNEE ORTHOSIS, IMMOBILIZER, CANVAS LONGITUDINAL, PREFABRICATED, OFF-THE-SHELF",31772649,75.25
KNIFE BAYONET -475,34303646,"1,539.33"
KT INST BONE T/H PREP,34301766,453.38
KYPHX INTRODUCER TOOL KIT,34302777,"3,363.75"
LASER ACCESSORY KIT,41470571,341.25
LASER HOLMIUM 365 MICRON BARE,34303168,96.20
"LAVAGE KIT, ED",31770605,70.30
LEAD DELIVERY SYSTEM DSYS,41470891,"2,925.00"
LEAD END CAP KIT 5867-3M,41473580,82.20
LEAD LOCKING ACCESSORY KIT,41470063,341.25
"LEAD, CARDIOVERTER-DEFIBRILLATOR, ENDOCARDIAL DUAL COIL (IMPLANTABLE)",41471512,"13,000.00"
"LEAD, CARDIOVERTER-DEFIBRILLATOR, ENDOCARDIAL SINGLE COIL (IMPLANTABLE)",41471507,"13,000.00"
"LEAD, CARDIOVERTER-DEFIBRILLATOR, OTHER THAN ENDOCARDIAL SINGLE OR DUAL COIL (IMPLANTABLE)",41471433,"16,250.00"
"LEAD, LEFT VENTRICULAR CORONARY VENOUS SYSTEM",41471516,"7,150.00"
"LEAD, NEUROSTIMULATOR (IMPLANTABLE),ANS LAMITRODE LEAD 3219",34303266,"14,608.75"
"LEAD, NEUROSTIMULATOR (IMPLANTABLE),LEAD STIM -6700",34305116,"21,775.00"
"LEAD, NEUROSTIMULATOR (IMPLANTABLE),NEURO ANS LEAD KIT #3186",34303199,"9,262.50"
"LEAD, NEUROSTIMULATOR (IMPLANTABLE),NEURO STIM LEAD KIT - 115",34303556,373.50
"LEAD, NEUROSTIMULATOR (IMPLANTABLE),STIMULATOR SPINAL LEAD 04939",34303243,"19,158.75"
"LEAD, PACEMAKER, OTHER THAN TRANSVENOUS VDD SINGLE PASS",41471502,"1,625.00"
"LEG BAG, URINARY",31770717,21.80
LGTR 86-115MM SBND SVW S7 ESPH 7,34301783,487.50
LGTR ESPH SYS MLT BAND SSS7 MLT B,34301785,188.50
LGTR FLSH FLLPN TUBE STRL DISP ES,34301786,91.00
LGTR FLSH FLLPN TUBE STRL DISP ES,34301786,91.00
LIGASURE LS1037,34303211,"1,365.81"
LOCAL ANESTHESIA FIRST HOUR,40360200,630.00
LOOP ELTRD CUT 24FR X 03MM,34301791,61.75
LOOP LINA ENDOSCOPIC,34303329,"1,137.50"
"LOW OSMOLAR CONTRAST MATERIAL, 200-299 MG/ML IODINE CONCENTRATION, PER ML,CONTRAST OMNI 240 PER ML",34302965,4.88
"LOW OSMOLAR CONTRAST MATERIAL, 300-399 MG/ML IODINE CONCENTRATION, PER ML",41470596,3.70
LOW PROFILE FEED DEVICE,40480538,281.00
MAJOR O.R CHARGE FIRST HOUR,31779005,"4,520.00"
MAJOR O.R. CHARGE EACH ADDITIONAL HOUR,31779005,"1,680.00"
MAJOR SURGERY-L&D,40790524,"3,265.00"
"MANAGEMENT AND/OR TRAINING IN USE OF ORTHOTICS (SUPPORTS, BRACES, OR SPLINTS) FOR ARMS, LEGS, AND/OR TRUNK, PER 15 MINUTES",41210164,91.00
"MANUAL (PHYSICAL) THERAPY TECHNIQUES TO 1 OR MORE REGIONS, EACH 15 MINUTES",41210302,140.60
MANUAL MANEUVERS TO CHEST WALL TO ASSIST MOVEMENT OF LUNG SECRETIONS,41330063,88.00
"MANUAL MUSCLE TESTING OF ARM, LEG OR TRUNK",41210124,84.25
MANUAL MUSCLE TESTING OF WHOLE BODY INCLUDING HANDS,41210060,84.25
MARKER FIDUCIAL COIL,41380018,270.00
MARKER FIDUCIAL DELIVERY KIT,41380021,249.00
MARKER GASTRO SPOT CARBON,34302810,63.38
MASK OXYGEN NONREBREATHING,34300440,7.35
MASSAGE OF HEART MUSCLE THROUGH CHEST CAVITY,31772034,"1,732.50"
"MEASUREMENT AND GRAPHIC RECORDING OF THE AMOUNT AND SPEED OF BREATHED AIR, BEFORE AND FOLLOWING MEDICATION ADMINISTRATION",41380020,682.55
MEASUREMENT AND GRAPHIC RECORDING OF TOTAL AND TIMED EXHALED AIR CAPACITY,41380010,295.20
MEASUREMENT OF LARGEST AMOUNT OF AIR EXHALED FROM LUNGS,41331113,139.00
MEASUREMENT OF LUNG DIFFUSING CAPACITY,41380035,271.00
MEASUREMENT OF OXYGEN SATURATION IN BLOOD USING EAR OR FINGER DEVICE,41330550,58.65
"MECHANICAL REMOVAL OF OBSTRUCTIVE MATERIAL IN STOMACH, LARGE, OR SMALL BOWEL TUBE USING FLUOROSCOPIC GUIDANCE WITH CONTRAST",41313045,621.00
MEDTRONIC STYLET KIT 6091-53CM,41474008,157.65
"MESH (IMPLANTABLE),GRAFT CV PATCH GORE",34300272,692.25
"MESH (IMPLANTABLE),GRAFT MESH PLUG WKEYHOL GORE 65X1",34300307,387.82
"MESH (IMPLANTABLE),MESH HERNIA 12X12IN NABSB SFT KNT",40751821,298.00
"MESH (IMPLANTABLE),MESH HERNIA GROIN MRLX 6X3",34302822,383.50
"MESH (IMPLANTABLE),MESH HERNIA VENTRAL CMPX OVL SM",34301830,"2,158.00"
"MESH (IMPLANTABLE),MESH SRG HRN PP NON ABS XTD PRLN",40751839,778.67
"MESH (IMPLANTABLE),MESH SRG PROC TISS SEP OVL 10X13",34301842,"5,770.99"
"MICROBIOLOGY BRUSH, BRONCH",40480174,50.85
MICROSHEATH,41470635,958.75
MICROSPHERES EMBOZENE -250,34305193,812.50
MICROTEX DOOR COVER,41470957,16.10
MIDLINE BASIC TRAY,31770081,232.37
MINOR PROCEDURE - Bedside,31620005,200.00
MINOR SURGERY L&D,40790523,646.00
MOB 02 THERAPY CHARGE,40790533,142.70
"MODERATE SEDATION SERVICES BY PHYSICIAN ALSO PERFORMING A PROCEDURE, ADDITIONAL 15 MINUTES",31773862,22.05
"MODERATE SEDATION SERVICES BY PHYSICIAN ALSO PERFORMING A PROCEDURE, PATIENT YOUNGER THAN 5 YEARS OF AGE, FIRST 15 MINUTES",31773860,55.15
"MODERATE SEDATION SERVICES BY PHYSICIAN NOT PERFORMING A PROCEDURE, PATIENT 5 YEARS OF AGE OR OLDER, FIRST 15 MINUTES",41479130,110.00
MODULE SYSTEM NEUROVISION - 900,34303513,"2,915.25"
"MORCELLATOR,MRCLTR ESURG MORCELLEX TISS HNDPC",34301848,"2,226.25"
MORGAN LENS,31770217,39.05
MORSE ROTATION STOPCOCK,41470591,10.55
MRKR SKN SRG XFIN TIP W RLR STRL,34301850,3.74
MSK FACE ANES ULT FIT DISP ADJ AI,40751856,6.76
MTR DRN SP BCTRST INFCT CNTRL OTL,34301858,25.84
MULTIPLE MEASUREMENTS OF OXYGEN SATURATION IN BLOOD USING EAR OR FINGER DEVICE,41331550,120.65
