AMIFOSTINE CRYSTALLINE 500 MG IV SOLR [20803],"$3,992.88 ",1 each
"AMIKACIN 1,000 MG/4 ML INJ SOLN [108133]",$70.39 ,1  x 4 mL Vial
AMILORIDE 1 MG/ML ORAL SUSPENSION [169047],$104.93 ,1  x 50 mL Bottle
AMILORIDE 5 MG ORAL TAB [391],$4.41 ,1 each
AMINO ACID 10 % 10 % IV SOLP [121261],$103.67 ,1  x 500 mL Bag
AMINO ACID 10 % 10 % IV SOLP FOR STARTER TPN [168863],$103.67 ,1  x 500 mL Bag
AMINOCAPROIC ACID 250 MG/ML (25 %) ORAL SOLN [9062],"$7,607.08 ",1  x 236.5 mL Bottle
AMINOCAPROIC ACID 250 MG/ML IV SOLN [403],$33.85 ,1  x 20 mL Vial
AMINOCAPROIC ACID 250 MG/ML IV SOLN [403],$33.47 ,1  x 20 mL Vial
AMINOCAPROIC ACID 250 MG/ML IV SOLN [403],$33.47 ,1  x 20 mL Vial
AMINOCAPROIC ACID 500 MG ORAL TAB [9063],$55.11 ,1 each
AMINOCAPROIC ACID BOLUS FOR CVOR [169009],$33.85 ,1  x 20 mL Vial
AMINOCAPROIC ACID BOLUS FOR CVOR [169009],$33.47 ,1  x 20 mL Vial
AMINOCAPROIC ACID BOLUS FOR CVOR [169009],$33.47 ,1  x 20 mL Vial
AMINOPHYLLINE 2.5 MG/ML INJECTION SOLUTION [168480],$30.52 ,1  x 10 mL 
AMINOPHYLLINE 250 MG/10 ML IV SOLN [407],$54.52 ,1  x 10 mL Vial
AMINOPHYLLINE 250 MG/10 ML IV SOLN [407],$50.20 ,1  x 10 mL Vial
AMINOPHYLLINE 250 MG/10 ML IV SOLN [407],$53.88 ,1  x 10 mL Vial
AMIODARONE 200 MG ORAL TAB [9066],$8.84 ,1 each
AMIODARONE 200 MG ORAL TAB [9066],$9.01 ,1 each
AMIODARONE 5 MG/ML ORAL SUSPENSION [40840109],$58.69 ,1  x 120 mL Bottle
AMIODARONE 50 MG/ML IV SOLN [93084],$16.29 ,1  x 3 mL Vial
AMIODARONE 50 MG/ML IV SOLN [93084],$27.69 ,1  x 9 mL Vial
AMITRIPTYLINE 10 MG ORAL TAB [432],$1.76 ,1 each
AMITRIPTYLINE 10 MG ORAL TAB [432],$2.30 ,1 each
AMITRIPTYLINE 25 MG ORAL TAB [435],$3.00 ,1 each
AMITRIPTYLINE 50 MG ORAL TAB [436],$1.82 ,1 each
AMITRIPTYLINE 50 MG ORAL TAB [436],$3.92 ,1 each
AMLODIPINE 10 MG ORAL TAB [9069],$1.86 ,1 each
AMLODIPINE 2.5 MG ORAL TAB [9070],$1.80 ,1 each
AMLODIPINE 2.5 MG ORAL TAB [9070],$88.33 ,100 tablet
AMLODIPINE 5 MG ORAL TAB [9071],$5.39 ,1 each
AMLODIPINE 5 MG ORAL TAB [9071],$5.52 ,1 each
AMLODIPINE 5 MG ORAL TAB [9071],$1.82 ,1 each
AMLODIPINE 5 MG ORAL TAB [9071],$1.82 ,1 each
AMLODOPINE 1 MG/ML SUSPENSION [40840051],$92.31 ,1  x 100 mL Bottle
AMMONIA AROMATIC 15 % (W/V) INHL SOLN [439],$6.96 ,1 each
AMMONIA AROMATIC INHL SPRT [27850],$10.97 ,1  x 60 mL Bottle
AMOXICILLIN 250 MG ORAL CAP [450],$2.15 ,1 each
AMOXICILLIN 250 MG ORAL CAP [450],$1.86 ,1 each
AMOXICILLIN 250 MG ORAL CHEW [452],$3.08 ,1 each
AMOXICILLIN 250 MG/5 ML ORAL SUSR [454],$24.85 ,1  x 150 mL Bottle
AMOXICILLIN 500 MG ORAL CAP [451],$2.01 ,1 each
AMOXICILLIN 500 MG ORAL CAP [451],$1.99 ,1 each
AMOXICILLIN 500 MG ORAL CAP [451],$2.56 ,1 each
AMOXICILLIN-POT CLAVULANATE 200-28.5 MG ORAL CHEW [33225],$7.80 ,1 each
AMOXICILLIN-POT CLAVULANATE 400-57 MG/5 ML ORAL SUSR [33230],$142.28 ,1  x 100 mL Bottle
AMOXICILLIN-POT CLAVULANATE 400-57 MG/5 ML ORAL SUSR [33230],$187.51 ,1  x 100 mL Bottle
AMOXICILLIN-POT CLAVULANATE 400-57 MG/5 ML ORAL SUSR [33230],$187.51 ,1  x 100 mL Bottle
AMOXICILLIN-POT CLAVULANATE 500-125 MG ORAL TAB [33227],$4.70 ,1 each
AMOXICILLIN-POT CLAVULANATE 600-42.9 MG/5 ML ORAL SUSR [31177],$106.90 ,1  x 75 mL Bottle
AMOXICILLIN-POT CLAVULANATE 600-42.9 MG/5 ML ORAL SUSR [31177],$132.54 ,1  x 200 mL Bottle
AMOXICILLIN-POT CLAVULANATE 600-42.9 MG/5 ML ORAL SUSR [31177],$167.26 ,1  x 200 mL Bottle
AMOXICILLIN-POT CLAVULANATE 875-125 MG ORAL TAB [33228],$5.15 ,1 each
AMOXICILLIN-POT CLAVULANATE 875-125 MG ORAL TAB [33228],$12.67 ,1 each
AMOXICILLIN-POT CLAVULANATE 875-125 MG ORAL TAB [33228],$13.66 ,1 each
AMPHOTERICIN B 50 MCG/ML MW [168479],$126.07 ,1  x 500 mL 
AMPHOTERICIN B 50 MG INJ SOLR [464],$156.79 ,1 each
AMPHOTERICIN B LIPOSOME 50 MG IV SUSR [21900],$959.89 ,1  x 50 mg Vial
AMPICILLIN SODIUM 1 GRAM INJ SOLR [469],$38.52 ,1 each
AMPICILLIN SODIUM 10 GRAM INJ SOLR [470],$355.75 ,1 each
AMPICILLIN SODIUM 10 GRAM INJ SOLR [470],$355.75 ,1 each
AMPICILLIN-SULBACTAM 1.5 GRAM INJ SOLR [9083],$40.05 ,1 each
AMPICILLIN-SULBACTAM 1.5 GRAM INJ SOLR [9083],$22.07 ,1 each
AMPICILLIN-SULBACTAM 1.5 GRAM INJ SOLR [9083],$35.63 ,1 each
AMPICILLIN-SULBACTAM 1.5 GRAM INJ SOLR [9083],$40.05 ,1 each
AMPICILLIN-SULBACTAM 15 GRAM INJ SOLR [14057],$286.33 ,1 each
AMPICILLIN-SULBACTAM 15 GRAM INJ SOLR [14057],$137.59 ,1 each
AMPICILLIN-SULBACTAM 15 GRAM INJ SOLR [14057],$238.87 ,1 each
ANAKINRA 100 MG/0.67 ML SUBQ SYRG [126285],$332.25 ,1  x .67 mL Syringe
ANAKINRA 100 MG/0.67 ML SUBQ SYRG [126285],$350.51 ,1  x .67 mL Syringe
ANIDULAFUNGIN 100 MG IV SOLR [88093],$702.07 ,1 each
ANIDULAFUNGIN 50 MG IV SOLR [76344],$356.47 ,1 each
ANTI-INHIBITOR COAGULANT CMPLX 400-650 UNIT IV SOLR [9108],"$2,932.47 ",500 Units
ANTI-THYMOCYTE GLOB (RABBIT) 25 MG IV SOLR [24585],"$3,083.73 ",1 each
"ANTIHEMOPHIL FVIII,FULL LENGTH 1,000 (+/-) UNIT IV SOLR [76367]","$4,097.27 ",1  x 1000 Int'l Units Vial
"ANTIHEMOPHIL FVIII,FULL LENGTH 250 (+/-) UNIT IV SOLR [32959]","$1,450.87 ",250 Units
"ANTIHEMOPHIL FVIII,FULL LENGTH 500 (+/-) UNIT IV SOLR [32960]","$1,990.07 ",500 Units
"ANTIHEMOPHILIC FACTOR-VWF 1,000 (400 VWF) UNIT/10 ML IV SOLR [88337]","$1,835.40 ",10 each
"ANTIHEMOPHILIC FACTOR-VWF 1,500 (600 VWF) UNIT/10 ML IV SOLR [88338]","$2,753.10 ",10 each
"ANTIHEMOPHILIC FACTOR-VWF 2,000 (800 VWF) UNIT/10 ML IV SOLR [126821]","$6,153.18 ",1  x 10 mL Vial
ANTIHEMOPHILIC FACTOR-VWF 250 (100 VWF) UNIT/5 ML IV SOLR [88335],$458.85 ,5 each
ANTIHEMOPHILIC FACTOR-VWF 250-600 UNIT IV SOLR [70404],"$1,412.47 ",250 VWF:RCo Units
ANTIHEMOPHILIC FACTOR-VWF 500 (200 VWF) UNIT/5 ML IV SOLR [88336],$917.70 ,5 each
ANTIHEMOPHILIC FACTOR-VWF 500 (200 VWF) UNIT/5 ML IV SOLR [88336],$32.58 ,1 each
ANTITHROMBIN III (HUMAN) 500 (+/-) UNIT IV SOLR [9116],"$6,310.07 ",500 Units
APRACLONIDINE 0.5 % OPHT DROP [9119],$231.76 ,1  x 5 mL DROP BTL
APREPITANT 125 MG ORAL CAP [35489],$899.94 ,1 each
APREPITANT 125 MG ORAL CAP [35489],$698.87 ,1 each
APREPITANT 40 MG ORAL CAP [76843],$242.36 ,1 each
APREPITANT 80 MG ORAL CAP [35488],$447.84 ,1 each
APREPITANT 80 MG ORAL CAP [35488],$447.89 ,1 each
APREPITANT 80 MG ORAL CAP [35488],$447.89 ,1 each
APREPITANT 80 MG ORAL CAP [35488],$447.84 ,1 each
AQUAPHOR/WATER 1:1 [168481],$38.18 ,1  x 454 g 
ARGATROBAN 100 MG/ML IV SOLN [28947],"$2,599.03 ",1  x 2.5 mL Vial
ARGATROBAN 100 MG/ML IV SOLN [28947],"$1,969.27 ",1  x 2.5 mL Vial
ARGININE HCL (L-ARGININE) 10 % IV SOLP [9123],$143.35 ,1  x 300 mL Vial
ARGININE HCL 1 MEQ/ML ORAL SOLUTION [168482],$53.11 ,1  x 120 mL Bottle
ARIPIPRAZOLE 10 MG ORAL TAB [34369],$79.74 ,1 each
ARIPIPRAZOLE 5 MG ORAL TAB [36438],$71.93 ,1 each
ARIPIPRAZOLE 5 MG ORAL TAB [36438],$71.92 ,1 each
ARIPIPRAZOLE 5 MG ORAL TAB [36438],$71.92 ,1 each
ARIPIPRAZOLE 5 MG ORAL TAB [36438],$67.15 ,1 each
ARSENIC TRIOXIDE 1 MG/ML IV SOLN [29071],"$2,617.08 ",1  x 10 mL AMPUL
ARSENIC TRIOXIDE 2 MG/ML IV SOLN [170401],"$3,432.31 ",1  x 6 mL Vial
ARSENIC TRIOXIDE 2 MG/ML IV SOLN [170401],"$3,432.31 ",1  x 6 mL Vial
ARTIFICIAL TEARS WITH LANOLIN OPHT OINT [125954],$25.78 ,1  x 3.5 g Tube
ARTIFICIAL TEARS(HYPROMELLOSE) 0.5 % OPHT DROP [27980],$85.14 ,1  x 15 mL DROP BTL
ASCORBIC ACID (VITAMIN C) 250 MG ORAL CHEW [122029],$1.67 ,1 each
ASCORBIC ACID (VITAMIN C) 250 MG ORAL TAB [663],$1.66 ,1 each
ASCORBIC ACID (VITAMIN C) 500 MG ORAL CHEW [657],$1.75 ,1 each
ASCORBIC ACID (VITAMIN C) 500 MG ORAL TAB [664],$1.75 ,1 each
ASCORBIC ACID (VITAMIN C) 500 MG/5 ML ORAL SYRP [123719],$124.48 ,1  x 473 mL Bottle
ASCORBIC ACID (VITAMIN C) 500 MG/ML INJ SOLN [654],$358.39 ,1  x 50 mL Vial
"ASPARAGINASE (ERWINIA CHRYSAN) 10,000 UNIT INJ SOLR [129419]","$15,038.49 ",1  x 10000 Units Vial
ASPIRIN 300 MG RECT SUPP [693],$0.00 ,1 each
ASPIRIN 325 MG ORAL TAB [681],$0.00 ,1 each
ASPIRIN 325 MG ORAL TAB [681],$0.00 ,1 each
ASPIRIN 325 MG ORAL TBEC [685],$0.00 ,1 each
ASPIRIN 40.5 MG RECT SUPP [172225],$0.00 ,1 each
ASPIRIN 81 MG ORAL CHEW [679],$0.00 ,1 each
ASPIRIN 81 MG ORAL CHEW [679],$0.00 ,1 each
ATENOLOL 100 MG ORAL TAB [716],$4.35 ,1 each
ATENOLOL 2 MG/ML ORAL SUSPENSION [40840100],$61.53 ,1  x 150 mL Bottle
ATENOLOL 50 MG ORAL TAB [718],$3.56 ,1 each
ATOMOXETINE 10 MG ORAL CAP [34444],$36.24 ,1 each
ATOMOXETINE 18 MG ORAL CAP [34445],$36.24 ,1 each
ATOMOXETINE 25 MG ORAL CAP [34446],$36.24 ,1 each
ATOMOXETINE 40 MG ORAL CAP [34447],$39.24 ,1 each
ATOMOXETINE 60 MG ORAL CAP [34448],$39.24 ,1 each
ATORVASTATIN 10 MG ORAL TAB [19176],$2.70 ,1 each
ATORVASTATIN 10 MG ORAL TAB [19176],$10.47 ,1 each
ATORVASTATIN 40 MG ORAL TAB [19177],$14.25 ,1 each
ATOVAQUONE 750 MG/5 ML ORAL SUSP [14953],"$3,631.05 ",1  x 210 mL Bottle
ATOVAQUONE-PROGUANIL 250-100 MG ORAL TAB [23814],$19.65 ,1 each
ATROPINE 0.1 MG/ML INJ SYRG [730],$46.39 ,1  x 10 mL Syringe
ATROPINE 0.1 MG/ML INJ SYRG [730],$30.23 ,1  x 10 mL Syringe
ATROPINE 0.4 MG/ML INJ SOLN [731],$38.87 ,1  x 1 mL Vial
ATROPINE 0.4 MG/ML INJ SOLN [731],$123.19 ,1  x 20 mL Vial
ATROPINE 0.4 MG/ML INJ SOLN [731],$145.66 ,1  x 20 mL Vial
ATROPINE 0.8 MG/2 ML (0.4 MG/ML) IV SYRG [131756],$50.04 ,1  x 2 mL Syringe
ATROPINE 1 % OPHT DROP [736],$84.43 ,1  x 2 mL DROP BTL
ATROPINE 1 % OPHT DROP [736],$34.26 ,1  x 5 mL DROP BTL
ATROPINE 1 % OPHT OINT [735],$55.89 ,1  x 3.5 g Tube
ATROPINE 1 MG/ML INJ SOLN [734],$32.87 ,1  x 1 mL Vial
AZACITIDINE 100 MG INJ SOLR [78420],"$1,908.22 ",1 each
AZATHIOPRINE 10 MG/ML ORAL SUSPENSION [40840110],$18.14 ,1  x 15 mL Bottle
AZATHIOPRINE 50 MG ORAL TAB [9183],$3.09 ,1 each
AZELASTINE 137 MCG (0.1 %) NASL SPRA [19179],$337.86 ,1  x 30 mL SQUEEZ BTL
AZITHROMYCIN 200 MG/5 ML ORAL SUSR [15797],$98.03 ,1  x 22.5 mL Bottle
AZITHROMYCIN 200 MG/5 ML ORAL SUSR [15797],$98.07 ,1  x 30 mL Bottle
AZITHROMYCIN 250 MG ORAL TAB [20943],$6.26 ,1 each
AZITHROMYCIN 250 MG ORAL TAB [20943],$18.63 ,1 each
AZITHROMYCIN 250 MG ORAL TAB [20943],$17.79 ,1 each
AZITHROMYCIN 250 MG ORAL TAB [20943],$17.79 ,1 each
AZITHROMYCIN 250 MG ORAL TAB [20943],$17.79 ,1 each
AZITHROMYCIN 500 MG IV SOLR [21063],$29.77 ,1 each
AZTREONAM 2 GRAM INJ SOLR [9186],$267.96 ,1 each
AZTREONAM 2 GRAM INJ SOLR [9186],$220.62 ,1 each
B COMPLEX WITH C#10-FOLIC ACID 900 MCG/5 ML ORAL LIQD [32716],$45.44 ,1  x 240 mL Bottle
B COMPLEX-VITAMIN C-FOLIC ACID 0.8 MG ORAL TAB [29833],$1.91 ,1 each
"BACITRACIN 50,000 UNIT IM SOLR [851]",$53.47 ,1 each
"BACITRACIN 50,000 UNIT IM SOLR [851]",$53.46 ,1 each
"BACITRACIN 50,000 UNIT IM SOLR [851]",$53.46 ,1 each
BACITRACIN 500 UNIT/GRAM OPHT OINT [852],$300.22 ,1  x 3.5 g Tube
BACITRACIN 500 UNIT/GRAM TOP OINT [850],$14.16 ,1  x 28.4 g Tube
"BACITRACIN-POLYMYXIN B 500-10,000 UNIT/GRAM OPHT OINT [856]",$40.11 ,1  x 3.5 g Tube
"BACITRACIN-POLYMYXIN B 500-10,000 UNIT/GRAM OPHT OINT [856]",$78.91 ,1  x 3.5 g Tube
"BACITRACIN-POLYMYXIN B 500-10,000 UNIT/GRAM TOP OINT [855]",$12.99 ,1  x 28.4 g TUBE/KIT
"BACITRACIN-POLYMYXIN B 500-10,000 UNIT/GRAM TOP OINT [855]",$12.93 ,1  x 28.3 g Tube
"BACITRACIN-POLYMYXIN B 500-10,000 UNIT/GRAM TOP PACK [123709]",$0.00 ,1 each
BACLOFEN 10 MG ORAL TAB [860],$2.87 ,1 each
BACLOFEN 10 MG ORAL TAB [860],$2.82 ,1 each
"BACLOFEN 10,000 MCG/20ML (500 MCG/ML) IT SYRG [131988]",$985.72 ,1  x 20 mL Syringe
"BACLOFEN 40,000 MCG/20ML (2,000 MCG/ML) IT SYRG [131990]","$3,914.55 ",1  x 20 mL Syringe
BACLOFEN 5 MG/ML ORAL SUSPENSION [40840111],$46.94 ,1  x 30 mL Bottle
BACLOFEN 50 MCG/ML (1 ML) IT SYRG [107798],$89.00 ,1  x 1 mL Syringe
BACLOFEN 50 MCG/ML (1 ML) IT SYRG [107798],,
BALANCED SALT SOLN NO.1 IRRIG. IO SOLN [14123],$246.83 ,1  x 500 mL Bottle
BALANCED SALT SOLN NO.2 IRRIG. IO SOLN [124576],$29.63 ,1  x 15 mL Bottle
BALANCED SALT SOLN NO.2 IRRIG. IO SOLN [124576],$94.29 ,1  x 500 mL Bottle
BALANCED SALT SOLN NON-SURG 3 OPHT SOLN [10780],$61.31 ,1  x 30 mL Bottle
BARIUM SULFATE 0.1 % ORAL SUSP [93052],$17.12 ,1  x 450 mL Bottle
BASILIXIMAB 20 MG IV SOLR [23082],"$13,774.78 ",1 each
BECLOMETHASONE 1 MG/ML ORAL EMULSION [168411],$132.54 ,1  x 120 mL 
BECLOMETHASONE DIPROPIONATE 40 MCG/ACTUATION INHL AERO [28970],$599.68 ,1  x 8.7 g AER W/ADAP
BECLOMETHASONE DIPROPIONATE 80 MCG/ACTUATION INHL AERO [28971],$864.79 ,1  x 8.7 g AER W/ADAP
BELIMUMAB 120 MG IV SOLR [108842],"$1,923.26 ",1 each
BELIMUMAB 400 MG IV SOLR [108843],"$6,385.34 ",1 each
BELLADONNA ALKALOIDS-OPIUM 16.2-30 MG RECT SUPP [122026],$75.93 ,1 each
BENAZEPRIL 5 MG ORAL TAB [9223],$3.90 ,1 each
BENZOCAINE 7.5 % MM GEL [19692],$117.08 ,1  x 9.9 g Tube
BENZOCAINE-MENTHOL 15-3.6 MG MM LOZG [94141],$1.96 ,1 each
BENZOCAINE-MENTHOL 6-10 MG MM LOZG [41085],$1.97 ,1 each
BENZOIN (BULK) TOP TINC [9244],$0.00 ,1  x 60 mL Bottle
BENZOYL PEROXIDE 10 % TOP GEL [989],$40.64 ,1  x 60 g Tube
BENZOYL PEROXIDE 10 % TOP GEL [989],$21.77 ,1  x 42.5 g Tube
BENZOYL PEROXIDE 5 % TOP GEL [991],$39.85 ,1  x 60 g Tube
BENZTROPINE 1 MG ORAL TAB [999],$2.50 ,1 each
BENZTROPINE 1 MG ORAL TAB [999],$2.15 ,1 each
BENZTROPINE 2 MG ORAL TAB [1000],$2.74 ,1 each
BENZTROPINE 2 MG ORAL TAB [1000],$2.26 ,1 each
BENZTROPINE 2 MG/2 ML INJ SOLN [9259],$386.87 ,1  x 2 mL AMPUL
BENZTROPINE 2 MG/2 ML INJ SOLN [9259],$548.26 ,1  x 2 mL AMPUL
BENZTROPINE 2 MG/2 ML INJ SOLN [9259],$433.27 ,1  x 2 mL Vial
"BETA CAROTENE 25,000 UNIT ORAL CAP [1006]",$1.74 ,1 each
"BETA CAROTENE 25,000 UNIT ORAL CAP [1006]",$1.74 ,1 each
"BETAMETHASONE ACET,SOD PHOS 6 MG/ML INJ SUSP [9266]",$208.63 ,1  x 5 mL Vial
BETHANECHOL 0.5 MG/ML ORAL SUSPENSION [40840101],$38.92 ,1  x 100 mL Bottle
BETHANECHOL CHLORIDE 10 MG ORAL TAB [1043],$2.98 ,1 each
BETHANECHOL CHLORIDE 25 MG ORAL TAB [1044],$7.45 ,1 each
BETHANECHOL CHLORIDE 25 MG ORAL TAB [1044],$3.60 ,1 each
BETHANECHOL CHLORIDE 25 MG ORAL TAB [1044],$6.29 ,1 each
BETHANECHOL CHLORIDE 5 MG ORAL TAB [1045],$2.13 ,1 each
BEVACIZUMAB 25 MG/ML IV SOLN [108065],"$3,093.52 ",1  x 4 mL Vial
BEVACIZUMAB 25 MG/ML IV SOLN [108065],"$12,580.28 ",1  x 16 mL Vial
BICARB DIALYSIS8 W-OUT CALCIUM K (2 MEQ/L) -MG (1 MEQ/L) HEMO SOLN [128795],$274.25 ,1  x 5000 mL Bag
BIOTIN 300 MCG ORAL TAB [1071],$9.71 ,100 tablet
BIOTIN 300 MCG ORAL TAB [1071],$1.67 ,1 each
BIOTIN 5 MG/ML ORAL SOLN [40840112],$128.60 ,1  x 100 mL Bottle
BISACODYL 10 MG RECT SUPP [1080],$3.93 ,1 each
BISACODYL 5 MG ORAL TBEC [1079],$1.76 ,1 each
BISACODYL 5 MG ORAL TBEC [1079],$1.76 ,1 each
BISMUTH SUBSALICYLATE 262 MG/15 ML ORAL SUSP [1090],$14.37 ,1  x 236 mL Bottle
BIVALIRUDIN 250 MG IV SOLR [29396],"$3,688.44 ",1 each
BIVALIRUDIN 250 MG IV SOLR [29396],"$3,650.14 ",1 each
BIVALIRUDIN INFUSION [172883],"$3,688.44 ",1 each
BIVALIRUDIN INFUSION [172883],"$3,650.14 ",1 each
BLEOMYCIN 15 UNIT INJ SOLR [9289],$224.13 ,1 each
BLEOMYCIN 30 UNIT INJ SOLR [17012],$387.43 ,1 each
BLINATUMOMAB 35 MCG IV KIT [127766],"$14,247.42 ",1 each
BORTEZOMIB 3.5 MG INJ SOLR [123070],"$6,188.77 ",1 each
BOSENTAN 62.5 MG ORAL TAB [31875],$573.51 ,1 each
BRENTUXIMAB VEDOTIN 50 MG IV SOLR [111348],"$26,268.13 ",1 each
BROMOCRIPTINE 2.5 MG ORAL TAB [9297],$10.67 ,1 each
BUDESONIDE 0.25 MG/2 ML INHL NBSP [28774],$35.29 ,1  x 2 mL Ampule
BUDESONIDE 0.5 MG/2 ML INHL NBSP [28775],$40.32 ,1  x 2 mL Vial
BUDESONIDE 0.5 MG/2 ML INHL NBSP [28775],$33.32 ,1  x 2 mL Vial
BUDESONIDE 180 MCG/ACTUATION INHL AEPB [96977],$826.30 ,1 each
BUDESONIDE 3 MG ORAL CECX [31576],$42.88 ,1 each
BUDESONIDE 3 MG ORAL CECX [31576],$42.88 ,1 each
BUDESONIDE 32 MCG/ACTUATION NASL SPRY [27022],$48.73 ,1  x 8.6 g AER W/ADAP
BUDESONIDE 32 MCG/ACTUATION NASL SPRY [27022],$49.23 ,1  x 5 mL AER W/ADAP
BUDESONIDE 9 MG ORAL TADE [119689],$145.69 ,1 each
BUDESONIDE-FORMOTEROL 160-4.5 MCG/ACTUATION INHL HFAA [81454],$848.42 ,1  x 6 g AER W/ADAP
BUDESONIDE-FORMOTEROL 80-4.5 MCG/ACTUATION INHL HFAA [81453],$738.22 ,1  x 6.9 g AER W/ADAP
BUMETANIDE 0.25 MG/ML INJ SOLN [9308],$21.31 ,1  x 10 mL Vial
BUMETANIDE 0.25 MG/ML INJ SOLN [9308],$21.31 ,1  x 10 mL Vial
BUMETANIDE 0.25 MG/ML INJ SOLN [9308],$19.62 ,1  x 4 mL Vial
BUMETANIDE 0.25 MG/ML INJ SOLN [9308],$20.35 ,1  x 10 mL Vial
BUMETANIDE 0.25 MG/ML ORAL SOLN [169025],$14.88 ,1  x 10 mL Bottle
BUMETANIDE 0.5 MG ORAL TAB [9309],$3.79 ,1 each
BUMETANIDE 0.5 MG ORAL TAB [9309],$6.87 ,1 each
BUMETANIDE 1 MG ORAL TAB [9310],$3.99 ,1 each
BUMETANIDE 1 MG ORAL TAB [9310],$7.45 ,1 each
BUMETANIDE 1 MG ORAL TAB [9310],$7.51 ,1 each
BUMETANIDE 1 MG ORAL TAB [9310],$5.89 ,1 each
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJ SOLN [1222],$17.05 ,1  x 10 mL Vial
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJ SOLN [1222],$17.31 ,1  x 30 mL Vial
BUPIVACAINE (PF) 0.25 % (2.5 MG/ML) INJ SOLN [1222],$17.05 ,1  x 10 mL Vial
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJ SOLN [105640],$18.11 ,1  x 10 mL Vial
BUPIVACAINE (PF) 0.5 % (5 MG/ML) INJ SOLN [105640],$18.04 ,1  x 10 mL Vial
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) INJ SOLN [122185],$23.45 ,1  x 30 mL Vial
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) INJ SOLN [122185],$18.55 ,1  x 10 mL Vial
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) INJ SOLN [122185],$18.04 ,1  x 10 mL Vial
BUPIVACAINE (PF) 0.75 % (7.5 MG/ML) INJ SOLN [122185],$18.55 ,1  x 10 mL Vial
BUPIVACAINE 0.25 % (2.5 MG/ML) INJ SOLN [121604],$49.43 ,1  x 50 mL Vial
BUPIVACAINE 0.25 % (2.5 MG/ML) INJ SOLN [121604],$21.91 ,1  x 50 mL Vial
BUPIVACAINE 0.5 % (5 MG/ML) INJ SOLN [1223],$53.91 ,1  x 50 mL Vial
BUPIVACAINE LIPOSOME (PF) 1.3 % (13.3 MG/ML) LINF SUSP [112781],"$1,220.47 ",1  x 20 mL Vial
BUPIVACAINE LIPOSOME (PF) 1.3 % (13.3 MG/ML) LINF SUSP [112781],"$1,220.47 ",1  x 20 mL Vial
BUPIVACAINE-DEXTROSE-WATER(PF) 0.75 % (7.5 MG/ML) INJ SOLN [9316],$19.78 ,1  x 2 mL AMPUL
"BUPIVACAINE-EPINEPHRINE (PF) 0.25 %-1:200,000 INJ SOLN [105633]",$26.20 ,1  x 10 mL Vial
"BUPIVACAINE-EPINEPHRINE (PF) 0.25 %-1:200,000 INJ SOLN [105633]",$21.82 ,1  x 30 mL Vial
"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 INJ SOLN [105634]",$19.96 ,1  x 10 mL Vial
"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 INJ SOLN [105634]",$42.75 ,1  x 30 mL Vial
"BUPIVACAINE-EPINEPHRINE (PF) 0.5 %-1:200,000 INJ SOLN [105634]",$20.19 ,1  x 30 mL Vial
"BUPIVACAINE-EPINEPHRINE (PF) 0.75 %-1:200,000 INJ SOLN [129649]",$46.59 ,1  x 30 mL Vial
"BUPIVACAINE-EPINEPHRINE 0.25 %-1:200,000 INJ SOLN [9317]",$345.27 ,1  x 50 mL Vial
"BUPIVACAINE-EPINEPHRINE 0.25 %-1:200,000 INJ SOLN [9317]",$58.23 ,1  x 50 mL Vial
BUPROPION HCL 150 MG ORAL SR12 [18386],$5.85 ,1 each
BUPROPION HCL 150 MG ORAL SR12 [18386],$2.69 ,1 each
BUPROPION HCL 150 MG ORAL SR12 [18386],$3.19 ,1 each
BUPROPION HCL 150 MG ORAL TB24 [36775],$12.06 ,1 each
BUPROPION HCL 150 MG ORAL TB24 [36775],$13.02 ,1 each
BUPROPION HCL 150 MG ORAL TB24 [36775],$12.06 ,1 each
BUPROPION HCL 300 MG ORAL TB24 [36776],$7.15 ,1 each
BUPROPION HCL 75 MG ORAL TAB [9322],$2.79 ,1 each
BUSPIRONE 10 MG ORAL TAB [9323],$4.55 ,1 each
BUSPIRONE 10 MG ORAL TAB [9323],$4.55 ,1 each
BUSPIRONE 10 MG ORAL TAB [9323],$4.55 ,1 each
BUSPIRONE 5 MG ORAL TAB [9324],$1.78 ,1 each
BUSPIRONE 5 MG ORAL TAB [9324],$3.29 ,1 each
BUSPIRONE 5 MG ORAL TAB [9324],$3.29 ,1 each
BUSULFAN 2 MG ORAL TAB [9325],$63.16 ,1 each
BUSULFAN 2 MG/ML ORAL SUSPENSION [168921],"$1,028.85 ",1  x 120 mL Bottle
BUSULFAN 60 MG/10 ML IV SOLN [24695],"$8,875.14 ",1  x 10 mL Vial
BUTALBITAL-ACETAMINOPHEN-CAFF 50-325-40 MG ORAL TAB [8958],$5.30 ,1 each
BUTALBITAL-ACETAMINOPHEN-CAFF 50-325-40 MG ORAL TAB [8958],$2.09 ,1 each
