"IMMUNE GLOB,GAMMA(IGG) 15 %-18 % RANGE-GLYCINE INTRAMUSCULAR SOLUTION",Solution,2,Vial,275.91
IMMUNE GLOBULIN (CARIMUNE) 12% INFUSION,,1,Vial,"2,557.80"
IMMUNE GLOBULIN (CARIMUNE) 3% INFUSION,,1,Vial,"2,555.00"
IMMUNE GLOBULIN (CARIMUNE) 6% INFUSION,,1,Vial,"1,278.90"
IMMUNE GLOBULIN (CARIMUNE) 9% INFUSION,,1,Vial,"2,555.00"
IMMUNE GLOBULIN (HUMAN) (CARIMUNE) 12 G INFUSION,Recon Soln,1,Vial,"2,557.80"
IMMUNE GLOBULIN (HUMAN) (IGG) 10% IV SOLN (PRIVIGEN),Solution,50,Vial,"1,442.00"
IMMUNE GLOBULIN (HUMAN) (IGG) 10% IV SOLN (PRIVIGEN),Solution,50,Vial,"2,380.00"
IMMUNE GLOBULIN (HUMAN) (IGG) 10% IV SOLN (PRIVIGEN),Solution,100,Vial,"2,884.00"
IMMUNE GLOBULIN (HUMAN) (IGG) 10% IV SOLN (PRIVIGEN),Solution,100,Vial,"4,760.00"
IMMUNE GLOBULIN (HUMAN) (IGG) 10% IV SOLN (PRIVIGEN),Solution,200,Vial,"5,768.00"
IMMUNE GLOBULIN (HUMAN) (IGG) 10% IV SOLN (PRIVIGEN),Solution,200,Vial,"9,520.00"
INDAPAMIDE 2.5 MG TABLET,tablet,100,BLIST PACK,0.88
INDAPAMIDE 2.5 MG TABLET,tablet,100,BLIST PACK,1.75
INDIGOTINDISULFONATE SODIUM 8 MG/ML (0.8 %) INJECTION SOLUTION,Solution,5,AMPUL,26.8
INDINAVIR 200 MG CAPSULE,capsule,360,Bottle,12.46
INDINAVIR 200 MG CAPSULE,capsule,360,Bottle,16.61
INDINAVIR 200 MG CAPSULE,capsule,360,Bottle,20.76
INDINAVIR 400 MG CAPSULE,capsule,180,Bottle,8.3
INDINAVIR 400 MG CAPSULE,capsule,180,Bottle,12.45
INDINAVIR 400 MG CAPSULE,capsule,180,Bottle,16.6
INDINAVIR 400 MG CAPSULE,capsule,180,Bottle,20.75
INDOCYANINE GREEN 5 MG/ML OPHTHALMIC SOLUTION,Injectable,1,Syringe,44.52
INDOMETHACIN 1 MG INTRAVENOUS SOLUTION,Recon Soln,1,Vial,"1,729.81"
INDOMETHACIN 25 MG CAPSULE,capsule,100,Bottle,0.42
INDOMETHACIN 25 MG CAPSULE,capsule,100,Bottle,0.84
INDOMETHACIN 25 MG CAPSULE,capsule,100,BLIST PACK,1.14
INDOMETHACIN 25 MG CAPSULE,capsule,100,BLIST PACK,2.27
INDOMETHACIN 50 MG CAPSULE,capsule,100,BLIST PACK,0.42
INDOMETHACIN 50 MG CAPSULE,capsule,100,BLIST PACK,0.83
INDOMETHACIN 50 MG RECTAL SUPPOSITORY,Suppository,30,Box,139
INDOMETHACIN 50 MG RECTAL SUPPOSITORY,Suppository,30,Box,277.99
INDOMETHACIN 50 MG RECTAL SUPPOSITORY,Suppository,30,Box,555.97
INFLIXIMAB 100 MG INTRAVENOUS SOLUTION,Recon Soln,1,Vial,"3,905.09"
INFLIXIMAB-DYYB 100 MG INTRAVENOUS SOLUTION,Recon Soln,1,Vial,"2,410.28"
INSULIN ASPART U-100  100 UNIT/ML SUBCUTANEOUS SOLUTION,Solution,10,Vial,947.35
INSULIN ASPART U-100 100 UNIT/ML SUBCUTANEOUS SOLUTION PUMP REFILL ONLY,Solution,10,Vial,947.35
INSULIN DETEMIR (U-100) 100 UNIT/ML SUBCUTANEOUS SOLUTION,Solution,10,Vial,961.7
INSULIN GLARGINE (U-100) 100 UNIT/ML SUBCUTANEOUS SOLUTION,Solution,10,Vial,882.46
INSULIN GLARGINE 100 UNIT/ML SUBCUTANEOUS SOLUTION ENDO ONLY,Solution,10,Vial,882.46
INSULIN LISPRO (U-100) 100 UNIT/ML SUBCUTANEOUS SOLUTION,Solution,3,Vial,269.82
INSULIN LISPRO 100 UNIT/ML SUBCUTANEOUS SOLUTION PUMP REFILL ONLY,Solution,3,Vial,269.82
INSULIN NPH ISOPHANE U-100 HUMAN 100 UNIT/ML SUBCUTANEOUS SUSPENSION,Suspension,3,Vial,146.06
INSULIN NPH ISOPHANE U-100 HUMAN 100 UNIT/ML SUBCUTANEOUS SUSPENSION,Suspension,10,Vial,450.8
INSULIN NPH ISOPHANE U-100 HUMAN 100 UNIT/ML SUBCUTANEOUS SUSPENSION,Suspension,10,Vial,486.82
INSULIN REGULAR IN SODIUM CHLORIDE 0.9% INFUSION 1 UNIT/ML,,100,Bag,49
INSULIN U-100 REGULAR 100 UNIT/ML INJECTION SOLUTION PUMP REFILL ONLY,Solution,3,Vial,146.06
INSULIN U-100 REGULAR HUMAN 100 UNIT/ML INJECTION SOLUTION,Solution,3,Vial,146.06
INTERFERON ALFA-2B 10 MILLION UNIT (1 ML) SOLUTION FOR INJECTION,Recon Soln,1,Vial,839.97
INTERFERON ALFA-2B 50 MILLION UNIT (1 ML) SOLUTION FOR INJECTION,Recon Soln,1,Vial,"4,200.39"
INTERFERON ALFA-2B 50 MILLION UNIT (1 ML) SOLUTION FOR INJECTION,Recon Soln,1,Vial,"5,024.99"
INTERFERON ALFA-2B 6 MILLION UNIT/ML INJECTION SOLUTION,Solution,3.8,Vial,"2,328.80"
INTERFERON BETA-1A (ALBUMIN) 44 MCG/0.5 ML SUBCUTANEOUS SYRINGE,Syringe,0.5,Syringe,"1,984.06"
INTRALIPID,Emulsion,1000,Flex Cont,112
INV (H-35835) MELPHALAN (PROPYLENE GLYCOL-FREE) IN SODIUM CHLORIDE 0.9% IVPB,,,,0
INV TPN - EMS (AMINO ACID) STUDY,,,,255.5
IODINE STRONG (LUGOLS) 5 % ORAL SOLUTION,Solution,14,Bottle,106.73
IOPAMIDOL 41 % INJECTION SOLUTION,Solution,50,Vial,147.53
IOPAMIDOL 41 % INTRATHECAL SOLUTION,Solution,10,Vial,48.49
IOPAMIDOL 41 % INTRATHECAL SOLUTION,Solution,10,Vial,65.48
IOPAMIDOL 76 % INTRAVENOUS SOLUTION,Solution,100,Bottle,44.1
IOVERSOL 320 MG IODINE/ML INTRAVENOUS SOLUTION,Solution,20,Vial,34.16
IOVERSOL 320 MG IODINE/ML INTRAVENOUS SOLUTION,Solution,50,Vial,57.05
IOVERSOL 320 MG IODINE/ML INTRAVENOUS SOLUTION,Solution,200,Vial,217
IPILIMUMAB 200 MG/40 ML (5 MG/ML) INTRAVENOUS SOLUTION,Solution,40,Vial,"100,431.94"
IPILIMUMAB 50 MG/10 ML (5 MG/ML) INTRAVENOUS SOLUTION,Solution,10,Vial,"25,108.02"
IPRATROPIUM BROMIDE 0.02 % SOLUTION FOR INHALATION,Solution,2.5,Vial,0.65
IPRATROPIUM BROMIDE 17 MCG/ACTUATION HFA AEROSOL INHALER,HFA Aerosol Inhaler,12.9,AER W/ADAP,"1,175.21"
IPRATROPIUM-ALBUTEROL 20 MCG-100 MCG/ACTUATION AEROSOL INHALER,Aerosol,4,AER W/ADAP,"1,011.15"
IRBESARTAN 150 MG TABLET,tablet,90,Bottle,1.08
IRBESARTAN 150 MG TABLET,tablet,90,Bottle,1.22
IRBESARTAN 150 MG TABLET,tablet,90,Bottle,2.15
IRBESARTAN 150 MG TABLET,tablet,90,Bottle,2.44
IRBESARTAN 150 MG TABLET,tablet,100,BLIST PACK,9.96
IRBESARTAN 150 MG TABLET,tablet,100,BLIST PACK,19.92
IRINOTECAN 100 MG/5 ML INTRAVENOUS SOLUTION,Solution,5,Vial,101.89
IRINOTECAN 40 MG/2 ML INTRAVENOUS SOLUTION,Solution,2,Vial,70.88
IRON DEXTRAN 100 MG/2 ML (50 MG/ML) INJECTION SOLUTION,Solution,2,Vial,21.69
IRON DEXTRAN 100 MG/2 ML (50 MG/ML) INJECTION SOLUTION,Solution,2,Vial,23.21
IRON DEXTRAN 100 MG/2 ML (50 MG/ML) INJECTION SOLUTION,Solution,2,Vial,867.37
IRON DEXTRAN 100 MG/2 ML (50 MG/ML) INJECTION SOLUTION,Solution,2,Vial,928.2
IRON SUCROSE 100 MG IRON/5 ML INTRAVENOUS SOLUTION,Solution,5,Vial,156.98
IRON SUCROSE 200 MG IRON/10 ML INTRAVENOUS SOLUTION,Solution,10,Vial,313.95
ISAVUCONAZONIUM SULFATE 186 MG CAPSULE,capsule,14,BLIST PACK,571.18
ISAVUCONAZONIUM SULFATE 372 MG INTRAVENOUS SOLUTION,Recon Soln,1,Vial,973.07
ISONIAZID 100 MG TABLET,tablet,100,Bottle,0.28
ISONIAZID 100 MG TABLET,tablet,100,Bottle,0.41
ISONIAZID 100 MG TABLET,tablet,100,Bottle,0.82
ISONIAZID 100 MG/ML INJECTION SOLUTION,Solution,10,Vial,"1,015.53"
ISONIAZID 300 MG TABLET,tablet,30,Bottle,0.29
ISONIAZID 300 MG TABLET,tablet,30,Bottle,0.43
ISONIAZID 300 MG TABLET,tablet,100,BLIST PACK,0.83
ISONIAZID 300 MG TABLET,tablet,30,Bottle,0.86
ISONIAZID 300 MG TABLET,tablet,100,BLIST PACK,1.24
ISONIAZID 300 MG TABLET,tablet,100,BLIST PACK,2.47
ISONIAZID 50 MG/5 ML ORAL SOLUTION,Solution,60,Bottle,140.7
ISONIAZID 50 MG/5 ML ORAL SOLUTION,Solution,473,Bottle,"1,107.53"
ISONIAZID 50 MG/5 ML ORAL SOLUTION (PEDIATRIC),Solution,473,Bottle,"1,107.53"
ISONIAZID-RIFAMP-PYRAZINAMIDE 50 MG-120 MG-300 MG TABLET,tablet,60,Bottle,55.04
ISONIAZID-RIFAMP-PYRAZINAMIDE 50 MG-120 MG-300 MG TABLET,tablet,60,Bottle,68.8
ISONIAZID-RIFAMP-PYRAZINAMIDE 50 MG-120 MG-300 MG TABLET,tablet,60,Bottle,82.56
ISOPROTERENOL 0.2 MG/ML INJECTION SOLUTION,Solution,5,Vial,"3,535.30"
ISOPROTERENOL 0.2 MG/ML INJECTION SOLUTION,Solution,5,AMPUL,"3,826.38"
ISOPROTERENOL 0.2 MG/ML INJECTION SOLUTION,Solution,1,AMPUL,"5,153.59"
ISOPROTERENOL 0.2 MG/ML INJECTION SOLUTION,Solution,5,AMPUL,"5,854.38"
ISOPROTERENOL 0.2 MG/ML INJECTION SOLUTION,Solution,5,AMPUL,"6,265.39"
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,Bottle,0.68
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,1000,Bottle,0.91
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,BLIST PACK,1
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,Bottle,1.02
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,BLIST PACK,1.02
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,Bottle,1.36
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,1,BLIST PACK,1.63
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,1000,Bottle,1.82
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,BLIST PACK,2
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,Bottle,2.03
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,BLIST PACK,2.03
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,Bottle,2.71
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,1,BLIST PACK,3.26
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,1000,Bottle,3.64
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,BLIST PACK,3.99
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,Bottle,4.06
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,BLIST PACK,4.06
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,Bottle,4.07
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,Bottle,5.42
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,1000,Bottle,5.46
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,BLIST PACK,5.98
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,BLIST PACK,6.08
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,Bottle,6.09
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,1,BLIST PACK,6.52
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,1000,Bottle,7.28
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,BLIST PACK,7.97
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,BLIST PACK,8.11
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,100,Bottle,8.12
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,1,BLIST PACK,9.78
ISOSORBIDE DINITRATE 10 MG TABLET,tablet,1,BLIST PACK,13.04
ISOSORBIDE DINITRATE 20 MG TABLET,tablet,100,BLIST PACK,0.96
ISOSORBIDE DINITRATE 20 MG TABLET,tablet,100,Bottle,1.07
ISOSORBIDE DINITRATE 20 MG TABLET,tablet,100,BLIST PACK,1.2
ISOSORBIDE DINITRATE 20 MG TABLET,tablet,100,BLIST PACK,1.53
ISOSORBIDE DINITRATE 20 MG TABLET,tablet,100,BLIST PACK,1.91
ISOSORBIDE DINITRATE 20 MG TABLET,tablet,100,Bottle,2.13
ISOSORBIDE DINITRATE 20 MG TABLET,tablet,100,BLIST PACK,2.4
ISOSORBIDE DINITRATE 20 MG TABLET,tablet,100,BLIST PACK,3.05
ISOSORBIDE DINITRATE 20 MG TABLET,tablet,100,BLIST PACK,3.81
ISOSORBIDE DINITRATE 20 MG TABLET,tablet,100,Bottle,4.26
ISOSORBIDE DINITRATE 20 MG TABLET,tablet,100,BLIST PACK,4.79
ISOSORBIDE DINITRATE 20 MG TABLET,tablet,100,BLIST PACK,6.09
ISOSORBIDE DINITRATE 30 MG TABLET,tablet,100,Bottle,0.82
ISOSORBIDE DINITRATE 30 MG TABLET,tablet,100,Bottle,1.64
ISOSORBIDE DINITRATE 30 MG TABLET,tablet,100,Bottle,3.27
ISOSORBIDE DINITRATE 5 MG TABLET,tablet,100,Bottle,2.48
ISOSORBIDE DINITRATE 5 MG TABLET,tablet,100,Bottle,4.95
ISOSORBIDE DINITRATE 5 MG TABLET,tablet,100,Bottle,9.89
"ISOSORBIDE DINITRATE ER 40 MG TABLET,EXTENDED RELEASE",tablet extended release,100,Bottle,4.85
ISOSORBIDE MONONITRATE 20 MG TABLET,tablet,100,Bottle,0.37
ISOSORBIDE MONONITRATE 20 MG TABLET,tablet,100,Bottle,0.74
ISOSORBIDE MONONITRATE 20 MG TABLET,tablet,100,Bottle,0.81
ISOSORBIDE MONONITRATE 20 MG TABLET,tablet,100,Bottle,1.62
"ISOSORBIDE MONONITRATE ER 30 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,0.47
"ISOSORBIDE MONONITRATE ER 30 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,0.94
"ISOSORBIDE MONONITRATE ER 30 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,BLIST PACK,1.02
"ISOSORBIDE MONONITRATE ER 30 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,1.41
"ISOSORBIDE MONONITRATE ER 30 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,BLIST PACK,2.03
"ISOSORBIDE MONONITRATE ER 30 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,BLIST PACK,3.04
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,0.35
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,0.52
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,BLIST PACK,0.55
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,0.7
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,BLIST PACK,0.78
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,0.89
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,0.93
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,1.03
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,1.05
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,BLIST PACK,1.1
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,1,BLIST PACK,1.22
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,1.54
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,BLIST PACK,1.55
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,BLIST PACK,1.64
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,1.77
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,1.86
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,BLIST PACK,2.33
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,1,BLIST PACK,2.44
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,2.65
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,100,Bottle,2.79
"ISOSORBIDE MONONITRATE ER 60 MG TABLET,EXTENDED RELEASE 24 HR",tablet extended release 24 hr,1,BLIST PACK,3.66
ISOSULFAN BLUE 1 % SUBCUTANEOUS SOLUTION,Solution,5,Vial,220.15
ISOSULFAN BLUE 1 % SUBCUTANEOUS SOLUTION,Solution,5,Vial,309.56
ISOSULFAN BLUE 1 % SUBCUTANEOUS SOLUTION,Solution,5,Vial,440.3
ISOSULFAN BLUE 1 % SUBCUTANEOUS SOLUTION,Solution,5,Vial,619.11
ITRACONAZOLE 10 MG/ML ORAL SOLUTION,Solution,150,Bottle,"1,077.30"
ITRACONAZOLE 10 MG/ML ORAL SOLUTION (PEDIATRIC),Solution,150,Bottle,143.64
ITRACONAZOLE 100 MG CAPSULE,capsule,30,Bottle,28.13
ITRACONAZOLE 100 MG CAPSULE,capsule,30,Bottle,31.7
ITRACONAZOLE 100 MG CAPSULE,capsule,30,Bottle,32.47
ITRACONAZOLE 100 MG CAPSULE,capsule,30,Bottle,56.25
ITRACONAZOLE 100 MG CAPSULE,capsule,30,Bottle,63.39
ITRACONAZOLE 100 MG CAPSULE,capsule,30,Bottle,64.94
ITRACONAZOLE 100 MG CAPSULE,capsule,30,Bottle,84.37
ITRACONAZOLE 100 MG CAPSULE,capsule,30,Bottle,95.08
ITRACONAZOLE 100 MG CAPSULE,capsule,30,Bottle,97.41
IV VENIPUNCTURE NEEDLE SET,Infusion Set,1,KIT,1.75
IVERMECTIN 3 MG TABLET,tablet,20,BLIST PACK,304.36
IVERMECTIN 3 MG TABLET,tablet,20,BLIST PACK,347.83
IXABEPILONE 15 MG INTRAVENOUS SOLUTION,Recon Soln,1,Vial,"4,012.12"
IXABEPILONE 45 MG INTRAVENOUS SOLUTION,Recon Soln,1,Vial,"12,036.33"
JAPANESE ENCEPHALITIS VIRUS VACCINE SUBCUTANEOUS SOLUTION,Recon Soln,1,Vial,337.05
KEPPRA 100 MG/ML ORAL SOLN (BRAND),Solution,60,DROP BTL,4.26
KEPPRA 100 MG/ML ORAL SOLN (BRAND),Solution,473,Bottle,"2,347.50"
KEPPRA 100 MG/ML ORAL SOLN (BRAND) (PEDIATRIC)    ,Solution,60,DROP BTL,4.26
KEPPRA 100 MG/ML ORAL SOLN (BRAND) (PEDIATRIC)    ,Solution,473,Bottle,"2,347.50"
KEPPRA 250 MG ORAL TAB (BRAND),tablet,120,Bottle,0.81
KEPPRA 250 MG ORAL TAB (BRAND),tablet,120,Bottle,1.61
KEPPRA 250 MG ORAL TAB (BRAND),tablet,120,Bottle,3.22
KEPPRA 500 MG ORAL TAB (BRAND),tablet,120,Bottle,0.2
KEPPRA 500 MG ORAL TAB (BRAND),tablet,120,Bottle,0.39
KEPPRA 500 MG ORAL TAB (BRAND),tablet,120,Bottle,0.77
KETAMINE 10 MG/ML IN SODIUM CHLORIDE 0.9% 100 ML INFUSION,Solution,100,Bag,294
KETAMINE 10 MG/ML IN SODIUM CHLORIDE 0.9% 500 ML INFUSION,Solution,500,Bag,"1,470.00"
KETAMINE 10 MG/ML INJECTION SOLUTION,Solution,20,Vial,51.87
KETAMINE 10 MG/ML INJECTION SOLUTION,Solution,20,Vial,57.75
KETAMINE 10 MG/ML INJECTION SOLUTION,Solution,20,Vial,58.87
KETAMINE 100 MG/ML INJECTION SOLUTION,Solution,5,Vial,26.71
KETAMINE 100 MG/ML INJECTION SOLUTION,Solution,5,Vial,28.53
KETAMINE 100 MG/ML INJECTION SOLUTION,Solution,5,Vial,32.29
KETAMINE 50 MG/ML INJECTION SOLUTION,Solution,10,Vial,17.33
KETAMINE 50 MG/ML INJECTION SOLUTION,Solution,10,Vial,21
KETOCONAZOLE 2 % SHAMPOO,Shampoo,120,Bottle,47.46
KETOCONAZOLE 2 % SHAMPOO,Shampoo,120,Bottle,56.7
KETOCONAZOLE 2 % TOPICAL CREAM,Cream,30,Tube,95.66
KETOCONAZOLE 2 % TOPICAL CREAM,Cream,30,Tube,376.74
KETOCONAZOLE 200 MG TABLET,tablet,30,Bottle,148.89
KETOROLAC 0.4 % EYE DROPS,Drops,5,DROP BTL,112.07
KETOROLAC 0.4 % EYE DROPS,Drops,5,DROP BTL,234.05
KETOROLAC 30 MG/ML (1 ML) INJECTION SOLUTION,Solution,1,Vial,2.73
KETOROLAC 30 MG/ML (1 ML) INJECTION SOLUTION,Solution,1,Vial,3.92
KETOROLAC 30 MG/ML (1 ML) INJECTION SOLUTION,Solution,1,Vial,5.04
KETOROLAC 30 MG/ML (1 ML) INJECTION SOLUTION,Solution,1,Vial,6.42
KETOROLAC 30 MG/ML (1 ML) INJECTION SOLUTION,Solution,1,Vial,7.7
KETOROLAC 30 MG/ML (1 ML) INJECTION SOLUTION,Solution,1,Vial,14.43
KETOROLAC 30 MG/ML (1 ML) INJECTION SOLUTION,Solution,1,Vial,16.33
KETOROLAC 30 MG/ML (1 ML) INJECTION SOLUTION,Solution,1,Vial,18.25
KETOROLAC 30 MG/ML (1 ML) INJECTION SOLUTION,Solution,1,Vial,20.13
KETOTIFEN 0.025 % (0.035 %) EYE DROPS,Drops,5,DROP BTL,26.01
L&D DELIVERY KIT,,1,KIT,54.29
LABETALOL 10 MG/ML ORAL SUSPENSION,Suspension,120,Bottle,1.4
LABETALOL 10 MG/ML ORAL SUSPENSION,Suspension,120,Bottle,2.8
LABETALOL 10 MG/ML ORAL SUSPENSION,Suspension,120,Bottle,4.2
LABETALOL 20 MG/4 ML (5 MG/ML) INTRAVENOUS SYRINGE,Syringe,4,Cartridge,22.03
LABETALOL 200 MG TABLET,tablet,100,BLIST PACK,0.58
LABETALOL 200 MG TABLET,tablet,1,BLIST PACK,0.83
LABETALOL 200 MG TABLET,tablet,100,BLIST PACK,0.92
LABETALOL 200 MG TABLET,tablet,1,BLIST PACK,1.12
LABETALOL 200 MG TABLET,tablet,100,BLIST PACK,1.15
LABETALOL 200 MG TABLET,tablet,500,Bottle,1.24
LABETALOL 200 MG TABLET,tablet,100,Bottle,1.26
LABETALOL 200 MG TABLET,tablet,1,BLIST PACK,1.65
LABETALOL 200 MG TABLET,tablet,100,BLIST PACK,1.72
LABETALOL 200 MG TABLET,tablet,100,BLIST PACK,1.83
LABETALOL 200 MG TABLET,tablet,1,BLIST PACK,2.23
LABETALOL 200 MG TABLET,tablet,100,BLIST PACK,2.29
LABETALOL 200 MG TABLET,tablet,500,Bottle,2.47
LABETALOL 200 MG TABLET,tablet,1,BLIST PACK,2.47
LABETALOL 200 MG TABLET,tablet,100,Bottle,2.51
LABETALOL 200 MG TABLET,tablet,100,BLIST PACK,2.74
LABETALOL 200 MG TABLET,tablet,1,BLIST PACK,3.29
LABETALOL 200 MG TABLET,tablet,1,BLIST PACK,3.34
LABETALOL 200 MG TABLET,tablet,100,BLIST PACK,3.65
LABETALOL 200 MG TABLET,tablet,500,Bottle,3.71
LABETALOL 200 MG TABLET,tablet,100,Bottle,3.76
LABETALOL 200 MG TABLET,tablet,1,BLIST PACK,4.46
LABETALOL 200 MG TABLET,tablet,500,Bottle,4.94
LABETALOL 200 MG TABLET,tablet,100,Bottle,5.01
LABETALOL 300 MG TABLET,tablet,100,Bottle,0.91
LABETALOL 300 MG TABLET,tablet,100,BLIST PACK,0.94
LABETALOL 300 MG TABLET,tablet,1,BLIST PACK,1
LABETALOL 300 MG TABLET,tablet,100,Bottle,1.13
LABETALOL 300 MG TABLET,tablet,100,BLIST PACK,1.21
LABETALOL 300 MG TABLET,tablet,100,Bottle,1.81
LABETALOL 300 MG TABLET,tablet,100,BLIST PACK,1.87
LABETALOL 300 MG TABLET,tablet,1,BLIST PACK,1.99
LABETALOL 300 MG TABLET,tablet,100,Bottle,2.26
LABETALOL 300 MG TABLET,tablet,100,BLIST PACK,2.42
LABETALOL 300 MG TABLET,tablet,100,Bottle,2.72
LABETALOL 300 MG TABLET,tablet,100,BLIST PACK,2.8
LABETALOL 300 MG TABLET,tablet,1,BLIST PACK,2.98
LABETALOL 300 MG TABLET,tablet,100,Bottle,3.39
LABETALOL 300 MG TABLET,tablet,100,Bottle,3.62
LABETALOL 300 MG TABLET,tablet,100,BLIST PACK,3.63
LABETALOL 300 MG TABLET,tablet,100,BLIST PACK,3.73
LABETALOL 300 MG TABLET,tablet,1,BLIST PACK,3.97
LABETALOL 300 MG TABLET,tablet,100,Bottle,4.52
LABETALOL 300 MG TABLET,tablet,100,BLIST PACK,4.84
LABETALOL 5 MG/ML INTRAVENOUS SOLUTION,Solution,4,Vial,2.03
LABETALOL 5 MG/ML INTRAVENOUS SOLUTION,Solution,20,Vial,10.22
LABETALOL 5 MG/ML INTRAVENOUS SOLUTION,Solution,20,Vial,12.95
LABETALOL 5 MG/ML INTRAVENOUS SOLUTION,Solution,40,Vial,20.3
LABETALOL 5 MG/ML INTRAVENOUS SOLUTION,Solution,20,Vial,80.5
LABETALOL 5 MG/ML INTRAVENOUS SOLUTION,Solution,40,Vial,143.08
LACOSAMIDE 100 MG IN SODIUM CHLORIDE 0.9% IVPB,,50,Bag,539.18
LACOSAMIDE 100 MG TABLET,tablet,60,Bottle,22.02
LACOSAMIDE 100 MG TABLET,tablet,60,BLIST PACK,24.22
LACOSAMIDE 100 MG TABLET,tablet,60,Bottle,44.03
LACOSAMIDE 100 MG TABLET,tablet,60,BLIST PACK,48.44
LACOSAMIDE 100 MG TABLET,tablet,60,Bottle,88.06
