SERVICE DESCRIPTION,SERVICE CHARGE CODE,Gross Charge,M'caid  CPT,M'care  CPT,W'Comp  Cpt,Other  CPT
HYDRALAZINE 10MG TAB,4401081,$6.00,,A9270,,
HYDRALAZINE 20MG/ML,4400183,$57.50,J0360,J0360,J0360,J0360
HYDRALAZINE 25MG TAB,4401079,$6.00,,A9270,,
HYDRALAZINE 50MG TAB,4401080,$6.00,,A9270,,
HYDRO PC II 2/2/7.5,4401696,$23.00,,A9270,,
HYDRO/ACET 7.5/500,4401914,$20.00,,A9270,,
HYDRO/APAP 7.5/325,4402235,$20.00,,A9270,,
HYDROCO/APAP 10/500,4400944,$20.00,,A9270,,
HYDROCO/APAP 7.5/500,4400936,$20.00,,A9270,,
HYDROCOD/APAP 10/650,4401829,$23.00,,A9270,,
HYDROCOD/APAP 5/500,4401828,$6.00,,A9270,,
HYDROCOD/APAP 7.5/65,4401083,$23.00,,A9270,,
HYDROCODONE 10MG,4402104,$20.00,,A9270,,
HYDROCODONE 5MG/325M,4402102,$20.00,,A9270,,
HYDROCODONE 7.5MG,4402103,$20.00,,A9270,,
HYDROCODONE/APAP 5/5,4401085,$20.00,,A9270,,
HYDROCORT CR 1% 1GM,440160,$7.00,,A9270,,
HYDROCORTISONE 1% OI,4401087,$27.50,,A9270,,
HYDROCORTISONE 1%CR,4401088,$19.25,,A9270,,
HYDROCORTISONE 10MG,4402268,$6.00,,A9270,,
HYDROCORTISONE 2.5%C,4401086,$33.25,,A9270,,
HYDROCORTISONE 20MG,4401995,$6.00,,A9270,,
HYDROCORTISONE ENEMA,4401610,$48.50,,A9270,,
HYDROMORP 2MG/ML PCA,4401231,$275.00,J1170,J1170,J1170,J1170
HYDROMORPH 1MG ISEC,4402243,$25.00,J1170,J1170,J1170,J1170
HYDROMORPH 1MG/1ML,4400938,$25.00,J1170,J1170,J1170,J1170
HYDROMORPH 50MG INJ,4402240,$25.00,J1170,J1170,J1170,J1170
HYDROMORPHONE .5MG,4402256,$8.30,J1170,J1170,J1170,J1170
HYDROMORPHONE 2MG TA,4401590,$20.00,,A9270,,
HYDROMORPHONE 2MG/ML,4400310,$28.00,J1170,J1170,J1170,J1170
HYDROMORPHONE PCA,4402262,$480.00,J1170,J1170,J1170,J1170
HYDROXYCHLOR 200MG,4401407,$17.50,,A9270,,
HYDROXYZINE 10/5 SYP,4401792,$6.00,,A9270,,
HYDROXYZINE 25MG INJ,4400900,$96.75,J3410,J3410,J3410,J3410
HYDROXYZINE 50MG IM,4400311,$106.75,J3410,J3410,J3410,J3410
HYDROXYZINE HCL 10MG,4401091,$6.00,,A9270,,
HYDROXYZINE HCL 25MG,4401089,$6.00,,A9270,,
HYDROXYZINE PAM 100M,4401090,$6.00,,A9270,,
HYDROXYZINE PAM 25MG,4401092,$7.00,,A9270,,
HYDROXYZINE PAM 50MG,4401093,$6.00,,A9270,,
HYDROXYZINE PM 25MG,4401707,$6.00,,A9270,,
HYOSCYAMIN 0.5MG INJ,4401128,$137.00,J1980,J1980,J1980,J1980
HYOSCYAMINE 0.125MG,4401151,$6.00,,A9270,,
HYOSCYAMINE 0.375MG,4401095,$6.00,,A9270,,
HYOSCYAMINE ORAL DRP,4408072,$159.25,,A9270,,
HYPER RABIES VACCINE,4402252,"$8,970.00",90376,90376,90376,90376
HYZAAR 50-12.5 TAB,4401098,$8.50,,A9270,,
I&D COMPLEX,4607010,$999.87,10061,10061,10061,10061
I&D SIMPLE,4607009,$543.54,10060,10060,10060,10060
IBUPROF 100/5 5ML UD,4401244,$12.00,,A9270,,
IBUPROFEN 100MG/5ML,4401245,$6.00,,A9270,,
IBUPROFEN 100MG/5ML,4401993,$10.00,,A9270,,
IBUPROFEN 200MG TAB,4401099,$6.00,,A9270,,
IBUPROFEN 400MG TAB,4401241,$6.00,,A9270,,
IBUPROFEN 600MG TAB,4401100,$6.00,,A9270,,
IBUPROFEN 800MG TAB,4401898,$6.00,,A9270,,
ICAR-C  TAB,4401101,$6.00,,A9270,,
ICU OBSERVATION,3303033,$130.00,G0378,G0378,G0378,G0378
IFE PARAPROTEIN,4307102,$139.00,86334,86334,86334,86334
IFUSE IMPLANT,4005725,"$14,000.00",,C1763,,
IFUSE IMPLANT (3D),4006630,"$15,732.50",C1763,C1763,C1763,C1763
IGF BINDING PROTEIN,4301396,$208.00,83519,83519,83519,83519
IGF-1,4301694,$87.15,84305,84305,84305,84305
IGG AB TO E. CHAFFCE,4308826,$57.00,86666,86666,86666,86666
IGG AB TO HUMAN GRAN,4308824,$57.00,86666,86666,86666,86666
IGG SUBCLASS PNL,4308003,$.00,82787,82787,82787,82787
IGG SUBCLASS TEST A,4309474,$31.50,82784,82784,82784,82784
IGG SUBCLASS TEST B,4309475,$26.25,82787,82787,82787,82787
IM INJECTION,4601306,$162.41,96372,96372,96372,96372
IM/SQ INJECTION,3303023,$187.23,96372,96372,96372,96372
IM/SUB-Q INJ,3093007,$187.23,96372,96372,96372,96372
IM/SUB-Q INJ,3103007,$187.23,96372,96372,96372,96372
IMDUR 30MG TAB CR,4401102,$6.00,,A9270,,
IMDUR 60MG TAB CR,4401103,$6.00,,A9270,,
IMIPRAMINE,4306744,$99.00,80174,80174,80174,80174
IMIPRAMINE 10MG,4401633,$6.00,,A9270,,
IMIPRAMINE 25MG TAB,4401104,$6.00,,A9270,,
IMIPRAMINE 50MG TAB,4401105,$6.00,,A9270,,
IMITREX 50MG TAB,4400068,$290.00,,A9270,,
IMITREX INJ 6MG,4400218,$845.25,J3030,J3030,J3030,J3030
"IMMOBIL KNEE 24""",4421087,$243.40,L1830,L1830,L1830,L1830
"IMMOBIL KNEE 24""",4421232,$132.00,L1830,L1830,L1830,L1830
IMMOBILIZER KNEE SMA,4421525,$145.00,L1830,L1830,L1830,L1830
IMMOBILIZER SHOULDER,4425645,$314.58,L3670,L3670,L3670,L3670
IMMOBILIZER SHOULDER,4428099,$23.00,A4466,A4466,A4466,A4466
IMMOBILIZER SHOULDER,4428375,$314.58,L3670,L3670,L3670,L3670
"IMMOBILIZER, KNEE ME",4425623,$140.80,L1830,L1830,L1830,L1830
"IMMOBILIZER, KNEE X-",4423069,$140.80,L1830,L1830,L1830,L1830
"IMMOBILIZER, SHOULDE",4425646,$71.00,A4466,A4466,A4466,A4466
"IMMOBILIZER, SHOULDE",4425647,$69.30,L3651,L3651,L3651,L3651
"IMMOBILIZER,KNEE UNI",4425624,$140.80,L1830,L1830,L1830,L1830
IMMOBILIZER-SHOULDER,4002392,$131.45,L3650,L3650,L3650,L3650
IMMOBILZR SHOULDR DL,4428359,$244.78,L3670,L3670,L3670,L3670
IMMUNIZ ADM - DTAP,4604406,$118.00,90471,90471,90471,90471
IMMUNIZ ADM - FLU,4607075,$88.50,90471,G0008,90471,90471
IMMUNIZ ADMIN-DTAP,3303014,$118.00,90471,G0010,90471,90471
IMMUNIZ ADMIN-DTAP,3093015,$118.00,G0009,G0009,G0009,G0009
IMMUNIZ ADMIN-FLU,3303016,$88.50,90471,G0008,90471,90471
IMMUNIZ ADMIN-FLU,3103016,$88.50,90471,G0008,90471,90471
IMMUNIZ ADMIN-PNEUMO,3303015,$118.00,90471,G0009,90471,90471
IMMUNIZ ADMIN-PNEUMO,3103015,$187.23,90471,G0009,90471,90471
IMMUNIZA ADMIN-FLU,3093014,$88.50,G0008,G0008,G0008,G0008
IMMUNIZATION ADMIN,3103014,$187.23,90471,90471,90471,90471
IMMUNIZATION ADMIN,4607074,$160.62,90471,G0009,90471,90471
"IMMUNOASSAY ANALYTE,",4307126,$216.00,83520,83520,83520,83520
IMMUNODIFFUSION NES,4309450,$60.80,86329,86329,86329,86329
IMMUNOELCTRO SER II,4308538,$85.05,86327,86327,86327,86327
"IMMUNOELECROPH,R,URI",4308367,$176.00,86335,86335,86335,86335
IMMUNOELECTRO SERUM,4308365,$85.05,84155,84155,84155,84155
IMMUNOELECTRO URINE,4308366,$199.00,86335,86335,86335,86335
IMMUNOFIXATION I,4309382,$63.13,82784,82784,82784,82784
IMMUNOFIXATION II,4309383,$63.13,82784,82784,82784,82784
IMMUNOFIXATION III,4309384,$63.13,82784,82784,82784,82784
IMMUNOFLUOR STDY DIR,4309310,$159.00,88346,88346,88346,88346
IMMUNOFLUOR STDY IND,4309311,$74.00,88347,88347,88347,88347
IMMUNOGLOBULIN IGA,4308368,$69.00,82784,82784,82784,82784
IMMUNOGLOBULIN IGD,4308369,$173.00,82784,82784,82784,82784
IMMUNOGLOBULIN IGE,4308370,$113.40,82785,82785,82785,82785
IMMUNOGLOBULIN IGG,4308371,$69.00,82784,82784,82784,82784
IMMUNOGLOBULIN IGM,4301085,$53.00,82784,82784,82784,82784
IMMUNOGLOBULIN IGM,4308374,$69.00,82784,82784,82784,82784
IMMUNOHISCHEM-ADDTL,4309485,$137.55,88341,88341,88341,88341
IMMUNOHISTOCHEMISTRY,4309309,$137.55,88342,88342,88342,88342
IMMUNOSTAIN,4309611,$326.00,88342,88342,88342,88342
IMMUNZ ADM EACH ADD,4604407,$67.10,90472,90472,90472,90472
IMOVAX RABIES VACCIN,4401461,$807.25,90675,90675,90675,90675
IMP GEN CHARGING KIT,4010655,"$2,515.00",C1820,C1820,C1820,C1820
IMP-ADHESIVE BARRIER,4006752,"$4,532.50",C1765,C1765,C1765,C1765
IMPLANT - AEQUALIS,4002082,"$7,500.00",C1776,C1776,C1776,C1776
IMPLANT - ELBOW/ULNA,4006689,"$14,752.50",,C1776,,
IMPLANT - HIP STEM,4010120,$350.00,C1776,C1776,C1776,C1776
IMPLANT - HIP STEM,4010200,"$13,300.00",C1776,C1776,C1776,C1776
IMPLANT - HIP STEM,4010202,"$13,650.00",C1776,C1776,C1776,C1776
IMPLANT - HIP STEM,4010203,"$13,825.00",C1776,C1776,C1776,C1776
IMPLANT - HIP STEM,4010205,"$14,175.00",C1776,C1776,C1776,C1776
IMPLANT - HIP STEM,4006799,"$9,800.00",C1776,C1776,C1776,C1776
IMPLANT - METATARSAL,4006631,"$13,125.00",C1776,C1776,C1766,C1776
IMPLANT - PATELLA,4006153,$112.00,C1776,C1776,C1776,C1776
IMPLANT - SLEEVE,4005684,"$3,675.00",,C1776,,
IMPLANT - SLEEVE,4010121,$525.00,C1776,C1776,C1776,C1776
IMPLANT - SLEEVE,4006506,$395.50,C1776,C1776,C1776,C1776
IMPLANT - SLEEVE,4006507,$598.50,C1776,C1776,C1776,C1776
IMPLANT - SLEEVE,4006655,$623.00,C1776,C1776,C1776,C1776
IMPLANT - SLEEVE,4006662,$630.00,C1776,C1776,C1776,C1776
IMPLANT ACL,4000999,"$3,172.40",C1762,C1762,C1762,C1762
IMPLANT FEMORAL,4002598,"$1,806.00",C1776,C1776,C1776,C1776
IMPLANT FEMORAL,4002599,"$2,258.20",C1776,C1776,C1776,C1776
IMPLANT HEAD OSTEON,4003595,"$1,497.10",C1776,C1776,C1776,C1776
IMPLANT- POLY LINER,4010210,"$15,050.00",C1776,C1776,C1776,C1776
IMPLANT -RADIAL HEAD,4002484,"$8,908.20",C1776,C1776,C1776,C1776
IMPLANT -RADIAL HEAD,4002485,"$8,000.00",C1776,C1776,C1776,C1776
IMPLANT -RADIAL HEAD,4006030,"$8,965.00",,C1776,,
IMPLANT -RADIAL HEAD,4006826,"$9,628.50",C1776,C1776,C1776,C1776
IMPLANT -RADIAL STEM,4006029,"$10,650.00",,C1776,,
IMPLANT -RADIAL STEM,4006031,"$7,900.00",,C1776,,
IMPLANT -RADIAL STEM,4006827,"$10,934.00",C1776,C1776,C1776,C1776
IMPLANT SYS MPFL,4005873,"$5,204.50",,C1713,,
IMPLANT TIBIAL,4002597,"$1,103.20",C1776,C1776,C1776,C1776
IMPLANT ZERO P,4005303,"$14,700.00",C1713,C1713,C1713,C1713
"IMPLANT, ANCHOR MITE",4006421,$822.80,C1713,C1713,C1713,C1713
IMPLANT:TIBIA INSERT,4010123,$875.00,C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4010178,"$16,975.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4010179,"$17,500.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4010180,"$17,675.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4010189,"$11,025.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4010212,"$15,400.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4010218,"$16,625.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4010220,"$17,150.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4010221,"$17,325.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4010222,"$17,850.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4010226,"$18,550.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4006025,"$36,500.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4006098,"$37,275.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4006131,"$35,430.50",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4006635,"$27,965.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4006706,"$21,000.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL COMP,4006760,"$20,799.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL HEAD,4010144,"$3,700.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL HEAD,4010145,"$4,900.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL HEAD,4010164,"$8,225.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL HEAD,4010188,"$10,850.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL HEAD,4010213,"$15,575.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL HEAD,4006508,"$1,400.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL HEAD,4006510,"$1,137.50",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL HEAD,4006511,"$1,312.50",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL HEAD,4006540,$595.00,C1776,C1776,C1776,C1776
IMPLANT-FEMORAL HEAD,4006642,"$4,690.00",C1776,C1776,C1776,C1776
IMPLANT-FEMORAL HEAD,4006721,"$16,747.50",C1776,C1776,C1776,C1776
IMPLANT-FINGER JOINT,4006671,"$5,327.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL HEAD,4005124,"$18,711.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL HEAD,4005126,"$3,857.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL HEAD,4002083,"$5,635.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL HEAD,4002320,"$2,849.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL HEAD,4005601,"$22,869.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL HEAD,4006074,"$3,454.50",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL HEAD,4006501,"$14,000.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL HEAD,4006672,"$6,100.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL INS,4006657,"$5,950.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL KIT,4006688,"$14,752.50",,C1776,,
IMPLANT-HUMERAL STEM,4005125,"$8,557.50",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL STEM,4002133,"$20,311.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL STEM,4002393,"$13,097.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL STEM,4005438,"$8,907.50",,C1776,,
IMPLANT-HUMERAL STEM,4005462,"$8,400.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL STEM,4005780,"$17,307.50",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL STEM,4010341,"$9,450.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL STEM,4006138,"$15,750.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL STEM,4006157,"$3,244.50",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL STEM,4006637,"$11,200.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL STEM,4006798,"$27,500.00",C1776,C1776,C1776,C1776
IMPLANT-HUMERAL STEM,4006835,"$26,820.50",C1776,C1776,C1776,C1776
IMPLANTS SHOULDER,4000997,"$5,552.40",C1776,C1776,C1776,C1776
IMPLANT-TIBIA INSERT,4006064,"$16,800.00",C1776,C1776,C1776,C1776
IMPLANT-TIBIA INSERT,4006825,"$21,808.50",C1776,C1776,C1776,C1776
IN 111 WBC LIMITED,4217898,"$1,510.00",78805,78805,78805,78805
IN 111 WBC WHOLE BOD,4217899,$718.30,78806,78806,78806,78806
IN MODSED>5 DIF PRO,4607077,$650.00,99156,99156,99156,99156
IND URINE DRUG COLL,4301086,$25.00,81099,81099,81099,81099
INDAPAMIDE 2.5MG,4401183,$6.25,,A9270,,
INDERAL 1MG/ML IV,4401844,$30.00,J1800,J1800,J1800,J1800
INDERAL LA 60MG CAP,4401111,$70.75,,A9270,,
INDERAL LA 80MG CAP,4401110,$82.50,,A9270,,
INDIA INK PREP,4304049,$50.40,87210,87210,87210,87210
INDOMETHACIN 25MG CA,4401112,$6.00,,A9270,,
INDOMETHACIN 75MG,4408087,$12.25,,A9270,,
INF ADD SEQ DRUGTO1H,4601202,$187.23,96367,96367,96367,96367
INF CONCURRENT DRUG,3112075,$104.50,90768,C8950,90768,90768
INF DRUG CONCURRENT,4601203,$113.40,96368,96368,96368,96368
INF SEQ. DRUG TO 1HR,3112074,$104.50,90767,C8950,90767,90767
INF SPEC DRUG 1 HR,4601200,$570.77,96365,96365,96365,96365
INF SPEC DRUG ADD HR,4601201,$119.13,96366,96366,96366,96366
INF. SPEC.DRUG TO 1H,3112072,$315.70,90765,C8950,90765,90765
INF.SPEC DRUG ADD HR,3112073,$39.60,90766,C8951,90766,90766
INFED 100MG/2ML INJ,4401853,$150.75,J1751,J1751,J1751,J1751
INFLUENZA A&B,4308382,$173.00,87804,87804,87804,87804
"INFLUENZA ANTIBODY,",4308380,$163.00,86710,86710,86710,86710
INHIBIN A,4309335,$70.00,86336,86336,86336,86336
INI STBLIZE NEWBORN,4604587,$300.00,99464,99464,99464,99464
INIT MOD SED:1-15 DP,4607087,$187.95,99151,99151,99151,99151
INJ - TENDON SHEATH,4158239,"$1,568.61",20550,20550,20550,20550
INJ ESI C/T SINGLE,4158033,"$1,307.76",62321,62321,62321,62321
INJ ESI C/T SINGLE,4158247,"$1,307.76",62321,62321,62321,62321
INJ ESI L/S - 2LVL,4158182,"$1,307.76",62323,62323,62323,62323
INJ ESI L/S ADD,4158032,"$1,568.61",62311,62311,62311,62311
INJ ESI L/S SINGLE,4158031,"$1,568.61",62311,62311,62311,62311
INJ ESI L/S SINGLE,4158180,"$1,307.76",62323,62323,62323,62323
INJ OF MAJOR JOINT,4151028,$270.96,SURG,SURG,SURG,SURG
INJ PROC VCU,4158035,$334.00,SURG,SURG,SURG,SURG
INJ TRIGGER POINT,4607043,$762.41,20552,20552,20552,20552
INJ. ANTIBX NON ER,4601308,$60.50,90772,90772,90772,90772
INJ. SQ/IM ADMIN.,3112016,$60.50,90772,90772,90772,90772
INJECTION IM/SUB-Q,4604344,$62.00,96372,96372,96372,96372
INJ-SPINRAZA,4158243,$750.00,96450,96450,96450,96450
INS INDW FOLEY CATH,3110303,$93.50,51702,51702,51702,51702
INSERT,4002589,"$6,982.50",C1776,C1776,C1776,C1776
INSERT 10MM,4001188,"$9,642.50",C1776,C1776,C1776,C1776
INSERT CHEST TUBE,4607050,"$1,752.99",32551,32551,32551,32551
INSERT CROSS LINKED,4001006,"$4,884.60",C1776,C1776,C1776,C1776
INSERT IMPLANT OSTE,4003598,"$2,237.40",C1776,C1776,C1776,C1776
INSERT MOD ROT HINGE,4002458,"$1,676.00",C1776,C1776,C1776,C1776
INSERT PICC CATH,3112532,"$1,278.20",36569,36569,36569,36569
INSERT PICC W/PORT >,4002533,"$1,873.00",,,,
INSERT POST 13MM #3,4001101,"$5,223.40",C1776,C1776,C1776,C1776
INSERT SIZE 5 10MM,4005120,"$4,722.20",C1776,C1776,C1776,C1776
INSERT TIB,4000692,"$5,789.00",,C1776,,
INSERT TIBIA,4002497,"$7,655.20",C1776,C1776,C1776,C1776
INSERT TIBIAL,4002385,"$6,790.00",C1776,C1776,C1776,C1776
INSERT TIBIAL,4002395,"$4,599.00",C1776,C1776,C1776,C1776
INSERT TIBIAL,4002442,"$3,000.00",C1776,C1776,C1776,C1776
INSERT TIBIAL,4002457,"$5,331.20",C1776,C1776,C1776,C1776
INSERT TIBIAL,4002480,"$5,947.20",C1776,C1776,C1776,C1776
INSERT TIBIAL,4002522,"$5,381.60",C1713,C1713,C1713,C1713
INSERT TIBIAL BEARNG,4001073,"$5,387.00",C1776,C1776,C1776,C1776
INSITU HYB FISH ADDT,4309011,$189.00,88364,88364,88364,88364
INSITU HYBRID AUTO,4309321,$164.00,88367,88367,88367,88367
INSITU HYBRID FISH,4309320,$136.05,88365,88365,88365,88365
INSITU HYBRID MANUAL,4309322,$91.00,88368,88368,88368,88368
INSULIN ANTIBODY,4306365,$164.00,86337,86337,86337,86337
INSULIN FREE,4305031,$40.00,83527,83527,83527,83527
INSULIN FREE,4309523,$65.00,83527,83527,83527,83527
INSULIN TOTAL,4308384,$33.95,83525,83525,83525,83525
INTEGRILIN 2MG/MML,4400030,$94.94,J1327,J1327,J1327,J1327
INTEGRILIN 75MG/100,4400031,$356.50,J1327,J1327,J1327,J1327
INTERBODY FUSION DEV,4002526,"$3,651.62",C1821,C1821,C1821,C1821
INTERBODY FUSION DEV,4002573,"$10,418.62",C1821,C1821,C1821,C1821
"INTERCEED, BARRIER A",4420846,"$2,563.00",C1765,C1765,C1765,C1765
INTERNAL HEX SCREW,4002140,$427.00,C1713,C1713,C1713,C1713
INTERPHASE IN SITU H,4308821,$443.00,88275,88275,88275,88275
INTERPRETATION,4307155,$91.00,83912,83912,83912,83912
INTRAOP CYTO PATH,4309302,$45.00,88333,88333,88333,88333
INTRAOP CYTO PATH 2,4309308,$34.00,88334,88334,88334,88334
INTRAOSSEOUS PROC,4604363,$397.00,36680,36680,36680,36680
INTRON A,4400087,$67.86,J9214,J9214,J9214,J9214
INV/REV SCREW SYSTM,4002131,$464.80,C1776,C1776,C1776,C1776
INVANZ 1GM VIAL,4400032,$281.00,J1335,J1335,J1335,J1335
INVIRASE 500MG TAB,4500943,$28.75,,A9270,,
INVOKANA 100MG CPLT,4402248,$38.00,,A9270,,
"IOL, EYE ALCON MA60A",4420582,$508.00,C1780,C1780,C1780,C1780
IOVERA INJ-1ST NERVE,4158249,"$2,016.00",64640,64640,64640,64640
IOVERA INJ-2ND NERVE,4158251,"$2,016.00",64640,64640,64640,64640
IOVERA INJ-3RD NERVE,4158252,"$2,016.00",64640,64640,64640,64640
IOVERA SMART TIP,4010662,"$1,125.00",C2618,C2618,C2618,C2618
IPECAC SYRUP,4401116,$10.00,,A9270,,
IPG CHARGING SYSTEM,4010004,"$2,500.00",,,,
IPG CHARGING SYSTEM,4010363,"$8,237.50",,,,
IPG LEAD EXTENTION,4010446,"$1,750.00",C1883,C1883,C1883,C1883
IPG LEAD IMPLANT,4006776,"$3,500.00",,C1778,,
IPG LEAD KIT (IMP),4006013,"$11,393.00",C1778,C1778,C1778,C1778
IPG LEAD KIT (IMP),4010361,"$18,312.00",C1778,C1778,C1778,C1778
IPG LEAD KIT (IMP),4006022,"$14,895.00",C1778,C1778,C1778,C1778
IPG PULSE GENERATOR,4010360,"$64,830.50",C1820,C1820,C1820,C1820
IPG PULSE KIT,4006014,"$50,750.00",C1820,C1820,C1820,C1820
IPG PULSE KIT W/CHG,4006729,"$64,050.00",C1820,C1820,C1820,C1820
IPG STIM-NON RECHRG,4006784,"$53,340.00",C1767,C1767,C1767,C1767
IPG STIMULATOR,4006765,"$59,500.00",C1767,C1767,C1767,C1767
IPG STIMULATOR,4006772,"$29,750.00",C1820,C1820,C1820,C1820
IPG STIMULATOR KIT,4006016,"$63,525.00",C1820,C1820,C1820,C1820
IPG SURGICAL LEADS,4006764,"$20,300.00",C1778,C1778,C1778,C1778
IPPB TRMT,4536500,$103.00,94640,94640,94640,94640
IPRATROPIUM BROMIDE,4400314,$12.50,J7644,J7644,J7644,J7644
IRON,4301303,$60.90,83540,83540,83540,83540
IRON BINDING CAPACIT,4301305,$63.00,83550,83550,83550,83550
IRON STAIN BLOOD,4309373,$27.81,85536,85536,85536,85536
IRRADIATION PRBC UNI,4309456,$180.00,86945,86945,86945,86945
ISLET CELL ANTIBODIE,4308919,$92.00,86431,86431,86431,86431
ISODOSE PLAN - C,4729007,$610.50,77315,77315,77315,77315
ISODOSE PLAN - S,4729005,$269.50,77305,77305,77305,77305
ISOHEMAGLUTIN,4308381,$88.00,86886,86886,86886,86886
ISOLATION OF NUCLEIC,4307161,$102.00,83891,83891,83891,83891
ISONIAZID 300MG TAB,4401117,$6.00,,A9270,,
ISORDIL 10MG TAB,4401985,$6.00,,A9270,,
ISOSORBIDE DIN 20MG,4401124,$6.00,,A9270,,
ISOSORBIDE MON 20MG,4401450,$6.00,,A9270,,
ISOSPORA STAIN,4309478,$11.45,87206,87206,87206,87206
ISOVUE 200 PER ML,4408098,$.91,Q9966,Q9966,Q9966,Q9966
ISOVUE 300,4408442,$3.00,Q9967,Q9967,Q9967,Q9967
ISOVUE 300 100ML,4428442,$.91,Q9967,Q9967,Q9967,Q9967
ISOVUE 300-370 PER M,4408097,$.91,Q9967,Q9967,Q9967,Q9967
ISOVUE-370,4402296,$.39,Q9967,Q9967,Q9967,Q9967
ISOVUE-M 200 PER ML,4408108,$2.68,Q9966,Q9966,Q9966,Q9966
ISOVUE-M 300,4402301,$3.47,Q9967,Q9967,Q9967,Q9967
"IV DRUG INF, ADD HR",3093005,$119.13,96366,96366,96366,96366
"IV DRUG INF, ADD HR",3103005,$119.13,96366,96366,96366,96366
"IV DRUG INF, TO 1 HR",3093004,$520.77,96365,96365,96365,96365
"IV DRUG INF, TO 1 HR",3103004,$520.77,96365,96365,96365,96365
IV HYDRA- 31-60MINS,3093002,$514.76,96360,96360,96360,96360
IV HYDRATION ADD HR,3112071,$39.60,90761,C8951,90761,90761
IV HYDRATION ADD HR,4601311,$119.13,96361,96361,96361,96361
IV HYDRATION TO 1HR,3112070,$315.70,90760,C8950,90760,90760
IV HYDRATION TO 1HR,3103002,$325.00,96360,96360,96360,96360
"IV HYDRATION, ADD HR",3093003,$119.13,96361,96361,96361,96361
"IV HYDRATION, ADD HR",3103003,$113.93,96361,96361,96361,96361
IV HYDRATION: 31-60M,4601310,$514.76,96360,96360,96360,96360
IV INF ADDTL HR/DRUG,4000966,$69.00,,,,
"IV INF, ADD SEQ, TO1",3093006,$187.23,96367,96367,96367,96367
"IV INF, ADD SEQ, TO1",3103006,$187.23,96367,96367,96367,96367
IV INFUSION ADD SEQ,3303022,$187.23,96367,96367,96367,96367
IV INFUSION UP TO 1H,4000965,$315.00,,,,
IV INJ RA DRUG DX ST,4217923,$164.77,78808,78808,78808,78808
IV PUSH MED/ADMIN,4604345,$125.40,90774,C8952,90774,90774
IV PUSH MEDICATION,3110601,$125.40,90774,C8952,90774,90774
IV PUSH NON ER,4601307,$125.40,C8952,C8952,C8952,C8952
IV PUSH SEQ DRUG ADD,4601206,$39.60,90775,90775,90775,90775
IV PUSH SEQ. DRUG,3110600,$125.40,90775,C8952,90775,90775
IV PUSH SIG/INT DRUG,4601204,$330.00,96374,96374,96374,96374
"IV PUSH, EACH ADDL",3303025,$187.23,96375,96375,96375,96375
