MEMORIAL SLOAN KETTERING CANCER CENTER - Pricing as of 01/01/2019,,
"Hospitals are required by law to make available information about their standard charges for the items and services they provide. These standard charges do not represent what a person will actually pay for medical care at Memorial Sloan Kettering Cancer Center. They also do not reflect or represent the actual payment the hospital will receive from insurance or from patients for those services. Therefore, referring to these standard charges to determine out-of-pocket costs is misleading.",,
,,
"We can provide you with an estimate of your out-of-pocket costs before you begin treatment, so you can make the right decision for you and your family. Services or items rendered to each patient and their cost may vary because of treatment decisions, unforeseen complications, additional tests or services ordered by a doctor, and the individual’s needs. In addition, estimates may change based on a person’s contracted insurance benefits, insurance policy exclusions, maximum benefits, pending financial assistance, or pending state/federal or other aid. ",,
,,
Please note that any information that you receive is for informational purposes only and is not an offer or representation of actual pricing for services at MSK. This information is not meant to be nor should it be considered financial or medical advice. This document also may not be altered or edited in any way once downloaded.,,
,,
Code,Description,Std-Fee
PHM004696,VINCRISTINE ADMIX 1M,18.67
PHM004697,VINCRISTINE INJ 1MG(,18.67
PHM004698,VINCRISTINE INJ 1MG/,20.38
PHM004700,VINCRISTINE MD INJ 1,18.67
PHM004701,VINORELBINE INJ 10MG,67.43
PHM004702,VINORELBINE INJ 10MG,67.43
PHM004703,VIT E 15U/0.3ML ORAL,1.3
PHM004704,VIT E 15U/0.3ML ORAL,64.38
PHM004705,VITAMIN B1 INJ 100MG,5.06
PHM004706,VITAMIN E CAP 200 UN,0.07
PHM004707,VITAMINS MULT AQUADE,0.96
PHM004708,VITAMINS MULTI ORAL,0.1
PHM004710,VON WILLEBRAND FACTO,2.5
PHM004711,VORICONAZOLE INJ 10M,14.23
PHM004713,VORICONAZOLE 40MG/ML,1677.93
PHM004714,VORICONAZOLE 40MG/1M,22.37
PHM004716,VORINOSTAT 100 MG CA,238.65
PHM004718,VORINOSTAT SUSP 50MG,73.34
PHM004719,VORTIOXETINE 10MG TA,24.04
PHM004728,WHITE PETROLATUM OIN,0.28
PHM004729,WHITE PETROLATUM OIN,19.14
PHM004730,WITCH HAZEL 50% TOP,5.34
PHM004746,ZAFIRLUKAST 20MG TAB,3.26
PHM004747,ZALEPLON 5MG CAP (NF,5.86
PHM004749,ZICONOTIDE INJ 1 MCG,14.21
PHM004750,ZIDOVUDINE/LAMIVUDIN,24.69
PHM004751,ZIDOVUDINE 10MG/ML S,89.71
PHM004752,ZINC OXIDE 40% TOP P,6.89
PHM004753,ZINC OXIDE 40% TOP P,17.63
PHM004754,ZINC OXIDE 40% TOP P,4.72
PHM004755,ZOLEDRONIC ACID INJ,227.99
PHM004756,ZOLEDRONIC ACID INJ,227.99
PHM004757,ZOLEDRONIC ACID INJ,227.99
PHM004758,ZOLMITRIPTAN 2.5MG T,88.16
PHM004759,ZONISAMIDE 100MG CAP,3.14
PHM004772,ALBUTEROL 8MG TAB ER,5.32
PHM004773,ALLOPURINOL 20MG/1ML,0.12
PHM004774,ALUM+MAG+HYD+SIM ORA,0.15
PHM004775,ALUM+MAG+HYDROX+SIM,3.23
PHM004776,AMINOCAPROIC ACID IN,12.51
PHM004777,AMINOCAPROIC ACID IN,12.51
PHM004778,AMLODIPINE 1MG/1ML O,0.52
PHM004779,AMOXICILLIN ORAL SUS,11.31
PHM004780,ANTITHROMBIN III HUM,7.41
PHM004781,ASENAPINE 2.5MG SUBL,38.19
PHM004782,ATOMOXETINE 60MG CAP,27.32
PHM004783,AZATHIOPRINE 50MG/ML,8.03
PHM004784,AZTREONAM INJ 500MG(,29.72
PHM004785,AZTREONAM INJ 500MG(,29.72
PHM004786,AZTREONAM INJ 500MG,29.72
PHM004787,AZTREONAM INJ 500MG,29.72
PHM004788,BACIT+POLY B OP OINT,45.55
PHM004789,BACLOFEN 5MG/1ML ORA,0.4
PHM004790,BETHANECHOL 5MG/1ML,0.85
PHM004791,BUMETANIDE INJ 0.5MG,1.65
PHM004792,BUPREN+NALO 2/.5MG S,7.87
PHM004793,BUPRENO+NALOX 3.1-6M,18.3
PHM004794,CABERGOLINE 0.5MG TA,58.29
PHM004795,CALCIUM GLU 10ML MXD,7.03
PHM004796,CARVEDILOL 1.67MG/ML,0.27
PHM004797,CEFOTETAN INJ 500MG(,18.35
PHM004798,CEFOTETAN INJ 500MG(,18.35
PHM004799,CEFOTETAN INJ 500MG(,18.35
PHM004800,CEFOTETAN INJ 500MG,18.35
PHM004801,CEFOTETAN INJ 500MG,18.35
PHM004802,CEFTAZ+AVIBAC 0.5/0.,156.3
PHM004803,CEFTRIAXONE IVPB INJ,18.48
PHM004804,CHLORDIAZEPOXIDE 25M,0.68
PHM004805,CLINDAMYCIN INJ 300M,5.76
PHM004806,CLINDAMYCIN INJ 300M,5.76
PHM004807,CLINDAMYCIN INJ 300M,5.76
PHM004808,CLINDAMYCIN INJ 300M,5.76
PHM004809,CLOBAZAM 4ML ORAL SU,50.65
PHM004810,CLOBAZAM 7.5ML ORAL,94.96
PHM004811,CLONIDINE 0.1MG/1ML,0.5
PHM004812,COAG FACT IX RECOMB,3.63
PHM004813,CYANOCOBALAMIN 1000M,0.56
PHM004817,DEFERASIROX 180MG TA,149.2
PHM004818,DEXAMETHASONE INJ 1M,0.38
PHM004819,DEXTROS 10% H2O 500M,6.21
PHM004820,DEXTROSE 5% NS 500ML,6.99
PHM004821,DEXTRS 5% 1/2NS 500M,3.99
PHM004822,DIDANOSINE 25MG CAP,1.73
PHM004823,DIDANOSINE 25MG CAP,1.73
PHM004824,DIMETHICONE 6% CREAM,5.53
PHM004825,DOCUSATE 283MG/5ML M,3.56
PHM004827,EMPAGLIFLOZIN 10MG T,29.57
PHM004828,EPINEPHRINE 0.75MG I,5.33
PHM004829,EPINEPHRINE 1MG IN L,7.11
PHM004830,EPINEPHRINE 1MG IN N,7.11
PHM004831,FAMOTIDINE INJ 20MG(,3.29
PHM004832,FAMOTIDINE INJ 20MG(,3.29
PHM004833,FERROUS SULF 75MG/ML,0.18
PHM004834,GLYCINE 1.5% 3000ML,25.66
PHM004835,HEPARIN PORCINE INJ,2
PHM004836,HYDROMORPHONE 32MG E,87.08
PHM004838,HYDROMORPHONE INJ 4M,10.84
PHM004839,HYDROXOCOBALAMIN INJ,2.03
PHM004840,ILOPROST 20MCG INHAL,385.51
PHM004841,IMATINIB 400 MG TAB(,5.88
PHM004842,IRON SUCROSE INJ 1MG,0.83
PHM004843,ISRADIPINE 1MG/1ML O,0.63
PHM004844,IVABRADINE 5MG TAB (,12.9
PHM004845,LABETALOL 10MG/1ML O,0.09
PHM004846,LAMOTRIGINE 1MG/1ML,0.26
PHM004847,LEVOLEUCOVORIN INJ 0,2.61
PHM004848,LIDOCAINE 5% OINTMNT,363.41
PHM004849,LIFITEGRAST 5% OPHTH,16.12
PHM004850,LISINOPRIL 2MG/1ML O,0.62
PHM004851,LOMUSTINE 10MG CAP(0,163.64
PHM004852,LOMUSTINE 10MG CAP(0,163.64
PHM004853,LOPERAMIDE 2MG TAB(0,0.33
PHM004854,LORAZEPAM INJ 2MG MX,2.23
PHM004855,LORAZEPAM INJ 2MG MX,2.23
PHM004856,MEGESTROL 20MG TAB(0,0.78
PHM004857,MELATONIN 1MG TAB (N,0.03
PHM004859,METHADONE PF INJ 10M,35.25
PHM004860,METHOTREXAT 2.5MG/ML,0.28
PHM004861,METOPROLOL 10MG/1ML,0.2
PHM004862,MINERAL OIL ORAL SYR,0.01
PHM004863,MITOXANTRONE INJ 5MG,110.81
PHM004864,NEOSTIGMINE PREFLLD,6.14
PHM004865,NIACIN 250MG CAP ER,0.08
PHM004866,NIFEDIPINE 4MG/1ML O,0.82
PHM004867,OXCARBAZEPI 60MG/1ML,2.53
PHM004868,OXYCODONE 13.5MG ER,11.39
PHM004869,OXYCODONE 18MG ER CA,14.44
PHM004870,OXYCODONE 36MG ER CA,24.73
PHM004871,OXYCODONE 9MG ER CAP,7.74
PHM004872,PALIVIZUMAB INJ 1MG(,57.17
PHM004873,PALIVIZUMAB INJ 1MG(,57.17
PHM004874,PANTOPRAZOL INJ 40MG,9.54
PHM004875,PANTOPRAZOLE INJ 40M,9.54
PHM004876,PANTOPRAZOLE INJ 40M,9.54
PHM004877,PEGFILGRASTIM INJ 6,11888.86
PHM004878,PENICIL G POT 600K U,2.89
PHM004879,PENICIL G POT 600K U,2.89
PHM004880,PENICILLIN G SOD INJ,91.58
PHM004881,PENICILLIN G SOD INJ,91.58
PHM004882,PENTAMIDIN INJ 300MG,318.43
PHM004883,PHENOBARBITAL 4MG/ML,0.31
PHM004884,POSACONAZO INJ 300MG,1012.1
PHM004885,POSACONAZO INJ 300MG,1012.1
PHM004886,POSACONAZOLE ORAL SU,2616.6
PHM004887,PROCARBAZINE ORAL SU,186.83
PHM004888,PROPOFOL INJ 10MG(00,0.51
PHM004889,PROPOFOL INJ 10MG(00,0.51
PHM004890,PROPOFOL INJ 10MG(00,0.51
PHM004891,QUETIAPINE 150MG TAB,28.14
PHM004892,RASAGILINE 0.5MG TAB,39.7
PHM004893,RIFAMPIN 25MG/1ML OR,0.61
PHM004894,SALICY ACID TOP LQUD,9.65
PHM004895,SAQUINAVIR MESYLATE,19.12
PHM004896,SILDENAFIL 25MG TAB(,89.9
PHM004897,SILDENAFIL 25MG TAB(,89.9
PHM004898,SILDENAFIL 25MG TAB(,89.9
PHM004899,SOD CHLOR CONC INJ 1,20.59
PHM004900,SOD CHLOR INH SOL 4M,0.64
PHM004902,SUCROFER OXY 500MG C,20.92
PHM004903,SULFAMETHOX+TRIMETHO,3.62
PHM004904,TAMOXIFEN 10MG TAB(0,4.96
PHM004905,TETRACAINE 0.5% OP S,19.52
PHM004906,TRETINOIN CRM 5GM(00,66.38
PHM004907,TRETINOIN CRM 5GM(00,56.87
PHM004908,TRETINOIN CRM 5GM(00,42.6
PHM004909,TRIAMTERENE 50MG CAP,20.09
PHM004910,UREA 45% TOPICAL GEL,277.87
PHM004911,VINCRISTINE INJ 1MG(,16.57
PHM004912,ZIDOVUDINE 100MG ORA,3.4
PHM004913,ZINC SULFATE 110MG T,0.07
PHM004914,ZOLPIDEM 3.5MG TAB S,15.96
PHM004915,ALCLOMETASONE 0.05%,76.45
PHM004916,ABACAVIR ORAL SOL 24,280.21
PHM004919,ACETAMIN INJ 10MG/ML,0.76
PHM004920,ACETAMINOPHEN 500MG,0.05
PHM004921,ACETAZOLAM 500MG INJ,76.32
PHM004922,ACETAZOLAMIDE INJ 50,76.32
PHM004923,ACETAZOLAMIDE INJ 50,76.32
PHM004929,ALBUTEROL+IPRATROPIU,2.91
PHM004931,ALISKIR-HYDRO 300/25,13.25
PHM004932,ALPROSTADIL INJ 1.25,0.54
PHM004938,AMPI-SULBA 1.5GM INJ,10.41
PHM004939,AMPICILLIN SODIUM IN,8.17
PHM004940,AMPICILLIN SODIUM IN,8.17
PHM004941,AMPICILLIN 500MG INJ,8.11
PHM004942,AMPICILLIN-SULBACTAM,6.77
PHM004943,AMPICILLIN-SULBACTAM,6.77
PHM004949,ATROPINE 1% OPHTH SO,48.89
PHM004960,AZITHRO 500MG INJ MX,16.15
PHM004961,AZITHROMYCIN INJ 500,16.23
PHM004962,AZITHROMYCIN INJ 500,16.23
PHM004963,AZTREONAM 500MG INJ,29.72
PHM004964,BACLOFEN 5MG SPLIT T,1.97
PHM004965,BACLOFEN 5MG/ML O/S,103.26
PHM004966,BACLOFEN 5MG/ML O/S,80.14
PHM004968,BALSALAZIDE 750MG CA,2.54
PHM004976,BENZOYL PEROX 5%WASH,21.45
PHM004977,BETAXOLOL 10MG TAB (,1.98
PHM004979,BIVALIRUDIN INJ 1MG,4.67
PHM004986,BRIVARACETAM INJ 50M,87.5
PHM004987,BRIVARACETAM 10MG TA,34.03
PHM004988,BRIVARACETAM 100MG T,31.8
PHM004989,BRIVARACETAM 25MG TA,34.03
PHM004990,BRIVARACETAM 50MG TA,34.03
PHM004991,BRIVARACETAM 75MG TA,31.8
PHM004992,BROMF 0.09% OPH SOL,322.01
PHM004993,BROMFENAC 0.07% OPTH,480.02
PHM004999,BUPIV+EPINEPH 0.25%,10
PHM005000,BUPIVAC+EPI 0.50% IN,24.3
PHM005001,BUPIVACAINE PF INJ 0,70.36
PHM005002,BUPRENORPHINE 2MG SL,2.53
PHM005003,BUPRENORPHINE 7.5MCG,143.42
PHM005006,CAPTOPRIL 12.5MG TAB,2.73
PHM005007,CARBAMAZEPINE 100MG,1.02
PHM005008,"CASPOFUNGIN 5MG INJ,",43.28
PHM005011,CEFAZOLIN 500MG INJ,2.59
PHM005012,CEFDINIR 300MG CAP (,8.13
PHM005013,CEFEPIME 500MG INJ W,10.53
PHM005014,CEFOXITIN 1GM INJ MX,15.22
PHM005015,CEFPODOXIM 20MG/ML O,1.37
PHM005016,CEFTAROL INJ 10MG MX,6.98
PHM005017,CEFTAZIDIM INJ 500MG,7.27
PHM005018,CEFTAZIDIME 500MG IN,7.27
PHM005019,CEFTRIAXONE INJ 250M,18.48
PHM005020,CEFUROX 750MG INJ MX,6.55
PHM005022,CHLOROTHIA 50MG/ML O,0.51
PHM005023,CHLOROTHIAZIDE INJ 5,472.85
PHM005024,CHLOROTHIAZIDE INJ 5,472.85
PHM005025,CHLORZOXAZONE 750MG,15
PHM005026,CIPROFLOXACIN INJ 20,9.49
PHM005028,CLOBETASOL 0.05% CRM,203.89
PHM005029,CLOCORTOLONE CRM(005,512.73
PHM005031,COLI/NEO/HC/THZN OTI,402.18
PHM005044,CYCLOPHOSPHAMIDE ORA,10.88
PHM005050,DESONIDE 0.05% LOT 1,697.07
PHM005051,DEXAMETH 3.3MG ORAL,0.86
PHM005052,DEXAMETHASONE 0.25MG,0.86
PHM005053,DEXMEDETOMIDINE INJ,50.09
PHM005054,DEXRAZOXANE INJ 250M,483.28
PHM005055,DEXRAZOXANE INJ 250M,483.28
PHM005057,"DEXTR 70 % IN H20 2,",36.16
PHM005058,DICLOFENAC 1.3% TOPI,20.92
PHM005059,DILTIAZEM 360MG 24-H,2.68
PHM005060,DIPHENHYDRAMINE 50 M,2.73
PHM005061,DOCETAXEL INJ 1MG(00,17.86
PHM005063,DOCUSATE ENEMA 30ML,106.7
PHM005064,DOXORUBICIN INJ 10MG,22.39
PHM005065,DOXORUBICIN INJ 10MG,22.39
PHM005067,DULAGLUTIDE PFS1.5MG,348.31
PHM005074,ELETRIPTAN 40MG TAB,97.72
PHM005076,ELV+COB+EMT+TEN+ALA,187.34
PHM005077,EMOLLIENT(CETAPHIL),10.11
PHM005078,EMTRICIT-TENO 200/25,99.7
PHM005082,ERTAPE 500MG INJ MXD,120.63
PHM005083,ESOMEPRAZ INJ 8 MG/M,66.59
PHM005084,ESTRADIOL 0.0375MG T,35.14
PHM005085,ETH EST-LEV 20/100MC,10.82
PHM005086,ETHACRYNATE SOD INJ,7250.4
PHM005087,ETOPOSIDE ORAL SYRG,159.7
PHM005090,FAT EMUL (FISH OIL),57.24
PHM005092,FENOFIBRATE 135MG DR,9.54
PHM005093,FENTANYL 0.1MG INJ P,2.4
PHM005094,FENTANYL 0.1MG INJ P,2.4
PHM005095,FENTANYL 0.1MG INJ P,2.4
PHM005096,FERRIC SUBSULFATE TO,23.02
PHM005097,FEXOFENADINE 6MG/ML,16.8
PHM005098,FEXOFENADINE 6MG/1ML,0.11
PHM005099,FLUTICAS-VIL 100/25M,250.68
PHM005100,FLUTICAS-VIL 200/25M,250.68
PHM005101,FLUVASTATIN 20MG CAP,7.96
PHM005104,FOSAMPREN OS 50MG/ML,338.69
PHM005108,FUROSEM 10MG/ML SOL,3.92
PHM005115,GLYCERIN 99.5% SOL 4,38.57
PHM005122,GUANFACINE 1MG TAB E,7.51
PHM005125,HALOPERIDOL 0.5MG TA,0.52
PHM005129,HYALURONATE INJ 1MG,34.66
PHM005130,HYDROCORT 2.5% RECTA,138.86
PHM005131,HYDROMORPHONE INJ 4M,10.84
PHM005132,HYDROMORPHONE INJ 4M,10.84
PHM005133,HYDROMORPHONE INJ 4M,10.84
PHM005134,HYDROMORPHONE INJ 4M,10.84
PHM005135,HYDROMORPHONE INJ 4M,10.84
PHM005136,HYDROMORPHONE INJ 4M,10.84
PHM005137,HYDROMORPHONE INJ 4M,10.84
PHM005138,HYDROMORPHONE 8MG TA,0.94
PHM005139,HYDROXYUREA 100MG/ML,0.41
PHM005147,IMI+CIL 250MG INJ MX,19.29
PHM005154,INSULIN ASPART PEN 3,2.48
PHM005155,INSULIN INJ 5 UNITS,2.48
PHM005156,"INSULIN LISPRO INJ,",2.48
PHM005166,IRON SUCROSE INJ 1MG,0.83
PHM005167,IRON SUCROSE INJ 1MG,0.83
PHM005168,IRON SUCROSE INJ 1MG,0.83
PHM005169,ISAVUCONAZONIUM INJ,1.4
PHM005170,ISAVUCONAZONIUM INJ,1.4
PHM005179,LABETALOL 200MG TAB,1.13
PHM005181,LANREOTIDE DEPOT 1MG,130.16
PHM005190,LEVETIRACETAM 750MG,10.62
PHM005191,LEVOMILNACIP 120MG C,22.81
PHM005194,LIDOCAIN 2% URETH GE,14.73
PHM005195,LIDOCAIN+EPI INJ 1.5,25.95
PHM005196,LIDOCAINE+EPINEP INJ,6.8
PHM005199,LORATADINE 5MG REDIT,1.47
PHM005200,LORAZEPAM INJ 2MG MX,2.53
PHM005201,LOSARTAN 2.5MG/ML OR,0.18
PHM005219,MAGNESIUM CHLORIDE 7,0.14
PHM005225,MERCAPTOPUR 20MG/1ML,2166.69
PHM005226,MEROPENEM 100MG INJ,7.11
PHM005227,METHYLENE BLUE PF IN,7.12
PHM005228,METOPRO TART 12.5 SP,0.19
PHM005229,METRONIDAZ ORAL SOL,192.79
PHM005230,METRONIDAZOLE 1ML OR,1.35
PHM005231,MICAFUNGIN INJ 1MG W,3.56
PHM005232,MICAFUNGIN INJ 1MG W,3.56
PHM005233,MICAFUNGIN INJ 1MG W,3.56
PHM005234,MICAFUNGIN INJ 1MG W,3.56
PHM005235,MICAFUNGIN 1MG INJ M,3.56
PHM005236,MIDAZOLAM 10MG/5ML O,5.48
PHM005238,MINOXIDIL 2.5MG TAB,2.7
PHM005244,MOMET+FORMOT 200-5MC,594.06
PHM005245,MOMETAS 0.1% SOL/LOT,49.8
PHM005252,NIACINAMIDE 500MG TA,0.07
PHM005258,NITROGLYC 400MG PWDR,12.99
PHM005265,OMEPRAZOLE 40MG CAP,10.64
PHM005270,OXACILLIN INJ 250MG,5.93
PHM005271,OXACILLIN 250MG INJ,5.93
PHM005273,PALONOSETR 25MCG INJ,55.05
PHM005275,PANTOPRAZOLE  INJ 40,11.26
PHM005278,PENTAMD INJ 100MG  W,106.21
PHM005279,PENTOBARBITAL INJ 50,107.36
PHM005289,PIP+TAZO 1.125GM INJ,9.02
PHM005293,POSACONAZ INJ 18MG M,60.73
PHM005294,PREDNISONE 1MG ORAL,4.25
PHM005295,PROGESTERONE 100MG C,3.39
PHM005296,PSYLLIUM 3.4GM PWD P,0.7
PHM005297,RABEPRAZOLE 5MG CAP,28.62
PHM005310,RIVASTIGMINE 6MG CAP,6.74
PHM005311,RIZATRIPTAN 10MG TAB,52.87
PHM005313,ROTIGOTINE TD PATCH,39.54
PHM005319,SALIVA SUB SOL 60ML,6.71
PHM005328,SOD CHLOR 0.9% INH S,0.2
PHM005329,"SOD SULFACET 10%WSH,",235.94
PHM005330,TADALAFIL 2.5MG TAB,18.01
PHM005336,TAPENTADOL 250 MG TA,41.01
PHM005337,TAPENTADOL 50 MG TAB,10.82
PHM005341,TBO-FILGRAST INJ 1MC,1.75
PHM005342,TBO-FILGRAST INJ 1MC,1.75
PHM005343,TEMOZOLOMID .05MG/ML,0.2
PHM005344,TENOFOVIR ALAFENAMID,67.84
PHM005347,TERBINAFINE 1% CREAM,20.34
PHM005348,THEOPHYLLINE 400MG C,9.8
PHM005349,THIOTEPA INJ 15MG(00,1732.19
PHM005350,TIAGABINE 4MG TAB (N,10.65
PHM005351,TIGECYCLINE INJ 1MG,5.47
PHM005357,TRAMADOL 100 MG TAB,7.48
PHM005358,TRAMADOL 200 MG TAB,9.57
PHM005359,TRAMADOL 300 MG TAB,16.12
PHM005360,TRASTUZUMAB INJ 10MG,198.16
PHM005362,TRIAMC 0.025% TOP CR,7.08
PHM005366,UMECLID+VILANT 7-DOS,182.37
PHM005367,UMECLIDINIUM 30-DOSE,618.3
PHM005368,URSODIOL 20MG/ML ORA,0.91
PHM005369,URSODIOL 60MG/ML ORA,2.34
PHM005370,VALACYCLOVIR 50MG/ML,1.15
PHM005371,VALPROATE INJ 100MG,6.52
PHM005372,VALPROATE SOD INJ 50,32.98
PHM005373,VANCOMY 500MG INJ W/,13.47
PHM005374,VANCOMYCIN INJ 500MG,27.38
PHM005375,VANCOMYCIN INJ 500MG,13.47
PHM005376,VANCOMYCIN 500 MG IN,13.47
PHM005378,VECURONIUM BROM INJ,19.08
PHM005379,VEDOLIZUMAB INJ 1MG(,38.4
PHM005382,VIT A INJ 50000 U/ML,190.8
PHM005384,WITCH HAZEL EXTRACT,5.39
PHM005388,ZICONOTIDE INJ 1MCG(,14.21
PHM005389,CEFOTETAN 500MG INJ,18.35
PHM005391,LIDO2%-EPINEP PF INJ,1.7
PHM005393,BRIMONID OPH 0.2% SO,28.83
PHM005394,PROPRANOLOL ER 160MG,6.21
PHM005395,POTASSIUM 2 MEQ INJ,0.73
PHM005396,OCULAR LUBRICANT OIN,32.26
PHM005397,FAT EMU(FISH OIL BAS,0.18
PHM005398,FAT EMU(FISH OIL BAS,0.42
PHM005399,BUPIVA/EPINE/PF INJ,15.76
PHM005401,HYDROMORPHONE 4MG/mL,10.84
PHM005404,IMMUNE GLOB INJ 10%,136.01
PHM005407,ABEMACICLIB 100MG TA,384.37
PHM005408,ABEMACICLIB 150MG TA,384.37
PHM005409,ABEMACICLIB 200MG TA,384.37
PHM005410,ABEMACICLIB 50MG TAB,384.37
PHM005411,ALDESLEUKIN INJ 0.6M,7448.67
PHM005412,ALECTINIB 150 MG CAP,105.84
PHM005413,ALP/PAP/PHEN 20MCG-3,14.31
PHM005414,ALTEPLASE INJ 1MG/1M,160.61
PHM005415,AMIODARONE 30MG INJ,1.18
PHM005416,ANAKINRA INJ 100MG/0,2.67
PHM005417,APRACLN 0.5% OPTH SL,137.96
PHM005419,ARGATROBAN INJ 100 M,6.81
PHM005420,ARSENIC TRIOXIDE INJ,127.5
PHM005422,ATEZOLIZUMAB INJ 10,141.22
PHM005423,ATOMOXETINE 10MG CAP,22.63
PHM005424,AVELUMAB INJ 10 MG (,147.82
PHM005427,AZILSAR/CHL 40/12.5M,11.52
PHM005428,A1 PROTNS INHBTR INJ,10.34
PHM005432,BECLOMETHASONE 80MCG,400.08
PHM005433,BENZO-MENTH TOP SP 7,7.23
PHM005434,BIMIX INJ 30MG-1MG/M,39.75
PHM005442,BRIGATINIB 30 MG TAB,151.05
PHM005443,BRIMO-TMLOL OPTH SLN,307.25
PHM005444,CABOZANTINIB 20 MG C,335.9
PHM005445,CABOZANTINIB 20MG TA,1112.42
PHM005446,CALCIUM INJ 1GM PREM,35.14
PHM005447,CALCIUM INJ 2GM PRMX,70.28
PHM005448,CARB-LEV 23.75-95MG,5.06
PHM005449,CARBI-LEVO 50-200MG,2.87
PHM005453,CERITINIB 150 MG CAP,211.07
PHM005454,CLINDAMYCIN INJ 300M,5.76
PHM005456,COBICISTAT 150MG TAB,13.99
PHM005457,COBIMETINIB 20 MG TA,212.15
PHM005458,COLL (AVEENO) E CRM,13.5
PHM005459,CONIVAPTAN INJ 1 MG,62.6
PHM005461,CRIZOTINIB 200 MG CA,510.57
PHM005462,CRIZOTINIB 250 MG CA,510.57
PHM005465,DABRAFENIB 50 MG CAP,116.8
PHM005466,DABRAFENIB 75 MG CAP,153.45
PHM005467,DANAZOL 100 MG CAP (,8.65
PHM005471,DESIPRAMINE 50MG TAB,6
PHM005472,DEXAMETH INJ (ADMIX),0.38
PHM005473,DEXAMETH INJ (HAI PU,0.38
PHM005474,DEXAMETHASONE INJ 4M,0.38
PHM005475,DICLOFENAC 0.1% OPTH,116.12
PHM005478,DOXEPIN 6MG TABLET (,136.19
PHM005480,DUPILUMAB INJ 150MG/,2796.69
PHM005481,DURVALUMAB INJ 120MG,133.75
PHM005482,DURVALUMAB INJ 500MG,133.75
PHM005484,ELTROMBOPAG 100MG TA,955.44
PHM005485,ELTROMBOPAG 12.5MG T,256.79
PHM005486,ELTROMBOPAG 25MG TAB,256.79
PHM005487,ELTROMBOPAG 50MG TAB,525.01
PHM005488,ELTROMBOPAG 75MG TAB,787.52
PHM005498,FAMOTIDINE INJ SYR 4,5.52
PHM005499,FENTANYL INJ 1MG PRM,2.4
PHM005501,FLUOCINOLON 0.01% TS,298.13
PHM005502,FLUORIDE 1.1% TOOTHP,13.09
PHM005503,FLUTICSN 27.5MCG/INH,25.97
PHM005504,GABA ENACARB 600MG E,24.71
PHM005507,GEFITINIB 250 MG TAB,490.47
PHM005508,GEMTUZUMAB OZOGAMICN,17383.82
PHM005510,GLECAPE-PIBRE 100-40,299.83
PHM005511,GRISEOFULVIN MC 500M,13.53
PHM005517,IBRUTINIB 140 MG CAP,258.21
PHM005518,IDELALISIB 100 MG TA,324.89
PHM005519,IDELALISIB 150 MG TA,324.89
PHM005523,IMMUNE GLOB INJ 10%,136.01
PHM005524,IMMUNE GLOB INJ 10%,136.01
PHM005529,INOTUZUMAB 0.25MG/ML,35679.6
PHM005531,ISOFLURANE 100% 250,59.63
PHM005532,IXAZOMIB 2.3 MG CAP,6021.65
PHM005533,IXAZOMIB 3 MG CAP (N,6323.11
PHM005534,IXAZOMIB 4 MG CAP (N,6323.11
PHM005537,LETERMOVIR INJ 20MG/,515.16
PHM005538,LETERMOVIR INJ 20MG/,515.16
PHM005539,LETERMOVIR 240MG TAB,372.06
PHM005540,LETERMOVIR 480MG TAB,372.06
PHM005541,LEVONORGESTREL DEVIC,1444.1
PHM005543,LIDO--EPI PF INJ 1.5,9.27
PHM005544,LIDOCAINE INJ 1% 50M,0.25
PHM005545,LIDOCAINE 3.5% OPTH,42.22
PHM005546,LIDO1% + EPI + BUPIV,70.4
PHM005547,"LIDO2% EPI 1:100,000",13.53
PHM005560,METHOTREXATE 2.5MG S,11.59
PHM005561,MIDOSTAURIN 25MG CAP,270.69
PHM005562,MORPHINE 10MG ER CAP,7.52
PHM005565,NIRAPARIB 100 MG CAP,312.7
PHM005568,OLAPARIB 100 MG TAB,220.79
PHM005569,OLAPARIB 150 MG TAB,220.79
PHM005570,OLARATUMAB INJ 10 MG,91.87
PHM005574,OSIMERTINIB 40MG TAB,929.61
PHM005575,OSIMERTINIB 80MG TAB,929.61
PHM005576,PALBOCICLIB 100MG CA,1025.95
PHM005577,PALBOCICLIB 125MG CA,1025.95
PHM005578,PALBOCICLIB 75MG CAP,1025.95
PHM005579,PANOBINOSTAT 10MG CA,2562.87
PHM005580,PANOBINOSTAT 15MG CA,2332
PHM005581,PANOBINOSTAT 20MG CA,2332
PHM005582,PERAMPANEL 12MG TABL,57.05
PHM005585,PINDOLOL 5MG TAB (NF,1.75
PHM005589,POMALIDOMIDE 1MG CAP,1438.55
PHM005590,POMALIDOMIDE 2MG CAP,1438.55
PHM005591,POMALIDOMIDE 3MG CAP,1438.55
PHM005592,POMALIDOMIDE 4MG CAP,1438.55
PHM005594,POTASS CH 2MEQ INJ I,0.73
PHM005595,POTASSIUM INJ 20mEQ,0.73
PHM005600,PROPRANOLOL 80MG TAB,1.43
PHM005604,QUETIAPINE ER 300MG,1.94
PHM005605,REGORAFENIB 40MG TAB,1014.07
PHM005606,RIBO-LETRZL 200-2.5M,170.55
PHM005607,RIBOCICLIB 200MG TAB,397.96
PHM005608,RISPERIDONE INJ 0.5M,17.3
PHM005610,RUCAPARIB 200MG TAB,233.76
PHM005611,RUCAPARIB 300MG TAB,233.76
