CODE,DESCRIPTION,CHARGE AMOUNT
5500220,CURVTEX CARTRIDGE,"1,809.00"
5011705,"CUSHION, INVALID",26.00
5515309,CUTTING LOOP DISP,296.00
6812713,CYCLOGYL 1% EYE DROPS,24.00
7031909,CYCLOSPORINE,133.00
6818132,CYMBALFA 30 MG CAP,27.00
5514401,CYSTO IRRIGATION SET,48.00
7036809,CYTOLOGY,82.00
7040009,CYTOPATHOLOGY - FLUIDS 88,70.00
7041007,CYTOPATHOLOGY - OTHER 881,61.00
6815542,CYTOTEC 100MG,7.00
6816995,CYTOTEC 25 MCG,8.00
6817043,CYTOTEC 50 MCG,8.00
6700009,D 5 W 50ML,48.00
6700017,D-10-W 1000 ML,60.00
6700025,D-10-W 250ML,55.00
6700165,D-5-0.2% NS 1000ML,57.00
6700173,D-5-0.2%-NS 250ML,49.00
6700181,D-5-0.2%NS 500ML,49.00
6700199,D-5-1/2 NS 250 ML,49.00
6700207,D-5-1/2NS 1000ML,57.00
6700215,D-5-1/2NS 500ML,49.00
6700033,D-5-E48 1000ML,74.00
6700041,D-5-E48 250ML,59.00
6700066,D-5-LR 1000ML,64.00
6700074,D-5-LR 500ML,54.00
6700082,D-5-NS 1000ML,57.00
6700090,D-5-NS 250ML,49.00
6700108,D-5-NS 500ML,44.00
6700116,D-5-W / ALC 5% 1000ML,73.00
6700132,D-5-W 1000ML,53.00
6700124,D-5-W 100ML,44.00
6700140,D-5-W 150ML,46.00
6700157,D-5-W 250ML,46.00
6804074,D-5-W 500 ML,46.00
6700223,D-50-W 500ML,86.00
7054109,D-DIMER,89.00
6801526,D.D.A.V.P.,312.00
6801856,D.H.E.45 1 MG/ML,54.00
6700975,D5 1/2NS KCL 10MEQ,61.00
6700983,D5 1/2NS KCL 20MEQ,61.00
6817159,D5 1/2NS KCL 30,54.00
6701007,D5 1/2NS KCL 40MEQ,61.00
6817209,D5 NS KCL 40,44.00
6701205,D5LR /KCL40 MEQ,85.00
6701189,D5LR/KCL 20MEQ,85.00
6701023,D5NS/KCL 20MEQ,82.00
6700538,D5W/KCL 20MEQ,61.00
6700629,D5W/KCL 40MEQ,61.00
6813695,DAKIN'S 0.25% SOLUTION,13.00
6819981,DALVANCE 500MG INJ,"4,065.00"
6803167,DANTRIUM 20 MG IV,199.00
6805451,DANTRIUM 25 MG,5.00
6805477,DARVOCET-N 100,7.00
6805485,DARVON CMPD 65 MG,4.00
5500222,DBX BONE PUTTY,"3,482.00"
6814834,DDAVP 4MCG/ML AMPUL,61.00
5821657,DEBRIDEMENT,229.00
6814396,DECADRON 0.75MG DOSEPACK,4.00
6803183,DECADRON 4 MG/ML,30.00
6801187,DECADRON OPHTH. SOLN.,32.00
7040025,DECALIFACATION,80.00
7037716,DEFINITIVE ID,37.00
7058902,DEGLYCERIDE RED CELLS (FRC),488.00
3900107,DEL RM CHARGE,"1,288.00"
3901402,DEL. STERILE PREP.,15.00
6813315,DELESTROGEN 10 MG/ML,18.00
6816011,DEMADEX 20 MG,8.00
6816300,DEMADEX 20MG/2ML,20.00
6803621,DEMEROL 50MG/ML,22.00
6803639,DEMEROL 75MG/1.5ML,22.00
6805501,DEMEROL SYRUP 50MG/5CC,4.00
5700158,DENTAL EQUIPMENT,0.00
5800294,DENTAL PAIN BLOCK,446.00
5821818,DENTAL-ABN COMPLICATION/POST,"1,060.00"
5011903,"DEODORANT, ROLL ON",9.00
6805519,DEPAKENE 250 MG,6.00
6805527,DEPAKENE 250MG/5ML 5ML,6.00
6817423,DEPAKOTE 125MG TABLET,10.00
6805535,DEPAKOTE 250 MG,5.00
6816037,DEPAKOTE ER 500MG,14.00
6817373,DEPAKOTE ER 500MG TABLET,24.00
6818363,DEPAKOTE SPRINKLE 125MG/CAP,10.00
6801864,DEPO MEDROL 80 MG/ML,46.00
6801872,DEPO TESTOSTERONE 100,60.00
6801880,DEPO-ESTRADIOL 5 MG/1 ML,17.00
6801898,DEPO-MEDROL 40 MG 1 ML,26.00
6801906,DEPO-PROVERA 150 MG,252.00
5010434,DERMA BOND SKIN ADHESIVE,113.00
5821025,DERMABOND,63.00
5504519,DERMABOND TISSUE ADHESIVE,125.00
5700166,DERMATONE SET,0.00
5525100,DERMATONE SET,222.00
6810469,DERMOPLAST,27.00
6812002,DESIPRAMINE 25MG TABLET,5.00
6810477,DESITIN,8.00
6805543,DESYREL 50MG,4.00
6816755,DETROL-LA 4 MG,22.00
5012000,"DEVICE, CIRCUMCISION",39.00
6790091,"DEVICE, NEEDLE LO",12.00
6805568,DEXAMETH 0.5MG,4.00
6801922,DEXAMETH 10 MG/ML,17.00
6805576,DEXAMETH 4MG UD,6.00
6805550,DEXAMETH LIQ .5MG/5ML 5ML,6.00
6801800,DEXAMETHASIBE 10MG/ML MDV,31.00
6819288,DEXAMETHASONE 20MG/5 ML MDV,11.00
6820302,DEXAMETHASONE NA PHOS 10MG/ML,13.00
6811897,DEXT 5%/WATER IV SOL 25ML,73.00
6804196,DEXTROSE 5% 100ML MINI BAG,52.00
6815484,DEXTROSE 5% 500ML,44.00
6700603,DEXTROSE 5%/WATER IV SOL 250ML,50.00
6700595,DEXTROSE 5%/WATER IV SOL100ML,46.00
6700496,DEXTROSE 5%/WATER IV SOLN.,10.00
6803191,DEXTROSE 50% SYR,51.00
7053903,DHEA,130.00
7059462,DHEA SULFATE,95.00
6805592,DIABINESE 100 MG UD,4.00
6805600,DIABINESE 250 MG UD,4.00
6803209,DIAMOX 500 MG INJ,135.00
6805618,DIAMOX 500MG SEQ,6.00
5012109,"DIAPER, ADULT",32.00
5012117,"DIAPER, LARGE",40.00
5012125,"DIAPER, MEDIUM",30.00
5012208,"DIAPER, PEDIATRIC",18.00
5012141,"DIAPER, SIZE 2",30.00
5010275,"DIAPER, SIZE 5",72.00
5012133,"DIAPER, SMALL",14.00
5012240,"DIAPERS, MISCELLANIOUS",28.00
6816565,DIASTAT 10MG RECTAL GEL,528.00
6801930,DIAZEPAM 10 MG SYRINGE,40.00
6811640,DIAZEPAM 10MG TABLET,4.00
6805634,DIAZEPAM 2 MG,4.00
6805642,DIAZEPAM 5MG,4.00
6805659,DIBENZYLINE 10 MG,10.00
6805667,DIDRONEL 200MG,14.00
6800684,DIDRONEL 300 MG/6 ML INJ.,212.00
3200201,DIETARY SUPPLEMENT,6.00
6813000,DIFLUCAN 100MG TABLET,19.00
6806699,DIFLUCAN 150 MG,30.00
6803217,DIFLUCAN 200 MG IV,299.00
6803225,DIGIBIND 40 MG,770.00
5020425,DIGNICALE SYSTEM,559.00
6805683,DIGOXIN 0.125 MG TAB,4.00
6805691,DIGOXIN 0.25 MG TAB,4.00
6801955,DIGOXIN 0.5 MG/2 ML,19.00
7035801,DIGOXIN LEVEL,77.00
7008709,DILANTIN,77.00
6805709,DILANTIN 100 MG UD,4.00
6805717,DILANTIN 100 MG/4 ML ORAL,14.00
6817506,DILANTIN 100 MG/4 ML ORAL,22.00
6805725,DILANTIN 50 MG UD,4.00
6803233,DILANTIN IV 100 MG,17.00
6803241,DILANTIN IV 250 MG,48.00
5522800,DILATOR (ALL)(UROLOGY),863.00
5500566,"DILATOR, BALLOON RUTNER",318.00
5500574,"DILATOR, ESOPHAGEAL",472.00
6801963,DILAUDID 1 ML 2 MG,14.00
6816250,DILAUDID 1MG/1ML INJ,13.00
6801971,DILAUDID 4 MG INJ,15.00
6809941,DILAUDID SUPP 3MG,12.00
6805733,DILAUDID TABS 2 MG,4.00
6819049,DILAVDID 4MG TABLET,8.00
6805758,DILOR 400 TABS,6.00
6805741,DILOR G TAB,6.00
6816789,DILTIAZEM 100MG,44.00
6818603,DILTIAZEM 125MG/25ML VIAL,102.00
3200102,DINAMAPP 2ND FLOOR,40.00
3400108,DINAMAPP 4TH FLOOR,40.00
6816094,DIOVAN 80MG,11.00
6818967,DIPHENHYDRAMINE 12.5MG/5ML LIQ,7.00
6815060,DIPHENHYDRAMINE 50MG/MML-10MDV,17.00
6803266,DIPRIVAN 20 ML,67.00
6801997,DIPTHERIA-TET.PED,33.00
6805808,DIPYRIDAMOLE 25MG,4.00
6818256,DIPYRIDAMOLE 25MG TABLET,6.00
6805816,DIPYRIDAMOLE 50MG,4.00
6805824,DIPYRIDAMOLE 75MG,5.00
7001407,DIRECT COOMBS,55.00
7001316,DIRECT LDL,41.00
6805832,DISALCID 500 MG,4.00
6805840,DISALCID 750,4.00
6606431,DISCARD GAD-BASE MR CONTRAST,19.00
6403189,DISCARD LOCM 100-199 MG/ML,10.00
6308941,DISCARD LOCM 300-399MG,7.00
6405219,DISCARD LOCM 300-399MG/ML,7.00
7011307,DISOPYRAMADE (NORPACE),95.00
5534565,DISP BIOPSY PUNCH,15.00
5515903,DISP HAIR CLIPPER BLADE,61.00
3903929,DISP HAIR CLIPPER BLADE,51.00
5506662,DISP. 10MM HEADED REAMER,568.00
6908628,DISP. C02 DETECTOR,53.00
5013697,DISPOSABLE BLOOD PRESSURE CUFF,15.00
3801107,DISPOSABLE CUFFS,44.00
6805857,DITROPAN 5MG TAB,4.00
6805865,DIURIL 500 MG UD,4.00
6820252,DO NOT CHANGE TO PO,0.00
7004369,"DOA-URINE, METHADONE",60.00
7004351,"DOA-URINE, METHAQUALONE",60.00
7004328,"DOA-URINE, PROPOXYPHENE",60.00
6816326,DOBUTAMINE 20 ML,59.00
6800692,DOBUTAMINE 250 MG,252.00
6805873,DOCUSATE CA 240 MG,4.00
6805899,DOLOBID 500MG TAB,6.00
6810485,DOMBORO POWDER,4.00
6805931,DONNATAL 5ML,9.00
6805915,DONNATAL ELIXER 5ML VDC,9.00
6805923,DONNATAL TABS,4.00
6819023,DOPAMINE 400MG/10ML,11.00
6803274,DOPAMINE 800 MG/D5W,56.00
6803282,DOPRAM 20 MG/1 ML INJ,24.00
6805949,DORAL 15 MG,8.00
6819437,DORZOLAMIDE/TIMOLOL OPTH. SOLN,129.00
7000304,DOXEPIN,65.00
6805964,DOXEPIN 10MG CAP,4.00
6805972,DOXEPIN 25 MG CAP,4.00
6805980,DOXEPIN 50MG,4.00
6805998,DOXIDAN,4.00
6803290,DOXYCYCLINE 100 MG IV,103.00
6806004,DOXYCYCLINE 100MG,9.00
9421066,DR GRIP PEN,31.00
5012406,"DRAIN, PENROSE",14.00
5521505,"DRAIN, PENROSE",16.00
5522206,"DRAIN, T-TUBE",79.00
6806012,DRAMIMINE 50 MG TABS,4.00
5522701,DRAPE TUR,49.00
5500211,"DRAPE, BEACH CHAIR",92.00
5531009,"DRAPE, CAMERA",72.00
5502604,"DRAPE, EXTREMITY",188.00
5512306,"DRAPE, HIP",115.00
5534532,"DRAPE, IOBAN",37.00
5502802,"DRAPE, LAP SHEET",135.00
5503008,"DRAPE, MAYO COVER",16.00
5502505,"DRAPE, SHEET",20.00
5503107,"DRAPE, SLEEVE",17.00
5503941,"DRAPE, SOLUTION",129.00
5504915,"DRAPE, T&M",87.00
5502901,"DRAPE, THYROID/SPLIT",98.00
5510508,"DRAPE, TRANSVERSE",128.00
5012505,"DRAPE, TRANSVERSE",100.00
5517107,"DRAPE, X-RAY",83.00
7100191,DRESSING CALCIUM ALGINATE,49.00
7100167,DRESSING FOAM CARRASMART,37.00
7100365,"DRESSING, ADAPTIC",37.00
5012661,"DRESSING, ADHESIVE/MINOR",19.00
5527205,"DRESSING, EAR KIT",280.00
7100175,"DRESSING, EXUDERM",37.00
5012604,"DRESSING, MAJOR",34.00
7100464,"DRESSING, NON-STERILE",16.00
7100456,"DRESSING, STERILE",21.00
3903945,"DRESSING, SURGICAL",21.00
5526207,"DRESSING, SURGICAL",24.00
5012257,"DRESSING, WOUND VAC",87.00
7100373,"DRESSING, XEROFORM",37.00
9400789,"DRESSING, XEROFORM",49.00
5012659,"DRESSING,IV SECUREMENT",8.00
5506688,DRILL BIT 10MM,557.00
5506696,DRILL BIT 9MM,423.00
5500276,"DRILL BIT, ORTHO",0.00
5504279,DRILL BITS,115.00
5700182,"DRILL, ENT",0.00
6819817,DRONABINOL 2.5MG ORAL,39.00
7005309,DRUG ANALYSIS UNKNOWN,67.00
7000912,DRUG CONFIRMATION-1 ANALYTE,72.00
7000482,DRUG PROF. BLOOD (7D),63.00
7004450,DRUG SCREEN 5 DRUGS,63.00
7007321,DRVVT,43.00
5503982,DUAL MESH 10X15 CM,"1,261.00"
5534086,DUAL MESH 15X19,"2,339.00"
5503974,DUAL MESH 18X24 CM,"2,508.00"
5534524,DUAL MESH 20CM X 30CM,"3,505.00"
5705223,DUOTHERM ARM PAD,84.00
5705215,DUOTHERM K-PAD 18X24,63.00
5506655,"DUOVISC, ADD'L",315.00
6810493,DURAGESIC 100,124.00
6810501,DURAGESIC 25,53.00
6810519,DURAGESIC 50,80.00
6810527,DURAGESIC 75,100.00
5534326,DURAPREP,64.00
5533641,DURASPHERE RETRACTOR,235.00
6806020,DYAZIDE,4.00
9400797,DYCEM,19.00
6806038,DYNACIRC 2.5 MG,4.00
7001003,E COLI 0157 PCR,660.00
6908586,E.T. TUBE HOLDER,13.00
7006802,EAR CULTURE,82.00
5020409,EARWICK,10.00
7000082,"EBV QUANTITATIVE,PCR","90,433.00"
7059272,"ECHOVIRUS AB11, IGG",119.00
7059280,"ECHOVIRUS AB30, IGG",119.00
7059249,"ECHOVIRUS AB4, IGG",119.00
7059256,"ECHOVIRUS AB7, IGG",119.00
7059264,"ECHOVIRUS AB9, IGG",119.00
9421074,ECONOMY GEL GLOVE,79.00
9300377,ECONOMY KNEE BRACE,82.00
6803324,EDECRIN INJ 50 MG,50.00
6806046,EDECRIN TABS 25 MG,4.00
7300106,EEG,291.00
7300320,EEG AWOKE/SLEEP,444.00
7300312,EEG CEREBRAL DEATH,846.00
7300205,EEG SLEEPING/COMA,370.00
6806079,EES 400 60 ML MDP,41.00
6812309,EES 400 LIQUID 30 ML,14.00
6806061,EES 400 TABS,4.00
6818116,EES GRANULES/ORAL SUSP 200MG/5,58.00
6815575,EFFEXOR 37.5 MG,11.00
6815310,EFFEXOR 75MG XR,17.00
6818223,EFFEXOR XR 150MG CAPSULE,19.00
6815567,EFUDEX CREAM,285.00
7001531,EHEC SHIGA TOXIN 1,43.00
7001587,EHEC SHIGA TOXIN 2,43.00
5511605,EHL PROBE,735.00
7001167,"EHRLICHIA CHAFFEENSIS,IGG",235.00
7001175,"EHRLICHIA CHAFFEENSIS,IGM",235.00
7200124,EKG ADENOSINE,263.00
7200132,EKG DOBUTAMINE,263.00
7200108,EKG INITIAL DAY,111.00
7200090,EKG SUBSEQUNT DAY,111.00
7201106,"EKG, PERSANTINE",250.00
7201205,EKG/OVRRD/INI./ATA,128.00
7200801,EKG/OVRRD/INI./HOOD,128.00
7200900,EKG/OVRRD/INI./M.REDDY,128.00
7200843,EKG/OVRRD/INI./MEMON,128.00
7200819,EKG/OVRRD/SUB./HOOD,128.00
7200918,EKG/OVRRD/SUB./M.REDDY,128.00
7200827,EKG/OVRRD/SUB./MEMON,128.00
7201213,EKG/OVRRD/SUBS./ATA,128.00
9421082,ELASTIC SHOE LACES,10.00
9421090,ELASTIC WRIST SUPPORT,33.00
9421108,ELASTOMER,25.00
6804355,ELAVIL 10 MG,24.00
6802011,ELAVIL 10 MG/ML,26.00
6804363,ELAVIL 25 MG,4.00
5800597,ELBOW METAL WITH SOFT PADDING,70.00
7100688,ELBOW OR WRIST STRAPPING,130.00
9421116,ELBOW STRAP,31.00
6806087,ELDEPRYL 5 MG,9.00
6806095,ELDERTONIC 60 ML,16.00
7104608,ELEC. STIM W/HOT OR COLD,113.00
7104680,ELEC. STIM W/HOT OR COLD,113.00
9421701,ELECT/STIMULATION 1 ON 1 CONTA,96.00
9421710,ELECT/STIMULATION 1 ON 1 CONTA,96.00
7113004,ELECTRIC STIMULATION (ATTENDED,102.00
7113400,ELECTRIC STIMULATION (ATTENDED,96.00
7016108,ELECTRO C S F,101.00
3800802,ELECTRODE NEEDLE,17.00
5504766,"ELECTRODE, NERVE MONITOR",288.00
7100399,ELECTRODES,10.00
5012703,ELECTRODES ADULT,9.00
7029002,ELECTROLYTES,30.00
7059900,ELECTROPHORETIC TECHNIQUE,142.00
7100118,ELEV. 6 SPIRAL CUT FOOT,44.00
6819965,ELIQUIS 2.5MG TABLET,39.00
7060353,ELUTION,142.00
6810899,EMLA,37.00
6906125,EMMA AIRWAY ADAPTER,26.00
6806103,EMPIRIN C/COD #3,4.00
6412186,EMPLOYEE CHEST X-RAY,0.00
6900500,END TIDAL C02,286.00
5505391,ENDO CLIP II,331.00
5502729,ENDO CLOSURE,228.00
5504709,ENDO GIA,632.00
5505383,ENDO GIA II (UNIVERSAL),354.00
5505375,ENDO GIA II ROTICULAR(RELOAD),519.00
5505367,ENDO GIA II STRAIGHT(RELOAD),328.00
5531306,ENDO GIA RELOAD,347.00
5534029,ENDO RETRACT II,335.00
5533757,ENDO RETRIEVAL BASKET,259.00
5501473,ENDO STITCH,663.00
5501481,ENDO STITCH-ADD'L SUTURE,147.00
5533864,ENDO SUITE TIME 1/4 HR,846.00
5503347,"ENDO, STAPLER (HERNIA)",552.00
5503339,"ENDO,(HERNIA)STAPLER-RELOAD",199.00
5504162,ENDO/EGD/BRUSH,49.00
5532825,ENDOSCOPIC BLUNT TIP DISSEC,46.00
8700023,ENDURANCE TEST,57.00
5012919,ENEMA UNIT,14.00
5300421,"ENEMA, THERAPEUTIC",139.00
7101251,ENERGY DEVELOPMENT,79.00
9402115,ENERGY DEVELOPMENT,79.00
5534397,ENSEAL,"1,121.00"
5505433,ENT BURRS,340.00
5534342,ENT SHAVER BLADE & TUBING,462.00
5534359,ENT SHAVER BLADE PED,714.00
5534367,ENT SHAVER BLADES ADDL,486.00
7052972,ENTEROVIRUS PCR,227.00
6806111,ENTEX-LA,4.00
6812242,ENTUSS 10 ML SYR,6.00
6806137,ENTUSS 5ML UDC,13.00
9420233,EO/DYNAMIC ELBOW ORTHOSIS,294.00
9420225,EO/STATIC ELBOW ORTHOSIS,178.00
7059611,"EOSINOPHIL COUNT,NASAL",13.00
7060171,"EOSINOPHIL, URINE",19.00
6802029,EPHEDRINE 50 MG/ML,25.00
5904420,EPIDURAL ANES SUPPLIES,232.00
5306790,EPIDURAL CERVICAL/THORACIS,782.00
5306782,EPIDURAL LUMBAR ANES.,782.00
6810907,EPIFOAM,68.00
6817944,EPINEPHRINE 0.1MG/ML 10ML SYR,18.00
6802037,EPINEPHRINE MDV 30 ML,58.00
6803332,EPINEPHRINE SYR 10 ML/1 MG,64.00
5800339,EPISTAXIS,142.00
5504964,EPISTAXIS BALLOON CATHETER,191.00
6814271,EPIVIR 150MG TABLET,11.00
6812176,EPOETIN 1000 UNITS (ESRD),237.00
6813257,EPOETIN 10000 UNITS,374.00
7057334,EPSTEIN BARR VCA-IGG,125.00
7057326,EPSTEIN BARR VCA-IGM,125.00
7030901,"EPSTEIN-BARR, NA",125.00
7010325,"EPSTEIN-BARR,EA",125.00
5700190,"EQ TRAY, DRILL",278.00
5700216,"EQ TRAY, SAW/DRILL",240.00
5700786,"EQ, BIPOLAR HIP COMPONENT","8,330.00"
5700323,"EQ, COMP HIP INST TRAY",315.00
5706379,"EQ, EXT FIX ADJUST","2,635.00"
5700232,"EQ, EXT FIX TRAY SMALL","2,235.00"
5700240,"EQ, EYE INSTRUMENTS",258.00
5700257,"EQ, HEADED REAMER 10MM",513.00
5700265,"EQ, LARYNOGEAL TRAY",144.00
5706353,"EQ, LG EXT FIX TRAY","2,936.00"
5700455,"EQ, SCOPE ENT MINOR",87.00
5700273,"EQ, SCOPE TRAY",221.00
5700901,"EQ, THERAPEUTIC BED/DAY",83.00
5700281,"EQ, TRAY ARTHROSCOPE",358.00
5700299,"EQ, TRAY BIPOLAR HIP","1,304.00"
5700315,"EQ, TRAY BONE",459.00
5700331,"EQ, TRAY D&C",75.00
5700349,"EQ, TRAY GI",133.00
5700356,"EQ, TRAY HYSTEROSCOPY",182.00
5700364,"EQ, TRAY LAMINECTOMY",208.00
5700372,"EQ, TRAY LAPAROSCOPY","1,036.00"
5700380,"EQ, TRAY LARGE INSTS.",240.00
5700398,"EQ, TRAY PLASTIC INST.",145.00
5700463,"EQ, TRAY RECTAL",97.00
5700471,"EQ, TRAY RETRACTOR",139.00
5700489,"EQ, TRAY SMALL INSTS.",139.00
5700497,"EQ, TRAY SOFT TISSUE",159.00
5700513,"EQ, TRAY SPEC. INST.",79.00
5700521,"EQ, TRAY T&A, M&T",85.00
5700539,"EQ, TRAY TRACH",139.00
5700547,"EQ, TRAY TUR SET",145.00
5700554,"EQ, TRAY VASCULAR",563.00
58000,ER HOLD ROOM,0.00
5800000,"ER, OPEN CODE",0.00
9421884,ERGONOMIC HAND EXERCISER,31.00
6700249,ERYTHROCIN 500MG IV PB,43.00
6811814,ERYTHROCIN LACT 500MG VIAL,55.00
6800718,ERYTHROMYCIN 1 GRAM,75.00
6806145,ERYTHROMYCIN BASE 250MG,4.00
6801195,ERYTHROMYCIN OPHTH UD,25.00
7051501,ERYTHROPOIETIN,125.00
5504238,"ESMARK BANDAGE, STERILE",33.00
5534128,ESOPHAGEAL PUMP/QUANTUM,422.00
6810915,ESTRADERM 0.05MG,14.00
6810923,ESTRADERM 0.1 MG,15.00
7011406,ESTRADIOL,204.00
6820161,ESTRADIOL 0.5MG TABLET,5.00
7018807,ESTROGENS T (S),171.00
7010135,ESTRONE,165.00
5533930,ESWL 1/4 HR,"4,920.00"
6908545,ET TUBE,36.00
7060239,ETHOSUXIMIDE,90.00
7059934,ETHYLENE GLYCOL,43.00
6806186,ETRAFON 2-25,4.00
6815583,EUCERIN,12.00
5800469,EVACUATION OF BLOOD UNDER NAIL,163.00
9500552,EVAL LANG/RECEPT/EXPRESS,323.00
9500313,EVAL OF SPEECH DEV (1 HR),266.00
9500133,EVAL OF SPEECH DEV (1 HR),266.00
9500256,EVAL OF SPEECH FLUENCY,323.00
9500128,EVAL OF VOICE PROSTHETIC,160.00
9500182,EVAL OF VOICE PROSTHETIC,160.00
9500204,EVAL ORAL &PHARY/SWAL/MBS,267.00
9500240,EVAL ORAL &PHARY/SWAL/MBS,267.00
9500158,EVAL SPEECH DEV ADD'L 30MINUTE,81.00
9500297,EVAL SPEECH PRODUCTION,323.00
9500134,EVAL SPEECH W/MODIFIER 52,323.00
9500125,EVAL SWALLOW OPAQUE,201.00
9500152,EVAL SWALLOW OPAQUE,201.00
9500291,EVAL VOICE/BEHAVIOR,323.00
7200589,EVENT MONITOR ANALYSIS,335.00
7200592,EVENT MONITOR RECORDING,206.00
6815880,EVISTA 60MG,17.00
9421728,"EX,THERAPEUTIC 1 ON 1 PT CONTA",74.00
9421782,"EX,THERAPEUTIC 1 ON 1 PT CONTA",74.00
9401251,EX/THERAP W/HOT OR ICE PKS,84.00
9400284,EX/THERAP W/HOT OR ICE PKS,84.00
6818041,EXELON 1.5MG CAP,24.00
6817522,EXELON 4.6MG/24HR PATCH,51.00
6819577,EXELON PATCH 9.5MG/HR,13.00
6909733,EXERCISE OXIMETRY,87.00
6908800,EXHALED CO TEST,68.00
9500327,EXT DEVELOPMENTAL TESTING W/IN,246.00
9500372,EXT DEVELOPMENTAL TESTING W/IN,246.00
5534375,"EXT FIX PINS, LG",311.00
7040017,EXT STUDY >5 SLIDES,60.00
3902004,EXTENDED RC/8 HR,266.00
3700275,EXTENDED RECOVERY (0-2HR),32.00
3400264,EXTENDED RECOVERY (0-2HR),32.00
3300258,EXTENDED RECOVERY (0-2HR),32.00
3600277,EXTENDED RECOVERY (0-2HR),25.00
3500279,EXTENDED RECOVERY (0-2HR),32.00
3500287,EXTENDED RECOVERY (2.5-23HR),20.00
3600285,EXTENDED RECOVERY (2.5-23HR),16.00
3300266,EXTENDED RECOVERY (2.5-23HR),21.00
3400272,EXTENDED RECOVERY (2.5-23HR),21.00
3700283,EXTENDED RECOVERY (2.5-23HR),20.00
5516802,"EXTERNAL FIX PIN, SMALL",279.00
9400134,EXTND DEVELOP TESTG W/INTERPRE,246.00
9400185,EXTND DEVELOP TESTG W/INTERPRE,246.00
3904901,EXTRACTOR VACCUM,83.00
5013206,"EXTRACTOR, VACUM",81.00
5012612,"EXUDERM 4""""X4""""",38.00
5012638,"EXUDERM LP 4""""X4""""",20.00
5012620,"EXUDERM LP 6""""X6""""",34.00
7007503,EYE CULTURE,48.00
5300314,EYE DROPS Y AG LASER,47.00
7012909,EYE GRAM STAIN,25.00
5025896,EYE PATCH,24.00
5505011,EYE PENCIL/CORD,90.00
5900444,EYE PROTECTOR,36.00
6812077,EYE-STREAM SOLUTION,42.00
9019991,F R ALS LEVEL 1 EMERGENCY,435.00
9019992,F R ALS LEVEL 2,628.00
9019990,F R ALS LVL 1 NON EMERGENCY,276.00
9019995,F R BLS EMERGENCY,366.00
9019994,F R BLS NON EMERGENCY,230.00
9019999,F R LVL 3 EMERGENCY,402.00
9019998,F R LVL 3 NONEMERGENCY,252.00
9019996,F R NO TRANSPORT CHARGE,57.00
9019989,F R NON-COVERED MILES,13.00
9019997,F R PREMIUM MILAGE,13.00
9019993,F R SPECIALITY CARE TRANSPORT,742.00
5800529,F.B.REMOVAL ASSIST<15 MIN,165.00
7000979,F.L.M.-AMNIOTIC CREATININE,24.00
7000995,F.L.M.-L/S RATIO,107.00
7000987,F.L.M.-PHOS. GLYCEROL,84.00
5510037,FACE MASK-SHOULDER POSITIONER,101.00
7036585,FACTOR IX,148.00
7001068,FACTOR V,119.00
7004659,FACTOR V LEIDEN MUTATION,158.00
7036577,FACTOR VII,148.00
7001431,FACTOR VIII,82.00
7036593,FACTOR X,148.00
7036718,FACTOR XI,148.00
7036726,FACTOR XII,148.00
5526918,FALOPE RING KIT,393.00
6820310,FAMOTIDINE 40MG/4ML INJECTION,14.00
6816144,FAMVIR 250MG,25.00
7043805,FASTING GLUCOSE,26.00
6804082,FAT EMULSION 10% 500 ML,217.00
7022809,FEBRILE GROUP,79.00
7001225,"FECAL FAT STAIN, QUAL.",24.00
7015865,FECAL LACTOFERRIN,81.00
7049109,FECAL REDUCING SUBSTANCE,57.00
5511407,FEED TUBE,192.00
6806194,FELBATOL 400 MG,5.00
6806202,FELBATOL 600 MG,5.00
6806210,FELDENE 20 MG,9.00
6818413,FENOFIBRATE 160MG TAB,47.00
6818462,FENOFIBRATE 54 MG TAB,8.00
6819460,FENTANYL 1000MCG/20ML VIAL,11.00
6818355,FENTANYL 12MCG/HR PATCH,58.00
6806228,FER IN SOL 50 ML,27.00
6806236,FERGON,4.00
6806244,FERO-FOLIC-500,4.00
6800505,FERRIC CARBOXYMALTOSE 750MG,"2,205.00"
7019508,FERRITIN,77.00
6817282,FERRLECIT 62.5 MG INJ,25.00
6806269,FERROUS SULFATE 325 MG,4.00
6806277,FESO4 ELIXIR 220MG/5ML,9.00
8700049,FFS-CORPORATE,80.00
8700031,FFS-INDIVIDUAL,101.00
6806285,FIBERCON,4.00
5534227,FIBERSTICK SUTURE,184.00
7004500,FIBRIN DEGRAD PROD,60.00
7005606,FIBRINOGEN,42.00
5013305,"FILTER, KIDNEY STONE",22.00
6908651,FILTERED SM. VOL. NEB.,28.00
7013709,FINE NEEDLE ASPIRATION,303.00
9421173,FINGER CRUTCH,12.00
9421181,FINGER RUBBER PADS,6.00
9421876,FINGER SLEEVE,25.00
5800421,FINGER SPLINT,52.00
9400164,FINGER SPLINT DYAMIC,119.00
9400151,FINGER SPLINT DYNAMIC,119.00
7100282,FINGER SPLINT DYNAMIC,119.00
7100831,FINGER SPLINT DYNAMIC,119.00
7100290,FINGER SPLINT STATIC,107.00
9400187,FINGER SPLINT STATIC,107.00
9400144,FINGER SPLINT STATIC,107.00
6806293,FIORICET,4.00
6806301,FIORINAL CAPS,5.00
6806319,FIORINAL W/COD #3,7.00
