DRG Code,BAPTIST MEDICAL CENTER,MISSION TRAIL BAPTIST HOSPITAL,NORTH CENTRAL BAPTIST HOSPITAL,NORTHEAST BAPTIST HOSPITAL,SAINT LUKE'S HOSPITAL
543 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W CC," $45,172 "," $33,916 "," $68,537 "," $53,774 "," $40,677 "
544 - PATHOLOGICAL FRACTURES & MUSCULOSKELET & CONN TISS MALIG W/O CC/MCC, $- , $- ," $40,987 "," $36,742 "," $34,654 "
545 - CONNECTIVE TISSUE DISORDERS W MCC," $118,761 "," $131,432 "," $77,714 ", $- , $- 
546 - CONNECTIVE TISSUE DISORDERS W CC," $76,608 ", $- ," $85,234 "," $85,167 "," $41,716 "
547 - CONNECTIVE TISSUE DISORDERS W/O CC/MCC," $39,537 ", $- , $- ," $30,626 ", $- 
548 - SEPTIC ARTHRITIS W MCC," $97,085 ", $- , $- , $- , $- 
549 - SEPTIC ARTHRITIS W CC," $55,631 "," $117,219 ", $- ," $64,457 ", $- 
550 - SEPTIC ARTHRITIS W/O CC/MCC," $18,994 ", $- ," $28,301 ", $- , $- 
551 - MEDICAL BACK PROBLEMS W MCC," $62,623 ", $- ," $73,481 "," $98,743 "," $46,490 "
552 - MEDICAL BACK PROBLEMS W/O MCC," $51,747 "," $42,741 "," $45,138 "," $38,290 "," $39,036 "
553 - BONE DISEASES & ARTHROPATHIES W MCC, $- ," $10,756 ", $- , $- ," $94,340 "
554 - BONE DISEASES & ARTHROPATHIES W/O MCC," $39,923 "," $64,799 "," $43,796 "," $45,328 "," $30,325 "
555 - SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W MCC, $- ," $51,255 ", $- ," $8,406 "," $67,008 "
556 - SIGNS & SYMPTOMS OF MUSCULOSKELETAL SYSTEM & CONN TISSUE W/O MCC," $25,057 ", $- ," $35,608 "," $22,502 "," $67,792 "
"557 - TENDONITIS, MYOSITIS & BURSITIS W MCC"," $98,920 ", $- ," $137,321 "," $67,878 "," $66,914 "
"558 - TENDONITIS, MYOSITIS & BURSITIS W/O MCC"," $31,698 "," $44,196 "," $23,455 "," $33,868 "," $30,659 "
"559 - AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W MCC", $- ," $143,725 "," $30,890 "," $114,663 "," $49,185 "
"560 - AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W CC"," $60,522 ", $- ," $27,075 "," $89,094 ", $- 
"561 - AFTERCARE, MUSCULOSKELETAL SYSTEM & CONNECTIVE TISSUE W/O CC/MCC"," $90,666 "," $31,179 "," $24,003 "," $39,049 "," $6,416 "
"562 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W MCC"," $53,729 "," $42,056 "," $44,264 "," $49,044 "," $9,787 "
"563 - FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC"," $33,214 "," $39,465 "," $36,853 "," $32,831 "," $16,139 "
564 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W MCC," $93,672 "," $30,556 "," $39,963 "," $62,425 "," $53,517 "
565 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W CC," $40,634 "," $36,616 "," $33,677 "," $30,713 "," $46,459 "
566 - OTHER MUSCULOSKELETAL SYS & CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC, $- , $- ," $20,998 "," $35,325 "," $5,007 "
570 - SKIN DEBRIDEMENT W MCC," $144,693 "," $108,303 "," $75,693 "," $113,978 "," $67,210 "
571 - SKIN DEBRIDEMENT W CC," $86,629 "," $66,961 "," $129,946 "," $109,054 "," $62,551 "
572 - SKIN DEBRIDEMENT W/O CC/MCC," $86,589 "," $47,701 "," $52,805 "," $74,112 "," $25,781 "
573 - SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W MCC," $102,778 "," $360,279 ", $- ," $59,920 "," $123,869 "
574 - SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W CC," $206,785 "," $110,560 "," $90,690 "," $100,660 ", $- 
575 - SKIN GRAFT FOR SKIN ULCER OR CELLULITIS W/O CC/MCC," $174,728 ", $- ," $120,425 ", $- , $- 
576 - SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W MCC, $- , $- ," $286,319 "," $49,332 ", $- 
577 - SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W CC," $163,945 "," $84,980 ", $- ," $207,386 "," $446,479 "
578 - SKIN GRAFT EXC FOR SKIN ULCER OR CELLULITIS W/O CC/MCC," $76,532 "," $42,518 "," $109,415 "," $88,376 ", $- 
"579 - OTHER SKIN, SUBCUT TISS & BREAST PROC W MCC"," $108,921 ", $- ," $52,494 "," $100,058 "," $99,008 "
"580 - OTHER SKIN, SUBCUT TISS & BREAST PROC W CC"," $82,092 "," $52,678 "," $154,334 "," $84,353 "," $71,439 "
"581 - OTHER SKIN, SUBCUT TISS & BREAST PROC W/O CC/MCC"," $93,170 "," $57,992 "," $144,102 "," $63,983 "," $42,685 "
582 - MASTECTOMY FOR MALIGNANCY W CC/MCC," $93,442 "," $87,282 "," $88,527 ", $- ," $65,548 "
583 - MASTECTOMY FOR MALIGNANCY W/O CC/MCC," $73,514 ", $- ," $117,708 ", $- , $- 
"584 - BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W CC/MCC", $- ," $55,851 "," $344,582 ", $- , $- 
"585 - BREAST BIOPSY, LOCAL EXCISION & OTHER BREAST PROCEDURES W/O CC/MCC"," $146,122 "," $89,411 "," $164,610 "," $105,937 ", $- 
592 - SKIN ULCERS W MCC," $25,598 ", $- ," $43,859 "," $40,939 "," $63,873 "
593 - SKIN ULCERS W CC," $57,512 "," $29,056 "," $24,971 "," $61,541 "," $62,929 "
594 - SKIN ULCERS W/O CC/MCC, $- , $- , $- , $- , $- 
595 - MAJOR SKIN DISORDERS W MCC, $- , $- , $- , $- , $- 
596 - MAJOR SKIN DISORDERS W/O MCC," $32,676 ", $- ," $23,033 ", $- ," $21,988 "
597 - MALIGNANT BREAST DISORDERS W MCC, $- , $- , $- , $- ," $95,000 "
598 - MALIGNANT BREAST DISORDERS W CC," $79,804 "," $83,184 "," $55,988 "," $36,323 "," $14,291 "
599 - MALIGNANT BREAST DISORDERS W/O CC/MCC," $47,175 ", $- , $- , $- ," $5,130 "
600 - NON-MALIGNANT BREAST DISORDERS W CC/MCC," $16,707 ", $- ," $18,152 "," $42,010 ", $- 
601 - NON-MALIGNANT BREAST DISORDERS W/O CC/MCC," $18,315 "," $24,094 "," $24,798 "," $27,732 "," $16,913 "
602 - CELLULITIS W MCC," $51,272 "," $38,010 "," $84,712 "," $88,100 "," $70,657 "
603 - CELLULITIS W/O MCC," $30,839 "," $30,061 "," $25,348 "," $36,035 "," $28,442 "
"604 - TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W MCC", $- ," $41,758 "," $72,262 ", $- , $- 
"605 - TRAUMA TO THE SKIN, SUBCUT TISS & BREAST W/O MCC"," $29,978 "," $21,929 "," $31,588 "," $29,486 "," $19,376 "
606 - MINOR SKIN DISORDERS W MCC, $- , $- ," $28,314 "," $54,123 "," $21,280 "
607 - MINOR SKIN DISORDERS W/O MCC," $60,581 "," $44,660 "," $9,259 "," $37,520 "," $18,542 "
614 - ADRENAL & PITUITARY PROCEDURES W CC/MCC, $- , $- , $- , $- ," $150,786 "
615 - ADRENAL & PITUITARY PROCEDURES W/O CC/MCC," $104,853 ", $- , $- ," $82,475 "," $107,936 "
"616 - AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W MCC"," $239,803 "," $100,594 "," $278,669 "," $89,032 ", $- 
"617 - AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W CC"," $141,169 "," $106,881 "," $125,834 "," $87,528 "," $99,153 "
"618 - AMPUTAT OF LOWER LIMB FOR ENDOCRINE,NUTRIT,& METABOL DIS W/O CC/MCC", $- , $- , $- ," $72,819 ", $- 
619 - O.R. PROCEDURES FOR OBESITY W MCC, $- , $- , $- , $- ," $468,095 "
620 - O.R. PROCEDURES FOR OBESITY W CC, $- ," $130,327 "," $104,146 "," $118,896 ", $- 
621 - O.R. PROCEDURES FOR OBESITY W/O CC/MCC," $86,184 "," $84,290 "," $89,155 "," $82,344 ", $- 
"622 - SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W MCC"," $203,051 "," $122,657 "," $91,579 "," $129,826 ", $- 
"623 - SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W CC"," $120,974 "," $76,486 "," $30,442 "," $101,911 "," $57,949 "
"624 - SKIN GRAFTS & WOUND DEBRID FOR ENDOC, NUTRIT & METAB DIS W/O CC/MCC", $- , $- , $- ," $85,503 ", $- 
"625 - THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W MCC"," $96,280 ", $- , $- , $- ," $96,269 "
"626 - THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W CC"," $82,593 ", $- , $- ," $90,520 "," $98,888 "
"627 - THYROID, PARATHYROID & THYROGLOSSAL PROCEDURES W/O CC/MCC"," $74,295 ", $- ," $87,490 "," $80,638 "," $71,410 "
"628 - OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W MCC"," $226,114 "," $144,645 "," $188,012 "," $90,218 "," $106,226 "
"629 - OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W CC"," $133,283 "," $127,779 "," $140,098 "," $102,734 "," $103,412 "
"630 - OTHER ENDOCRINE, NUTRIT & METAB O.R. PROC W/O CC/MCC"," $94,381 ", $- , $- , $- ," $46,707 "
637 - DIABETES W MCC," $56,967 "," $77,324 "," $57,680 "," $67,962 "," $112,250 "
638 - DIABETES W CC," $40,137 "," $45,254 "," $32,306 "," $41,981 "," $42,739 "
639 - DIABETES W/O CC/MCC," $32,165 "," $36,605 "," $25,824 "," $34,061 "," $38,773 "
"640 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC"," $45,911 "," $39,391 "," $59,067 "," $49,726 "," $40,907 "
"641 - MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC"," $37,702 "," $35,123 "," $28,595 "," $39,659 "," $35,700 "
642 - INBORN AND OTHER DISORDERS OF METABOLISM, $- , $- ," $49,722 ", $- ," $21,488 "
643 - ENDOCRINE DISORDERS W MCC," $66,247 "," $100,040 "," $98,745 "," $45,632 ", $- 
644 - ENDOCRINE DISORDERS W CC," $56,880 "," $29,851 "," $41,200 "," $52,418 "," $59,650 "
645 - ENDOCRINE DISORDERS W/O CC/MCC," $51,141 "," $38,361 "," $51,041 "," $22,450 "," $19,612 "
652 - KIDNEY TRANSPLANT, $- , $- , $- , $- , $- 
653 - MAJOR BLADDER PROCEDURES W MCC, $- , $- ," $177,174 ", $- , $- 
654 - MAJOR BLADDER PROCEDURES W CC," $142,922 ", $- , $- , $- , $- 
655 - MAJOR BLADDER PROCEDURES W/O CC/MCC," $85,072 ", $- ," $166,961 ", $- , $- 
656 - KIDNEY & URETER PROCEDURES FOR NEOPLASM W MCC, $- , $- ," $207,438 "," $233,490 "," $111,251 "
657 - KIDNEY & URETER PROCEDURES FOR NEOPLASM W CC," $98,698 ", $- ," $140,729 "," $114,583 ", $- 
658 - KIDNEY & URETER PROCEDURES FOR NEOPLASM W/O CC/MCC," $91,071 ", $- ," $87,105 "," $46,601 "," $96,533 "
659 - KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W MCC," $191,790 "," $122,387 "," $96,414 "," $193,070 "," $241,539 "
660 - KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W CC," $122,066 "," $85,858 "," $65,761 "," $86,794 "," $82,068 "
661 - KIDNEY & URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC," $47,482 "," $85,022 "," $70,580 "," $49,225 "," $77,013 "
662 - MINOR BLADDER PROCEDURES W MCC, $- , $- , $- , $- , $- 
663 - MINOR BLADDER PROCEDURES W CC, $- , $- , $- , $- , $- 
664 - MINOR BLADDER PROCEDURES W/O CC/MCC, $- , $- , $- , $- , $- 
665 - PROSTATECTOMY W MCC, $- , $- , $- ," $104,446 ", $- 
666 - PROSTATECTOMY W CC," $101,174 ", $- , $- , $- , $- 
667 - PROSTATECTOMY W/O CC/MCC, $- , $- , $- , $- , $- 
668 - TRANSURETHRAL PROCEDURES W MCC, $- ," $92,386 "," $254,734 ", $- ," $114,703 "
669 - TRANSURETHRAL PROCEDURES W CC," $111,439 ", $- ," $70,312 "," $79,845 "," $57,704 "
670 - TRANSURETHRAL PROCEDURES W/O CC/MCC," $57,932 ", $- ," $57,907 "," $49,578 "," $67,045 "
671 - URETHRAL PROCEDURES W CC/MCC, $- , $- , $- , $- , $- 
672 - URETHRAL PROCEDURES W/O CC/MCC, $- , $- , $- , $- ," $72,308 "
673 - OTHER KIDNEY & URINARY TRACT PROCEDURES W MCC," $180,055 "," $156,224 "," $132,835 "," $123,601 "," $81,872 "
674 - OTHER KIDNEY & URINARY TRACT PROCEDURES W CC," $122,812 "," $121,695 "," $98,294 "," $67,450 "," $92,084 "
675 - OTHER KIDNEY & URINARY TRACT PROCEDURES W/O CC/MCC," $191,043 ", $- , $- ," $146,604 ", $- 
682 - RENAL FAILURE W MCC," $68,100 "," $61,997 "," $51,164 "," $61,982 "," $62,636 "
683 - RENAL FAILURE W CC," $50,170 "," $42,899 "," $39,542 "," $49,332 "," $39,756 "
684 - RENAL FAILURE W/O CC/MCC," $26,353 "," $26,667 "," $29,970 "," $30,987 "," $34,501 "
685 - ADMIT FOR RENAL DIALYSIS, $- , $- , $- , $- , $- 
686 - KIDNEY & URINARY TRACT NEOPLASMS W MCC, $- ," $92,859 "," $99,298 ", $- , $- 
687 - KIDNEY & URINARY TRACT NEOPLASMS W CC," $62,481 ", $- ," $79,480 ", $- ," $62,163 "
688 - KIDNEY & URINARY TRACT NEOPLASMS W/O CC/MCC," $67,014 ", $- , $- , $- ," $3,456 "
689 - KIDNEY & URINARY TRACT INFECTIONS W MCC," $44,958 "," $84,787 "," $45,877 "," $54,221 "," $54,330 "
690 - KIDNEY & URINARY TRACT INFECTIONS W/O MCC," $39,601 "," $36,839 "," $30,279 "," $41,084 "," $32,819 "
691 - URINARY STONES W ESW LITHOTRIPSY W CC/MCC, $- , $- ," $42,987 ", $- , $- 
692 - URINARY STONES W ESW LITHOTRIPSY W/O CC/MCC, $- , $- , $- , $- , $- 
693 - URINARY STONES W/O ESW LITHOTRIPSY W MCC, $- , $- ," $65,470 ", $- , $- 
694 - URINARY STONES W/O ESW LITHOTRIPSY W/O MCC," $38,951 "," $39,850 "," $40,154 "," $45,236 "," $37,869 "
695 - KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W MCC, $- , $- , $- , $- , $- 
696 - KIDNEY & URINARY TRACT SIGNS & SYMPTOMS W/O MCC," $26,391 "," $17,164 "," $31,198 "," $25,189 "," $12,984 "
697 - URETHRAL STRICTURE," $24,553 ", $- , $- ," $5,240 ", $- 
698 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC," $69,707 "," $75,686 "," $75,120 "," $78,419 "," $69,697 "
699 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC," $54,882 "," $83,035 "," $38,336 "," $43,218 "," $49,762 "
700 - OTHER KIDNEY & URINARY TRACT DIAGNOSES W/O CC/MCC," $44,163 ", $- ," $22,783 "," $25,234 "," $68,022 "
707 - MAJOR MALE PELVIC PROCEDURES W CC/MCC, $- , $- ," $99,960 ", $- ," $103,863 "
708 - MAJOR MALE PELVIC PROCEDURES W/O CC/MCC, $- ," $118,932 "," $87,830 ", $- ," $101,789 "
709 - PENIS PROCEDURES W CC/MCC, $- , $- , $- , $- , $- 
710 - PENIS PROCEDURES W/O CC/MCC, $- , $- , $- , $- ," $90,922 "
711 - TESTES PROCEDURES W CC/MCC," $89,510 "," $68,237 "," $57,490 ", $- ," $45,002 "
712 - TESTES PROCEDURES W/O CC/MCC, $- , $- , $- , $- ," $46,600 "
713 - TRANSURETHRAL PROSTATECTOMY W CC/MCC, $- , $- ," $98,828 "," $68,127 "," $69,723 "
714 - TRANSURETHRAL PROSTATECTOMY W/O CC/MCC, $- , $- , $- ," $64,161 ", $- 
715 - OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC FOR MALIGNANCY W CC/MCC, $- , $- ," $141,922 ", $- , $- 
716 - OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC FOR MALIGNANCY W/O CC/MCC, $- , $- , $- , $- , $- 
717 - OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W CC/MCC, $- , $- , $- , $- , $- 
718 - OTHER MALE REPRODUCTIVE SYSTEM O.R. PROC EXC MALIGNANCY W/O CC/MCC, $- , $- , $- ," $50,088 ", $- 
"722 - MALIGNANCY, MALE REPRODUCTIVE SYSTEM W MCC", $- , $- ," $72,739 ", $- , $- 
"723 - MALIGNANCY, MALE REPRODUCTIVE SYSTEM W CC"," $42,428 "," $5,429 "," $78,173 "," $44,140 "," $39,181 "
"724 - MALIGNANCY, MALE REPRODUCTIVE SYSTEM W/O CC/MCC", $- , $- , $- , $- ," $38,156 "
725 - BENIGN PROSTATIC HYPERTROPHY W MCC, $- , $- , $- , $- , $- 
726 - BENIGN PROSTATIC HYPERTROPHY W/O MCC," $15,650 ", $- ," $13,895 ", $- ," $20,155 "
727 - INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W MCC," $44,164 ", $- , $- ," $71,005 ", $- 
728 - INFLAMMATION OF THE MALE REPRODUCTIVE SYSTEM W/O MCC," $40,005 "," $45,364 "," $31,225 "," $47,371 "," $38,772 "
729 - OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W CC/MCC, $- ," $77,763 "," $60,391 ", $- , $- 
730 - OTHER MALE REPRODUCTIVE SYSTEM DIAGNOSES W/O CC/MCC, $- , $- ," $8,628 ", $- , $- 
"734 - PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W CC/MCC", $- , $- ," $73,296 ", $- , $- 
"735 - PELVIC EVISCERATION, RAD HYSTERECTOMY & RAD VULVECTOMY W/O CC/MCC", $- , $- ," $107,303 ", $- ," $93,370 "
736 - UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W MCC, $- , $- , $- , $- , $- 
737 - UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W CC, $- , $- ," $107,021 ", $- , $- 
738 - UTERINE & ADNEXA PROC FOR OVARIAN OR ADNEXAL MALIGNANCY W/O CC/MCC, $- , $- , $- , $- , $- 
"739 - UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W MCC", $- , $- , $- , $- , $- 
"740 - UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W CC", $- , $- ," $96,044 ", $- ," $57,831 "
"741 - UTERINE,ADNEXA PROC FOR NON-OVARIAN/ADNEXAL MALIG W/O CC/MCC", $- , $- ," $87,955 ", $- , $- 
742 - UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W CC/MCC," $90,261 "," $87,213 "," $111,350 "," $123,368 "," $99,652 "
743 - UTERINE & ADNEXA PROC FOR NON-MALIGNANCY W/O CC/MCC," $80,470 "," $73,418 "," $67,696 "," $66,695 "," $71,561 "
"744 - D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W CC/MCC"," $84,123 "," $67,725 "," $74,365 "," $104,165 "," $67,501 "
"745 - D&C, CONIZATION, LAPAROSCOPY & TUBAL INTERRUPTION W/O CC/MCC"," $62,776 "," $56,265 "," $73,862 ", $- , $- 
"746 - VAGINA, CERVIX & VULVA PROCEDURES W CC/MCC"," $45,385 "," $61,314 "," $80,917 "," $42,785 "," $214,796 "
"747 - VAGINA, CERVIX & VULVA PROCEDURES W/O CC/MCC"," $8,586 ", $- ," $65,319 ", $- , $- 
748 - FEMALE REPRODUCTIVE SYSTEM RECONSTRUCTIVE PROCEDURES," $55,660 ", $- ," $96,198 ", $- ," $54,370 "
749 - OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W CC/MCC," $172,531 ", $- ," $138,005 "," $43,757 ", $- 
750 - OTHER FEMALE REPRODUCTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC, $- , $- , $- ," $82,445 "," $82,873 "
"754 - MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W MCC"," $35,721 ", $- ," $91,393 ", $- , $- 
"755 - MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W CC"," $60,165 "," $40,865 "," $62,483 ", $- ," $78,428 "
"756 - MALIGNANCY, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC", $- , $- , $- , $- , $- 
"757 - INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W MCC", $- ," $42,802 "," $74,656 ", $- ," $46,076 "
"758 - INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W CC"," $32,822 ", $- ," $31,091 ", $- ," $27,225 "
"759 - INFECTIONS, FEMALE REPRODUCTIVE SYSTEM W/O CC/MCC"," $26,243 "," $55,040 "," $22,086 "," $28,233 "," $14,657 "
760 - MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W CC/MCC," $25,430 "," $49,699 "," $44,368 "," $38,021 "," $7,623 "
761 - MENSTRUAL & OTHER FEMALE REPRODUCTIVE SYSTEM DISORDERS W/O CC/MCC," $33,967 "," $22,082 "," $48,008 "," $29,826 "," $43,406 "
765 - CESAREAN SECTION W CC/MCC," $47,072 ", $- ," $39,853 "," $41,970 "," $40,099 "
766 - CESAREAN SECTION W/O CC/MCC," $38,239 ", $- ," $31,866 "," $33,309 "," $33,902 "
767 - VAGINAL DELIVERY W STERILIZATION &/OR D&C," $53,510 ", $- ," $26,760 "," $54,638 "," $32,403 "
768 - VAGINAL DELIVERY W O.R. PROC EXCEPT STERIL &/OR D&C," $20,541 ", $- ," $28,335 "," $33,330 "," $24,896 "
769 - POSTPARTUM & POST ABORTION DIAGNOSES W O.R. PROCEDURE," $65,752 ", $- ," $65,700 "," $110,629 "," $56,445 "
"770 - ABORTION W D&C, ASPIRATION CURETTAGE OR HYSTEROTOMY"," $48,030 "," $114,639 "," $37,711 ", $- ," $26,855 "
774 - VAGINAL DELIVERY W COMPLICATING DIAGNOSES," $28,639 ", $- ," $25,422 "," $27,462 "," $25,745 "
775 - VAGINAL DELIVERY W/O COMPLICATING DIAGNOSES," $24,456 ", $- ," $20,736 "," $20,697 "," $20,319 "
776 - POSTPARTUM & POST ABORTION DIAGNOSES W/O O.R. PROCEDURE," $25,237 "," $36,024 "," $23,480 "," $38,705 "," $31,582 "
777 - ECTOPIC PREGNANCY," $58,014 ", $- ," $112,869 "," $57,044 "," $72,323 "
778 - THREATENED ABORTION," $29,787 ", $- ," $11,224 "," $28,414 "," $18,613 "
779 - ABORTION W/O D&C," $31,948 "," $46,391 "," $26,756 "," $15,825 "," $20,870 "
780 - FALSE LABOR," $14,911 ", $- ," $7,841 "," $15,854 "," $13,402 "
781 - OTHER ANTEPARTUM DIAGNOSES W MEDICAL COMPLICATIONS," $23,885 "," $32,653 "," $22,836 "," $26,519 "," $21,606 "
782 - OTHER ANTEPARTUM DIAGNOSES W/O MEDICAL COMPLICATIONS," $15,834 ", $- ," $10,496 "," $21,845 "," $25,602 "
783 - CESAREAN SECTION W STERILIZATION W MCC," $51,927 ", $- ," $37,270 "," $22,842 "," $67,254 "
784 - CESAREAN SECTION W STERILIZATION W CC," $38,504 ", $- ," $33,661 "," $10,355 "," $31,033 "
785 - CESAREAN SECTION W STERILIZATION W/O CC/MCC," $35,499 ", $- ," $27,483 "," $24,873 "," $29,302 "
786 - CESAREAN SECTION W/O STERILIZATION W MCC," $47,839 ", $- ," $49,943 "," $49,212 "," $38,442 "
787 - CESAREAN SECTION W/O STERILIZATION W CC," $53,369 ", $- ," $37,814 "," $57,547 "," $39,050 "
788 - CESAREAN SECTION W/O STERILIZATION W/O CC/MCC," $39,504 ", $- ," $29,067 "," $34,080 "," $33,604 "
"789 - NEONATES, DIED OR TRANSFERRED TO ANOTHER ACUTE CARE FACILITY"," $21,329 ", $- ," $93,699 ", $- ," $130,322 "
"790 - EXTREME IMMATURITY OR RESPIRATORY DISTRESS SYNDROME, NEONATE"," $183,491 ", $- ," $351,241 "," $254,883 "," $432,328 "
791 - PREMATURITY W MAJOR PROBLEMS," $113,434 ", $- ," $155,474 "," $103,495 "," $240,699 "
792 - PREMATURITY W/O MAJOR PROBLEMS," $127,881 ", $- ," $89,319 "," $76,034 "," $142,342 "
793 - FULL TERM NEONATE W MAJOR PROBLEMS," $129,193 ", $- ," $74,689 "," $57,061 "," $108,966 "
794 - NEONATE W OTHER SIGNIFICANT PROBLEMS," $61,005 ", $- ," $44,204 "," $51,366 "," $79,391 "
795 - NORMAL NEWBORN," $154,441 ", $- ," $91,102 "," $201,150 "," $533,419 "
796 - VAGINAL DELIVERY W STERILIZATION/D&C W MCC, $- , $- , $- , $- , $- 
797 - VAGINAL DELIVERY W STERILIZATION/D&C W CC," $53,969 ", $- ," $40,846 "," $26,158 ", $- 
798 - VAGINAL DELIVERY W STERILIZATION/D&C WO CC/MCC, $- , $- ," $55,066 ", $- , $- 
799 - SPLENECTOMY W MCC," $198,251 ", $- ," $187,928 ", $- , $- 
800 - SPLENECTOMY W CC, $- , $- , $- ," $216,585 ", $- 
801 - SPLENECTOMY W/O CC/MCC, $- , $- , $- , $- , $- 
802 - OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W MCC," $168,568 ", $- , $- , $- , $- 
803 - OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W CC," $163,875 "," $89,258 "," $65,526 ", $- , $- 
804 - OTHER O.R. PROC OF THE BLOOD & BLOOD FORMING ORGANS W/O CC/MCC, $- , $- , $- ," $96,617 "," $86,445 "
805 - VAGINAL DELIVERY W/O STERILIZATION/D&C W MCC," $33,266 ", $- ," $20,846 "," $20,194 "," $26,387 "
806 - VAGINAL DELIVERY W/O STERILIZATION/D&C W CC," $30,106 ", $- ," $20,173 "," $18,443 "," $24,531 "
807 - VAGINAL DELIVERY W/O STERILIZATION/D&C W/O CC/MCC," $22,413 ", $- ," $20,105 "," $21,876 "," $20,242 "
808 - MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W MCC," $52,513 ", $- ," $66,340 "," $131,118 "," $68,139 "
809 - MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W CC," $43,844 "," $71,097 "," $36,536 "," $59,975 "," $21,598 "
810 - MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS & COAGUL W/O CC/MCC," $51,163 "," $22,687 "," $89,722 "," $27,776 "," $23,836 "
811 - RED BLOOD CELL DISORDERS W MCC," $82,372 "," $76,935 "," $58,285 "," $44,596 "," $64,801 "
812 - RED BLOOD CELL DISORDERS W/O MCC," $33,411 "," $42,816 "," $37,721 "," $42,211 "," $31,045 "
813 - COAGULATION DISORDERS," $58,411 "," $74,134 "," $50,415 "," $140,637 "," $69,538 "
814 - RETICULOENDOTHELIAL & IMMUNITY DISORDERS W MCC," $23,085 ", $- ," $157,339 ", $- , $- 
815 - RETICULOENDOTHELIAL & IMMUNITY DISORDERS W CC," $48,945 "," $136,059 "," $43,322 "," $64,292 ", $- 
