Bayhealth Medical Center ,,,
Kent General Hospital,,,
,,,
Charge Code,Charge Description,Charge,**Charge is variable and based on type of drug / supply and variabe cost
30100178,HC HT STBL ALKALINE PHOSPHATASE, $46.00 ,
30100179,HC CARB DEFICIENT TRANSRERRIN, $178.00 ,
30100180,HC ASSAY OF THYROXINE BINDING GLOBULIN, $89.00 ,
30100181,HC DRUG SCREEN QUANTITATIVE MYCOPHENOLATE, $87.00 ,
30100182,HC LACTOFERRIN FECAL QUANTITATIVE, $118.00 ,
30100183,HC DRUG SCRN QUANT OXCARBAZEPIN, $64.00 ,
30100184,HC ANTIEPILEPTICS NOS 1-3, $145.00 ,
30100185,HC DEOXYCORTISOL 11-, $176.00 ,
30100186,HC DESOXYCORTICOSTERONE 11-, $186.00 ,
30100187,HC DRUG SCREEN QUANTITATIVE ZONISAMIDE, $57.00 ,
30100188,HC DRUG SCREEN QUANT TIAGABINE, $161.00 ,
30100189,HC DRUG SCREENING HEROIN METABOLITE, $416.00 ,
30100190,HC CORTICOSTERONE, $101.00 ,
30100191,HC FAT/LIPIDS FECES QUANTITATIVE, $76.00 ,
30100192,HC LACTOFERRIN FECAL (QUAL), $88.00 ,
30100193,HC AFP-L3 FRACTION ISOFORM & TOTAL AFP W/RATIO, $239.00 ,
30200000,HC HLA I TYPING COMPLETE LR, $328.00 ,
30200001,HC ALLERGEN SPECIFIC IGE, $125.00 ,
30200002,HC C-REACTIVE PROTEIN, $64.00 ,
30200003,HC COMPLEMENT ANTIGEN, $138.00 ,
30200004,HC COMPLEMENT /FUNCTION ACTIVITY, $185.00 ,
30200005,HC FLUORESCENT ANTIBODY SCREEN, $224.00 ,
30200006,HC HETEROPHILE ANTIBODY SCREEN, $134.00 ,
30200007,HC IMMUNODIFFUSION OUCHTERLONY QUALITATIVE, $59.00 ,
30200008,HC RHEUMATOID FACTOR TEST QUANT, $69.50 ,
30200009,HC SYPHILIS TEST NON-TREPONEMAL ANTIBODY QUALITATIVE, $104.00 ,
30200010,HC SYPHILIS TEST NON-TREPONEMAL ANTIBODY QUANTITATIVE, $178.00 ,
30200011,HC ASPERGILLUS ANTIBODY, $163.00 ,
30200012,HC BLASTOMYCES ANTIBODY, $163.00 ,
30200013,HC LYME DISEASE ANTIBODY, $163.00 ,
30200014,HC HIV-1 AB CONF BY WESTERN BLOT, $335.00 ,
30200015,HC HIV-1ANTIBODY, $131.00 ,
30200016,HC HEPATITIS A TOTAL ANTIBODY, $185.00 ,
30200017,HC NOCARDIA ANTIBODY, $64.00 ,
30200018,HC RUBELLA ANTIBODY, $151.50 ,
30200019,HC HEP C AB TEST CONFIRM, $398.00 ,
30200020,"HC HLA TYPING A B OR C, SINGLE", $281.00 ,
30200021,HC RBC ANTIBODY SCREEN, $107.00 ,
30200022,HC RBC PRETREATMENT SERUM, $157.00 ,
30200023,HC ANTISTREPTOLYSIN O TITER, $86.00 ,
30200024,HC TB AG RESPONSE T-CELL SUSP, $381.00 ,
30200025,HC CELLULAR FUNCTION ASSAY STIMUL&DETECT BIOMARKER, $888.00 ,
30200026,HC ANTIBODY SALMONELLA, $86.00 ,
30200027,HC DNA ANTIBODY SINGLE STRANDED, $79.00 ,
30200028,"HC NEUTRALIZATION TEST, VIRAL", $111.00 ,
30200029,HC ALLERGEN SPECIFIC IGG QUAN/SEMIQUAN EA ALLERGEN, $34.00 ,
30200030,HC BRUCELLA ANTIBODIES, $143.00 ,
30200031,HC ANTIBODY YERSINIA, $57.00 ,
30200032,"HC SERUM INCUBATION WITH INHIBITORS, EACH", $399.00 ,
30200033,HC AB; LEISHMANIA, $125.00 ,
30200034,"HC LEGIONELLA PNEUMOPHILA ANTIBODY (IGG), IFA", $95.00 ,
30200035,HC ANTIBODY JOHN CUNNINGHAM VIRUS, $90.00 ,
30200036,HC PARTICLE AGGLUTINATION TITER EACH ANTIBODY, $66.00 ,
30200037,HC ANTINUCLEAR AB (ANA); TITER, $70.00 ,
30200038,HC JOHN CUNNINGHAM ANTIBODY, $90.00 ,
30200039,HC ALLERGEN SPEC IGE RECOMBINANT/PURIFIED COMPNT EA, $80.00 ,
30200040,HC ANTIBODY IDENTIFICATION PLATELET IMMUNOGL ASSAY, $56.00 ,
30200041,HC IMMUNODIFFUSION NOT ELSEWHERE SPECIFIED, $104.00 ,
30200042,HC MONONUCLEAR CELL ANTIGEN QUANTITATIVE NOS EA, $120.00 ,
30200043,HC ANTIBODY; RESPIRATORY SYNCYTIAL VIRUS, $58.00 ,
30500000,HC CBC MANUAL DIFF, $63.00 ,
30500001,HC HEMATOCRIT, $30.00 ,
30500002,HC HEMOGLOBIN, $29.00 ,
30500003,HC COMPLETE CBC WITH DIFF, $125.00 ,
30500004,HC COMPLETE CBC WITHOUT DIFF, $59.00 ,
30500005,HC RETICULOCYTE COUNT, $49.00 ,
30500006,HC AUTOMATED LEUKOCYTE COUNT, $29.00 ,
30500007,HC PLATELET COUNT, $70.00 ,
30500008,HC CLOT FACTOR VIII AHG 1 STAGE, $337.00 ,
30500009,HC CLOT INHIBIT PROTEIN C ACTIVITY, $275.00 ,
30500010,HC FIBRIN DEGRADATION QUANT, $244.00 ,
30500011,HC FIBRINOGEN ACTIVITY, $89.50 ,
30500012,HC HEMOGLOBIN FETAL; DIFFERENTIAL LYSIS, $80.00 ,
30500013,HC PROTHROMBIN TIME, $42.50 ,
30500014,HC RBC SED RATE AUTOMATED, $33.00 ,
30500015,HC RBC SICKLE CELL TEST, $84.00 ,
30500016,HC THROMBOPLASTIN TIME PARTIAL, $108.50 ,
30500017,"HC BLOOD SMEAR, PERIPHERAL, INTERPRET BY PHYSICIAN WITH WRITTEN REPORT", $76.00 ,
30500018,HC OSMOTIC FRAGILITY RBC; INCUBATED, $71.00 ,
30500019,HC FIBRIN DGRADJ SPLT PRODUXS AGGLUJ SLIDE SEMIQUAN, $31.00 ,
30500020,HC THROMBOPLASTIN INHIBITION TISSUE, $44.00 ,
30600000,HC SPECIMEN INFECT AGNT CONCNTJ, $61.00 ,
30600001,HC BLOOD CULTURE FOR BACTERIA, $162.00 ,
30600002,HC FECES CULTURE AEROBIC BACT, $245.00 ,
30600003,HC STOOL CULTURE AEROBIC BACTERIA EACH, $92.00 ,
30600004,HC CULTURE OTHR SPECIMN AEROBIC, $211.00 ,
30600005,HC CULTR BACTERIA EXCEPT BLOOD, $235.00 ,
30600006,HC CULTURE SCREEN ONLY, $216.00 ,
30600007,HC URINE CULTURE/COLONY COUNT, $116.00 ,
30600008,HC BLOOD FUNGUS CULTURE, $144.50 ,
30600009,HC MYCOBACTERIA CULTURE, $169.50 ,
30600010,HC MACROSCOPIC EXAM ARTHROPOD, $34.00 ,
30600011,HC PINWORM EXAM, $73.00 ,
30600012,HC MICROBE SUSCEPTIBLE DISK, $109.00 ,
30600013,HC MICROBE SUSCEPTIBLE MIC, $151.00 ,
30600014,HC SMEAR GRAM STAIN, $69.00 ,
30600015,HC SMEAR FLUORESCENT/ACID STAI, $84.00 ,
30600016,HC SMEAR SPECIAL STAIN, $246.50 ,
30600017,HC SMEAR WET MOUNT SALINE/INK, $73.00 ,
30600018,HC TISSUE EXAM FOR FUNGI, $74.00 ,
30600019,HC HISTOPLASMA CAPSUL AG EIA, $295.00 ,
30600020,HC RESP SYNCYTIAL AG EIA, $143.00 ,
30600021,"HC S. AUREUS, DNA, AMP PROBE", $185.00 ,
30600022,"HC MRSA, DNA, AMP PROBE", $185.00 ,
30600023,"HC CHG CULT SPEC, ANAERB W/ADDN METHODS", $74.00 ,
30600024,HC DETECT AGNT MULT DNA AMPLI, $491.00 ,
30600025,HC HHV-6 DNA AMP PROBE, $220.00 ,
30600026,HC STREP B DNA AMP PROBE, $220.00 ,
30600027,HC CANDIDA DNA AMP PROBE, $246.00 ,
30600028,HC GARDNER VAG DNA QUANT, $199.00 ,
30600029,HC IADNA MYCOPLSM PNEUMONIAE AMPLIFIED PROBE TQ, $211.00 ,
30600030,HC IADNA-DNA/RNA GI PTHGN MULTIPLEX PROBE TQ 12-25," $2,617.00 ",
30600031,HC CNS DNA/RNA AMP PROBE MULTIPLE SUBTYPES 12-25," $2,514.00 ",
30600032,HC IAAD IA HIV-1 AG W/HIV-1 & HIV-2 ANTBDY SINGLE, $202.00 ,
30600033,HC RESPIR PROBE & REV TRANSCRIP 6-11 TARGETS," $1,504.00 ",
30600034,HC IADNA HIV-2 AMP PROBE & REVERSE TRANSCRIPTION, $570.00 ,
30600035,HC IADNA RESPIRATRY PROBE & REV TRNSCR 12-25 TARGET," $2,934.00 ",
30600036,HC IADNA TRICHOMONAS VAGINALIS AMPLIFIED PROBE TECH, $235.00 ,
30600037,HC AGENT NOS ASSAY W/OPTIC, $74.00 ,
30600038,HC VARICELLA ZOSTER AG BY DFA, $73.00 ,
30600039,HC NOS INFECTIOUS AG BY IF, $78.00 ,
30600040,HC ENTAMOEB HIST GROUP AG IA, $788.00 ,
30600041,HC CHLAMYDIA P AMPLIF NA PROBE," $1,477.00 ",
30600042,HC PHENOTYPE INFECT AGENT DRUG, $73.00 ,
30600043,HC IADNA BARTONELLA AMPLIFIED PROBE TECHNIQUE, $213.00 ,
30600044,HC IADNA CANDIDA SPECIES DIRECT PROBE TQ, $74.00 ,
30600045,HC IADNA GARDNERELLA VAGINALIS DIRECT PROBE TQ, $74.00 ,
30600046,HC IADNA TRICHOMONAS VAGINALIS DIRECT PROBE TQ, $74.00 ,
30700000,HC URINALYSIS AUTO W/SCOPE, $68.00 ,
30700001,HC URINALYSIS AUTO W/O SCOPE, $51.00 ,
30700002,HC URINALYSIS QUAL, $16.00 ,
30700003,HC MICROSCOPIC EXAM OF URINE, $16.00 ,
30900000,HC SPECIMEN FAT STAIN, $124.00 ,
31000000,HC CYTOPATH CONCENTRATE TECHNIQUE, $151.00 ,
31000001,HC SURGICAL PATH LEVEL 1, $163.00 ,
31000002,HC SURGICAL PATH LEVEL 2, $272.00 ,
31000003,HC SURGICAL PATH LEVEL 3, $348.00 ,
31000004,HC SURGICAL PATH LEVEL 4, $374.00 ,
31000005,HC SURGICAL PATH LEVEL 5, $755.00 ,
31000006,HC SURGICAL PATH LEVEL 6," $1,220.00 ",
31000007,HC DECALCIFICATION PROCEDURE, $76.00 ,
31000008,HC SPECIAL STAIN GROUP 1, $116.00 ,
31000009,HC SPECIAL STAIN GROUP 2, $195.50 ,
31000010,HC PATH CONSULT INTROP, $145.00 ,
31000011,HC PATH CONSULT INTRAOP 1 BLOCK, $297.00 ,
31000012,HC PATH CONSULT INTRAOP ADDL, $60.00 ,
31000013,HC INTRAOP CYTO PATH CONSULT 1, $466.00 ,
31000014,HC IHC QUAL INITIAL STAIN, $247.00 ,
31000015,HC IMMUNOFLUORESCENT STUDY; DIRECT METHOD, $294.00 ,
31000016,"HC ELECTRON MICROSCOPY, DIAGNOSTIC", $581.00 ,
31000017,HC TUMOR IMMUNOHISTOCHEM/MANUAL (SENDOUT), $216.00 ,
31000018,HC TUMOR IMMUNOHISTOCHEM/COMPUTER (SENDOUT), $253.00 ,
31000019,HC XM ARCHIVE TISSUE MOLECULAR ANALYSIS, $81.00 ,
31000020,HC INSITU HYBRIDIZATION MANUAL, $784.00 ,
31000021,HC SPECIAL STAIN GROUP 1 (SENDOUT), $116.00 ,
31000022,HC SPECIAL STAIN GROUP 2 (SENDOUT), $219.00 ,
31000023,"HC CLINICAL PATH CONSULT; LTD, WO REVIEW OF A PATIENT’S HIST/MED RECORDS", $153.00 ,
31000024,HC M/PHMTRC ALYS ISH QUANT/SEMIQ MNL EACH MULTIPRB, $671.00 ,
31000025,"HC INTRAOPERATIVE CYTO PATH CONSULT, ADD SITES", $85.00 ,
31000026,HC TUMOR IMMUNOHISTOCHEM/MANUAL, $680.00 ,
31000027,HC IN SITU HYBRIDIZATION (FISH) EA ADD SINGLE PROBE, $192.00 ,
31000028,HC TRB@ REARRANGEMENT ANAL AMPLIFICATION METHOD," $1,012.00 ",
31000029,HC TRG@ GENE REARRANGEMENT ANALYSIS, $975.00 ,
31000030,HC CEBPA GENE ANALYSIS FULL GENE SEQUENCE," $1,171.00 ",
31000031,HC CALR GENE ANALYSIS COMMON VARIANTS IN EXON 9, $590.00 ,
31000032,HC FLT3 GENE ANALYSIS INTERNAL TANDEM DUP VARIANTS, $590.00 ,
31000033,HC FLT3 GENE ANLYS TYROSINE KINASE DOMAIN VARIANTS, $295.00 ,
31000034,HC KIT GENE ANALYSIS TARGETED SEQUENCE ANALYSIS," $1,171.00 ",
31000035,HC KRAS GENE ANALYSIS ADDITIONAL VARIANT(S), $701.00 ,
31000036,HC MGMT METHYLATION ANALYSIS, $295.00 ,
31000037,HC NPM1 NUCLEOPHOSMIN GENE ANAL EXON 12 VARIANTS, $877.00 ,
31000038,HC TRG@ GENE REARRANGEMENT ANALYSIS, $975.00 ,
31000039,HC MICRODISSECTION PREP IDENTIFIED TARGET LASER," $2,295.00 ",
31000040,HC BCR/ABL1 MINOR BREAKPNT QUALITATIVE/QUANTITATIVE, $701.00 ,
31000041,"HC HLA II LOW RESOLUTION ONE ANTIGEN EQUIVALENT, EACH", $519.00 ,
31000042,HC GENE REARRANGEMENT DETECTION ABNORMAL CLONAL POP, $844.00 ,
31000043,HC VKORCI GENE ANALYSIS VARIANTS, $336.00 ,
31000044,HC CYP2C9 GENE ANALYSIS COMMON VARIANTS, $725.00 ,
31000045,"HC HLA II LOW RESOLUTION ONE ATG EQUIV, EACH", $519.00 ,
31000046,HC MECP2 GENE ANALYSIS FULL SEQUENCE," $1,514.00 ",
31000047,HC INHERITED CARDMYPTHY 5 GNS," $2,857.00 ",
31000048,HC NRAS GENE ANALYSIS VARIANTS IN EXON 2&3," $1,172.00 ",
31000049,HC PDGFRA GENE ANALYS TARGETED SEQUENCE ANALYS," $1,304.00 ",
31000050,HC BRCA1&2 SEQ & FULL DUP/DEL," $9,842.00 ",
31000051,HC TARGETED GENOMIC SEQ ANALYS," $2,220.00 ",
31000052,HC MOPATH PROCEDURE LEVEL 6, $171.00 ,
31000053,HC ONCOLOGY TUM UNKNOWN ORIGIN MRNA 92 GENES," $9,727.00 ",
31000054,"HC PROSTATE BIOPSY, ANY MTHD", $970.00 ,
31000055,HC IMMUNOFLUORESCENCE PER SPEC ADD SINGL ANTB STAIN, $275.00 ,
31000056,HC SNRPN/UBE3A METHYLATION ANALYSIS, $225.00 ,
31000057,HC IDH1 COMMON VARIANTS, $580.00 ,
31000058,HC IDH2 COMMON VARIANTS, $887.00 ,
31000059,HC COMPARATIVE ANAL STR MARKERS PATIENT&COMP SPEC, $796.00 ,
31100000,HC CYTOPATH EVAL FNA REPORT, $262.00 ,
31100001,HC CYTP FNA EVAL EA ADDL, $66.00 ,
31100002,HC FLOWCYTOMETRY/READ 16 & >, $119.00 ,
31100003,HC CHROMOSOME ANALYSIS 15-20, $563.00 ,
31100004,"HC TISSUE CULTURE, LYMPHOCYTE", $586.00 ,
31100005,HC CHRMSM ANALYSIS ADDL HIGH RESOLUTION STUDY, $173.00 ,
31100006,HC CYTP URNE 3-5 PROBES EA SPEC, $793.00 ,
31100007,HC MOLECULAR CYTOGENETICS CHRMOML ISH 10-30 CLL, $231.00 ,
31100008,HC CYTP C/V AUTO THIN LYR PREPJ SCR MNL RESCR PHYS, $200.00 ,
31900000,HC FLOWCYTOMETRY/READ 16 & >, $110.00 ,
32000000,HC PERCUTANEOUS NDL BX LUNG/MEDIASTINUM," $2,186.00 ",
32000001,HC THOROCENTESIS W CATH /GUIDANCE," $1,401.00 ",
32000002,HC SC LUNG UNLISTED," $1,010.00 ",
32000003,HC AV DIALYSIS SHUNT," $2,241.00 ",
32000004,HC NEEDLE BIOPSY OF LIVER," $2,186.00 ",
32000005,HC RENAL BIOPSY PERCUTANEOUS," $2,186.00 ",
32000006,HC INJ FORAMEN EPIDURAL C/T," $1,933.00 ",
32000007,HC INJ FORAMEN EPIDURAL; CERVICAL OR THORACIC ADD-ON," $1,548.00 ",
32000008,HC INJ FORAMEN EPIDURAL L/S," $1,933.00 ",
32000009,HC CISTERNOGRAPHY, $882.00 ,
32000010,HC EYE DETECTION (FB), $321.00 ,
32000011,HC MANDIBLE <4 VIEWS, $231.00 ,
32000012,HC MANDIBLE-MIN 4 VIEWS, $262.00 ,
32000013,HC MASTOIDS-MIN 3 VIEWS, $231.00 ,
32000014,HC FACIAL BONES-<3 VIEWS, $300.00 ,
32000015,HC FACIAL BONES-MIN 3 VIEW, $318.00 ,
32000016,HC NASAL BONES, $231.00 ,
32000017,HC ORBITS COMPLETE, $321.00 ,
32000018,HC SINUS 2 VIEW, $192.00 ,
32000019,HC SINUS COMPLETE, $231.00 ,
32000020,HC SKULL LIMITED, $231.00 ,
32000021,HC SKULL, $389.00 ,
32000022,HC TEMPOROMANDIBULAR JOINT, $231.00 ,
32000023,HC CEPHALOGRAM ORTHODONTC, $242.00 ,
32000024,HC ORTHOPANTOMOGRAM, $231.00 ,
32000025,HC NECK SOFT TISSUE, $231.00 ,
32000026,HC SIALOGRAM, $918.00 ,
32000027,HC RIBS WO/PA CHEST, $231.00 ,
32000028,HC RIBS W/PA CHEST, $262.00 ,
32000029,HC X-RAY EXAM BREASTBONE 2/>VWS, $319.00 ,
32000030,HC STERNOCLAVICULAR JOINTS, $283.00 ,
32000031,HC X-RAY EXAM ENTIRE SPINE 2/3 VIEWS, $345.00 ,
32000032,HC SPINE SINGLE VIEW ANY LEVEL, $321.00 ,
32000033,HC SPINE CERVICAL 2-3 VIEW, $321.00 ,
32000034,HC SPINE CERVICAL 4-5 VIEW, $538.00 ,
32000035,HC SPINE CERVICAL 6-7 VIEW, $538.00 ,
32000036,HC X-RAY EXAM ENTIRE SPINE 1 VIEW, $207.00 ,
32000037,HC SPINE THORACIC TWO VIEW, $321.00 ,
32000038,HC SPINE THORA AP/LAT/SWIM, $321.00 ,
32000039,HC SPINE T-LUMBAR 2 VIEWS, $321.00 ,
32000040,HC SCOLIOSIS SUPINE ERECT, $354.00 ,
32000041,HC SPINE LUMBAR 2-3 VIEWS, $231.00 ,
32000042,HC SPINE LUMBAR 4-5 VIEWS, $389.00 ,
32000043,HC SPINE LUMBAR 6 OR MORE, $389.00 ,
32000044,HC PELVIS 1 OR 2 VIEW, $231.00 ,
32000045,HC PELVIS 3 VIEWS, $231.00 ,
32000046,HC SACROILIAC JOINTS, $231.00 ,
32000047,HC SPINE SACRUM/COCCYX, $231.00 ,
32000048,HC MYELOGRM CERVICAL W/RAD," $1,724.00 ",
32000049,HC MYELOGRM THORACIC W/RAD," $1,578.00 ",
32000050,HC MYELOGRAM LUMBAR W/RAD," $1,724.00 ",
32000051,HC MYELOGRM COMPLETE W/RAD," $1,581.00 ",
32000052,HC CLAVICLE COMPLETE, $321.00 ,
32000053,HC SCAPULA COMPLETE, $231.00 ,
32000054,HC SHOULDER SINGLE VIEW, $166.00 ,
32000055,HC SHOULDER 2 VIEWS, $231.00 ,
32000056,HC ARTHROGRAM SHOULDER, $978.00 ,
32000057,HC ACROMIOCLAVICULAR JTS, $231.00 ,
32000058,HC HUMERUS 2 VIEWS, $231.00 ,
32000059,HC ELBOW AP/LATERAL, $231.00 ,
32000060,HC ELBOW COMPLETE 3 VIEWS, $231.00 ,
32000061,HC ARTHROGRAM ELBOW, $559.00 ,
32000062,HC FOREARM 2 VIEWS, $231.00 ,
32000063,HC INFANT UPPER EXT 2 VIEWS, $262.00 ,
32000064,HC WRIST AP/LATERAL, $189.00 ,
32000065,HC WRIST COMPLETE 3 VIEWS, $231.00 ,
32000066,HC ARTHROGRAM WRIST, $978.00 ,
32000067,HC HAND AP/LATERAL, $231.00 ,
32000068,HC HAND COMPLETE 3 VIEWS, $231.00 ,
32000069,HC FINGER OR FINGERS 2 VIEWS, $321.00 ,
32000070,HC X-RAY EXAM HIP UNI 1 VIEW, $235.00 ,
32000071,HC X-RAY EXAM HIP UNI 2-3 VIEWS, $235.00 ,
32000072,HC X-RAY EXAM HIPS BI 2 VIEWS, $345.00 ,
32000073,HC ARTHROGRAM HIP, $978.00 ,
32000074,HC HIP INTRAOPERATIVE, $533.00 ,
32000075,HC HIPS PEDIATRIC, $231.00 ,
32000076,HC X-RAY EXAM OF FEMUR 2/>, $207.00 ,
32000077,HC KNEE 1 OR 2 VIEWS, $231.00 ,
32000078,HC KNEE 3 VIEWS, $231.00 ,
32000079,HC KNEE 4 VIEWS, $231.00 ,
32000080,HC KNEES BILAT AP WT/BEAR, $177.00 ,
32000081,HC ARTHROGRAM KNEE, $978.00 ,
32000082,HC LOWER LEG 2 VIEWS, $321.00 ,
32000083,HC INFANT LOWER EXT 2 VIEWS, $213.00 ,
32000084,HC ANKLE AP/LAT, $189.00 ,
32000085,HC ANKLE COMPLETE 3 VIEWS, $231.00 ,
32000086,HC FOOT AP/LAT, $231.00 ,
32000087,HC FOOT COMPLETE 3 VIEWS, $231.00 ,
32000088,HC HEEL 2 VIEWS, $231.00 ,
32000089,HC TOE OR TOES 2 VIEWS, $231.00 ,
32000090,HC X-RAY EXAM OF ABDOMEN SINGULAR ANT VIEW, $192.00 ,
32000091,HC X-RAY EXAM OF ABDOMEN W OBLIQUES, $213.00 ,
32000092,HC X-RAY EXAM OF ABDOMEN COMPLT W DECUBITUS/ERECT VIEWS, $233.00 ,
32000093,HC ABD OBSTRUCTION SERIES, $372.00 ,
32000094,HC BA SWALLOW CERV ESOPH, $294.00 ,
32000095,HC BA SWALLOW/ESOPHAGUS, $294.00 ,
32000096,HC VIDEO SWALLOWING EVAL, $305.00 ,
32000097,HC UPPER GI SINGLE W/O KUB, $437.00 ,
32000098,HC UPPER GI SINGLE W/KUB, $397.00 ,
32000099,HC UPPER GI/SMALL BOWEL, $690.00 ,
32000100,HC UPPER GI W/AIR W/O KUB, $437.00 ,
32000101,HC UPPER GI W/AIR W/KUB, $454.00 ,
32000102,HC UPPER GI W/AIR/SM BOWEL, $726.00 ,
32000103,HC SMALL BOWEL SERIES, $454.00 ,
32000104,HC BARIUM ENEMA SINGLE, $437.00 ,
32000105,HC BARIUM ENEMA W/AIR, $439.00 ,
32000106,HC CHOLANGIOGRAM O.R., $398.00 ,
32000107,HC T TUBE CHOLANGIOGRAM IMAGE/INJ," $1,201.00 ",
32000108,HC PTC IMAGE/INJECT," $7,440.00 ",
32000109,HC X-RAY BILE DUCT ENDOSCOPY, $740.00 ,
32000110,HC X-RAY BILE/PANC ENDOSCOPY," $1,368.00 ",
32000111,HC GASTROINTESTINGAL TUBE, $317.00 ,
32000112,HC IVP ROUTINE," $1,230.00 ",
32000113,HC RETROGRADE W/WO KUB, $798.00 ,
32000114,HC LOOPOGRAM/NEPHROSTOGRAM, $743.00 ,
32000115,HC CYSTOGRAM NO VOID, $743.00 ,
32000116,HC URETHROGRAM-RETRO, $743.00 ,
32000117,HC CYSTOURETHROGRAM VOID, $885.00 ,
32000118,HC PLMT NEPHROSTOMY CATHETER," $5,148.00 ",
32000119,HC PERC STENT PEL/URET/BLAD," $2,903.00 ",
32000120,HC HYSTEROSALPINGOGRAM, $918.00 ,
32000121,HC CONTRAST EXAM THORACIC AORTA," $5,733.00 ",
32000122,HC ABDOMINAL AORTA RUN," $4,830.00 ",
32000123,HC ANGIOGRAPHY EXTREMITY UNILATERAL RS&I," $3,184.00 ",
32000124,HC ANGIOGRAPHY VISCERAL SELECTIVE/SUPRASELECTIVE," $13,023.00 ",
32000125,HC PELVIC SELECTIVE," $6,839.00 ",
32000126,HC SELECT ADDIT VESSEL-EA," $1,310.00 ",
32000127,HC VENOGRAM UNILATERAL," $1,541.00 ",
32000128,HC VEIN X-RAY TRUNK," $6,839.00 ",
32000129,HC VENOGRAM JUGULAR," $2,195.00 ",
32000130,HC HEPAT VENOGRAM W/O PRES," $6,839.00 ",
32000131,HC EMBOLIZATION," $2,296.00 ",
32000132,HC ANGIO/EXIST CATH F/U RX, $338.00 ,
32000133,HC RVL FBRN SH SEP V ACC, $464.00 ,
32000134,HC RVL FBRN SH VIA DV LMN, $314.00 ,
32000135,HC EVAR," $3,496.00 ",
32000136,HC PTA PERIPHERAL ARTERY," $5,354.00 ",
32000137,HC PTA ADD PERIPH ARTERY," $1,318.00 ",
32000138,HC PTA REN/VISCER/AORTA," $8,717.00 ",
32000139,HC TRANSCATHETER BIOPSY," $1,435.00 ",
32000140,HC PTA V GRAFT," $7,556.00 ",
32000141,HC PLMT BILIARY DRAINAGE CATH EXTERNAL," $7,440.00 ",
32000142,HC PLMT BILIARY DRAINAGE CATH INTERNAL-EXTERNAL," $7,440.00 ",
32000143,HC PERC TUBE CHANGE, $691.00 ,
32000144,HC GUIDE DRAINAGE ABSCESS," $1,509.00 ",
32000145,HC FLUOROSCOPY 1 HOUR, $453.00 ,
32000147,HC PEDS NOSE/ RECTUM FB, $166.00 ,
32000148,HC S&I ABSC FISTULA/SINUS, $918.00 ,
32000149,HC X-RAY EXAM SURGICAL SPECIMEN, $918.00 ,
32000150,HC 3D RENDER W/INTRP POSTPROCES, $201.00 ,
32000151,HC 3D RECON WRKSTATN, $201.00 ,
32000152,"HC OB FETAL, LIMITED", $505.00 ,
32000153,HC FLUORO GUIDE CVC, $334.00 ,
32000154,HC FLOURO JOINT INJ/ASP, $213.00 ,
32000155,HC FLUORO NEEDLE SPINE, $270.00 ,
32000156,HC STRESS JOINTS VIEWS, $246.00 ,
32000157,HC BONE AGE STUDY, $183.00 ,
32000158,HC BONE LENGTH STUDY, $231.00 ,
32000159,HC BONE SURVEY RENAL LIMITED, $236.00 ,
32000160,HC BONE SURVEY METASTASES, $916.00 ,
32000161,"HC BONE SERIES, INFANT", $262.00 ,
32000162,HC JOINT SURVEY 1 VIEW, $258.00 ,
32000163,HC BONE DENSITY AXIAL, $373.00 ,
32000164,HC BONE DENISITY-PERIPHRAL, $148.00 ,
32000165,HC PARATHYRD PLANAR W/WO SUBTRJ," $2,131.00 ",
32000166,HC PARATHYRD PLANAR W/SPECT&CT," $2,131.00 ",
32000167,HC CT SI JOINT INJECTION, $388.00 ,
32000168,HC CEREBRAL SELECT CCA," $8,925.00 ",
32000169,HC CEREBRAL SELECT ICA LEFT," $12,164.00 ",
32000170,HC SELECT VERTEBRAL LEFT," $14,596.00 ",
32000171,HC SUPERSELECT CEREBRAL EACH," $2,841.00 ",
32000172,HC THOMBOLYSIS VENOUS," $2,777.00 ",
32000173,HC THROMBOLYSIS DAY 2," $7,051.00 ",
32000174,HC THROMBOLYSIS FINAL DAY," $7,051.00 ",
32000175,HC NERVE INJECTION INTERCOSTAL," $1,172.00 ",
32000176,HC NERVE INTERCOSTAL MULTIPLE," $2,249.00 ",
32000177,HC XR SPINE THORACIC COMPLETE 4+ VW, $321.00 ,
32000178,HC XR  BEND ONLY L-S SPINE 2-3 VIEW, $262.00 ,
32000179,HC DISCOGRAPHY CERV/THOR SPINE," $7,882.00 ",
32000180,HC FL DISCOGRAM LUMBAR," $7,882.00 ",
32000181,HC XR ARTHROGRAM ANKLE, $559.00 ,
32000182,HC X-RAY EXAM OF PERITONEUM," $1,961.00 ",
32000183,HC FL SMALL BOWEL ENTEROCLYSIS, $810.00 ,
32000184,HC XR CHOLANGIOGRAM INTRAOPERATIVE ADDITIONAL, $539.00 ,
32000185,HC BILIARY STONE REMOVAL," $4,938.00 ",
32000186,HC X-RAY FOR PANCREAS ENDOSCOPY, $740.00 ,
32000187,HC X-RAY GUIDE GU DILATION," $2,903.00 ",
32000188,HC ARTERY X-RAYS ARM," $2,810.00 ",
32000189,HC ARTERY X-RAYS SPINE," $12,593.00 ",
32000190,HC ANGIOGRAM PULMONARY UNILATERAL; SELECTIVE," $3,282.00 ",
32000191,HC ANGIOGRAM PULMONARY BILATERAL; SELECTIVE," $3,547.00 ",
