Description ,  Charge $   , Department 
T SPINE 2 VIEWS,$264 ,Radiology
T SPINE 3 VIEWS,$335 ,Radiology
T SPINE 4 VIEWS,$374 ,Radiology
LUMBER THORACIC SPINE 2 VIEWS,$208 ,Radiology
"SPINE, THORACIC/LUMBAR 1 VIEW",$239 ,Radiology
SPINE SCOLIOSIS EVAL 2-3 VIEW,$266 ,Radiology
SPINE SCOLIOSIS EVAL 4-5 VIEW,$403 ,Radiology
SPINE SCOLIOSSI EVAL >6 VIEWS,$217 ,Radiology
LUMBAR SPINE 2-3 VIEWS,$309 ,Radiology
LUMBAR SPINE 4 + VIEWS,$393 ,Radiology
L-SPINE COMPLETE INCL. BEND,$335 ,Radiology
LUMBAR SPINE BENDING 4 VIEWS,$335 ,Radiology
PELVIS 1 OR 2 VIEWS,$232 ,Radiology
PELVIS MIN THREE VIEWS,$499 ,Radiology
SACROILIAC JOINTS 3 VIEWS,$278 ,Radiology
SACRUM AND COCCYX MIN 2 VIEW,$227 ,Radiology
CLAVICLE COMPLETE,$217 ,Radiology
SCAPULA COMPLETE,$217 ,Radiology
SHOULDER 1 VIEW,$247 ,Radiology
SHOULDER 2 OR MORE VIEWS,$273 ,Radiology
ARTHROGRAM SHOULDER,"$1,333 ",Radiology
ACROMIOCLAVICULAR JOINTS,$255 ,Radiology
HUMERUS MIN. 2 VIEWS,$220 ,Radiology
ELBOW 1-2 VIEWS,$217 ,Radiology
ELBOW 3 VIEWS,$252 ,Radiology
FOREARM 2 VIEWS,$217 ,Radiology
UPPER EXT-INFANT 2+ VIEWS,$238 ,Radiology
WRIST 1-2 VIEWS,$236 ,Radiology
WRIST 3+ VIEWS,$255 ,Radiology
HAND 2 VIEWS,$270 ,Radiology
HAND 3 VIEWS,$290 ,Radiology
FINGERS/THUMB 2+ VIEWS,$217 ,Radiology
HIP UNILATERAL 1 VIEW,$237 ,Radiology
HIP UNILATERAL 2-3 VIEWS,$266 ,Radiology
HIP BILATERAL 2 VIEWS,$338 ,Radiology
HIP BILATERAL 3-4 VIEWS,$361 ,Radiology
HIP BILATERAL 5 MINIMUM,$386 ,Radiology
FEMUR 1 VIEW,$239 ,Radiology
FEMUR MINIMUM 2 VIEWS,$266 ,Radiology
KNEE 1-2 VIEWS,$234 ,Radiology
KNEE 3 VIEWS,$265 ,Radiology
KNEE 4 OR MORE VIEWS,$294 ,Radiology
KNEE BILAT/AP STANDING,$280 ,Radiology
TIBIA/FIBIA 2 VIEWS,$225 ,Radiology
LOWER EXT-INFANT 2+ VIEWS,$374 ,Radiology
ANKLE 2 VIEWS,$217 ,Radiology
ANKLE 3 VIEWS,$251 ,Radiology
FOOT 1 TO 2 VIEWS,$217 ,Radiology
FOOT 3+ VIEWS,$251 ,Radiology
FOOT HEEL 2+ VIEWS,$231 ,Radiology
TOES 2 VIEW MIN.,$239 ,Radiology
ABDOMEN 1 VIEW,$226 ,Radiology
ABDOMEN 2 VIEWS,$319 ,Radiology
ABDOMEN 3 OR MORE VIEWS,$257 ,Radiology
"ABDOMEN COMPLETE, ACUTE",$408 ,Radiology
ESOPHAGUS SOFT TISSUE,$387 ,Radiology
ESOPHAGUS,$387 ,Radiology
BARIUM SWALLOW MODIFIED,$387 ,Radiology
SMALL BOWEL STUDIES,$387 ,Radiology
BARIUM ENEMA,$595 ,Radiology
BARIUM ENEMA AIR CONTRAST,$484 ,Radiology
GALLBLADDER SERIES,$400 ,Radiology
CHOLANGIOGRAPHY,"$1,046 ",Radiology
CHOLANGIOGRAPHY + ADD SET,$41 ,Radiology
CHOLANGIOGRAPHY T-TUBE,$511 ,Radiology
IVP,$790 ,Radiology
CYSTOGRAPHY MIN 3 VIEWS,$790 ,Radiology
VCUG,"$1,044 ",Radiology
NEPHROSTOMY,"$4,966 ",Radiology
HSG,"$1,327 ",Radiology
VENOGRAPHY UNILATERAL,"$3,258 ",Radiology
C-ARM 1 HOUR OR LESS,$475 ,Radiology
C-ARM MORE THAN 1 HOUR,$132 ,Radiology
"FOREIGN BODY IV,CHILD SINGLE V",$234 ,Radiology
ABSCESS FISTULA OR SINUS STUDY,"$1,044 ",Radiology
BONE DENSITY MEASUREMENT,$233 ,Radiology
FLOURO GUIDANCE VASCULAR,$431 ,Radiology
BONE AGE,$374 ,Radiology
BONE SURVEY COMPLETE,$628 ,Radiology
BONE SURVEY COMPLETE CHILD,$374 ,Radiology
BONE DENSITY SCAN,$374 ,Radiology
BONE DENSITY SCAN (PERIPHERAL),$234 ,Radiology
HEPATOBILIARY SCAN,"$1,213 ",Radiology
BLADDER/CYSTO STUDY,$210 ,Radiology
TUBE NEEDLE CATH JEJUNOSTOMY,$283 ,Radiology
HIP UNILATERAL 1 VIEW,$24 ,Radiology
HIP MINIMUM 4 VIEWS READ,$35 ,Radiology
KNEE 1-2 VIEWS BILATERAL,$245 ,Radiology
BONE DENSITY SCREEN TEST,$187 ,Radiology
CT HEAD W/O CONTRAST,"$1,099 ",Radiology - CT Scan
CT HEAD WITH CONTRAST,"$1,156 ",Radiology - CT Scan
CT HEAD W/WITHOUT CONTRAST,"$1,731 ",Radiology - CT Scan
CT EAR/EYE WO/CONTRAST,$984 ,Radiology - CT Scan
ORBIT/EAR WITH/CONTRAST,"$1,156 ",Radiology - CT Scan
ORBIT/EAR WO/W CONTRAST,"$1,731 ",Radiology - CT Scan
CT MAXILLOFACIAL WO/CONTRAST,$984 ,Radiology - CT Scan
CT MAXILLOVACIAL W/CONTRAST,"$1,156 ",Radiology - CT Scan
CT MAXILLOVACIAL WO/W CONTRAST,"$1,731 ",Radiology - CT Scan
CT NECK WITHOUT/CONTRAST,$984 ,Radiology - CT Scan
CT NECK WITH/CONTRAST,"$1,156 ",Radiology - CT Scan
CT NECK WO/W CONTRAST,"$1,731 ",Radiology - CT Scan
CT HEAD ANGIO W0/W CONTRAST,"$1,786 ",Radiology - CT Scan
CT NECK ANGIO W0/W CONTRAST,"$1,786 ",Radiology - CT Scan
CT CHEST WITHOUT/CONTRAST,$984 ,Radiology - CT Scan
CT CHEST WITH/CONTRAST,"$1,156 ",Radiology - CT Scan
CT CHEST W/WO CONTRAST,"$1,731 ",Radiology - CT Scan
CT CHEST ANGIO W/WO CONTRAST,"$1,786 ",Radiology - CT Scan
CT CERV SPINE WO/CONTRAST,$984 ,Radiology - CT Scan
CT CERVICAL SPINE W/CONTRAST,"$1,113 ",Radiology - CT Scan
CT CERV-SPINE W/WO CONTRAST,"$1,255 ",Radiology - CT Scan
CT THORACIC SPINE WO/CONTRAST,$984 ,Radiology - CT Scan
CT THORACIC SPINE W/CONTRAST,$113 ,Radiology - CT Scan
CT THORACIC SPINE W/WO CONTRAS,"$1,255 ",Radiology - CT Scan
CT LUMBAR SPINE WO/CONTRAST,$984 ,Radiology - CT Scan
CT LUMBAR SPINE W/CONTRAST,"$1,156 ",Radiology - CT Scan
CT LUMBAR SPINE W/WO CONTRAST,"$1,255 ",Radiology - CT Scan
CT PELVIS ANGIO W/WO CONTRAST,"$1,266 ",Radiology - CT Scan
CT PELVIS W/O CONTRAST,$984 ,Radiology - CT Scan
CT PELVIS W/CONTRAST,"$1,156 ",Radiology - CT Scan
CT PELVIS W/WO CONTRAST,"$1,731 ",Radiology - CT Scan
CT UPPER EXT WO/CONTRAST,$984 ,Radiology - CT Scan
CT UPPER EXT W/CONTRAST,"$1,156 ",Radiology - CT Scan
CT UPPER EXT W/WO CONTRAST,"$1,255 ",Radiology - CT Scan
CT UPPER EXT ANGIO W/WO CONTRA,"$1,786 ",Radiology - CT Scan
CT LOWER EXT WO/CONTRAST,$984 ,Radiology - CT Scan
CT LOWER EXT W/CONTRAST,$949 ,Radiology - CT Scan
CT LOWER EXT W/WO CONTRAST,"$1,731 ",Radiology - CT Scan
CT LOWER EXT ANGIO W/WO CONTRA,"$1,786 ",Radiology - CT Scan
CT ABDOMEN WITHOUT CONTRAST,$984 ,Radiology - CT Scan
CT ABDOMEN WITH/CONTRAST,"$1,156 ",Radiology - CT Scan
CT ABDOMEN W/WO CONTRAST,"$1,450 ",Radiology - CT Scan
ANGIOGRA ABDOMEN/PELVIS W W/O,"$1,933 ",Radiology - CT Scan
CT ABD ANGIO W/WO CONTRAST,"$1,786 ",Radiology - CT Scan
CT ABD/PEL WO CONTRAST,"$1,780 ",Radiology - CT Scan
CT ABD/PEL W CONTRAST,"$2,211 ",Radiology - CT Scan
CT ABD/PEL W& WO CONTRAST,"$2,669 ",Radiology - CT Scan
RUNOFF ABD L/EXT W/WO CONSTRAS,"$1,786 ",Radiology - CT Scan
CT LIMITED OR F/U,$452 ,Radiology - CT Scan
CT GUIDE FOR NEEDLE BIOPSY,$541 ,Radiology - CT Scan
CT ANGIO ABDOMEN/PELVIS W W/O,$258 ,Radiology - CT Scan
TEMPOROMAND MRI JT,"$1,597 ",Radiology - MRI 
"ORBIT,FACE,NECK MRI W/O CONTAS","$1,597 ",Radiology - MRI 
"ORBIT,FACE,NECK MRI W/CONTRAST","$1,882 ",Radiology - MRI 
IAC'S MRI W WO CONTRAST,"$2,939 ",Radiology - MRI 
HEAD MRA W/O CONTRAST,"$1,883 ",Radiology - MRI 
BRAIN MRA W/CONTRAST,"$1,882 ",Radiology - MRI 
HEAD MRA WO/W CONTRAST,"$2,312 ",Radiology - MRI 
NECK MRA W/O CONTRAST,"$1,597 ",Radiology - MRI 
NECK MRA W/ CONTRAST,"$2,876 ",Radiology - MRI 
CAROTID MRA W/WO,"$2,712 ",Radiology - MRI 
BRAIN MRI W/OUT CONTRAST,"$1,753 ",Radiology - MRI 
BRAIN MRI W CONTRAST,"$1,882 ",Radiology - MRI 
BRAIN MRI W/WO CONTRAST,"$2,748 ",Radiology - MRI 
CHEST MRI W/O CONT,"$1,882 ",Radiology - MRI 
CHEST MRI W/CONTRAST,"$1,882 ",Radiology - MRI 
CHEST MRI W/WO CONTRAST,"$2,312 ",Radiology - MRI 
CHEST MRA W/WO CONTRAST,"$1,890 ",Radiology - MRI 
CERVICAL SPINE MRI W/O CONTRAS,"$1,686 ",Radiology - MRI 
CERVICAL SPINE MRI W CONTRAS,"$2,312 ",Radiology - MRI 
THORACIC SPINE MRI WO CONTRAST,"$1,793 ",Radiology - MRI 
THORACIC SPINE MRI W/CONSTRAT,"$1,882 ",Radiology - MRI 
LUMBAR SPINE MRI W/O CONTRAST,"$1,747 ",Radiology - MRI 
LUMBAR SPINE MRI W/CONTRAST,"$1,592 ",Radiology - MRI 
C SPINE MRI WO/W CONTRAST,"$2,931 ",Radiology - MRI 
T SPINE MRI WO/W CONTRAST,"$2,977 ",Radiology - MRI 
LUMBAR SPINE MRI WO/W CONT,"$2,620 ",Radiology - MRI 
PELVIS MRI W/O CONTRAST,"$1,803 ",Radiology - MRI 
PELVIS MRI W/CONTRAST,"$1,447 ",Radiology - MRI 
PELVIS MRI W/WO CONTRAST,"$1,902 ",Radiology - MRI 
UPPER EXT MRI W/O CONTRAST,"$1,305 ",Radiology - MRI 
UPPER EXT MRI W/CONTRAST,"$1,882 ",Radiology - MRI 
UPPER EXT MRI W/WO CONTRAST,"$2,312 ",Radiology - MRI 
UPPER EXT MRI JT W/O CONTRAST,"$1,731 ",Radiology - MRI 
UPPER EXT W JT MRI W/CONTRAST,"$1,882 ",Radiology - MRI 
UPPER EXT MRI W JT W/WO CONT,"$2,312 ",Radiology - MRI 
UPPER EXT MRA WO/W CONTRAST,"$1,890 ",Radiology - MRI 
LWR EXT MRI WO CONTRAST,"$1,996 ",Radiology - MRI 
LOWER EXT MRI W NON JT W/CON,"$1,882 ",Radiology - MRI 
LOWER EXT MRI W/WO CONTRAST,"$2,268 ",Radiology - MRI 
LOWER EXT MRI JT W/O CONTRAST,"$1,665 ",Radiology - MRI 
LOWER EXT MRI JT W/CONTRAST,"$1,882 ",Radiology - MRI 
LWR EXT JOIN MRI W/WO CONTRAST,"$2,295 ",Radiology - MRI 
LOWER EXT MRA W/WO CONTRAST,"$1,741 ",Radiology - MRI 
ABDOMEN MRI W/O CONTRAST,"$1,765 ",Radiology - MRI 
ABDOMEN MRI W/CONTRAST,"$1,882 ",Radiology - MRI 
ABDOMEN MRI W/WO CONTRAST,"$2,900 ",Radiology - MRI 
ABDOMEN MRA W/WO CONTRAST,"$2,270 ",Radiology - MRI 
UPPER EXT MRI W/O CONTRAST,$152 ,Radiology - MRI 
HIP UNILATERAL MINIMUM 4 VIEWS,$396 ,Radiology - Reading
EYE FOREIGN BODY READING FEE,$19 ,Radiology - Reading
MANDIBLE 1-3 VIEWS XRAY READIN,$21 ,Radiology - Reading
MANDIBLE 4+ VIEWS XRAY READING,$29 ,Radiology - Reading
MASTOIDS LESS 3 VIEW READ FEE,$21 ,Radiology - Reading
MASTOID < 3 VIEWS READING FEE,$39 ,Radiology - Reading
FACIAL BONES 2 V XRAY READING,$23 ,Radiology - Reading
FACIAL BONES 3 V XRAY READING,$30 ,Radiology - Reading
NASAL BONES MIN 3 V XRAY READ,$20 ,Radiology - Reading
OPTIC FORAMIN 2 V READING FEE,$25 ,Radiology - Reading
ORBITS 4+ V XRAY READING FEE,$32 ,Radiology - Reading
PARANASAL SINUS 3 VIEW R,$20 ,Radiology - Reading
PARANASAL SINUS 3V XRAY READIN,$29 ,Radiology - Reading
SELLA TURCICA 2 V READING FEE,$22 ,Radiology - Reading
SKULL 3 VIEWS XRAY READING,$29 ,Radiology - Reading
SKULL 4 VIEWS XRAY READING,$39 ,Radiology - Reading
TEETH SINGLE VIEW READING FEE,$14 ,Radiology - Reading
TMJ READING FEE,$22 ,Radiology - Reading
TMJ BILATERAL READING FEE,$29 ,Radiology - Reading
MRI TMJ JOINT READING FEE,$165 ,Radiology - Reading
NECK SOFT TISSUE READING,$19 ,Radiology - Reading
CT HEAD/BRAIN WO CONT READ FEE,$95 ,Radiology - Reading
CT HEAD/BRAIN W CONT READ FEE,$126 ,Radiology - Reading
CT HEAD/BRAIN W/WO CON READING,$142 ,Radiology - Reading
CT ORBIT SELLA WO CONT READ FE,$144 ,Radiology - Reading
CT ORBIT/SELLA W CONT READ FEE,$155 ,Radiology - Reading
CT ORBIT W/WO CONT READING FEE,$162 ,Radiology - Reading
CT FACE WO CONTRAST READ FEE,$128 ,Radiology - Reading
CT FACE AREA W CONT READ FEE,$146 ,Radiology - Reading
CT FAC AREA W/W CONT READ FEE,$159 ,Radiology - Reading
CT NECK SOFT TISS WO C READ FE,$144 ,Radiology - Reading
CT NECK TISSUE W CONT READ FEE,$155 ,Radiology - Reading
CT NECK TISS W/WO CONT READ FE,$162 ,Radiology - Reading
CT HEAD ANGIO WO/W CONT READIN,$196 ,Radiology - Reading
CT NECK ANGIO WO/W CONT READIN,$196 ,Radiology - Reading
MRI ORBIT FACE NECK READ FEE,$151 ,Radiology - Reading
"ORBIT,FACE,NECK MRI W/CONT REA",$182 ,Radiology - Reading
ORBIT FACE MRI WO/W CONT READI,$240 ,Radiology - Reading
MRA HEAD WO CONTRAST READ FEE,$134 ,Radiology - Reading
BRAIN MRA W/CONTRAST READING,$134 ,Radiology - Reading
HEAD MRA WO/W CONTRAST READING,$202 ,Radiology - Reading
NECK MRA WO CONTRAST READING,$135 ,Radiology - Reading
MRA NECK W CONTRAST READING,$135 ,Radiology - Reading
CAROTID MAR W/WO CONTRAST READ,$201 ,Radiology - Reading
MRI HEAD WO CONTRAST READ FEE,$166 ,Radiology - Reading
MRI HEAD W CONTRAST READ FEE,$200 ,Radiology - Reading
MRI HEAD W/WO CONTRAS READ FEE,$264 ,Radiology - Reading
CHEST 1 VIEW READ,$21 ,Radiology - Reading
CHEST 2 VIEW READ,$25 ,Radiology - Reading
CHEST 3 VIEW READ,$36 ,Radiology - Reading
CHEST 4 OR MORE VIEW READ,$34 ,Radiology - Reading
RIBS AB/BD 2 VIEWS XRAY READIN,$26 ,Radiology - Reading
RIBS 2 V CHEST 1 V XRAY READIN,$30 ,Radiology - Reading
RIBS BIL 3 VIEWS XRAY READING,$31 ,Radiology - Reading
RIBS BILATERAL 4 V READ FEE,$37 ,Radiology - Reading
STERNUM 2 VIEWS XRAY READING,$22 ,Radiology - Reading
STERNOCLAVIC JT 3 V XRAY READ,$26 ,Radiology - Reading
CT CHEST WO CONTRAST READ FEE,$114 ,Radiology - Reading
CT CHEST W CONTRAST READ FEE,$140 ,Radiology - Reading
CT CHEST W/WO CONTR READ FEE,$154 ,Radiology - Reading
CT CHEST ANGIO W/WO CONT READI,$215 ,Radiology - Reading
MRI CHEST READING FEE,$163 ,Radiology - Reading
CHEST MRI W CONTRAST READING,$194 ,Radiology - Reading
CHEST MRI W/WO CONTRAST READIN,$252 ,Radiology - Reading
CHEST MRA W/WO CONTRAST READIN,$202 ,Radiology - Reading
CERV SPINE 1 VIEW XRAY READING,$18 ,Radiology - Reading
CERVICAL SPINE 2 VIEWS XRAY,$27 ,Radiology - Reading
CERV SPINE 4+ VIEW XRAY READ,$36 ,Radiology - Reading
CERV SPINE COMPL XRAY READING,$42 ,Radiology - Reading
"SPINE,THORACOLUMBAR XRAY READ",$27 ,Radiology - Reading
DORSAL SPINE 2 V XRAY READING,$26 ,Radiology - Reading
DORSAL T SPINE 3 V READING,$25 ,Radiology - Reading
SPINE THORACIC 4 V READING FEE,$25 ,Radiology - Reading
LUMBER THORACIC SPINE 2 V READ,$27 ,Radiology - Reading
SPINE THORACIC/LUMBAR 1 V READ,$29 ,Radiology - Reading
SPINE SCOLIOSIS EVAL 2-3 V REA,$38 ,Radiology - Reading
SPINE SCOLIOSIS EVAL 4-5 READ,$38 ,Radiology - Reading
SPINE SCOLIOSIS EVAL >6 READ,$44 ,Radiology - Reading
LUMBAR SPINE 2 V XRAY READING,$27 ,Radiology - Reading
SPINE LUMBOSACRAL 4+ VIEWS,$36 ,Radiology - Reading
LUMBAR SPINE 5 V XRAY READING,$38 ,Radiology - Reading
LUMBAR SPINE BENDING 4 V READ,$27 ,Radiology - Reading
CT CERV SPINE WO CONT READ FEE,$120 ,Radiology - Reading
CT CERV SPINE W CONT READ FEE,$137 ,Radiology - Reading
CT CERV SP W/WO CONT READ FEE,$142 ,Radiology - Reading
CT T SPINE WO CONT READING FEE,$112 ,Radiology - Reading
CT T SPINE W/WO CONT READ FEE,$137 ,Radiology - Reading
CT T SPINE W/WO CONT READ FEE,$142 ,Radiology - Reading
CT LUMB SPINE WO CONT READ FEE,$112 ,Radiology - Reading
CT PELVIS WO CONTRAST READ FEE,$137 ,Radiology - Reading
CT LUMB SPINE W/WO CON READ FE,$142 ,Radiology - Reading
MRI C-SPINE WO CONT READ FEE,$180 ,Radiology - Reading
MRI C-SPINE W CONTRAS READ FEE,$216 ,Radiology - Reading
MRI T SPINE W0 CONT READ FEE,$180 ,Radiology - Reading
MRI T SPINE W CONTRAS READ FEE,$215 ,Radiology - Reading
MRI L-SPINE WO CONT READ FEE,$167 ,Radiology - Reading
MRI L SPINE W CONT READING FEE,$200 ,Radiology - Reading
MRI C-SPINE W/WO CON READ FEE,$288 ,Radiology - Reading
MRI T SPINE W/WO CONT READ FEE,$288 ,Radiology - Reading
MRI L SPINE W/WO CONT READ FEE,$266 ,Radiology - Reading
PELVIS 1 VIEW XRAY READING,$21 ,Radiology - Reading
PELVIS COMPL 3 VIEWS READING,$26 ,Radiology - Reading
CT PELVIS ANGIO W/WO CONT READ,$203 ,Radiology - Reading
CT PELVIS WO CONT READING FEE,$121 ,Radiology - Reading
CT PELVIS W CONT READING FEE,$130 ,Radiology - Reading
CT PELVIS W/WO CONT READ FEE,$137 ,Radiology - Reading
MRI PELVIS WO CONTRAST,$164 ,Radiology - Reading
MRI PELVIC W CONTRAST READ FEE,$194 ,Radiology - Reading
PELVIS MRI W/WO CONTRAST READ,$252 ,Radiology - Reading
SACROILIC LESS 3 V XRAY READ,$20 ,Radiology - Reading
SACROILLIAC JT 3+ V READING,$22 ,Radiology - Reading
COCCYX/SACRUM 2 V XRAY READING,$20 ,Radiology - Reading
CLAVICLE COMPLETE XRAY READING,$19 ,Radiology - Reading
SCAPULA COMPLETE XRAY READING,$22 ,Radiology - Reading
SHOULDER 1 VIEW XRAY READING,$18 ,Radiology - Reading
SHOULD 2+V COMPLIC XRAY READ,$23 ,Radiology - Reading
SHOULDER ARTHROGRAM READING,$62 ,Radiology - Reading
ACROMIOCLAV BOTH JTS BIL READ,$25 ,Radiology - Reading
HUMERUS 2 VIEW/1 JT XRAY READ,$20 ,Radiology - Reading
ELBOW 2 VIEWS X RAY READING,$18 ,Radiology - Reading
ELBOW 3+ VIEWS XRAY READING,$20 ,Radiology - Reading
FOREARM 2 VIEW 1 JT XRAY READ,$19 ,Radiology - Reading
UPPER EXT INFANT 2 VIEW READIN,$19 ,Radiology - Reading
WRIST 1-2 VIEWS XRAY READING,$21 ,Radiology - Reading
WRIST 3 VIEWS XRAY READING,$20 ,Radiology - Reading
HAND 2 VIEWS X RAY READING,$19 ,Radiology - Reading
HAND 3 VIEWS X RAY READING,$20 ,Radiology - Reading
FINGERS 2 VIEW MINIMUM XR READ,$16 ,Radiology - Reading
CT EXT LIMIT WO CONT READ FEE,$113 ,Radiology - Reading
CT EXT LIM W CONT READ FEE,$130 ,Radiology - Reading
CT UPPER EXT W/WO CONT READING,$137 ,Radiology - Reading
CT UPPER EXT ANGIO W/WO READIN,$201 ,Radiology - Reading
UPPER EXT MRI W CONTRAST READ,$182 ,Radiology - Reading
MRI UPPER EXT WO CONT READ FEE,$241 ,Radiology - Reading
MRI UP EXT/JOINT WO READ FEE,$154 ,Radiology - Reading
MRI UPPER EXT W CONT READ FEE,$182 ,Radiology - Reading
MRI UPPER EXT WO CONT READ FEE,$241 ,Radiology - Reading
UPPER EXT MRA WO/W CONT READIN,$191 ,Radiology - Reading
HIP 2-3 VIEWS READ,$27 ,Radiology - Reading
PELVIS/HIPS 2 V XRAY READING,$31 ,Radiology - Reading
HIP BILATERAL 2 VIEW READ,$29 ,Radiology - Reading
HIP BILATERAL 3-4 VIEW READ,$35 ,Radiology - Reading
HIP BILATERAL MIN 5 VIEW,$35 ,Radiology - Reading
FEMUR 1 VIEW READ,$21 ,Radiology - Reading
FEMUR MINIMUM 2 VIEW READ,$24 ,Radiology - Reading
KNEE 1-2 VIEWS X RAY READING,$22 ,Radiology - Reading
KNEE 3 VIEWS XRAY READING,$23 ,Radiology - Reading
KNEE COMPLETE 4 VIEWS READING,$27 ,Radiology - Reading
BIL KNEE ANTERPOST XRAY READIN,$22 ,Radiology - Reading
LEG--TIB/FIB X RAY READING,$20 ,Radiology - Reading
TIBIA LOW EXT INFANT 2V READIN,$18 ,Radiology - Reading
ANKLE 1-2 VIEWS X-RAY READING,$19 ,Radiology - Reading
ANKLE 3 OR MORE V XRAY READING,$20 ,Radiology - Reading
FOOT XRAY 2 VIEWS READING FEE,$18 ,Radiology - Reading
FOOT 3 VIEWS X RAY READING,$19 ,Radiology - Reading
CALCANEUS HEEL 2 V XRAY READIN,$18 ,Radiology - Reading
TOES 2-3 V INDIV TOE XRAY READ,$15 ,Radiology - Reading
CT LOWER EXT WO CONT READ FEE,$113 ,Radiology - Reading
CT LOWER EXT W CONT READ FEE,$130 ,Radiology - Reading
CT LOWER EXT W/WO/CONT READ FE,$137 ,Radiology - Reading
CT LOW EXT ANGIO W/W CONT READ,$212 ,Radiology - Reading
LOWER EXT MRI WO CONT READING,$152 ,Radiology - Reading
LOWER EXT MRI W/CONT READ,$182 ,Radiology - Reading
MRI LOW EXT W/WO CONT READ FEE,$240 ,Radiology - Reading
MRI LOW EXT/JT WO CON READ FEE,$154 ,Radiology - Reading
LOWER EXT MRI JT W/CONT READ,$184 ,Radiology - Reading
LOW EXT JT MRI W/WO CONT READ,$241 ,Radiology - Reading
LOWER EXT MRA W/WO CONT READ F,$202 ,Radiology - Reading
ABDOMEN 1 VIEW READ,$21 ,Radiology - Reading
ABDOMEN 2 VIEW READ,$26 ,Radiology - Reading
ABDOMEN 3 OR MORE VIEWS READ,$30 ,Radiology - Reading
COMPLETE ABD SERIES XRAY READ,$36 ,Radiology - Reading
CT ABD WO CONTRAST READING FEE,$134 ,Radiology - Reading
CT ABD WITH CONTRAST READ FEE,$143 ,Radiology - Reading
CT ABD W/WO CONTRAST READ FEE,$157 ,Radiology - Reading
CT ABD ANGIO W/WO CONTR READIN,$213 ,Radiology - Reading
CT ABD/PEL WO CONTRAST READ,$195 ,Radiology - Reading
CT ABD/PEL W CONTRAST READ FEE,$204 ,Radiology - Reading
CT ABD/PEL W&WO CONT READ FEE,$226 ,Radiology - Reading
MRI ABDOMEN WO CONT READ FEE,$163 ,Radiology - Reading
ABDOMEN MRI W CONTRAST READING,$193 ,Radiology - Reading
ABDOMEN MRI W/WO CONT READING,$252 ,Radiology - Reading
ABD MRA W/WO CONTRAST READING,$201 ,Radiology - Reading
PHARYNX/ESOPHAGUS READING FEE,$40 ,Radiology - Reading
ESOPHAGUS/PHARYNX XRAY READING,$52 ,Radiology - Reading
BARIUM SWALLOW XRAY READING,$59 ,Radiology - Reading
ESOPHAGUS FB REMOVE XRAY READ,$150 ,Radiology - Reading
ESOPHAGUS W UGI READING FEE,$78 ,Radiology - Reading
UPPER GI W KUB READING FEE,$77 ,Radiology - Reading
UPPER GI/SMALL BOWEL READ FEE,$102 ,Radiology - Reading
SMALL BOWEL STUDIES READNG,$53 ,Radiology - Reading
BARIUM ENEMA W/WOKUB XRAY READ,$77 ,Radiology - Reading
BE W AIR CONTRAST READING FEE,$111 ,Radiology - Reading
GALLBLADDER SERIES READING FEE,$36 ,Radiology - Reading
ADD GALLBLADDER XRAY READING,$23 ,Radiology - Reading
CHOLANGIOGRAPHY READING FEE,$41 ,Radiology - Reading
CHOLANGIOGRAPHY ADD SET READIN,$24 ,Radiology - Reading
REPEAT T-TUBE POSTOP READ FEE,$48 ,Radiology - Reading
CHOLANGIOGRAPHY XRAY READING,$60 ,Radiology - Reading
CHOLANGIOGRAPHY T-TUBE READING,$82 ,Radiology - Reading
MRI PL ENTERO TUBE READ FEE,$87 ,Radiology - Reading
UROGRAPHY W/WO KUB XRAY READ,$55 ,Radiology - Reading
IVP READING FEE,$55 ,Radiology - Reading
CYSTOGRAPHY MIN 3 V REEDING,$35 ,Radiology - Reading
URETHROCYSTOGRAPHY READING FEE,$37 ,Radiology - Reading
DILATION NEPHROSTOMY READING,$60 ,Radiology - Reading
HYSTEROSALPINGOGRAM READ FEE,$42 ,Radiology - Reading
CT ANG ABD AORTA W/WO CON READ,$267 ,Radiology - Reading
VENOGRAPHY UNILATERAL READING,$78 ,Radiology - Reading
FOREIGN BODY NOSE CHILD 1V REA,$21 ,Radiology - Reading
ABSCESS FISTULA/SINUS READING,$60 ,Radiology - Reading
CT RECONSTRUCTION READING FEE,$22 ,Radiology - Reading
CT LIMITED OR F/U READING FEE,$109 ,Radiology - Reading
US ECHOENCEPHAL READING FEE,$72 ,Radiology - Reading
US THYROID/PARATHYROID READ FE,$63 ,Radiology - Reading
US CHEST MEDIASTIUM READING,$62 ,Radiology - Reading
US BREAST UNILATERAL LIMITED,$62 ,Radiology - Reading
US ABD COMPLETE READING FEE,$91 ,Radiology - Reading
US ABD LIMIT RENAL READING FEE,$66 ,Radiology - Reading
US AORTA RENAL NODES READ FEE,$83 ,Radiology - Reading
AORTA-KIDNEY-NODES LIM READING,$65 ,Radiology - Reading
US PREG UTERUS 1ST TRIM READIN,$112 ,Radiology - Reading
US ADD FETUS <14 WEEKS READING,$95 ,Radiology - Reading
US OB COMPLETE READING FEE,$113 ,Radiology - Reading
US OB AFTER 1ST TRIM READ FEE,$111 ,Radiology - Reading
US/OB DETAILED ANATOMY COMP,$218 ,Radiology - Reading
US ADD FETUS DETAIL ANT READIN,$205 ,Radiology - Reading
US FETAL SIZE/HEART READING FE,$73 ,Radiology - Reading
