Arrowhead Regional Medical Center,,,, Effective on 01/01/2019 ,,
34167064,320,1.4631,THROMB ART/VEN SUBSQ DAY,"$5,066.00 ",37213,37213
34167065,320,1.4631,FB RET INCL GUID,"$3,827.00 ",37197,37197
34167066,320,1.4631,CATH PLCM NON-SIL THOR AOR,"$6,045.00 ",36221,36221
34167067,320,1.4631,CATH PLCM COM CAROTID LT,"$6,045.00 ",36223,36223
34167068,320,1.4631,CATH PLCM COM CAROTID RT,"$6,410.00 ",36223,36223
34167069,320,1.4631,CATH PLCM INT CAROTID LT,"$16,245.00 ",36224,36224
34167070,320,1.4631,CATH PLCM INT CAROTID RT,"$8,387.00 ",36224,36224
34167071,320,1.4631,CATH PLCM SUB/IN LT,"$6,045.00 ",36225,36225
34167072,320,1.4631,CATH PLCM SUB/IN RT,"$6,045.00 ",36225,36225
34167073,320,1.4631,CATH PLCM EXT CAROTID,"$1,168.00 ",36227,36227
34167074,320,1.4631,CATH PLCM CAROTID OR INNOM ART,"$6,045.00 ",36222,36222
34167075,400,1.4631,3D REND/RECON W WORKSTATION,$560.00 ,76377,
34167076,761,1.4631,CATH CK W IMAG D&R,$918.00 ,36598,36598
34167077,320,1.4631,FILTER RETRIEVAL INCL GUID,"$6,291.00 ",37193,37193
34167078,320,1.4631,CATH PLCM VETEBRAL ARTERY,"$9,113.00 ",36226,36226
34167079,320,1.4631,CATH PLCM EA INTCRANIAL BR,"$1,168.00 ",36228,36228
34167080,350,1.4631,ABLATION RENAL TUMOR PERC/CRYO,"$8,258.00 ",50593,50593
34167085,350,1.4631,ABLATION RENAL TUMOR PERC/CRYO,"$8,258.00 ",50593,50593
34167090,320,1.463,MAM STEREO CORE BX ADDL,$427.00 ,19082,19082
34167091,320,1.4631,IR US BREAST BX LT,"$2,354.00 ",19083,19083
34167092,320,1.4631,IR US BREAST BX RT,"$2,354.00 ",19083,19083
34167093,320,1.4631,IR US BREAST BILAT BX,"$3,766.00 ",1908350,19083
34167094,401,1.4631,IR US BREAST BX ADDL,$404.00 ,19084,19084
34167095,401,1.463,MAM BRST GUID NDL ADDL,$247.00 ,19282,19282
34167096,401,1.4631,MAM BRST BILAT GUID NDL,$845.00 ,1928150,19281
34167097,320,1.463,MAM STEREO CORE BILAT BX,"$3,766.00 ",1908150,19081
34167098,320,1.463,MAM STEREO CORE LT BIOPSY,"$2,354.00 ",19081,19081
34167099,320,1.463,MAM STEREO CORE RT BIOPSY,"$2,354.00 ",19081,19081
34167100,401,1.463,MAM BRST LT GUID NDL,$528.00 ,19281,19281
34167101,401,1.463,MAM BRST RT GUID NDL,$528.00 ,19281,19281
34167102,402,1.463,MAM BRST LT GUID NDL W US,$528.00 ,19285,19285
34167103,402,1.463,MAM BRST RT GUID NDL W US,$528.00 ,19285,19285
34167104,402,1.463,MAM BRST ADDL GUID NDL W US,$528.00 ,19286,19286
34220186,350,1.468,CTA HEAD W/CONTRAST MATERIALS,"$3,322.00 ",70496,70496
34220509,350,1.468,CT HEAD/BRAIN W/O CONTRAST,"$1,903.00 ",70450,70450
34220558,350,1.468,CT HEAD/BRAIN W/CONTRAST,"$2,942.00 ",70460,70460
34220749,350,1.468,CT HEAD/BRAIN W/O W/CONTRAST,"$3,281.00 ",70470,70470
34220848,350,1.468,CT ORBIT W/O CONTRAST,"$1,903.00 ",70480,70480
34220863,320,1.468,CT MASTOIDS COMP < 3 VIEW P/SD,$208.00 ,70130,70130
34220962,350,1.468,CT ORBIT W/CONTRAST,"$2,942.00 ",70481,70481
34221085,350,1.468,CT ORBIT W/O W/CONTRAST,"$3,281.00 ",70482,70482
34221564,350,1.468,CT MAXILLOFACIAL W/O CONTRAST,"$1,903.00 ",70486,70486
34221689,350,1.468,CT MAXILLOFACIAL W/CONTRAST,"$2,942.00 ",70487,70487
34221690,350,1.468,3D REND/RECON W/O WORKSTATION,$585.00 ,76376,76376
34221804,350,1.468,CT MAXILLOFACIAL W/O W/CONTRAS,"$3,281.00 ",70488,70488
34221929,350,1.468,CT NECK SOFT TISSUE W/O CONTRA,"$1,903.00 ",70490,70490
34222042,350,1.468,CT NECK SOFT TISSUE W/ CONT,"$1,548.00 ",70491,70491
34222166,350,1.468,CT NECK SOFT TISS W/O W/CONTRA,"$3,281.00 ",70492,70492
34223008,350,1.468,CT THORAX W/O CONTRAST,"$1,903.00 ",71250,71250
34223123,350,1.468,CT THORAX W/CONTRAST,"$2,942.00 ",71260,71260
34223248,350,1.468,CT THORAX W/O W/CONTRAST,"$3,281.00 ",71270,71270
34223727,350,1.468,CT CERVICAL SPINE W/O CONTRAST,"$1,903.00 ",72125,72125
34223842,350,1.468,CT CERVICAL SPINE W/CONTRAST,"$2,942.00 ",72126,72126
34223966,350,1.468,CT CERVICAL SPINE W/O W/CONTRA,"$3,281.00 ",72127,72127
34224444,350,1.468,CT THORACIC SPINE W/O CONTRAST,"$1,903.00 ",72128,72128
34224568,350,1.468,CT THORACIC SPINE W/CONTRAST,"$2,942.00 ",72129,72129
34224683,350,1.468,CT THORACIC SPINE W/O W/CONT,"$3,281.00 ",72130,72130
34224808,350,1.468,CT LUMBAR SPINE W/O CONTRAST,"$1,903.00 ",72131,72131
34224923,350,1.468,CT LUMBAR SPINE W/CONTRAST,"$2,942.00 ",72132,72132
34225045,350,1.468,CT LUMBAR SPINE W/O W/CONTRAST,"$3,281.00 ",72133,72133
34225524,350,1.468,CT PELVIS W/O CONTRAST,"$1,903.00 ",72192,72192
34225649,350,1.468,CT PELVIS W/CONTRAST,"$2,942.00 ",72193,72193
34225763,350,1.468,CT PELVIS W/O W/CONTRAST,"$3,281.00 ",72194,72194
34226241,350,1.468,CT UPR EXT W/O CONTRAST,"$1,903.00 ",73200,73200
34226365,350,1.468,CT UPR EXT W/CONTRAST,"$2,942.00 ",73201,73201
34226480,350,1.468,CT UPR EXT W/O W/CONTRAST,"$3,281.00 ",73202,73202
34226605,350,1.468,CT LWR EXT W/O CONTRAST,"$1,903.00 ",73700,73700
34226720,350,1.468,CT LWR EXT W/CONTRAST,"$2,942.00 ",73701,73701
34226746,350,1.468,3D REND/RECON W WORKSTATION,$560.00 ,76377,
34226845,350,1.468,CT LWR EXT W/O W/CONTRAST,"$3,281.00 ",73702,73702
34227322,350,1.468,CT ABDOMEN W/O CONTRAST,"$1,903.00 ",74150,74150
34227447,350,1.468,CT ABDOMEN W/CONTRAST,"$2,942.00 ",74160,74160
34227561,350,1.468,CT ABDOMEN W/O & W/CONTRAST,"$3,281.00 ",74170,74170
34228049,350,1.468,CT IR FLU PER DR W/CA PLC RS&I,"$1,223.00 ",75989,75989
34228163,350,1.468,CT IR GUIDE NDL PLCMT S&I,"$3,203.00 ",77012,77012
34228164,350,1.468,CT ABDOMEN & PELVIS W/O CNTRST,"$1,903.00 ",74176,74176
34228165,350,1.468,CT ABDOMEN & PELVIS W/CNTRST,"$2,942.00 ",74177,74177
34228166,350,1.468,CT ABDOMEN & PELVIS W/O & W/CN,"$3,281.00 ",74178,74178
34228430,350,1.468,CTA NECK W/CONTRAST MATERIALS,"$3,322.00 ",70498,70498
34228431,350,1.468,CTA CHEST W/CONTRAST MATERIALS,"$3,322.00 ",71275,71275
34228432,352,1.468,CTA PELVIC W/CONTRAST MATERIAL,"$3,322.00 ",72191,72191
34228433,350,1.468,CTA UPPER EXT W/CONTRAST MATER,"$3,322.00 ",73206,73206
34228434,350,1.468,CTA LWR EXT W/CONTRAST MATERAL,"$3,322.00 ",73706,73706
34228435,352,1.468,CTA ABD W/CONTRAST MATERIALS,"$3,322.00 ",74175,74175
34228436,350,1.468,CTA AIF RUNOFF W/CONT MATERIAL,"$3,322.00 ",75635,75635
34228501,350,1.468,CT GUIDE MONITOR TISSUE ABLAT,$873.00 ,77013,77013
34228502,350,1.468,CT HRT W/O DYE W/CA TEST,$275.00 ,75571,75571
34228503,350,1.468,CT ANGIO HRT W/3D IMAGE,"$2,018.00 ",75574,75574
34228504,350,1.468,CT CEREBRAL PERFUSION ANALYSIS,"$3,322.00 ",0042T,
34335534,278,1.447,FUNNEL DEVICE/IMPLANT,$810.00 ,,Z7610
34350003,278,1.447,VIVIGEN BONE GRAFT 10CC VOL,"$9,486.00 ",,Z7610
34350010,278,1.447,VIVIEGN BONE GRAFT 1CC VOLUME,"$3,300.00 ",,Z7610
34352222,278,1.447,VIVIGEN BONE GRAFT 5CC,"$7,215.00 ",,Z7610
34356880,278,1.4421,EVACMAT 36 X 48,$217.00 ,,Z7610
34501654,270,1.447,ASCOPE 3 5.0/2.2,"$1,885.00 ",,Z7610
34501830,343,1.465,MIBG IODINE IOBENGUANE SULFATE,"$10,111.00 ",,A9508
34520031,270,1.447,KIT MULTITEST II,$177.84 ,,Z7610
34521865,270,1.45,DETERMIN HIV 1/2 AG/AB COMBO,$128.00 ,,Z7610
34521866,270,1.45,DETERMIN HIV 1/2 AG/AB CONTROL,$402.00 ,,Z7610
34608050,278,1.447,TAG THORACIC ENDOPROSTHESIS,"$34,144.00 ",,Z7610
34608060,278,1.447,TAG THORACIC ENDOPROSTHESIS,"$34,144.00 ",,Z7610
34610460,270,1.301,CATH MAHURKAR 12FR 20CM KIT,$577.00 ,,Z7610
34715045,621,1.447,TC-99M 1-10 MCI,$73.84 ,,A4641
34715284,621,1.447,TC-99M 20 MCI,$112.32 ,,A4641
34715409,621,1.447,TC-99M MAA,$93.60 ,,A9540
34715508,343,1.447,TC99M CARDIOLITE,$358.80 ,,A9500
34715763,270,1.447,XENON,"$1,058.72 ",,A4641
34716159,621,1.447,TC99M MAG3,$506.48 ,,A9562
34716977,270,1.447,INDIUM III WBC'S,"$1,283.36 ",,A4641
34717082,270,1.447,TC SUL COLL,$112.32 ,,A4641
34717207,343,1.447,TECHNETIUM TC99M MEDRONAT 30MC,$167.44 ,,A9503
34719047,343,1.447,TC99M SC-EGG,$243.36 ,,A4641
34805267,614,1.466,MRI ORBIT FACE &/O NECK W/CONS,"$3,145.00 ",70542,70542
34805275,614,1.466,MRI ORBIT FACE &/O NEC W/O W/C,"$3,839.00 ",70543,70543
34805283,615,1.466,MRA HEAD W/O CONTRAST,"$2,469.00 ",70544,70544
34805291,615,1.466,MRA HEAD W/CONTRAST,"$2,287.00 ",70545,70545
34805309,615,1.466,MRA HEAD W/O W/ CONTRAST,"$2,444.00 ",70546,70546
34805317,615,1.466,MRA NECK W/O CONTRAST,"$2,469.00 ",70547,70547
34805325,615,1.463,MRA NECK W/ CONTRAST,"$2,287.00 ",70548,70548
34805333,615,1.466,MRA NECK W/O W/ CONTRAST,"$2,444.00 ",70549,70549
34805341,614,1.466,MRI CHEST W/CONTRAST,"$3,145.00 ",71551,71551
34805358,614,1.466,MRI CHEST W/O W/CONTRAST,"$3,839.00 ",71552,71552
34805366,614,1.466,MRI PELVIS W/O CONTRAST,"$2,469.00 ",72195,72195
34805374,614,1.466,MRI PELVIS W/O W/CONTRAST,"$3,839.00 ",72197,72197
34805382,614,1.466,MRI UPR EXT OTH TN JT W/O CONT,"$2,469.00 ",73218,73218
34805390,614,1.466,MRI UPR EXT OTH TN JT W/CONT,"$3,145.00 ",73219,73219
34805408,614,1.466,MRI UPR EXT ANY JT W/CONTRAST,"$3,145.00 ",73222,73222
34805416,614,1.466,MRI UPR EXT ANY JT W/O W/CONTR,"$3,839.00 ",73223,73223
34805424,614,1.466,MRI LWR EXT W/O CONT OTH TH JT,"$2,469.00 ",73718,73718
34805432,614,1.463,MRI LWR EXT W/CONTRAST OTHT JT,"$2,287.00 ",73719,73719
34805440,614,1.466,MRI LWR EXT W/CONTRAST ANY JT,"$3,145.00 ",73722,73722
34805457,614,1.466,MRI LWR EXT W/O W/CONST ANY JT,"$3,839.00 ",73723,73723
34805465,614,1.466,MRI ABDOMEN W/CONTRAST,"$3,145.00 ",74182,74182
34805473,614,1.466,MRI ABDOMEN W/O & W/CONTRAST,"$3,839.00 ",74183,74183
34805501,614,1.466,MRI BREAST BILAT W/ CONTRAST,"$3,145.00 ",,
34805502,614,1.466,MRI BREAST BILAT W/O CONTRAST,"$2,469.00 ",77047,
34805503,614,1.466,MRI BREAST BILAT W/O  W/ CONTR,"$3,839.00 ",,
34824003,614,1.466,MRI TEMPOROMANDBULAR JOINT(S),"$2,469.00 ",70336,70336
34824102,614,1.466,MRI ORBIT FACE &/OR NECK W/O C,"$2,469.00 ",70540,70540
34824185,611,1.466,MRI BRAIN W/O CONTRAST,"$2,469.00 ",70551,70551
34824219,611,1.466,MRI BRAIN W/CONTRAST,"$3,145.00 ",70552,70552
34824243,611,1.466,MRI BRAIN W/O W/CONTRAST,"$3,839.00 ",70553,70553
34824318,614,1.466,MRI CHEST W/O CONTRAST,"$2,469.00 ",71550,71550
34824409,612,1.466,MRI SPINAL CERVICAL W/O CONTRA,"$2,469.00 ",72141,72141
34824433,612,1.466,MRI SPINAL CERVICAL W/CONTRAST,"$3,145.00 ",72142,72142
34824466,612,1.466,MRI SPINAL CERVICAL W/O W/CONT,"$3,839.00 ",72156,72156
34824516,612,1.466,MRI SPINAL THORACIC W/O CONST,"$2,469.00 ",72146,72146
34824557,612,1.466,MRI SPINAL THORACIC W/CONTRAST,"$2,287.00 ",72147,72147
34824581,612,1.466,MRI SPINAL THOR W/O W/CONTRAST,"$3,839.00 ",72157,72157
34824615,612,1.466,MRI SPINAL LUMBAR W/O CONTRAST,"$2,469.00 ",72148,72148
34824649,612,1.466,MRI SPINAL LUMBAR W/CONTRAST,"$3,145.00 ",72149,72149
34824672,612,1.466,MRI SPINAL LUMBAR W/O W/CONTRA,"$3,839.00 ",72158,72158
34824706,618,1.463,MRA SPINE,"$4,589.00 ",72159,72159
34824730,612,1.466,MRI PELVIC W/CONTRAST,"$3,145.00 ",72196,72196
34824763,618,1.463,MRA PELVIS,"$2,068.00 ",72198,72198
34824805,614,1.466,MRI UPR EXT OTH TN JT W/O W/CO,"$3,839.00 ",73220,73220
34824839,614,1.466,MRI UPR EXT ANT JT W/O CONTRAS,"$2,469.00 ",73221,73221
34824862,618,1.466,MRA UPPER EXTREMITY,"$2,068.00 ",73225,73225
34824912,614,1.466,MRI LWR EXT W/O W/CONT OTH JT,"$3,839.00 ",73720,73720
34824946,614,1.466,MRI LWR EXT W/O CONTRST ANY JT,"$2,469.00 ",73721,73721
34824979,616,1.466,MRI LWR EXT W/O W/CONTRAST,"$2,068.00 ",73725,73725
34825000,614,1.466,MRI ABDOMEN W/O CONTRAST,"$2,469.00 ",74181,74181
34925404,270,1.447,I - 131 - 1-5MCI,$325.00 ,,
34956650,270,1.447,OXY FLOW METER 0-15 LPM,$177.00 ,,Z7610
34956653,270,1.447,OXY FLOW METER 0-3 LPM,$378.00 ,,Z7610
34956655,270,1.447,OXY FLOW METER 0-70 LPM,$360.00 ,,Z7610
35000010,350,1.468,CT IR GUIDE CYST DEEP SUPERFIC,"$2,288.00 ",77011,77011
35066570,270,1.4421,VENT TUBE MOD GOOD T SIL,$255.00 ,,Z7610
35223502,342,1.4642,INTRACAVITARY SIMPLE,"$1,858.00 ",77761,77761
35223759,342,1.4642,INTRACAVITARY INTERMEDIATE,"$1,858.00 ",77762,77762
35224005,342,1.4642,INTRACAVITARY COMPLEX,"$1,858.00 ",77763,77763
35225002,342,1.4642,INTERSTITIAL COMPLEX,"$3,694.00 ",77778,77778
35225101,342,1.4642,SUPERVISION AND HANDLING,$751.00 ,77790,77790
35225102,361,1.4642,LARYNGEALOSCOPY,"$4,450.00 ",31525,31525
35225103,361,1.4642,NASOPHARYNGEALOSCOPY,$336.00 ,92511,92511
35225104,402,1.4642,ULTRASOUND GUIDANCE,"$1,176.00 ",76965,76965
35225105,333,1.4642,CT GUIDANCE,"$1,026.00 ",77014,77014
35225109,333,1.4642,SPEC TELETH PLAN,"$1,423.00 ",77321,77321
35225110,333,1.4642,3-D SIMULATION,"$3,635.00 ",77295,77295
35225111,333,1.4642,SPEC PHY CONSULT,$548.00 ,77370,77370
35225112,333,1.4642,BRACH ISODOSE SIMPLE,$533.00 ,77316,77326
35225113,333,1.4642,BRACH ISODOSE INTERMEDIATE,"$1,478.00 ",77317,77327
35225114,333,1.4642,BRACH ISODOSE COMPLEX,"$1,478.00 ",77318,77328
35225115,333,1.4642,DAILY TREATMENT COMPLEX,$909.00 ,77412,77412
35225116,333,1.4642,DAILY TREATMENT COMPLX 11-19MV,$842.00 ,77412,77412
35225117,342,1.4642,INFUSION OF P 32,$842.00 ,77750,77750
35225120,333,1.4642,SPEC TREAT PROC CHEMO&XRT COM,"$2,034.00 ",77470,77470
35225121,333,1.4642,TREATMENT MAN COMP COURSE 1OR2,$390.00 ,77431,77431
35225123,333,1.4642,HDR SINGLE CHANNEL,"$3,206.00 ",77770,77785
35225124,333,1.4642,HDR 2-12 CHANNELS,"$3,206.00 ",77771,77786
35225125,333,1.4642,HDR 12+ CHANNELS,"$3,206.00 ",77772,77787
35225126,361,1.4642,BIOPSY ANORECTAL WALL,"$4,936.00 ",45100,45100
35225127,361,1.4642,EXAM UNDER ANESTHESIA PELVIC,"$4,193.00 ",57410,57410
35225128,361,1.4642,PROCTO/SIGMOIDOSCOPY,"$2,090.00 ",45300,45300
35225129,333,1.4642,IMRT PLANNING,"$3,635.00 ",77301,77301
35225130,333,1.4642,IMRT DELIVERY,"$2,043.00 ",77385,77385
35225131,333,1.4642,IMRT DELIVERY ALL OTHER SITES,"$2,043.00 ",77386,77386
35225132,333,1.4642,SIMPLE DAILY TREATMENT,$471.00 ,77402,77402
35225133,333,1.4642,INTERMEDIATE DAILY TREATMENT,$471.00 ,77407,77407
35227008,333,1.4642,PORT FILMS,$282.00 ,77417,77417
35227206,333,1.4642,TREATMENT DEVICE SIMPLE,"$1,045.00 ",77332,77332
35227230,333,1.4642,TREATMENT DEVICE INTERMEDIATE,"$1,045.00 ",77333,77333
35227255,333,1.4642,TREATMENT DEVICE COMPLEX,"$1,045.00 ",77334,77334
35227305,333,1.4642,ROUTINE PHYSICS,$548.00 ,77336,77336
35227404,333,1.4642,SIMULATION COMPLEX,"$1,423.00 ",77290,77290
35227412,333,1.4642,SIMULATION INTERMEDIATE,"$1,423.00 ",77285,77285
35227420,333,1.4642,SIMULATION SIMPLE,$548.00 ,77280,77280
35227461,342,1.4642,SURFACE APPLICATION RADIO ELEM,$514.00 ,77789,77789
35227511,333,1.4642,DEPTH DOSE CALCULATION,$548.00 ,77300,77300
35227537,333,1.4642,THERAPY COMPLEX,$533.00 ,77307,77307
35227610,333,1.4642,THERAPY PLANNING SIMPLE,$662.00 ,77261,77261
35227628,333,1.4642,TREATMENT PLANNING INTERMEDIAT,$717.00 ,77262,77262
35227636,333,1.4642,THERAPY PLANNING COMPLEX,"$1,031.00 ",77263,77263
35227701,333,1.4642,SOFT TISSUE NEEDLE PLCMT,"$5,811.00 ",20555,20555
35227702,361,1.4642,BRONCHOSCOPY,"$3,313.00 ",31643,31643
35227703,333,1.4642,HEAD OR NECK NEEDLE PLCMT,"$5,200.00 ",41019,41019
35227705,329,1.4642,PROSTATE TRANSPERINEAL NDL PLC,"$6,734.00 ",55875,55875
35227706,333,1.4642,PELVIC GENITALIA NEEDLE PLCMT,"$4,773.00 ",55920,55920
35227707,342,1.4642,LITERINE TANDEMS/OVOIDS,"$2,072.00 ",57155,57155
35227708,333,1.4642,MLC DEVICES FOR IMRT,"$3,032.00 ",77338,77338
35227709,333,1.4642,DT - COMPLEX (20+MV),$842.00 ,77412,77412
35227710,333,1.4642,STEREOSCOPIC GUIDANCE,$712.00 ,77387,77387
35227711,333,1.4642,SPECIAL DOSIMETRY BY TR PHYS,$548.00 ,77331,77331
35368506,270,1.447,VASCULAR ACCESSORY PACK-LF,$87.00 ,,Z7610
36011570,270,1.447,AZUR COIL SYSTEM,"$4,845.00 ",,Z7610
36011571,270,1.447,AZUR 35 FRAMING COIL 10X26,"$3,315.00 ",,Z7610
36016023,272,1.447,RUNTHROUGH HYPERCOAT GUIDEWIRE,$660.00 ,,Z7610
36030545,278,1.447,SPOT ENDOSCOPTIC MARKER,$179.00 ,,A4648
36040011,278,1.447,SHEILD RADPAD DISP,$514.80 ,,Z7610
36100646,270,1.447,CUSTOM SEAMD GARMENT,"$1,460.00 ",,Z7610
36101095,341,1.465,NM LOCAL INFLAM PROC WHOLE BDY,"$2,175.00 ",78806,78806
36109900,270,1.4631,BIOPSY MAMMOTOME 8G SHAPE 3,$579.00 ,,Z7610
36109905,270,1.4631,BIOPSY MAMMOTOME 11G SHAPE 3,$579.00 ,,Z7610
36109910,270,1.447,MARKER ULTRASOUND 15G SHAPE 3,$518.00 ,,Z7610
36109915,278,1.447,15G HYDROMARK COIL MARKER,$518.00 ,,Z7610
36110005,270,1.447,BIOPSY NEEDLE 18GX16CM DISP,$227.00 ,,Z7610
36110006,278,1.447,14 GUAGE BREAST MARKER,$467.00 ,,Z7610
36110010,279,1.4631,HYDROMAEK BIOPSY SITE IDENT,$623.00 ,,Z7610
36110014,270,1.4631,BIOPSY NEEDLE 18GA,"$1,577.00 ",,Z7610
36110016,270,1.447,BIOPSY NEEDLE 20GA,$270.00 ,,Z7610
36110018,279,1.447,8G MAMMOMARK BIOPSY SITE IDENT,$792.00 ,,Z7610
36110020,278,1.447,11G MAMMOMARK BIOPSY SITE IDEN,$512.00 ,,A4648
36110022,270,1.447,HEMOSTAT D-STAT FLOWABLE,"$1,153.36 ",,Z7610
36110033,270,1.447,D-START DRY HEMOSTASIS,$647.92 ,,Z7610
36110034,270,1.447,V-PAD HEMOSTASIS DEVICE,$210.00 ,,Z7610
36110044,278,1.447,PORT IMPLANT SMART PORT 7.5FR,"$3,837.60 ",,C1777
36110111,278,1.447,COIL VORTEX 2MM X 3MM,"$1,283.36 ",,Z7610
36110133,278,1.447,COIL VORTEX 2MM X 5MM,"$1,283.36 ",,Z7610
36110153,270,1.447,VASCULAR PLUG II 7FR 22MMX18MM,"$7,200.00 ",,Z7610
36110300,278,1.4631,GDC-TARGET HELICAL COIL 3X8CM,"$4,202.00 ",,
36110301,278,1.4631,GDC-TARGET HELICAL COIL 3X6CM,"$4,202.00 ",,
36110302,278,1.4631,GDC-TARGET HELICAL COIL 3X4CM,"$4,202.00 ",,
36110303,278,1.4631,GDC-TARGET HELICAL COIL 2X6CM,"$4,202.00 ",,
36110304,278,1.4631,GDC-TARGET HELICAL COIL 2X4CM,"$4,202.00 ",,
36110305,278,1.4631,GDC-TARGET HELICAL COIL 2X3CM,"$4,202.00 ",,
36110306,278,1.4631,GDC-TARGET 360-SOFT 10X30CM,"$6,302.00 ",,
36110307,278,1.4631,GDC-TARGET 360-SOFT 9X30CM,"$5,953.00 ",,
36110308,278,1.4631,GDC-TARGET 360-SOFT 8X30CM,"$5,953.00 ",,
36110309,278,1.4631,GDC-TARGET 360-SOFT 6X15CM,"$5,953.00 ",,
36110310,278,1.4631,GDC-TARGET 360-SOFT 5X15CM,"$5,953.00 ",,
36110311,278,1.4631,GDC-TARGET 360-SOFT 5X10CM,"$5,953.00 ",,
36110312,278,1.4631,GDC-TARGET 360-ULTRA 5X10CM,"$6,302.00 ",,
36110313,278,1.4631,GDC-TARGET 360-ULTRA 4X10CM,"$6,302.00 ",,
36110314,278,1.4631,GDC-TARGET 360-ULTRA 3X8CM,"$6,302.00 ",,
36110315,278,1.4631,GDC-TARGET 360-ULTRA 3X6CM,"$6,302.00 ",,
36110316,278,1.4631,GDC-TARGET 360-ULTRA 3X4CM,"$6,302.00 ",,
36110317,278,1.4631,GDC-TARGET 360-ULTRA 2X4CM,"$6,302.00 ",,
36110318,278,1.4631,INZONE DETACHMENT HANDLE COIL,"$1,368.00 ",,
36110319,270,1.4631,GDC-TARGET HELICAL 4X10CM 360S,"$5,953.00 ",,
36110320,270,1.4631,GDC-TARGET HELICAL 2X3CM,"$4,202.00 ",,
36110321,270,1.4631,GDC-TARGET HELICAL 2X1CM,"$4,202.00 ",,
36110322,270,1.4631,GDC-TARGET HELICAL 2XCM 360,"$6,302.00 ",,
36110323,278,1.4631,TARGET 360 4MMX8CM COIL,"$5,953.00 ",,
36110324,278,1.4631,COIL TARGET 360 STND 5MMx15CM,"$5,603.00 ",,Z7610
36110325,278,1.4631,COIL TARGET 360 STND 6MMx15CM,"$6,302.00 ",,Z7610
36110326,278,1.4631,COIL TARGET HELICAL 4MMX8CM,"$4,202.00 ",,
36110327,270,1.4631,COIL TARGET HELICAL 1.5X3CM,"$4,377.00 ",,
36110328,270,1.4631,COIL TARGET HELICAL 1.5X4CM,"$4,377.00 ",,
36110330,272,1.4631,TEFLON STRT BENTSON .018X180CM,$127.00 ,,Z7610
36110363,270,1.447,MICROPLEX COSMOS 10-SR COIL,"$4,560.00 ",,Z7610
36110370,270,1.447,MICROPLEX 10 HELICAL HYPERSOFT,"$3,600.00 ",,Z7610
36110397,270,1.447,MICOPLEX 10 3D COIL,"$4,781.00 ",,Z7610
36110399,270,1.447,MICOPLEX 10 3D COIL,"$4,781.00 ",,Z7610
36110484,340,1.465,NM THYROID IMAGING,$696.00 ,78013,78013
36110492,340,1.465,NM TUMOR LOCA WHOLE BDY 1 DAY,"$2,175.00 ",78802,78802
36110550,270,1.4078,BONE MARROW ASPIRATION KIT,"$7,353.00 ",,C1830
36110551,270,1.4631,DIRECT ASPIRATION UNIT,"$8,544.00 ",,Z7610
36110553,270,1.4631,MAX ASPIRATION TUBING,"$2,592.00 ",,Z7610
36110555,270,1.4631,MAX PUMP,"$17,506.00 ",,Z7610
36110556,270,1.4631,5 MAX ACE CATHETER,"$6,969.00 ",,Z7610
36110557,270,1.4631,3 MAX CATHETER,"$4,868.00 ",,Z7610
36110558,270,1.4631,4 MAX CATHETER,"$4,868.00 ",,Z7610
36110559,270,1.4631,5 MAX CATHETER,"$4,868.00 ",,Z7610
36110560,270,1.4631,VELOCITY DELIVERY MICROCATH,"$6,514.00 ",,Z7610
36110561,278,1.4631,NEURON MAX LONG SHEATH 6FR80CM,"$2,768.00 ",,Z7610
36110562,270,1.4631,NEURON MAX LONG SHEATH 6FR90CM,"$2,768.00 ",,Z7610
36110591,340,1.465,NM THYR CARCINOMA METAS WHL BD,"$1,521.00 ",78018,78018
36110625,340,1.465,NM PARATHYROID IMAGING,"$1,150.00 ",78070,78070
36110732,278,1.447,COIL PUSHER-16,"$1,790.88 ",,Z7610
36110733,270,1.447,NYLON COIL 10MMX30MM,"$3,732.00 ",,Z7610
36110734,278,1.447,NYLON COIL 6MM X 20MM,"$3,600.00 ",,L8699
36110735,272,1.447,NYLON COIL 7MMX30MM,"$3,600.00 ",,Z7610
36110740,340,1.465,NM GASTRIC EMPTYING STUDY,"$1,254.00 ",78264,78264
36110743,270,1.4631,CONCERTO DETACHABLE COIL,"$4,356.00 ",,Z7610
36110744,270,1.4631,CONCERTO DETACHABLE COIL,"$4,356.00 ",,Z7610
36110745,270,1.4631,CONCERTO DETACHABLE COIL,"$4,356.00 ",,Z7610
36110746,270,1.4631,CONCERTO DETACHABLE COIL,"$4,356.00 ",,Z7610
36110747,270,1.4631,CONCERTO DETACHABLE COIL,"$4,356.00 ",,Z7610
36110748,270,1.4631,CONCERTO DETACHABLE COIL,"$4,356.00 ",,Z7610
36110749,270,1.4631,CONCERTO DETACHABLE COIL,"$4,356.00 ",,Z7610
36110750,270,1.4631,CONCERTO DETACHABLE COIL,"$4,356.00 ",,Z7610
36110807,340,1.465,NM ACUTE GI BLOOD LOSS,"$1,254.00 ",78278,78278
36110864,272,1.447,WIRE .016 175CM 8CM,$560.00 ,,Z7610
36111060,270,1.447,VISE MULTI-TORQUE,$61.36 ,,Z7610
36111359,340,1.465,NM LOCAL INFLAM PROCESS LTD,"$2,175.00 ",78805,78805
36111409,340,1.465,NM LYMPHATICS & NODES IMAGING,"$1,346.00 ",78195,78195
