MNEMONIC,DESCRIPTION, STD.CHARGE 
447046442,LUMBAR DRAINAGE KIT / 46442, $983.00 
447050003,CATH S-G 93-116-4FR, $695.00 
447050007,CATH PACING ELECTRODE, $259.00 
447050008,CATH S-G 93-110-5FR, $618.00 
447050010,CATH S-G THERMODILUTION, $620.00 
447050011,CATH S-G 93-132-5FR PED," $2,044.00 "
447050018,CATH S-G 93-111-7FR, $505.00 
447050020,ELECTRODE PACING BARD, $506.00 
447050021,CATH GROSHONG PICC 8FR SIN," $1,062.80 "
447050022,GROSHONG DUAL CV CATH," $4,097.00 "
447050035,CATH PACING FEMORAL, $947.00 
447050068,KIT IABP DATA 9.5FR," $2,667.00 "
447050069,INTRODUCER PERCOR, $555.00 
447050084,KIT IABP INSERTION," $1,192.00 "
447050099,R2 PAD SET PEDIATRI DEFIB PADS, $196.00 
447050102,PERICARDIAL DRAIN, $745.00 
447058749,VAIL BED (REHAB), $108.00 
447060179,CATH SUPRAPUBIC STAMEY, $181.00 
447060215,OXIMETRIX CATHETER," $2,308.00 "
447060252,TUBE THOW G-JEJUNOSTOMY," $2,044.00 "
447060254,TUBE THOW GASTROINTESTINAL," $1,246.00 "
447060501,SURG SUPPLIES-1," $2,418.00 "
447060649,TUBE MOSS 18FR," $2,632.00 "
447070009,CATH RECTAL 30FR/50-75CC, $478.00 
447070021,FILIFORMS STERILE, $520.00 
447070022,CATH PRECEP," $1,152.00 "
447070100,KIT SENSOR INJECTATE LIDCO, $606.00 
447070120,LUMBAR DRAINAGE KIT/46442," $1,368.00 "
447080102,CATH HICKMAN 7FR DUAL," $2,281.00 "
447080108,BOX INTUBATION, $548.00 
447080114,TRAY CHEST DRAIN/ATS DBL," $1,076.00 "
447080121,TRAY CVP ANTISEPIC, $286.00 
447080122,TRAY CVP 5FX2 ARROW CATH, $345.00 
447080432,TRAY ARROW DISP, $443.00 
447080434,TRAY GASTRIC LAVAGE, $675.00 
447080458,TRAY VCP ARROW3 16GAX12, $124.00 
447080459,TRAY THORACENTESIS DISP, $158.00 
447080460,TRAY JAMASHIDI SOFT TISSUE, $449.00 
447080465,TRAY HEMODIALYSIS SUBCLAVIAN, $533.00 
447080466,TRAY HEMODIALYSIS FEMORAL, $394.00 
447080467,TRAY MAHURKAR SUBCLAVIAN, $385.00 
447080468,TRAY MAHURKAR FEMORAL, $385.00 
447080472,TRAY BONE MARROW DISP, $132.00 
447080473,TRAY MULTILUMEN 12FR, $384.00 
447080478,TRAY PERITONEAL LAVAGE DISP, $409.00 
447080480,TRAY PERMACATH 40CM DUAL," $2,612.00 "
447087000,BRACE SOMI," $1,476.00 "
447087001,BRACE JEWETT MED," $1,117.00 "
447087002,BRACE JEWETT LG," $1,117.00 "
447087003,BRACE CASH STANDARD," $1,117.00 "
447087004,BRACE CASH LG," $1,117.00 "
447087005,COLLAR MIAMI J STOUT, $552.00 
447087006,COLLAR MIAMI J SUPER SHORT, $413.00 
447087007,COLLAR MIAMI J MED, $552.00 
447087008,COLLAR MIAMI J STANDARD, $552.00 
447090002,CATH GUIDING 6.8FR COOK, $947.00 
447090003,CATH COOK, $252.00 
447090004,DRAPE DISP 3/4 SHEET, $65.00 
447090006,NEEDLE BIOPSY ACHIEVE 20GA X 6, $458.00 
447090007,DILATOR VESSEL, $118.00 
447090008,SYRINGE CLEARVU DISP, $65.00 
447090011,TUBE SYRINGE FILL, $9.00 
447090012,NEEDLE BIOPSY CHIBA, $234.00 
447090013,KIT BIOPSY GUIDANCE, $202.00 
447090014,COILS TORNADO, $895.00 
447090016,OCCLUDING SPRING EMBOLUS, $290.00 
447090017,CATH BALLOON OCCLUSION, $494.00 
447090018,CATH BALLOON DILATATION," $2,612.00 "
447090019,SNARES TRACKER," $3,479.00 "
447090020,SET PNEUMOTHORAX, $968.00 
447090021,KIT NEEDLE GUIDE ACUSON, $299.00 
447090022,NEEDLE BIOPSY 20GA U/S, $308.00 
447090024,VAN SONNENBERG SUMP KIT," $1,346.00 "
447090025,NEEDLE HAWKINS-AKIN, $374.00 
447090027,TUBING H-P CORDIS, $282.00 
447090028,BARIUM ENEMA PREP KIT, $43.00 
447090030,COPE CATHETERS, $794.00 
447090031,CATH INFUSION," $2,612.00 "
447090032,COOK MICRO PUNCTURE SET, $362.00 
447090033,TORGUE DEVICE, $135.00 
447090034,STIFFENER FOR TIPS, $251.00 
447090035,TUBE DUODENOGRAPHY, $895.00 
447090036,COOK SHEATH VCF, $333.00 
447090037,NEEDLE LEE BIOPSY, $165.00 
447090039,CATH GUIDEZILLA, $996.00 
447090041,NEEDLE WESTCOTT BIOPSY, $161.00 
447090043,CORE WIRE KATZEN, $362.00 
447090046,MEDITECH BILIARY CATH, $869.00 
447090049,ADAPTER Y GATEWAY, $362.00 
447090050,TUBE CRIMPING, $87.00 
447090051,GUIDEWIRE TIP DEFLECTOR, $507.00 
447090052,SNARES 10M/15M," $2,485.00 "
447090054,TUBE GASTROENTERIC," $1,541.00 "
447090055,STENT VASCULAR/BALLOON," $9,407.00 "
447090057,MOLNAR, $120.00 
447090058,PERCUFIX CATH CUFF KIT, $213.00 
447090059,STENT VASCULAR," $7,537.00 "
447090060,NEEDLE OSTY-CORE BONE BIOPSY, $467.00 
447090061,ENEMA RING, $85.00 
447090062,NEEDLE MAX-CORE 10CM, $274.00 
447090064,RENAL DILATOR SET," $2,238.00 "
447090065,DRAPE FLUORO, $37.00 
447090066,DILATATION NEPHROSTOMY SET," $2,189.00 "
447090068,KIT SAFETY WIRE GUIDE, $399.00 
447090069,HEMOSTASIS VALVE, $132.00 
447090070,BILIARY BASKET DISP," $2,387.00 "
447090073,INDEFLATOR WITH GUAGE, $850.00 
447090074,SET RETRIEVAL TRAKER," $4,476.00 "
447090075,NEEDLE PENCIL POINT DISP, $183.00 
447090076,CATH GLIDEX APDL," $4,097.00 "
447090077,NEEDLE TROCAR, $385.00 
447090078,ACCUSTICK INTRODUCER SYSTEM, $922.00 
447090081,CATH GLIDEX APD," $3,606.00 "
447090083,GUIDEWIRE TAD, $996.00 
447090084,NEEDLE SIALOGRAPHY, $257.00 
447090085,GUIDEWIRE SUPERSTIFF, $947.00 
447090086,CATH MEW INFUSION, $850.00 
447090088,WIRE GLIDE, $587.00 
447090089,TRACKER WIRE," $1,745.00 "
447090090,MONOPTY BIOPSY INST DISP, $467.00 
447090092,NEEDLE ENTRY ANGIOGRAPHIC, $108.00 
447090093,SYRINGE CT TRI-PAK, $143.00 
447090095,CATH TRACHER 24," $2,990.00 "
447090096,TRACKER COILS 2MM-4MM, $968.00 
447090098,KATZEN WIRE," $2,238.00 "
447090099,SET SUTURE ANCHOR, $604.00 
447090100,BILIARY BASKET 6 WIRES," $2,437.00 "
447090101,CATH ATHRECTOMY," $6,205.00 "
447090102,MOTOR DRIVE PA4100," $1,296.00 "
447090103,TRACKER COIL PUSHER-16," $1,192.00 "
447090105,INTRODUCER LONG, $527.00 
447090106,STENT URETERAL," $1,494.00 "
447090107,STENT BILIARY WALL," $17,529.00 "
447090108,BIODYNE PVA-300-500," $1,296.00 "
447090111,NEPHROSTOMY TRACT DILATOR," $1,985.00 "
447090113,GUIDEWIRE KIT ACS, $503.00 
447090115,NEEDLE SMART, $947.00 
447090116,ASAP 18G BIOPSY SYSTEM, $745.00 
447090117,NAVIGUIDE WIRE, $62.00 
447090118,SET INTRAVASCULAR RETRIEVE," $7,357.00 "
447090119,BASKET BILIARY 9MM/15MM/20MM," $2,437.00 "
447090120,SHEATH FLEXIBLE, $618.00 
447090121,SET TRANSJUGULAR ACCESS TIPS," $3,108.00 "
447090122,CATH NEPHROSTOMY FLEXIMA, $922.00 
447090123,HEMOCATH," $2,137.00 "
447090124,SET GASTROSTOMY," $1,443.00 "
447090127,DIAMOND BALL 120," $2,737.00 "
447090128,CATH GUIDING 9FR, $895.00 
447090129,NEEDLE CHIBA BIOPSY, $234.00 
447090130,STENT BILIARY WALL," $15,868.00 "
447090131,STENT BILIARY WALL 8X20," $11,396.00 "
447090132,STENT VASCULAR ON BALLOON," $7,357.00 "
447090133,STENT 3CM 4MM-9MM," $7,646.00 "
447090134,STENT PREMOUNTED 10MM," $9,089.00 "
447090135,STENT 3CM 8MM-12MM," $6,781.00 "
447090136,STENT 30MM 8MM-12MM," $8,081.00 "
447090137,CATH CHEST DRAIN W/TIP," $1,144.00 "
447090138,CONTAMINATION SHEATH 110, $947.00 
447090139,PREDATOR BALLOON 3.0MM," $3,363.00 "
447090140,GUIDEWIRE TORQUE, $745.00 
447090141,NEEDLE TRU-GUIDE, $213.00 
447090142,CATH INFUSION 5FR, $947.00 
447090143,STENT WALL 160CM," $10,099.00 "
447090144,STABILIZER .14 WIRE," $1,095.00 "
447091070,ADAPTER ETCO2, $194.00 
447091071,ADAPTER CO2 LOWDEAD SPACE, $249.00 
450000005,BUTTE BLOOD DRAW EA 15MIN #, $12.50 
450000500,CBC WITH AUTO DIFFERENTIAL, $324.00 
450000503,CBC COMPLETE W AUTO PLT CNT, $328.00 
450000505,MANUAL DIFFERENTIAL, $129.00 
450000510,CBC, $308.00 
450000515,BODY FLUID CELL COUNT, $387.00 
450000520,PERICARDIAL FLUID CELL COUNT, $387.00 
450000522,PERITONEAL LAVAGE CELL COUNT, $256.00 
450000525,SPINAL FLUID CELL COUNT, $387.00 
450000530,RETICULOCYTE - AUTOMATED, $150.00 
450000535,PLATELET - MAN, $316.00 
450000540,SEDIMENTATION RATE, $116.00 
450000545,A.P.T. TEST, $653.00 
450000550,SUGAR WATER, $349.00 
450000555,FETAL STAIN, $440.00 
450000560,MALARIAL STAIN, $417.00 
450000565,SICKLE QUICK, $494.00 
450000570,LEUKOCYTE ALK. PTASE., $735.00 
450000575,EOSINOPHILS-BODY FLUID, $387.00 
450000580,BRONCHEO-ALVEOLAR LAVAGE CELL, $256.00 
450000590,"EOSINOPHIL COUNT, TOTAL", $417.00 
450000595,RAPE EXAM, $256.00 
450000600,FERN TEST, $225.00 
450000610,COMPLEMENT COMPONENT 3, $256.00 
450000620,COMPLEMENT COMPONENT 4, $256.00 
450001005,PROTHROMBIN TIME, $148.00 
450001010,PARTIAL THROMBOPLASTIN (PTT), $448.00 
450001011,PTT HEPARIN ALG., $276.00 
450001015,FIBRINOGEN, $477.00 
450001020,THROMBIN TIME (TT), $451.00 
450001025,FIBRIN SPLIT PRODUCTS, $543.00 
450001030,ACT (ACTIVATED CLOT TIME), $742.00 
450001035,BLEEDING TIME, $488.00 
450001040,CIRC. ANTICOAG SCREEN, $894.00 
450001045,ANTITHROMBIN III, $334.00 
450001050,D-DIMER, $542.00 
450001508,UA MICROSCOPIC EXAM REFLEX CHA, $237.00 
450001509,UA WITHOUT MICRO, $99.00 
450001510,URINE CHEM SCREEN, $154.00 
450001515,URINALYSIS W/MICRO, $240.00 
450001525,URINE PH, $138.00 
450001528,URINE KETONES - DIPSTICK, $209.00 
450001530,URINE SPECIFIC GRAVITY, $209.00 
450001540,OCCULT BLOOD - OTHER, $173.00 
450001545,REDUCING SUBSTANCES, $209.00 
450001550,"FAT SCREEN, RANDOM", $339.00 
450001555,SWEAT CHLORIDE, $533.00 
450001560,CRYSTAL EXAM, $384.00 
450001565,PYLORITEK, $281.00 
450001570,BILE FOR CHOL. CRYSTALS, $255.00 
450001575,FLUID BILE, $88.00 
450001600,OCCULT BLOOD - STOOL., $90.00 
450001605,OCCULT BLOOD - URINE, $173.00 
450001610,OCCULT BLOOD - GASTRIC, $90.00 
450001620,"URINALYSIS, CULTURE IF INDICAT", $240.00 
450001830,PLATELET FUNCTION ASSAY, $213.00 
450002005,MENINGITIS LATEX PANEL," $1,775.00 "
450002010,C. DIFFICILE TOXIN A, $372.00 
450002015,COLD AGGLUTININS, $327.00 
450002020,"C-REACTIVE PROTEIN, QUANTITATI", $321.00 
450002025,CRYPTOCOCCAL AG LATEX, $394.00 
450002030,FEBRILE AB DETECTION, $357.00 
450002035,HAPTOGLOBIN, $229.00 
450002040,MONO LATEX (MONOSPOT), $110.00 
450002045,RA LATEX SLIDE-QUAL., $12.00 
450002048,RA TITER., $522.00 
450002050,RSV, $639.00 
450002055,"HCG,SERUM QUALITATIVE", $162.00 
450002060,"HCG,URINE QUALITATIVE", $86.00 
450002065,GROUP A STREP SCREEN, $110.00 
450002080,STREPTOZYME SLIDE TEST, $225.00 
450002085,HIV SCREEN, $180.00 
450002090,HEP. B SUFACE AG., $342.00 
450002095,INFLUENZA A/B ANTIGEN, $294.00 
450002097,INFLUENZA B AG - CHARGE, $146.00 
450002100,H. PYLORI IGG AB, $110.00 
450002110,HIV 1/2 RAPID SCREEN, $248.00 
450003525,RENAL FUNCTION PANEL, $722.00 
450003530,LIPID PANEL, $466.00 
450003540,HEPATIC FUNCTION PANEL, $182.00 
450003557,ELECTROLYTES, $157.00 
450003560,D-XYLOSE ABSORBTION TEST, $405.00 
450003562,TOTAL BILIRUBIN - CHARGE, $83.00 
450003563,DIRECT BILIRUBIN - CHARGE, $83.00 
450003570,GEST GLUC TOLERANCE, $328.00 
450003575,GEST DIABETES SCREEN, $328.00 
450003580,GTT 4 SPECIMENS (PANEL), $626.00 
450003585,GTT 5 SPECIMENS (PANEL), $722.00 
450003590,GTT 6 SPECIMENS (PANEL), $816.00 
450003595,GTT 7 SPECIMEN (PANEL), $912.00 
450003600,GTT 8 SPECIMEN (PANEL)," $1,008.00 "
450003605,LACTOSE TOLERANCE," $1,137.00 "
450003610,GASTRIC ANALYSIS, $331.00 
450003615,IRON PANEL, $222.00 
450003620,FASTING GLUCOSE TOLERAN, $316.00 
450003621,FASTING GLUCOSE GEST TO, $195.00 
450003622,"GLUCOSE, FASTING", $316.00 
450003630,GTT 3 SPECIMEN, $575.00 
450003631,1 HR GLUCOSE GEST TOLERANCE, $162.00 
450003635,GTT EA ADDL SPECIMEN >3, $106.00 
450003636,2HR GLUCOSE GEST TO, $354.00 
450003637,GLUCOSE - 2HR PP, $316.00 
450003640,3HR GLUCOSE TOLERAN, $79.00 
450003641,3HR GLUCOSE GEST TO, $61.00 
450003645,4HR GLUCOSE TOLERAN, $75.00 
450003650,5HR GLUCOSE TOLERAN, $61.00 
450003655,6HR GLUCOSE TOLERAN, $75.00 
450003665,BASIC METABOLIC PANEL, $377.00 
450003670,COMP METABOLIC PANEL, $437.00 
450003681,CK CHARGE, $253.00 
450003686,PHOS CHARGE, $253.00 
450003691,LD CHARGE, $253.00 
450003692,URIC ACID CHARGE, $253.00 
450003693,GGT CHARGE, $253.00 
450003705,GLUCOSE, $88.00 
450003707,"KETONE, QUALITATIVE", $130.00 
450003710,KETONES, $493.00 
450003715,UREA NITROGEN, $88.00 
450003720,CREATININE, $88.00 
450003725,SODIUM, $88.00 
450003730,POTASSIUM, $88.00 
450003735,CHLORIDE, $88.00 
450003740,BICARBONATE (TOTAL CO2), $88.00 
450003745,CALCIUM, $88.00 
450003750,PHOSPHOROUS, $88.00 
450003755,MAGNESIUM, $184.00 
450003760,URIC ACID, $137.00 
450003765,TRIGLYCERIDES, $137.00 
450003770,CHOLESTEROL, $164.00 
450003775,HDL CHOLESTEROL, $84.00 
450003780,BILIRUBIN - TOTAL, $88.00 
450003785,"BILIRUBIN, DIRECT", $83.00 
450003790,ALK PHOSPHATASE, $88.00 
450003800,GAMMA GT, $134.00 
450003805,AST (SGOT), $88.00 
450003810,ALT (SGPT), $88.00 
450003815,LDH, $454.00 
450003820,CPK, $341.00 
450003825,AMYLASE, $184.00 
450003830,TOTAL PROTEIN, $88.00 
450003835,ALBUMIN, $134.00 
450003845,AMMONIA, $572.00 
450003850,SERUM OSMOLALITY, $360.00 
450003855,LIPASE, $183.00 
450003860,IRON, $91.00 
450003865,TIBC, $57.00 
450003870,LITHIUM LEVEL, $360.00 
450003875,LACTATE, $543.00 
450003885,LEAD, $219.00 
450003905,CSF GLUCOSE, $385.00 
450003910,CSF PROTEIN, $318.00 
450003915,URINE OSMOLALITY, $369.00 
450003920,URINE PROTEIN, $318.00 
450003925,URINE PROTEIN 12HR, $318.00 
450003930,URINE PROTEIN 24HR, $318.00 
450003935,URINE SODIUM, $416.00 
450003940,URINE SODUIM 12HR, $256.00 
450003945,URINE SODIUM 24HR, $416.00 
450003950,URINE POTASSIUM, $417.00 
450003955,URINE POTASSIUM 12HR, $256.00 
450003960,URINE POTASSIUM 24HR, $417.00 
450003965,URINE CREATININE, $437.00 
450003970,URINE CREATININE 12HR, $403.00 
450003975,URINE CREATININE CLEAR - 12HR, $693.00 
450003980,URINE CLEAR-CORRECTED 12HR, $429.00 
450003985,URINE CREATININE 24HR, $437.00 
450003990,URINE CREATININE CLEAR - 24HR, $693.00 
450003995,URINE CLEAR-CORRECTED 24HR, $429.00 
450004000,URINE UREA NITROGEN, $316.00 
450004005,URINE UREA NIT. 12HR, $196.00 
450004010,URINE UREA NIT. 24HR, $316.00 
450004015,URINE AMYLASE, $184.00 
450004020,URINE AMYLASE 12HR, $280.00 
450004025,URINE AMYLASE 24HR, $305.00 
450004030,URINE CALCIUM, $138.00 
450004035,URINE CALCIUM 12HR, $196.00 
450004040,URINE CALCIUM 24HR, $316.00 
450004045,URINE PHOSPHOROUS, $318.00 
450004050,URINE PHOSPHOROUS 12HR, $196.00 
450004055,URINE PHOSPHOROUS 24HR, $318.00 
450004060,URINE GLUCOSE, $316.00 
450004065,URINE GLUCOSE 12HR, $196.00 
450004070,URINE GLUCOSE 24HR, $196.00 
450004075,URINE URIC ACID, $233.00 
450004080,URINE URIC ACID 12HR, $213.00 
450004085,URINE URIC ACID 24HR, $318.00 
450004090,TRYPSIN (STOOL), $306.00 
450004095,PH - FLUID, $236.00 
450004100,SPECIFIC GRAVITY - FLUID, $236.00 
450004105,"URINE MAGNSEIUM, RANDOM", $184.00 
450004110,"MAGNESIUM, 12HR URINE", $280.00 
450004115,"MAGNESIUM, 24HR URINE", $305.00 
450004335,FLUID GLUCOSE, $316.00 
450004340,FLUID TOTAL PROTEIN, $318.00 
450004345,FLUID LDH, $454.00 
450004350,AMYLASE - FLUID, $184.00 
450004355,CARDIOPLEGIA K+, $256.00 
450004360,"ALBUMIN, FLUID", $454.00 
450004365,"CREATININE, FLUID", $437.00 
450004370,"TRIGLYCERIDES, FLUID", $454.00 
450004375,"CHOLESTEROL, FLUID", $454.00 
450004465,GLUCOSE - C, $316.00 
450004466,PROTEIN - C, $280.00 
450004469,SODIUM - C, $182.00 
450004470,POTASSIUM - C, $267.00 
450004471,UREA NITROGEN - C, $182.00 
450004472,CREATININE - C, $280.00 
450004473,SODIUM CHARGE, $182.00 
450004474,IONIZED CALCIUM - C, $316.00 
450004475,GLUCOSE - CHARGE, $182.00 
450004505,ACETAMINOPHEN, $653.00 
450004510,TROUGH AMIKACIN, $384.00 
450004515,PEAK AMIKACIN, $342.00 
450004520,RANDOM AMIKACIN, $342.00 
450004525,CARBAMAZEPINE, $467.00 
450004528,CORTISOL STIMULATION PANEL, $603.00 
450004530,CORTISOL SERUM TOTAL, $218.00 
450004531,CORTISOL SERUM TOTAL ADDL, $218.00 
450004535,DISOPHYRAMIDE, $402.00 
450004540,DIGOXIN, $471.00 
450004545,ETHANOL, $653.00 
450004550,TROUGH GENTAMICIN, $510.00 
450004555,PEAK GENTAMICIN, $510.00 
450004560,RANDOM GENTAMICIN, $510.00 
450004570,LIDOCAINE, $522.00 
450004575,METHOTREXATE, $402.00 
450004580,PROCAINAMIDE & NAPA, $440.00 
450004590,PHENOBARBITAL, $457.00 
450004593,PRIMIDONE, $402.00 
450004595,PHENYTOIN, $470.00 
450004600,QUINIDINE, $384.00 
450004605,SALICYLATE, $471.00 
450004610,THEOPHYLLINE, $471.00 
450004615,TROUGH TOBRAMYCIN, $519.00 
450004620,PEAK TOBRAMYCIN, $519.00 
450004625,RANDOM TOBRAMYCIN, $519.00 
450004630,VALPROIC ACID, $516.00 
450004635,TROUGH VANCOMYCIN, $519.00 
450004640,PEAK VANCOMYCIN, $519.00 
450004645,RANDOM VANCOMYCIN, $519.00 
450004660,TSH, $612.00 
450004662,FREE T4, $185.00 
450004664,THYROID SCREEN, $360.00 
450004665,QUANT. B-HCG, $263.00 
450004670,CK-MB, $586.00 
450004671,TOTAL CK, $360.00 
450004675,TROPONIN I, $653.00 
450004685,MYOGLOBIN, $653.00 
450004700,FERRITIN, $653.00 
450004715,VITAMIN B12, $266.00 
450004720,"FOLATE, SERUM", $266.00 
450004725,URINE RAPID DRG SCRN MLT CLASS, $883.00 
450004730,ASSAY VIT D 25 HYDROXY, $185.00 
450004805,ABG, $735.00 
450004807,VENOUS O2 SATURATION, $281.00 
450004810,CAPILLARY BLOOD GAS, $735.00 
450004816,"SODIUM, NOVA", $182.00 
450004817,"POTASSIUM, NOVA", $182.00 
450004818,"CHLORIDE, NOVA", $182.00 
450004819,"GLUCOSE, NOVA", $316.00 
450004825,IONIZED CALCIUM, $316.00 
450004834,CARDIAC SURGERY PANEL, $735.00 
450004835,NEONATE PH/CORD BLOOD GASES, $669.00 
450004840,TROPONIN SERIES, $653.00 
450004845,3HR TROPONIN, $653.00 
450004850,6HR TROPONIN I, $653.00 
450004855,9HR TROPONIN, $653.00 
450004900,HGB A1C, $246.00 
450004905,PSA, $629.00 
450004910,BNP, $653.00 
450004915,CRP HIGH SENSITIVITY, $335.00 
450004930,FETAL FIBRONECTIN," $1,109.00 "
450004940,PARATHYROID HORMONE, $250.00 
450005500,"CULTURE BETA STREP, THROAT", $240.00 
450005505,"CULTURE GROUP B STREP, VAGINAL", $240.00 
450005510,"CULTURE, E. COLI 0157-H7", $362.00 
450005515,"CULTURE, PERTUSSIS", $240.00 
450005520,"CULTURE, YERSINIA", $362.00 
450005540,"CULTURE, BLOOD", $324.00 
450005560,"CULTURE, FLUID", $402.00 
450005570,"CULTURE, OTHER", $328.00 
450005580,"CULTURE, RESPIRATORY", $268.00 
450005585,"CULTURE, STOOL", $350.00 
450005590,"CULTURE, THROAT", $268.00 
450005600,"CULTURE, URINE", $240.00 
450005605,"CULTURE, VAGINAL/CERVICAL", $268.00 
450005615,MRSA/ORSA SCREEN, $240.00 
450005620,VRE SCREEN, $350.00 
450005625,"CULTURE, FUNGAL", $267.00 
450005630,CULTURE SCRN W PRESMPTV ID, $222.00 
450005635,GRAM STAIN, $83.00 
450005640,SALINE WET MOUNT, $173.00 
450005646,CONCENTRATED FLOURESCENT AFB S, $704.00 
450005650,KOH PREP, $173.00 
450005655,STOOL FOR LEUKOCYTES, $316.00 
450005660,STOOL FOR CRYPTOSPORIDIUM, $210.00 
450005665,OVA & PARASITES, $287.00 
450005667,STOOL GIARDIA/CRYPTOSPORIDIUM, $372.00 
450005670,ARTHROPOD EXAM, $144.00 
450005675,MACROSCOPIC EXAM OF PARASITE, $144.00 
450005680,"CULTURE, GC SCREEN", $350.00 
450005685,MIC PANEL, $320.00 
450005687,SPUTUM CULTURE CREDIT - MIXED, $377.00 
450005690,SENPAN (CHARGE FOR K-B/E TEST), $454.00 
450005692,"CULT URINE, PRESUMPTIVE ISO. I", $62.00 
450005694,LATEX TYPING STREP/E.COLI, $62.00 
450005695,"CULTURE, BLOOD FOR FUNGUS", $612.00 
450005697,CULT BACTI DEFINITIVE ISOLATE, $69.00 
450005715,"CULTURE, NEONATE SCREEN", $236.00 
450005720,PINWORM PREP, $329.00 
450005725,ANAEROBE ID PANEL, $265.00 
450005730,CULTURE STOOL ADDIT PATHOGENS, $48.00 
450005735,FUNGI IDENTIFICATION - YEAST, $265.00 
450005740,SHIGATOXIN 1 ANTIGEN STOOL, $70.00 
450005745,SHIGATOXIN 2 ANTIGEN STOOL, $70.00 
450005750,BROTH ENRICHMENT CULTURE, $52.00 
450006000,MRSA NASAL SCREEN BY PCR, $175.00 
450006010,C DIFFICILE BY PCR, $175.00 
450007014,NBS ADJUST (PANEL), $144.00 
450007016,NEWBORN SCRN COLLECT FEE NBS#, $7.00 
450007020,PREALBUMIN, $454.00 
450007021,DRAW FEE, $41.00 
450007022,ARTERIAL DRAW, $323.00 
450007040,PHENYLALANINE (NEWBORN SCREEN), $48.00 
450007042,HYDROXYPROGESTERONE (NBS#), $18.00 
450007045,TYROSINE (NEWBORN SCREEN), $48.00 
450007047,TANDEM MASS SPEC (NBS#), $20.00 
450007050,TRANSFERASE (NBS#), $18.00 
450007052,BIOTINIDASE (NBS#), $18.00 
450007055,TSH (NBS#), $18.00 
450007057,IMMUNO TRYPSINOGEN (NBS#), $18.00 
450007058,T-CELL RECEPTR EXC TRECS(NBS#), $2.00 
450007060,HGB CHROMATOGRAPHY (NBS#), $18.00 
450007065,HEPATITIS A ANTIBODY IGM, $256.00 
450007070,HEP B CORE ANTIBODY- IGM, $211.00 
450007075,HEPATITIS B SURFACE ANTIBODY, $211.00 
450007080,HEPATITIS B SURFACE ANTIGEN, $218.00 
450007085,HEPATITIS C ANTIBODY, $256.00 
450007090,ACUTE HEPATITIS PANEL, $677.00 
450082105,"AFP, TUMOR MARKER", $361.00 
450082274,ASSAY FOR BLOOD FECAL, $118.00 
450082378,CEA, $361.00 
450082670,ESTRADIOL, $199.00 
450083001,FOLLICLE STIMULATING HORMONE, $199.00 
450083002,LUTEINIZING HORMONE, $199.00 
450084112,RUPTURE MEMBRANES PAMG-1, $266.00 
450084144,PROGESTERONE, $199.00 
450084480,TOTAL TRIIODOTHYRONINE, $218.00 
450084481,FREE TRIIODOTHYRONINE, $218.00 
450085013,HEMATOCRIT, $115.00 
450085018,HEMOGLOBIN, $115.00 
450086301,TUMOR ANTIGEN CA 19-9, $440.00 
450086304,TUMOR ANTIGEN CA 125, $440.00 
450086703,HIV1/HIV2 SINGLE ASSAY, $248.00 
450087181,ANTIMICROBIAL AGENT AGAR DILUT, $13.00 
450087184, MICROBE SUSCEPTIBLE - DISK, $45.00 
450087205,GRAM STAIN, $83.00 
450087425,STOOL ROTAVIRUS ANTIGEN, $372.00 
450087491,CHYLMD TRACH DNA AMP PROBE, $130.00 
450087496,CYTOMEG DNA AMP PROBE, $50.00 
450087498,ENTEROVIRUS PROBE & REVRS TRNS, $50.00 
450087529,HSV DNA AMP PROBE, $50.00 
450087532,HHV-6 DNA AMP PROBE, $50.00 
450087591,N GONNORRHOEAE DNA AMP PROBE, $130.00 
450087653,STREPTOCOCCUS AGALOCFIAE, $50.00 
450089320,SEMEN ANALYSIS COMPLETE, $150.00 
450099300,DEFENSE AUDIT ADJUSTMENT, $236.00 
450900500,CBC WITH AUTO DIFFERENTIAL, $65.00 
450900503,CBC COMPLETE W AUTO PLT CNT, $54.00 
450900505,MANUAL DIFFERENTIAL, $30.00 
450900510,HEMOGRAM, $21.00 
450900530,RETICULOCYTES, $35.00 
450903525,RENAL FUNCTION PANEL, $73.00 
450903540,HEPATIC FUNCTION PANEL, $69.00 
450903557,ELECTROLYTES, $59.00 
450903615,IRON PANEL, $54.00 
450903665,BASIC METABOLIC PANEL, $71.00 
450903670,COMP METABOLIC PANEL, $88.00 
450903705,GLUCOSE, $34.00 
450903715,UREA NITROGEN, $34.00 
450903720,CREATININE W/GFR, $44.00 
450903725,SODIUM, $40.00 
450903730,POTASSIUM, $39.00 
450903735,CHLORIDE, $39.00 
450903740,CO2, $42.00 
450903745,CALCIUM, $44.00 
450903750,PHOSPHORUS, $40.00 
450903755,MAGNESIUM, $57.00 
450903760,URIC ACID, $38.00 
450903765,TRIGLYCERIDES, $49.00 
450903770,CHOLESTEROL, $37.00 
450903780,BILIRUBIN TOTAL, $43.00 
450903785,BILIRUBIN DIRECT, $43.00 
450903790,ALKALINE PHOSPHATASE, $44.00 
450903800,GAMMA GLUTAMYL TRANSPEPTIDASE, $61.00 
450903805,AST/SGOT, $44.00 
450903810,AST/SGPT, $46.00 
450903815,LDH, $51.00 
450903820,CPK, $54.00 
