OUTPATIENT SERVICES,Average Charge for each Outpatient Service
PLASMINOGEN ACTIVATOR,$65.00
"PLASMINOGEN, EXCL ANTIGENIC",$84.50
PLATELET NEUTRALIZATION,$105.00
PROTHROMBIN TIME,$101.50
"PT TIME, SUBS, PLASMA FRCT, EA",$38.25
"RUSSELL VIPER VENOM, DILUTED",$61.50
REPTILASE TEST,$48.75
RBC SICKLE CELL TEST,$66.75
"THROMBIN TIME, PLASMA",$44.00
THROMBOPLASTIN INHIBITION,$48.25
PTT,$101.50
"PTT, SUBS, PLASMA FRCT, EA",$49.75
"AGGLUTININS, FEBRILE",$56.00
ALLERGEN SPECIFIC IGG,$31.00
"WBC ANTIBODY ID,IMMUNOGLOBUL",$70.25
ANTINUCLEAR ANTIBOD ANA,$120.00
"ANTISTREPTOLYSIN O, TITER",$104.75
C-REACTIVE PROTEIN,$91.00
"GLYCOPROTEIN ANTIBODY, EA",$114.50
PHOSPHOLIPID ANTIBODY,$74.25
"COLD AGGLUTININ, SCREEN",$44.00
"COLD AGGLUTININ, TITER",$56.00
"DEOXYRIBONUCLEASE, ANTIBODY",$72.00
"DNA ANTIBODY, SINGLE STRAND",$65.50
"IMMUNOASSAY, TUMOR OTHER",$191.00
"IMMUNOASSAY,INFECT AGENT, QUAN",$66.50
IMMUNODIFFUSION OUCHTERLONY,$54.75
IMMUNE COMPLEX ASSAY,$137.75
INHIBIN A,$103.50
INSULIN ANTIBODIES,$134.75
INTRINSIC FACTOR ANTIBODY,$115.75
ISLET CELL ANTIBODY,$148.75
"T CELL, ABS COUNT CD4",$151.75
"NEUTRALIZATION TEST, VIRAL",$91.50
PARTICLE AGGLUTINATION. SCREEN,$57.25
"RHEUMATOID FACTOR, QUAL",$92.00
"TB, TINE TEST",$227.50
ASPERGILLUS ANTIBODY,$94.25
"BACTERIUM ANTIBODY, NEC",$60.75
BARTONELLA,$127.00
BLASTOMYCES ANTIBODY,$113.25
BORDETELLA ANTIBODY,$59.00
LYME DISEASE ANTIBODY,$130.00
CAMPYLOBACTER ANTIBODY,$74.50
CHLAMYDIA,$54.25
CHLAMYDIA IGM,$68.50
COCCIDIOIDES,$91.00
Q FEVER ANTIBODY,$65.50
DIPHTHERIA ANTIBODY,$152.50
ENCEPHALITIS CALIFORNIA,$75.00
ENCEPHALITIS EASTERN EQUINE,$75.00
ENCEPHALITIS ST. LOIUS,$219.00
ENCEPHALITIS WESTERN EQUINE,$219.00
ENTEROVIRUS ANTIBODY,$90.25
EPSTEIN-BARR  EA ANTIBODY,$244.75
EPSTEIN-BARR VCA ANTIBODY,$171.50
EHRLICHIA ANTIBODY,$118.25
"FUNGUS ANTIBODY, NEC",$127.00
"HELMINTH ANTIBODY, NEC",$74.50
HEMOPHILUS INFLUENZA,$188.75
HTLV-I ANTIBODY,$65.25
"HEPATITIS, DELTA AGENT",$93.00
HERPES SIMPLEX NON SPECIFIC,$284.00
HERPES SIMPLEX TYPE 1 TEST,$136.25
HERPES SIMPLEX TYPE 2 TEST,$130.25
HISTOPLASMA,$94.25
HIV-1,$56.50
HIV-2,$77.25
"HIV-1/HIV-2, SINGLE ASSAY",$184.25
"HEP B CORE ANTIBODY, TOTAL",$91.50
"HEP B CORE ANTIBODY, IGM",$109.75
HEP B SURFACE ANTIBODY,$101.25
"HEP A ANTIBODY, TOTAL",$94.50
"HEP A ANTIBODY, IGM",$109.75
ANTIBODY;INFLUENZA VIRUS,$77.00
LEPTOSPIRA ANTIBODY,$82.50
LYMPH CHORIOMENINGITIS AB,$73.50
MUMPS ANTIBODY,$181.25
MYCOPLASMA ANTIBODY,$94.50
NEISSERIA MENINGITIDIS,$75.00
PARVOVIRUS ANTIBODY,$133.75
MALARIA ANTIBODY,$75.00
PROTOZOA ANTIBODY NOS,$86.00
RESPIRATORY VIRUS ANTIBODY,$73.50
RICKETTSIA ANTIBODY,$181.50
RUBELLA ANTIBODY,$118.50
RUBEOLA ANTIBODY,$166.00
SALMONELLA ANTIBODY,$82.50
TETANUS ANTIBODY,$152.50
VIRUS ANTIBODY NOS,$170.00
THYROGLOBULIN ANTIBODY,$174.25
LYMPHOCYTOTOXICITY W/TITRATION,$231.75
"HLA TYPING, DR/DQ, SNG ANTIGEN",$156.25
"ANTIBODY ID, RBC, EA PANEL",$86.00
"COOMBS TEST, INDIRECT, TITER",$248.25
SPECIMEN CONCENTRATION,$71.75
"BACT, CULT, ANAEROBIC, QUALT",$122.50
CULTURE SCREEN ONLY,$85.25
"FUNGUS ISO CULTURE, OTHR SRCE",$48.25
BLOOD FUNGUS CULTURE,$79.25
TUBERCLE/BACILLI CULTURE,$201.75
CULTURE TYPE IMMUNOFLUORESC,$24.25
MACROSCOPIC EXAM ARTHROPOD,$23.75
MACROSCOPIC EXAM PARASITE,$59.75
"MICROBE SUSCEPTIBLE, DIFFUSE",$26.25
"MICROBE SUSCEPT, MACROBROTH",$37.00
"MICROBE SUSCEPT, MYCOBACTERI",$32.50
"SMEAR, FLUORESCENT/ACID STAI",$75.25
"SMEAR, SPECIAL STAIN",$146.25
"SMEAR, WET MOUNT, SALINE/INK",$47.50
"VIRUS INOCULATION, TISSUE",$362.50
"VIRUS INOCULATE TISSUE, ADDL",$114.75
"VIRUS INOCULATION, SHELL VIAL",$87.50
"ADENOVIRUS AG, EIA",$75.75
"ENTAMOEB HIST GROUP, AG, EIA",$54.00
"HPYLORI, STOOL, EIA",$153.25
"HEPATITIS BE AG, EIA",$120.50
"HISTOPLASMA CAPSUL AG, EIA",$120.25
"AG DETECT NOS, EIA, MULT",$82.75
"LYME DIS, DNA, AMP PROBE",$444.75
"CANDIDA, DNA, AMP PROBE",$197.75
"CHYLMD TRACH, DNA, AMP PROBE",$155.75
"CYTOMEG, DNA, AMP PROBE",$239.25
"CYTOMEG, DNA, QUANT",$453.00
"HEPATITIS B, DNA, QUANT",$276.75
"HSV, DNA, AMP PROBE",$197.75
"HHV-6, DNA, AMP PROBE",$197.75
"HIV-1, DNA, AMP PROBE",$197.75
"MYCOBACTERIA, DNA, AMP PROBE",$197.75
"M.TUBERCULO, DNA, AMP PROBE",$197.75
"M.AVIUM-INTRA, DNA, AMP PROB",$197.75
"N.GONORRHOEAE, DNA, AMP PROB",$155.75
"DETECT AGENT NOS, DNA, AMP",$473.50
"DETECT AGENT NOS, DNA, QUANT",$417.00
"DETECT AGNT MULT, DNA, AMPLI",$343.25
AGENT NOS ASSAY W/OPTIC,$62.50
"GENOTYPE, DNA, HIV REVERSE T","$1,447.25"
"GENOTYPE, DNA, HEPATITIS C","$1,447.25"
UNLISTED MICROBIO PROC,$131.00
"TISSUE CULTURE, LYMPHOCYTE",$567.50
"TISSUE CULTURE, SKIN/BIOPSY",$622.75
"TISSUE CULTURE, TUMOR",$911.75
CELL CRYOPRESERVE/STORAGE,$49.75
"CHROMOSOME ANALYSIS, 20-25",$551.50
"CYTOGENETICS, 25-99",$169.75
UNLISTED CYTOGENETIC PROC,$50.00
LEVEL 4 SURG PATH EXAM,$267.50
LEVEL 5 SURG PATH EXAM,"$1,320.75"
"SPECIAL STAINS, GRP 1, EACH",$156.00
"SPECIAL STAINS, HISTOCHEMICAL",$249.00
DETERMIN HISTOCHEM OR CYTOCH,$120.50
CONSULT ON SLIDES PREP ELSEWHR,$209.75
"CONSLT REFER MATR, W/SLD PREP",$366.00
IMMUNOFLUOR ANTB 1ST STAIN,$223.25
"ELECTRON MICROSCOPY, DX","$1,232.75"
TISSUE HYBRIDIZATION,$768.00
UNLISTED MISC PATHOLOGY TEST,$234.75
"SPECIAL STAINS, HISTOCHEMICAL",$249.00
"SPECIAL STAINS, HISTOCHEMICAL",$249.00
DETERMIN HISTOCHEM OR CYTOCH,$120.50
DETERMIN HISTOCHEM OR CYTOCH,$120.50
DETERMIN HISTOCHEM OR CYTOCH,$120.50
DETERMIN HISTOCHEM OR CYTOCH,$120.50
DETERMIN HISTOCHEM OR CYTOCH,$120.50
DETERMIN HISTOCHEM OR CYTOCH,$120.50
"IMMUNOASSAY,QUANT RAD PHARM 2",$278.50
"IMMUNOASSAY,QUANT RAD PHARM 3",$234.00
FLOW CYTOMETRIC EA CELL SURF,$105.50
FLOW CYTOMETRIC EA CELL SURF,$105.50
"IMMUNOFLURO STUDY,DIRECT 2ND",$177.00
"MICROBE SUSCEPT,MYCOBACT 2ND",$32.50
"MICROBE SUSCEPT, MYCOBACT 3RD",$32.50
"MICROBE SUSCEPT,MYCOBACT 4TH",$32.50
"MICROBE SUSCEPT,MACROBRO 2ND",$37.00
"MICROBE SUSCEPT,MACROBRO 3RD",$37.00
BARTONELLA,$100.75
BARTONELLA,$100.75
BARTONELLA,$100.75
BLASTOMYCES ANTIBODY 2ND,$113.25
SPECTROPHOTOMETRY ANALYTE NEC,$73.75
"STAIN GROUP II, ALL OTHER",$139.75
ENCEPHALITIES CALIFORNIA,$75.00
IMMUNOHISTOCHEMISTRY EA ANTIB,$982.00
MOLECULAR CYTOGENETICS;DNA,$161.00
MOLECULAR CYTOGENETICS;DNA,$127.75
MOLECULAR CYTOGENETICS;DNA,$127.75
MOLECULAR CYTOGENETICS;DNA,$127.75
MOLECULAR CYTOGENETICS;DNA,$127.75
MOLECULAR CYTOGENETICS;DNA,$127.75
MOLECULAR CYTOGENETICS;DNA,$127.75
MOLECULAR CYTOGENETICS;DNA,$127.75
MOLECULAR CYTOGENETICS;DNA,$127.75
MOLECULAR CYTOGENETICS;DNA,$127.75
MOLECULAR CYTOGENETICS;DNA,$127.75
FLOW CYTOMETRIC EA CELL SURF,$105.50
FLOW CYTOMETRIC EA CELL SURF,$105.50
FLOW CYTOMETRIC EA CELL SURF,$105.50
FLOW CYTOMETRIC EA CELL SURF,$105.50
FLOW CYTOMETRIC EA CELL SURF,$114.25
FLOW CYTOMETRIC EA CELL SURF,$114.25
FLOW CYTOMETRIC EA CELL SURF,$114.25
FLOW CYTOMETRIC EA CELL SURF,$114.25
FLOW CYTOMETRIC EA CELL SURF,$114.25
FLOW CYTOMETRIC EA CELL SURF,$105.50
FLOW CYTOMETRIC EA CELL SURF,$114.25
FLOW CYTOMETRIC EA CELL SURF,$114.25
FLOW CYTOMETRIC EA CELL SURF,$114.25
ANTIBODY;INFLUENZA VIRUS,$77.00
HISTOPLASMA,$94.25
HISTOPLASMA,$119.00
"FUNGUS ANTIBODY, NEC",$127.00
EHRLICHIA ANTIBODY,$118.25
EPSTEIN-BARR VCA ANTIBODY,$171.50
COCCIDIOIDES,$52.00
COCCIDIOIDES,$52.00
CHLAMYDIA IGM,$68.50
CHLAMYDIA IGM,$68.50
CHLAMYDIA,$54.25
CHLAMYDIA,$54.25
LYME DISEASE-WESTERN BLOT,$212.25
FACTOR VIII,$324.00
IMMUNOASSAY ANALYTE QUANT;NEC,$189.00
IMMUNOASSAY ANALYTE QUANT;NEC,$189.00
IMMUNOASSAY ANALYTE QUANT;NEC,$189.00
IMMUNOASSAY ANALYTE QUANT;NEC,$189.00
LIDOCAINE,$258.50
MUMPS ANTIBODY 2ND,$170.50
"NEPHELOMETRY EACH AB, NOS 2ND",$138.50
"SPECIAL STAINS, HISTOCHEMICAL",$249.00
"SPECIAL STAINS, HISTOCHEMICAL",$249.00
"SPECIAL STAINS, HISTOCHEMICAL",$249.00
"SPECIAL STAINS, HISTOCHEMICAL",$249.00
"SPECIAL STAINS, HISTOCHEMICAL",$249.00
"SPECIAL STAINS, HISTOCHEMICAL",$249.00
LEVEL 4 SURG PATH EXAM 2ND,$212.25
FLUORESCENT NONINF ANTIB TITER,$320.00
FLUORESCENT NONINF ANTIB TITER,$320.00
Q FEVER ANTIBODY 2ND,$65.50
"ASSAY, DIPROPYLACETIC ACI 2ND",$155.50
UNLISTED CHEMISTRY PX,$68.50
IMMUNOASSAY ANALYTE QUANT;NEC,$189.00
IMMUNOHISTO ANTIBODY STAIN,$772.75
RUBEOLA ANTIBODY,$132.75
"SPECIAL STAINS, HISTOCHEMICAL",$249.00
ENCEPHALITIS EASTERN EQUINE,$75.00
"COLUMN CHROMO,MULT STAT,Q 2ND",$335.50
LYME DISEASE ANTIBODY 2ND,$103.00
VIRUS ANTIBODY NOS 2ND,$169.00
HELICOBACTER PYLORI,$143.25
HELICOBACTER PYLORI,$143.25
HELICOBACTER PYLORI,$143.25
ASSAY OF HISTAMINE,$182.50
"IMMUNOASSAY,NONANTIBODY",$91.25
"IMMUNOASSAY,QUANT RADIOPHARM",$234.00
IMMUNOASSAY ANALYTE QUANT;NEC,$189.00
MASS SPECTROMETRY QUANT,$179.75
OXALATE URINE,$152.50
"WESTERN BLOT TEST, BAND I",$172.25
"C-1-ESTERASE, QUANT",$161.25
"PARTICLE AGGLUTINATION,SCREEN",$57.25
"BACTERIUM ANTIBODY,NEC",$60.75
"HELMINTH ANTIBODY, NEC",$74.50
PROTOZOA ANTIBODY NOS,$86.00
"AG DETECT NOS,EIA,MULT",$65.50
"DETECT AGENT NOS,DNA, AMPLIF",$473.50
IMMUNOHISTOCHEMISTRY EA ANTIB,$905.00
"IMMUNOASSAY,QUANT RADPHARM",$234.00
RICKETTSIA ANTIBODY,$181.50
INTERPHASE IN SITU HYBRID,$455.50
IMMUNOHISTO ANTIBODY STAIN,$905.00
ACH RECEPTOR BINDING AB,$234.00
"CA CHANNEL BINDING AB, N-TYPE",$234.00
"CA CHANNEL BINDING AB,P/Q TYPE",$234.00
FLUORES NONINF AB TITER EA,$267.00
ANNA-2,$267.00
ANNA-3,$267.00
FLUORES NONINF AB TITER EA,$267.00
CRMP-5-IGG,$267.00
PCA-1,$267.00
PCA-2,$267.00
PCA-3,$267.00
SPECIMEN CONC. EACH ADDL,$71.75
IMMUNOFIXATION EACH ADDL,$403.25
FLOW CYTOMETRIC PANEL 2ND,$436.50
ASSAY OF PRIMIDONE,$94.25
TOBRAMYCIN,$252.00
CAROTENE,$135.75
CHEMILUMINESCENT ASSAY,$212.00
COLLAGEN CROSSLINKS,$84.00
"CORTISOL FREE, URINE",$206.00
ASSAY OF ESTRONE,$315.25
"HYDROXYINDOLACETIC ACID,5",$174.25
INSULIN TOTAL,$135.50
OLIGOCLONAL BANDING CSF,$218.00
PHOSPHATASE ALKALINE,$59.75
ASSAY OF PROSTAGLANDIN,$294.75
PSA TOTAL,$117.50
VASOACTIVE INTESTINAL POL,$437.00
PROTEIN S FREE,$142.25
ALLERGEN SPECIFIC IGG,$31.00
PLATELET ANTIBODY,$447.75
"GLYCOPROTEIN ANTIBODY, EA",$114.50
PHOSPHOLIPID ANTIBODY,$72.00
"IMMUNOASSAY,INFECT AGENT,",$66.50
IMMUNODIFFUSION OUCHTERLO,$54.75
ISLET CELL ANTIBODY,$118.00
TOTAL CELL COUNT,$207.50
"NEUTRALIZATION TEST, VIRA",$91.50
ASPERGILLUS ANTIBODY,$94.25
BORDETELLA ANTIBODY,$59.00
"BRUCELLA AB,S",$208.50
"CANDIDA AB,S",$145.75
ENCEPHALITIS ST. LOIUS,$219.00
ENCEPHALITIS WESTERN EQUI,$219.00
ENTEROVIRUS ANTIBODY,$90.25
HERPES SIMPLEX NON SPECIF,$216.00
LYMPH CHORIOMENINGITIS AB,$73.50
MYCOPLASMA ANTIBODY,$75.00
NEISSERIA MENINGITIDIS,$75.00
PARVOVIRUS ANTIBODY,$133.75
MALARIA ANTIBODY,$75.00
SALMONELLA ANTIBODY,$82.50
"BACT, CULT, ANAEROBIC, QU",$122.50
TUBERCLE/BACILLI CULTURE,$201.75
MICROBE SUSCEPTIBLE MIC,$163.50
"MICROBE SUSCEPTIBLE, DIFF",$26.25
"SMEAR, FLUORESCENT/ACID S",$75.25
"VIRUS INOCULATION, TISSUE",$381.75
"VIRUS INOCULATION, SHELL",$87.50
"HISTOPLASMA CAPSUL AG, EI",$120.25
"CANDIDA, DNA, AMP PROBE",$197.75
"HEPATITIS B, DNA, QUANT",$276.75
"M.TUBERCULO, DNA, AMP PRO",$197.75
"SPECIAL STAINS, GRP 1, EA",$156.00
TISSUE HYBRIDIZATION,$837.75
"BLOOD LIPOPROTEINS, HIGH",$150.50
PROTEIN URINE,$58.75
"URINE ELECTROPHORESIS,PROTEIN",$76.50
ALPHA-FETOPROTEIN 13,$190.50
"ASSAY,LIPOPROTEIN PLA2",$368.25
"WEST NILE VIRUS AB, IGM",$128.25
WEST NILE ANTIBODY,$128.25
ASPERGILLUS AG EIA,$222.25
"ENTEROVIRUS, DNA, AMP PROBE",$504.75
MANUAL IN SITU HYBRID QUANT EA,$281.50
MANUAL IN SITU HYBRID QNT ADDL,$281.50
B CELL TOTAL COUNT,$142.25
NATURAL KILLER (NK) CELL TC,$156.50
QUANT. OF LIPO. PART,$199.00
FLOW CYTOMETRY 2-8 MARKERS,$175.50
FLOW CYTOMETRY 9-15 MARKERS,$200.75
TUMOR IMMUNOHISTOCHEMISTY MAN,$306.25
TUMOR IMMUNOHISTOCHEM MAN RPT,$306.25
LIPOPROTEIN (A),$105.00
ASSAY OF SIROLIMUS,$62.50
FLOW CYTOMETRIC EA CELL S,$105.50
CALPROTECTIN FECAL,$230.00
PROCALCITONIN,$454.00
LACTOFERRIN,$129.00
"IMMUNOFIX, OTHER FLUIDS",$403.25
"MICRODISSECTION, MANUAL",$235.50
"ELASTASE, PANCREATIC, FECAL",$89.25
CELLULAR FUNCTION ASSAY,$456.00
HUMAN EPIDIDYMIS PROTEIN 4,$159.25
CLOTTING FUNCT ACTIVITY,$119.75
DRUG TEST PRSMV CHEM ANLYZR,$75.00
MONONUCLEAR CELL ANTIGEN,$151.75
Cystatin C,$93.75
CYTP URNE 3-5 PROBES EA SPEC,"$1,026.25"
MORPHOMETRIC EA AB,$395.75
SMEAR COMPLEX STAIN,$67.00
HLA II TYPE 1 AG EQUIV LR,$466.00
MOPATH PROCEDURE LEVEL 2,$593.25
BCR/ABL1 GENE MAJOR BP,$759.75
HLA I TYPING ALLELE HR,$988.75
MTHFR GENE,$383.25
BCR/ABL1 GENE MINOR BP,"$1,014.00"
JAK2 GENE,$582.00
HLA I TYPING COMPLETE LR,$456.50
ASPA GENE - ASH JE,$158.00
SMPD1 GENE COMMON VARIANTS,$158.00
MCOLN1 GENE,$158.00
IKBKAP GENE,$158.00
HEXA GENE,$158.00
GBA GENE,$158.00
FANCC GENE,$158.00
BLM GENE,$158.00
CYP2C19 GENE COM VARIANTS,"$1,300.25"
MOPATH PROCEDURE LEVEL 4 TKI,"$1,111.00"
HLA II TYPING AG EQUIV LR,$287.75
BCR/ABL1 GENE MAJOR BP,$759.75
BCR/ABL1 GENE MINOR BP,$376.25
BCR/ABL1 GENE OTHER BP,$376.25
UNLISTED MOLECULAR PATHOLOGY,$817.00
HFE GENE,$395.75
MLH1 GENE FULL SEQ,"$1,144.00"
MOPATH PROCEDURE LEVEL 4 JAK,"$1,111.00"
KRAS GENE,"$1,489.00"
UNLISTED MOLECULAR PATHOLOGY,$519.25
MOPATH PROCEDURE LEVEL 2 HD,$593.25
MOPATH PROCEDURE LEVEL 2 AEG,$593.25
CYTOGEN MICRARRAY COPY NMBR,"$3,248.00"
MSH6 GENE FULL SEQ,"$2,288.25"
MOPATH PROCEDURE LEVEL 1 PAI,$679.75
HBA1/HBA2 GENE,$994.25
FMR1 GENE DETECTION,$468.00
MOPATH PROCEDURE LEVEL 2 VWD,$966.75
F2 GENE,$229.50
F5 GENE,$248.00
CFTR GENE COM VARIANTS,$425.00
MICROSATELLITE INSTABILITY,"$2,246.50"
TRB@GENE REAARANGE AMPLIFY,$368.00
MSH2 GENE FULL SEQ,"$1,040.00"
CCP ANTIBODY,$36.75
HLA II TYPING 1 LOC HR,$546.50
HLA II TYPING 1 LOC HR RPT,$546.50
CFTR GENE FULL SEQUENCE,"$3,561.00"
MOPATH PROCEDURE LEVEL 7,"$3,496.00"
FTL CGEN ABNOR FOUR ANAL,$184.25
EGFR GENE COM VARIANTS,"$3,001.75"
MOPATH PROCEDURE LEVEL 6,"$2,365.00"
TRICHOMONAS VAGINALIS AMPLIF,$266.75
HLA II TYPING 1 LOCUS LR,$749.50
RESP VIRUS 3-5 TARGETS,$612.75
BRAF GENE,$766.00
IGK REARRANGEABN CLONAL POP,$965.25
FLOW CYTOMETRY 16 & > MARKERS,$241.00
DRUG SCREEN QUAN LAMOTRIGINE,$111.75
DRUG SCRN QUAN LEVETIRACETAM,$99.00
HEXAGNAL PHOSPH PLTLT NEUTRL,$97.00
DRUG SCRN QUAN MYCOPHENOLATE,$306.75
DRUG SCRN QUANT OXCARBAZEPIN,$78.75
DRUG SCREEN QUANT ZONISAMIDE,$92.50
UNLISTED REPROD MED LAB PROC,$205.50
IGH GENE REARRANGE AMP METH,$282.25
DRUG SCREEN ONE/MULT CLASS,$307.50
INFLUENZA DNA AMP PROBE,$542.25
DRUG SCREEN QUANT CLOZAPINE,$336.00
METHYLENEDIOXYAMPHETAMINES,$105.00
DRUG SCREENING OXYCODONE,$105.00
DRUG SCREEN QUANT EVEROLIMUS,$431.25
GENOTYPE DNA HIV OTHER REGION,$767.00
HIV ANTIGEN W/HIV ANTIBODIES,$34.75
DRUG SCREEN QUANT GABAPENTIN,$64.50
ONCOPROTEIN DCP,$289.75
CANNABINOIDS NATURAL,$76.00
ONCO (OVAR) FIVE PROTEINS,"$1,063.25"
TRG GENE REARRANGEMENT ANAL,$334.50
GENOTYPE DNA HEPATITIS B,$714.75
HIV-1 AG W/HIV-1 & HIV-2 AB,$69.25
MOPATH PROCEDURE LEVEL 5,"$1,687.75"
DRUG SCREEN-ETHYL GLUCURONIDE,$168.00
DRUG SCREENING TRAMADOL,$105.00
METHYLPHENIDATE,$94.50
CYTOGEN M ARRAY COPY NO&SNP,$635.25
SINGLE ALLERGEN IGE PANEL,$412.50
HEREDITARY COLON CANCER,"$5,890.50"
ANTIPSYCHOTICS NOS 1-3,$152.00
IMMUNOFLUOR ANTB ADDL STAIN,$159.50
DRUG SCREENING FENTANYL,$372.00
DRUG SCREENING BUPRENORPHINE,$269.75
MOPATH PROCEDURE LEVEL 8,"$2,483.25"
IADNA-DNA/RNA PROBE TQ 12-25,$988.50
IMMUNOHISTO ANTIBODY SLIDE,$238.50
DRUG/SUBSTANCE NOS 7/MORE,$221.00
HEROIN METABOLITE,$333.50
DRUG SCREENING PROPOXYPHENE,$132.25
DRUG SCREENING PREGABALIN,$115.50
ASSAY OF DIGOXIN FREE,$293.00
GALECTIN 3,$49.50
INSITU HYBRIDIZATION (FISH),$59.25
GROWTH STIMULATION GENE 2,$49.50
DRUG/SUBSTANCE NOS 1-3,$204.50
PMP22 GENE DUP/DELET,"$1,241.25"
PMP22 GENE FULL SEQUENCE,"$1,241.25"
CALR GENE COM VARIANTS,"$1,026.50"
PMS2 GENE FULL SEQ ANALYSIS,"$1,506.50"
PMS2 GENE DUP/DELET VARIANTS,$427.50
HLA I TYPING 1 ANTIGEN LR,$300.00
UGT1A1 GENE,"$1,465.25"
PCA3/KLK3 ANTIGEN,$412.50
IGH VARI REGIONAL MUTATION,"$1,027.50"
TESTOSTERONE BIOAVAILABLE,$270.25
BRCA1&2 SEQ & FULL DUP/DEL,"$2,805.00"
HIV-1 QUANT&REVRSE TRNSCRPJ,$497.00
ANTIDEPRESSANTS CLASS 3-5,$86.50
TRICYCLIC & CYCLICALS 6/MORE,$86.50
OPIOID &OPIATE ANALOG 5/MORE,$260.50
SKELETAL MUSCLE RELAXANT 1/2,$69.75
CFTR GENE DUP/DELET VARIANTS,"$1,900.00"
ALCOHOLS BIOMARKERS 1OR 2,$208.75
MYCOPLASMA AMPLIF NA PROBE,$665.50
DIPROPYLACETIC ACID FREE,$155.50
ANTIEPILEPTICS NOS 1-3,$107.50
DRUG SCREENING TAPENTADOL,$68.50
AB; HSV TYPE 2,$130.25
AB; HSV 1,$136.25
AB; HSV NON-SPECIFIC,$284.00
HEPATITIS C - DNA OR RNA,$845.50
HERPES S AMPLIF NA PROBE,$112.50
AMPLIF NA PROBE NOS AGENT,$110.25
FETAL CHRMOML ANEUPLOIDY,"$1,440.00"
ALLG SPEC IGE RECOMB EA,$13.50
ZIKA VIRUS DNA/RNA AMP PROBE,$348.75
GENOTYPE CYTOMEGALOVIRUS,$670.25
TARGETED GENOMIC SEQ ANALYS,"$2,534.50"
KIT GENE TARGETED SEQ ANALYS,"$1,328.25"
PDGFRA GENE,"$1,328.25"
FMR1 GENE CHARACTERIZATION,$391.75
RESP VIRUS 12-25 TARGETS,$782.75
STR MARKERS SPECIMEN ANAL,$636.00
RX METAB WARF TRGT SEQ ALYS,"$1,125.00"
TARGET GENO SEQ ANALYS TUMOR,"$2,248.75"
AORTIC DYSFUNCTION/DILATION,"$1,850.00"
TOTAL PROTEIN OTHER SPECIMEN,$7.00
ANTIPSYCHOTICS NOS 1-3,$140.75
HBA1/HBA2 FULL GENE SEQUENCE,$950.50
MOPATH PROCEDURE LEVEL 9,"$1,500.00"
MLH1 GENE,$845.25
DIHYDROTESTOSTERONE,$81.00
DIR DONOR PROC FEE,$410.75
BLOOD TYPE ANTIGEN DONOR EA,$174.25
"RBC LR, AUTOLOGOUS",$509.00
BLD TYPE ANTIGEN DONOR-BBD EA,$174.25
FFP THAWING EACH UNIT,$53.00
"PLASMA,CRYOPRECIPIATE PROC FEE",$687.75
"RBC,LEUKOREDUCED, PROC FEE",$726.50
FRESH FROZEN PLASMA-PROC FEE,$560.50
"PLT,PHERESIS,LRC PROC FEE","$1,434.75"
"PLT,PHERESIS,LRC,IRAD PROC FEE","$1,600.00"
"RBC,LEUKOREDUCED,IRRAD PROC FE",$610.75
PATHOGEN REDUCED PLASMA SING,$110.00
"PLASMA,CRYO POOL PROC FEE",$687.75
PATHOGEN REDUCED PLATELETS,"$1,600.00"
PATHOGEN REDUCED PLASMA POOL,$110.00
MOPATH PROCEDURE LEVEL 4,"$1,111.00"
FETAL HEMAGLOBIN,$245.50
ANTIBODY SCREEN,$103.50
RBC BY ELUTION,$340.00
ANTIBODY IDENT RBC,$186.00
COOMBS DIRECT POLY,$75.25
COOMBS DIRECT C3D,$75.25
BLOOD TYPE ABO,$73.25
BLOOD TYPE RH,$60.00
CROSSMATCH IS,$180.00
CROSSMATCH AHG,$180.00
CROSSMATCH ELECTRONIC,$79.25
THERAPEUTIC PHLEBOTOMY,$162.25
MANDIBLE MIN 4 VIEWS,$340.75
MASTOIDS MIN 3 VWS/SIDE,$351.75
FACIAL BONES MIN 3 VIEWS,$324.50
NASAL BONES MIN 3 VIEWS,$309.00
ORBITS MIN 4 VIEWS,$337.75
SINUSES COMPLETE,$286.00
SELLA TURCICA,$266.50
SKULL MIN 4 VIEWS,$389.25
SKULL 1-3 VIEWS,$252.00
T-M JOINTS BILAT,$339.75
CHEST W/OBLIQUES 4 VW,$364.25
CHEST 1 VIEW FRONTAL,$176.75
CHEST 2 VIEW FRONT & LAT,$216.75
CHEST STERNUM,$302.75
STERNOCLAVICULAR JOINT(S),$241.50
X-RAY EXAM ENTIRE SPI 2/3 VW,$658.75
SPINE CERVICAL 2-3 VIEWS,$287.25
SPINE CERVICAL MIN 4 VWS,$475.75
THORACIC 2 VIEWS,$273.50
LUMBO-SACRAL 2-3 VWS,$282.00
LUMBO-SACRAL MIN 4 VWS,$397.00
SACRUM/COCCYX MIN 2 VIEWS,$279.75
PELVIS 1 VIEW,$273.25
SACROILIAC JOINTS MIN 3 VIEWS,$321.50
THORACOLUMBAR 2 VIEWS,$376.00
X-RAY EXAM HIPS BI 3-4 VIEWS,$448.75
X-RAY EXAM ENTIRE SPI 2/3 VW,$392.75
A-C JOINTS BILAT,$294.75
ABDOMEN 1 VIEW,$142.25
ABDOMEN SURVEY,$260.25
ESOPHAGUS,$394.25
SMALL INTESTINE,$534.75
GI TRACT UPPER,$497.25
B.A. ENEMA,$537.25
