Washington Hospital Healthcare System - 106010987,,"Price 1 = Inpatient, Emergency and Surgery patients",,
4421260551,HC TRAY CVP SINGLE LUMEN EDWARDS, 837.77 , 837.77 ,
4421260561,HC MICROLINE SCISSOR TIP, 316.46 , 316.46 ,
4421261431,HC SLING AMS MONARC SUBFASCIAL HAMMOCK," 15,209.10 "," 15,209.10 ",
4421261811,HC INTRODUCER SHEATH OTGOTEPNL/26, 848.12 , 848.12 ,
4421262351,HC TRAY CVP SINGLE LUMEN ARROW, 837.77 , 837.77 ,
4421262531,HC CVP TRAY DOUBLE LUMEN ARROW, 837.77 , 837.77 ,
4421263261,HC HIP S-ROM SPA PROXIMAL SLEEVE 14 B CONE B," 22,228.64 "," 22,228.64 ",
4421264691,HC CVP LINE MODULE, 398.52 , 398.52 ,
4421265001,HC DRILL BIT QUICK COUPLING," 1,700.88 "," 1,700.88 ",
4421265011,HC DISP SURG GUIDE PIN THREAD," 2,981.26 "," 2,981.26 ",
4421265021,HC DISP SURG GUIDE PIN, 851.87 , 851.87 ,
4421265031,HC DRILL BIT CANNULATED," 4,327.39 "," 4,327.39 ",
4421265041,HC BUR SPHERICAL, 834.76 , 834.76 ,
4421265051,HC IMPLNT INSERT LOCKING, 696.82 , 696.82 ,
4421265061,HC HYDRO SET 10CC," 21,205.25 "," 21,205.25 ",
4421265071,HC IMPLNT BONE FILLER SYNTH 5CC/4," 14,453.35 "," 14,453.35 ",
4421265091,HC SHOULDER HUMERAL HEAD," 17,707.80 "," 17,707.80 ",
4421265101,HC TENDON," 17,726.50 "," 17,726.50 ",
4421265111,HC IMPLNT STEM HIP FEM EXTEND NEC," 47,701.79 "," 47,701.79 ",
4421265141,HC DISP INSTRU TEMPLATE BENDING, 647.16 , 647.16 ,
4421265151,HC IMPLNT HIP FEM NECK TAPER," 15,833.66 "," 15,833.66 ",
4421265161,HC DRILL BIT AND STEINMAN PIN PACK," 3,851.79 "," 3,851.79 ",
4421265181,HC DRILL BIT 3-FLUTED CAL 4.2X100MM," 3,648.29 "," 3,648.29 ",
4421265191,HC DRILL BIT 3-FLUTED CAL 4.2X145MM," 2,605.92 "," 2,605.92 ",
4421265201,HC TEFLON TUBE," 3,807.49 "," 3,807.49 ",
4421265211,HC DISP SURG GUIDE WIRE BALL TIPPED," 3,520.62 "," 3,520.62 ",
4421265221,HC DRILL AO STERILE 3.5," 3,520.55 "," 3,520.55 ",
4421265241,HC PEG FAST DRIVER, 658.06 , 658.06 ,
4421265251,HC TUBING DISPOS CASSETTE ARTH, 889.37 , 889.37 ,
4421265261,HC IMPLNT ANCHOR/4," 4,048.00 "," 4,048.00 ",
4421265271,HC DISP INSTRU PROBE ABLATION TIP," 3,208.05 "," 3,208.05 ",
4421265281,HC INSERTER SURG DIS TIBIAL TIP," 2,188.05 "," 2,188.05 ",
4421265291,HC DISP SURG HOLDING PIN," 2,188.05 "," 2,188.05 ",
4421265311,HC DISP SURG GUIDE WIRE DRILL TIP," 1,160.82 "," 1,160.82 ",
4421265321,HC DISP SURG SUTURE FIBERWIRE, 740.32 , 740.32 ,
4421266231,HC FEMORAL HEAD CUP 32MM + 6 NECK," 16,254.00 "," 16,254.00 ",
4421266601,HC CAP DISP OFFSET HEAD SEATER," 1,316.12 "," 1,316.12 ",
4421266611,HC TRANS1 RETRACTOR BOWL KIT," 11,935.70 "," 11,935.70 ",
4421266631,HC ALLOGRAFT TRINITY ELITE LARGE," 38,060.56 "," 38,060.56 ",
4421266641,HC ALLOGRAFT TRINITY ELITE MEDIUM," 22,470.48 "," 22,470.48 ",
4421266651,HC ASIF SCREW 3.5 CORT SELF TAP 70MM, 962.24 , 962.24 ,
4421266661,HC ASIF SCREW 3.5 CORT SELF TAP 75MM, 962.24 , 962.24 ,
4421266771,HC ROD SPINAL TITANIUM 85MM," 4,018.08 "," 4,018.08 ",
4421267111,HC HIP FEMORAL HEAD DJO 36MM," 11,610.00 "," 11,610.00 ",
4421267121,HC OFFSET SLEEVE NEUTRAL SYSTEM," 1,272.80 "," 1,272.80 ",
4421267131,HC SHEATH INTRODUCER SPLITTABLE 7F, 904.83 , 904.83 ,
4421267541,HC COIL RUBY HANDLE DETACHMENT," 3,772.38 "," 3,772.38 ",
4421267561,HC COIL RUBY COMPLEX STANDARD 9MM X 30MM," 17,505.00 "," 17,505.00 ",
4421267571,HC COIL RUBY COMPLEX STANDARD 10MM X 35MM," 17,505.00 "," 17,505.00 ",
4421267771,HC IMPLANT SOFT ST TEMPORALIS LARGE," 9,229.95 "," 9,229.95 ",
4421267781,HC TACHOSIL ABSORBABLE SEALANT PATCH," 7,351.55 "," 7,351.55 ",
4421267921,HC OSTEOSPONGE CRANIAL DISC 14MM," 5,674.39 "," 5,674.39 ",
4421267931,HC OSTEOSPONGE CRANIAL STRIP 50X5X5MM," 6,167.81 "," 6,167.81 ",
4421267961,HC SCREW CANCELLOUS 4.0 X 45MM, 473.32 , 473.32 ,
4421268021,HC KNEE NEXGEN ROTATING HINGE TIBIAL COMP SIZE 2," 39,420.16 "," 39,420.16 ",
4421268041,HC KNEE DISTAL FEMORAL AUGMENT BLOCK SZ C 5MM W/ SCREW," 10,936.62 "," 10,936.62 ",
4421268051,HC KNEE NEXGEN ROTATING HINGE FEMORAL COMP SIZE C RIGHT," 65,620.00 "," 65,620.00 ",
4421268061,HC KNEE NEXGEN ROTATING HINGE ARTICULAR SURFACE SZ C 20MM," 18,027.00 "," 18,027.00 ",
4421269481,HC PLATE AXLE INTERSPINOUS FUSION INSERT 36X8MM," 41,400.00 "," 41,400.00 ",
4421269531,HC ELECTRODE NEEDLE MODIFIED PTFE 6 INCH, 99.29 , 99.29 ,
4421269541,HC SHOULDER BIGLIANI/FLATOW DRILL W/STOP 6MM," 3,027.08 "," 3,027.08 ",
4421269551,HC KNEE LOCK TRABECULAR METAL COUPLED TIBIAL CONE A/P W6," 57,182.40 "," 57,182.40 ",
4421269571,HC GRAFT GORE-TEX STRETCH STD WALLED AXBIFEM 8MM X 90CM," 27,010.72 "," 27,010.72 ",
4421269831,HC OSTEOSPONGE CRANIAL STRIP 50 X 7 X 5MM," 6,907.95 "," 6,907.95 ",
4421269881,HC HIP CROSSLINK REVISION SHELL LINER 0 DEG 28MM," 17,439.00 "," 17,439.00 ",
4421269891,HC HIP TRABECULAR METAL ACETABULAR REVISION SHELL 56MM," 25,461.60 "," 25,461.60 ",
4421269901,HC HIP ACETABULAR REVISION CAGE RIGHT SHORT FLANGE USE W/ 56/58/60MM SHELLS," 24,126.72 "," 24,126.72 ",
4421269921,HC DRILL BIT 4.5MM," 2,484.18 "," 2,484.18 ",
4421269931,HC DRILL BIT 3.2MM," 1,698.46 "," 1,698.46 ",
4421269941,HC Y-WIRE 1.45 X 559MM 4 PACK," 11,995.68 "," 11,995.68 ",
4421280061,HC DISP SURG BURRETTE, 117.88 , 117.88 ,
4421280111,HC DISP SURG SET TUBE INFUSION, 117.88 , 117.88 ,
4421280161,HC DISP SURG TUVING STND MINI-MED, 203.17 , 203.17 ,
4421280261,HC DISP SURG SET INFUSION P206, 224.94 , 224.94 ,
4421280281,HC DISP SURG TUBING BLOOD W Y, 229.83 , 229.83 ,
4421280821,HC CATH INTROCAN, 197.82 , 197.82 ,
4421281181,HC DISP SURG TUBING ADD-A-LINE, 96.45 , 96.45 ,
4421281661,HC DISP SURG KIT INTRAVENTOUS START, 197.82 , 197.82 ,
4421281721,HC DISP SURG TUBING PEDIATRIC, 117.88 , 117.88 ,
4421282141,HC DISP SURG TUBING ADULT, 117.88 , 117.88 ,
4421282681,HC SOD CHLORIDE 0.9% IRRIG 2000ML, 149.35 , 149.35 ,
4421282741,HC SOD CHLORIDE 0.9% IRRIG 1000ML, 65.48 , 65.48 ,
4421282801,HC STERILE WATER IRRIG 1000ML, 65.48 , 65.48 ,
4421282981,HC STERILE WATER IRRIG 2000ML, 68.78 , 68.78 ,
4421283041,HC SOD CHLORIDE 0.9% 100ML BAG, 128.41 , 128.41 ,
4421283101,HC SOD CHLORIDE 0.9% IRRIG 500ML, 149.35 , 149.35 ,
4421283161,HC SOD CHLORIDE 0.45% 500ML BAG, 65.05 , 65.05 ,
4421283221,HC SOD CHLORIDE 0.9% 250ML BAG, 239.30 , 239.30 ,
4421283521,HC DEXT 5%/NACL 0.2% 500ML BAG, 239.40 , 239.40 ,
4421283581,HC DEXT 5%/LACT RINGERS 1000ML BAG, 239.40 , 239.40 ,
4421283701,HC DEXT 5%/NACL 0.45% 1000ML BAG, 239.40 , 239.40 ,
4421283761,HC DEXT 5%/NACL 0.45% 500ML BAG, 239.40 , 239.40 ,
4421283881,HC DEXT 5% 500ML BAG, 239.40 , 239.40 ,
4421283941,HC DEXT 10% 1000ML BAG, 239.40 , 239.40 ,
4421284001,HC DEXT 5%/NACL 0.9% 1000ML BAG, 239.40 , 239.40 ,
4421284061,HC SOD CHLORIDE 0.45% 1000ML BAG, 239.40 , 239.40 ,
4421284121,HC SOD CHLORIDE 0.9% 50ML BAG, 128.41 , 128.41 ,
4421284181,HC DEXT 5% 50ML BAG, 128.41 , 128.41 ,
4421284241,HC DEXT 5% 100ML BAG, 128.41 , 128.41 ,
4421284301,HC DEXT 5%/NACL 0.33% 500ML BAG, 239.40 , 239.40 ,
4421284361,HC DEXT 5% 250ML BAG, 239.40 , 239.40 ,
4421284421,HC IV SOL 0.9% NACL/HEPARIN 500ML, 239.40 , 239.40 ,
4421284481,HC SOD CHLORIDE 0.9% 500ML BAG, 239.40 , 239.40 ,
4421284541,HC SOD CHLORIDE 0.9% 1000ML BAG, 239.40 , 239.40 ,
4421284601,HC DEXT 5%/NACL 0.2% 1000ML BAG, 239.40 , 239.40 ,
4421284661,HC LACT RINGERS 1000ML BAG, 239.40 , 239.40 ,
4421300231,HC VENAFLOW CALF CUFF MEDIUM, 897.74 , 897.74 ,
4421300241,HC VENAFLOW CALF CUFF XL, 897.74 , 897.74 ,
4421300461,HC STERI STRIP, 33.98 , 33.98 ,
4421300511,HC STOPCOCK, 139.72 , 139.72 ,
4421300711,HC CONNECTOR STERILE 5 IN 1, 341.14 , 341.14 ,
4421300761,HC DISP SURG STOCKING THIGH HIGH, 369.81 , 369.81 ,
4421303221,HC DISP SURG TUBING EXT K52L, 139.72 , 139.72 ,
4421303301,HC DISP SURG TUBING PRESSURE P206, 224.94 , 224.94 ,
4421303461,HC DISP SURG TUBING PRESS M/F 60IN, 613.37 , 613.37 ,
4421304871,HC DISP SURG TUBING BLOOD SET WARM, 394.33 , 394.33 ,
4421305461,HC OXYSENSOR NEONATAL, 637.98 , 637.98 ,
4421305541,HC OXYSENSOR INFANT, 637.98 , 637.98 ,
4421306071,HC DISP SURG CONNECTOR SHUNT DIALYSI," 1,612.25 "," 1,612.25 ",
4421308021,HC DISP SURG TUBING EXT LUER NL, 117.88 , 117.88 ,
4421308101,HC DISP SURG TUBING EXT LUER Y NL, 197.82 , 197.82 ,
4421308261,HC OXYSENSOR ADULT NASAL, 578.40 , 578.40 ,
4421310581,HC OXYSENSOR OXYTIP ADULT, 520.03 , 520.03 ,
4421310661,HC AIRWAY NASAL 30FR, 337.23 , 337.23 ,
4421311941,HC TRANSDUCER ART LINE TRIPLE," 1,687.32 "," 1,687.32 ",
4421312021,HC OXYSENSOR ADULT, 411.24 , 411.24 ,
4421312981,HC CVP TRAY TRIPLE LUM 703K200H7F, 736.31 , 736.31 ,
4421313701,HC MX561 1'CLEAR PRESS MONIT LINE, 244.61 , 244.61 ,
4421313711,HC DISP SURG BAG DECANTER JET, 190.34 , 190.34 ,
4421323131,HC ARTHREX GUIDE WIRE PIN W/ TROCAR TIP .062, 219.49 , 219.49 ,
4421323151,HC ARTHREX GUIDE WIRE .094, 231.98 , 231.98 ,
4421330061,HC NEEDLE NAVIGUS BIOPSY," 4,052.36 "," 4,052.36 ",
4421330111,HC NEEDLE TRU-CUT DISP, 628.87 , 628.87 ,
4421330161,HC DISP SURG NDL ART LINE, 484.72 , 484.72 ,
4421330211,HC DISP SURG SYRG CONTRAST, 159.85 , 159.85 ,
4421330301,HC CATH RADIAL ART QUICKFLASH 20G, 484.72 , 484.72 ,
4421330311,HC NEEDLE HYDRODISSECTOR CVD, 177.25 , 177.25 ,
4421330361,HC SYRINGE LEVEEN PRESSURE W/GAUGE," 1,197.79 "," 1,197.79 ",
4421340411,HC FEMORAL CANAL BRUSH, 438.98 , 438.98 ,
4421340631,HC ORT COLLAR NECK VISTA, 844.13 , 844.13 ,
4421340711,HC ORTHOPAT SUCT TUBING, 219.21 , 219.21 ,
4421340811,HC OPTIVAC CEMENT KIT," 1,694.34 "," 1,694.34 ",
4421341311,HC DISP SURG PILLOW ABDUCTION, 619.60 , 619.60 ,
4421341411,HC KNEE SPLINT," 1,184.76 "," 1,184.76 ",
4421341511,HC SAW BLADE MINI, 537.57 , 537.57 ,
4421341561,HC CEMENT PRESSURIZER, 532.22 , 532.22 ,
4421341611,HC SHOULDER TRACTION KIT, 566.17 , 566.17 ,
4421341711,HC DISP SURG GUIDE WIRE GAMMA," 2,237.87 "," 2,237.87 ",
4421341911,HC DISP SURG GUIDE WIRE TI THREAD," 1,106.61 "," 1,106.61 ",
4421341961,HC DISP SURG GUIDE ROD TIBIAL," 1,520.52 "," 1,520.52 ",
4421342021,HC SHOULDER IMMOBILIZER X LARGE, 317.06 , 317.06 ,
4421342061,HC DRILL BIT 3.8," 1,532.65 "," 1,532.65 ",
4421342111,HC DISP SURG BLADE SAW, 441.21 , 441.21 ,
4421342141,HC SHOULDER IMMOBILIZER LARGE, 317.06 , 317.06 ,
4421342211,HC DRILL TWIST, 498.67 , 498.67 ,
4421342311,HC DRILL BIT SHORT," 2,675.23 "," 2,675.23 ",
4421342341,HC SHOULDER IMMOBILIZER SMALL, 317.06 , 317.06 ,
4421342611,HC CANNULA TWIST IN, 468.06 , 468.06 ,
4421342751,HC SCREW EPIX DISTAL 5 X 25," 3,500.20 "," 3,500.20 ",
4421342771,HC NAIL T2 SUPRACONDYLAR 14 X 300MM," 24,296.88 "," 24,296.88 ",
4421342791,HC HIP PROSTALAC HIGH STEM 105MM SZ 1," 32,463.54 "," 32,463.54 ",
4421342871,HC HIP ZCA LONGEVITY NEUTRAL CUP 32X59," 14,356.93 "," 14,356.93 ",
4421342891,HC FEMORAL ATTUNE LEFT SZ 8 CEM," 22,248.00 "," 22,248.00 ",
4421342911,HC TIBIA ATTUNE CR RP INSERT SIZE 2 12MM," 17,565.00 "," 17,565.00 ",
4421342951,HC ROD SPINE BENVENUE 85MM," 3,182.00 "," 3,182.00 ",
4421342971,HC SCREW 4.0MM SELF DRIVING 40MM THRD 125MM," 2,829.12 "," 2,829.12 ",
4421343181,HC BANDAGE ACE 2 IN, 155.17 , 155.17 ,
4421343221,HC BANDAGE ACE 3 IN, 86.04 , 86.04 ,
4421343241,HC BANDAGE ACE 4 IN, 86.04 , 86.04 ,
4421343251,HC ASIF DRILL BIT 2.5 QC GOLD 180MM," 1,674.27 "," 1,674.27 ",
4421343261,HC BANDAGE ACE 6 IN, 120.46 , 120.46 ,
4421343271,HC CLAMP MEDIUM COMBINATION," 8,571.03 "," 8,571.03 ",
4421343291,HC ROD 8.0MM CARBON FIBER 120MM," 3,238.16 "," 3,238.16 ",
4421345001,HC DISP SURG TUBE ENDOTRACH NIM," 3,935.06 "," 3,935.06 ",
4421345011,HC DISP SURG ELECTRODE LOOP, 353.36 , 353.36 ,
4421345031,HC DISP INSTRU RETRACT, 503.33 , 503.33 ,
4421345051,HC DISP INSTRU WAND PLASMA," 4,067.26 "," 4,067.26 ",
4421345061,HC DISP SURG CUFF VENA FLOW, 597.77 , 597.77 ,
4421345091,HC DISP SURG GUIDE WIRE 290MM," 1,516.17 "," 1,516.17 ",
4421345101,HC DISP SURG TUBE ENDOTRACH 6.5, 627.79 , 627.79 ,
4421345111,HC DISP INSTRU OCCLUDER COL-PNEUMO," 4,027.06 "," 4,027.06 ",
4421345121,HC IMPLNT SEPRAFILM 4X6," 7,053.45 "," 7,053.45 ",
4421345131,HC IMPLNT SEPRAFIL 5X6," 3,761.40 "," 3,761.40 ",
4421345141,HC DISP INSTRU MANIPULATOR UTERINE," 7,884.51 "," 7,884.51 ",
4421345151,HC DISP SURG NDL RADISSE GEL1TRNSRL," 3,821.76 "," 3,821.76 ",
4421345171,HC IMPLNT CATH DRAIN VP SHUNT/1," 5,665.68 "," 5,665.68 ",
4421345181,HC DISP INSTRU DISSECTOR BLUNT TIP, 191.90 , 191.90 ,
4421345191,HC DISP INSTRU APPLICATOR TISS GLUE, 925.56 , 925.56 ,
4421345201,HC DISP SURG KIT ACL," 4,978.21 "," 4,978.21 ",
4421345221,HC DISP SURG GUIDE WIRE NOSE BALL," 2,615.79 "," 2,615.79 ",
4421345231,HC DISP SURG NDL ANGIOCATH 16GA, 383.40 , 383.40 ,
4421345241,HC DISP SURG GUIDE WIRE 45CM, 372.26 , 372.26 ,
4421345251,HC DISP DVC IO-FLEX W GUIDEWIRE," 13,315.20 "," 13,315.20 ",
4421345261,HC DISP SURG HANDLE IO-FLEX," 3,821.76 "," 3,821.76 ",
4421345271,HC DISP SURG BLOCKER ENDOBRONCH," 2,352.57 "," 2,352.57 ",
4421345281,HC DISP SURG SEALANT FRZN 4ML," 3,448.40 "," 3,448.40 ",
4421345301,HC DISP DVC OCCLUSION MALLEABLE JAW," 3,838.12 "," 3,838.12 ",
4421345311,HC DISP SURG CABLE CONNECTING, 363.84 , 363.84 ,
4421345321,HC DISP SURG SYSTEM W CRYO PROBE," 45,063.14 "," 45,063.14 ",
4421345331,HC DISP SURG PIN HOLD THREAD," 4,786.27 "," 4,786.27 ",
4421345341,HC DISP SURG PIN HOLD THREAD HEAD," 5,458.03 "," 5,458.03 ",
4421345351,HC DISP SURG BLADE EXTRACTION," 12,595.46 "," 12,595.46 ",
4421345371,HC DISP SURG CANNULA SUCTION," 3,777.86 "," 3,777.86 ",
4421345381,HC DISP SURG PIN TEMP FIXATION," 3,910.59 "," 3,910.59 ",
4421345391,HC DISP SURG DRG PCKING NASAL, 491.90 , 491.90 ,
4421345401,HC DISP SURG GUIDEWIRE SINUS," 5,326.08 "," 5,326.08 ",
4421345411,HC CATH BALLOON SINUS," 9,846.05 "," 9,846.05 ",
4421345421,HC DISP DVC INFLATION SINUS," 1,471.75 "," 1,471.75 ",
4421345431,HC DISP SURG TUBING HIGH PRESSURE, 409.32 , 409.32 ,
4421345441,HC DISP DVC TACK HOLDING PIN, 592.25 , 592.25 ,
4421345451,HC DISP SURG GUIDE WIRE/2, 250.14 , 250.14 ,
4421345491,HC DISP SURG SEALANT 8ML," 10,408.05 "," 10,408.05 ",
4421345501,HC DISP SURG BULB RESERVIOR J-VAC, 232.11 , 232.11 ,
4421345511,HC DISP SURG APPLICATOR TIP/2, 329.73 , 329.73 ,
4421345521,HC DISP SURG SHUNT TEMP CAROTID, 419.37 , 419.37 ,
4421345531,HC DISP SURG SEALANT FRZN 2ML," 2,057.26 "," 2,057.26 ",
4421345541,HC IMPLNT SHUNT BYPASS CAROTID, 983.50 , 983.50 ,
4421345551,HC DISP SURG CANNULA-AORTIC, 652.04 , 652.04 ,
4421345561,HC DISP SURG CANNULA VENOUS/2," 4,786.27 "," 4,786.27 ",
4421345571,HC DISP SURG CANNULA-ATRIAL," 1,288.74 "," 1,288.74 ",
4421345581,HC DISP SURG CANNULA FEMORAL RAP," 5,745.93 "," 5,745.93 ",
4421345591,HC DISP SURG SUMP-VENT, 540.19 , 540.19 ,
4421345601,HC DISP SURG CANNULA SAPH-VEIN, 228.43 , 228.43 ,
4421345611,HC DISP SURG TUBING SET HEMOCON," 2,495.78 "," 2,495.78 ",
4421345621,HC DISP SURG SET-CARDIOPLEGIA," 3,372.18 "," 3,372.18 ",
4421345631,HC DISP SURG RESERVIOR-CARDIOTOMY," 2,863.71 "," 2,863.71 ",
4421345641,HC DISP SURG NDL AO ROOT DLP, 617.14 , 617.14 ,
4421345651,HC DISP SURG CELL OPTICAL TRANSM, 765.30 , 765.30 ,
4421345661,HC DISP SURG TUBING SAVER CELL, 680.30 , 680.30 ,
4421345671,HC DISP SURG ADAPTER Y CORONARY, 337.18 , 337.18 ,
4421345681,HC CATH VENTRICULAR LT HRT, 515.11 , 515.11 ,
4421345691,HC DISP SURG KIT VEIN-HARVEST," 9,216.92 "," 9,216.92 ",
4421345701,HC CATH BALLOON INTRA-AORTIC," 9,236.67 "," 9,236.67 ",
4421345711,HC DISP SURG SYS ABLATINO," 20,931.05 "," 20,931.05 ",
4421345721,HC DISP SURG SMART CARD FT," 25,091.59 "," 25,091.59 ",
4421345731,HC DISP SURG DRAPE-1020, 344.93 , 344.93 ,
4421345741,HC DISP SURG DRAPE-1050, 205.71 , 205.71 ,
4421345751,HC DISP SURG DRAPE 3/4-SHT, 85.03 , 85.03 ,
4421345761,HC DISP SURG BAG DRAIN CYSTO, 281.98 , 281.98 ,
4421345781,HC DISP SURG TUBING W/2 PORT, 203.17 , 203.17 ,
4421345791,HC DISP SURG TUBING BLOOD Y-PUMP, 704.77 , 704.77 ,
4421345801,HC DISP SURG HUMID VENT, 110.79 , 110.79 ,
4421345811,HC DISP SURG SUCTX TIP W/HANDLE, 18.71 , 18.71 ,
4421345821,HC DISP SURG KIT CVP, 837.77 , 837.77 ,
4421345831,HC CATH FLOW DIRECTIONAL, 644.44 , 644.44 ,
4421345841,HC DISP SURG FILTER LEUKOCYTE, 344.11 , 344.11 ,
4421345851,HC DISP SURG MARKING RING COR, 285.32 , 285.32 ,
4421345861,HC DISP SURG TUBING CONN 10FT, 24.37 , 24.37 ,
4421345871,HC LEAD PACING WIRE-TEMP, 692.93 , 692.93 ,
4421345881,HC DISP SURG TUBING HI PRESSURE, 244.61 , 244.61 ,
4421345891,HC DISP SURG WARM DEVICE, 646.93 , 646.93 ,
4421345901,HC CATH FOGARTY-IRRIG, 440.94 , 440.94 ,
4421345911,HC DISP SURG BAG BILE ADULT, 308.45 , 308.45 ,
4421345931,HC DISP SURG GUIDE PIN-CALIB, 640.16 , 640.16 ,
4421345941,HC DISP SURG INTROD/SHEATH FC-PA/2, 503.32 , 503.32 ,
4421345951,HC DISP SURG SYS AUTOTRANSFUSION," 5,155.70 "," 5,155.70 ",
4421345971,HC DISP SURG SYNG CEMENT," 1,050.81 "," 1,050.81 ",
4421345981,HC DISP SURG PLASTER FAST, 85.03 , 85.03 ,
4421345991,HC DISP SURG NOZZLE FEM BREAKAWAY, 379.98 , 379.98 ,
4421346001,HC DISP SURG TIP CEMENT 90DEG, 380.83 , 380.83 ,
4421346011,HC DISP SURG SLING ARM TRIANGULAR, 984.46 , 984.46 ,
4421346021,HC DISP SURG TUBING PUMP-ARTHRO, 921.17 , 921.17 ,
4421346031,HC DISP SURG CANNULA UNIV ARTHRO, 397.31 , 397.31 ,
4421346041,HC DISP SURG ROLL WEBRIL, 70.85 , 70.85 ,
4421346051,HC DISP INSTRU RETRACTOR ACROMED, 310.98 , 310.98 ,
4421346061,HC DISP SURG KIT DRIVER-SCREW," 3,772.38 "," 3,772.38 ",
4421346071,HC DISP SURG POUCH OSTOMY WND-SM, 363.55 , 363.55 ,
4421346081,HC DISP SURG SKIN BARRIER-OSTOMY, 72.52 , 72.52 ,
4421346091,HC DISP SURG TUBE ENDOTRACH-UNCUFF, 143.02 , 143.02 ,
4421346101,HC DISP SURG TUBE ENDOTRACH-CUFF, 296.93 , 296.93 ,
4421346111,HC DISP SURG BAG W MASK, 439.88 , 439.88 ,
4421346121,HC DISP SURG HOOK FISH 3-PRONG, 394.78 , 394.78 ,
4421346131,HC DISP SURG SLEEVE SCD-PR," 1,110.33 "," 1,110.33 ",
4421346141,HC DISP SURG SLEEVE SCD-PR LG, 759.07 , 759.07 ,
4421346151,HC DISP SURG DERMA-CARRIER, 442.10 , 442.10 ,
4421346161,HC DISP SURG CONNECTOR TIP-SIMS, 26.95 , 26.95 ,
4421346171,HC DISP SURG STRAP-MONTGOMERY, 88.52 , 88.52 ,
4421346181,HC DISP SURG SET CAPD TRANSFER-MINI, 807.08 , 807.08 ,
4421346191,HC DISP SURG RETAINER ABD-FISH, 455.51 , 455.51 ,
4421346201,HC DISP SURG SHIELD CATH, 317.85 , 317.85 ,
4421346211,HC DISP SURG PROTECTOR ULNAR, 149.99 , 149.99 ,
4421346231,HC DISP SURG BAG URIMETER LF, 135.14 , 135.14 ,
4421346241,HC DISP SURG BAG DRAIN CLOSED URO, 156.92 , 156.92 ,
4421346251,HC DISP SURG SURGICEL, 341.14 , 341.14 ,
4421346261,HC DISP SURG NUGAUZE PLAIN, 248.57 , 248.57 ,
4421346271,HC DISP SURG BINDER ABD, 485.58 , 485.58 ,
4421346281,HC DISP SURG ROLL KERLIX, 28.36 , 28.36 ,
4421346291,HC DISP SURG PAD-ABD, 9.19 , 9.19 ,
4421346301,HC DISP SURG DRSG-TEGADERM, 26.34 , 26.34 ,
4421346311,HC DISP SURG SPIROMETER INCENTIVE, 246.18 , 246.18 ,
4421346321,HC DISP SURG SPLINT CAST, 404.94 , 404.94 ,
4421346331,HC DISP SURG GUIDE PIN BREAKAWAY," 3,752.62 "," 3,752.62 ",
4421346381,HC DISP SURG SPLINT FG PER IN, 14.86 , 14.86 ,
4421346391,HC DISP SURG SPLINT PLASTER, 21.64 , 21.64 ,
4421346401,HC SHOULDER IMMOBILIZER MEDIUM, 317.06 , 317.06 ,
4421346411,HC SHOULDER IMMOBILIZER X SMALL, 317.06 , 317.06 ,
4421346421,HC DISP SURG SET HEMOVAC WDRN/TROCH, 238.77 , 238.77 ,
4421346431,HC DISP SURG TUBING INSUFFLATER, 808.10 , 808.10 ,
4421346441,HC DISP SURG CLIP LIGATING MD, 317.91 , 317.91 ,
4421346451,HC DISP SURG CV DL ACCESS W/VALVE," 1,510.25 "," 1,510.25 ",
4421346461,HC DISP SURG DISCECTOMY SYS," 16,645.51 "," 16,645.51 ",
4421346471,HC DISP SURG SEALANT," 2,878.52 "," 2,878.52 ",
4421346481,HC DISP SURG TUBING BLOOD 135 Y, 229.83 , 229.83 ,
4421346491,HC CATH S/G CONT CO 8FR," 2,225.26 "," 2,225.26 ",
4421346501,HC OXYSENSOR PEDIATRIC, 411.24 , 411.24 ,
4421346511,HC DISP SURG OXYSENSOR ADULT MAXIMO, 320.21 , 320.21 ,
4421346521,HC OXYSENSOR ADULT LATEX-FREE, 320.21 , 320.21 ,
4421346531,HC DISP SURG SOMASENSOR ADULT," 2,068.06 "," 2,068.06 ",
4421346541,HC DISP SURG AIRWAY DUAL CHANNEL, 23.35 , 23.35 ,
4421346551,HC DISP SURG NC W U CONN, 23.35 , 23.35 ,
4421346561,HC DISP SURG NC W 7FT TUBING, 23.35 , 23.35 ,
4421346571,HC DISP SURG NC W 7FT TUBING BIOFLOW, 23.35 , 23.35 ,
4421346581,HC DISP SURG MASK OXYGEN ADULT, 23.35 , 23.35 ,
4421346591,HC DISP SURG SET ANES EXTENTION 61IN, 224.94 , 224.94 ,
4421346601,HC DISP SURG STOPCOCK 3WAY W 50IN EX, 224.94 , 224.94 ,
4421346611,HC DISP SURG SET ANES 72IN MLL, 244.61 , 244.61 ,
4421346621,HC DISP SURG TUBING PRESS 48IN, 244.61 , 244.61 ,
4421346651,HC DISP SURG TRAY CVP SL, 837.77 , 837.77 ,
4421346661,HC DISP SURG KIT CVP FEM, 837.77 , 837.77 ,
4421346671,HC DISP SURG SET CO INJECT, 521.83 , 521.83 ,
4421346681,HC DISP SURG SET CO ROOM TEMP, 521.83 , 521.83 ,
4421346691,HC DISP SURG TUBING EXTN 20IN W MLL, 117.88 , 117.88 ,
4421346701,HC INTRODUCER SHEATH OTGOTEPNL/27, 848.12 , 848.12 ,
