BATON ROUGE GENERAL HOSPITAL CHARGES,,
"Federal reporting rules require hospitals to maintain a catalog of thousands of procedure codes, code descriptions and list prices in a complex accounting tool, known as the hospital chargemaster. The prices listed on the chargemaster do not reflect what patients will ultimately pay as insurance companies negotiate discounts on the list prices. In addition, co-pays, co-insurance and deductibles can also bring additional discounts before a final charge is determined.                                                                                                                                                                                               ",,
"To get an accurate estimate of what your out of pocket expenses will be, contact us at (225) 381-6276, Monday through Friday, from 8 a.m. – 4:30 p.m.",,
,,
Chg Code,Description,Chg Amt
33292277,GENTAMICIN IN NS 80MG/50ML PK,$12.80
33292293,NEOSTIGMINE 1MG/ML 5ML SYRINGE,$15.57
33292301,PHENYLEPHRINE 1MG/10ML SYRINGE,$26.58
33292319,ROCURONIUM 10MG/ML 5 ML SYRINGE,$55.39
33292327,SUCCINYLCHOLINE 200MG/10ML SYRINGE,$66.45
33292335,VECURONIUM 1MG/ML 10ML SYRINGE,$87.74
33292343,THE WELLNESS CORNER PHARMACY,$467.51
33292368,USTEKINUMAB 90MG/1ML SYRINGE,"$1,477.40"
33292376,THYROTROPIN ALFA 1.1MG 4-VLKIT,"$5,760.26"
33292384,FLUCONAZOLE 100MG/50ML IVPB,$35.40
33292392,CALCIUM GLUONATE 10% 100ML VL,$8.75
33292418,MORPHINE SULFAT 10MG/ML 1ML VL,$15.00
33292459,SUGAMMADEX 500MG/5ML SDV,$668.20
33292467,LANREOTIDE DEPOT 120MG/0.5ML,$191.65
33292475,HYDROMORPHONE 1MG/ML 1ML SYRG,$15.00
33292491,SUGAMMADEX 200MG/2ML SDV,$729.60
33292525,MAGNESIUM SULF 2GM/50ML WATER,$15.29
33292533,CEFTOLOZANE & TAZOBACTABM 1.5G,$175.38
33292574,BLEOMYCIN 30 UNIT VIAL,$177.10
33292582,BENDAMUSTINE HCl 100MG/4ML MDV,$91.31
33292590,PALONOSETRON 0.25MG/5ML SDV,$173.96
33292608,PEMBROLIZUMAB 100MG/4ML SDV,$170.86
33292616,PEGFILGRASTIM 6MG/0.6ML ONPRO,"$21,781.51"
33292624,ELOTUZUMAB 300MG SDV,$22.78
33292632,ELOTUZUMAB 400MG SDV,$22.73
33292640,DEGARELIX PFS 80MG KIT,$23.45
33292657,DARATUMUMAB 100MG/5ML SDV,$178.13
33292665,DARATUMUMAB 400MG/20ML SDV,$177.98
33292681,ATEZOLIZUMAB 1200MG/20ML SDV,$827.50
33292707,TRIPTORELIN LA 11.25MG/2ML SYR,"$3,122.85"
33292715,TRIPTORELIN 22.5MG/2ML SYR,"$3,122.85"
33292723,MEPOLIZUMAB 100MG  SDV,$98.88
33292749,USTEKINUMAB 130MG/26ML SDV,$94.52
33292756,OCTAGAM 10%  10GM/100ML,$255.55
33292764,OCTAGAM 10% 20GM/200ML,$255.55
33292798,OCTAGAM 5% 10GM/200ML,$255.55
33292830,SIPULEUCEL-T IN LR 50MU/250ML,"$129,577.55"
33292855,VANCOMYCIN 5GM VIAL,$34.16
33292871,ONIVYDE 43MG 10ML VIAL,$145.83
33292897,ACTEMRA SDV 400MG 20ML,$18.22
33292905,SENSORCAINE/EPI MDV 0.5% 50ML VIAL,$50.75
33292913,POT CHL 40MEQ IN 0.9% NACL 250ML BAG,$2.20
33292939,DEXAMETHASONE 10MG IN 0.9% NACL 50ML BAG,$21.57
33292954,PROVAYBLUE AMP 0.5% 10 ML 5CT,$14.32
33292970,ISOVUE-250 VIAL 51% 100ML,$2.96
33292988,MORPHINE (PF) 250MG/10ML VIAL,$1.08
33293085,CORVERT 0.1MG/ML 10ML SDV VIAL,$173.70
33293093,IXEMPRA 15MG SDV VIAL,$287.71
33293101,IXEMPRA 45MG SDV VIAL,$287.70
33293135,OCREVUS 300MG/10ML VIAL SDV,$624.00
33293184,HERCEPTIN 150MG SDV,$366.59
33293200,FEIBA 1000 UNIT VIAL,$10.15
33293226,LIDOCAINE 1%/EPINEPHRINE 30ML SDV,$487.70
33293234,MEROPENEM 1GM/50ML PREMIX BAG,$8.45
33293242,MEROPENEM 500MG/50ML PREMIX BAG,$12.51
33293267,DOXIL 50MG 25ML SDV VIAL,"$2,073.71"
33293309,FLUZONE IIV4 PFS 2017-18 10NR,$67.89
33293317,FLUZONE IIV4 PED PFS 2017-18 10NR,$71.45
33293325,CLINDAMYCIN IN 0.9% SALINE 600MG PREMIX,$41.05
33293333,CLINDAMYCIN IN 0.9% SALINE 900MG PREMIX,$50.15
33293341,PROTAMINE SULFATE 250MG 25ML SDV,$0.40
33293358,LIDOCAINE/EP MDV 1:1 1% 30ML/25,$487.70
33293366,VANCOMYCIN 1.5G IN 0.9% NACL 500ML BAG,$21.24
33293374,VANCOMYCIN 2G IN 0.9% NACL 500ML BAG,$17.65
33293382,CEFAZOLIN 3G IN D5W 100ML BAG,$4.18
33293390,LUPRON 45MG SYRINGE KIT 6 MONTH,"$5,121.70"
33293408,CEFAZOLIN 2G/100ML ISO-OSMOTIC GLXY BAG,$11.71
33293416,CEFAZOLIN 1G/50ML ISO-OSMOTIC GLXY BAG,$12.68
33293424,FLUOROURACIL 2.5GM MSV,$17.57
33293432,FLUOROURACIL 5GM MDV,$12.79
33293457,IC-GREEN 25MG VIAL CT/6,$339.20
33293465,LIDOCAIN 2% 20MG/ML 2 ML AMPULE SDV,$2.50
33293473,HEPARIN 2000U/2ML SDV VIAL,$19.97
33293481,DIAZEPAM 5MG/ML 10ML VIAL MDV,$12.80
33293499,NAROPINE 0.2% 2MG/ML 10ML SDV,$0.50
33293507,NEXTERONE 150MG/100ML PREMIX BAG 12CT,$26.65
33293515,AZITHROMYCIN 500MG IN NS 250ML BAG,$10.35
33293523,OBDIVO 240MG/24ML VIAL,$99.25
33293531,IMFINZI 500MG/10ML VIAL,$310.96
33293549,IMFINZI 120MG/2.4ML VIAL,$310.96
33293556,ZARXIO 300MCG 0.5ML SYRINGE 10CT,$3.53
33293564,ZARXIO 480MCG 0.8ML SYRINGE 10CT,$3.51
33293572,IRINOTECAN 20MG/ML 25ML VIAL,$22.28
33293598,CLINIMIX E 4.25/5 1000ML BAG,$461.45
33293606,BESPONSA 0.9MG VIAL,"$15,957.87"
33293648,SENSORCAINE/EPI MDV 0.25% 50ML VIAL,$47.45
33293663,TROGARZO 200MG/1.33ML (15MG/ML) VIAL SDV,"$7,264.00"
33293671,BLINCYTO 35MCG VIAL,$406.75
33293697,FREE INJECTABLE CHARGE,$1.84
33293705,"TRISENOX 2MG/ML, 6ML AMPULE",$320.76
33293721,SYLVANT 100MG VIAL,$349.54
33293739,SYLVANT 400MG VIAL,$349.53
33293747,INFLECTRA 100MG 20ML VIAL,$726.74
33293754,MORPHINE 2MG/2ML SYRINGE,$14.40
33293762,HYDROMORPHONE 2MG/2ML SYRINGE,$16.00
33293788,ELIGARD 45MG INJECTION,"$1,734.48"
33293796,NORDITROPIN FLEXPRO 5MG/1.5ML PEN,"$2,261.40"
33293838,BIVALIRUDIN IN 0.9% NS 250MG/50ML PREMIX,"$1,920.00"
33293846,CYANOKIT 5G VIAL,"$2,680.80"
33293861,KETAMINE 10MG/ML 20ML MDV,$659.95
33293911,HYPERRAB 300IU/ML 5ML,"$12,446.15"
33293937,BUPIVACAINE 0.25% 50ML MDV,$12.43
33293945,LIDOCAINE 2% 20MG/ML 5ML VIAL,$5.00
33293986,FIRMAGON 240MG VIAL,$24.39
33299999,EPOETIN ALFA 3000U NON ESRD,$95.42
33300013,BETAXOLOL HCL 0.5% 5ML DROPS,$202.95
33306473,POLYTRIM OPTH DROPS 10ML,$42.13
33306812,CORTISPORIN OPHTH SUSP 7.5 ML,$452.75
33306846,DEADRON 0.1% OPHTH. SOL 5 ML,$207.00
33307026,FLUOR-I-STRIP STRIP 1 EA,$2.00
33307091,GENTAMICIN OPHTH OINT. 3.75 G,$62.95
33307109,GENTAMICIN OPHTH SOLN 3 MG/ML,$69.45
33307133,TIMOPTIC 0.25% OPTH SOL 2.5ML,$23.47
33307158,VISINE OPHTH. SOLN 15 ML,$6.90
33307182,AKWATEARS OPHTH. SOL 15 ML.,$14.05
33307232,NAPHCON-A OPHTH SOLN 15 ML,$18.35
33307257,TOBRAMYCIN 0.3% OPH SOL 5ML,$41.28
33307265,CYCLOGYL 1% OPHTH SOL 5 ML,$173.40
33307315,OPHTHALMIC IRRIGATING SOL 30 M,$70.30
33307786,LACRI-LUBE OPTH OINT 3.5GM,$16.49
33307885,DEXAMETH/NEOMYCIN/POLYM O.O. 3,$109.92
33308388,PROPARACAINE M/S ALCAINE OPT,$134.80
33308537,PILOCARPINE 1% OPTH SOL 15ML,$315.40
33308545,PILOCARPINE 2% OPTH SOL 15ML,$314.94
33308594,ACULAR 0.5% OPHTALMIC SOL 5ML,$374.55
33308727,ERYTHROMYCIN OPHT OINT 3.5GM,$60.80
33308776,ATROPINE 1 % OPHTH SOL 5 ML,$186.85
33309212,BALANCED SALT SOLN-BSS 15 ML,$30.25
33309444,TETRACAINE 0.5% OPHTH. SOLN 1,$33.75
33309600,CYCLOMYDRIL OPHTH SOL 2 ML,$100.80
33309758,TEARS NATURALE II OPHTH 15 ML,$28.00
33309790,TOBRADEX OPHTH OINT 3.5 GM,$782.15
33310020,HOMATROPINE HBR 5% 15ML DRPS,$9.25
33310061,LIDOCAINE HCL 2% 30ML JEL,$53.35
33310079,LIDOCAINE HCL 2% 5ML JEL,$25.00
33310087,LOTEMAX 0.5% 5ML DRP SUSP,$790.05
33310111,NEOMYCIN-POLYMYXIN-DEX DROPS 5ML,$63.60
33310160,PREDNISOLONE ACE 1% 5ML DRPS,$177.05
33310269,TIMOLOL MAL 0.5% OPTH SOL 5ML,$54.40
33310343,LATANOPROST 0.005% 2.5ML DRPS,$304.90
33310376,BRINZOLAMIDE 1% 5ML DRP SUSP,$998.40
33310426,CARBOXYMETHYLCELLULOSE SODIUM 0.5% 30EA,$1.10
33310434,CILOXAN 0.3% OPTH SOL 2.5ML,$81.83
33310517,ZADITOR 0.025% OPTH SOL 5ML,$37.98
33310525,TOBRADEX OPHTH SUSP 2.5ML,$208.85
33310558,HAEMOPHILUS B POLYSAC CONJ VAC,$63.50
33310608,BACITRACN/POLYMIXNB 3.5GM OPTH,$17.82
33310822,TROPICAMIDE 1% 3ML OPTH,$32.00
33310830,BRIMONIDINE TART 0.2%5ML OPTH,$94.71
33310855,TRUSOPT 2% 10ML OPTH,$290.52
33310871,CIPRODEX OTIC SUSP 7.5ML,$751.81
33310897,RESTASIS 0.05% 0.4ML OPTH,$29.80
33310905,VIGAMOX 0.5% 3ML OPTH,$585.14
33310913,AK-CON 0.1% 15ML OPTH,$22.85
33310970,TETRACAINE OPTH 0.5% 2ML,$38.00
33310988,CYCLOGYL 2% OPTH 2ML,$126.25
33310996,LUMIGAN OPHTH 0.01% 2.5ML,$634.95
33311069,PHENYEPHRINE 2.5% OPHT 15ML,$345.60
33311119,BACITRACIN OPHT OINT 3.5GM,$361.00
33311127,AZELASTINE 0.05% OPHT SOLN 6ML,$333.00
33311150,TETRACAINE 0.5% 5ML OPHT SOLN,$96.55
33311168,FUL-GLO 0.6MG STRIP 300CT,$2.00
33311176,DORZOLAMIDE/TIMOLOL(COSOPT)OPTH SLN 10ML,$392.35
33311184,DORZOLAMIDE/TIMOLOL OPTH SOLN 0.2ML 60CT,$77.03
33311192,ARTIFICIAL TEARS 15ML DROPS,$4.45
33311200,FLUCAINE 5ML DROPS,$28.35
33311218,FLUORESCEIN-PROPARACAINE U/D 0.05ML,$14.15
33311226,PREDNISOLONE 1% 1ML DROPS,$106.55
33485046,AFRIN NASAL SOLN 20 ML,$6.60
33485152,AMMONIA INHALANT AROMATIC,$0.55
33485285,SODIUM CHLORIDE 0.65% NASAL 45,$6.90
33485384,ATROVENT INHALER 14GM,"$1,277.70"
33486259,PHENYLEPHRINE 0.25% NAS SPR 40,$12.20
33486275,NEO-SYNEPHRINE 0.5% NASAL SPRA,$12.20
33486424,NEO-SYNEPHRINE 1% NASAL SPRAY,$13.70
33486960,SODIUM CHL 0.9% 3ML INH SOL,$2.00
33486986,AZELASTINE HCL 137MCG SPRAY,$336.80
33487083,FLONASE 50MCG 16GM SPRAY,$260.40
33487257,DUONEB INHALATION 3ML,$7.10
33487299,SODIUM CHLORIDE 0.65%  1OZ,$7.65
33487307,NITROLINGUAL 0.4MG/DOSE  4.9GM,$718.35
33487521,MIACALCIN 200IU/DOSE 3.7ML,$896.00
33487562,FLOVENT HFA 220MCG 12GM,"$1,370.00"
33487570,FLOVENT HFA 110MCG 12GM,$882.00
33487588,FLOVENT HFA 44MCG 10.6GM,$660.00
33487596,ACCUNEB 0.042% 3ML INHL,$4.44
33487679,PULMICORT 180MCG 120DS INH,$831.40
33487687,PULMICORT 90MCG 60DS INH,$620.90
33487737,SURVANTA INTRTHECAL SUSP 8ML,"$2,603.10"
33487745,SODIUM CHLOR 3% 15ML INH SOLN,$2.90
33487760,00173-0695-04,$536.00
33487778,00173-0696-04,$536.00
33487786,00173-0697-04,$872.00
33487794,ACETYLCYSTEINE 10% SOL 10ML,$4.04
33487810,ACETYLCYSTEINE RT 10% UD 4ML,$39.30
33487828,ACETYLCYSTEINE RT 10% UD 30ML,$12.77
33487836,ACETYLCYSTEINE 20% SOLN 30ML,$13.34
33487844,ACETYLCYSTEINE 20% 30ML INH,$721.10
33487851,ACETYLCYSTEINE RT 20% UD 4ML,$49.10
33487869,BROVANA SOL INH 15MCG/2ML,$55.80
33487877,PULMICORT 0.25MG/2ML RESP,$151.80
33487893,PULMOZYME 1MG/ML 2.5ML AMP,$420.30
33487935,LEVALBUTEROL HCL.31MG/3ML INH,$21.50
33487950,SPIRIVA HANDIHALER 18MCG,$304.00
33487984,ALBUTEROL 5MG/ML SOL 20ML,$1.28
33487992,ALBUTEROL 0.083% SOL 3ML UD,$0.87
33488008,ALBUTEROL 5MG/ML SOL 0.5ML TX,$0.67
33488016,VENTOLIN HFA 90MCG 18GM INH,$200.40
33488057,XOPENEX 1.25MG/0.5ML,$184.11
33488065,SYMBICORT MDI 160/4.5MCG HUD60,$805.45
33488073,SYMBICORT MDI 80/4.5MCG HUD60,$700.20
33488099,VENTOLIN HFA 90MCG 8GM INH,$79.90
33488107,COMBIVENT RESPMT 20-100MCG 4GM,"$1,324.50"
33488149,XOPENEX HFA MDI 200 DOSE,$262.05
33488156,ALBUTEROL NEB 0.63MG/3ML,$5.35
33488164,BUDESONIDE INH SUSP 0.5MG/2ML,$35.75
33488172,BUDESONIDE INH SUSP 0.25MG/2ML,$30.40
33488180,STRIVERDI RESPIMAT INH SPRAY,$667.24
33488206,BREO ELLIPT 100MCG 14DAY INHALER,$951.95
33488214,BREO ELLIPTA 200/25MCG 14 DAY INHALER,$476.00
33488230,ANORO ELLIPTA 62.5/25 MCG INHALER,$24.30
33589680,NEO/POLY/HC OTIC SOLN 10ML,$322.20
33589706,CARBAMIDE PEROXIDE OTIC SOL 15,$5.35
33589797,FLOXIN 0.3% OTIC SOL 5ML,$493.70
33589805,HYDROCORTISONE-ACETC ACID OTIC,$651.00
33624578,CANASA 1000MG SUPP,$124.05
33624602,CERVIDIL 10MG VAG INSERT,"$1,340.48"
33624610,A.B.H. SUPP 0.5-12.5-0.5MG,$10.00
33624636,GLYCERIN PED SUPP 1GM,$0.50
33624644,INDOMETHACIN 50MG SUPP,$97.15
33624651,ACETAMINOPHEN SUPP 80MG,$2.60
33624669,GLYCERIN LIQUID 180ML BTL,$0.13
33689514,ROWASA ENEMA 4GM/60ML,$77.91
33690017,ACETAMINOPHEN 120 MG SUPP,$2.00
33690025,ACETAMINOPHEN 325 MG SUPP,$2.07
33690033,ACETAMINOPHEN 650 MG SUPP,$2.16
33690140,HYDROCORTISONE 25MG SUPP,$72.50
33690223,ASPIRIN 300MG SUPP,$4.70
33690348,BISACODYL SUPP 10 MG,$2.00
33690439,GLYCERIN PED. SUPP,$2.00
33690447,GLYCERIN SUPPOS ADULT,$2.50
33691007,PE-SHARK LIVER OIL - COCOA BUTTER SUPP,$1.80
33691445,PHENERGAN 12.5MG SUPP,$56.70
33691452,PHENERGAN  25MG SUPP,$56.70
33691478,B&O 15A SUPP****,$88.10
33691486,B&O 16A SUPP****,$107.05
33725680,CLEOCIN 2% 40GM CRM W/APPL,$347.55
33725714,CLOBETASOL PROP 0.05% 50ML SOL,$660.25
33725839,BENADRYL ITCH 2-0.1% 28.3GM CR,$10.99
33726050,HYDROCORTISONE 1% 28.4GM OINT,$24.40
33726084,HYDROCORTISNE 2.5% 28.45GM OINT,$37.25
33726134,ATROVENT 21MCG 30ML SPRAY,$272.83
33726142,ATROVENT 42MCG 15ML SPRAY,$146.05
33726258,METRONIDAZOLE 0.75% 45GM GEL,"$1,022.05"
33726332,MUPIROCIN CALC 2% 15GM CRM,$567.65
33726571,DAKIN'S SOLN 0.25% 473ML,$37.95
33726662,TERAZOL 3 0.8% 20GM CRM W/APP,$131.00
33726779,TRIAMCINOLONE 0.025% 15GM CRM,$14.30
33726803,TRIAMCINOLONE 0.1% 454GM OINT,$96.00
33726811,TRIAMCINOLONE 0.5% 15GM CRM,$35.55
33726977,LANTISEPTIC 130GM OINT,$14.77
33726985,SULFAMYLON 50GM PKT,$714.36
33727058,CLIMARA O.O5MG DAY PATCH,$120.65
33727066,LIDODERM 5% 1 X 5 PATCH,$30.00
33727108,METROGEL VAG 0.75% 70GM,$521.75
33727124,BACTROBAN 2% OINT 22GM,$36.00
33727181,BOUDREAUX'S BUTT PAST 60GM,$12.80
33727215,DAKIN'S SOLN 0.50% 473 ML,$2.00
33727249,MONSEL'S SOLU 30ML,$22.00
33727298,HURRICAINE 20% SPRAY 2OZS,$16.40
33727314,SILVER SULFADIAZINE GAUZE 400G,$226.15
33727322,CLIMARA 0.1MG/DAY SYSTEM PATCH,$74.30
33727488,LUBRIDERM LOTION 6 OZ,$8.15
33727512,TRIAMCINOLONE 0.1% 454GM CREAM,$82.98
33727603,PHISODERM 6OZ NRML-DRY,$0.50
33727660,AQUAPHOR/QUEST BUTT PSTE 420GM,$58.00
33727678,CUTIVATE CR 0.05% 15MG,$72.00
33727686,HYDROCORTISONE CREAM 2.5% 20GM,$26.60
33727702,AQUAPHOR 3.5OZ JAR,$20.60
33727728,BEN GAY (ANALGESIC BALM) 1OZ,$6.10
33727777,ANALPRAM HC 1-2.5% 30GM CREAM,$503.10
33727884,MASTISOL ADHESIVE .66ML,$7.55
33727959,ETHYL CHLORIDE SPRAY 100%,$99.20
33727991,CALMOSEPTINE OINT 4OZ,$16.00
33728007,ANALPRAM HC 1-1% 30GM CREAM,$765.85
33728015,DERMOPLAST ALOE LAN HOSP 2OZ,$19.43
33728056,FENTANYL 12MCG/HR PATCH CII,$65.00
33728114,ARTISS FIBRIN SEALANT 10ML,"$3,079.60"
33728122,ARTISS FIBRIN SEALANT 4ML,"$1,375.95"
33728130,EXELON PATCH 4.6MG/24HR,$51.85
33728148,OXYTROL PATCH 3.9MG/24HR,$284.10
33728155,EXELON PATCH 9.5MG/24HR,$54.10
33728197,ERYTHROMYCIN OPT OINT 0.5% 1GM,"$1,636.00"
33728213,SHEA & COCOA BUTTER LOTN 15OZ,$6.80
33728254,ESTRADIOL 0.075MG PTWK,$76.00
33728270,ZOVIRAX OINT 5% 30GM,"$1,691.23"
33728296,LIDOCAINE 2% 5ML GEL,$22.10
33728320,PROCTOSOL HC 2.5% CREAM 1OZ,$279.50
33728346,VINEGAR 5% (WHITE) 30ML,$0.60
33728361,TERBINAFINE 1% 15GM CREAM,$26.00
33728411,TISSEEL PFS 4ML,$987.05
33728429,TISSEEL PFS 10ML,"$2,421.65"
33728494,L.E.T. GEL 3 ML,$13.72
33728528,BETAMETHASONE VAL 0.1% CR 15GM,$89.55
33728536,BACITRACIN ZINC OINTMENT 28.4G,$27.55
33728544,BUTTPHOR WITH NYSTATIN OINT,$143.20
33728551,CALCIUM GLUCONATE 2.5% GEL,$108.00
33728684,LIDOCAINE 4% CRM 15GM,$61.45
33728718,HEMORRHOIDAL OINT 0.25%-14%,$18.67
33728734,GRANISETRON 3.1MG/24HR PATCH,"$1,914.85"
33728742,BENZOCAINE 10% GEL,$11.40
33728767,THROMBIN 20000 UNIT VIAL,"$1,086.90"
33728809,MUPIROCIN CALCIUM 2% OINT 1GM,$48.45
33728825,SODIUM HYPOCHLORITE 0.125%SOLN,$37.95
33728833,SSD/NYSTATIN/MUPIROCIN CM 260G,"$3,183.60"
33728841,CETACAINE 2%-2%-14% SPRAY 20GM,$231.70
33728858,EVICEL 1ML (2ML KIT),$343.55
33728866,EVICEL 2ML (4ML KIT),$636.30
33728874,EVICEL 5ML (10ML KIT),"$1,463.50"
33728908,WHITE PETROLATUM 41% OINT 50GM,$13.45
33728916,SILVER SULFADIAZINE 1% CRM 25G,$28.80
33728924,DOCOSANOL 10% CRM 2GM,$59.40
33728932,RIVASTIGMINE 13.3MG/24HR PATCH,$43.65
33728940,VOLTAREN 1% GEL 100GM,$180.51
33728965,ANECREAM 5% 15GM CREAM,$78.00
33728999,CLOTRIMAZ-BETAMETHAS 1%-0.5% 15GM CREAM,$101.52
33729005,NYSTATIN-TRIAMCINOLONE CREAM 60GM,$727.40
33729013,ZINC OXIDE 20% OINTMENT 2OZ,$16.20
33729039,LUBRIDERM LOTION 3OZ TUBE,$8.05
33790635,STERILE WATER IRRG (PR BTL) 1L,$25.00
33790692,HYDROCORTISNE 0.5% CREAM 30G,$10.40
33790718,HYDROCORTISONE 1% CREAM 30 GM,$22.80
33790833,GELFOAM 12 -7 SIZE SPONGE 1 EA,$33.05
33790890,CATAPRES-TTS-2 PATCH,$178.45
33791229,CATAPRES-TTS-3 PATCH,$247.60
33791245,SKIN PROTECTANT,$0.50
33791328,NITROGLYCERIN PATCH 0.3MG/HR,$21.40
33791351,DURAGESIC 50MCG/HR PATCH****,$112.06
33791369,DURAGESIC 100MCG/HR PATCH****,$213.18
33791385,ELIMITE CREAM 5% 60GM,$380.20
33791427,TEMOVATE CREAM 0.05%  15 GM,$410.35
33791450,NIZORAL 2% CREAM 15 GM,$49.78
33791542,VIT A & VIT D OINT 60GM,$10.95
33791591,0.25% ACETIC ACID IRRG (PR BLT,$126.74
33791674,ADRENALIN 1:1000 TOPICAL SOL 3,$429.10
33791740,MYLAN 350LIDO VIS 75BENDRYL 50,$25.60
33791765,AMERICAINE HEMORRHOID ONT 30GM,$16.05
33791906,TRIAMCINOLONE 0.1% CRM 15GM,$17.90
33791997,TRIAMCINOLONE 0.1% OINT 15GM,$17.90
33792011,ESTRACE 0.01% VAG CR 42GM,"$1,104.20"
33792078,AVITENE POWDER 1 GM,$804.00
33792136,BACITRACIN OINT 15 GM,$17.50
33792243,BENZOIN COMPOUND AEROSOL 3.5 O,$28.70
33792284,BETADINE OINT 30GM,$10.60
33792417,CALAMINE LOTION 120 ML,$5.15
33792441,CETACAINE SPRAY 56ML,$252.80
33792508,BACITRACIN-POLYMIXIN OINT 15GM,$15.87
33792540,PREMARIN VAG CR 1.5OZ,"$1,326.40"
33792573,PROCTOFOAM AEROSOL 15 GM,$185.84
33792581,PROCTOFOAM-HC AEROSOL 10GM,$502.85
33792631,CATAPRES-TTS-1 PATCH,$106.00
33792656,NIZORAL SHAMPOO 4OZ,$88.80
33792680,SANTYL OINT 30 GM,$825.60
33792714,SILVER SULFADIAZINE CREAM 50G,$47.45
33792813,SULFAMYLON CREAM 56.7GM,$245.95
33793191,DESONIDE 0.05% CREAM 15GM,$256.95
33793217,DESONIDE 0.05% OINT 15GM,$192.35
33793696,LIDOCAINE 4 % SOL-TOPICAL 50 M,$153.60
33793753,ZINC OXIDE OINT 30 GM,$10.50
33793944,TRIAMCINOLONE 0.1% LOTION 60ML,$135.75
33794017,KENALOG IN ORABASE PASTE 5 GM,$257.90
33794322,EMLA CREAM 5GM,$31.75
33794827,NYSTATIN 15GM CR,$56.00
33794843,NYSTATIN OINT 15GM,$56.00
33794868,NYSTATIN TOPICAL POWDER 15 GM,$87.90
33795360,TRIPLE ANTIBIOTIC OINT 15GM,$23.75
33795584,DIUCAINE 1% OINT 30GM,$19.20
33796095,COLLODION FLEXIBLE  LIQUID 30,$0.05
33798810,GENTAMICIN 0.1% CREAM 15GM,$158.05
33798828,GENTAMICIN 0.1% OINT 15 GM,$158.05
33798844,GENTIAN VIOLET 1% SOL. 30 ML,$26.10
33799081,LIDOCAINE 2% JELLY 20ML,$32.90
33799131,NITROGLYCERIN PATCH 0.2MG/HR,$5.43
33799149,NITROGLYCERIN PATCH 0.4MG/HR,$8.85
33799156,TRANSDERM-SCOP PATCH,$85.68
33799248,WESTCORT 0.2% CREAM 15 GM,$286.55
33799412,NITROGLYCERIN 2% OINT UD,$8.05
33799461,NYSTATIN-TRIAMCINOLONE CREAM 1,$358.25
33799651,NITROGLYCERIN PATCH 0.1MG/HR,$6.40
33799669,NITROGLYCERIN PATCH 0.6MG/HR,$7.70
33799792,AQUAPHOR OINT 420GM,$41.65
33799909,SARNA LOTION 7.5 OZ,$15.75
33799966,THROMBIN KIT 20 000 UNITS,"$1,141.25"
33896564,PHENOL 500ML,$2.00
33896671,NICOTINE GUM 2MG,$1.63
33896689,NICOTINE GUM 4MG,$25.60
33896697,NICOTINE LOZENGE 2MG,$38.15
33896747,VANCOMYCIN 500MG/100ML ENEMA,$18.80
33896770,0.9% NACL IRRIG BAG 1000ML,$22.35
33993015,IPRATROPIUM 0.02% SOL 2.5ML UD,$4.25
33993205,SCLEROSOL (STERILE TALC) 4GM,$13.45
33993213,TALC (STERILE TALC) 4GM,$376.00
33995952,DURAGESIC 25MCG/HR PATCH****,$68.10
33996133,PROCTOCORT CREAM 1 OZ,$165.50
33996182,TEMOVATE OINTMENT 0.05% 15 GM,$497.45
33996257,LAC-HYDRIN LOTION 12% 225 GM,$57.90
33996372,CAPSAICIN 0.025% CRM 45GM,$31.85
33996752,GELFOAM-100 COMPRESSED,$142.67
33996810,FLEET MINERAL OIL ENEMA 4.5 OZ,$7.84
33996844,FLEET PEDIATRIC ENEMA 2.25 OZ,$4.80
33996851,FLEET ADULT ENEMA 4.5 OZ,$3.30
33996885,GELFOAM 100 SIZE SPONGE 1 EA,$154.86
33997644,SELENIUM SULFIDE 2.5% 120ML,$63.40
33997693,SILVER NITRATE STICKS 1 EACH,$23.25
33997958,THROMBIN TOPICAL 5000 U,$275.60
33998006,TUCKS PADS 40'S,$7.62
33998154,CORTENEMA 100MG ENEMA 60ML,$38.80
33998766,HIBICLENS SOLN 4OZ.,$17.42
33999632,AVITENE SHEET 35 X 70,$295.40
33999681,ARISTA AH 1GM POWDER,$346.00
33999723,PROGEL SPRAY TIP PFEN005-06,$68.00
34000174,M.V.I.-12 10 ML,$11.77
34000752,CLINDAMYCIN 900MG/6ML INJ 6ML,$16.15
34000877,D 10% W 1000ML INJ SOL,$25.00
34001040,IV SOLN D5% NACL .45% 500ML,$25.00
34001065,D 5% 1/4 N S 1000ML INJ SOL,$25.00
34001115,DEXTROSE 50% VIAL 50ML,$10.00
34001123,D 20% W INJ 500 ML,$44.70
34001248,ERYTHROMYCIN 500MG INJ VIAL,$268.20
34002279,NEOMYCIN-POLYMYXIN B GU IRRIG,$46.83
34002329,IV SOLN NACL .9% 100ML,$25.00
34002337,IV SOLN NACL .9% 150ML,$25.00
34002352,SOLN NACL .9% 1000ML POUR IRR,$6.00
34002667,PITRESSIN 20U/ML INJ,$531.80
34002741,0.45% SOD CHLRD 250ML INJ SOL,$25.00
34002881,0.45% SODIUM CHLORIDE 100ML,$25.00
34002949,SODIUM BICARBONATE 50MEQ-50 ML,$40.59
34003509,DOXYCYCLINE INJ 100 MG,$92.80
34003533,IV SOLN NACL .45% 1000ML,$25.00
34003558,D 10% N S 1000ML INJ SOL,$25.00
