Charge Code Description,"Rev
Code","Proc
 Code","Rate 
Exception",,,,,,,,,
4650192,LIMITED OB STUDY,US,A,402,76815,,,,,389,N,N
4650194,BIOPHYSICAL PROFILE,US,A,402,76819,,,,,490,N,N
4650200,US OB 3D-4D PEEKABOO,US,A,402,,,,,,77,N,N
4650201,HEART BEAT ANIMALS,US,A,997,,,,,,21,N,N
4650206,TRANSVAGINAL ULTRASOUND,US,A,402,76830,,,,,700,N,N
4650233,US PELVIC(NONOB)COMPLETE,US,A,402,76856,,,,,713,N,N
4650234,US PELVIC/TV LTD OR F/U,US,A,402,76857,,,,,433,N,N
4650247,SCROTAL ULTRASOUND,US,A,402,76870,,,,,610,N,N
4650249,US TRANSRECTAL (PROSTATE),US,A,402,76872,,,,,819,N,N
4650250,US LT EXT NON VASCULAR,US,A,402,76882,,,,,476,N,N
4650251,US RT EXT NON-VASCULAR,US,A,402,76882,,,,,476,N,N
4650252,US BIL EXT NON-VASCULAR,US,A,402,76882,50,,,,522,N,N
4650254,US GUIDED NEEDLE PLACEMEN,US,A,402,76942,,,,,502,N,N
4650255,US BRST BX NDLE/CORE INIT,US,A,361,19083,,,,,"2,295.00",N,N
4650256,THORACENTESIS WITH IMAGING GUIDANCE,US,A,361,32555,,,,,"1,650.00",N,N
4650257,BX THYROID PERC CORE NDL,US,A,361,60100,,,,,667,N,N
4650260,US BRST BX CORE ADD SITE,US,A,361,19084,,,,,"1,100.00",N,N
4650606,US GUIDE ARTHRO ASPIR/INJ INTERM JT/BURS,US,A,361,20606,,,,,915,N,N
4651550,BX OF SOFT TISS NECK/CHES,US,A,361,21550,,,,,"2,500.00",N,N
4652557,US PERCUTANEOUS DR PLEUR CAVITY W IMAG,US,A,361,32557,,,,,"1,967.00",N,N
4653051,ABD PARACENTESIS W IMAGE,US,A,361,49083,,,,,"1,179.00",N,N
4653306,ECHOCARDIOGRAM,US,A,483,93306,,,,,"1,648.00",N,N
4653350,STRESS ECHOCARDIOGRAPHY,US,A,402,93350,,,,,871,N,N
4654420,INJ ANESTHETIC INTERCOSTAL NERVE BLOCK,US,A,402,64420,,,,,662,N,N
4655700,US PROSTATE BX,US,A,361,55700,,,,,"2,245.00",N,N
4655900,AMNIOCENTESIS,US,A,361,59000,,,,,686,N,N
4656604,ULTRASOUND-CHEST,US,A,402,76604,,,,,379,N,N
4656814,1ST TRI SCR NB/NL,US,A,402,76813,,,,,588,N,N
4656816,1ST TR SCR NB/NL EACH ADDITIONAL,US,A,402,76814,,,,,167,N,N
4656831,SONOHYSTEROGRAPHY,US,A,402,76831,,,,,705,N,N
4656937,US GUIDE VASCULAR ACCESS,US,A,402,76937,,,,,413,N,N
4656946,US GUIDE AMNIOCENTESIS&TR,US,A,402,76946,,,,,420,N,N
4656998,US GUIDANCE INTRA OP,US,A,402,76998,,,,,628,N,N
4657000,US GUIDE BX LIVER PERC NE,US,A,361,47000,,,,,"2,164.00",N,N
4657323,BX SOFT TISSUE THIGH/KNEE,US,A,361,27323,,,,,"1,500.00",N,N
4658340,SIS CATHETER INTRO.,US,A,361,58340,,,,,0,N,N
4658505,US GUIDED NDL BX OF LYMPHNODES SUPERFICI,US,A,361,38505,,,,,"2,164.00",N,N
4659000,US FNA OF BREAST,US,A,361,19000,,,,,675,N,N
4659180,US BX ABD RETROPERITONEAL,US,A,361,49180,,,,,"1,450.00",N,N
4659406,US IMAGE CATH FLUID PERI/RETRO,US,A,361,49406,,,,,"2,934.00",N,N
4660010,ART/LOWER DUPLEX BL COMP,VASC,A,921,93925,,,,,"1,020.00",N,N
4660011,LT ART/LOWER DUPLEX UNILA,VASC,A,921,93926,,,,,700,N,N
4660012,RT ART/LOWER DUPLEX UL,VASC,A,921,93926,,,,,700,N,N
4660013,ART/LOWER DUPLEX UL LTD,VASC,A,921,93926,,,,,700,N,N
4660015,ART/UPPER DUPLEX BILATER,VASC,A,921,93930,,,,,803,N,N
4660016,LT ART/UPPER DUPLEX UNILA,VASC,A,921,93931,,,,,526,N,N
4660017,RT ART/UPPER DUPLEX UL,VASC,A,921,93931,,,,,526,N,N
4660053,VENOUS LE DUPLEX BILAT,VASC,A,921,93970,,,,,800,N,N
4660055,VENOUS UE DUPLEX BILAT,VASC,A,921,93970,,,,,800,N,N
4660056,LT VENOUS LE DUPLEX UNILA,VASC,A,921,93971,,,,,600,N,N
4660057,RT VENOUS LE DUPLEX UL,VASC,A,921,93971,,,,,600,N,N
4660060,LT VENOUS UE DUPLEX UNILA,VASC,A,921,93971,,,,,600,N,N
4660061,RT VENOUS UE DUPLEX UL,VASC,A,921,93971,,,,,600,N,N
4660062,ARTERIAL AORTO/ILIAC DUP,VASC,A,921,93978,,,,,923,N,N
4660063,VENOUS IVC/ILIAC DUPLEX,VASC,A,921,93978,,,,,923,N,N
4660070,CAROTID DUPLEX BILATERAL,VASC,A,921,93880,,,,,761,N,N
4660090,PHY STUDY UP/LOW ART LMT,VASC,A,921,93922,,,,,472,N,N
4660095,PHY STUDY UP/LOW ART COMP,VASC,A,921,93923,,,,,652,N,N
46600FL,ANOSCOPY;DX W/WO CLCT SPE (MC FACIL)-GS,HCGS,A,510,46600,,,,,131,N,N
46600PL,ANOSCOPY;DX W/WO CLCT SPE (MC PRO)-GS,HCGS,A,960,46600,,,,,87,N,Y
46600TL,ANOSCOPY; DX W/WO CLCT SP-GS,HCGS,A,960,46600,,,,,218,N,N
46604L,ANOSCOPY; WITH DILATION- GS,HCGS,A,960,46604,,,,,220,N,Y
4663924,NON INV LE DOP W/O&W EXER,VASC,A,920,93924,,,,,"1,008.00",N,N
4663970,US VENOUS LEGS BILAT COMPLETE VASC,VASC,A,360,,,,,,0,N,N
4663971,US VENOUS LEGS UNILAT LIMITED VASC,VASC,A,360,,,,,,0,N,N
4663975,DUP-SCAN ARTL&VEN ABD/PEL/SCROT/RPR COM,VASC,A,921,93975,,,,,673,N,N
4663976,DUP-SCAN ARTL FLOW ABD/PEL/SCROT/RPR LIM,VASC,A,921,93976,,,,,610,N,N
4670016,THYROID SCAN & UPTAK MUTL,NM,A,341,78014,,,,,"1,000.00",N,N
4670024,LIVER/SPLEEN SCAN STATIC,NM,A,341,78215,,,,,"1,160.00",N,N
4670032,HEPATOBILIARY SCAN W CCK,NM,A,341,78227,,,,,"1,200.00",N,N
4670034,HEPATOBILIARY SCAN,NM,A,341,78226,,,,,"1,506.00",N,N
4670078,GI BLOOD LOSS IMAGING,NM,A,341,78278,,,,,"1,153.00",N,N
4670100,BOWEL IMAG-MECKELS LOCAL,NM,A,341,78290,,,,,756,N,N
4670116,BONE SCAN,NM,A,341,78306,,,,,"1,150.00",N,N
4670117,BONE SCAN/LIMITED,NM,A,341,78300,,,,,935,N,N
4670126,BONE SCAN THREE PHASE,NM,A,341,78315,,,,,"1,146.00",N,N
4670282,RESTING RADIOANGIOGRM/RNA,NM,A,341,78472,,,,,"1,185.00",N,N
4670390,LUNG SCAN-PERFUSION,NM,A,341,78580,,,,,"1,160.00",N,N
4670395,LUNG SCAN V & P,NM,A,341,78582,,,,,"1,467.00",N,N
4670397,LUNG VENTILATION ONLY,NM,A,341,78579,,,,,786,N,N
4672805,KINEVAC PER 5 MCG,NM,A,636,J2805,,,,,319,N,N
46750R,"SPHINCTEROPLASTY, ANAL",RWC,A,960,46750,,,,,"1,367.00",N,Y
4677777,OUTSIDE NUCLEAR MED TESTING,NM,A,340,,,,,,0,N,N
4678195,LYMPHATICS & LYMPH GLAND,NM,A,341,78195,,,,,"1,000.00",N,N
4678205,"LIVER IMAGING, SPECT",NM,A,341,78205,,,,,"1,344.00",N,N
4678264,GASTRIC EMPTYING STUDY,NM,A,341,78264,,,,,"1,300.00",N,N
4678305,BONE/JOINT IMG-MULT AREAS,NM,A,341,78305,,,,,794,N,N
4678320,BONE SCAN SPECT,NM,A,341,78320,,,,,"1,003.00",N,N
4678464,MYOCARDIAL PERFUSION SGL,NM,A,341,78451,,,,,"2,030.00",N,N
4678465,MYOCARDIAL PERF SPECT,NM,A,341,78452,,,,,"3,399.00",N,N
4678491,"PET/CT MYOCARD, PERF SING",NM,A,404,78491,,,,,"2,406.00",N,N
4678492,"PET/CT MYOCARD, PREF MULT",NM,A,404,78492,,,,,"2,545.00",N,N
4678606,BRAIN IMG FLOW & STATS,NM,A,341,78606,,,,,923,N,N
4678607,BRAIN IMG SPECT,NM,A,341,78607,,,,,"1,407.00",N,N
4678608,PET/CT LTD - BRAIN,NM,A,404,78608,,,,,"4,000.00",N,N
4678707,RENOGRAM FLOW/IMAGING,NM,A,341,78707,,,,,"1,213.00",N,N
4678708,RENAL FUNC W/PHARMAC SGL,NM,A,341,78708,,,,,"1,100.00",N,N
4678709,RENAL FUNC W/PHARMAC MULT,NM,A,341,78709,,,,,"1,059.00",N,N
4678792,INJ PROC SENTINAL NODE,NM,A,361,38792,,,,,551,N,N
4678814,PET/CT LIMITED,NM,A,404,78814,,,,,"3,152.00",N,N
4678815,PET/CT-TORSO,NM,A,404,78815,,,,,"4,200.00",N,N
4678816,PET/CT WB-MELANOMA,NM,A,404,78816,,,,,"4,600.00",N,N
4679500,CARDIOLITE 40MCI STUDY/DS,NM,A,343,A9500,,,,,452,N,N
4679503,MEDRONATE (UP TO 30mCi),NM,A,343,A9503,,,,,168,N,N
4679505,ISOTOPE : 123 PER 100UCI,NM,A,343,A9516,,,,,231,N,N
4679507,MAA ISOTOPE PER DOSE UP TO 10 MCI,NM,A,343,A9540,,,,,595,N,N
4679509,DTPA ISOTOPE PER DOSE UP TO 25 MCI,NM,A,343,A9539,,,,,502,N,N
4679513,TC 99M ISOTOPE,NM,A,343,A4641,,,,,180,N,N
4679520,LYMPHOSEEK up to 0.5 MCI,NM,A,343,A9520,,,,,"1,000.00",N,N
4679522,CHOLETEC PER DOSE UP TO 15 MCI,NM,A,343,A9537,,,,,311,N,N
4679525,SULFER COLLOID PER DOSE UP TO 20 MCI,NM,A,343,A9541,,,,,311,N,N
4679527,DTPA AEROSAL/UP TO 75MCI,NM,A,343,A9567,,,,,260,N,N
4679529,ULTRATAG UP TO 30 MCI,NM,A,343,A9560,,,,,554,N,N
4679552,PET/CT FDG 18 UP TO 45 MCI,NM,A,343,A9552,,,,,994,N,N
4690010,MRI-ORBIT/FACE/NECK,MRI,A,614,70540,,,,,"2,295.00",N,N
4690011,MRI-ORBIT FACE/NECK W/CON,MRI,A,614,70542,,,,,"2,400.00",N,N
4690012,MRI-ORB FACE/NECK W/WO CN,MRI,A,614,70543,,,,,"3,080.00",N,N
4690021,MRI-BRAIN/INC STEM W/O CO,MRI,A,611,70551,,,,,"2,320.00",N,N
4690023,MRI-BRAIN/INC STEM W CONT,MRI,A,611,70552,,,,,"2,347.00",N,N
4690025,MRI-BRAIN/INC STEM W/WO C,MRI,A,611,70553,,,,,"2,551.00",N,N
4690544,MRA-HEAD W/O CONTRAST,MRI,A,615,70544,,,,,"2,100.00",N,N
4690545,MRA-HEAD WITH CONTRAST,MRI,A,615,70545,,,,,"2,147.00",N,N
4690546,MRA-HEAD W/WO CONTRAST,MRI,A,615,70546,,,,,"2,949.00",N,N
4690547,MRA-NECK W/O CONTRAST,MRI,A,615,70547,,,,,"2,052.00",N,N
4690548,MRA-NECK WITH CONTRAST,MRI,A,615,70548,,,,,"2,147.00",N,N
4690549,MRA-NECK W/WO CONTRAST,MRI,A,615,70549,,,,,"2,941.00",N,N
4691020,MRI-CHEST W/O CONTRAST,MRI,A,614,71550,,,,,"2,147.00",N,N
4691551,MRI CHEST W CONTRAST,MRI,A,614,71551,,,,,"2,449.00",N,N
4691552,MRI CHEST W/WO CONTRAST,MRI,A,614,71552,,,,,"3,626.00",N,N
4691611,MRI-C SPINE W/O CONTRAST,MRI,A,612,72141,,,,,"2,346.00",N,N
4691613,MRI-C SPINE W/WO CONTRAST,MRI,A,612,72156,,,,,"2,740.00",N,N
4691615,MRI-THORACIC SPINE W/CONT,MRI,A,612,72147,,,,,"2,275.00",N,N
4691616,MRI-THORACIC SPINE W/O C,MRI,A,612,72146,,,,,"2,113.00",N,N
4691617,MRI-THORACIC SPINE W/WO,MRI,A,612,72157,,,,,"2,885.00",N,N
4691618,MRI-LUMBAR W/O CONTRAST,MRI,A,612,72148,,,,,"2,431.00",N,N
4691620,MRI-LUMBAR W CONTRAST,MRI,A,612,72149,,,,,"2,432.00",N,N
4691622,MRI-LUMBAR W/WO CONTRAST,MRI,A,612,72158,,,,,"3,317.00",N,N
4692195,MRI-PELVIS W/O CONTRAST,MRI,A,614,72195,,,,,"2,052.00",N,N
4692196,MRI-PELVIS W CONTRAST,MRI,A,614,72196,,,,,"2,271.00",N,N
4692197,MRI-PELVIS W/WO CONTRAST,MRI,A,614,72197,,,,,"2,876.00",N,N
4692198,MRA-PELVIS W OR WO CONT,MRI,A,618,72198,,,,,"2,212.00",N,N
46922FL,DESTROY ANAL LESION SIMP; (MC FACIL)-GS,HCGS,A,510,46922,,,,,"2,430.00",N,N
46922PL,DESTROY ANAL LESION SIMP; (MC PRO)-GS,HCGS,A,960,46922,,,,,"1,621.00",N,Y
46922R,SURGICAL EXCISION,RWC,A,960,46922,,,,,855,N,Y
46922TL,DESTROY ANAL LES SIMP;EXC-GS,HCGS,A,960,46922,,,,,"4,051.00",N,N
4692690,MRI-LT UE JOINT W/O CONTR,MRI,A,614,73221,LT,,,,"2,148.00",N,N
4692692,MRI RT UE JOIN W/O CONT,MRI,A,614,73221,RT,,,,"2,148.00",N,N
4692693,MRI BIL UE JOINT W/O CONT,MRI,A,614,73221,50,,,,"2,360.00",N,N
4692694,MRI LT UE JOINT W CONT,MRI,A,614,73222,LT,,,,"2,717.00",N,N
4692695,MRI RT UE JOINT W CONT,MRI,A,614,73222,RT,,,,"2,717.00",N,N
4692696,MRI BIL UE JOINT W CONT,MRI,A,614,73222,50,,,,"3,523.00",N,N
4692697,MRI LT UE JOINT W/WO CONT,MRI,A,614,73223,LT,,,,"2,941.00",N,N
4692698,MRI RT UE JOINT W/WO CONT,MRI,A,614,73223,RT,,,,"2,941.00",N,N
4692699,MRI BIL UE JOINT W/WO CON,MRI,A,614,73223,50,,,,"3,236.00",N,N
46930FL,DEST INT. HEM. BY THERMAL ENERG(MCFAC)GS,HCGS,A,510,46930,,,,,960,N,N
46930PL,DEST INT HEM BY THERMAL ENERGY(MC PRO)GS,HCGS,A,960,46930,,,,,640,N,Y
46930TL,DEST INT HEM BY THERMAL ENERGY-GS,HCGS,A,960,46930,,,,,"1,600.00",N,N
4693190,MRI-LT LE JOINT W/O CONTR,MRI,A,614,73721,LT,,,,"2,185.00",N,N
4693192,MRI RT LE JOINT W/O CONT,MRI,A,614,73721,RT,,,,"2,185.00",N,N
4693193,MRI BIL LE JOINT W/O CONT,MRI,A,614,73721,50,,,,"2,340.00",N,N
4693194,MRI LT LE JOINT W CONT,MRI,A,614,73722,LT,,,,"2,486.00",N,N
4693195,MRI RT LE JOINT W CONT,MRI,A,614,73722,RT,,,,"2,486.00",N,N
4693196,MRI BIL LE JOINT W CONT,MRI,A,614,73722,50,,,,"3,351.00",N,N
4693197,MRI LT LE JOINT W/WO CONT,MRI,A,614,73723,LT,,,,"3,200.00",N,N
4693198,MRI RT LE JOINT W/WO CONT,MRI,A,614,73723,RT,,,,"3,200.00",N,N
4693199,MRI BIL LE JOINT W/WO CON,MRI,A,614,73723,50,,,,"3,500.00",N,N
4693218,MRI-LT UE NON/JOINT W/O C,MRI,A,614,73218,LT,,,,"2,261.00",N,N
4693219,MRI-LT UE NON/JOINT W/CON,MRI,A,614,73219,LT,,,,"2,315.00",N,N
4693220,MRI-LT UE NON/JOINT W/WO,MRI,A,614,73220,LT,,,,"2,478.00",N,N
4693222,MRI RT UE NON/JNT W/O CNT,MRI,A,614,73218,RT,,,,"2,261.00",N,N
4693223,MRI BIL UE NON/JNT W/O CN,MRI,A,614,73218,50,,,,"2,472.00",N,N
4693224,MRI RT UE NON/JNT W CONT,MRI,A,614,73219,RT,,,,"2,315.00",N,N
4693226,MRI BIL UE NON/JNT W CONT,MRI,A,614,73219,50,,,,"2,906.00",N,N
4693227,MRI RT UE NON/JNT W/WO CN,MRI,A,614,73220,RT,,,,"2,478.00",N,N
4693228,MRI BIL UE NON/JNT W/WO C,MRI,A,614,73220,50,,,,"3,230.00",N,N
4693651,MRI-ABDOMEN W/O CONTRAST,MRI,A,614,74181,,,,,"2,300.00",N,N
4693720,MRI-BIL LE NONJT W/WO CON,MRI,A,614,73720,50,,,,"2,723.00",N,N
4693721,MRI-BIL LE NONJNT W CONTR,MRI,A,614,73719,50,,,,"2,906.00",N,N
4693722,MRI-BIL LE NON JNT WOC,MRI,A,614,73718,50,,,,"2,300.00",N,N
4693723,MRI-RT LE NON JNT W/O C,MRI,A,610,73718,RT,,,,"2,300.00",N,N
4693724,MRI LT LE NON JNT W/O C,MRI,A,610,73718,LT,,,,"2,300.00",N,N
4693726,MRI-RT LE NONJNT W/WO CON,MRI,A,614,73720,RT,,,,"2,977.00",N,N
4693727,MRI-LT LE NONJNT W/WO CON,MRI,A,614,73720,LT,,,,"2,977.00",N,N
4693728,MRI RT LE NONJNT W CONTR,MRI,A,614,73719,RT,,,,"2,315.00",N,N
4693729,MRI LT LE NONJNT W CONTR,MRI,A,614,73719,LT,,,,"2,315.00",N,N
4694181,MRI CHOLPANCRGRAPHY W/O C,MRI,A,614,74181,,,,,"2,300.00",N,N
4694182,MRI-ABDOMEN WITH CONTRAST,MRI,A,614,74182,,,,,"2,594.00",N,N
4694183,MRI-ABDOMEN W/WO CONTRAST,MRI,A,614,74183,,,,,"2,977.00",N,N
4694185,MRA-ABDOMEN W/WO CONTRAST,MRI,A,618,74185,,,,,"2,235.00",N,N
46946L,REM BY LIGAT INT HEM GRPS-GS,HCGS,A,960,46946,,,,,868,N,Y
4697777,MRI OUTSIDE TEST,MRI,A,614,,,,,,0,N,N
4698999,GADOLINEUM PER ML,MRI,A,255,A9579,,,,,9,N,Y
46999L,UNLISTED PROC ANUS-GS,HCGS,A,960,46999,,,,,248,N,Y
4700022,D5W 1000,IV,A,636,J7070,,,,,128,N,N
4700023,D5W 500,IV,A,636,J7060,,,,,128,N,N
4700024,D5W 250,IV,A,258,,,,,,128,N,N
4700025,D5 NS 1000,IV,A,636,J7042,,,,,128,N,N
4700027,D5 0.45 NS 1000,IV,A,258,,,,,,128,N,N
4700029,D5.225 NS 500,IV,A,258,,,,,,128,N,N
4700030,GLYCINE 1.5% IRRG 3000,IV,A,258,,,,,,369,N,N
4700034,INTRALIPID 10%-500,IV,A,258,,,,,,"1,536.00",N,N
4700035,D5W 100,IV,A,258,,,,,,67,N,N
4700036,D5W 50,IV,A,258,,,,,,67,N,N
4700037,D5 0.45 NS 500,IV,A,258,,,,,,128,N,N
4700040,LACTATED RINGERS 1000,IV,A,636,J7120,,,,,128,N,N
4700042,D5L.45 1000ML KCL40 MEQ,IV,A,258,,,,,,128,N,N
4700043,NS 50ML/KCL 10MEQ,IV,A,258,,,,,,83,N,N
4700044,NS 1000ML C KCL 20MEQ,IV,A,258,,,,,,128,N,N
4700061,DEXTROSE 50% 500ML,IV,A,258,,,,,,172,N,N
4700062,DEXTROSE 20% 500ML,IV,A,258,,,,,,175,N,N
4700063,D5L.45 NS KCL20MEQ IV SDN,IV,A,258,,,,,,128,N,N
4700064,NS 1000ML C KCL 40MEQ IV,IV,A,258,,,,,,128,N,N
4700065,D5W/0.2% NS 1000 ML,IV,A,258,,,,,,123,N,N
4700080,NS 0.9 1000,IV,A,636,J7030,,,,,128,N,N
4700081,NS 0.9 500,IV,A,636,J7040,,,,,128,N,N
4700082,NS 0.9 250,IV,A,636,J7050,,,,,128,N,Y
4700084,NS 0.9 100,IV,A,258,,,,,,73,N,N
4700085,NS 0.9 50,IV,A,258,,,,,,81,N,N
4700087,NS 0.45 1000,IV,A,250,,,,,,128,N,N
4700088,NS 0.45 500,IV,A,258,,,,,,128,N,N
4700089,NS 0.45 250,IV,A,258,,,,,,128,N,N
4700092,NS IRRG 3000,IV,A,997,,,,,,0,N,N
4700096,NS IRRG 500,IV,A,997,,,,,,0,N,N
4700097,NS IRRG 1000,IV,A,997,,,,,,0,N,N
47000L,NEEDLE BX LIVER;PERCUTANEOUS-GS,HCGS,A,960,47000,,,,,710,N,Y
4700120,STERILE WATER IV-1000,IV,A,997,,,,,,0,N,N
,,IV,A,997,,,,,,0,N,N
4700123,STERILE WATER 500,IV,A,997,,,,,,0,N,N
4700124,STERILE WATER 1000 IRRG,IV,A,997,,,,,,0,N,N
4700150,PLASBUMIN-25,IV,A,258,,,,,,354,N,N
4700176,D5.3 NS 1000,IV,A,258,,,,,,128,N,N
4700177,D5.2 NS 1000,IV,A,258,,,,,,128,N,N
4700178,D10 500 ML,IV,A,258,,,,,,128,N,N
4700179,D5LR 1000,IV,A,258,,,,,,49,N,N
4700182,.45NS KCL 20MEQ PRE-MIX,IV,A,636,J3490,,,,,128,N,N
4700184,MAG SULFATE 20G PRE-MIX,IV,A,636,J3475,,,,,183,N,N
4700186,LACTATED RINGERS 500ML,IV,A,258,J3490,,,,,52,N,N
4700187,SODIUM CHLORIDE 3%,IV,A,258,,,,,,128,N,N
4700191,D5W 500 ML EXCEL,IV,A,258,,,,,,123,N,N
4700192,NS 0.9% 250 ML EXCEL,IV,A,258,,,,,,128,N,N
4700193,D5W/0.9% 1000 MLKCL20MEQ,IV,A,636,J3490,,,,,128,N,N
4700195,STERILE WATER IRRIG 3000 ML,PHSA,A,997,,,,,,0,N,N
4700196,POTASSIUM CHL 10mEq/100ML PRE-MIX,PHSA,A,636,J3480,,,,,50,N,N
47001L,NEEDLE BX LIVER:MAJOR OP-GS,HCGS,A,960,47001,,,,,330,N,Y
47379L,LAPAROSCOPE PROC LIVER-GS,HCGS,A,960,47379,,,,,"3,449.00",N,Y
47562L,LAPAROSCOPY;CHOLECYSTECOM-GS,HCGS,A,960,47562,,,,,"4,029.00",N,Y
47563L,LAP;CHOLECYSTECTMY W CHOL-GS,HCGS,A,960,47563,,,,,"4,339.00",N,Y
47579L,ENDOSCOPIC REM STONES BILIARY TRACT-GS,HCGS,A,960,47579,,,,,"3,418.00",N,Y
47600L,CHOLECYSTECTOMY;-GS,HCGS,A,960,47600,,,,,"1,298.00",N,Y
47605L,CHOLECYSTECTOMY; W CHOLANGIOGRAPHY-GS,HCGS,A,960,47605,,,,,"3,857.00",N,Y
47999L,UNLISTED PROC BILARY TRACT-GS,HCGS,A,960,47999,,,,,"3,123.00",N,Y
4800000,PHARMACY CHARGE,PHAR,A,997,,,,,,0,N,N
4801017,AMINOCAPROIC ACID INJ,PHAR,A,636,J3490,,,,,31,N,N
4801018,AMINOPHYLLINE 250MG IV,PHAR,A,636,J0280,,,,,53.75,N,N
4801021,AMPHOTERACIN B 50MG INJ,PHAR,A,636,J0285,,,,,165.5,N,N
4801027,AMPICILLIN 500MG VIAL,PHAR,A,636,J0290,,,,,14.5,N,N
4801031,PAMIDRONATE 30MG INJ,PHAR,A,636,J2430,,,,,41,N,N
4801033,ASCORBIC ACID INJ 1000 MG/2 ML,PHAR,A,250,,,,,,390.5,N,N
4801041,ATROPINE 1 MG 10ML SYR,PHAR,A,636,J0461,,,,,24,N,N
4801044,BACITRACIN INJ 50MU,PHAR,A,636,J3490,,,,,21.25,N,N
4801050,FLUOROURACIL 500 MG,PHAR,A,636,J9190,,,,,22.25,N,N
4801055,METHOTREXATE 50 MG,PHAR,A,636,J9260,,,,,31.5,N,N
4801064,BUMETANIDE PER 1-5 MG INJ,PHAR,A,636,J3490,,,,,14.5,N,N
4801069,CALCIUM CHLORIDE 1G INJ,PHAR,A,636,J3490,,,,,37.25,N,N
4801070,CARMUSTINE 100 MG,PHAR,A,636,J9050,,,,,"17,141.00",N,N
4801071,CALCIUM GLUCONATE INJ 1 GM/10ML,PHAR,A,636,J0610,,,,,41,N,N
4801073,CANDIDA SKIN TEST,PHAR,A,250,,,,,,121.5,N,N
4801084,CEFTRIAXONE 250MG INJ,PHAR,A,636,J0696,,,,,14.5,N,N
4801093,CHLORPROMAZINE 50MG INJ,PHAR,A,636,J3230,,,,,103.75,N,N
4801095,MITOMYCIN 5 MG INJ,PHAR,A,636,J9280,,,,,"1,021.25",N,N
4801096,VALPROATE SODIUM 500MG IN,PHAR,A,250,,,,,,14.5,N,N
4801097,DOPAMINE 800MG D5W 250ML,PHAR,A,636,J1265,,,,,179.75,N,N
4801098,IRON SUCROSE INJ 100MG,PHAR,A,636,J1756,,,,,139.5,N,N
4801102,CARBOPROST 250 MCG INJ,PHAR,A,636,J3490,,,,,"1,545.00",N,N
4801107,CLINDAMYCIN 300MG INJ,PHAR,A,636,J3490,,,,,14.5,N,N
4801113,COSYNTROPIN 0.25INJ,PHAR,A,636,J0834,,,,,87.25,N,N
4801117,CYANOCOBAL. (B12) INJ 1MG,PHAR,A,636,J3420,,,,,14.5,N,N
4801128,METHYLPRED DEPO 40MG INJ,PHAR,A,636,J1030,,,,,50,N,N
4801129,METHYLPRED DEPO 80MG INJ,PHAR,A,636,J1040,,,,,86.5,N,N
4801130,MEDROXYPROGEST 150MG INJ,PHAR,A,636,J1050,,,,,373.5,N,N
4801133,DEFEROXAMINE 500MG VIAL,PHAR,A,636,J0895,,,,,59,N,N
4801136,DEXTROSE 50% SYR 50ML,PHAR,A,636,J3490,,,,,38.25,N,N
4801138,DIHYDROERGOT 45 1MG INJ,PHAR,A,636,J1110,,,,,352.75,N,N
4801143,DIGOXIN 0.5MG/2ML INJ,PHAR,A,636,J1160,,,,,14.5,N,N
4801145,DILTIAZEM IV 5ML VIAL,PHAR,A,636,J3490,,,,,14.5,N,N
4801149,DIPHENHYDRAMINE 50MG INJ,PHAR,A,636,J1200,,,,,14.5,N,N
4801153,DOBUTAMINE 250MG INJ,PHAR,A,636,J1250,,,,,27.75,N,N
4801158,DOXYCYCLINE 100MG INJ,PHAR,A,636,J3490,,,,,80.75,N,N
4801163,MORPHINE SULFATE INJ PF {1 MG/ML},PHAR,A,636,J2270,,,,,75.5,N,N
4801169,ENALAPRIL I.V. 2.5MG/2ML,PHAR,A,636,J3490,,,,,14.5,N,N
4801172,EPINEPHrine INJ per 0.1 MG,PHAR,A,636,J0171,,,,,43.75,N,N
4801173,EPI 1MG 10ML SYR,PHAR,A,636,J0171,,,,,21.5,N,N
4801186,ERYTHROMYCIN 500MG INJ,PHAR,A,636,J1364,,,,,351,N,N
4801187,ESMOLOL INJ per 10 MG,PHAR,A,636,J3490,,,,,14.5,N,N
4801198,FLUCONAZOLE IV 200MG INJ,PHAR,A,636,J1450,,,,,83.5,N,N
4801199,FLUDARABINE 50MG INJ,PHAR,A,636,J9185,,,,,247.25,N,N
4801207,GELFOAM 7X12MM,PHAR,A,250,,,,,,31.75,N,N
4801208,GELFOAM SIZE 50,PHAR,A,636,J3490,,,,,103,N,N
4801209,GENTAMICIN 80MG INJ,PHAR,A,636,J1580,,,,,14.5,N,N
4801216,GLUCAGON 1MG INJ,PHAR,A,636,J1610,,,,,"1,183.25",N,N
4801218,GLYCOPYRROLATE INJ 1ML,PHAR,A,636,J3490,,,,,14,N,N
4801224,HALOPERIDOL 5MG INJ,PHAR,A,636,J1630,,,,,14.5,N,N
4801242,HEPATITIS B VACC 1ML,PHAR,A,250,,,,,,270.75,N,N
4801246,HETASTARCH (HESPAN) 500ML,PHAR,A,636,J3490,,,,,192.75,N,N
4801256,HYDRALAZINE 20MG INJ,PHAR,A,636,J0360,,,,,14.5,N,N
4801258,HYDROCORTISONE INJ 100MG,PHAR,A,636,J1720,,,,,58.75,N,N
4801270,INDIGO CARMINE AMP,PHAR,A,250,,,,,,42.5,N,N
4801280,LABETOLOL INJ 5MG/ML,PHAR,A,636,J3490,,,,,52,N,N
