Hospital Name: Earl & Lorraine Miller Children's Hospital,,
OSHPD Facility ID#: 106196168,,
,,
OSHPD Year: 06/01/17- 05/31/18,,
,,
Charge Code,Description,Price
HC62216486,PIN/WIRE FIXATION TEMPORARY       K,$120.00
HC62216494,PIN/WIRE FIXATION TEMPORARY       L,$140.00
HC62216502,KIT SPINAL ACCESS DISPOSBL        E,"$2,800.00"
HC62216510,PIN/WIRE FIXATION TEMPORARY       N,$180.00
HC62216528,PIN/WIRE FIXATION TEMPORARY       O,$200.00
HC62216536,PIN/WIRE FIXATION TEMPORARY       P,$220.00
HC62216544,PIN/WIRE FIXATION TEMPORARY       Q,$240.00
HC62216551,PIN/WIRE FIXATION TEMPORARY       R,$260.00
HC62216569,PIN/WIRE FIXATION TEMPORARY       S,$280.00
HC62216577,PIN/WIRE FIXATION TEMPORARY       T,$300.00
HC62216585,PIN/WIRE FIXATION TEMPORARY       U,$320.00
HC62216593,PIN/WIRE FIXATION TEMPORARY       V,$340.00
HC62216601,PIN/WIRE FIXATION TEMPORARY       W,$360.00
HC62216619,PIN/WIRE FIXATION TEMPORARY       X,$380.00
HC62216627,PIN/WIRE FIXATION TEMPORARY       Y,$400.00
HC62216635,PIN/WIRE FIXATION TEMPORARY       Z,$420.00
HC62216643,PIN/WIRE FIXATION TEMPORARY       AA,$440.00
HC62216650,PIN/WIRE FIXATION TEMPORARY       AB,$460.00
HC62216668,PIN/WIRE FIXATION TEMPORARY       AC,$480.00
HC62216676,PIN/WIRE FIXATION TEMPORARY       AD,$500.00
HC62216684,PIN/WIRE FIXATION TEMPORARY       AE,$600.00
HC62216692,PIN/WIRE FIXATION TEMPORARY       AF,$700.00
HC62216700,PIN/WIRE FIXATION TEMPORARY       AG,$800.00
HC62216718,PIN/WIRE FIXATION TEMPORARY       AH,$900.00
HC62216726,PIN/WIRE FIXATION TEMPORARY       AI,"$1,000.00"
HC62216734,PIN/WIRE FIXATION TEMPORARY      AJ,"$1,100.00"
HC62216759,PIN/WIRE FIXATION TEMPORARY      AL,"$1,300.00"
HC62216767,CATH EP DIAG/ABLAT 3D/VECT        E,"$1,250.00"
HC62216775,TUBING IRRIGATION                 D,$160.00
HC62216783,INSERTER TIP SURGICAL             H,$300.00
HC62216791,INFLATOR FOR BALLOON              S,$370.00
HC62216809,BALLOON VERTEBRAL,"$3,300.00"
HC62216817,NEEDLE INSUFFLATION,$83.00
HC62216825,POST ANCHOR SPINAL DISPOSABLE     G,$320.00
HC62216833,POST ANCHOR SPINAL DISPOSABLE     O,$480.00
HC62216841,ENDO STAPLER                      V,"$1,100.00"
HC62216858,ENDO STAPLER                      W,"$1,150.00"
HC62216866,ENDO STAPLER                      X,"$1,200.00"
HC62216874,ENDO STAPLER                      Y,"$1,250.00"
HC62216882,ENDO STAPLER                      Z,"$1,300.00"
HC62216890,ENDO STAPLER                     AA,"$1,350.00"
HC62216908,ENDO STAPLER                     AB,"$1,400.00"
HC62216916,ENDO STAPLER                     AC,"$1,450.00"
HC62216924,ENDO STAPLER                     AD,"$1,500.00"
HC62216932,ENDO STAPLER                     AE,"$1,550.00"
HC62216940,TAMP BONE KYPHOPLASTY             C,"$1,000.00"
HC62216957,KIT MONITORING NERVE(S) SPINAL    F,"$2,250.00"
HC62216965,PUNCH AORTIC                      B,$50.00
HC62216973,PIN/WIRE FIXATION TEMPORARY      AV,"$2,300.00"
HC62216981,NEEDLE TARGETING                  D,$250.00
HC62216999,NEEDLE TARGETING                  E,$300.00
HC62217005,KIT SPINAL ACCESS DISPOSBL        D,"$2,600.00"
HC62217013,KIT SPINAL ACCESS DISPOSBL       AB,"$7,400.00"
HC62217021,PROBE SPINAL DISPOSABLE           F,$550.00
HC62217039,PROBE SPINAL DISPOSABLE           K,$800.00
HC62217047,WRENCH TORQUE SHAFT SPINAL (DISP),$450.00
HC62217054,WRENCH TIP SPINAL (DISP),$825.00
HC62217062,WIRE PACING TEMP                  C,$35.00
HC62217070,TUNNELER SURGICAL                 B,$125.00
HC62217088,SHIM DEVICE ACCESS SPINAL         X,"$1,323.00"
HC62217096,KIT CHEST TUBE INSERTION,$200.00
HC62217104,CATH ANGIOGRAPHY(LB HNB)          A,$25.00
HC62217112,CATH ANGIOGRAPHY GUIDING          C,$75.00
HC62217120,ADVANCER SYSTM ROTALINK,$663.00
HC62217138,KIT PTCA SYRINGE (CUSTOM),$38.00
HC62217146,KIT ROTATOR LEAD PACER,$50.00
HC62217153,SLITTER CATH ADJUST,$41.00
HC62217161,ORTHOTIC ANKLE RIGID PNEUM/GEL PRFB,$25.00
HC62217179,ORTHOTIC KNEE ELASTIC W/JOINTS PRFB,$35.00
HC62217187,PAD BOOT,$194.00
HC62217195,ORTHOTIC WHFO 1+JOINT(S) PREFAB,$124.00
HC62217203,VEST SYSTEM OSCIL FREQU HI CHEST,$173.00
HC62217211,NEEDLES 5/PACK ENDOSCOPIC         W,$488.00
HC62217229,TUBE ENDOBRONCHIAL,$136.00
HC62217237,KIT TUBE TRACH CUFFED             O,$800.00
HC62217245,BLADE MILL BONE,"$1,000.00"
HC62217252,CURETTE ADENOID,$472.00
HC62217260,PUNCH ATHROSCOPIC ROTARY,"$2,488.00"
HC62217278,PASSER SUTURE                     B,$55.00
HC62217286,PASSER SUTURE                     M,$605.00
HC62217294,KIT HARVESTING BONE GRAFT         N,$700.00
HC62217302,STRIPPER TENDON,"$1,275.00"
HC62217310,DEVICE CHECK NEURO SURG SPINAL,"$2,443.00"
HC62217328,RETRACTOR MIS SPINAL              C,"$1,500.00"
HC62217336,CANNULA BIOPSY BREAST,$103.00
HC62217344,RFID CHANDELIER OPTHALMIC,$263.00
HC62217351,SCRAPER MEMBRANE OPHTH,$321.00
HC62217369,KIT DEVICE RETRIEVAL NEURO FB     S,"$18,000.00"
HC62217377,STOPCOCK LUER LOCK ENDOSCOPE,$284.00
HC62217385,DEVICE FIXATION TACKER(LAP),"$1,674.00"
HC62217393,PUSHER KNOT ENDO                  D,$350.00
HC62217401,SEALER BIPOLAR AQUAMANTYS,"$1,352.00"
HC62217419,DEVICE LIGATOR                    K,$900.00
HC62217427,DEVICE LIGATOR                    M,"$1,100.00"
HC62217435,FORCEPS BIPOLAR DISPOSABLE        O,$800.00
HC62217443,FORCEPS BIPOLAR DISPOSABLE        Q,"$1,000.00"
HC62217450,REAMER                            B,$30.00
HC62217468,REAMER                            D,$50.00
HC62217476,KIT MIXER THROMBIN AUTOLOGUS,$100.00
HC62217484,KIT CONCENTRATOR PLATELETS        R,"$1,250.00"
HC62217492,KIT CONCENTRATOR PLATELETS        X,"$3,000.00"
HC62217500,DRESSING AQUACEL AG,$90.00
HC62217518,DRESSING SACRUM<324CM SQ(MEPITEL),$28.00
HC62217526,DRESSING FILM IV (MEPITEL),$33.00
HC62217534,RETRACTOR DISPOSABLE              B,$100.00
HC62217542,KIT CONCENTRATOR PLATELETS        M,$600.00
HC62217559,KIT TUBE TRACH PEDS/NEO NO CUFF   Q,"$1,000.00"
HC62217567,MARKER SPHERE PASSIVE REFLECTIVE,$48.00
HC62217575,SEPARATOR PLASMA PLASMAFLO,$98.00
HC62217583,DRAIN ADAPTOR                     D,$45.00
HC62217591,AWL SPINAL SINGLE PATIENT USE     C,$300.00
HC62217609,AWL SPINAL SINGLE PATIENT USE     D,$350.00
HC62217617,AWL SPINAL SINGLE PATIENT USE     E,$400.00
HC62217625,AWL SPINAL SINGLE PATIENT USE     G,$500.00
HC62217633,AWL SPINAL SINGLE PATIENT USE     H,$550.00
HC62217641,AWL SPINAL SINGLE PATIENT USE     I,$600.00
HC62217658,AWL SPINAL SINGLE PATIENT USE     J,$650.00
HC62217666,AWL SPINAL SINGLE PATIENT USE     K,$700.00
HC62217674,AWL SPINAL SINGLE PATIENT USE     N,$850.00
HC62217682,AWL SPINAL SINGLE PATIENT USE     Q,"$1,000.00"
HC62217690,AWL SPINAL SINGLE PATIENT USE     R,"$1,100.00"
HC62217708,AWL SPINAL SINGLE PATIENT USE     S,"$1,200.00"
HC62217716,AWL SPINAL SINGLE PATIENT USE     V,"$1,500.00"
HC62217724,AWL SPINAL SINGLE PATIENT USE     X,"$1,700.00"
HC62217732,PUNCH SPINAL,$982.00
HC62217740,ELECTRODE NEUROMONITORING SPINAL,$682.00
HC62217757,TEMPLATE ORTHO/ROD SPINAL         C,$140.00
HC62217765,TEMPLATE ORTHO/ROD SPINAL         D,$160.00
HC62217773,TEMPLATE ORTHO/ROD SPINAL         E,$180.00
HC62217781,NEEDLE BONE MARROW                G,$350.00
HC62217799,NEEDLE BONE MARROW                K,$450.00
HC62217807,TEMPLATE STAPLE SPINAL            C,$350.00
HC62217815,TEMPLATE STAPLE SPINAL            G,$450.00
HC62217823,TEMPLATE STAPLE SPINAL            L,$575.00
HC62217831,CLOSURE WND EXPANDER TISSUE       A,"$2,373.00"
HC62217849,CLOSURE WND EXPANDER TISSUE       B,"$2,623.00"
HC62217856,SHIM DEVICE ACCESS SPINAL         Q,$600.00
HC62217864,SET PIN DISTRACTORS-COUNT 2       A,$500.00
HC62217872,SET PIN DISTRACTORS-COUNT 2       B,"$1,040.00"
HC62217880,SET PIN DISTRACTORS-COUNT 10      A,"$2,495.00"
HC62217898,SET PIN DISTRACTORS-COUNT 10      B,"$5,195.00"
HC62217906,CATH MICRO NEURO (AXS CATALYST)  AH,"$5,500.00"
HC62217914,PASSER SUTURE ORTHOPAEDIC        AA,"$2,250.00"
HC62217922,PUSHER/CUTTER KNOT SUTURE ARTHRS  E,$300.00
HC62217930,CATH DIAGNOSTIC                   I,$375.00
HC62217948,CATH EMBOLECTOMY FOGARTY          E,$150.00
HC62217955,ORTHOSIS SHOULDER FIGURE 8 PREFAB,$184.00
HC62217963,TUBE ET                           D,$100.00
HC62217971,TUBE ET                           E,$150.00
HC62217989,INSERTER TIP SURGICAL             G,$250.00
HC62217997,GUIDE SHAFT DRIVER ORTHO,$513.00
HC62218003,PROBE ABLATION                    J,$400.00
HC62218011,TUBING SET OPHTH INJECT/EXTRACT,$148.00
HC62218029,BLADE OPHTHALM                    Z,$421.00
HC62218037,BLADE OPHTHALM                    D,$40.00
HC62218045,BLADE OPHTHALM                    B,$20.00
HC62218052,SHIELD EYE                        L,$140.00
HC62218060,BASKET STONE RETRIEVAL            O,$450.00
HC62218078,STAPLE CARTRG/ENDO RELOAD         D,$100.00
HC62218086,TROCAR BALLOON,$528.00
HC62218094,TUBING IRRIGATION/SUCTION,$66.00
HC62218102,FIBER LASER                       D,$400.00
HC62218110,CAPSULE PH (IMPLANT)              C,$500.00
HC62218128,ELECTRODE LEEP LOOPS              C,$30.00
HC62218136,PROBE APC/ARGON PLASMA COAGULATOR,$530.00
HC62218144,ELECTRODE  LAP                    D,$100.00
HC62218151,CAUTERY HOOK ASSEMBLY             C,$30.00
HC62218169,KIT REPAIR PORT ACCESS LAP-BAND   C,"$1,500.00"
HC62218177,KIT REPAIR PORT ACCESS LAP-BAND   D,"$1,750.00"
HC62218185,HEMOSTATIC GEL/GELFOAM/PAD        R,"$1,250.00"
HC62218193,TRAY THORAC/PARACENTESIS          G,$120.00
HC62218201,KIT FECAL MANAGEMENT              G,$250.00
HC62218219,CATH DIAGNOSTIC                   R,"$1,250.00"
HC62218227,CATH DIAGNOSTIC                   S,"$1,500.00"
HC62218235,CATH INTRODUCER PEEL-AWAY         F,$100.00
HC62218243,CATH INTRODUCER PEEL-AWAY         G,$125.00
HC62218250,CATH INTRODUCER PEEL-AWAY         H,$150.00
HC62218268,CATH INTRODUCER PEEL-AWAY         I,$175.00
HC62218276,CATH INTRODUCER PEEL-AWAY         J,$200.00
HC62218284,CATH INTRODUCER PEEL-AWAY        AA,"$1,000.00"
HC62218292,CATH INTRODUCER PEEL-AWAY        AB,"$1,250.00"
HC62218300,ENDO STAPLER                      B,$100.00
HC62218318,ENDO STAPLER                      C,$150.00
HC62218326,ENDO STAPLER                      D,$200.00
HC62218334,ENDO STAPLER                      E,$250.00
HC62218342,ENDO STAPLER                      G,$350.00
HC62218359,ENDO STAPLER                      H,$400.00
HC62218367,ENDO STAPLER                      I,$450.00
HC62218375,ENDO STAPLER                      J,$500.00
HC62218383,ENDO STAPLER                      L,$600.00
HC62218391,ENDO STAPLER                      M,$650.00
HC62218409,ENDO STAPLER                      N,$700.00
HC62218417,ENDO STAPLER                      O,$750.00
HC62218425,ENDO STAPLER                      P,$800.00
HC62218433,ENDO STAPLER                      Q,$850.00
HC62218441,ENDO STAPLER                      R,$900.00
HC62218458,ENDO STAPLER                      S,$950.00
HC62218466,ENDO STAPLER                      T,"$1,000.00"
HC62218474,LEAD DELIVERY SYSTEM              J,"$2,000.00"
HC62218482,ENDO STAPLER                     AI,"$1,750.00"
HC62218490,ENDO STAPLER                     AJ,"$1,800.00"
HC62218508,ENDO STAPLER                     AQ,"$2,500.00"
HC62218516,STAPLE CARTRG/RELOAD LIN CUT      H,$125.00
HC62218524,APPLICATOR W/MIXING TIP ORTHO,$138.00
HC62218532,KIT MONITORING NERVE(S) SPINAL    I,"$3,000.00"
HC62218540,KIT MONITORING NERVE(S) SPINAL    J,"$3,250.00"
HC62218557,KIT ACP AUTO COND PLASMA SERIES II,$625.00
HC62218565,STAPLE CARTRG/ENDO RELOAD         F,$200.00
HC62218573,STAPLE CARTRG/ENDO RELOAD         G,$100.00
HC62218581,STAPLE CARTRG/ENDO RELOAD         P,$900.00
HC62218599,STAPLE CARTRG/ENDO RELOAD         Q,"$1,000.00"
HC62218607,PROBE SPINAL DISPOSABLE           H,$650.00
HC62218615,ELECTRODE HOOK ARTHROSCOPIC,$56.00
HC62218623,DEVICE RETRIEVAL                  I,"$3,000.00"
HC62218631,DEVICE RETRIEVAL                  F,"$2,250.00"
HC62218649,TRACKER INSTRUMENT FUSION ENT,$400.00
HC62218656,TUBE LEAD INSERT ELECTRODE ARRAY W/STYLET,$375.00
HC62218664,OBTURATOR BLADELESS ROBOTIC,$63.00
HC62218672,DRILL/DRILL BITS SINGLE USE       B,$50.00
HC62218680,DRILL/DRILL BITS SINGLE USE       C,$75.00
HC62218698,DRILL/DRILL BITS SINGLE USE       D,$100.00
HC62218706,DRILL/DRILL BITS SINGLE USE       E,$125.00
HC62218714,DRILL/DRILL BITS SINGLE USE       F,$150.00
HC62218722,DRILL/DRILL BITS SINGLE USE       G,$175.00
HC62218730,DRILL/DRILL BITS SINGLE USE       H,$200.00
HC62218748,DRILL/DRILL BITS SINGLE USE       I,$225.00
HC62218755,DRILL/DRILL BITS SINGLE USE       J,$250.00
HC62218763,DRILL/DRILL BITS SINGLE USE       K,$300.00
HC62218771,DRILL/DRILL BITS SINGLE USE       L,$350.00
HC62218789,DRILL/DRILL BITS SINGLE USE       M,$400.00
HC62218797,DRILL/DRILL BITS SINGLE USE       N,$450.00
HC62218805,DRILL/DRILL BITS SINGLE USE       O,$500.00
HC62218813,DRILL/DRILL BITS SINGLE USE       P,$550.00
HC62218821,DRILL/DRILL BITS SINGLE USE       Q,$600.00
HC62218839,DRILL/DRILL BITS SINGLE USE       R,$650.00
HC62218847,DRILL/DRILL BITS SINGLE USE       S,$700.00
HC62218854,DRILL/DRILL BITS SINGLE USE       T,$750.00
HC62218862,DRILL/DRILL BITS SINGLE USE       U,$800.00
HC62218870,DRILL/DRILL BITS SINGLE USE       V,$850.00
HC62218888,DRILL/DRILL BITS SINGLE USE       W,$900.00
HC62218896,DRILL/DRILL BITS SINGLE USE       X,$950.00
HC62218904,DRILL/DRILL BITS SINGLE USE       Y,"$1,000.00"
HC62218912,DRILL/DRILL BITS SINGLE USE       Z,"$1,050.00"
HC62218920,DRILL/DRILL BITS SINGLE USE      AA,"$1,100.00"
HC62218938,DRILL/DRILL BITS SINGLE USE      AB,"$1,150.00"
HC62218946,DRILL/DRILL BITS SINGLE USE      AC,"$1,200.00"
HC62218953,DRILL/DRILL BITS SINGLE USE      AD,"$1,250.00"
HC62218961,DRILL/DRILL BITS SINGLE USE      AE,"$1,350.00"
HC62218979,DRILL/DRILL BITS SINGLE USE      AF,"$1,450.00"
HC62218987,DRILL/DRILL BITS SINGLE USE      AH,"$1,650.00"
HC62218995,RETRACTOR MIS SPINAL              I,"$3,000.00"
HC62219001,RETRACTOR MIS SPINAL              K,"$3,500.00"
HC62219019,RETRACTOR MIS SPINAL              O,"$4,500.00"
HC62219027,RETRACTOR MIS SPINAL              Q,"$5,000.00"
HC62219035,FIBRIN SEALANT                    J,$600.00
HC62219043,PORT INSTRMNT MULTI LAPAROSCPC,"$1,367.00"
HC62219050,DEVICE RETRIEVAL VASC             A,"$1,000.00"
HC62219068,DEVICE INFLATION (CALIBER/PRESTO),$63.00
HC62219076,CAP ENDOSEAL,$40.00
HC62219084,ORTHOTIC KNEE W/JNTS PRFB CUSTM   C,$350.00
HC62219092,TUBE CALIBRATION GASTRIC BANDING,$313.00
HC62219100,ADHESIVE SKIN CARDIAC/PCMKR,$60.00
HC62219118,BINDER/ORTHOSIS LUMBAR/SACRAL PRFB,$38.00
HC62219126,BOOT WLKNG AIR W/WO JNTS PREFB    D,$100.00
HC62219134,CANNULA ARTHRSCPC(STICK SWITCHING)H,$325.00
HC62219142,CANNULA CURVED DUAL ELECTROSURG,$81.00
HC62219159,CANNULA TIP SOFT LONG,$750.00
HC62219167,CATH ATRIOSEPTISTOTOMY,"$1,725.00"
HC62219175,CATH CAVITY MAMMOSITE EVAL,$373.00
HC62219183,CATH CTO-CROSSER,"$6,500.00"
HC62219191,CATH DIALYSIS SHORT-TERM          C,$125.00
HC62219191,CATH DIALYSIS SHORT-TERM          C,$125.00
HC62219209,CATH EP QUAD RPRSD                H,$300.00
HC62219217,CATH MICROCATHETER NEUROVASC      K,"$1,055.00"
HC62219225,CATH SIALOGRAPHY,$66.00
HC62219233,CATH THROMBECTOMY/EMBOLECTOMY     E,$300.00
HC62219241,CUTTER SUTURE INCL SURECUT        Q,"$1,000.00"
HC62219258,DEVICE DELIVERY SUTURE INCL LARIAT,"$12,375.00"
HC62219266,DEVICE LIGATOR                    G,$500.00
HC62219274,DEVICE RETRIEVAL                  H,"$2,750.00"
HC62219282,DILATOR FASCIAL INCL URO,$36.00
HC62219290,DILATOR RENAL AMPLATZ,"$1,036.00"
HC62219316,EMBOLIZATN PROTECT SYSTEM(SPIDER) H,"$2,750.00"
HC62219324,EMBOLIZATION PROTECTIVE SYSTEM    J,"$3,250.00"
HC62219332,EMBOLIZATN PROTECT SYSTEM(EZ)     L,"$3,750.00"
HC62219340,GUIDE TIBIAL ORTHO,$915.00
HC62219357,GUIDE TRANSPORTAL ACL,"$2,188.00"
HC62219365,GUIDEWIRE                        AE,"$2,750.00"
HC62219373,HOOK MARKING ORTHO,"$1,000.00"
HC62219381,INTRO/SHEATH STEARABLE NON-PEEL   F,"$2,250.00"
HC62219399,KIT ABLATION VEIN LASER,"$1,165.00"
HC62219407,KIT ACCESSORY STIMULATOR NERVE,$150.00
HC62219415,KIT CATH ARTERIAL,$32.00
HC62219423,KIT MONITORING NERVE(S) SPINAL    K,"$3,750.00"
HC62219449,KIT SPINAL ACCESS DISPOSBL        F,"$3,000.00"
HC62219456,KIT STARTER B-CPAP INFANT,$300.00
HC62219464,SYSTEM DELIVERY LEAD              J,"$1,750.00"
HC62219472,NEEDLE ACCESS FISTULA DIALYSIS,$238.00
HC62219480,ORTHOTIC AF PREFAB W/FIT& ADJUST,$92.00
HC62219498,ORTHOSIS ANKLE GAUNTLET PRFB,$51.00
HC62219506,ORTHOSIS ANKLE/FT PRFB CUSTMZD    C,$100.00
HC62219514,ORTHOSIS ANKLE/FT PRFB CUSTMZD    D,$150.00
HC62219522,PASSER SURGICAL INCL PERITONEAL   I,$355.00
HC62219530,PASSER SUTURE                     E,$155.00
HC62219548,PROBE LITHOTRIPTOR ELECTRHYDRLC   Y,"$3,085.00"
HC62219555,PROBE SPINAL DISPOSABLE           O,"$1,000.00"
HC62219563,PULLER SUTURE INCL TENSURE,$500.00
HC62219589,SHIM DEVICE ACCESS SPINAL        AE,"$2,000.00"
HC62219597,STAPLE CARTRG/ENDO RELOAD         E,$150.00
HC62219605,STYLET CARDIAC                    B,$75.00
HC62219613,TUBE ET                           J,$400.00
HC62219621,TUBE TRACH CUFFED ADJUSTABLE      K,$450.00
HC62219639,TUBE TRACH CUFFED                 N,$700.00
HC62219647,VALVE TRACH SPEAKING              E,$150.00
HC62219654,PRESSURIZER FEMORAL,$38.00
HC62219662,KIT INSTRUMENTS ENDOBUTTON,$853.00
HC62219670,DILATOR SPINE KOROS,$555.00
HC62219688,DILATOR SPINE/NERVE NEUROVISION,"$1,568.00"
HC62219696,KIT VITRECTOMY PROBE              B,$200.00
HC62219704,KIT VITRECTOMY PROBE              C,$300.00
HC62219712,KIT VITRECTOMY PROBE              I,$900.00
HC62219720,KIT VITRECTOMY PROBE              K,"$1,250.00"
HC62219738,KIT VITRECTOMY PROBE              M,"$1,750.00"
HC62219746,KIT VITRECTOMY PROBE              N,"$2,000.00"
HC62219753,KIT VITRECTOMY PROBE              Z,"$5,000.00"
HC62219761,INSTRUMENT KYPHO PAC BEVELED,$410.00
HC62219779,PROBE FLOW PERFUSION,$57.00
HC62219787,PUMP BLOOD CENTRIFUGAL,$444.00
HC62219795,KIT PERFUSION                     D,"$2,750.00"
HC62219803,SIZER MAMMARY                     L,$600.00
HC62219811,PROGRAMMER NEUROSTIM PAT          F,"$2,250.00"
HC62219829,PROGRAMMER NEUROSTIM PAT          H,"$2,750.00"
HC62219837,HAND ACCESS DEVICE                G,"$1,250.00"
HC62219845,DRAIN BLAKE ROUND                 H,$160.00
HC62219852,TUBE ET NIM                       O,$800.00
HC62219860,ORTHOTIC WHFO NEO/INFANT PREFAB   A,$25.00
HC62219878,CATH FOLLOWER URETH PHILLIPS,$28.00
HC62219886,ADAPTER ARTHROSCPC,$450.00
HC62219894,BLADE SAW                        AE,$550.00
HC62219902,CANNULA ARTHRSCPC ROTATING        K,"$1,412.00"
HC62219910,CANNULA ARTHRSCPC ROTATING/BUR    E,$600.00
HC62219928,CONNECTOR LUERLOCK ICP,$119.00
HC62219936,DISSECTOR ULTRASONIC CORDLESS,"$1,500.00"
HC62219944,KNIFE BAYONET                     K,"$1,525.00"
HC62219951,OBTURATOR ARTHRO                  E,$300.00
HC62219969,OBTURATOR ARTHRO                  G,$400.00
HC62219977,KIT INSTRUMENTS UROLIFT,$875.00
HC62219985,BASKET STONE RETRIEVAL            T,$575.00
HC62219993,FASTENERS/ANCHORS TUBE GI-SET OF 3,$272.00
HC62220009,DEVICE BIOPSY BREAST              M,$600.00
HC62220017,BLADE ENDOSCOPIC CARPAL TUNNEL,$518.00
HC62220025,PROBE ABLATION RF BIPOLR ARTHROSCPC,$418.00
HC62220033,DEVICE SUTURE ENDO                I,$800.00
HC62220041,PROBE SPINAL DISPOSABLE           V,"$1,350.00"
HC62220058,RETRACTOR DISPOSABLE              C,$150.00
HC62220066,RETRACTOR DISPOSABLE              D,$200.00
HC62220074,EXTRACTOR KATZ SURGICAL,$263.00
HC62220082,CATH THROMBECTOMY/EMBOLECTOMY     N,$700.00
HC62220090,CATH BALLOON DIL NON VASCULAR     A,$25.00
HC62220108,ACCESS PORTL TRANSJUG INTRAHEP HSKL,"$1,575.00"
HC62220116,KIT MONITORING NERVE(S) SPINAL    G,"$2,500.00"
HC62220124,KIT MONITORING NERVE(S) SPINAL    M,"$4,250.00"
HC62220132,OVERTUBE ENDOSCOPIC               C,"$1,000.00"
HC62220140,OVERTUBE ENDOSCOPIC               D,"$1,250.00"
HC62220157,CATH BALLOON MANOMETRY ANORECTAL,$111.00
HC62220165,BLADE SAW                        AA,$440.00
HC62220173,CANNULA ARTHROSCOPIC              E,$150.00
HC62220181,CATH THROMBECTOMY/EMBOLECTOMY     O,$800.00
HC62220199,CATH THROMBECTOMY/EMBOLECTOMY     P,$900.00
HC62220207,CATH THROMBECTOMY/EMBOLECTOMY     Q,"$1,000.00"
HC62220215,CATH THROMBECTOMY/EMBOLECTOMY     R,"$1,250.00"
HC62220223,CLIP STIMULATION NERVE            I,"$1,250.00"
HC62220231,CUP UTERINE KOH,$617.00
HC62220249,EXERCISER EXPIRATORY THER/MASK PEP,$64.00
HC62220256,KIT MONITORING NERVE(S) SPINAL    C,"$1,500.00"
HC62220264,KIT MONITORING NERVE(S) SPINAL    D,"$1,750.00"
HC62220272,KIT MONITORING NERVE(S) SPINAL    E,"$2,000.00"
HC62220280,SYSTEM DELIVERY LEAD              M,"$2,500.00"
HC62220298,NEEDLE ENDOSCOPIC                 E,$150.00
HC62220306,ORTHOTIC KNEE ELSTC W/JNT PRFB CSTM,$51.00
HC62220314,ORTHOTIC KNEE W/JNTS PRFB CUSTM   O,"$1,250.00"
HC62220322,ORTHOTIC TLSO 4MOD SACRO-SCAP PRE,"$3,128.00"
HC62220330,PIN DISTRACTOR,$55.00
HC62220348,PUNCH ARTHROSCOPIC,$300.00
HC62220355,RETRACTOR DISPOSABLE              N,"$1,150.00"
HC62220363,SHIM DEVICE ACCESS SPINAL        AK,"$5,000.00"
HC62220371,ADAPTOR/SPLINT WALKER WRIST,$65.00
HC62220389,CATH ANGIOG GUIDING DUAL ACCESS(ENVOY)J,$900.00
HC62220397,CATH INTRODUCER PEEL-AWAY         C,$40.00
HC62220405,FIT TALAR LOCKING TRIAL,"$1,300.00"
HC62220413,KIT ARTHROSCOPY DISPSBLS          J,$375.00
HC62220421,KNIFE ANNULOTOMY (MAXCESS),"$2,023.00"
HC62220439,PUSHER KNOT ENDO                  L,"$1,250.00"
HC62220447,TEMPLATE ORTHO/ROD SPINAL         W,$700.00
HC62220454,SPRAY ADHESIVE OSTOMY,$41.00
HC62220462,MOLD/FORM CEMENT TIBIAL KNEE,"$2,425.00"
HC62220470,KIT INSERTN PICC PEDS-NO CATH,$33.00
HC62220488,APPLICATOR/TIP SYRINGE ONLY       B,$50.00
HC62220496,APPLICATOR/TIP SYRINGE ONLY       D,$100.00
HC62220504,APPLICATOR/TIP SYRINGE ONLY       F,$200.00
HC62220512,APPLICATOR/TIP SYRINGE ONLY       I,$350.00
HC62220520,DEVICE LIGATOR                    E,$400.00
HC62220538,DERMABOND                         F,$200.00
HC62220546,CUTTER LAPAROSCOPIC               S,"$1,531.00"
HC62220553,FILTER HARVESTER BONE/BONE MARROW,$691.00
HC62220561,INTRO/SHEATH EP FIXED NON-PEEL    E,$300.00
HC62220579,INTRO/SHEATH EP FIXED NON-PEEL    H,$450.00
HC62220587,NEEDLE DELIVERY CEMENT,$126.00
HC62220595,SHEARS COAGULATING HARMONIC       R,"$1,300.00"
HC62220603,INTRO/SHEATH EP FIXED NON-PEEL    B,$150.00
HC62220611,MASK CPAP,$60.00
HC62220629,HEADGEAR CPAP AIRLIFE,$40.00
HC62220637,HEADGEAR CPAP BONNET,$28.00
HC62220645,DEVICE TORQUE                     B,$50.00
HC62220652,KIT ACCESSORY                     A,$100.00
HC62220660,KIT ACCESSORY                     B,$150.00
HC62220678,KIT ACCESSORY                     C,$200.00
HC62220686,KIT ACCESSORY                     D,$250.00
HC62220694,KIT ACCESSORY                     I,$500.00
HC62220702,KIT ACCESSORY PROSTHESIS PENILE,"$1,855.00"
HC62220710,NEEDLE BIOPSY/ASPIRATION          C,$75.00
HC62220728,COUNTERSINK CANNULATED            E,$250.00
HC62220736,COUNTERSINK CANNULATED            L,$650.00
HC62220744,COUNTERSINK CANNULATED            O,$800.00
HC62220751,DEVICE INDEFLATOR,$123.00
HC62220769,SUPPORT/BRACE LIMB,$33.00
HC62220777,CANNULA ARTHROSCOPIC              H,$300.00
HC62220785,OXYGENATOR ECMO PEDS,"$4,963.00"
HC62220793,TRAY DRAIN PNEUMOPERICARDIUM,$320.00
