CULLMAN REGIONAL CDM,,
ID,Charge Description, Charge Amount 
7119,IGG DISIALO GD1B XX,$30.19 
7120,IGM DISIALO GD1B XX,$30.19 
7121,SUB. PL. FRACT. (MAPTTM),$301.00 
7122,FACT. INHIB. XX,$76.57 
7123,PROTIME XX,$13.87 
7124,SUB. PLATELET FRACTION (MPTMX),$279.00 
7125,REPTILASE TIME (MRPTL),$318.00 
7126,THROMBIN TIME XX,$13.87 
7127,INHIBITOR SCREEN XX,$235.62 
7128,S TSH XX,$37.74 
7129,TSH SENSITIVE SERUM M939,$60.52 
7130,STRIATIONAL ANTIBODIES XX,$52.02 
7131,ACRAB (BINDING AB) XX,$52.02 
7132,MODULATING AB XX,$52.02 
7133,DNA PROBE 1(FISH) (M922F),$290.00 
7134,DNA PROBE 2(FISH) (M922F),$290.00 
7135,INTERP & REPORT(FISH) (M922F),$324.00 
7136,PRIMIDONE (MPRMB),$101.77 
7137,PHENOBARBITAL S (MPRMB),$70.23 
7138,FACTOR II (M7805),$60.48 
7139,COAG FACTOR VIII ASSAY INHIB SCR (MF8IS),$369.68 
7140,SPECIAL COAGULATION INTERPRET (MCCCR),$162.00 
7141,BETHESDA UNITS (MIBETH),$748.00 
7142,HEMATOCRIT XX,$36.72 
7143,GLUCOSE/CHP,$11.42 
7144,LIPID PROFILE/CHP,$31.82 
7145,ANTIBODY TITER 1 (PNA) XX,$105.26 
7146,ANTIBODY TITER 2 (PNA) XX,$105.26 
7147,ANTIBODY TITER 3 (PNA) XX,$105.26 
7148,GLUCOSE (IHS) XX,$11.42 
7149,CHOLESTEROL (IHS) XX,$12.24 
7150,TRANSFERRIN (FETIBC)XX,$58.75 
7151,EB VIRUS EARLY ANTIGEN XX,$47.74 
7152,CORTISOL FREE (U CORT) XX,$95.47 
7153,QUANTITATION/SPEC.(U CORT) XX,$95.47 
7154,PROTEINASE 3 AB (PR3) S (MPR3),$165.96 
7155,CHLAMYDIA AMP RNA (MCTRNA),$107.10 
7156,GONORRHOEAE AMP RNA (MGCRNA),$107.10 
7157,PORPHYRINS QUANTITATIVE (MPQNU),$62.00 
7158,PORPHYRINS QUANTITATION AND FR (MPQNU),$108.00 
7159,HSV TYPE 2 AB IGG S (MHS2G),$58.00 
7160,.MANUAL DIFFERENTIAL XX CHG,$20.81 
7161,H PYLORI C UREA BREATH TEST (MUBT),$602.00 
7162,ASSAY BLD SERUM CHOLESTEROL (MFNMR2),$20.00 
7163,NMR LIPOPROTEIN TEST (MFNMR2),$142.00 
7164,ASSAY OF TRIGLYCERIDES (MFNMR2),$26.00 
7165,ASSAY OF LIPOPROTEIN (MFNMR2),$37.00 
7166,INFLUENZA A XX,$67.50 
7167,INFLUENZA B XX,$67.50 
7168,ANTIBODY TITER 4 (PNA) XX,$105.26 
7169,ANTIBODY TITER 5 (PNA) XX,$105.26 
7170,ANTIBODY TITER 6 (PNA) XX,$105.26 
7171,ANTIBODY TITER 7 (PNA) XX,$105.26 
7172,ANTIBODY TITER 8 (PNA) XX,$105.26 
7173,ESTRONE (ME1),$264.45 
7174,ESTRADIOL (MEEST),$264.60 
7175,INTERPHASES 100 (M_I300),$135.00 
7176,MYELOPEROXIDASE AB S (MMPO),$165.96 
7177,R TYPHI IGG REFLEX TO  TITERS (MFRTGM),$128.20 
7178,R TYPHI IGM REFLEX TO  TITERS (MFRTGM),$128.20 
7179,RMSF IGG REFLEX TO TITERS (MFRMGM),$128.20 
7180,RMSF IGM REFLEX TO TITERS (MFRMGM),$128.20 
7181,FIBRINOGEN M550,$92.00 
7182,Q FEVER IGG PHASE I SCREEN (MFQGI),$80.30 
7183,Q FEVER IGG PHASE II SCREEN (MFQG2S),$80.30 
7184,Q FEVER IGM PHASE I SCREEN (MFQMI),$80.30 
7185,Q FEVER IGM PHASE II SCREEN (MFQM2S),$80.30 
7186,R TYPHI IGG TITER (MFRTG),$412.00 
7187,R TYPHI IGM TITER (MFRTM),$449.00 
7188,RMSF IGG TITER (MFRMFG),$392.00 
7189,RMSF IGM TITER (MFRMFM),$428.00 
7190,Q FEVER IGG PHASE I TITER (MFQFG1),$348.00 
7191,Q FEVER IGG PHASE II TITER (MFQFG2),$348.00 
7192,Q FEVER IGM PHASE I TITER (MFQFM1),$348.00 
7193,Q FEVER IGM PHASE II TITER (MFQFM2),$348.00 
7194,DRUG CON 9 CLASS LIST A,$5.00 
7195,DRUG CON 9 PRESUMPTIVE,$5.00 
7196,DRUG CON 9 AMPHETAMINIES,$5.00 
7197,DRUG CON 9 ANALGESICS,$5.00 
7198,DRUG CON 9 ANTIDEPRESSANTS,$5.00 
7199,DRUG CON 9 TRICYCLIC CYCLICALS,$5.00 
7200,DRUG CON 9 ANTIDEPRESSANTS NOT SPECIFIC,$5.00 
7201,DRUG CON 9 ANTIEPILEPTICS,$5.00 
7202,DRUG CON 9 ANTIPSYCHOTICS,$5.00 
7203,DRUG CON 9 BENZODIAZEPINES 1-12,$5.00 
7204,DRUG CON 9 BUPRENORPHINE,$5.00 
7205,DRUG CON 9 COCAINE,$5.00 
7206,DRUG CON 9 FENTANYL,$5.00 
7207,DRUG CON 9 GABAPENTIN,$5.00 
7208,DRUG CON 9 KETAMINE NORKETAMINE,$5.00 
7209,DRUG CON 9 METHADONE,$5.00 
7210,DRUG CON 9 METHYLENEDIOXYAMPHETAMINES,$5.00 
7211,DRUG CON 9 METHYLPHENIDATE,$5.00 
7212,DRUG CON 9 OPIATES,$5.00 
7213,DRUG CON 9 OPIOIDS AND OPIATE ANALOGS,$5.00 
7214,DRUG CON 9 OXYCODONE,$5.00 
7215,DRUG CON 9 PREGABALIN,$5.00 
7216,DRUG CON 9 PROPOXYPHENE,$5.00 
7217,DRUG CON 9 SEDATIVE HYPNOTICS,$5.00 
7218,DRUG CON 9 SKELETAL MUSCLE RELAXANTS,$5.00 
7219,DRUG CON 9 STIMULANTS SYNTHETIC,$5.00 
7220,DRUG CON 9 TAPENTADOL,$5.00 
7221,DRUG CON 9 TRAMADOL,$5.00 
7222,DRUG CON 9 DRUGS SUBSTANCES,$5.00 
7223,DRUG CON 9 CREATININE,$5.00 
7224,DRUG CON 9 PHENCYCLIDINE,$5.00 
7225,ANABOLIC STEROID SCRN (MEDTOX 24502) 1,$106.00 
7226,ANABOLIC STEROID SCRN (MEDTOX 24502) 2,$106.00 
7227,FUNGAL DIS AB PNL EXP CF ID S(MZW83 2430,$219.27 
7228,FUNGAL DIS AB PNL EXP CF ID S(MZW83 2430,$187.92 
7229,FUNGAL DIS AB PNL EXP CF ID S(MZW83 2430,$167.05 
7230,FUNGAL DIS AB PNL EXP CF ID S(MZW83 2430,$181.99 
7231,CULTURE 01 (MCHRCB),$563.00 
7232,METAPHASES 1-14 (MCHRCB),$788.00 
7233,METAPHASES 15-20 (MCHRCB),$788.00 
7234,KARYOTYPES >2 (MCHRCB),$45.00 
7235,AG-NOR/CBL STAIN (MCHRCB),$50.00 
7236,CHROMOSOME ANALYSIS 15-20 (M_MG19),$683.00 
7237,CHROMOSOME COUNT ADDITIONAL (M_MG19),$104.00 
7238,ETHYL ALCOHOL (MZW80),$32.50 
7239,AMPHETAMINE 1 (MZW80),$32.50 
7240,AMPHETAMINE 2 (MZW80),$32.50 
7241,BARBITURATES (MZW80),$32.50 
7242,BENZODIAZEPINES (MZW80),$32.50 
7243,COCAINE METABOLITE (MZW80),$32.50 
7244,PHENCYCLIDINE (MZW80),$32.50 
7245,THC (MARIJUANA) METABOLITE (MZW80),$32.50 
7246,OPIATES (MZW80),$32.50 
7247,OXYCODONE (MZW80),$32.50 
7248,METHADONE (MZW80),$32.50 
7249,PROPOXYPHENE (MZW80),$32.50 
7250,HEROIN 1 (MZW80),$32.50 
7251,HEROIN 2 (MZW80),$32.50 
7252,5 HIAA U 24 HR (MHIAA),$79.00 
7253,TISSUE TRANSGLUTAMINASE AB IGA S (MTTGA),$107.00 
7254,CRMP-5-IGG WESTERN BLOT (MCRMWS),$455.18 
7255,NMDA-R AB IF TITER ASSAY S (MNMDIS),$405.00 
7256,AMPHILPHYSIN WESTERN BLOT (MABLOT),"$1,170.00 "
7257,AMPA-R AB CBA S (MAMPCS),"$2,025.00 "
7258,GAD65 AB ASSAY S,$295.65 
7259,PARANEOPLASTIC AUTOANTIBODY WBLOT S,$468.68 
7260,GABA-B-R AB CBA S (MGABCS),"$2,025.00 "
7261,NMOA AQP4 IgG CBA S,$726.30 
7262,FACTOR XIII (13) SCREEN (MFXIII),$149.00 
7263,D-DIMER P M83094,$135.29 
7264,FIBRINOGEN P (MFIB),$143.00 
7265,ACTIVATED PARTIAL THROMBOPL TI M83094,$99.93 
7266,COAG FACTOR VIII ASSAY P M83094,$298.08 
7267,SOLUBLE FIBRIN MONOMER (MSFM),$143.41 
7268,THROMBIN TIME PLASMA M83094,$96.05 
7269,VON WILLEBRAND FACTOR AG P M83094,$382.02 
7270,DNA PROBE (MCAT22),$259.32 
7271,CHROMOSOMAL IN SITU HYBRID (MCAT22),$500.86 
7272,INTERPERATATION & REPORT (MCAT22),$20.00 
7273,IMMUNOASSAY ANALYTE MULT STEP (MFMYOP),$122.00 
7274,EXTRACTABLE NUCLEAR ANTIGEN (MFMYOP),$189.00 
7275,AMPA-R AB IF TITER ASSAY S (MAMPIS),$405.00 
7276,GABA-B-R AB IF TITER ASSAY S (MGABIS),$405.00 
7277,NMO/AQP4 FACS TITER S (MNMOTS),$338.00 
7278,CRMP-5-IGG WESTERN BLOT (MCRMWS),$455.18 
7279,LGI1-IGG CBA S (MLG1CS),"$1,125.00 "
7280,CASPR2-IGG CBA S (MCS2CS),"$1,125.00 "
7281,IMMUNOASSAY QUANT NOS NONAB (MFMP3),$97.00 
7282,IMMUNOASSAY NONANTIBODY (MFMP3),$80.00 
7283,NUCLEAR ANTIGEN ANTIBODY (MFMP3),$124.00 
7284,HOUSE DUST MITES D F IgE (MDF),$27.00 
7285,HOUSE DUST MITES D P IgE (MDP),$27.00 
7286,CAT EPITHELIUM IgE (MCAT),$27.00 
7287,DOG DANDER IgE (MDOGD),$27.00 
7288,COCKROACH IgE (MCOCR),$27.00 
7289,ALTERNARIA TENUIS IgE (MALTN),$27.00 
7290,CLADOSPORIUM IgE (MCLAD),$27.00 
7291,EGG WHITE IgE (MEGG),$27.00 
7292,MILK IgE (MMILK),$27.00 
7293,CODFISH IgE (MCOD),$27.00 
7294,SHRIMP IgE (MSHRI),$27.00 
7295,SOYBEAN IgE (MSOY),$27.00 
7296,WALNUT FOOD IgE (MBLW),$27.00 
7297,WHEAT IgE (MWHT),$27.00 
7298,HEMOGLOBIN A2 AND F (MA2F),$291.00 
7299,FERRITIN S (MFERR),$220.00 
7300,HEMOGLOBIN F RED CELL DISTRIB B (MHPFH),$259.52 
7301,HEMOGLOBIN UNSTABLE B (MUNHB),$177.57 
7302,HEMOGLOBIN S SCRN B (MSDEX),$129.60 
7303,ALPHA GLOBIN GENE ANALYSIS (MAGPB),"$1,439.37 "
7304,PHOSPHOLIPID AB IGG S (MGCLIP),$61.43 
7305,PHOSPHOLIPID AB IGA S (MACLIP),$61.43 
7306,MTHFR C677T MUTATION ANALYSIS B (MMTHFR),"$1,038.47 "
7307,MTHFR A1298C MUTATION ANALYSI B (MMTHAC),"$1,038.47 "
7308,ORGANISM REFER FOR ID AEROBIC (MIDENT),$111.00 
7309,ORGANISM REF FOR ID ANAEROBIC (MANIDE),$255.00 
7310,VIRAL CULTURE NON-RESPIRATORY (MVIRNR),$152.00 
7311,SUSCEPTIBILITY PANEL YEAST (MMMLYP),$335.70 
7312,FUNGAL SMEAR (FS),$83.00 
7313,STATCLOT LA (MSTLA),$487.00 
7314,SICKLE CELL SCR(M9180),$15.50 
7315,SOFT BASIC METABOLIC PANEL,$176.26 
7316,GLUCOSE 2HR PP,$35.50 
7317,CULTURE BLOOD,$123.22 
7318,LACTATE DEHYDROGENASE (LD) BF (MLDBF),$83.00 
7319,CHLORIDE U 24HR (MCLU),$102.00 
7320,CSF CELL COUNT & DIFF,$66.10 
7321,GTT FASTING,$130.97 
7322,CBC W/AUTO DIFF,$129.74 
7323,CYTOPATH FL NONGYN SMEARS,$64.93 
7324,CYTOPATH CELL ENHANCE TECH,$139.94 
7325,EVAL OF FNA INT & REP,$139.94 
7326,CYTOPATH C/V AUT FLUID REDO,$139.94 
7327,SURG PATH LVL 1 GROSS ONLY,$42.42 
7328,SURG PATH LVL 2,$64.93 
7329,TISSUE EXAM BY PATH LEVEL 3,$139.94 
7330,TISSUE EXAM BY PATH LEVEL 4,$139.94 
7331,TISSUE EXAM BY PATH LEVEL 5,$219.24 
7332,TISSUE EXAM BY PATH LEVEL 6,$263.58 
7333,DECALCIFICATION PROCEDURE,$36.00 
7334,SPECIAL STAINS GRP 1,$64.93 
7335,SPECIAL STAINS GRP 2,$64.93 
7336,PATH CONSULT DURING SURGERY,$64.93 
7337,SP CONSULT 1ST TB W FS SGL SP,$164.92 
7338,IHC INITIAL ANTIBODY,$164.98 
7339,MANUAL TUMOR IM HISTOCHEM EA,$164.92 
7340,INTRAOP ADDL,$42.46 
7341,FLOW CYTOMETRY 1ST MARKER,$164.92 
7342,FLOW CYTOMETRY ADDL MARKER,$65.00 
7343,INSITU HYBRIDIZATION INITIAL PROBE,$143.64 
7344,IHC ANTIBODY ADDITIONAL,$139.94 
7345,IHC MULTIPLEX ANTIBODY,$164.98 
7346,INSITU HYBRIDIZATION ADDITIONAL PROBE,$143.64 
7347,TISSUE EXAM BY PATH LEVEL 3 W 59 MODIFIE,$139.94 
7348,TISSUE EXAM BY PATH LEVEL 4 W 59 MODIFIE,$139.94 
7349,TISSUE EXAM BY PATH LEVEL 5 W 59 MODIFIE,$219.24 
7350,TISSUE EXAM BY PATH LEVEL 6 W 59 MODIFIE,$219.24 
7351,MORPHOMETRIC ANALYSIS PER SPECIMEN,$737.91 
7352,TISSUE CULTURE BM BLOOD CELLS,$773.51 
7353,PROSTATE BIOPSY,$646.83 
7354,CYTOPATHOLOGY DX EVAL FNA 1ST EA SITE,$412.16 
7355,CYTOPATHOLOGY FNA EVAL EA ADDL,$84.38 
7356,IGH GENE REARRANGE AMP METH,"$1,462.50 "
7357,IGK REARRANGEABN CLONAL POP,"$1,462.50 "
7358,B@ GENE REARRANGE AMPLIFY,"$1,012.50 "
7359,TRG GENE REARRANGEMENT ANAL,"$1,012.50 "
7360,GROUP III STAINS FOR ENZYME CONSTITUENTS,$162.14 
7361,HC STAIN ON FROZEN TISSUE BLOCK,$563.00 
7362,EACH ADDL PROBE STAIN PROCEDURE,$790.20 
7363,EGFR GEN COM VARIANTS,"$1,463.00 "
7364,IMMUNOFLUOR FIRST SINGLE ANTIBODY STAIN,$567.00 
7365,IMMUNOFLUOR ADDL SINGLE ANTIBODY STAIN,$261.00 
7366,KRAS GENE ANALYSIS VARIANTS IN EXON 2,$786.00 
7367,MORPHOMETRIC ANALYSIS SKELETAL MUSCLE,$743.00 
7368,BB DAT,$112.65 
7369,BB ANTIGEN ID (PATIENT),$68.88 
7370,BB ANTIGEN ID (UNIT),$68.88 
7371,BB ANTIBODY IDENTIFICATION,$172.18 
7372,BB REF LAB ANTIGEN ID (PATIENT),$80.00 
7373,BB BLOOD TRANSFUSION FEE,$509.00 
7374,BB REF LAB COLD AB SCRN,$90.00 
7375,BB REF LAB PREWARM SCRN,$75.24 
7376,BB CROSSMATCH (IS),$117.85 
7377,BB CROSSMATCH (AHG),$133.82 
7378,COLD AGGLUTININ TITER,$64.46 
7379,BB REF LAB PREWARM XMATCH,$112.65 
7380,BB FETAL SCREEN,$93.02 
7381,BB ANTIBODY SCREEN,$68.88 
7382,BB ANTIBODY SCREEN TUBE,$68.88 
7383,BB RHOGAM SERUM/ADMINISTRATION,$188.00 
7384,BB PHLEBOTOMY,$103.04 
7385,BB TRANSFUSION REACTION,$277.85 
7386,BB THAW FFP,$112.65 
7387,BB REF LAB ABID FEE,$171.00 
7388,BB CROSSMATCH (XMG INSTRUMENT),$133.82 
7389,BLD SUPPLIER WASHED RBC FEE,$562.50 
7390,BB REF LAB PHYS INTERP,$257.00 
7391,BB REF LAB RETIC SEP OR HYPOTONIC WASH,$418.00 
7392,BB REF LAB RARE UNIT FEE,$540.00 
7393,REF LAB IAT CROSSMATCH,$347.00 
7394,BB REF LAB ANTIBODY ID PER CELL,$68.00 
7395,MONO TEST,$96.70 
7396,VDRL CSF (MVDSF),$41.00 
7397,BB REF LAB DAT BROAD SPECT,$112.65 
7398,BB REF LAB ABSORPTION 2,$121.50 
7399,BB REF LAB AB TITER FEE,$202.50 
7400,BB REF LAB ELUTION FEE,$160.00 
7401,BB REF LAB DAT IGG,$112.65 
7402,BB REF LAB RH PHENOTYPE FEE,$78.34 
7403,BB REF LAB ABSORPTION 3,$121.50 
7404,BB REF LAB DAT COMP SPECIFIC,$112.65 
7405,BB REF LAB ANTIBODY SCREEN FEE,$68.88 
7406,BB REF LAB ABSORPTION 1,$121.50 
7407,BB REF LAB ABO TYPING,$68.88 
7408,BB REF LAB RH (D) TYPING,$68.88 
7409,BB REF LAB ANTIGEN  ID (UNIT),$72.54 
7410,BB REF LAB ENZYME PRETREATMENT,$202.50 
7411,BB ELECTRONIC XM,$112.65 
7412,BB ABO BLOOD TYPE XX,$68.88 
7413,BB RH (D) TYPE XX,$68.88 
7414,BB COOMBS DIRECT XX,$112.65 
7415,.BB LRPRBC (1 UNIT),$434.00 
7416,.BB FFP (1 UNIT),$177.00 
7417,.BB PLTLR PHERESIS (1UNIT),"$1,182.00 "
7418,.BB CRYO (1 UNIT),$100.00 
7419,GASTROGRAFIN 30ML 24/BX,$32.94 
7420,ISOVUE-M 200  20ML,$62.87 
7421,SALINE 50ML,$11.70 
7422,DRAIN TRU-CLOSE 500CC (BUY BY EACH-10/CS,$135.00 
7423,KIT SUPER XL BE 8925,$22.91 
7424,INJECTOR UTERINE ZUI-4.0  ZSI1152,$97.50 
7425,NEEDLE WHIACRE 22G 3.5,$18.54 
7426,HIGH PRESSURE CONTRAST INJECTION 72,$23.04 
7427,XR FEEDING TUBE 120 CM LONG,$211.50 
7428,SURGICAL COMPONENT,"$1,013.60 "
7429,INJECTION PROCEDURE FOR BLADDER XRAY,$379.08 
7430,SURGICAL COMPONENT #3,"$3,120.57 "
7431,CYSTOGRAFIN 300ML  30%,$72.90 
7432,GASTROGRAFIN 120ML  12/BX,$39.74 
7433,CONTRAST ISOVUE 370 10 X 100ML,$45.18 
7434,ISOVUE-300 10 X 100 ML,$40.68 
7435,MRI PROHANCE 20ML VIAL,$126.59 
7436,MRI PROHANCE 17ML PREFILLED,$119.16 
7437,PROHANCE 10ML PREFILLED,$70.11 
7438,XR ISOV 50ML VIALS,$20.66 
7439,ISOVUE-M 300 15ML  10/BX,$61.00 
7440,LIQUID EZ PAQUE 12 OZ,$6.98 
7441,POLIBAR ACB BARIUM IN SNAP CAP,$14.76 
7442,CONTRAST ISOVUE 370 150ML,$83.03 
7443,XR ISOV 370 50ML,$22.50 
7444,XR PORTAGRAM-PORT EVAULATION,$903.18 
7445,SODIUM CHLORIDE INJ ADD-VANTAGE 100ML,$11.70 
7446,SURGICAL COMPONENT #2,"$1,898.15 "
7447,NEEDLE SPINAL 20GA 6IN QUINCKE,$11.57 
7448,XR KANGROO 8 FR 36  FEEDING TUBE,$18.72 
7449,TRAY ARTHROGRAM,$28.13 
7450,AIR BULB INSUFFLATOR,$8.15 
7451,XR SINUS TRACT INJ STUDY,$583.56 
7452,XR FOOT 2 VIEWS R,$309.19 
7453,XR FOOT 3+ VIEWS R,$431.43 
7454,XR FOREARM 1 VIEW R,$318.62 
7455,XR FOREARM 2 VIEWS R,$347.30 
7456,XR HAND 3+ VIEWS R,$438.91 
7457,XR HAND AP LAT R,$253.04 
7458,XR HIP ARTHROGRAM S&I R,"$1,004.84 "
7459,XR HIP R UNILAT 2-3V WO PEL,$434.37 
7460,XR HUMERUS 1 VIEW R,$372.34 
7461,XR HUMERUS 2+ VIEWS R,$417.02 
7462,XR INJ ELBOW ARTHROGRAM R,$366.24 
7463,XR INJ SHOULDER ARTHROGRAM R,$344.64 
7464,XR KNEE 3 VIEWS R,$527.77 
7465,XR KNEE 4+ VIEWS R,$554.16 
7466,XR KNEE <3 VIEWS R,$401.12 
7467,XR KNEE ARTHROGRAM S & I R,$834.05 
7468,XR LOWER EXTRE INFANT 2+VIEWS R,$253.13 
7469,XR OPERATIVE ANG EXTREM UNI R,"$6,132.32 "
7470,XR RIBS UNI PA CHEST 3+ VIEWS R,$615.08 
7471,XR RIBS UNILATERAL 2+ VIEWS R,$567.44 
7472,XR SCAPULA COMPLETE R,$348.57 
7473,XR SHOULDER 2+ VIEWS R,$416.12 
7474,XR SHOULDER ONE VIEW R,$289.86 
7475,XR TIBIA FIBULA 2 VIEWS R,$373.27 
7476,XR TOE(S) 2+ VIEWS R,$301.78 
7477,XR UPPER EXT INFANT 2+ VIEWS R,$296.99 
7478,XR VENOGRAM UNILATERAL EXT S & I R,"$2,596.75 "
7479,XR WRIST 2 VIEWS R,$344.56 
7480,XR WRIST 3+ VIEWS R,$538.70 
7481,XR WRIST ARTHROGRAM S & I R,"$1,176.56 "
7482,XR HIP R UNILAT 2-3V W PEL,$446.32 
7483,XR HIP L UNILAT 2-3V W PEL,$446.32 
7484,XR HIP R UNILAT 1V W PEL,$418.32 
7485,XR HIP L UNILAT 1V W PEL,$418.32 
7486,XR MANDIBLE <4 VIEWS,$362.58 
7487,XR MANDIBLE 4+ VIEWS,$533.23 
7488,XR FACIAL BONES <3 VIEWS,$471.62 
7489,XR FACIAL BONES 3+ VIEWS,$533.25 
7490,XR NASAL BONES 3+ VIEWS,$510.81 
7491,XR ORBITS <4 VIEWS,$471.62 
7492,XR SINUSES <3VIEWS,$266.27 
7493,XR SINUSES 3+ VIEWS,$445.06 
7494,XR SKULL <4 VIEWS,$533.25 
7495,XR SKULL 4+ VIEWS,$672.73 
7496,XR NECK SOFT TISSUE,$284.40 
7497,XR CHEST SINGLE VIEW,$253.82 
7498,XR POST ENB CHEST ONLY,$253.82 
7499,XR CHEST PA  LAT,$397.38 
7500,XR SNIFF TEST,$409.11 
7501,XR CHEST DECUB SPECIAL VIEWS,$292.60 
7502,XR RIBS UNILATERAL 2+ VIEWS L,$567.44 
7503,XR RIBS UNI PA CHEST 3+ VIEWS L,$615.08 
7504,XR RIBS BILATERAL 3+ VIEWS,$580.49 
7505,XR RIBS BIL PA CHEST 4+ VIEWS,$601.59 
7506,XR STERNUM 2+ VIEWS,$335.51 
7507,XR STERNOCLAVICULAR JT 3+ VIEW,$411.41 
7508,XR SCOLIOSIS AP STANDING 1 VIEW,"$1,170.74 "
7509,XR ENTIRE SPINE AP & LAT 2 OR 3 VIEWS,"$1,542.91 "
7510,XR ENTIRE SPINE 4 OR 5 VIEWS,"$1,597.41 "
7511,XR ENTIRE SPINE + SKULL > 6 VIEWS,"$1,651.91 "
7512,XR SPINE SINGLE VIEW,$281.44 
7513,XR SPINE CERVICAL 2 OR 3 VIEWS,$496.68 
7514,XR SPINE CERVICAL 4 OR 5 VIEWS,$552.95 
7515,XR SPINE CERV W/OBL FLEX EXT 6 PLUS,$701.96 
7516,XR SPINE THORACIC 2 VIEWS,$358.33 
7517,XR SPINE THORACIC 3 VIEWS,$567.43 
7518,XR SPINE THOR 4+VIEWS,$581.11 
7519,XR SPINE THORACOLUMBAR 2 VIEWS,$651.93 
7520,XR SPINE LUMBAR 2/3 VIEWS,$520.24 
7521,XR SPINE LUMBAR 4+ VIEWS,$823.10 
7522,XR PELVIS < 3 VIEWS,$266.62 
7523,XR PELVIS 3+ VIEWS,$463.51 
7524,XR SACROILIAC JOINTS 3+ VIEWS,$440.26 
7525,XR SACRUM COCCYX 2+ VIEWS,$408.83 
7526,XR CLAVICLE COMPLETE L,$370.53 
7527,XR CLAVICLE LIMITED L,$330.84 
7528,XR SCAPULA COMPLETE L,$348.57 
7529,XR SHOULDER ONE VIEW L,$289.86 
7530,XR SHOULDER 2+ VIEWS L,$416.12 
7531,XR SHOULDER ARTHROGRAM S & I L,"$1,451.08 "
7532,XR AC JOINTS BIL WO/W WEIGHT,$289.94 
7533,XR HUMERUS 2+ VIEWS L,$417.02 
7534,XR HUMERUS 1 VIEW L,$372.34 
7535,XR ELBOW 2 VIEWS L,$275.53 
7536,XR ELBOW 1 VIEW L,$254.32 
7537,XR ELBOW 3+ VIEWS L,$414.29 
7538,XR FOREARM 2 VIEWS L,$347.30 
7539,XR FOREARM 1 VIEW L,$318.62 
7540,XR UPPER EXT INFANT 2+ VIEWS L,$296.99 
7541,XR WRIST 2 VIEWS L,$344.56 
7542,XR WRIST 3+ VIEWS L,$538.70 
7543,XR WRIST ARTHROGRAM S & I L,"$1,176.56 "
7544,XR HAND AP LAT L,$253.04 
7545,XR HAND 3+ VIEWS L,$438.91 
7546,XR FINGER(S) 2+ VIEWS L,$311.14 
7547,XR FINGER 1 VIEW L,$272.62 
7548,XR HIP L UNILAT 1V WO PEL,$407.12 
7549,XR HIP L UNILAT 2-3V WO PEL,$434.37 
7550,XR HIP BIL 3-4 VIEWS W OR WO PELVIS,$534.20 
7551,XR HIP BIL >5 VIEWS W/AP PELVIS,$890.34 
7552,XR PELVIS HIPS INFANT 2 VIEWS,$327.27 
7553,XR FEMUR 2 VIEWS L,$417.02 
7554,XR FEMUR 1 VIEW L,$382.59 
7555,XR KNEE <3 VIEWS L,$401.12 
7556,XR KNEE 3 VIEWS L,$527.77 
7557,XR KNEE 4+ VIEWS L,$554.16 
7558,XR KNEE BIL STANDING AP,$283.03 
7559,XR KNEE ARTHROGRAM S & I L,$834.05 
7560,XR TIBIA FIBULA 2 VIEWS L,$373.27 
7561,XR LOWER EXTRE INFANT 2+VIEWS L,$253.13 
7562,XR ANKLE 2 VIEWS L,$318.65 
7563,XR ANKLE 1 VIEWS L,$307.85 
7564,XR ANKLE 3+ VIEWS L,$434.80 
7565,XR FOOT 2 VIEWS L,$309.19 
7566,XR FOOT 3+ VIEWS L,$431.43 
7567,XR CALCANEUS 2+ VIEWS L,$325.42 
7568,XR CALCANEUS 1 VIEW L,$290.55 
7569,XR TOE(S) 2+ VIEWS L,$301.78 
7570,XR ABDOMEN AP/KUB,$401.12 
7571,XR ABDOMEN AP ERECT/DECUB,$546.49 
7572,XR AORTOGRAM ABDOMEN,"$10,898.60 "
7573,XR ABD AP ERECT/DECUB CHEST,$691.86 
7574,XR ESOPHAGUS,$527.78 
7575,XR UPPER GI,$891.48 
7576,XR UPPER GI SMALL BOWEL,"$1,273.97 "
7577,XR UPPER GI AIR CONTRAST,$862.77 
7578,XR BA/SWAL W UGI AIR,$918.22 
7579,XR BA/SWAL UGI SERIES,$891.48 
7580,XR UPPER GI AIR SMALL BOWEL,"$2,713.39 "
7581,XR SMALL BOWEL,$748.74 
7582,XR BARIUM ENEMA,$740.46 
7583,XR BARIUM ENEMA AIR CONTRAST,$872.33 
7584,XR CHOLANGIOGRAM INTRAOPETA S &,$597.44 
7585,XR CHOLANGIO POST OP/T TUBE S &,$927.38 
7586,XR ERCP BILIARY DUCT S & I,"$1,143.36 "
7587,XR ERCP PANCREATIC DUCT S & I,"$1,143.36 "
7588,XR ERCP BILIARY + PANCREAS S & I,"$1,543.36 "
7589,XR IVP,"$1,550.00 "
7590,XR RETROGRADE UROGRAM,$714.75 
7591,XR CYSTROGRAM 3+ VIEWS S & I,"$1,033.41 "
7592,XR CYSTROGRAM W MODIFIER VIEWS S & I,$612.55 
7593,XR NEPHROSTOMY TUBE INJECTION,"$1,072.47 "
7594,XR URETHROCYSTOGRAM VOIDING,$776.94 
7595,XR URETHROGRAM,"$1,300.84 "
7596,XR HYSTEROSOLPINGOGRAM S & I,$793.03 
