Procedure Description,CPT(R)/HCPCS Code, Unit Price 
HC RADIOLOGIC EXAMINATION PELVIS 1/2 VIEWS,72170, 336.00 
HC RADIOLOGIC EXAM PELVIS COMPL MINIMUM 3 VIEWS,72190, 687.00 
HC CT ANGIOGRAPHY PELVIS W/CONTRAST/NONCONTRAST,72191," 2,199.00 "
HC CT PELVIS W/O CONTRAST MATERIAL,72192," 1,444.00 "
HC CT PELVIS W/CONTRAST MATERIAL,72193," 1,726.00 "
HC CT PELVIS W/O & W/CONTRAST MATERIAL,72194," 1,917.00 "
HC MRI PELVIS W/O CONTRAST MATERIAL,72195," 2,307.00 "
HC MRI PELVIS W/CONTRAST MATERIAL,72196," 2,805.00 "
HC MRI PELVIS W/O & W/CONTRAST MATERIAL,72197," 3,356.00 "
HC MRA PELVIS W/WO CONTRAST MATERIAL,72198, 711.00 
HC RADIOLOGIC EXAMINATION SACROILIAC JNTS <3 VIEWS,72200, 448.00 
HC RADIOLOGIC EXAM SACROILIAC JOINTS 3/MORE VIEWS,72202, 501.00 
HC RADEX SACRUM & COCCYX MINIMUM 2 VIEWS,72220, 539.00 
HC MYELOGRAPHY CERVICAL RS&I,72240," 1,930.00 "
HC MYELOGRAPY 2/MORE REGIONS RS&I,72270," 2,555.00 "
HC DISKOGRAPY CERVICAL/THORACIC RS&I,72285," 7,051.00 "
HC DISKOGRAPY LUMBAR RS&I,72295," 7,051.00 "
HC RADEX CLAVICLE COMPLETE,73000, 400.00 
HC RADEX SCAPULA COMPLETE,73010, 602.00 
HC RADEX SHOULDER 1 VIEW,73020, 373.00 
HC RADEX SHOULDER COMPLETE MINIMUM 2 VIEWS,73030, 385.00 
HC RADEX A-C JOINTS BI W/WO WEIGHTED DISTRCJ,73050, 497.00 
HC RADEX HUMERUS MINIMUM 2 VIEWS,73060, 482.00 
HC RADEX ELBOW 2 VIEWS,73070, 454.00 
HC RADEX ELBOW COMPLETE MINIMUM 3 VIEWS,73080, 538.00 
HC RADEX FOREARM 2 VIEWS,73090, 482.00 
HC RADEX UPPER EXTREMITY INFANT MINIMUM 2 VIEWS,73092, 259.00 
HC RADEX WRIST 2 VIEWS,73100, 463.00 
HC RADEX WRIST COMPLETE MINIMUM 3 VIEWS,73110, 538.00 
HC RADEX HAND 2 VIEWS,73120, 415.00 
HC RADEX HAND MINIMUM 3 VIEWS,73130, 538.00 
HC RADEX FINGR MINIMUM 2 VIEWS,73140, 438.00 
HC CT UPPER EXTREMITY W/O CONTRAST MATERIAL,73200," 1,728.00 "
HC CT UPPER EXTREMITY W/CONTRAST MATERIAL,73201," 1,959.00 "
HC CT UPPER EXTREMITY W/O & W/CONTRAST MATERIAL,73202," 2,185.00 "
HC CT ANGIOGRAPHY UPPER EXTREMITY,73206," 2,584.00 "
HC MRI UPPER EXTREMITY OTH THAN JT W/O CONTR MATRL,73218," 2,445.00 "
HC MRI UPPER EXTREM OTHER THAN JT W/O & W/CONTRAS,73220," 3,356.00 "
HC MRI ANY JT UPPER EXTREMITY W/O CONTRAST MATRL,73221," 2,883.00 "
HC MRI ANY JT UPPER EXTREMITY W/CONTRAST MATRL,73222," 3,147.00 "
HC MRI ANY JT UPPER EXTREMITY W/O & W/CONTR MATRL,73223," 3,560.00 "
HC MRA UPPER EXTREMITY W/WO CONTRAST MATERIAL,73225," 1,680.00 "
HC HIP UNILATERAL 1 VIEW,73500, 253.00 
HC RADEX HIP UNILATERAL WITH PELVIS 1 VIEW,73501, 589.00 
HC RADEX HIP UNILATERAL WITH PELVIS 2-3 VIEWS,73502, 589.00 
HC RADEX HIP UNILATERAL WITH PELVIS MINIMUM 4 VIEWS,73503, 649.00 
HC RADEX HIPS BILATERAL WITH PELVIS 2 VIEWS,73521, 734.00 
HC RADEX HIPS BILATERAL WITH PELVIS 3-4 VIEWS,73522, 734.00 
HC RADIOLOGIC EXAMINATION FEMUR MINIMUM 2 VIEWS,73552, 589.00 
HC RADIOLOGIC EXAMINATION KNEE 1/2 VIEWS,73560, 454.00 
HC RADIOLOGIC EXAMINATION KNEE 3 VIEWS,73562, 538.00 
HC RADIOLOGIC EXAM KNEE COMPLETE 4/MORE VIEWS,73564, 610.00 
HC RADIOLOGIC EXAM BOTH KNEES STANDING ANTEROPOST,73565, 395.00 
HC RADIOLOGIC EXAMINATION TIBIA & FIBULA 2 VIEWS,73590, 370.00 
HC RADEX LOWER EXTREMITY INFANT MINIMUM 2 VIEWS,73592, 255.00 
HC RADIOLOGIC EXAMINATION ANKLE 2 VIEWS,73600, 341.00 
HC RADEX ANKLE COMPLETE MINIMUM 3 VIEWS,73610, 454.00 
HC RADIOLOGIC EXAMINATION FOOT 2 VIEWS,73620, 341.00 
HC RADEX FOOT COMPLETE MINIMUM 3 VIEWS,73630, 391.00 
HC RADEX CALCANEUS MINIMUM 2 VIEWS,73650, 415.00 
HC RADEX TOE MINIMUM 2 VIEWS,73660, 382.00 
HC CT LOWER EXTREMITY W/O CONTRAST MATERIAL,73700," 1,728.00 "
HC CT LOWER EXTREMITY W/CONTRAST MATERIAL,73701," 1,958.00 "
HC CT LOWER EXTREMITY W/O & W/CONTRAST MATRL,73702," 2,185.00 "
HC CT ANGIOGRAPHY LOWER EXTREMITY,73706," 2,548.00 "
HC MRI LOWER EXTREM OTH/THN JT W/O CONTR MATRL,73718," 2,883.00 "
HC MRI LOWER EXTREM OTH/THN JT W/CONTRAST MATRL,73719," 3,009.00 "
HC MRI LOWER EXTREM OTH/THN JT W/O & W/CONTR MATR,73720," 4,195.00 "
HC MRI ANY JT LOWER EXTREM W/O CONTRAST MATRL,73721," 2,883.00 "
HC MRI ANY JT LOWER EXTREM W/CONTRAST MATERIAL,73722," 3,147.00 "
HC MRI ANY JT LOWER EXTREM W/O & W/CONTRAST MATRL,73723," 4,028.00 "
HC RADIOLOGIC EXAM ABDOMEN 1 VIEW,74018, 354.00 
HC RADIOLOGIC EXAM ABDOMEN 2 VIEWS,74019, 772.00 
HC GASTROFRAFIN CHALLENGE,74019, 281.25 
HC RADIOLOGIC EXAM ABDOMEN 3+ VIEWS,74021, 312.00 
HC RADEX ABD COMPL AQT ABD W/S/E/D VIEWS 1 VIEW CH,74022, 811.00 
HC CT ABDOMEN W/O CONTRAST MATERIAL,74150," 1,947.00 "
HC CT ABDOMEN W/CONTRAST MATERIAL,74160," 2,344.00 "
HC CT ABDOMEN W/O & W/CONTRAST MATERIAL,74170," 2,745.00 "
HC CT ANGIO ABD&PLVIS CNTRST MTRL W/WO CNTRST IMG,74174," 3,639.00 "
HC CT ANGIOGRAPHY ABDOMEN W/CONTRAST/NONCONTRAST,74175," 2,789.00 "
HC CT ABDOMEN & PELVIS W/O CONTRAST MATERIAL,74176," 2,433.00 "
HC CT ABDOMEN & PELVIS W/CONTRAST MATERIAL,74177," 2,931.00 "
HC CT ABDOMEN & PELVIS W/O CONTRST 1/> BODY RE,74178," 3,431.00 "
HC CT ABDOMEN & PELVIS W/O CONTRST 1/> BODY RE,74178," 2,745.00 "
HC MRI ABDOMEN W/O CONTRAST MATERIAL,74181," 2,307.00 "
"HC MRI,ABD W/CONTRAST",74182," 2,408.00 "
HC MRI ABDOMEN W/O & W/CONTRAST MATERIAL,74183," 3,356.00 "
HC MRA ABDOMEN W/WO CONTRAST MATERIAL,74185," 2,057.00 "
HC RADEX ESOPHAGUS,74220, 782.00 
HC SWALLOWING FUNCJ W/CINERADIOGRAPY/VIDRADIOG,74230, 758.00 
HC RADEX GI TRACT UPPER W/WO DELAYED IMAGES W/KUB,74241," 1,125.00 "
HC RADEX GI TRACT UPR W/SM INT W/MULT SERIAL IMAGES,74245," 1,406.00 "
HC RADEX UPPER GI W/WO GLUCAGON/DELAY IMAGES W/KUB,74247," 1,004.00 "
HC RADEX SMALL INTESTINE W/MULTIPLE SERIAL IMAGES,74250, 895.00 
HC RADEX COLON BARIUM ENEMA W/WO KUB,74270," 1,362.00 "
HC RADEX COLON W/SPEC HI DNS BARIUM W/WO GLUCAGON,74280," 1,362.00 "
HC INTRO LONG GI TUBE W/MULT FLUORO & IMAGES RS&I,74340, 581.00 
HC UROGRAPHY ANTEGRADE RS&I,74425, 929.00 
HC CYSTOGRAPHY MINIMUM 3 VIEWS RS&I,74430, 801.00 
HC URETHROCYSTOGRAPHY RETROGRADE RS&I,74450, 742.00 
HC URETHROCYSTOGRAPHY VOIDING RS&I,74455, 561.00 
HC DILATION NEPHROSTOMY/URETER/URETHRA RS&I,74485," 2,506.00 "
HC FETAL MRI W/PLACNTL MATRNL PLVC IMG SING/1ST GES,74712," 2,805.00 "
HC HYSTEROSALPINGOGRAPHY RS&I,74740, 893.00 
HC CARDIAC MRI MORPHOLOGY & FUNCTION W/O CONTRAST,75557," 1,680.00 "
HC CARDIAC MRI W/O CONTRAST W/STRESS IMAGING,75559," 2,372.00 "
HC CARDIAC MRI W/WO CONTRAST & FURTHER SEQ,75561," 2,489.00 "
HC CARDIAC MRI W/W/O CONTRAST W/STRESS,75563," 3,649.00 "
HC CARDIAC MRI FOR VELOCITY FLOW MAPPING,75565," 2,372.00 "
HC CT HEART NO CONTRAST QUANT EVAL CORONRY CALCIUM,75571, 299.00 
HC CT HEART CONTRAST EVAL CARDIAC STRUCTURE&MORPH,75572," 1,112.00 "
HC CT HRT CONTRST CARDIAC STRUCT&MORPH CONG HRT D,75573," 1,112.00 "
HC CTA HRT CORNRY ART/BYPASS GRFTS CONTRST 3D POST,75574," 1,590.00 "
HC AORTOGRAPHY THORACIC SERIALOGRAPHY RS&I,75605," 8,199.00 "
HC AORTOGRAPHY ABDOMINAL SERIALOGRAPHY RS&I,75625," 5,469.00 "
HC AORTOGRAPHY ABDL BI ILIOFEM LOW EXTREM CATH RS&I,75630," 5,273.00 "
HC CTA ABDL AORTA&BI ILIOFEM W/CONTRAST&POSTP,75635," 1,863.00 "
HC ANGIO BRACHIAL S&I,75658," 8,692.00 "
HC ANGIOGRAPHY SPINAL SELECTIVE RS&I,75705," 11,264.00 "
HC ANGIOGRAPHY EXTREMITY UNILATERAL RS&I,75710," 5,320.00 "
HC ANGIOGRAPHY EXTREMITY BILATERAL RS&I,75716," 8,199.00 "
HC ANGIOGRAPHY VISCERAL SLCTV/SUPRASLCTV RS&I,75726," 11,264.00 "
HC ANGIOGRAPHY PELVIC SLCTV/SUPRASLCTV RS&I,75736," 8,199.00 "
HC ANGIOGRAPHY PULMONARY UNILATERAL SLCTV RS&I,75741," 8,199.00 "
HC ANGIOGRAPHY PULMONARY BILATERAL SLCTV RS&I,75743," 8,792.00 "
HC ANGRPH SLCTV EA VSL STUDIED AFTER BASIC XM RS&I,75774," 2,777.00 "
HC ANGIO ARTERIOVENOUS SHUNT,75791," 3,242.00 "
HC SHUNTOGRAM INDWELLING NONVASCULAR SHUNT RS&I,75809," 1,010.00 "
HC VENOGRAPHY EXTREMITY UNILATERAL RS&I,75820," 1,749.00 "
HC VENOGRAPHY EXTREMITY BILATERAL RS&I,75822," 1,656.00 "
HC VENOGRAPHY CAVAL INFERIOR SERIALOGRAPHY RS&I,75825," 8,199.00 "
HC VENOGRAPHY CAVAL SUPERIOR SERIALOGRAPHY RS&I,75827," 2,844.00 "
HC VENOGRAPHY VENOUS SINUS/JUGULAR CATH RS&I,75860," 4,080.00 "
HC PRQ TRANSHEPATC PORTOGRAPY HEMODYN EVAL RS&I,75885," 8,199.00 "
HC VENOUS SAMPLING THRU CATH W/WO ANGIOGRAPHY RS&,75893," 8,199.00 "
HC TRANSCATHETER EMBOLIZATION ANY METH RS&I,75894," 6,512.00 "
HC ANGRPH CATH F-UP STD TCAT OTHER THAN THROMBYLSIS,75898," 1,749.00 "
HC MECHANICAL RMVL PERICATHETER OBSTR MATRL RS&I,75901, 649.00 
HC MECHANICAL RMVL INTRALUMINAL OBSTR MATRL RS&I,75902, 433.00 
HC PLMT PROX XTN PRSTH EVASC DESC THORAC AORTA RS&I,75958," 1,195.00 "
"HC PTA,PERIPH ARTERY,S&I",75962," 6,378.00 "
HC BALL ANGIOPLAST ADD PERI ART,75964," 4,127.00 "
"HC PTA,RENAL,S&I",75966," 6,760.00 "
HC BALL ANGIOPLASTY ADD REN ART,75968," 3,950.00 "
HC TRANSCATHETER BIOPSY RS&I,75970," 4,564.00 "
"HC TRANSLUM BLN ANGIOPLASTY,VENOU",75978," 6,378.00 "
HC CHANGE PRQ TUBE/DRAINAGE CATH W CONTRAST RS&I,75984, 522.00 
HC CHANGE PRQ TUBE/DRAINAGE CATH W CONTRAST RS&I (PRO FEE),75984, 522.00 
HC RADIOLOGICAL GUIDANCE PRQ DRG W/PLMT CATH RS&I,75989, 395.00 
HC FLUOROSCOPY UP TO 1 HOUR PHYSICIAN/QHP TIME,76000, 420.00 
HC FLUOROSCOPY SPX >1 HOUR PHYS/QHP TIME,76001, 840.00 
HC RADEX ABSCESS/FISTULA/SINUS TRACT RS&I,76080, 712.00 
HC RADIOLOGICAL EXAMINATION SURGICAL SPECIMEN,76098, 764.00 
HC 3D RENDERING W/INTERP & POSTPROCESS SUPERVISION,76376, 386.00 
HC 3D RENDERING W/INTERP&POSTPROC DIFF WORK STATION,76377, 518.00 
HC CT LIMITED/LOCALIZED FOLLOW UP STUDY,76380, 758.00 
HC MRI SPECTROSCOPY,76390, 760.00 
HC ECHOENCEPHALOGRAPHY REAL TIME IMAGING,76506, 433.00 
HC US SOFT TISSUE HEAD & NECK REAL TIME IMGE DOCM,76536, 737.00 
HC US CHEST REAL TIME W/IMAGE DOCUMENTATION,76604, 496.00 
HC US CHEST REAL TIME W/IMAGE DOCUMENTATION,76604, 525.00 
HC US CHEST REAL TIME W/IMAGE DOCUMENTATION (PRO FEE),76604, 264.00 
HC US BREAST UNI REAL TIME WITH IMAGE COMPLETE,76641, 337.00 
HC US BREAST UNI REAL TIME WITH IMAGE LIMITED,76642, 337.00 
HC US ABDOMINAL REAL TIME W/IMAGE DOCUMENTATION,76700, 709.00 
HC US ABDOMINAL REAL TIME W/IMAGE LIMITED,76705, 583.00 
HC US ABDOMINAL REAL TIME W/IMAGE LIMITED,76705, 617.00 
HC US ABDOMINAL REAL TIME W/IMAGE LIMITED (PRO FEE),76705, 264.00 
HC US ABDOMINAL AORTA REAL TIME SCREEN STUDY AAA,76706, 258.00 
HC US RETROPERITONEAL REAL TIME W/IMAGE COMPLETE,76770, 568.00 
HC US RETROPERITONEAL REAL TIME W/IMAGE LIMITED,76775, 584.00 
HC US RETROPERITONEAL REAL TIME W/IMAGE LIMITED,76775, 618.00 
HC US RETROPERITONEAL REAL TIME W/IMAGE LIMITED (PRO FEE),76775, 264.00 
HC US TRNSPLNT KIDNEY REAL TIME W/IMAGE DOCMTN,76776, 337.00 
HC ULTRASOUND SPINAL CANAL & CONTENTS,76800, 416.00 
HC US PREGNANT UTERUS 14 WK TRANSABDL 1/1ST GESTAT,76801, 495.00 
HC US PREG UTERUS 14 WK TRANSABDL EACH GESTATION,76802, 466.00 
HC US PREG UTERUS AFTER 1ST TRIMEST 1/1ST GESTATION,76805, 736.00 
HC US PREG UTERUS AFTER 1ST TRIMEST 1/1ST GESTATION,76805, 736.00 
HC US PREG UTERUS > 1ST TRIMESTER ABDL EA GESTATIO,76810, 350.00 
HC US PREG UTERUS W/DETAIL FETAL ANAT 1ST GESTATION,76811, 698.00 
HC US PREG UTERUS DETAIL FETAL ANAT EXAM EA GESTAT,76812, 377.00 
HC US LIMITED (MULTIPLES),76815, 351.00 
HC US LIMITED F/U,76816, 466.00 
HC US PREG UTERUS REAL TIME W/IMAGE DCMTN TRANSVAG,76817, 546.00 
HC FETAL BIOPHYSICAL PROFILE NON-STRESS TESTING,76818, 427.00 
HC BPP W/NON STRESS TEST,76818, 427.00 
HC BPP W/NON STRESS TEST (MULTIPLES),76818, 427.00 
HC FETAL BIOPHYSICAL PROFILE W/O NON-STRESS TESTING,76819, 386.00 
HC BPP W/O NON STRESS TEST,76819, 386.00 
HC BPP W/O NON STRESS TEST (MULTIPLES),76819, 386.00 
HC US TRANSVAGINAL,76830," 1,027.00 "
HC US PELVIC NONOBSTETRIC REAL-TIME IMAGE COMPLETE,76856, 590.00 
HC US PELVIC NONOBSTETRIC IMAGE DCMTN LIMITED/F/U,76857, 365.00 
HC US SCROTUM & CONTENTS,76870," 1,013.00 "
HC US TRANSRECTAL,76872, 352.00 
HC US COMPL JOINT R-T W/IMAGE DOCUMENTATION,76881, 362.00 
HC US LMTD JOINT/OTH NONVASC XTR STRUX R-T W/IMG,76882, 235.00 
HC US INFT HIPS R-T IMG LMTD STATIC PHYS/QHP MANJ,76886, 525.00 
HC SONO GUIDE PERICARD TAP,76930, 34.00 
HC US VASC ACCESS SITS VSL PATENCY NDL ENTRY,76937, 272.00 
HC US - PUB,76941, 315.00 
HC US PUB (MULTIPLES),76941, 315.00 
HC US GUIDANCE NEEDLE PLACEMENT IMG S&I,76942, 574.00 
HC US GUIDANCE AMNIOCENTESIS (MULTIPLES),76946, 352.00 
HC US STUDY FOLLOW UP,76970, 358.00 
HC FLUORO CENTRAL VENOUS ACCESS DEV PLACEMENT,77001, 573.00 
HC FLUOROSCOPIC GUIDANCE NEEDLE PLACEMENT ADD ON,77002, 365.00 
HC FLUOR NEEDLE/CATH SPINE/PARASPINAL DX/THER ADDON,77003, 448.00 
HC CT GUIDANCE NEEDLE PLACEMENT,77012," 1,877.00 "
HC CT GUIDANCE &MONITORING VISC TISS ABLATION,77013," 1,656.00 "
HC CT GUIDANCE RADIATION THERAPY FLDS PLACEMENT,77014, 827.00 
HC MR GUIDANCE NEEDLE PLACEMENT,77021," 2,118.00 "
"HC MRI, BREAST, W/0 CONTRAST MATERIAL; UNILATERAL",77046, 205.00 
"HC MRI, BREAST, W/O CONTRAST MATERIAL; BILATERAL",77047, 205.00 
"HC MRI, BREAST, W/W/O INCLUDING COMPUTER-AID",77048, 205.00 
"HC MRI, BREAST, W AND W/O CONTRAST, INCLUDING COMPUTER-AID",77049, 205.00 
HC CAD DX MAMMO ADD-ON,77051, 54.00 
HC CAD SCREENING MAMMO ADD-ON,77052, 54.00 
HC MAMMARY DUCTOGRAM OR GALACTOGRAM SINGLE,77053, 712.00 
HC MAMMARY DUCTOGRAM OR GALACTOGRAM MULTIPLE,77054, 712.00 
HC DIGITAL BREAST TOMOSYNTHESIS UNILATERAL,77061, 323.00 
HC DIGITAL BREAST TOMOSYNTHESIS BILATERAL,77062, 323.00 
HC SCREENING DIGITAL BREAST TOMOSYNTHESIS BI,77063, 56.00 
HC DIAGNOSTIC MAMMOGRAPHY COMPUTER-AIDED DETCJ UNI,77065, 517.00 
HC DIAGNOSTIC MAMMOGRAPHY COMPUTER-AIDED DETCJ BI,77066, 618.00 
HC SCREENING MAMMOGRAPHY BI 2-VIEW BREAST INC CAD,77067, 488.00 
HC BONE AGE STUDIES,77072, 208.00 
HC BONE LENGTH STUDIES,77073, 237.00 
HC RADIOLOGIC EXAMINATION OSSEOUS SURVEY LIMITED,77074, 373.00 
HC RADIOLOGIC EXAMINATION OSSEOUS SURVEY COMPL,77075, 465.00 
HC DXA BONE DENSITY STUDY 1/> SITES AXIAL SKEL,77080, 777.00 
HC DXA BONE DENSITY STUDY 1/>SITES APPENDICLR SKEL,77081, 365.00 
HC DXA BONE DENSITY STUDY AXIAL SKELETON,77085, 777.00 
HC VERTEBRAL FRACTURE ASSESSMENT VIA DXA,77086, 365.00 
HC THER RAD SIMULAJ-AIDED FIELD SETTING SIMPLE,77280, 856.00 
HC THER RAD SIMULAJ-AIDED FIELD SETTING COMPLEX,77290," 1,969.00 "
HC RESPIRATORY MOTION MANAGEMENT SIMULATION,77293," 1,214.00 "
HC 3-D RADIOTHERAPY PLAN DOSE-VOLUME HISTOGRAMS,77295," 7,081.00 "
HC BASIC RADIATION DOSIMETRY CALCULATION,77300, 401.00 
HC NTSTY MODUL RADTHX PLN DOSE-VOL HISTOS,77301," 6,686.00 "
HC TELETHX ISODOSE PLN SMPL W/DOSIMETRY CALCULATION,77306, 674.00 
HC TELETHX ISODOSE PLN CPLX W/BASIC DOSIMETRY,77307," 1,529.00 "
HC BRACHYTX ISODOSE PLN SMPL W/DOSIMETRY CAL,77316, 674.00 
HC BRACHYTX ISODOSE PLN INTERMED W/DOSIMETRY CAL,77317," 1,257.00 "
HC BRACHYTX ISODOSE PLN CPLX W/DOSIMETRY CAL,77318," 1,747.00 "
HC SPEC TELETHX PORT PLN PARTS HEMIBDY TOT BDY,77321, 845.00 
HC SPEC DOSIM ONLY PRESCRIBED TREATING PHYS,77331, 228.00 
HC TX DEVICES DESIGN & CONSTRUCTION SIMPLE,77332, 867.00 
HC TX DEVICES DESIGN & CONSTRUCTION COMPLEX,77334," 2,911.00 "
HC CONTINUING MEDICAL PHYSICS CONSLTJ PR WK,77336, 891.00 
HC MLC IMRT DESIGN & CONSTRUCTION PER IMRT PLAN,77338," 1,229.00 "
HC SPEC MEDICAL RADJ PHYSICS CONSLTJ,77370, 967.00 
HC STEREOTACTIC BODY RADIATION DELIVERY,77373," 12,501.00 "
HC INTENSITY MODULATED RADIATION TX DLVR SIMPLE,77385," 2,938.00 "
HC INTENSITY MODULATED RADIATION TX DLVR COMPLEX,77386," 2,938.00 "
HC GUIDANCE FOR LOC OF TARGET VOL RADIAJ TX DLVR,77387, 209.00 
HC RADIATION TREATMENT DELIVERY 1 MEV >= SIMPLE,77402, 636.00 
HC RADIATION TX DELIVERY 1 MEV >= INTERMEDIATE,77407, 891.00 
HC RADIATION TREATMENT DELIVERY 1 MEV >= COMPLEX,77412," 1,147.00 "
HC 6-10 MEV W COMPLEX BLOCK,77413, 917.00 
HC THERAPEUTIC RADIOLOGY PORT IMAGES(S),77417, 411.00 
HC SPECIAL TREATMENT PROCEDURE,77470," 2,872.00 "
HC HDR RDNCL NTRSTL/INTRCAV BRACHYTX 1 CHANNEL,77770," 4,131.00 "
HC HDR RDNCL NTRSTL/INTRCAV BRACHYTX 2-12 CHANNEL,77771," 4,131.00 "
HC INTERSTITIAL RADIATION SOURCE APPLIC COMPLEX,77778," 2,358.00 "
HC THYROID UPTAKE SINGLE/MULTIPLE QUANT MEASUREMENT,78012, 499.00 
HC THYROID IMAGING WITH VASCULAR FLOW,78013, 989.00 
HC THYROID UPTAKE W/BLOOD FLOW SNGLE/MULT QUAN MEAS,78014, 810.00 
HC THYROID CARCINOMA METASTASES IMG WHOLE BODY,78018, 989.00 
HC PARATHYROID PLANAR IMAGING,78070," 1,201.00 "
HC ADRENAL IMAGING CORTEX &/MEDULLA,78075," 2,927.00 "
HC BONE MARROW IMAGING LIMITED AREA,78102, 905.00 
HC BONE MARROW IMAGING MULTIPLE AREAS,78103," 1,009.00 "
HC BONE MARROW IMAGING WHOLE BODY,78104," 1,117.00 "
HC LYMPHATICS & LYMPH NODES IMAGING,78195," 1,265.00 "
HC LIVER IMAGING STATIC ONLY,78201," 1,203.00 "
HC LIVER IMAGING STATIC ONLY,78201," 2,827.00 "
HC LIVER IMAGING W/VASCULAR FLOW,78202," 1,203.00 "
HC LIVER IMAGING W/VASCULAR FLOW,78202," 1,203.00 "
HC LIVER IMAGING SPECT,78205," 2,827.00 "
"HC LIVER SCAN,SPECT W/FLOW",78206," 1,156.00 "
"HC LIVER/SPLEEN SCAN, STATIC",78215," 1,156.00 "
HC LIVER & SPLEEN IMAGING W/VASCULAR FLOW,78216," 1,273.00 "
HC HEPATOBILIARY SYST IMAGING INCLUDING GALLBLADDER,78226," 1,091.00 "
HC HEPATOBIL SYST IMAG INC GB W/PHARMA INTERVENJ,78227," 1,398.00 "
HC SALIVARY GLAND IMAGING SERIAL IMAGES,78231, 691.00 
HC ESOPHAGEAL MOTILITY,78258, 655.00 
HC GASTRIC EMPTYING IMAGING STUDY,78264, 946.00 
HC UREA BREATH TEST C-14 ISOTOPIC ACQUISJ ANALYSIS,78267, 80.00 
HC UREA BREATH TEST C-14 ISOTOPIC ANALYSIS,78268, 412.00 
HC ACUTE GASTROINTESTINAL BLOOD LOSS IMAGING,78278," 1,057.00 "
HC INTESTINE IMAGING,78290," 1,057.00 "
HC BONE &/JOINT IMAGING LIMITED AREA,78300," 1,017.00 "
HC BONE &/JOINT IMAGING WHOLE BODY,78306," 2,055.00 "
HC BONE &/JOINT IMAGING 3 PHASE STUDY,78315," 1,329.00 "
HC BONE &/JOINT IMAGING TOMOGRAPHIC SPECT,78320," 1,128.00 "
HC NONCARDIAC VASCULAR FLOW IMAGING,78445, 712.00 
HC MYOCARDIAL SPECT SINGLE STUDY AT REST OR STRESS,78451," 3,796.00 "
HC MYOCARDIAL SPECT MULTIPLE STUDIES,78452," 4,011.00 "
HC CARD BLOOD POOL GATED PLANAR 1 STUDY REST/STRESS,78472," 1,050.00 "
HC PULMONARY VENTILATION IMAGING,78579, 709.00 
HC PULMONARY PERFUSION IMAGING PARTICULATE,78580, 618.00 
HC PULMONARY VENTILATION & PERFUSION IMAGING,78582," 1,176.00 "
HC QUANT DIFFERENTIAL PULM PERFUSION W/WO IMAGING,78597, 753.00 
HC QUANT DIFF PULM PRFUSION & VENTLAJ W/WO IMAGIN,78598," 1,110.00 "
HC BRAIN IMAGING TOMOGRAPHIC SPECT,78607," 2,516.00 "
HC BRAIN IMAGING PET METABOLIC EVALUATION,78608," 6,383.00 "
HC CEREBROSPINAL FLUID FLOW W/O MATL CISTERNOGRAPHY,78630," 1,404.00 "
HC CEREBROSPINAL FLUID FLOW W/O MATL SHUNT EVALTJ,78645," 1,179.00 "
HC CEREBROSPINAL FLUID LEAK DETECTION&LOCALIZATIO,78650," 2,012.00 "
HC RADIOPHARMACEUTICAL DACRYOCYSTOGRAPHY,78660, 675.00 
HC KIDNEY IMG MORPHOLOGY VASCULAR FLOW 1 W/O RX,78707," 1,004.00 "
HC KIDNEY IMG MORPHOLOGY VASCULAR FLOW 1 W/RX,78708," 1,162.00 "
HC KIDNEY IMG MORPHOLOGY VASCULAR FLOW MULTIPLE,78709," 1,162.00 "
HC KIDNEY IMAGING MORPHOLOGY TOMOGRAPHIC,78710, 905.00 
HC RP LOCLZJ TUMOR/DSTRBJ AGENT LIMITED AREA,78800," 1,108.00 "
HC RP LOCLZJ TUMOR/DSTRBJ AGENT WHOLE BDY 1 DAY,78802," 1,779.00 "
HC RP LOCLZJ TUMOR/DSTRBJ AGENT WHOLE BDY 1 DAY,78802," 1,779.00 "
HC RP LOCLZJ TUMOR/DSTRBJ AGENT TOMOG SPECT,78803," 2,785.00 "
HC RP LOCLZJ TUMOR/DSTRBJ AGT WHOL BDY REQ 2/> DAY,78804," 3,319.00 "
HC RP LOCLZJ INFLAMMATORY PROCESS LIMITED AREA,78805," 1,779.00 "
HC RP LOCLZJ INFLAMMATORY PROCESS WHOLE BODY,78806," 1,887.00 "
HC RP LOCLZJ INFLAMMATORY PROCESS TOMOG SPECT,78807," 1,779.00 "
HC PET IMAGING CT FOR ATTENUATION LIMITED AREA,78814," 4,917.00 "
HC PET IMAGING CT ATTENUATION SKULL BASE MID-THIGH,78815," 7,786.00 "
HC PET IMAGING FOR CT ATTENUATION WHOLE BODY,78816," 7,786.00 "
HC RP THERAPY ORAL ADMINISTRATION,79005," 1,278.00 "
HC RP THERAPY INTRAVENOUS ADMINISTRATION,79101, 756.00 
HC CARBAMAZEPINE,80156, 149.00 
HC CARBAMAZEPINE FREE,80157, 45.00 
HC CYCLOSPORINE,80158, 109.00 
"HC CLOZAPINE AND METABOLITES, S/P, QUANT",80159, 53.00 
HC DIGOXIN,80162, 72.00 
HC VALPROIC ACID TOTAL,80164, 82.00 
HC VALPROIC ACID,80164, 82.00 
HC VALPROIC ACID FREE,80165, 82.00 
"HC GENTAMICIN,RANDOM",80170, 93.00 
"HC GENTAMICIN, PEAK",80170, 93.00 
