MS_DRG,Description,Category,Median Price
914,Traumatic injury w/o MCC,SURGICAL SUBSPECIALTIES,"$30,929 "
915,Allergic reactions w MCC,MEDICAL SUBSPECIALTIES,"$60,334 "
916,Allergic reactions w/o MCC,MEDICAL SUBSPECIALTIES,"$29,383 "
917,Poisoning & toxic effects of drugs w MCC,MEDICAL SUBSPECIALTIES,"$60,743 "
918,Poisoning & toxic effects of drugs w/o MCC,MEDICAL SUBSPECIALTIES,"$23,904 "
919,Complications of treatment w MCC,MEDICAL SUBSPECIALTIES,"$99,839 "
920,Complications of treatment w CC,MEDICAL SUBSPECIALTIES,"$100,738 "
921,Complications of treatment w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$29,631 "
922,"Other injury, poisoning & toxic effect diag w MCC",MEDICAL SUBSPECIALTIES,"$90,588 "
923,"Other injury, poisoning & toxic effect diag w/o MCC",MEDICAL SUBSPECIALTIES,"$19,272 "
928,Full thickness burn w skin graft or inhal inj w CC/MCC,SURGICAL SUBSPECIALTIES,"$81,491 "
934,Full thickness burn w/o skin grft or inhal inj,SURGICAL SUBSPECIALTIES,"$32,708 "
935,Non-extensive burns,SURGICAL SUBSPECIALTIES,"$23,539 "
940,O.R. proc w diagnoses of other contact w health services w CC,MEDICAL SUBSPECIALTIES,"$103,602 "
941,O.R. proc w diagnoses of other contact w health services w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$99,983 "
947,Signs & symptoms w MCC,MEDICAL SUBSPECIALTIES,"$53,392 "
948,Signs & symptoms w/o MCC,MEDICAL SUBSPECIALTIES,"$31,864 "
951,Other factors influencing health status,MEDICAL SUBSPECIALTIES,"$17,709 "
955,Craniotomy for multiple significant trauma,NEUROSCIENCES,"$218,016 "
956,"Limb reattachment, hip & femur proc for multiple significant trauma",MUSCULOSKELETAL,"$161,327 "
957,Other O.R. procedures for multiple significant trauma w MCC,SURGICAL SUBSPECIALTIES,"$236,768 "
958,Other O.R. procedures for multiple significant trauma w CC,SURGICAL SUBSPECIALTIES,"$165,373 "
959,Other O.R. procedures for multiple significant trauma w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$112,610 "
963,Other multiple significant trauma w MCC,SURGICAL SUBSPECIALTIES,"$168,291 "
964,Other multiple significant trauma w CC,SURGICAL SUBSPECIALTIES,"$66,147 "
965,Other multiple significant trauma w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$48,942 "
974,HIV w major related condition w MCC,MEDICAL SUBSPECIALTIES,"$162,813 "
975,HIV w major related condition w CC,MEDICAL SUBSPECIALTIES,"$51,335 "
976,HIV w major related condition w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$38,728 "
977,HIV w or w/o other related condition,MEDICAL SUBSPECIALTIES,"$34,524 "
981,Extensive O.R. procedure unrelated to principal diagnosis w MCC,SURGICAL SUBSPECIALTIES,"$244,607 "
982,Extensive O.R. procedure unrelated to principal diagnosis w CC,SURGICAL SUBSPECIALTIES,"$130,439 "
983,Extensive O.R. procedure unrelated to principal diagnosis w/o CC/MCC,SURGICAL SUBSPECIALTIES,"$78,141 "
987,Non-extensive O.R. proc unrelated to principal diagnosis w MCC,MEDICAL SUBSPECIALTIES,"$202,592 "
988,Non-extensive O.R. proc unrelated to principal diagnosis w CC,MEDICAL SUBSPECIALTIES,"$102,474 "
989,Non-extensive O.R. proc unrelated to principal diagnosis w/o CC/MCC,MEDICAL SUBSPECIALTIES,"$71,642 "
998,Principal diagnosis invalid as discharge diagnosis,MEDICAL SUBSPECIALTIES,"$11,063 "
999,Ungroupable,MEDICAL SUBSPECIALTIES,"$67,067 "
