EAP,EAP Description, Avg Chg 
27001789,HC MEE VOICE PROSTHESIS, 483.00 
27001790,HC MEE INSERT FOR INDWELLING VOICE PROSTHESIS, 133.00 
27001791,HC MEE CLEANING DEVICE FOR VOICE PROSTHESIS, 20.00 
27001792,"HC MEE KIT,LARYNGECTOMY PULMONARY (EXPLODING)", 28.00 
27001793,"HC MEE PUNCTURE DILATOR, REPLACEMENT ONLY, EA", 126.00 
27001794,"HC MEE GELATIN CAPSULE, APPLICATION DEVICE, EA", 193.00 
27001795,HC MEE OCULAR IMPLANT (PLATINUM WEIGHT), 958.00 
27001796,HC MEE IMPLANT TITN ORBIT BTB, 1761.00 
27001797,HC MEE IMPLANT GLOBES & CONFORM. (JARDON, 64.00 
27001798,HC MEE IMPLANT GOLD WEIGHT, 595.00 
27001799,HC MEE IMPLANT MEDPOR SPHERE OR CVA, 1121.00 
27001800,HC MEE IMPLANT MEDPOR SHEET 50X76X.85, 1287.00 
27001801,HC MEE IMPLANT MEDPOR ULTRA THIN SHEET, 863.00 
27001802,HC MEE IMPLANT MEDPOR 38X50X1.5, 957.00 
27001803,"HC MEE SPHERE, HYDROXY APPETITE", 1534.00 
27001804,HC MEE SUPRAMID FOIL, 23.00 
27001805,HC MEE TUTOPLAST FASCIALATA 3*12 (36 SCM), 912.00 
27001806,HC MEE EXPAND HEMIS OSMED, 1293.00 
27001807,HC MEE IMPLANT PLATINUM WEIGHT 275, 925.00 
27001808,HC MEE RIM ORBITAL EXTENDED, 1412.00 
27001809,HC MEE WEDGE ENOPHTHALMOS             954X, 1185.00 
27001810,HC MEE WALL ORBITAL FLOOR TITAN OFW, 1497.00 
27001811,HC MEE GRAFT EYELID SPACER 1 X 4 CM, 817.00 
27001812,HC MEE TANTALUM RINGS, 47.00 
27001813,"HC MEE IMPLANT, SST, EZ, XXMM", 1390.00 
27001814,HC MEE CONFORMER LUCITE CVD, 132.00 
27001815,HC MEE TUTOPLAST SCLERA WHOLE, 1153.00 
27001816,HC MEE IMPLANT MEDPOR SHEET SINGLE CHANNEL, 1388.00 
27001817,HC MEE TUTOPLAST PROCSSD - FSCLT, 1262.00 
27001818,HC MEE TUTOPLAST SCLERA 5X8MM, 562.00 
27001819,"HC MEE TUTOPLAST,PROCSSD-PERICARD,1.0 #22499", 467.00 
27001820,HC MEE INTACS CORNEAL RING INSTRUMENTS, 1568.00 
27001821,HC MEE IMPLANT PLATINUM WEIGHT, 992.00 
27001822,HC MEE EXTENDER TUBE(TE), 265.00 
27001823,"HC MEE IMPLANT, AHMED VALVE, BI-PLATE", 1488.00 
27001824,"HC MEE IMPLANT, MOLTENO", 1193.00 
27001825,"HC MEE SHUNT, EXPRESS MINI P-50", 1424.00 
27001826,HC MEE EAR IMPLANT APPLEBAUM PROTHESIS, 630.00 
27001827,HC MEE EAR IMPLANT CRESCENT SCHUKNECHT, 123.00 
27001828,HC MEE EAR IMPLANT PISTON PLATINUM, 322.00 
27001829,HC MEE EAR IMPLANT PORP/TORP HYDROX/KURZ, 628.00 
27001830,HC MEE EAR IMPLANT PISTON MALLEUS, 174.00 
27001831,HC MEE EAR IMPLANT PISTON MEEI CUSTOM, 232.00 
27001832,"HC MEE EAR IMPLANT,KURZ BELL,AERIAL VARIO", 835.00 
27001833,"HC MEE PISTON,SMART MALEOUS", 516.00 
27001834,"HC MEE CONNECTOR,OMEGA,KURZ", 418.00 
27001835,"HC MEE PISTON, SMART STAPES, 5X X.XXMM", 472.00 
27001836,HC MEE PISTON SMART, 494.00 
27001837,HC MEE PISTON ECLIPSE NITINOL, 520.00 
27001838,HC MEE COCH IMPL INTERNAL PROCESSOR PARTIAL DEVICE, 1.00 
27001839,HC MEE COCHLEAR DEVICE INT/EXT COMP, 58074.00 
27001840,HC MEE AUD BRAIN STEM IMPLANT (NUCLEUS 24 ABI), 85980.00 
27001841,HC MEE COCH IMPL INTERNAL PROCESSOR WARANTEE REPLACEMENT, 1.00 
27001842,HC MEE COCHLEAR DEVICE INT/EXT COMP, 59156.00 
27001843,HC MEE COCH IMPLANT HEADSET REPLACE, 0.00 
27001844,HC MEE COCH IMPLANT MICROPHONE REPL, 0.00 
27001845,HC MEE COCH IMPLANT TRANS COIL REPL, 0.00 
27001846,"HC MEE TRANSMIT CABLE REPLACE, CI DEV", 0.00 
27001847,HC MEE COCH IMPLANT PROCESSOR REPLACEMENT, 0.00 
27001848,HC MEE REPL ZINC AIR BATTERY, I.C 
27001849,HC MEE REPL ALKALINE BATTERY, I.C 
27001850,"HC MEE LITH ION BATT CID, NON-EAR LVL", I.C 
27001851,HC MEE LITHIUM ION BATTERY EAR LEVEL, I.C 
27001852,HC MEE CID EXT SPEECH PROCESS REPL, I.C 
27001853,HC MEE CID EXT CONTROLLER REPL, I.C 
27001854,HC MEE CID TRANSMIT COIL AND CABLE, I.C 
27001855,HC MEE FIXTURE FLANGE ST, 2287.00 
27001856,HC MEE FIXTURE FLANGE W/ABUTMENT, 3831.00 
27001857,HC MEE BAHA BONE ANCHOR HEARING AID, 6678.00 
27001858,HC MEE BAHA EXT REPLACEMENT, 6678.00 
27001859,HC MEE BAHA INCL HDBND/EXT ATTACHMENT, 6837.00 
27001860,HC MEE ABUTMENT STANDARD, 1138.00 
27001861,"HC MEE TUBE,BAXTER,BEVELED BUTTON", 39.00 
27001862,HC MEE EAR TUBE, 27.00 
27001863,HC MEE EAR TUBE, 49.00 
27001864,HC MEE EAR TUBE, 78.00 
27001865,HC MEE EAR TUBE, 72.00 
27001866,HC MEE EAR TUBES, 48.00 
27001867,HC MEE THYROPLASTY IMPLANT, 755.00 
27001868,HC MEE RIM HELICAL, 1023.00 
27001869,HC MEE EAR BASE EXTENDED, 1297.00 
27001870,HC MEE PROPEL STENT, 1474.00 
27001871,"HC MEE IMPLANT, ISTENT", 1611.00 
27001872,"HC MEE IMPLANT,ORBITAL FLOOR", 1463.00 
27001873,"HC MEE PLATE, ADAPT 20 HOLE, TI MX", 271.00 
27001874,HC MEE O&P SUPPLY/ACCESSORY/SVC, I.C 
27001875,HC MEE DRESSING WOUND BILAYER 10X12CM, 3456.00 
27001876,HC MEE MATRIX WOUND FLOWABLE 3CC, 4762.00 
27001877,HC MEE ALLODERM 1.5MM THICK 2CM*4CM, 1147.00 
27001878,HC MEE ENDURAGEN COLLAGEN 1.0MM THICK 1CM*4CM, 530.00 
27001879,HC MEE ENDURAGEN IMPLT COLLAGEN 1MM THICK 2*5CM, 1113.00 
27001880,HC MEE ALLODERM 2CM X 4CM 0.17MM-0.32MM, 598.00 
27001881,HC MEE ALLODERM THIN 4CM X 7CM(28 UNITS), 738.00 
27001882,"HC MEE CL, SOFT, EXTENDED WEAR", 241.50 
27001883,HC MEE BANDAGE CONTACT LENS, 129.00 
27001884,HC MEE BANDAGE CONTACT LENS AIR OPTIX, 257.00 
27001885,HC MEE HAND HELD LOW VISION AIDS, I.C 
27001886,HC MEE TELESCOPIC & OTHER COMPOUND LENS SYSTEM, I.C 
27001887,HC MEE IOL AC LENS, 300.00 
27001888,HC MEE IOL ACRYSOF ALCON LENS, 300.00 
27001889,HC MEE IOL VISIAN LENS, 300.00 
27001890,"HC MEE IOL, ACRYSOF, ACRYLIC, MN60MA, -5.0D", 300.00 
27001891,HC MEE IOL ALCON MA60MA, 300.00 
27001892,HC MEE IOL AMO LENS, 300.00 
27001893,HC MEE IOL ACRYSOF ALCON IQ LENS, 300.00 
27001894,HC MEE IOL PC-PMMA LENS, 300.00 
27001895,HC MEE IOL PMMA, 300.00 
27001896,HC MEE IOL LI61AO, 300.00 
27001897,HC MEE IOL AMO TECNIS LENS, 300.00 
27001898,HC MEE IOL CZ70BD 27.0D, 300.00 
27001899,HC MEE TISSUE CORNEAL                V2785, 4274.00 
27001900,HC MEE TISSUE PRECUT CORNEAL         V2785, 5705.00 
27001901,HC MEE CORNEA ALLOGRAFT HALF MOON, 647.00 
27001902,HC MEE TISSUE CORNEA WHOLE IRRADIATED, 3936.00 
27001903,HC MEE ALLOGRAFT TISSUE HUMAN, 4150.00 
27001904,HC MEE IOL ALCON TORIC LENS, 300.00 
27001905,HC MEE IOL TORIC STAAR, 300.00 
27001906,HC MEE IOL TORIC ACRYSOF, 300.00 
27001907,HC MEE IOL LENS-RESTORE, 300.00 
27001908,"HC MEE IOL,CRYSTAL HD,PRESBYOPIC", 300.00 
27001909,HC MEE IOL TECNIS ZMB00 22.0D [22512], 300.00 
27001910,"HC MEE AMNIOTIC MEMBRANE(PROKERA),PER PROCEDURE", 1282.00 
27001911,"HC MEE TISSUE,PROKERA SIZE 16MM", 1208.00 
27001912,HC MEE AMNIOTIC GRAFT TISSUE HUMAN   V2790, 1282.00 
27001913,HC MEE AMBIODRY 1X2CM, 1257.00 
27001914,HC MEE IOL CRYSTAL AT50AO, 300.00 
27001915,HC MEE REPAIR/ MODIFICATION OF HRG AID, I.C 
27001916,HC MEE BODY AID AIR CONDUCTION, 153.00 
27001917,"HC MEE DISPENSING FEE, BINAURAL", I.C 
27001918,"HC MEE DISPENSING FEE, CROS", I.C 
27001919,"HC MEE DISPENSING FEE, MONAURAL", I.C 
27001920,HC MEE EARMOLD, I.C 
27001921,HC MEE EARMOLD DISPOSABLE, I.C 
27001922,"HC MEE ASSISTIVE LISTENING DEVICE, NOS", I.C 
20600002,HC MEE R&B VIP SUITE-ADULT, 3476.00 
63601212,HC BOTULINUM TOXIN B PER 100 U, 50.00 
63601213,"HC INJECTION, INCOBOTULINUMTOXIN A, 1 UNIT", 9.00 
76002206,"HC PROBE NASOLAC DUCT,INSERT TUBE/STENT", 2349.00 
76002207,HC MEE BLEPHAROPLASTY-1-LID (UPPER), 1975.00 
76002208,HC MEE BLEPHAROPLASTY-1-LID (LOWER), 1975.00 
76002209,"HC BROW LIFT, UNILATERAL", 3900.00 
76002210,"HC MEE DERM UNDER LOCAL, PARTIAL", 250.00 
76002211,"HC MEE DERM UNDER LOCAL, FULL", 477.00 
76002212,"HC MEE DERM, LASER RESUR, SCAR REV. UP TO 1 HR.", 2258.00 
76002213,"HC MEE DERM, LASER RESUR, SCAR REV. UP TO 1.5 HRS.", 2820.00 
76002214,"HC MEE DERM, LASER RESURF, SCAR REV. UP TO 2 HRS.", 3048.00 
76002215,"HC MEE DERM, LASER RESUR, SCAR REV. OVER 2 HRS.", 3387.00 
76002216,HC MEE CHIN IMPLANT (MENTOPLASTY), 2000.00 
76002217,HC MEE EARLOBE REPAIR - UNILATERAL SIMPLE, 120.00 
76002218,HC MEE EARLOBE REPAIR - UNILATERAL INTERMEDIATE, 235.00 
76002219,HC MEE EARLOBE REPAIR - UNILATERAL COMPLEX, 295.00 
76002220,"HC MEE FACELIFT, (MINI) ANTERIOR, UNILATERAL", 3255.00 
76002221,"HC MEE FACELIFT, (FULL) POSTERIOR, UNILATERAL", 3990.00 
76002222,HC MEE FAT INJECTION (1 HOUR), 1900.00 
76002223,HC MEE FAT TRANSFER, 2300.00 
76002224,HC MEE LASER SCAR REVISION - 1, 120.00 
76002225,HC MEE LASER SCAR REVISION - 2, 235.00 
76002226,HC MEE LASER SCAR REVISION - 3, 290.00 
76002227,HC MEE LIP IMPLANT, 295.00 
76002228,HC MEE LIPOSUCTION - LOWER EXTREMITIES, 2660.00 
76002229,HC MEE LIPOSUCTION - UPPER EXTREMITIES, 2660.00 
76002230,HC MEE LIPOSUCTION - ABDOMEN, 2960.00 
76002231,HC MEE LIPOSUCTION - SUBMENTAL, 1330.00 
76002232,"HC MEE MEIBOMIAN GLAND PROBING, 1 LID", 130.00 
76002233,"HC MEE MEIBOMIAN GLAND PROBING, 2 LIDS", 215.00 
76002234,"HC MEE MEIBOMIAN GLAND PROBING, 3 LIDS", 300.00 
76002235,"HC MEE MEIBOMIAN GLAND PROBING, 4 LIDS", 380.00 
76002236,HC MEE MINOR COSMETIC PROCEDURE - 1, 120.00 
76002237,HC MEE MINOR COSMETIC PROCEDURE - 2, 235.00 
76002238,HC MEE MINOR COSMETIC PROCEDURE - 3, 295.00 
76002239,HC MEE NASAL LABIAL FOLD IMPLANT, 340.00 
76002240,HC MEE NECK LIFT (POSTERIOR MINI), 580.00 
76002241,HC MEE OTOPLASTY - UNILATERAL, 2230.00 
76002242,HC MEE PLATYSMAECTOMY, 2300.00 
76002243,HC MEE PLATYSMAPLASTY, 290.00 
76002244,HC MEE RHINOPLASTY, 2720.00 
76002245,"HC MEE RHINOPLASTY, REVISION SECONDARY", 1000.00 
76002246,"HC MEE RHINOPLASTY, REVISION INTERMEDIATE", 1500.00 
76002247,"HC MEE RHINOPLASTY, REVISION MAJOR", 2720.00 
76002248,"HC MEE RHINOPLASTY, TIP", 580.00 
76002252,HC MEE SOMNOPLASTY - LEVEL 1 (NCS - NON-COVERED SERVICE), 2360.00 
76002253,HC MEE SOMNOPLASTY - LEVEL 2 (NCS - NON-COVERED SERVICE), 2660.00 
76002254,HC MEE UPP/P (NCS- NON-COVERED SERVICE), 2660.00 
76002255,HC EXCISION OF UVULA, 2360.00 
76002256,HC MEE EAR PIERCING, 80.00 
76002257,"HC MEE HAIR TRANSPLANT - ""PUNCH"" GRAFT 1-15", 1035.00 
76002258,"HC MEE HAIR TRANSPLANT - ""PUNCH"" GRAFT >15", 3105.00 
76002259,HC MEE COSMETIC INJECTION - BOTOX, 115.00 
30003070,HC MEE VALPROIC ACID (DEPAKENE) LEVEL [3360], 147.00 
30003071,HC MEE LITHIUM LEVEL, 149.00 
30003072,HC MEE SIROLIMUS MONITOR, 149.00 
30003073,HC MEE VORICONAZOLE LEVEL, 209.00 
30003074,HC MEE LEVETIRACETAM (KEPPRA) LEVEL- SEND OUT, 236.00 
30003075,"HC MEE HLA A, B, C CLASS I DNA TYPING", 835.00 
30003076,HC MEE HLA B51, 233.00 
30003077,HC MEE HLA A29, 233.00 
30003078,HC MEE HLA - DR CLASS II DNA TYPING, 696.00 
30003079,"HC MEE ALDOSTERONE, URINE", 589.00 
30003080,"HC MEE ALDOSTERONE, SERUM", 671.00 
30003081,HC MEE VITAMIN C (ASCORBIC ACID), 208.00 
30003082,HC MEE CALCITONIN LEVEL [3126], 482.00 
30003083,"HC MEE CALCITONIN, FNA, LYMPH NODE (MAYO)", 454.00 
30003084,HC MEE CORTISOL; TOTAL [3128], 144.00 
30003085,HC MEE IGG SERUM [1505], 88.00 
30003086,"HC MEE IGM, SERUM [1508]", 88.00 
30003087,HC MEE IGD, 182.00 
30003088,HC MEE IGA TOTAL                      1075, 159.00 
30003089,HC MEE IGA, 93.00 
30003090,HC MEE TRANSGLUTAMINASE IGG AUTOANTIBODIES, 98.00 
30003091,HC MEE FUNGITELL                    S50972, 360.00 
30003092,HC MEE IMMUNOASSAY FOR ANALYTE     MITM2, 115.00 
30003093,HC MEE TRANSGLUTAMINASE IGA, 169.00 
30003094,"HC MEE IMMUNOASSAY IGFBP-3,QUANTITATIVE BY RIA", 72.00 
30003095,HC MEE ACETYLCHOLINE RECEPT BIND AUTOABS [1410], 255.00 
30003096,HC MEE ACETYLCHOLINE RECEPT BLOCK AUTO ANITIBOD, 236.00 
30003097,HC MEE ACETYLCHOLINE RECEPTOR MODULTNG ANTIBODY, 294.00 
30003098,HC MEE S50480 INTERLEUKIN 10 FLUID 83519, 1580.00 
30003099,HC MEE IL6 FLUID, 621.00 
30003100,HC MEE TSH ANTIBODY, 154.00 
30003101,HC MEE IMMUNOASSAY ANALYTE QUANTITATIVE     TRA, 347.00 
30003102,HC MEE MUSK ANTIBODY                MUSK, 711.00 
30003103,HC MEE PHOSPHATIDYLETHANOLAMINE ANTIBODIES, 392.00 
30003104,HC MEE PHOSPHATIDYLCHOLINE ANTIBODIES, 392.00 
30003105,HC MEE PHOSPHATIDIC ANTIBODIES, 392.00 
30003106,HC MEE TRANSGLUTAMINASE IGA AUTOABS   1075, 159.00 
30003107,HC MEE RETICULIN IGA AUTOABS          1075, 159.00 
30003108,HC MEE GLIADIN IGG & IGA ANTIBODIES   1266, 162.00 
30003109,HC MEE MANNOSE BINDING PROTEIN   MABP, 390.00 
30003110,HC MEE GALGLIOSIDE                         GQ1B, 223.00 
30003111,HC MEE COLLAGEN TYPE II ANTIBODY     COL2, 105.00 
30003112,HC MEE 3315UR METANE RANDOM URINE    83835, 119.00 
30003113,HC MEE 3317 METANEPHRINES PLASMA FREE83835, 268.00 
30003114,HC MEE OSMOLARITY; BLOOD (SERUM) [3204], 220.00 
30003115,"HC MEE PARATHORMONE(PTH), INTACT MOLECULE(ICMA)", 179.00 
30003116,HC MEE PARATHYROID HORMONE FNA    PTHFNA, 287.00 
30003117,HC MEE ASSAY OF PSA TOTAL                 PSATF, 102.00 
30003118,HC MEE 24 HOUR URINE TOTAL PROTEIN  24PRO, 59.00 
30003119,"HC MEE PROTEIN; BETA 2 TRANSFERRIN, SERUM", 1219.00 
30003120,"HC MEE PROTEIN ELECTROPHORESIS, 24 HR URINE", 141.00 
30003121,HC MEE PROTEIN ELECTROPHORESIS SERUM, 164.00 
30003122,HC MEE CAR AUTO ANTIBODY TEST, 572.00 
30003123,HC MEE MA/TA ANTIBODY             MATA, 599.00 
30003124,HC MEE RENIN ACTIVITY, 327.00 
30003125,"HC MEE TESTOSTERONE, FREE [3247]", 453.00 
30003126,HC MEE THYROGLOBIN (SERUM) [3255], 128.00 
30003127,HC MEE THYROGLOBULIN SERUM, 82.00 
30003128,HC MEE THYROGLOBULIN FNA                 THYFNA, 272.00 
30003129,HC MEE TRANSFERRIN, 191.00 
30003130,HC MEE TRANSFERIN LEVEL, 44.00 
30003131,HC MEE TRIIODOTHYRONINE T3; FREE [3234], 728.00 
30003132,HC MEE MICRIBIOLOGY HOLD FOR SENDOUT TESTING, I.C 
30003133,HC MEE SICKLE CELL SCREEN (MGH), I.C 
30003134,HC MEE ALLERGEN SPECIFIC IGE PER UNIT86003, 59.00 
30003135,HC MEE DERMATOPHAGOIDES FARINAE IGE, 59.00 
30003136,HC MEE D PTERONYSSINUS IGE, 59.00 
30003137,HC MEE ALLERGEN PANEL FOOD, 31.00 
30003138,HC MEE PLATELET ANTIBODY, 774.00 
30003139,HC MEE ANTIBODY ID; PLATELET ANTIBODIES, I.C 
30003140,HC MEE SEROTONIN RELEASE ASSAY, 488.00 
30003141,HC MEE GLYCOPROTEIN ANTIBODY        B2GPI, 96.00 
30003142,HC MEE CARDIOLIPIN IGG AUTOABS [3371], 119.00 
30003143,HC MEE CARDIOLIPIN IGM AUTOABS [3371], 119.00 
30003144,HC MEE CARDIOLIPIN IGA AUTOABS [3371], 119.00 
30003145,HC MEE C3 COMPLEMENT [1501], 203.00 
30003146,"HC MEE C4, SERUM [1504]", 65.00 
30003147,HC MEE C2 COMPLEMENT, 214.00 
30003148,HC MEE ANTI-DNA DOUBLE STRAND, 214.00 
30003149,HC MEE DNA AB DOUBLE STRANDED, 81.00 
30003150,"HC MEE ANA, DNADS, SS, SSA, SSB, ENA SCL-70", 178.00 
30003151,HC MEE ANTI-SCLERODERMA AB, 194.00 
30003152,HC MEE ANTI-ENA (INCL ANTI RNP-ANTI SM), 367.00 
30003153,"HC MEE ANA, DNADS, SS, SSA, SSB, ENA SCL-70", 35.00 
30003154,HC MEE 38567 SM/RNP ANTIBODY, 75.00 
30003155,HC MEE ANTI-NEURONAL ANTIBODIES, 360.00 
30003156,HC MEE ANTI-PURKINJIE CELL ANTIBODIES, 322.00 
30003157,HC MEE ANTI-PARIETAL CELL ANTIBODIES, 217.00 
30003158,HC MEE ANTI-MYOCARDIAL ANTIBODIES, 136.00 
30003159,HC MEE ANTI-RETICULIN ANTIBODIES, 202.00 
30003160,HC MEE HU YO AND RI ANTIBODY PANEL, 510.00 
30003161,HC MEE HU ABS                         1171, 196.00 
30003162,HC MEE RI ABS                         1171, 132.00 
30003163,HC MEE YO ABS                         1171, 184.00 
30003164,HC MEE 1026 STRIATIONAL AUTOABS      86256, 310.00 
30003165,"HC MEE NEUROMYELITIS OPTICA TITER, IGG", 896.00 
30003166,HC MEE GLIADIN IGG ABS                1075, 159.00 
30003167,HC MEE GLIADIN IGA ABS                1075, 159.00 
30003168,HC MEE EDNOMYSIAL IGA AUTOANTIBODIES  1191, 141.00 
30003169,HC MEE IMMUNOASSAY BARTONELLA Q. ABS IGG [8865], 66.00 
30003170,HC MEE IMMUNOASSAY BARTONELLA Q. IGM ABS [8867], 66.00 
30003171,HC MEE ANTI PNEUMOCOCCAL AB, 414.00 
30003172,HC MEE STREP PNEU IGG ABS 23  SERO  PNEU23, 49.00 
30003173,HC MEE IMMUNE CMPLX ASSAY: RAJI CELLS [1230], 404.00 
30003174,HC MEE COMPLEMENT C1Q [1615], 149.00 
30003175,"HC MEE B CELLS, TOTAL COUNT", I.C 
30003176,"HC MEE RHEUMATOID FACTOR; QUANTITATIVE, IGA", 72.00 
30003177,"HC MEE RHEUMATOID FACTOR; QUANTITATIVE, IGG", 72.00 
30003178,"HC MEE RHEUMATOID FACTOR; QUANTITATIVE, IGM", 66.00 
30003179,HC MEE RHEUMATOID FACTOR (SEND OUT), 62.00 
30003180,HC MEE VDRL (CSF) [QUEST], 79.00 
30003181,HC MEE LYME ANTIBODIES IGG/IGM IMMUNOBLOT, 122.00 
30003182,"HC MEE EPSTEIN BARR, EARLY ANTIGEN, IGA [2131]", 221.00 
30003183,HC MEE H PYLORI AB, 121.00 
30003184,"HC MEE HELICOBACTER PYLORI ANTIBD (IGG,IGA,IGM)", 63.00 
30003185,HC MEE FILARIA IGG ANTIBOODIES, 194.00 
30003186,HC MEE TOXOCARA ANTIBODY FLUID      S50740, 292.00 
30003187,"HC MEE ANTIBODY; HSV2, IGM", 129.00 
30003188,"HC MEE ANTIBODY; HSV2, IGG", 70.00 
30003189,HC MEE HEPATITIS BE ANTIBODY (HBEAB) [2455], 41.00 
30003190,HC MEE HEPATITIS BE ANTIBODY             HBEAB, 80.00 
30003191,"HC MEE HEPATITIS B VIRUS MONITR, CHRONIC", 199.00 
30003192,HC MEE INFLUENZA VIRUS B IGG AND IGM, 92.00 
30003193,HC MEE INFLUENZA B ANTIGEN TITER       INFFBTI, 98.00 
30003194,HC MEE MUMPS VIRUS ANTIBODY (SOLUBLE AG), 194.00 
30003195,"HC MEE RICKETTSIA CONORII, IGG [7951]", 229.00 
30003196,HC MEE RICKETTSIA TYPHI IGG, 156.00 
30003197,HC MEE RICKETTSIA TYPHI IGM, 156.00 
30003198,HC MEE TOXOCARA ABS (40945) [S50345], 270.00 
30003199,HC MEE TOXOPLASMA ANTIBODY, 129.00 
30003200,HC MEE TORCH G/M (QUEST) TOXOPLASMA 86777 X 1, 125.00 
30003201,HC MEE ANTIBODY;TREPONEMA PALLIDUM [9022], 210.00 
30003202,HC MEE VARICELLA-ZOSTER ANTIBODY (IGG) [8761], 171.00 
30003203,HC MEE VARICELLA-ZOSTER ANTIBODY (IGM) [8766], 171.00 
30003204,HC MEE AFB CULTURE & STAIN 03 [87015 X 1], 40.00 
30003205,HC MEE BACTERIAL ID AEROBIC [BACTID](QUEST), 131.00 
30003206,HC MEE YEAST ID, 92.00 
30003207,HC MEE FUNGAL ID  YEAST [FUNGTX] (UNIV OF TX), 64.00 
30003208,HC MEE FUNGAL ID MOLD [FUNGTX] (UNIV OF TX), 314.00 
30003209,HC MEE AFB CULTURE & STAIN 01 [87116 X 1], 40.00 
30003210,HC MEE AEROBIC SUSCEPTIBILITY-VANCOMYCIN MIC, 41.00 
30003211,HC MEE MICAFUNGIN SUSCEPTIBILITY UNIVERSITY OF, 171.00 
30003212,HC MEE AFB SUSCEPT - RAPID GROWING MYCOBACTERIA, 333.00 
30003213,HC MEE AFB IDENTIFICATION MYCOBACTERIA SPP HPLC, 101.00 
30003214,"HC MEE MICRO SUSCEPTIBLE, DISK           ESBL", 164.00 
30003215,"HC MEE AEROBIC SENSITIVITY, GRAM POS MIC (SPEC)", 405.00 
30003216,HC MEE ANTIMICROBIAL SUSCEPTABILITY: DAPTOMYCIN, 189.00 
30003217,HC MEE MIC PANEL- STREP PNEUMONIAE, 392.00 
30003218,HC MEE ANTIMICRO NEG ROD MIC PANEL MICGNRSO, 76.00 
30003219,HC MEE ANTIMICRO SUSCEPT TREP MIC PANEL MICSTRE, 82.00 
30003220,HC MEE FLUCONAZOLE [FLUTX](UNIV OF TX), 288.00 
30003221,HC MEE MISC SUSCEPTIBILITY [OTHTX](UNIV OF TX), 108.00 
30003222,HC MEE PIMARACIN (NATAMYCIN)[NATX](UNIV OF TX), 108.00 
30003223,HC MEE MICROBE SUSC MACROBROTH [AMBTX](U OF TX), 108.00 
30003224,HC MEE MICROBE SUSCEPT MACROBROTH        NYSTX, 108.00 
30003225,"HC MEE SMEAR, GIEMSA STAIN (SPECIALTY) [2948]", 144.00 
30003226,HC MEE AFB CULTURE & STAIN 02 [87206 X 1], 40.00 
30003227,HC MEE VIRAL CULTURE [2410], 371.00 
30003228,"HC MEE ASPERGILLUS ANGTIGEN, SERUM EIA", 285.00 
30003229,HC MEE B. HENSALAE/QUINTANA DNA DETECT, 267.00 
30003230,HC MEE CHLAMYDIA TRACOMAT-MOLEC DX, I.C 
30003231,HC MEE CHLAMYDIA TRACH AG DETECT [DFA] (2440), 118.00 
30003232,HC MEE CHLAMYDIA TR RRNA PLS TMA URINE CHLAMGO, 170.00 
30003233,HC MEE CHLAMYDIA TRACHOMATIS RRNA   7438SW, 377.00 
30003234,HC MEE CHLAMYDIA TRACH RRNA DETECTION  CFADNA, 186.00 
30003235,HC MEE CHLAMYDIA TRACHOMATIS BY GENPROBE APTIMA, 139.00 
30003236,HC MEE HEP C RNA QUANT PCR W/RFLX GENOTYPE LIPA, 552.00 
30003237,HC MEE HEP C RNA PCR QUANT                HCRNA, 604.00 
30003238,HC MEE HSV 1 AND 2 VITREOUS PCR, 530.00 
30003239,HC MEE HSV 1 AND 2 PCR (PROCTOR LAB), 357.00 
30003240,"HC MEE ID,MYCOBACTERIA TB, DNA,AMP PROBE (MAYO)", 605.00 
30003241,HC MEE TB PCR VITREUS, 247.00 
30003242,HC MEE T. GONDII DNA QL REAL TIME PCR ((FINE NE, 376.00 
30003243,HC MEE VARICELLA ZOSTER PCR VITREOUS, 537.00 
30003244,HC MEE VZV PCR (BY PROCTOR LAB), 179.00 
30003245,HC MEE TOXOPLASMA GONDII PCR ON VITREOUS TO MAY, 403.00 
30003246,HC MEE TOXOPLASMA PCR, 469.00 
30003247,"HC MEE BARTONELLA, PCR FLUID (MAYO)", 483.00 
30003248,HC MEE EB VIRUS ON VITREOUS FLUID[EBVIT](MAYO), 412.00 
30003249,HC MEE EOSINOPHIL COUNT URINE       S50350, 176.00 
27001925,"HC MEE TRAY, BIOPSY, #258140", I.C 
27001937,HC MEE QUICK CORE BIOPSY NEEDLE SET 20 G, I.C 
27001938,HC MEE QUICK CORE BIOPSY NEEDLE SET 18 G X 5 CM, I.C 
27001939,HC MEE QUICK CORE BIOPSY NEEDLE SET 20 G X 5.5 CM, I.C 
76002260,HC MEE COSMETIC INJECTION - RESTYLANE, 115.00 
76002261,HC RADIESSE, 1219.00 
76002262,HC MEE COSMETIC INJECTION - JUVEDERM, 115.00 
76002263,HC MEE COSMETIC INJECTION - SCULPTURA, 115.00 
76002264,HC MEE COSMETIC INJECTION - COLLAGEN, 115.00 
76002265,"HC MEE HAIR TRANSPLANT - ""STRIP"" GRAFT 20 CM OR LESS", 1035.00 
49000192,HC MEE FEMTO IMAGING FEE, 1200.00 
27001945,HC MEE GLIONS-STERILE SET OF 5, 46.00 
27001946,"HC MEE IMPLANT, WEDGE, ENOPHTHALMOS, STERILE", 742.00 
27001948,"HC MEE IMPLANT, SPHERE, STERILE  VARIOUS SIZES", 827.00 
63601216,HC INJECTION AFLIBERCEPT 1 MG, 1471.00 
