Average Hospital Charges by standard diagnosis groupings (MSDRG) relevant to the CMS guidelines.,,,,
"Hospital Charges (Chargemaster Rates)  include hospital services, pharmaceuticals and supply items necessary to treat patients. ",,,,
"Drug prices may vary based on dosage, supplier's availability and cost to hospital. Supply prices may vary based on manufacturer's cost to hospital.",,,,
"Hospital charges can help patients understand potential costs for certain health care services, but they don’t provide a full picture of what patients will pay. ",,,,
The patient's financial liability will depend on the full course of treatment and on the type of insurance coverage.  ,,,,
Patients and consumers are encouraged to speak to their providers and health plan to get a full picture of what they will pay.  ,,,,
"For our patients, we offer financial counseling for those experiencing hardship during any point throughout their care.",,,,
,,,,
Facility,MS DRG,Description,Number of Claims, Average Proposed Charge 
COVENANT MEDICAL CENTER,761,Menstrual & Other Female Reproductive System Disorders W/O Cc/Mcc,1," $27,196 "
COVENANT MEDICAL CENTER,765,Cesarean Section W Cc/Mcc,1," $48,847 "
COVENANT MEDICAL CENTER,766,Cesarean Section W/O Cc/Mcc,1," $35,960 "
COVENANT MEDICAL CENTER,769,Postpartum & Post Abortion Diagnoses W O.R. Procedure,8," $171,958 "
COVENANT MEDICAL CENTER,770,"Abortion W D&C, Aspiration Curettage Or Hysterotomy",1," $37,566 "
COVENANT MEDICAL CENTER,776,Postpartum & Post Abortion Diagnoses W/O O.R. Procedure,12," $80,019 "
COVENANT MEDICAL CENTER,777,Ectopic Pregnancy,2," $54,505 "
COVENANT MEDICAL CENTER,781,Other Antepartum Diagnoses W Medical Complications,17," $55,709 "
COVENANT MEDICAL CENTER,799,Splenectomy W Mcc,3," $301,375 "
COVENANT MEDICAL CENTER,800,Splenectomy W Cc,1," $173,402 "
COVENANT MEDICAL CENTER,802,Other O.R. Proc Of The Blood & Blood Forming Organs W Mcc,1," $152,559 "
COVENANT MEDICAL CENTER,803,Other O.R. Proc Of The Blood & Blood Forming Organs W Cc,4," $213,484 "
COVENANT MEDICAL CENTER,804,Other O.R. Proc Of The Blood & Blood Forming Organs W/O Cc/Mcc,1," $30,122 "
COVENANT MEDICAL CENTER,808,Major Hematol/Immun Diag Exc Sickle Cell Crisis & Coagul W Mcc,25," $246,346 "
COVENANT MEDICAL CENTER,809,Major Hematol/Immun Diag Exc Sickle Cell Crisis & Coagul W Cc,47," $85,018 "
COVENANT MEDICAL CENTER,810,Major Hematol/Immun Diag Exc Sickle Cell Crisis & Coagul W/O Cc/Mcc,2," $45,380 "
COVENANT MEDICAL CENTER,811,Red Blood Cell Disorders W Mcc,22," $102,932 "
COVENANT MEDICAL CENTER,812,Red Blood Cell Disorders W/O Mcc,43," $80,078 "
COVENANT MEDICAL CENTER,813,Coagulation Disorders,24," $125,399 "
COVENANT MEDICAL CENTER,814,Reticuloendothelial & Immunity Disorders W Mcc,6," $79,177 "
COVENANT MEDICAL CENTER,815,Reticuloendothelial & Immunity Disorders W Cc,3," $159,546 "
COVENANT MEDICAL CENTER,816,Reticuloendothelial & Immunity Disorders W/O Cc/Mcc,4," $71,119 "
COVENANT MEDICAL CENTER,820,Lymphoma & Leukemia W Major O.R. Procedure W Mcc,4," $612,284 "
COVENANT MEDICAL CENTER,821,Lymphoma & Leukemia W Major O.R. Procedure W Cc,2," $453,568 "
COVENANT MEDICAL CENTER,822,Lymphoma & Leukemia W Major O.R. Procedure W/O Cc/Mcc,5," $96,616 "
COVENANT MEDICAL CENTER,823,Lymphoma & Non-Acute Leukemia W Other Proc W Mcc,4," $550,253 "
COVENANT MEDICAL CENTER,824,Lymphoma & Non-Acute Leukemia W Other Proc W Cc,9," $154,425 "
COVENANT MEDICAL CENTER,825,Lymphoma & Non-Acute Leukemia W Other Proc W/O Cc/Mcc,1," $75,094 "
COVENANT MEDICAL CENTER,826,Myeloprolif Disord Or Poorly Diff Neopl W Maj O.R. Proc W Mcc,1," $165,760 "
COVENANT MEDICAL CENTER,828,Myeloprolif Disord Or Poorly Diff Neopl W Maj O.R. Proc W/O Cc/Mcc,2," $116,541 "
COVENANT MEDICAL CENTER,829,Myeloproliferative Disorders Or Poorly Differentiated Neoplasms W Other Procedure W Cc/Mcc,8," $217,475 "
COVENANT MEDICAL CENTER,830,Myeloproliferative Disorders Or Poorly Differentiated Neoplasms W Other Procedure W/O Cc/Mcc,1," $269,169 "
COVENANT MEDICAL CENTER,834,Acute Leukemia W/O Major O.R. Procedure W Mcc,15," $430,785 "
COVENANT MEDICAL CENTER,835,Acute Leukemia W/O Major O.R. Procedure W Cc,5," $358,719 "
COVENANT MEDICAL CENTER,837,Chemo W Acute Leukemia As Sdx Or W High Dose Chemo Agent W Mcc,5," $211,070 "
COVENANT MEDICAL CENTER,838,Chemo W Acute Leukemia As Sdx W Cc Or High Dose Chemo Agent,7," $301,686 "
COVENANT MEDICAL CENTER,839,Chemo W Acute Leukemia As Sdx W/O Cc/Mcc,5," $96,299 "
COVENANT MEDICAL CENTER,840,Lymphoma & Non-Acute Leukemia W Mcc,8," $208,536 "
COVENANT MEDICAL CENTER,841,Lymphoma & Non-Acute Leukemia W Cc,10," $169,675 "
COVENANT MEDICAL CENTER,842,Lymphoma & Non-Acute Leukemia W/O Cc/Mcc,3," $95,017 "
COVENANT MEDICAL CENTER,844,Other Myeloprolif Dis Or Poorly Diff Neopl Diag W Cc,4," $66,623 "
COVENANT MEDICAL CENTER,846,Chemotherapy W/O Acute Leukemia As Secondary Diagnosis W Mcc,6," $229,566 "
COVENANT MEDICAL CENTER,847,Chemotherapy W/O Acute Leukemia As Secondary Diagnosis W Cc,31," $162,663 "
COVENANT MEDICAL CENTER,848,Chemotherapy W/O Acute Leukemia As Secondary Diagnosis W/O Cc/Mcc,7," $64,048 "
COVENANT MEDICAL CENTER,849,Radiotherapy,1," $93,112 "
COVENANT MEDICAL CENTER,853,Infectious & Parasitic Diseases W O.R. Procedure W Mcc,210," $431,553 "
COVENANT MEDICAL CENTER,854,Infectious & Parasitic Diseases W O.R. Procedure W Cc,55," $159,006 "
COVENANT MEDICAL CENTER,855,Infectious & Parasitic Diseases W O.R. Procedure W/O Cc/Mcc,2," $199,780 "
COVENANT MEDICAL CENTER,856,Postoperative Or Post-Traumatic Infections W O.R. Proc W Mcc,17," $218,369 "
COVENANT MEDICAL CENTER,857,Postoperative Or Post-Traumatic Infections W O.R. Proc W Cc,24," $131,709 "
COVENANT MEDICAL CENTER,858,Postoperative Or Post-Traumatic Infections W O.R. Proc W/O Cc/Mcc,3," $219,976 "
COVENANT MEDICAL CENTER,862,Postoperative & Post-Traumatic Infections W Mcc,28," $134,265 "
COVENANT MEDICAL CENTER,863,Postoperative & Post-Traumatic Infections W/O Mcc,16," $82,683 "
COVENANT MEDICAL CENTER,864,Fever And Inflammatory Conditions,11," $71,843 "
COVENANT MEDICAL CENTER,865,Viral Illness W Mcc,5," $63,504 "
COVENANT MEDICAL CENTER,866,Viral Illness W/O Mcc,3," $81,494 "
COVENANT MEDICAL CENTER,867,Other Infectious & Parasitic Diseases Diagnoses W Mcc,5," $271,177 "
COVENANT MEDICAL CENTER,868,Other Infectious & Parasitic Diseases Diagnoses W Cc,1," $61,434 "
COVENANT MEDICAL CENTER,870,Septicemia Or Severe Sepsis W Mv >96 Hours Or Peripheral Extracorporeal Membrane Oxygenation (Ecmo),58," $449,600 "
COVENANT MEDICAL CENTER,871,Septicemia Or Severe Sepsis W/O Mv >96 Hours W Mcc,912," $160,267 "
COVENANT MEDICAL CENTER,872,Septicemia Or Severe Sepsis W/O Mv >96 Hours W/O Mcc,223," $82,404 "
COVENANT MEDICAL CENTER,876,O.R. Procedure W Principal Diagnoses Of Mental Illness,1," $176,627 "
COVENANT MEDICAL CENTER,880,Acute Adjustment Reaction & Psychosocial Dysfunction,12," $61,795 "
COVENANT MEDICAL CENTER,883,Disorders Of Personality & Impulse Control,1," $120,722 "
COVENANT MEDICAL CENTER,884,Organic Disturbances & Intellectual Disability,2," $62,494 "
COVENANT MEDICAL CENTER,885,Psychoses,16," $66,864 "
COVENANT MEDICAL CENTER,894,"Alcohol/Drug Abuse Or Dependence, Left Ama",6," $44,613 "
COVENANT MEDICAL CENTER,896,Alcohol/Drug Abuse Or Dependence W/O Rehabilitation Therapy W Mcc,14," $105,007 "
COVENANT MEDICAL CENTER,897,Alcohol/Drug Abuse Or Dependence W/O Rehabilitation Therapy W/O Mcc,47," $59,531 "
COVENANT MEDICAL CENTER,901,Wound Debridements For Injuries W Mcc,3," $157,774 "
COVENANT MEDICAL CENTER,902,Wound Debridements For Injuries W Cc,4," $122,132 "
COVENANT MEDICAL CENTER,904,Skin Grafts For Injuries W Cc/Mcc,1," $74,689 "
COVENANT MEDICAL CENTER,906,Hand Procedures For Injuries,11," $112,365 "
COVENANT MEDICAL CENTER,907,Other O.R. Procedures For Injuries W Mcc,12," $185,131 "
COVENANT MEDICAL CENTER,908,Other O.R. Procedures For Injuries W Cc,16," $146,872 "
COVENANT MEDICAL CENTER,909,Other O.R. Procedures For Injuries W/O Cc/Mcc,5," $83,029 "
COVENANT MEDICAL CENTER,914,Traumatic Injury W/O Mcc,2," $90,527 "
COVENANT MEDICAL CENTER,915,Allergic Reactions W Mcc,5," $113,196 "
COVENANT MEDICAL CENTER,916,Allergic Reactions W/O Mcc,9," $33,018 "
COVENANT MEDICAL CENTER,917,Poisoning & Toxic Effects Of Drugs W Mcc,53," $96,912 "
COVENANT MEDICAL CENTER,918,Poisoning & Toxic Effects Of Drugs W/O Mcc,85," $69,566 "
COVENANT MEDICAL CENTER,919,Complications Of Treatment W Mcc,26," $103,710 "
COVENANT MEDICAL CENTER,920,Complications Of Treatment W Cc,16," $64,043 "
COVENANT MEDICAL CENTER,921,Complications Of Treatment W/O Cc/Mcc,7," $53,956 "
COVENANT MEDICAL CENTER,922,"Other Injury, Poisoning & Toxic Effect Diag W Mcc",2," $81,743 "
COVENANT MEDICAL CENTER,923,"Other Injury, Poisoning & Toxic Effect Diag W/O Mcc",5," $50,873 "
COVENANT MEDICAL CENTER,934,Full Thickness Burn W/O Skin Graft Or Inhal Inj,1," $14,736 "
COVENANT MEDICAL CENTER,935,Non-Extensive Burns,1," $41,055 "
COVENANT MEDICAL CENTER,939,O.R. Proc W Diagnoses Of Other Contact W Health Services W Mcc,1," $124,066 "
COVENANT MEDICAL CENTER,940,O.R. Proc W Diagnoses Of Other Contact W Health Services W Cc,2," $152,407 "
COVENANT MEDICAL CENTER,941,O.R. Proc W Diagnoses Of Other Contact W Health Services W/O Cc/Mcc,1," $80,058 "
COVENANT MEDICAL CENTER,947,Signs & Symptoms W Mcc,10," $108,336 "
COVENANT MEDICAL CENTER,948,Signs & Symptoms W/O Mcc,26," $49,431 "
COVENANT MEDICAL CENTER,949,Aftercare W Cc/Mcc,1," $62,826 "
COVENANT MEDICAL CENTER,951,Other Factors Influencing Health Status,5," $40,840 "
COVENANT MEDICAL CENTER,955,Craniotomy For Multiple Significant Trauma,2," $362,740 "
COVENANT MEDICAL CENTER,956,"Limb Reattachment, Hip & Femur Proc For Multiple Significant Trauma",23," $237,342 "
COVENANT MEDICAL CENTER,957,Other O.R. Procedures For Multiple Significant Trauma W Mcc,7," $480,635 "
COVENANT MEDICAL CENTER,958,Other O.R. Procedures For Multiple Significant Trauma W Cc,3," $291,995 "
COVENANT MEDICAL CENTER,963,Other Multiple Significant Trauma W Mcc,4," $115,050 "
COVENANT MEDICAL CENTER,964,Other Multiple Significant Trauma W Cc,6," $84,936 "
COVENANT MEDICAL CENTER,965,Other Multiple Significant Trauma W/O Cc/Mcc,2," $55,156 "
COVENANT MEDICAL CENTER,974,Hiv W Major Related Condition W Mcc,4," $270,795 "
COVENANT MEDICAL CENTER,975,Hiv W Major Related Condition W Cc,5," $74,826 "
COVENANT MEDICAL CENTER,976,Hiv W Major Related Condition W/O Cc/Mcc,1," $40,051 "
COVENANT MEDICAL CENTER,977,Hiv W Or W/O Other Related Condition,1," $177,662 "
COVENANT MEDICAL CENTER,981,Extensive O.R. Procedure Unrelated To Principal Diagnosis W Mcc,61," $305,157 "
COVENANT MEDICAL CENTER,982,Extensive O.R. Procedure Unrelated To Principal Diagnosis W Cc,29," $162,664 "
COVENANT MEDICAL CENTER,983,Extensive O.R. Procedure Unrelated To Principal Diagnosis W/O Cc/Mcc,8," $88,176 "
COVENANT MEDICAL CENTER,987,Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W Mcc,17," $275,077 "
COVENANT MEDICAL CENTER,988,Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W Cc,9," $120,690 "
COVENANT MEDICAL CENTER,989,Non-Extensive O.R. Proc Unrelated To Principal Diagnosis W/O Cc/Mcc,4," $76,990 "
