Proc Code Description,Modifier,Price
IADNA NOS AMPLIFIED PROBE TQ EACH ORGANISM,,$826.50 
IADNA NOS DIRECT PROBE TQ EACH ORGANISM,,$363.00 
IADNA NOS QUANTIFICATION EACH ORGANISM,,$775.50 
IADNA RESPIRATRY PROBE & REV TRNSCR 12-25 TARGET,,"$7,546.50 "
IADNA S AUREUS AMPLIFIED PROBE TQ,,$445.50 
IADNA S AUREUS METHICILLIN RESIST AMP PROBE TQ,,$460.50 
IADNA STREPTOCOCCUS GROUP A AMPLIFIED PROBE TQ,,$636.00 
IADNA STREPTOCOCCUS GROUP A DIRECT PROBE TQ,,$363.00 
IADNA STREPTOCOCCUS GROUP A QUANTIFICATION,,$687.00 
IADNA STREPTOCOCCUS GROUP B AMPLIFIED PROBE TQ,,$636.00 
IADNA TRICHOMONAS VAGINALIS AMPLIFIED PROBE TECH,,$636.00 
IADNA TRICHOMONAS VAGINALIS DIRECT PROBE TQ,,$363.00 
IADNA-DNA/RNA GI PTHGN MULTIPLEX PROBE TQ 12-25,,"$7,546.50 "
IADNA-DNA/RNA GI PTHGN MULTIPLEX PROBE TQ 6-11,,"$3,864.00 "
ICAR CATHETER ABLATION ATRIOVENTR NODE FUNCTION,,"$18,940.50 "
IDH1 COMMON VARIANTS,,"$2,319.00 "
IDH2 COMMON VARIANTS,,"$3,549.00 "
IFNL3 GENE ANALYSIS RS12979860 VARIANT,,$906.00 
IGH@ REARRANGE ABNORMAL CLONAL POP AMPLIFIED,,"$2,445.00 "
IGH@ REARRANGE ABNORMAL CLONAL POP DIRECT PROBE,,$718.50 
IGH@ VARIABLE REGION SOMATIC MUTATION ANALYSIS,,"$3,636.00 "
IGK@ GENE REARRANGE DETECT ABNORMAL CLONAL POP,,"$1,843.50 "
ILEOSCOPY STOMA W/BX SINGLE/MULTIPLE,,"$2,647.50 "
ILEOSCOPY THRU STOMA DX W/COLLJ SPEC WHEN PRFMD,,"$2,647.50 "
IM ADM PRQ ID SUBQ/IM NJXS 1 VACCINE,,$168.00 
IM ADM PRQ ID SUBQ/IM NJXS EA VACCINE,,$112.50 
IMAGE FLUID COLLXN DRAINAG CATH TRANSREC/VAGINAL,,"$4,678.50 "
IMAGE-GUIDE FLUID COLLXN DRAINAGE CATH VISC PERQ,,"$4,678.50 "
IMAGE-GUIDED CATHETER FLUID COLLECTION DRAINAGE,,"$2,679.00 "
IMG-GUIDE FLUID COLLXN DRAINAG CATH PERITON PERQ,,"$4,678.50 "
IMHISTOCHEM/CYTCHM 1ST ANTIBODY STAIN PROCEDURE,TC,"$1,800.00 "
IMHISTOCHEM/CYTCHM EA ADDL ANTIBODY SLIDE,TC,$900.00 
IMHISTOCHEM/CYTCHM EA MULTIPLEX ANTIBODY SLIDE,TC,"$1,314.00 "
IMMT INSJ BRST PROSTH FLWG MASTOPEXY MAST/RCNSTJ,,"$16,720.50 "
IMMUNE COMPLEX ASSAY,,$400.50 
IMMUNOASSAY ANALYTE QUAL/SEMIQUAL MULTIPLE STEP,,$255.00 
IMMUNOASSAY ANALYTE QUAL/SEMIQUAL SINGLE STEP,,$139.50 
IMMUNOASSAY ANALYTE QUANT RADIOIMMUNOASSAY,,$331.50 
IMMUNOASSAY ANALYTE QUANTITATIVE NOS,,$300.00 
IMMUNOASSAY INFECTIOUS AGENT ANTIBODY QUAN NOS,,$205.50 
IMMUNOASSAY NFCT AGT ANTB QUAL/SEMIQUAN 1 STEP,,$213.00 
IMMUNOASSAY TUMOR ANTIGEN QUAL/SEMIQUANTITATIVE,,$322.50 
IMMUNOASSAY TUMOR ANTIGEN QUANTITATIVE,,$342.00 
IMMUNOASSAY TUMOR ANTIGEN QUANTITATIVE CA 125,,$282.00 
IMMUNOASSAY TUMOR ANTIGEN QUANTITATIVE CA 15-3,,$444.00 
IMMUNOASSAY TUMOR ANTIGEN QUANTITATIVE CA 19-9,,$352.50 
IMMUNODIFFUSION GEL DIFFUSION QUAL EA AG/ANTBDY,,$246.00 
IMMUNODIFFUSION NOT ELSEWHERE SPECIFIED,,$231.00 
IMMUNOELECTROPHORESIS CROSSED,,$373.50 
IMMUNOELECTROPHORESIS OTHER FLUIDS CONCENTRATION,,$367.50 
IMMUNOELECTROPHORESIS SERUM,,$369.00 
IMMUNOFIXJ ELECTROPHORESIS OTHER FLUIDS,,$496.50 
IMMUNOFIXJ ELECTROPHORESIS SERUM,,$421.50 
IMMUNOFLUORESCENCE PER SPEC 1ST SINGL ANTB STAIN,TC,"$1,314.00 "
IMMUNOFLUORESCENCE PER SPEC ADD SINGL ANTB STAIN,TC,$402.00 
IMPLJ OSSEOINTEGRATED TEMPORAL BONE W/O MASTOID,,"$36,172.50 "
IN SITU HYBRIDIZATION 1ST PROBE STAIN,TC,$904.50 
IN SITU HYBRIDIZATION EA ADDL PROBE STAIN,TC,$669.00 
IN SITU HYBRIDIZATION EA MULTIPLEX PROBE STAIN,TC,"$1,878.00 "
INCISION & DRAINAGE ABSCESS COMPLICATED/MULTIPLE,,"$1,015.50 "
INCISION & DRAINAGE ABSCESS SIMPLE/SINGLE,,$456.00 
INCISION & DRAINAGE COMPLEX PO WOUND INFECTION,,"$9,135.00 "
INCISION & DRAINAGE LEG/ANKLE ABSCESS/HEMATOMA,,"$9,135.00 "
INCISION & DRAINAGE PILONIDAL CYST COMPLICATED,,"$2,292.00 "
INCISION & DRAINAGE PILONIDAL CYST SIMPLE,,"$2,292.00 "
INCISION & REMOVAL FOREIGN BODY SUBQ TISS COMPL,,"$5,256.00 "
INCISION & REMOVAL FOREIGN BODY SUBQ TISS SIMPLE,,"$1,243.50 "
INCISION THROMBOSED HEMORRHOID EXTERNAL,,$918.00 
INCISION&DRAINAGE UPPER ARM/ELBOW BURSA,,"$4,678.50 "
INDUCED ABORTION DILATION & EVACUATION,,"$8,865.00 "
INDUCED ABORTION DILATION AND CURETTAGE,,"$8,865.00 "
INDUCTION ARRHYTHMIA ELECTRICAL PACING,TC,"$6,559.50 "
INF AGENT DET NUCLEIC ACID CLOSTRIDIUM AMP PROBE,,$588.00 
INFECTIOUS AGENT DNA/RNA INFLUENZA 1ST 2 TYPES,,"$1,078.50 "
INFECTIOUS AGENT DNA/RNA INFLUENZA EA TYPE,,$928.50 
INFECTIOUS AGENT DNA/RNA VANCOMYCIN RESISTANCE,,$577.50 
INFECTIOUS AGENT ENZYMATIC ACTV OTH/THN VIRUS,,$220.50 
INFECTIOUS AGENT IMMUNOASSAY OPTICAL ADENOVIRUS,,$198.00 
INHIBIN A,,$213.00 
INHLJ BRNCL CHALLENGE TSTG W/HISTAM/METHACHOL,,"$4,944.00 "
INITIAL TX 1ST DEGREE BURN LOCAL TX,,$651.00 
INJ FOR SACROILIAC JT ANESTH,,"$1,509.00 "
INJ RADIOACTIVE TRACER FOR ID OF SENTINEL NODE,,"$1,275.00 "
INJECT EVALUATE PREVIOUS PERITONEAL-VENOUS SHUNT,,$214.50 
INJECT SI JOINT ARTHRGRPHY&/ANES/STEROID W/IMA,,"$1,941.00 "
INJECTION 1 TENDON SHEATH/LIGAMENT APONEUROSIS,,"$1,362.00 "
INJECTION ANES AGENT SPHENOPALATINE GANGLION,,$982.50 
INJECTION ANES BRACHIAL PLEXUS CONT NFS CATH,,"$2,716.50 "
INJECTION ANES FEMORAL NERVE CONT INFUSION CATH,,"$2,716.50 "
INJECTION ANES ILIOINGUINAL ILIOHYPOGASTRIC NRVS,,"$2,155.50 "
INJECTION ANES LMBR/THRC PARAVERTBRL SYMPATHETIC,,"$2,716.50 "
INJECTION ANES OTHER PERIPHERAL NERVE/BRANCH,,"$1,509.00 "
INJECTION ANES SCIATIC NERVE CONT INFUSION CATH,,"$2,716.50 "
INJECTION ANESTHETIC AGENT 1 INTERCOSTAL NERVE,,"$2,155.50 "
INJECTION ANESTHETIC AGENT AXILLARY NERVE,,"$2,716.50 "
INJECTION ANESTHETIC AGENT CERVICAL PLEXUS,,"$2,155.50 "
INJECTION ANESTHETIC AGENT FACIAL NERVE,,"$1,120.50 "
INJECTION ANESTHETIC AGENT FEMORAL NERVE SINGLE,,"$2,155.50 "
INJECTION ANESTHETIC AGENT GREATER OCCIPITAL NRV,,$982.50 
INJECTION ANESTHETIC AGENT PUDENDAL NERVE,,"$2,716.50 "
INJECTION ANESTHETIC AGENT SCIATIC NRV SINGLE,,"$2,155.50 "
INJECTION ANESTHETIC AGENT SUPRASCAPULAR NERVE,,"$1,509.00 "
INJECTION ANKLE ARTHROGRAPHY,,$633.00 
INJECTION ELBOW ARTHROGRAPHY,,$598.50 
INJECTION EPIDURAL BLOOD/CLOT PATCH,,"$2,155.50 "
INJECTION HIP ARTHROGRAPHY W/ANESTHESIA,,$927.00 
INJECTION HIP ARTHROGRAPHY W/O ANESTHESIA,,$711.00 
INJECTION PROCEDURE MYELOGRAPHY/CT LUMBAR,,$703.50 
INJECTION PROCEDURE SPLENOPORTOGRAPY,,$631.50 
INJECTION PX DISCOGRAPHY EACH LEVEL LUMBAR,,"$1,237.50 "
INJECTION PX DISCOGRPHY EA LVL CERVICAL/THORACIC,,"$1,386.00 "
INJECTION PX PRQ TX EXTREMITY PSEUDOANEURYSM,,"$2,587.50 "
INJECTION SCLEROSANT MULTIPLE INCMPTNT VEINS,,"$1,243.50 "
INJECTION SCLEROSANT SINGLE INCMPTNT VEIN,,"$1,243.50 "
INJECTION SHOULDER ARTHROGRAPHY/ CT/MRI ARTHG,,$493.50 
INJECTION SINGLE TENDON ORIGIN/INSERTION,,$982.50 
INJECTION SINGLE/MLT TRIGGER POINT 1/2 MUSCLES,,$688.50 
INJECTION SINGLE/MLT TRIGGER POINT 3/> MUSCLES,,$982.50 
INJECTION SINUS TRACT DIAGNOSTIC,,$499.50 
INJECTION TURBINATE THERAPEUTIC,,"$2,070.00 "
INJECTION WRIST ARTHROGRAPHY,,$606.00 
INJECTIONS SCLEROSANT FOR SPIDER VEINS LIM/TRNK,,$651.00 
INJX ANES CELIAC PLEXUS W/WO RADIOLOGIC MONITRNG,,"$3,025.50 "
INJX/INFUS NEUROLYT SBST EPIDURAL LUMBAR/SACRAL,,"$2,418.00 "
INJX/INFUS NEUROLYT SUBST EPIDURAL CERV/THORACIC,,"$2,418.00 "
INS INTRVAS VC FILTR W/WO VAS ACS VSL SELXN RS&I,,"$12,000.00 "
INS NEW/RPLC PRM PACEMAKER W/TRANSV ELTRD VENTR,,"$18,000.00 "
INS NEW/RPLCMT PRM PACEMAKR W/TRANS ELTRD ATRIAL,,"$18,000.00 "
INS NEW/RPLCMT PRM PM W/TRANSV ELTRD ATRIAL&VENT,,"$24,000.00 "
INS PACEMAKER PULSE GEN ONLY W/EXIST DUAL LEADS,,"$35,614.50 "
INS PM PLS GEN W/EXIST SINGLE LEAD,,"$26,394.00 "
INS/RPLCMNT PERM SUBQ IMPLTBL DFB W/SUBQ ELTRD,,"$90,000.00 "
INSERT CECOSTOMY/OTHER COLONIC TUBE PERCUTANEOUS,,"$3,730.50 "
INSERT DUODENOSTOMY/JEJUNOSTOMY TUBE PERQ,,"$5,674.50 "
INSERT GASTROSTOMY TUBE PERCUTANEOUS,,"$5,674.50 "
INSERT TUNNELED CVC W/O SUBQ PORT/PMP AGE <5 YR,,"$16,681.50 "
INSERTION CERVICAL DILATOR SEPARATE PROCEDURE,,"$1,171.50 "
INSERTION FLOW DIRECTED CATHETER FOR MONITORING,,"$2,587.50 "
INSERTION INDWELLING TUNNELED PLEURAL CATHETER,,"$12,169.50 "
INSERTION INTRA-AORTIC BALLOON ASSIST DEV PERQ,,"$22,045.50 "
INSERTION TUNNEL INTRAPERITONEAL CATH DIAL OPEN,,"$10,830.00 "
INSJ 1 TRANSVNS ELTRD PERM PACEMAKER/IMPLTBL DFB,,"$26,394.00 "
INSJ 2 TRANSVNS ELTRD PERM PACEMAKER/IMPLTBL DFB,,"$26,394.00 "
INSJ CANNULA HEMO OTH SPX ARVEN XTRNL REVJ/CLSR,,"$14,847.00 "
INSJ ELTRD CAR VEN SYS ATTCH PREV PM/DFB PLS GEN,,"$35,614.50 "
INSJ ELTRD CAR VEN SYS TM INSJ DFB/PM PLS GEN,,"$4,548.00 "
INSJ IMPLNTBL DEFIB PULSE GEN W/1 EXISTING LD,,"$67,500.00 "
INSJ INTRAPERITONEAL CATHETER W/IMG GUID,,"$12,169.50 "
INSJ NON-NDWELLG BLADDER CATHETER,,$297.00 
INSJ NON-TUNNELED CENTRAL VENOUS CATH AGE < 5 Y,,"$2,908.50 "
INSJ NON-TUNNELED CENTRAL VENOUS CATH AGE 5 YR/>,,"$4,350.00 "
INSJ OF SUBQ IMPLANTABLE DEFIBRILLATOR ELECTRODE,,"$26,394.00 "
INSJ PRPH CTR VAD W/SUBQ PORT AGE 5 YR/>,,"$10,035.00 "
INSJ PRPH CTR VAD W/SUBQ PORT UNDER 5 YR,,"$10,035.00 "
INSJ PRPH CVC W/O SUBQ PORT/PMP AGE 5 YR/>,,"$2,691.00 "
INSJ PRPH CVC W/O SUBQ PORT/PMP UNDER 5 YR,,"$2,908.50 "
INSJ TEMP NDWELLG BLADDER CATHETER COMPLICATED,,$442.50 
INSJ TEMP NDWELLG BLADDER CATHETER SIMPLE,,$297.00 
INSJ TRANSVNS INTRAHEPATC PORTOSYSIC SHUNT,,"$3,912.00 "
INSJ TUN VAD REQ 2 CATH 2 SITS W/O SUBQ PORT/PMP,,"$11,217.00 "
INSJ TUNNELED CTR VAD W/SUBQ PORT AGE 5 YR/>,,"$8,290.50 "
INSJ TUNNELED CTR VAD W/SUBQ PORT UNDER 5 YR,,"$10,035.00 "
INSJ TUNNELED CVC W/O SUBQ PORT/PMP AGE 5 YR/>,,"$9,000.00 "
INSJ/RPLCMT CRANIAL NEUROSTIM PULSE GENERATOR,,"$67,354.50 "
INSJ/RPLCMT PERM DFB W/TRNSVNS LDS 1/DUAL CHMBR,,"$112,500.00 "
INSJ/RPLCMT TEMP TRANSVNS 1CHMBR ELTRD/PM CATH,,"$15,000.00 "
INSJ/RPLCMT TEMP TRANSVNS 2CHMBR PACG ELTRDS SPX,,"$15,000.00 "
INSTLJ THER AGENT RENAL PELVIS&/URETER VIA TUB,,$936.00 
INSTLJ VIA CHEST TUBE/CATH AGENT FOR PLEURODESIS,,"$2,908.50 "
INSULIN ANTIBODIES,,$352.50 
INSULIN TOLERANCE PANEL ACTH INSUFFICIENCY,,"$1,665.00 "
INSULIN TOLERANCE PANEL GROWTH HORM DEFNCY,,"$1,695.00 "
INSULIN-INDUCED C-PEPTIDE SUPRESSION PANEL,,"$2,224.50 "
INTENSITY MODULATED RADIATION TX DLVR COMPLEX,,"$3,220.50 "
INTENSITY MODULATED RADIATION TX DLVR SIMPLE,,"$3,034.50 "
INTERROG EVAL F2F 1/DUAL/MLT LEADS IMPLTBL DFB,TC,$225.00 
INTERROGATION EVAL F2F IMPLANT SUBQ LEAD DEFIB,TC,$265.50 
INTERROGATION EVAL F2F IMPLANTABLE CV MNTR SYS,TC,$225.00 
INTERROGATION EVAL IN PERSON 1/DUAL/MLT LEAD PM,TC,$214.50 
INTERROGATION EVAL IN PERSON WR DEFIBRILLATOR,TC,$225.00 
INTERROGATION EVALUATION IN PERSON ILR SYSTEM,TC,$241.50 
INTERSTITIAL DEV PLMT RADIATION THERAPY 1/MLT,,"$4,533.00 "
INTERSTITIAL RADIATION SOURCE APPLIC COMPLEX,TC,"$3,768.00 "
INTESTINE IMAGING,TC,"$1,870.50 "
INTRA-ATRIAL PACING,TC,"$37,881.00 "
INTRA-ATRIAL RECORDING,TC,"$18,940.50 "
INTRACARDIAC ELECTROPHYSIOLOGIC 3D MAPPING,,"$2,001.00 "
INTRACAVITARY RADIATION SOURCE APPLIC COMPLEX,TC,"$3,768.00 "
INTRACAVITARY RADIATION SOURCE APPLIC INTERMED,TC,"$2,523.00 "
INTRACAVITARY RADIATION SOURCE APPLIC SIMPLE,TC,"$2,523.00 "
INTRAPULMONARY SURFACTANT ADMINISTJ PHYS/QHP,,"$1,240.50 "
INTRAVASCULAR US NONCORONARY RS&I ADDL VESSEL,,$946.50 
INTRAVASCULAR US NONCORONARY RS&I INTIAL VESSEL,,"$6,598.50 "
INTRAVENTRICULAR PACING,TC,"$37,881.00 "
INTRINSIC FACTOR ANTIBODIES,,$247.50 
INTRO ANY HEMOSTATIC AGENT/PACK VAG HEMRRG SPX,,$646.50 
INTRO CATH DIALYSIS CIRCUIT DX ANGRPH FLUOR S&I,,"$3,882.00 "
INTRO CATH DIALYSIS CIRCUIT W/TCAT PLMT IV STENT,,"$36,895.50 "
INTRO CATH DIALYSIS CIRCUIT W/TRLUML BALO ANGIOP,,"$18,000.00 "
INTRO CATHETER SUPERIOR/INFERIOR VENA CAVA,,"$1,855.50 "
INTRO NEEDLE/INTRACATH AORTIC TRANSLUMBAR,,"$1,884.00 "
INTRO OF NEEDLE OR INTRACATHETER UPR/LXTR ARTERY,,"$1,623.00 "
INTRODUCTION CATHETER AORTA,,"$2,140.50 "
INTRODUCTION LONG GI TUBE SEPARATE PROCEDURE,,"$2,974.50 "
INTRODUCTION NEEDLE/INTRACATHETER VEIN,,$528.00 
INTUBATION ENDOTRACHEAL EMERGENCY PROCEDURE,,"$1,006.50 "
IRON BINDING CAPACITY,,$150.00 
IRON STAIN PERIPHERAL BLOOD,,$117.00 
IRRADIATION BLOOD PRODUCT EACH UNIT,,$333.00 
IRRIGAJ IMPLNTD VENOUS ACCESS DRUG DELIVERY SYST,,$211.50 
IRRIGATION CORPORA CAVERNOSA PRIAPISM,,$918.00 
ISCHEMIC LIMB XERS TST SPEC ACQUISJ METAB,TC,"$1,080.00 "
ISLET CELL ANTIBODY,,$300.00 
ISOCITRIC DEHYDROGENASE,,$145.50 
IV DOP VEL&/OR PRESS C/FLO RSRV MEAS 1ST VSL,TC,$766.50 
IV DOP VEL&/OR PRESS C/FLO RSRV MEAS ADDL VSL,TC,$474.00 
IV INFUS TX/DX; INIT PROLNG RQR PORT/IMPL PUMP,,"$2,376.00 "
IV INFUSION HYDRATION EACH ADDITIONAL HOUR,,$300.00 
IV INFUSION HYDRATION INITIAL 31 MIN-1 HOUR,,$525.00 
IV INFUSION THER PROPH ADDL SEQUENTIAL TO 1 HR,,$375.00 
IV INFUSION THERAPY PROPHYLAXIS/DX EA HOUR,,$375.00 
IV INFUSION THERAPY/PROPHYLAXIS /DX 1ST TO 1 HR,,$600.00 
IV NFS THERAPY PROPHYLAXIS/DX CONCURRENT NFS,,$117.00 
JAK2 GENE ANALYSIS P.VAL617PHE VARIANT,,"$1,131.00 "
JOINT SURVEY SINGLE VIEW 2 OR MORE JOINTS,TC,$633.00 
KETONE BODIES SERUM QUALITATIVE,,$111.00 
KETONE BODIES SERUM QUANTITATIVE,,$133.50 
KETOSTEROIDS 17- FRACTIONATION,,$433.50 
KIDNEY IMAGING MORPHOLOGY,TC,"$1,870.50 "
KIDNEY IMAGING MORPHOLOGY TOMOGRAPHIC,TC,"$2,572.50 "
KIDNEY IMAGING MORPHOOGY W/VASCULAR FLOW,TC,"$1,870.50 "
KIDNEY IMG MORPHOLOGY VASCULAR FLOW 1 W/O RX,TC,"$2,572.50 "
KIDNEY IMG MORPHOLOGY VASCULAR FLOW 1 W/RX,TC,"$2,572.50 "
KIT GENE ANALYSIS TARGETED SEQUENCE ANALYSIS,,"$3,954.00 "
KNEE ORTHOSIS IMMOBLIZER CANVAS LONGTUDNL PREFAB,,$790.50 
KRAS GENE ANALYSIS ADDITIONAL VARIANT(S),,"$2,319.00 "
KRAS GENE ANALYSIS VARIANTS IN EXON 2,,"$1,786.50 "
L HRT CATH W/NJX L VENTRICULOGRAPHY IMG S&I,TC,"$13,950.00 "
LACTATE DEHYDROGENASE ISOENZYMES SEP&QUAN,,$241.50 
LACTATE DEHYDROGENASE LDH,,$94.50 
LACTOFERRIN FECAL QUALITATIVE,,$372.00 
LACTOFERRIN FECAL QUANTITATIVE,,$322.50 
LACTOGEN HPL HUMAN CHORIONIC SOMATOMAMMOTROPIN,,$333.00 
LACTOSE URINE QUALITATIVE,,$90.00 
LAP RPR HRNA XCPT INCAL/INGUN NCRC8/STRANGULATED,,"$15,886.50 "
LAPAROSCOPIC APPENDECTOMY,,"$17,850.00 "
LAPAROSCOPY ENTEROLYSIS SEPARATE PROCEDURE,,"$17,850.00 "
LAPAROSCOPY FULGURATION OVIDUCTS,,"$17,850.00 "
LAPAROSCOPY REPAIR INCISIONAL HERNIA REDUCIBLE,,"$26,368.50 "
LAPAROSCOPY SALPINGOSTOMY,,"$17,850.00 "
LAPAROSCOPY SUPRACERVICAL HYSTERECTOMY 250 GM/<,,"$15,886.50 "
LAPAROSCOPY SURG CHOLECYSTECTOMY,,"$16,500.00 "
LAPAROSCOPY SURG RPR INITIAL INGUINAL HERNIA,,"$16,756.50 "
LAPAROSCOPY SURG W/BX SINGLE/MULTIPLE,,"$17,850.00 "
LAPAROSCOPY SURGICAL JEJUNOSTOMY,,"$17,850.00 "
LAPAROSCOPY TOT HYSTERECTOMY >250 G W/TUBE/OVAR,,"$26,368.50 "
LAPAROSCOPY TOTAL HYSTERECTOMY UTERUS >250 GM,,"$29,628.00 "
LAPAROSCOPY W TOTAL HYSTERECTOMY UTERUS 250 GM/<,,"$26,368.50 "
LAPAROSCOPY W/LYSIS OF ADHESIONS,,"$17,850.00 "
LAPAROSCOPY W/PLMT OCCLUSION DEVICE OVIDUCTS,,"$17,850.00 "
LAPAROSCOPY W/RMVL ADNEXAL STRUCTURES,,"$12,495.00 "
LAPS ABD PRTM&OMENTUM DX W/WO SPEC BR/WA SPX,,"$17,850.00 "
LAPS FULG/EXC OVARY VISCERA/PERITONEAL SURFACE,,"$17,850.00 "
LAPS MYOMECTOMY EXC 1-4 MYOMAS 250 GM/<,,"$15,886.50 "
LAPS MYOMECTOMY EXC 5/> MYOMAS >250 GRAMS,,"$26,368.50 "
LAPS REPAIR HERNIA EXCEPT INCAL/INGUN REDUCIBLE,,"$15,886.50 "
LAPS RPR PARAESPHGL HRNA INCL FUNDPLSTY W/O MESH,,"$26,368.50 "
LAPS RPR RECURRENT INCISIONAL HERNIA REDUCIBLE,,"$26,368.50 "
LAPS SUPRACERVICAL HYSTERECTOMY >250,,"$29,628.00 "
LAPS SUPRACRV HYSTEREC >250 G RMVL TUBE/OVARY,,"$26,368.50 "
LAPS SUPRACRV HYSTERECT 250 GM/< RMVL TUBE/OVAR,,"$26,368.50 "
LAPS SURG CHOLECYSTECTOMY W/CHOLANGIOGRAPHY,,"$14,494.50 "
LAPS SURG ESOPG/GSTR FUNDOPLASTY,,"$26,368.50 "
LAPS SURG RPR RECURRENT INGUINAL HERNIA,,"$17,850.00 "
LAPS SURG W/ASPIR CAVITY/CYST SINGLE/MULTIPLE,,"$17,850.00 "
LAPS TOTAL HYSTERECT 250 GM/< W/RMVL TUBE/OVARY,,"$18,457.50 "
LAPS TX ECTOPIC PREG W/O SALPING&/OOPHORECTOMY,,"$15,886.50 "
LAPS TX ECTOPIC PREG W/SALPING&/OOPHORECTOMY,,"$15,886.50 "
LAPS VAGINAL HYSTERECT > 250 GM RMVL TUBE&/OVAR,,"$26,368.50 "
LAPS W/REVISION INTRAPERITONEAL CATHETER,,"$15,886.50 "
LARGSC EXC TUM&/STRPG CORDS/EPIGL MCRSCP/TLSCP,,"$9,198.00 "
LARGSC MICRO/TELESCOPE RMVL LES VOCAL CORD FLAP,,"$9,198.00 "
LARYNGEAL FUNCTION STUDIES,,$616.85 
LARYNGOSCOPE INJECTION VOCAL CORD THERAPEUTIC,,"$9,198.00 "
LARYNGOSCOPY DIRECT OPERATIVE W/BIOPSY,,"$6,438.00 "
LARYNGOSCOPY EXC TUM&/STRIPPING CORDS/EPIGLOTT,,"$9,198.00 "
LARYNGOSCOPY FLX RMVL FOREIGN BODY(S),,"$1,369.50 "
LARYNGOSCOPY INDIRECT DIAGNOSTIC SPX,,$679.50 
LARYNGOSCOPY INDIRECT W/REMOVAL FOREIGN BODY,,$783.00 
LARYNGOSCOPY W/BIOPSY MICROSCOPE/TELESCOPE,,"$9,198.00 "
LARYNGOSCOPY W/FOREIGN BODY REMOVAL,,"$4,804.50 "
LARYNGOSCOPY W/WO TRACHEOSCOPY DILATION SUBSQ,,"$9,198.00 "
LARYNGOSCOPY W/WO TRACHEOSCOPY DX EXCEPT NEWBORN,,"$4,804.50 "
LARYNGOSCOPY W/WO TRACHEOSCOPY W/DILATION IN,,"$9,198.00 "
LARYNGOSCOPY W/WO TRACHEOSCOPY W/MICRO/TELESCOPE,,"$4,804.50 "
LASER VAPORIZATION OF PROSTATE FOR URINE FLOW,,"$10,381.50 "
LEFT HEART CATH BY TRANSEPTAL PUNCTURE,,$972.00 
LEUCINE AMINOPEPTIDASE LAP,,$174.00 
LEUKOCYTE HISTAMINE RELEASE TEST LHR,,$205.50 
LEUKOCYTE PHAGOCYTOSIS,,$132.00 
LEUKOCYTE TRANSFUSION,,"$1,413.00 "
LEVEL I SURG PATHOLOGY GROSS EXAMINATION ONLY,TC,$202.50 
LEVEL II SURG PATHOLOGY GROSS&MICROSCOPIC EXAM,TC,$258.00 
LEVEL III SURG PATHOLOGY GROSS&MICROSCOPIC EXAM,TC,$504.00 
LEVEL IV SURG PATHOLOGY GROSS&MICROSCOPIC EXAM,TC,$618.00 
LEVEL V SURG PATHOLOGY GROSS&MICROSCOPIC EXAM,TC,"$1,800.00 "
LEVEL VI SURG PATHOLOGY GROSS&MICROSCOPIC EXAM,TC,"$3,243.00 "
LIG/BANDING ANGIOACCESS ARTERIOVENOUS FISTULA,,"$8,931.00 "
LIGATION/BIOPSY TEMPORAL ARTERY,,"$5,256.00 "
LIGJ DIVJ&STRIP LONG SAPH SAPHFEM JUNCT KNE/BELW,,"$8,931.00 "
LIGMOUS RCNSTJ AGMNTJ KNE INTRA-ARTICULAR XTR,,"$40,644.00 "
LIPID PANEL,,$252.00 
LIPOPROTEIN (A),,$244.50 
LIPOPROTEIN BLOOD ELECTROPHORECTIC SEP&QUAN,,$213.00 
LIPOPROTEIN BLOOD HIGH RESOLTJ&QUANTJ SUBCLASS,,$469.50 
LIPOPROTEIN BLOOD QUAN NUMBERS & SUBCLASSES,,$597.00 
LIPOPROTEIN DIR MEAS HIGH DENSITY CHOLESTEROL,,$201.00 
LIPOPROTEIN DIRECT MEASUREMENT LDL CHOLESTEROL,,$234.00 
LIPOPROTEIN DIRECT MEASUREMENT VLDL CHOLESTEROL,,$192.00 
LIPOPROTEIN-ASSOCIATED PHOSPHOLIPASE A2,,$642.00 
LITHOLAPAXY COMP/LG > 2.5 CM,,"$9,226.50 "
LITHOLAPAXY SMPL/SM <2.5 CM,,"$9,619.50 "
LITHOTRIPSY XTRCORP SHOCK WAVE,,"$10,366.50 "
LIVER & SPLEEN IMAGING STATIC ONLY,TC,"$1,870.50 "
LIVER IMAGING SPECT,TC,"$5,809.50 "
LIVER IMAGING SPECT W/VASCULAR FLOW,TC,"$2,572.50 "
LIVER IMAGING W/VASCULAR FLOW,TC,"$5,809.50 "
LMPHOCYTOTOXICITY ASSAY VIS CROSSMTCH W/O TITRAT,,$499.50 
LOCALIZE CEREBRAL SEIZURE CPTR PORTABLE EEG,TC,"$3,535.50 "
LOUDNESS BALANCE BINAURAL/MONAURAL,,$756.00 
LUTEINIZING RELEASING FACTOR,,$283.50 
LYMPHATICS & LYMPH NODES IMAGING,TC,"$2,572.50 "
LYMPHOCYTE TR MITOGEN/AG INDUCED BLASTOGENESIS,,$807.00 
LYMPHOCYTOTOXICITY ASSAY VIS CROSSMATCH TITRATJ,,$721.50 
LYSIS INTRANASAL SYNECHIA,,"$1,881.00 "
M/PHMTRC ALYS ISH CPTR-ASST TECH 1ST PROBE STAIN,TC,"$1,878.00 "
