Service Description,CPT/HCPCS Code,Charge
INCISION & DRAINAGE ABSCESS COMPLICATED OR MULTIPLE,10061,646.00
INCISION & DRAINAGE ABSCESS CYCT OR HEMATOMA SUBLINGUAL SUPERFICIAL,41005,960.00
INCISION & DRAINAGE ABSCESS PERITONSILLAR,42700,836.00
INCISION & DRAINAGE ABSCESS SIMPLE OR SINGLE,10060,482.00
INCISION & DRAINAGE BARTHOLIN'S GLAD ABSCESS,56420,420.00
INCISION & DRAINAGE DEEP SUPRALEVATOR PELVIRECTAL RETRORECTAL ABSCESS,45020,5020.00
INCISION & DRAINAGE ISCHIORECTAL AND/OR PERIRECTAL ABSCESS,46040,5035.00
INCISION & DRAINAGE LACRIMAL GLAND,68400,2762.00
INCISION & DRAINAGE LACRIMAL SAC,68420,5788.00
INCISION & DRAINAGE OF EPIDIDYMIS TESTIS AND/OR SCROTAL SPACE,54700,2951.00
INCISION & DRAINAGE OF HEMATOMA SEROMA OR FLUID COLLECTION,10140,1472.00
INCISION & DRAINAGE OF SUBMUCOSAL ABSCESS RECTUM,45005,3288.00
INCISION & DRAINAGE PELVIS OR HIP JOINT AREA DEEP ABSCESS OR HEMATOMA,26990,5705.00
INCISION & DRAINAGE PERIANAL ABSCESS SUPERFICIAL,46050,2552.00
INCISION & DRAINAGE PILONDIAL CYST COMPLICATED,10081,1398.00
INCISION & DRAINAGE PILONDIAL CYST SIMPLE,10080,814.00
INCISION & DRAINAGE POST OP WOUND INFECTION COMPLEX,10180,7190.00
INCISION & DRAINAGE SOFT TISSUE ABSCESS SUBFASCIAL,20005,3306.00
INCISION & DRAINAGE UPPER ARM OR ELBOW AREA BURSA,23931,1570.00
INCISION & DRAINAGE UPPER ARM OR ELBOW DEEP ABSCESS OR HEMATOMA,23930,4276.00
INCISION & DRAINAGE VULVA OR PERINEAL ABSCESS,56405,487.00
INCISION & REMOVAL OF FOREIGN BODY SUBCUTANEOUS TISSUE COMPLICATED,10121,2627.00
INCISION & REMOVAL OF FOREIGN BODY SUBCUTANEOUS TISSUE SIMPLE,10120,334.00
INCISION OF CONJUNCTIVA DRAINAGE OF CYST,68020,2419.00
INCISION OF LINGUAL FRENUM,41010,2193.00
INCISION THROMBOSED HEMORRHOID EXTERAL,46083,516.00
INCISIONAL BIOPSY OF EYELID SKIN INCLUDING LID MARGIN,67810,1309.00
INCISIONAL BIOPSY SKIN EA SEP/ADDITIONAL LESION,11107,7065.00
INCISIONAL BIOPSY SKIN SINGLE LESION,11106,5308.00
INDICATOR DILUTION STUDIES W/ARTERIAL/VENOUS CATH W/CARDIAC OUTPUT MEAS,93561,85.00
INDICATOR DILUTION STUDIES W/ARTERL/VENOUS CATH W/CARD OUTPT MEAS SUBSQ,93562,80.00
INDOCYANINE-GREEN ANGIOGRAPHY WITH INTERPRETATION AND REPORT,92240,746.00
INFECTIOUS AGENT ANTIBODY QUALITATIVE OR SEMIQUANTITATIVE,86318,107.00
INFECTIOUS AGENT ANTIBODY QUANTITATIVE,86317,241.00
INFECTIOUS AGENT ANTIGEN IMMUNOASSAY TECHNIQUE SINGLE/ORG,87450,39.00
INFECTIOUS AGENT ANTIGEN NOS IMMUNOASSAY TECHNIQUE/ORG,87449,274.00
INFECTIOUS AGENT ANTIGEN POLYVALENT MULTIPLE IMMUNOASSAY TECHNIQUE,87451,39.00
INFECTIOUS AGENT NUCLEIC ACID PROBE AMPLIFIED,87798,315.00
INFECTIOUS AGENT NUCLEIC ACID PROBE DIRECT,87800,238.00
"INFLUENZA A ANTIBODIES, RAPID",86710,92.00
INFLUENZA A ASSAY W/OPTIC,87804,121.00
INFLUENZA B ASSAY W/OPTIC,87804,121.00
INFLUENZA VIRUS DNA AMPLIFIED PROBE > 2 EA ADDL,87503,171.00
INFLUENZA VIRUS DNA AMPLIFIED PROBE 1ST TWO TYPES,87502,407.00
INFLUENZA VIRUS DNA AMPLIFIED PROBE EA TYPE,87501,424.00
INFLUENZA W/DIRECT OPTICAL OBSERVATION,87804,121.00
INFUSION OR INSTILLATION OF RADIOELEMENT SOLUTION,77750,767.00
INGESTION CHALLENGE TEST EACH ADD 60 MINUTES,95079,706.00
INGESTION CHALLENGE TEST INITIAL 120 MINUTES OF TESTING,95076,1557.00
INHALATION BRONCHIAL CHALLENGE TEST,95070,701.00
INHALATION TREATMENT PRESSURE OR NONPRESSURE,94640,121.00
INITIAL TREATMENT FIRST DEGREE BURN,16000,441.00
INJ ARTHROGRAM HIP W ANES,27095,1272.00
INJ LYMPHANGIOGRAM,38790,287.00
INJECT AGENT PARAVERTEBRAL FACET JOINT W/IMG CERV/THOR SINGLE LEVEL,64490,2999.00
INJECT AGENT PARAVERTEBRAL FACET JOINT W/IMG CERVICAL/THORACIC 2ND LEVEL,64491,1835.00
INJECT AGENT PARAVERTEBRAL FACET JOINT W/IMG CERVICAL/THORACIC 3RD+ LVL,64492,1787.00
INJECT AGENT PARAVERTEBRAL FACET JOINT W/IMG LUMBAR/SACRAL 2ND LEVEL,64494,1794.00
INJECT AGENT PARAVERTEBRAL FACET JOINT W/IMG LUMBAR/SACRAL 3RD+ LEVEL,64495,1813.00
INJECT AGENT PARAVERTEBRAL FACET JOINT W/IMG LUMBAR/SACRAL SINGLE LEVEL,64493,2133.00
INJECT ANESTHETIC/STEROID TRANSFORAMINAL EPID W/IMG CERV/THOR EA AD LVL,64480,1869.00
INJECT ANESTHETIC/STEROID TRANSFORAMINAL EPID W/IMG CERV/THOR SING LVL,64479,1782.00
INJECT ANESTHETIC/STEROID TRANSFORMNL EPD W/IMG LUMBAR/SACRAL EA AD LVL,64484,1632.00
INJECT ANESTHETIC/STEROID TRANSFORMNL EPID W/IMG LUMBAR/SACRAL SING LVL,64483,1669.00
INJECT ANTEGRADE NEPHROSTOGRAM/URETEROGRAM INCL IMAGING RAD S&I EXST ACC,50431,2496.00
INJECT ANTEGRADE NEPHROSTOGRAM/URETEROGRAM INCL IMAGING RAD S&I NEW ACC,50430,1155.00
INJECT CHOLANGIOGRAPHY PERCUT COMPLETE DIAG W/IMAGE S&I EXIST ACCESS,47531,1842.00
INJECT URETHROCYSTOGRAM CHAIN,51605,808.00
INJECTION ALLERGY 2 OR MORE,95117,139.00
INJECTION ALLERGY ONE W/O EXTRACTS,95115,139.00
INJECTION ANESTHETIC AGENT AXILLARY NERVE,64417,1004.00
INJECTION ANESTHETIC AGENT BRACHIAL PLEXUS CONTINUOUS INFUSION BY CATH,64416,2221.00
INJECTION ANESTHETIC AGENT BRACHIAL PLEXUS SINGLE,64415,1428.00
INJECTION ANESTHETIC AGENT CELIAC PLEXUS,64530,1072.00
INJECTION ANESTHETIC AGENT FACIAL NERVE,64402,468.00
INJECTION ANESTHETIC AGENT FEMORAL NERVE CONTINUOUS INF BY CATHETER,64448,2221.00
INJECTION ANESTHETIC AGENT FEMORAL NERVE SINGLE,64447,2105.00
INJECTION ANESTHETIC AGENT GREATER OCCIPITAL NERVE,64405,1424.00
INJECTION ANESTHETIC AGENT INTERCOSTAL NERVE SINGLE,64420,773.00
INJECTION ANESTHETIC AGENT INTERCOSTAL NERVES MULTIPLE REGIONAL BLOCK,64421,1438.00
INJECTION ANESTHETIC AGENT LUMB PLEX POST APPROACH CONTIN INF BY CATH,64449,2221.00
INJECTION ANESTHETIC AGENT LUMBAR OR THORACIC,64520,2405.00
INJECTION ANESTHETIC AGENT OTHER PERIPHERAL NERVE OR BRANCH,64450,747.00
INJECTION ANESTHETIC AGENT PUDENDAL NERVE,64430,2221.00
INJECTION ANESTHETIC AGENT SCIATIC NERVE CONTINUOUS INF BY CATHETER,64446,2221.00
INJECTION ANESTHETIC AGENT SCIATIC NERVE SINGLE,64445,1889.00
INJECTION ANESTHETIC AGENT SPHENOPALATINE GANGLION,64505,868.00
INJECTION ANESTHETIC AGENT SUPERIOR HYPOGASTRIC PLEXUS,64517,2221.00
INJECTION ANESTHETIC AGENT SUPRASCAPULAR NERVE,64418,1145.00
INJECTION ANESTHETIC AGENT TRIGEMINAL NERVE ANY DIVISION OR BRANCH,64400,752.00
INJECTION ANESTHETIC ILIOHYPOGASTRIC NERVES,64425,1386.00
INJECTION ANESTHETIC STELLATE GANGLION,64510,1237.00
INJECTION ANESTHETIC/STEROID PLANTAR COMMON DIGITAL NERVE(S),64455,752.00
INJECTION ANTERIOR CHAMBER OF EYE MEDICATION,66030,2431.00
INJECTION CHOLANGIOGRAM PERCUTANEOUS W/IMAGING GUIDANCE NEW ACCESS,47532,5124.00
INJECTION CONTRAST EVALUATION EXISTING G/D/J/G-J/C TUBE PERCUTANEOUS,49465,2153.00
INJECTION CORPORA CAVERNOSA WITH PHARMACOLOGIC AGENT(S),54235,266.00
INJECTION DIAG/THERAP SUBST(S) INTERLAMINAR CERV OR THORACIC W/O IMAG,62324,1379.00
INJECTION DIAG/THERAP SUBST(S) INTERLAMINAR CERVICAL OR THORACIC W IMAG,62321,1641.00
INJECTION DIAG/THERAP SUBST(S) INTERLAMINAR CERVICAL OR THORACIC W/O IMG,62320,1908.00
INJECTION DIAG/THERAP SUBST(S) INTERLAMINAR LUMBAR OR SACRAL W IMAG,62323,1896.00
INJECTION DIAG/THERAP SUBST(S) INTERLAMINAR LUMBAR OR SACRAL W/O IMAG,62322,1816.00
INJECTION DUCTOGRAM/GALACTOGRAM,19030,770.00
INJECTION DURING CARDIAC CATH S&I FOR PULMONARY ANGIOGRAPHY,93568,985.00
INJECTION DURING CARDIAC CATH S&I FOR SUPRAVALVULAR AORTOGRAPHY,93567,687.00
INJECTION DURING CARDIAC CATH S&I SELECT ART BYP GRAFT CONGEN HRT CATH,93564,983.00
INJECTION DURING CARDIAC CATH S&I SELECT CORON ANGIOGR CONGEN HRT CATH,93563,852.00
INJECTION DURING CARDIAC CATH S&I W/SELECT LT VENT/ATRIAL ANGIOGRAPHY,93565,827.00
INJECTION DURING CARDIAC CATH S&I W/SELECT RT VENT/ATRIAL ANGIOGRAPHY,93566,948.00
INJECTION EPIDURAL OF BLOOD OR CLOT PATCH,62273,1189.00
INJECTION INTRALESIONAL MORE THAN 7 LESIONS,11901,281.00
INJECTION INTRALESIONAL UP TO AND INCLUDING 7 LESIONS,11900,204.00
INJECTION INTRAOPERATIVE PANCREATOGRAPHY,48400,410.00
INJECTION INTRAVENOUS THERAPEUTIC/PROPHYLACTIC/DIAGNOSTIC INITIAL,96374,270.00
INJECTION INTRAVENOUS THERAPEUTIC/PROPHYLACTIC/DIAGNOSTIC SEQUENTIAL NEW,96375,249.00
INJECTION LUMB FOR MYELOGRAPHY/CT DIFF MD,62284,1685.00
INJECTION LUMBAR W/MYELOGRAPHY 2+ REGIONS SAME MD S&I,62305,1874.00
INJECTION LUMBAR W/MYELOGRAPHY CERVICAL SAME MD S&I,62302,1767.00
INJECTION LUMBAR W/MYELOGRAPHY SUPERVISION SAME MD S&I,62304,1647.00
INJECTION MEDICATION OR OTHER SUBSTANCE INTO TENON'S CAPSULE,67515,1366.00
INJECTION OF AIR OR CONTRAST INTO PERITONEAL CAVITY,49400,611.00
INJECTION OF CONTRAST FOR KNEE ARTHROGRAPHY,27370,620.00
INJECTION OF CONTRAST MEDIUM FOR DACRYOCYSTOGRAPHY,68850,363.00
INJECTION OF SCLEROSING SOLUTION HEMORRHOIDS,46500,1726.00
INJECTION OF SINUS TRACT DIAGNOSTIC,20501,784.00
INJECTION OF SINUS TRACT THERAPEUTIC,20500,1939.00
INJECTION OF VITREOUS SUBSTITUTE PARS PLANA OR LIMBAL APPROACH,67025,6881.00
INJECTION PROCEDURE EXTREMITY VENOGRAPHY,36005,1569.00
INJECTION PROCEDURE FOR ANKLE ARTHROGRAPHY,27648,545.00
INJECTION PROCEDURE FOR CORPORA CAVERNOSOGRAPHY,54230,3884.00
INJECTION PROCEDURE FOR CYSTOGRAPHY OR VOIDING URETHROCYSTOGRAPHY,51600,868.00
INJECTION PROCEDURE FOR DISCOGRAPHY EACH LEVEL CERVICAL OR THORACIC,62291,987.00
INJECTION PROCEDURE FOR DISCOGRAPHY EACH LEVEL LUMBAR,62290,1899.00
INJECTION PROCEDURE FOR ELBOW ARTHROGRAPHY,24220,696.00
INJECTION PROCEDURE FOR HIP ARTHROGRAPHY WITHOUT ANESTHESIA,27093,953.00
INJECTION PROCEDURE FOR RETROGRADE URETHROCYSTOGRAPHY,51610,896.00
INJECTION PROCEDURE FOR SACROILIAC JOINT ARTHROGRAPHY,27096,2222.00
INJECTION PROCEDURE FOR SPLENOPORTOGRAPHY,38200,544.00
INJECTION PROCEDURE FOR TEMPOROMANDIBULAR JOINT ARTHROGRAPHY,21116,146.00
INJECTION PROCEDURE FOR WRIST ARTHROGRAPHY,25246,577.00
INJECTION PROCEDURE RADIOACTIVE TRACER FOR IDENTIFICATION SENTINEL NODE,38792,1160.00
INJECTION PROCEDURE SHOULDER ARTHROGRAPHY OR ENHANCED CT/MRI,23350,803.00
INJECTION PROCEDURE VISUALIZATION ILEAL CONDUIT AND/OR URETEROPYELOGRPHY,50690,631.00
INJECTION PROCEDURES PERCUTANEOUS TREATMENT EXTREMITY PSEUDOANEURYSM,36002,937.00
INJECTION SACROILIAC JOINT ANESTHETIC/STEROID/OTHER THERAPEUTIC AGENT,27096,2222.00
INJECTION SCLEROSANT MULTI INCOMPETENT VEINS OTHER THAN TELANGIECTASIA,36471,847.00
INJECTION SCLEROSANT SINGLE INCOMPETENT VEIN OTHER THAN TELANGIECTASIA,36470,1127.00
INJECTION SIALOGRAPHY,42550,385.00
INJECTION THERAPEUTIC CARPAL TUNNEL,20526,466.00
INJECTION URETEROGRAPHY,50684,368.00
INJECTION(S) SINGLE OR MULTIPLE TRIGGER POINT(S) 1 OR 2 MUSCLE(S),20552,630.00
INJECTION(S) SINGLE OR MULTIPLE TRIGGER POINT(S) 3 OR MORE MUSCLES,20553,578.00
INJECTION(S) SINGLE TENDON ORIGIN/INSERTION,20551,414.00
INJECTION(S) SINGLE TENDON SHEATH OR LIGAMENT APONEUROSIS,20550,551.00
INJECTION/INFUSION NEUROLYTIC SUBSTANCE EPIDURAL CERVICAL THORACIC,62281,2179.00
"INJECTION/INFUSION OF NEUROLYTIC SUBSTANCE EPIDURAL, LUMBAR, SACRAL",62282,1104.00
INJECTION/INFUSION OF NEUROLYTIC SUBSTANCE SUBARACHNOID,62280,2687.00
INJECTIONS OF SCLEROSING SOLUTIONS SPIDER VEINS LIMB OR TRUNK,36468,435.00
INLAY RESIN BASED COMPOSITE ONE SURFACE,D2650,420.00
INSERT CECOSTOMY/OTHER COLONIC TUBE PERCUT UNDER FLUORO W/CONTRAST,49442,2152.00
INSERT DUODENOSTOMY/JEJUNOSTOMY TUBE PERCUT UNDER FLUORO W/CONTRAST,49441,3740.00
INSERT OR REPLACE DEFIBRILLATOR W/LEAD SGL/DUAL CHAMBER,33249,49973.00
INSERT PERIPHERAL INSERT CENTRAL VENOUS ACCSS DEV W/SUBCUT PORT >=5 YRS,36571,5636.00
INSERT PICVAD W PORT <5YRS,36570,8332.00
INSERT TCVAD W PORT<5YRS,36560,10583.00
INSERT TUNNELD CENT INSERT CENTRAL VENOUS ACC DEV W/SUBCUT PORT >=5 YRS,36561,7928.00
INSERT TUNNELED CENTRAL INSERT CENTRAL VENOUS CATH W/O PORT/PUMP >5 YRS,36558,4538.00
INSERT/PLACE FLOW DIRECTED CATHETER FOR MONITORING PURPOSES,93503,3073.00
INSERTION CERVICAL DILATOR,59200,641.00
INSERTION DEVICE CENTRAL VENOUS TUNNELED 2 SITES W/O PORT/PUMP,36565,5065.00
INSERTION GASTROSTOMY TUBE PERCUT UNDER FLUORO W/CONTRAST INJECTION(S),49440,2029.00
INSERTION IMPLANTABLE DEFIBRILLATOR PULSE GENERATOR ONLY W/EXIST 1 LEAD,33240,99210.00
INSERTION INTRAVASCULAR VENA CAVA FILTER ENDOVASCULAR APPROACH,37191,15472.00
INSERTION NASAL SEPTAL PROSTHESIS,30220,4505.00
INSERTION NEW/REPLACEMENT PERM PACEMAKER W/TRANSVEN ELECTR(S) ATRL&VNTRC,33208,29848.00
INSERTION NEW/REPLACEMENT PERM PACEMAKER W/TRANSVEN ELECTRODE(S) ATRIAL,33206,20340.00
INSERTION NEW/REPLACEMENT PERM PACEMAKER W/TRANSVEN ELECTRODE(S) VENTRIC,33207,16328.00
INSERTION NON-BIODEGRADABLE DRUG DELIVERY IMPLANT,11981,150.00
INSERTION NON-INDWELLING BLADDER CATHETER,51701,194.00
INSERTION NON-TUNNELD CENTRAL INSERTED CENTRAL VENOUS CATHETER < 5 YEARS,36555,1566.00
INSERTION NON-TUNNELD CENTRAL INSERTED CENTRAL VENOUS CATHETER > 5 YEARS,36556,2230.00
INSERTION OF INDWELLING TUNNELED PLEURAL CATHETER WITH CUFF,32550,6795.00
INSERTION OF INTRA-AORTIC BALLOON ASSIST DEVICE PERCUTANEOUS,33967,2894.00
INSERTION OF INTRAOCULAR LENS PROSTHESIS W/O CATARACT REMOVAL,66985,9631.00
INSERTION OF INTRAUTERINE DEVICE,58300,678.00
INSERTION OF PERITONEAL-VENOUS SHUNT,49425,3726.00
INSERTION OF TUNNELED INTRAPERITONEAL CATHETER FOR DIALYSIS OPEN,49421,8268.00
INSERTION PACEMAKER PULSE GENERATOR ONLY WITH EXISTING DUAL LEADS,33213,13929.00
INSERTION PACING ELECTRODE CARDIAC VENOUS SYS TO PREV PLACED PCMKR/GEN,33224,15012.00
INSERTION PACING ELECTRODE FOR LT VENTRICULAR PACING W/INSERT PCMKR/GEN,33225,28247.00
INSERTION PERIPHERALLY INSERTED CV ACCESS DEVICE W/SUBCUTNEOUS PORT(S),36566,11638.00
INSERTION PERIPHERALLY INSERTED PICC W/O SUBCUTANEOUS PORT OR PUMP<5 YRS,36568,1829.00
INSERTION PERIPHERALLY INSERTED PICC W/O SUBCUTANEOUS PORT OR PUMP>5 YRS,36569,2227.00
INSERTION REPLACEMENT DEFIBRILLATORY SYSTEM WIT SUBCUTANEOUS ELECTRODE,33270,47502.00
INSERTION SINGLE TRANSVEN ELECTRODE PERMANENT PACEMAKER OR IMPLANT DEFIB,33216,8359.00
INSERTION SUBCUTANEOUS IMPLANTABLE DEFIBRILLATOR ELECTRODE,33271,18249.00
INSERTION SUBQ CARDIAC RHYTHM MONITOR W/PRGRMG,33285,20362.00
INSERTION TEMPORARY INDWELLING BLADDER CATHETER COMPLICATED,51703,426.00
INSERTION TEMPORARY INDWELLING BLADDER CATHETER SIMPLE,51702,359.00
INSERTION TRANSVENOUS INTRAHEPATIC PORTOSYSTEMIC SHUNT(S),37182,10412.00
INSERTION TUNNELED CENTRALLY INSERTED CENTRAL VENOUS ACCESS DEV W/PUMP,36563,6009.00
INSERTION TUNNELED CENTRALLY INSERTED CVA DEVICE WO P/P <5YRS,36557,8332.00
INSERTION TUNNELED INTRAPERITONEAL CATHETER PERCUTANEOUS,49418,8468.00
INSERTION UTERINE TANDEM/VAGINAL OVOIDS FOR CLINICAL BRACHYTHERAPY,57155,2550.00
INSERTION VENTRICULAR ASSIST DEVICE PERCUTANEOUS ARTERIAL ACCESS ONLY,33990,14491.00
INSERTION WIRE OR PIN W/APPLICATION SKELETAL TRACTION INCLUDING REMOVAL,20650,3389.00
INSERTION/REPLACEMENT TEMP TRANSVEN SGL CHAMB CARDIAC ELECTRD/PACER CATH,33210,9526.00
INSTILLATION VIA CHEST TUBE/CATHETER AGENT FOR PLEURODESIS,32560,2121.00
INSTR-BASED OCULAR SCREENING BILATERAL W/REMOTE ANALYSIS AND REPORT,99174,664.00
INSULIN FREE,83527,174.00
INSULIN SUPPRESSION PANEL,80432,1114.00
INSULIN TOLERANCE ACTH,80434,834.00
INSULIN TOLERANCE GROWTH HORMONE,80435,850.00
INTACT PARATHYROID,83970,280.00
INTENSITY MODULATED RADIATION TREATMENT DELIVERY COMPLEX,77386,3280.00
INTENSITY MODULATED RADIATION TREATMENT DELIVERY SIMPLE,77385,3280.00
INTENSITY MODULATED RADIOTHERAPY PLAN W/DOSE-VOLUME HISTOGRAMS,77301,7517.00
INTERACTIVE COMPLEXITY,90785,292.00
INTERPRETATION OR EXPLANATION OF RESULTS TO FAMILY,90887,304.00
INTERROG DEV EVAL <90 DAYS SGL/DUAL/MULT LD PACER/DEFIB REM TECH SUPPORT,93296,146.00
INTERROG DEV EVAL REMOTE <30 DAYS IMPL CV MONIT/LOOP REC TECH SUPPORT,93299,174.00
INTERROG DEV EVAL W/ANALYS/REV/REP MD/QHP<90 DAYS SGL/DUAL/MULT LD DEFIB,93295,155.00
INTERROG DEV EVAL W/ANALYS/REV/REP MD/QHP<90 DAYS SGL/DUAL/MULT LD PACER,93294,1494.00
INTERROGAT DEVCE EVAL W/ANALYSIS REV&REP MD/QHP REC & DISC IMPL LD DEFIB,93261,144.00
INTERROGATION DEV EVAL REMOTE <=30 DAYS CARDIOVASCULAR MONITOR SYST,93297,94.00
INTERROGATION DEV EVAL W/ANALYS/REV/REP MD/QHP SGL/DUAL/MULT TRANSV DEFB,93289,155.00
INTERROGATION DEV EVAL W/ANALYSIS/REV/REP MD/QHP 1/2/MULT LEAD PACEMAKER,93288,304.00
INTERROGATION DEV EVAL W/ANALYSIS/REV/REP MD/QHP CARDIOVASC MONITR SYST,93290,231.00
INTERROGATION DEV EVAL W/ANALYSIS/REV/REP MD/QHP LOOP RECORDER SYST,93291,174.00
INTERROGATION DEV EVAL W/ANALYSIS/REV/REP MD/QHP WEAR DEFIBRILLATOR SYST,93292,155.00
INTERROGATION DEVICE EVALUATION W/ANALYSIS REVIEW & REP LEADLESS PACER,0391T,184.00
INTERSITITAL DEVICE PLACEMENT OPEN FOR RADIATION,49412,315.00
INTERSTITIAL RADIATION SOURCE APPLICATION,77799,2271.00
INTERSTITIAL RADIATION SOURCE APPLICATION COMPLEX,77778,6409.00
INTRACARDIAC CATH ABLATION ATRIOVENTRICULAR NODE FUNCTION,93650,9040.00
INTRACARDIAC CATH ABLATION DISCRETE MECHANISM ARRHYTHMIA,93655,16993.00
INTRACARDIAC ECHOCARDIOGRAPHY THERAP/DIAG INTERVENTION W/S&I,93662,6141.00
INTRACARDIAC ELECTROPHYSIOLOGIC 3-DIMENSIONAL MAPPING,93613,10449.00
INTRACAVITARY RADIATION SOURCE APPLICATION COMPLEX,77763,3374.00
INTRACAVITARY RADIATION SOURCE APPLICATION SIMPLE,77761,2852.00
INTRACUT TESTS W/ALLRG EXTRACTS IMMED REACT W/INT&REP SPEC NUMBER TESTS,95024,128.00
INTRACUTANEOUS TESTS W/ALLERGENIC EXTRACTS DELAYED REACTION W/READING,95028,128.00
INTRA-OPERATIVE EPICARDIAL/ENDOCARDIAL PACING/MAPPING FOR SURG CORRECT,93631,6490.00
INTRAORAL INC&DRAIN ABSCESS CYST HEMATOMA TONGUE/FLOOR MTH SUBMNDB SPAC,41008,4505.00
INTRAORAL INC&DRAIN ABSCESS CYST HEMATOMA TONGUE/FLOOR MTH SUBMNTL SPAC,41007,7065.00
INTRAPULMONARY SURFACTANT ADMIN MD/QHP THRU ENDOTRACHEAL TUBE,94610,238.00
INTRAVASC US DIAG EVAL/THERAP INTERVEN W/S&I 1ST VESSEL,92978,3371.00
INTRAVASC US DIAG/THERAP INTERVEN W/S&I ADDL VESSEL,92979,1283.00
INTRAVASCULAR PRESSURE FLOW ADDITIONAL VESSEL,93572,2701.00
INTRAVASCULAR PRESSURE FLOW INITIAL VESSEL,93571,4544.00
INTRAVASCULAR ULTRASOUND NONCORONARY DURING INTERVENTION W/S&I EA AD VSL,37253,2997.00
INTRAVASCULAR ULTRASOUND NONCORONARY DURING INTERVENTION W/S&I INIT VSL,37252,2754.00
INTRAVENOUS INFUSION ADDL SEQ NEW DRUG 1ST HR,96367,448.00
INTRAVENOUS INFUSION HYDRATION EA ADDL HR,96361,229.00
INTRAVENOUS INFUSION HYDRATION INT 31MIN-1HR,96360,534.00
INTRAVENOUS INFUSION THERAPEUTIC/PROPHYLACTIC/DX ADDITIONAL HR,96366,310.00
INTRAVENOUS INFUSION THERAPEUTIC/PROPHYLACTIC/DX CONCURRENT,96368,289.00
INTRAVENOUS INFUSION THERAPEUTIC/PROPHYLACTIC/DX INT<=1HR,96365,527.00
INTRAVENOUS INFUSION THERAPY/DIAGNOSIS INIT PROLONG INF >8 HRS REQ PUMP,C8957,1442.00
INTRAVENT/INTRA-ATRIAL MAP TACHYCARDIA SITE(S) W/CATH MANIP ID ORIGIN,93609,8925.00
INTRAVITREAL INJECTION OF A PHARMACOLOGIC AGENT,67028,1310.00
INTRINSIC FACTOR,83528,131.00
INTRO GUIDE RENAL PELVIS/URETER W/DILAT ESTAB NEPHRSTMY TRACT PERCUT,50395,5401.00
INTRODUCTION HEMOSTATIC AGENT FOR NONOBSTETRICAL VAGINAL HEMORRHAGE,57180,587.00
INTRODUCTION NEEDLE OR INTRACATHETER VEIN,36000,184.00
INTRODUCTION NEEDLE/CATH DIALYSIS CIRCUIT FLUORO RAD S&I,36901,3008.00
INTRODUCTION NEEDLE/CATH DIALYSIS CIRCUIT FLUORO WITH ANGIOPLSTY RAD S&I,36902,9079.00
INTRODUCTION NEEDLE/CATH DIALYSIS CIRCUIT FLUORO WITH STENT(S) RAD S&I,36903,3008.00
INTRODUCTION OF CATHETER AORTA,36200,1513.00
INTRODUCTION OF CATHETER RIGHT HEART OR MAIN PULMONARY ARTERY,36013,2225.00
INTRODUCTION OF CATHETER SUPERIOR OR INFERIOR VENA CAVA,36010,1954.00
INTRODUCTION OF LONG GASTROINTESTINAL TUBE,44500,1081.00
INTRODUCTION OF NEEDLE OR INTRACATHETER AORTIC TRANSLUMBAR,36160,1925.00
INTRODUCTION OF NEEDLE OR INTRACATHETER CAROTID OR VERTEBRAL ARTERY,36100,1679.00
INTRODUCTION OF NEEDLE OR INTRACATHETER UPPER/LOWER EXTREMITY ARTERY,36140,1783.00
INTUBATION ENDOTRACHEAL EMERGENCY PROCEDURE,31500,806.00
IPILIMUMAB 50 MG/10 ML (5 MG/ML) INTRAVENOUS SOLUTION,J9228,31890.90
IRIDOPLASTY BY PHOTOCOAGULATION,66762,1862.00
IRIDOTOMY/IRIDECTOMY LASER PER SESSION,66761,1951.00
IRINOTECAN 100 MG/5 ML INTRAVENOUS SOLUTION,J9206,143.12
IRINOTECAN 40 MG/2 ML INTRAVENOUS SOLUTION,J9206,82.45
IRON,83540,108.00
IRON BINDING CAPACITY,83550,109.00
IRON STAIN PERIPHERAL BLOOD,85536,50.00
"IRON, SERUM",83540,108.00
IRRADIATION OF BLOOD PRODUCT,86945,150.00
IRRIGATION IMPLANTED VENOUS ACCESS DEVICE FOR DRUG DELIVERY SYSTEMS,96523,255.00
IRRIGATION OF CORPORA CAVERNOSA FOR PRIAPISM,54220,722.00
ISLET CELL ANTIBODY,86341,219.00
ISOCITRIC DEHYDROGENASE (IDH) ENZYME,83570,73.00
ISONAZID,80299,182.00
JAK2 (JANUS KINASE 2) GENE PVAL617PHE VARIANT,81270,656.00
JO1 (ENA) AB,86235,193.00
JOHN CUNNINGHAM (JCV) ANTIBODY,86711,119.00
KETAMINE/NORKETAMIN DEFINITIVE ASSY,80357,259.00
KETOSTEROIDS (17-KS) FRACTIONATION URINE,83593,70.00
"KIDNEY BIOPSY, LEV 6",88309,925.00
KRAS (KIRSTEN RAT SARCOMA) GENE ANALYSIS EXON 2 VARIANTS,81275,1480.00
KYPHOPLASTY PERCUTANEOUS LUMBAR W/IMAGING GUIDANCE,22514,11708.00
KYPHOPLASTY PERCUTANEOUS THORACIC LUMBAR W/IMAGING GUIDANCE,22515,8103.00
KYPHOPLASTY PERCUTANEOUS THORACIC W/IMAGING GUIDANCE,22513,11708.00
L&D RECOVERY,,1720.00
L&D TRIAGE LEVEL I,99281,196.00
