IDENTIFIER,DESCRIPTION,CATEGORY OF SERVICE,CHARGE AMOUNT,
6036612,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$697.47,
6104283,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$697.84,
6081464,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$698.60,
6119018,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$698.60,
6030658,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$702.84,
6030658,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$702.84,
6032911,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$703.21,
6033008,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$704.43,
6030108,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$705.16,
6058461,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$705.16,
6058461,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$705.16,
6061995,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$707.48,
6021715,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$707.60,
6029191,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$707.60,
6060437,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$709.92,
6029288,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$711.99,
6030709,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$712.72,
6021756,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$719.80,
6079214,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$719.80,
6031318,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$721.14,
6030418,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$725.66,
6037069,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$732.00,
6037070,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$732.00,
6083773,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$732.00,
6095917,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$732.00,
6093745,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$737.86,
6103919,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$740.54,
6120844,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$741.15,
6030877,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$744.20,
6029054,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$746.40,
6030293,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$747.49,
6032910,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$750.79,
6032910,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$750.79,
6033105,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$750.79,
6033108,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$750.79,
6099412,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$750.79,
6030251,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$752.50,
6030452,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$753.96,
6031536,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$753.96,
6057743,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$753.96,
6062851,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$753.96,
6102785,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$756.40,
6036117,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$757.50,
6032488,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$762.01,
6032528,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$762.01,
6030822,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$762.13,
6036505,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$768.60,
6036459,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$770.67,
6031070,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$771.50,
6030492,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$771.53,
6031409,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$771.89,
6080691,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$772.26,
6032743,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$777.57,
6052195,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$780.80,
6031883,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$786.29,
6030368,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$786.66,
6032942,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$793.00,
6047506,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$793.00,
6052659,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$793.00,
6052665,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$793.00,
6058072,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$793.00,
6071969,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$793.00,
6076874,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$793.00,
6093829,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$793.00,
6119641,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$793.00,
6119642,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$793.00,
6104823,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$793.37,
6030582,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$794.22,
6031725,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$795.07,
6032620,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$797.27,
6097642,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$799.10,
6072220,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$802.03,
6031201,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$805.20,
6064145,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$805.20,
6083454,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$805.20,
6083461,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$805.20,
6083477,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$805.20,
6036930,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$808.37,
6036791,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$811.06,
6036791,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$811.06,
6030187,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$812.76,
6030194,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$812.76,
6032437,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$812.76,
6099000,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$823.50,
6110763,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$823.50,
6033936,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$829.11,
6033936,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$829.11,
6117710,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$829.36,
6117712,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$829.36,
6041232,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$829.60,
6071002,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$829.60,
6075781,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$829.60,
6105307,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$836.92,
6031686,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$841.80,
6072379,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$841.80,
6082918,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$841.80,
6030561,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$850.34,
6062095,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$850.34,
6021881,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$854.00,
6029170,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$854.00,
6038756,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$854.00,
6077227,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$854.00,
6086517,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$854.00,
6114422,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$854.00,
6030643,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$855.71,
6030643,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$855.71,
6029311,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$861.08,
6029313,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$861.08,
6031215,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$862.54,
6031172,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$874.37,
6082917,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$874.59,
6032817,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$878.40,
6097612,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$878.40,
6030133,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$879.99,
6103372,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$882.06,
6030598,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$886.82,
6029220,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$888.16,
6029221,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$888.16,
6031714,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$888.16,
6124716,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$890.60,
6031339,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$894.63,
6051075,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$896.09,
6031858,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$896.70,
6079989,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$898.77,
6081915,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$900.36,
6054335,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$901.09,
6032828,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$902.80,
6151584,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$902.80,
6036631,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$906.46,
6031652,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$909.51,
6064076,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$910.00,
6072384,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$913.29,
6047504,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$915.00,
6062065,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$915.00,
6080176,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$915.00,
6095715,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$915.00,
6106698,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$915.00,
6116949,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$915.00,
6119639,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$915.00,
6120471,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$915.00,
6150775,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$915.00,
6029672,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$926.10,
6030015,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$929.03,
6079447,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$931.23,
6031082,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$931.90,
6066576,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$933.30,
6068563,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$933.30,
6031376,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$939.40,
6020984,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$944.04,
6039207,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$946.72,
6095644,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$948.06,
6030724,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$948.67,
6083533,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$950.01,
6040191,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$950.62,
6050294,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$953.64,
6032923,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$954.65,
6032843,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$963.80,
6081996,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$963.80,
6124514,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$963.80,
6072697,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$965.26,
6073690,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$973.56,
6077428,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$975.12,
6081446,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$975.39,
6062087,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$976.00,
6078651,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$976.00,
6081668,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$976.00,
6094013,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$976.00,
6116988,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$976.00,
6057971,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$983.20,
6031822,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$983.93,
6032583,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$983.93,
6032783,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$983.93,
6080083,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$983.93,
6110132,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$983.93,
6071427,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$987.96,
6094834,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$987.96,
6093835,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$988.20,
6112695,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$988.20,
6093853,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$989.91,
6040210,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$992.71,
6030795,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$994.06,
6078054,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,$995.89,
6028804,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,000.40",
6028804,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,000.40",
6076406,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,000.40",
6084049,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,000.40",
6093977,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,000.40",
6150600,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,000.40",
6151585,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,000.40",
6075310,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,000.64",
6102508,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,002.23",
6073884,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,005.28",
6075239,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,006.50",
6077230,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,006.50",
6082436,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,006.50",
6082461,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,006.50",
6082463,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,006.50",
6110765,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,007.84",
6030186,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,009.55",
6032193,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,009.55",
6032940,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,009.55",
6113678,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,010.89",
6029093,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,014.06",
6029195,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,015.41",
6077423,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,017.85",
6030434,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,018.46",
6030434,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,018.46",
6073399,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,018.94",
6029121,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,019.68",
6032662,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,024.31",
6032680,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,024.31",
6034548,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,024.31",
6034011,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,024.80",
6150461,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,026.91",
6045817,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,027.73",
6150164,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,027.73",
6053393,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,029.68",
6078053,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,030.41",
6034999,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,030.78",
6051781,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,030.78",
6030987,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,032.85",
6076714,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,032.85",
6075622,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,035.66",
6097121,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,035.66",
6072754,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,037.00",
6073633,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,037.00",
6080271,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,037.00",
6093836,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,037.00",
6097684,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,037.00",
6097825,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,037.00",
6103243,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,042.98",
6058274,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,048.83",
6099992,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,049.20",
6032764,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,054.08",
6036406,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,056.52",
6034115,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,056.89",
6096557,MEDICAL/SURGICAL SUPPLIES AND DEVICES - OTHER IMPLANTS,Supply/Implant,"$1,058.72",
