PROCEDURE,DESCRIPTION,CPT CODE, CHARGE ,REV CODE
CSV001493,TUBE-THORACIC 28 FR TROCAR,,37,270
CSV001496,TUBE-CATHETER-THORACIC-16FR,,37,270
CSV004002,BASIN-BODY FLUID COLLECTION,,37,270
CSV004060,TUBE-G-18-24FR-DECLOGGER,,37,270
CSV004992,TRAY-FOLEY CATH 18FR LATEX,,37,270
CSV005151,ioan 2 6650EZ,,37,270
CSV004295,BULB-RESERVOIR 100CC,,37.15,270
CSV5898,PHLEBOTOMY BAG,,37.34,270
CSV000133,CATHETER-THORACIC-32FR,,37.5,270
CSV001115,SUTURE-5-0 PDS II Z493G,,37.5,270
CSV001230,LAVAGE TUBES 24FR,,37.5,270
CSV001231,LAVAGE TUBES  28FR,,37.5,270
CSV001232,LAVAGE TUBE 32 FR,,37.5,270
CSV002223,CATHETER-FOLEY 24FR 30CC,,37.5,270
CSV002420,ADAPTOR-AIRWAY-STRAIGHT,,37.5,270
CSV002607,DRESSING-REPLICARE 4x4,,37.5,270
CSV003898,BULB-ESOPHABEAL-INTUBATION,,37.5,270
PCC4411,PUMP-SETUP-INFUSION-PCC,,37.75,270
CSV000236,DRESSING-METRA-COMBIDERM-6X6,,38,270
CSV001155,T-PADS   DISP. 15 X 22 SMALL,,38,270
CSV001553,BLADE-NEEDLE TIP CAUT,,38,270
CSV003860,TUBE-INTRODUCER-BOUGIE-70cm15f,,38,270
CSV004778,SUTURE-ETH-6.0PC-1MONO-BLK,,38,270
CSV001201,TOOTHETTE KITS,,38.5,270
CSV003324,CATHETER-2 WAY-18FR 30CC,,38.5,270
CSV001089,CLAVICLE STRAP  X-LG W/VELCRO,,39,270
CSV002541,"STRIP-WEDGING- 2-1/2""WIDE",,39,270
CLI5220,EKG EQUIPMENT ONLY-CARDIO,,40,270
CSV002342,KIT-DRESSINGchangeCENTRAL LINE,,40,270
CSV003329,ELECTRODE-REM PLOYHESIVE II,,40,270
CSV003649,MATTRESS-OVERLAY NO PUMP,,40,270
CSV003896,SHOE-CAST-ROCKER-SMALL,,40,270
CSV001118,SUTURE-4-0 PROLENE 8682G,,40.5,270
CSV002995,"LIFTER-LEG-NORCO 42 1/2""",,40.5,270
CSV003214,DRAPE-U (3MD 1015),,40.5,270
CSV004255,NEEDLE-PORT CATH 19x3/4-GRPR,,40.5,270
CSV000945,CAST SHOE-ROCKER-MEDIUM,,41,270
CSV001133,SUTURE-5-0 PLASTIC PDSII-Z495G,,41,270
CSV001861,EXERCISER-THUMB & FINGER,,41,270
CSV003230,GOWN-SURGICAL-XL-XLING MCRCL,,41,270
CSV004743,"TAPE-HYPAFIX-4""",,41,270
CSV000882,"ELECTRODES 2 1/4 X 4"" REHABILI",,41.5,270
CSV001002,SPLINT-COLLES-SMALL LEFT,,41.5,270
CSV001122,SUTURE-PROLENE-6-0 8695G,,41.5,270
CSV002766,NEEDLE-PORTACATH HUBER 19x1.5,,41.5,270
CSV004301,"BANDAGE-ELAS 6"" LF STERILE",,41.5,270
CSV005140,COVER.TRANSDUCER.ULTRASOUND,,42,270
CSV001441,PULLEY-SHOULDER,,42.5,270
CSV002687,NEEDLE-PORTACATH ULTRASITE22x1,,42.5,270
CSV003955,NEEDLE-PORTCATH-GRIPPER-19x3/4,,42.5,270
CSV000959,SLING-CHILD'S ARM-W/COLLAR-CUF,,43,270
CSV001123,SUTURE-PROLENE-7-0 8648G,,43,270
CSV001214,LAVAGE TRAY 34FR  GAST/EDLICH,,43,270
CSV003088,SUTURE-TI/CRON 3117-71,,43,270
CSV003424,"DRAIN-PENROSE-SILICONE 12""",,43,270
CSV003425,"DRAIN-PENROSE-SILICONE-8""STER",,43,270
CSV004801,"DRAPE-HAND-114""x75""-SURG",,43,270
CSV001003,SPLINT-COLLES-SMALL-RIGHT,,44,270
CSV001497,DRESSING-HYDROCOL 5 X 5,,44,270
CSV004882,SLING-HEMISLING-UNVIERSAL,,44,270
CSV005128,MASK.LARYNGEAL.SIZE.5,,44,270
CSV001156,T-PAD-DISPOSABLE-LG-18x26,,45,270
CSV003399,DRESSING-HYDROGEL-WOUND,,45,270
CSV001121,SUTURE-6-0 PROLENE-8680G,,45.5,270
CSV001359,ARMBOARD-BENDABLE-LARGE,,46,270
CSV001400,PROBE-ETCO 2,,46,270
CSV001440,LUMBAR ROLL-REGULAR,,46,270
CSV002351,SLING-HEMI HARRIS LEFT,,46,270
CSV004626,POSITIONER-SHOULDER-MDLINE-SFT,,46,270
CSV005417,TRAP-MoistureFiltrNoninRepSens,,46,270
CSV000306,"SHOE ON-EZ-25""",,47,270
CSV002064,DRAIN-RESERVOIR-JACKSON PRATT,,47,270
CSV000586,MEDI- DUCT,,47.5,270
CSV002668,KIT-PATIENT ATTACHMENT,,47.5,270
CSV003110,KIT-LACERATION DELUXE,,47.5,270
CSV003315,CATHETER-SILICONE-8FR 3CC,,47.5,270
CSV003316,CATHETER-FOLEY-10FR 3CC,,47.5,270
CSV001000,SPLINT-COLLES-MED-LEFT,,48,270
CSV001001,SPLINT-COLLES-MED-RIGHT,,48,270
CSV004019,TRAY-PORT ACCESS-SORBAVIEW,,48,270
CSV004883,"COLLAR-CERVICAL-SOFT-2x25""",,48,270
CSV004273,DRAPE C-ARM LF MICROTEK,,48.2,270
CSV001413,HEAT BALL-MOIST (OT),,48.5,270
CSV002257,"BELT-GAIT-TRANSFER-PASTEL-60""",,48.5,270
CSV003391,BRACE-WRIST-EX SM-LEFT-CANVAS,,48.5,270
CSV003392,BRACE-WRIST-EX SM-RIGHT-CANVAS,,48.5,270
CSV003395,"STOCKINETTE-STERILE 9""x4'",,48.5,270
CSV002224,"BELT-GAIT 54"" (TRANSFER WHITE)",,49,270
CSV002225,"BELT-GAIT 60"" (RAINBOW PASTEL)",,49,270
CSV004003,BLANKET-BAIR HUGGER-TORSO,,49,270
CSV005338,PASTE-PROTECTANT-ZINC-4oz,,49,270
CSV003325,TRAY-FOLEY-ADD ON- LATEX,,49.5,270
CSV000698,"PACK-SHEET-LAP-72""x102""",,50,270
CSV004800,BURR TIP-LT-OPTHAL 1.0,,50,270
CSV000943,CAST SHOE-ROCKER-SMALL,,50.5,270
CSV001769,"DRESSING-FLEXZAN 4"" X 8""",,50.5,270
CSV003537,"STOCKINETTE -STERILE-9""x48""",,51,270
CSV005385,DRESSING-SACRUM.MEPILEX6.3x7.9,,51,270
CSV001190,TOILET AIDE-REGULAR (OT),,51.5,270
CSV004013,TRAY-CENTRAL LINE DRESSING CHG,,52.5,270
CSV004532,TOURNIQUET FINGER T-RING,,52.5,270
CSV005558,SET-INFUSionPowerLock20gNeedle,,53,270
CSV005599,SUTURE-VICRYL5-0Rapid Absoring,,53,270
CSV004283,CAUTERY FINE TIP DISP HI TEMP,,53.55,270
CSV002019,PACKING-WOUND-SORBSAN,,54,270
CSV002226,"BELT-GAIT 72"" (TRANSFER BLUE)",,54,270
CSV002477,KIT-RESUSCITATION MASK-ADULT,,54,270
CSV005353,CREAM-OLIVAMINE-ClearAid2.50oz,,54,270
CSV000110,TRAY-CATHERER-FOLEY,,54.5,270
CSV000944,CAST SHOE ROCKER LARGE,,54.5,270
CSV001087,CLAVICLE STRAP  X-SMALL  INFAN,,54.5,270
CSV003472,MATTRESS-EGGCRATE-CONVULT,,54.5,270
CSV000184,FLOWMETER-PEAK-TRU ZONE (RT),,55,270
CSV003897,DRESSING-BIOPATCH-ANTIMICROBIA,,55,270
CSV000946,CAST SHOE-ROCKER-EX LG,,55.5,270
CSV001085,CLAVICLE STRAP  CHILD SMALL,,55.5,270
CSV001086,CLAVICLE STRAP  LARGE,,55.5,270
CSV001843,"BOOT-UNNA-DOME PASTE 4""",,56,270
CSV003990,DRESSING-MEPILEX 5x8 HEEL,,56,270
CSV005337,CREAM-PHYTOPLEX-HYDRAGUARD-4oz,,56,270
CSV000847,BELT-POWER-SPINE-SMALL,,56.5,270
CSV003564,APPLICATOR-CHOLORAPREP,,58,270
CSV00148,TRACTION BELT-PELVIC-SMALL,,58.5,270
CSV002072,EXERCISER-THUMB (LATEX FREE),,58.5,270
CSV002686,NEEDLE-SAFETY 19X1 ULTRASITE,,58.5,270
CSV004254,SUTURE-ETHIBOND 1-0 OS-2 CX7 T,,58.55,270
CSV4950,TUBE-ENDO TRACH NASAL 5.5,,58.75,270
CSV000697,PACK-V-SETUP-BASIC,,59,270
CSV000891,BELT-RIB,,59,270
CSV003421,DRAPE-VACUMN-KCI ATS,,59,270
CSV004987,MASK  O2-PANORAMIC W/TUBING,,59,270
CSV002162,NEEDLE-ARROW TWIN CATH 16 GA,,59.5,270
CSV003884,DRAPE-PEDIATRIC-COLONOSCOPY,,60,270
CSV004542,AIR MASK-LARYNGEAL-SZE2-SINGLE,,60,270
CSV004543,AIR MASK-LARYNGEAL-SZE3-DISP,,60,270
CSV005159,THROMBIN,,60,270
CSV000113,CATHETER-FOLEY-8FR X 3 CC,,60.5,270
CSV001450,"UNNA BOOT 4""-CONATEC-(domepast",,60.5,270
CSV004269,"BELT-GAIT 60"" PT",,61,270
CSV005371,DRESSING-CALCIUM.ALGINATE.4x5,,61,270
CSV004636,MASK-PED-PARYNGEAL-DISP-SIZE 2,,61.5,270
CSV002180,SUTURE-ETHIBOND EXCEL 2-0MX833,,62,270
CSV002965,RESUSCITATOR-PED AMBU SPUR,,62,270
CSV004362,NEEDLE-INSULATED NERVE 22x2GA,,63.35,270
CSV001113,SUTURE-5-0 ETHILON 698G,,64,270
EMD3037,PUMP SET UP-PCA-EMD,,64.3,270
CSV001846,PACK-COLD-REUSABLE-LARGE,,64.5,270
CSV002442,TUBE-AIRWAY-NASO-34fr-AdjFLANG,,64.6,270
CSV002444,TUBE-AIRWAY-NASO-30fr-AdjFLANG,,64.6,270
CSV000890,RESUCITATOR ADULT,,65.5,270
CSV000998,SPLINT-COLLES-LARGE-LEFT,,66,270
CSV003174,COLLAR-CERVICAL-EXTRA SMALL,,66,270
CSV005381,CATHETER-20FR.5CC.COUDE,,66,270
CSV005382,CATHETER-22FR.5CC.COUDE,,66,270
CSV001248,URINARY DRAINAGE METER BAG,,66.5,270
CSV003215,DRAPE-EXTREMITY,,66.5,270
CSV004270,"BELT-GAIT STRIPE 72"" PT",,66.5,270
CSV005005,VALVE WHISPER SWIVEL DISP,,67,270
CSV003236,DETECTOR CO2 PEDI-CAP,,67.5,270
CSV002006,SUTURE-VICRYL 4-0 J507G,,68,270
CSV002733,BAG-AMBU ADULT,,69,270
CSV004756,SNARE-OVAL-FLEX-MED,,69.65,270
CSV004868,PAD-BED REPLACE 10x30,,70,270
CSV001124,MESH-PROLENE-3 X 3,,70.5,270
CSV000696,OXISENSOR II D-25 (RT),,71,270
CSV003578,MATTRESS-AIR-WITH PUMP,,71.5,270
CSV000703,NASAL PACKING WEIMART EPISTAXI,,72.5,270
CSV001379,SPLINT-WRIST-BLACK-RIGHT-LARGE,,72.5,270
CSV003400,DRESSING-FILLER WOUND HYDROGEL,,72.5,270
CSV001015,SPLINT-WRIST-COCKUP-LEFT-LG,,73,270
CSV004956,SNARE-POLECTOMY-2.8MM,,73,270
CSV000518,KIT-SAVE A TOOTH,,73.5,270
CSV003481,INSERT-POLYFLEX II,,73.5,270
CSV1010,TRAY-INSTRUMENT-EMER PROCEDURE,,73.5,270
CSV001988,SCREW-CORTICAL 14mm,,74,270
CSV001989,SCREW-CORTICAL 16mm,,74,270
CSV000941,POST-OP SHOE LARGE VELCRO,,74.5,270
CSV003204,OXISENSOR-MDL-ADULT,,75,270
CSV005336,CLEANSER-LOTION-REMEDY-8oz,,75,270
CSV005448,DRAPE-HIP-OR.wPOUCHES.STERILE,,75,270
CSV004529,SUTURE-VICRYL BC 5-0 ANITBAC,,75.46,270
CSV001471,CATHETER-IRRIGATION-3WAY 20FR,,75.5,270
CSV001489,"DRESSING VASELINE 6 X 36""",,75.5,270
CSV000940,POST-OP SMALL VELCRO SHOE,,76,270
CSV000942,SHOE-POST OF-VELCRO-MEDIUM,,76,270
CSV004470,SUTURE-4.0 ETH MERSILIENE P-3,,76.55,270
CSV001395,OXISENSOR II N-25 NEONAT&ADULT,,77,270
CSV001506,CATHETER-UMBILICAL VESSEL 5FR,,77.5,270
CSV004277,CATH FOLEY 16FR 5CC SILVER,,77.5,270
CSV004515,AIRWAY-LARYAN-INTUBA-DESP-3.5,,77.5,270
CSV002445,TUBE-AIRWAY-NASO-28fr-AdjFLANG,,78,270
CSV004374,TUBE-AIRWAY-NASO-34fr AdjFlang,,78,270
CSV004375,TUBE-AIRWAY-NASO-36fr-AdjFlang,,78,270
CSV004723,DRAPE-LAP-wPOUCH-100x72,,79.38,270
CSV001380,SPLINT-WRIST-BLACK-LEFT-LARGE,,79.5,270
CSV005037,AIRWAY-NASO-26FR,,80,270
CSV003932,KIT-DRUG-12 PANEL-FAXTOX,,80.5,270
CSV000464,IMMOBILIZER-SHOULDER-MEDIUM,,81,270
CSV000465,IMMOLBILIZER-SHOULDER-SMALL,,81,270
CSV001436,BELT-POWER-SPINE-SMALL,,81,270
CSV001439,BELT-POWER-SPINE-EX LG,,81,270
CSV001587,CATHETER-COUDE-24fR X 30cc,,81,270
CSV003063,IMMOBILIZER-SHOULDER-LARGE,,81,270
CSV003064,IMMOBILIZER-SHOULDER-EX LG,,81,270
CSV005304,DRESSING-HYDROCOLLOID-1.5oz tb,,81,270
CSV005502,DRAIN-WOUND-10FR-wTROCAR,,81,270
CSV001022,SPLINT-WRIST-COCKUP-MED-RT,,81.5,270
CLI0705,SUTURE SET,,82,270
CSV000412,HEAD BLOCKS,,82,270
CSV003670,DRESSING-SACRUM HYDROCOLL,,82,270
CSV004516,CIRCUIT-VENTILATION BREATHING,,82,270
CSV004726,DRAPE-LA-WITH POUCH-100x124,,82,270
CSV005470,DRESSING-HYROCOLLOID 4x4 Ahv,,82,270
CSV000463,IMMOLBILIZER-SHOULDER-LARGE,,82.5,270
CSV000466,IMMOBILIZER-SHOULDER-EXTRA LG,,82.5,270
CSV002530,PLUMSET-NITROGLYCERIN-MICRODRI,,83,270
CSV001585,CATHETER-16 FR 5CC COUDE,,83.5,270
CSV002730,"DRESSING-UNNAFLEX 4"" X 10 YD",,83.5,270
CSV004757,SNARE-OVAL-2.8mm-LG-SNGLE USE,,83.65,270
CSV004758,SNARE-OVAL-SOFT-MED,,83.65,270
CSV003894,TRAY-PUNCTURE-LUMBAR-ADULT,,84,270
CSV004846,SNARE-HEX-POLYP-DISP-LARGE,,84,270
CSV000244,DRESSING-HYDROCOL-SACRAL,,84.5,270
CSV001016,SPLINT-WRIST-COCKUP-MED-LEFT,,84.5,270
CSV001018,SPLINT-WRIST-COCKUP-SMALL-RT,,84.5,270
CSV001381,SPLINT-WRIST-SMALL-RIGHT,,84.5,270
CSV000415,DRAIN HEIMLICH CHEST VALVE,,85,270
CSV001012,SPLINT-THUMB-BURNHAM-LEFT HAND,,85.5,270
CSV003892,AIRWAY-LARYAN-INTUBAT-DISP 3.5,,85.7,270
CSV004327,AIRWAY-LARYAN-INTUBAT-DISP 4.5,,85.7,270
CSV004573,ANESTHETIC AGENT-SAMPLE LINE,,87,270
CSV6389,Suction Canister SetupKit Oral,,87.25,270
CSV002200,TRAY-LUMBAR PUNCTURE PEDIATRIC,,88,270
CSV004361,NEEDLE-INSULATED NERVE 21x4GA,,88.15,270
CSV000996,"SPLINT-WRIST-BLACK-RT-MED-8""",,88.5,270
CSV001376,SPLINT-WRIST-BLACK-LEFT-SMALL,,88.5,270
CSV001378,SPLINT-WRIST-BLACK-LEFT-MEDIUM,,88.5,270
CSV001719,HYPAQUE-CYSTO30%-250ML-AQUEOUS,,88.5,270
CSV001584,CATHETER-COUDE-14 FR 5CC,,89,270
CSV003384,MIRROR-SELF EXAM TELESCOPING,,89,270
CSV004823,SLEEVES COMPRESSION-POST.OP,,89,270
CSV005116,SLEEVES COMPRESSION-POST.OP,,89,270
CSV001586,CATHETER-COUDE LATEX-18FR 5CC,,89.5,270
CSV003476,COMPRESS-ICE-INSTANT,,89.5,270
CSV004272,SHEET-TRAUMA FLUID COLLECTION,,89.5,270
CSV004512,AIRWAY-MASK-PED-6mm-PED,,89.5,270
CSV0005097,MASK BIPAP SMALL,,90,270
CSV001014,SPLINT-WRIST-COCKUP-LG RIGHT,,90.5,270
CSV000993,"SPLINT-CONFORMABLE-4x30""castin",,91,270
CSV00442,STATE GUIDE-STRL-ADULT-LG-CVL4,,91,270
CSV004441,STAT GUIDE-STRL-ADULT-REG-GVL3,,91,270
CSV003515,PACK-LAPAROTOMY VII,,91.5,270
CSV002443,TUBE-NASAL-FLANG-ADJUST-32FRsf,,92,270
CSV004528,WAX BONE 2.5G,,92.61,270
CSV003065,IMMOBILIZER-SHOULDER-MEDIUM,,93,270
CSV000877,RAPID INFUSION EXCHANGE SET,,94,270
CSV001371,NEEDLE-COAXIAL INTRODUCER,,94,270
CSV001438,BELT-POWER-SPINE-LARGE,,94,270
CSV003340,TRFY LUMBAR PUNCTURE PEDI,,94,270
CSV001017,SPLINT-WRIST-COCKUP-SM-LEFT,,94.5,270
CSV000992,SPLINT-CONFORMABLE-3 X 35,,95,270
CSV005097,MASK.BIPAP.SMALL,,95,270
CSV005098,MASK.BIPAP.MEDIUM,,95,270
CSV005099,MASK.BIPAP.LARGE,,95,270
CSV001840,NEBULIZERS-HEART-240ML,,97,270
CSV004625,POSITIONER-SHOULDER-ARTHREX,,98,270
CSV005581,"NEEDLE-SPINAL12gaX6""-ANESTH",,99,270
CSV00626,LENS-MORGAN,,102,270
CSV004745,TRAY-FOLEY CATH 16F LF,,102.2,270
CSV003076,SUPPORT-ANKLE-STANDARD,,104,270
CSV003077,SUPPORT-ANKLE-MEDIUM,,104,270
CSV003889,TUBE-FEEDING-14 FR FLEXIABLE,,104,270
CSV003054,IMMOBILIZER-SHOULDER-SMALL,,105,270
CSV005161,TOURNIQUET.TRAUMA,,105,270
CSV001386,AERO CHAMBER-MEDIUM,,105.5,270
CSV001387,AERO CHAMBER-SMALL,,105.5,270
CSV003822,AIRWAY-NASOPHARYNGEAL 20 FR,,105.5,270
CSV002151,"EGGCRATE MATTRESS-2""-PREMIUM",,106,270
CSV003498,MATTRESS-EGGCRATE,,106.5,270
CSV003882,TAMPON-NASAL-RHINO ROCKET,,106.5,270
CSV004442,LARYNGASCOPE GUIDE-ADULT-LG,,106.5,270
CSV001013,SPLINT-THUMB-BURNHAM-RIGHThand,,107,270
CSV004394,CANNULA-SHOULDER-DISPOSABLE,,107.1,270
CSV001209,TRAY-LUMBAR PUNCTURE,,108,270
CSV005040,ADHESIVE SKIN HISTRACRYL BLUE,,109.5,270
CSV002450,BAG-RESUSITATION-DISPOSABLE,,111,270
CSV003017,SPLINT-POSTERIOR LEAF-FT&ANKLE,,111,270
CSV001420,PILLOWS-BUCKY,,111.5,270
CSV004031,BRACE-ANKLE-REGULAR-AIR-GEL,,112,270
CSV002573,SPLINT-SPICA-THUMBsm(R)FORMFIT,,112.5,270
CSV000171,AMBU-SPUR ADULT,,114,270
CSV000702,PACKING-NASAL-POSTERIOR-POPE,,114,270
CSV003422,V.A.C.ATS THERAPY UNIT-PER DAY,,114,270
CSV000699,PACK-LAPAROTOMY V,,114.5,270
CSV004495,TRAY-SPINAL-PENCAN 25GA NDL3.5,,116.05,270
MED3055,PUMP-IV-SETUP-MEDICAL,,116.8,270
CSV000159,COLLAR-PHILLY-INFANT,,117,270
CSV003235,DETECTOR-C02 EASY CAP II 6,,118.5,270
CSV003893,CIRCUIT-VENT-PORTABLE-DISP,,120,270
CSV005013,TRAY CATH TEMP 16FR,,122.8,270
CSV003883,TAMPONS-NASAL-RHINO ROCKET-LG,,123,270
CSV002063,DRAIN-SUCTION-JACKSON PRATT 19,,123.5,270
CSV004399,SUTURE-FIBERWIRE #2 BRAIDED,,124.55,270
CSV003931,TRAY-SPINAL-BUPIVICAINE,,124.95,270
CSV004496,TRAY-EPIDURAL-PERIFIX 18GA,,124.95,270
CSV001447,TRACTION BELT-PELVIC-MED/LG,,125.5,270
CSV001448,BELT-LUMBAR PELVIC-TRACTION-SM,,125.5,270
CSV001449,TRACTION BELT-PELVIC-EX LARGE,,125.5,270
CSV003335,SNARE-OVAL-MEDIUM,,126.1,270
CSV001405,TRAY-ARM-FOAM-2 PKG,,128.5,270
CSV003407,PILLOW-ABDUCTION-MEDIUM,,132.5,270
CSV000462,IMMOLBILIZER-KNEE-UNIVERSAL,,133,270
CSV004656,MASK-FACE FULL-SM,,133.68,270
CSV004657,MASK-FACE-FULL-LG,,133.68,270
CSV000158,COLLAR-PHILLY-PEDIATRIC,,134,270
CSV001845,BACK SUPPORT-INDUSTRIAL,,134,270
CSV000997,SPLINT-ANKLE BRACE,,134.5,270
CSV004590,TRAY-LUMER PUNCTURE PED 22x2.5,,136,270
CSV004581,ADHESIVE SKIN HISTOACRYL BLUE,,136.5,270
CSV001841,AMBU-SPUR-INFANT,,137,270
CSV000626,LENS-MORGAN,,138,270
CSV003741,CUSHION-HEEL-ULTRA SOFT(SUR),,139.65,270
CSV001710,KIT-DRUG ABUSE-1-9 PANEL TEST,,141,270
CSV001979,AIRWAY-LMA UNIQUE 5 PK SIZE 3,,143,270
CSV001980,AIRWAY-LMA UNIQUIE 5PK SIZE 4,,143,270
CSV001981,AIRWAY-LMA UNIQUE 5PK SIZE 5,,143,270
CSV005457,KIT-SKin.NasalAntisepsisSwab,,143,270
CSV003572,MARKER-ENDOSCOPIC-SPOT,,143.25,270
CSV003396,TRAY-INTUBATION ASSORTED,,144,270
CSV0710,TRAY-INTUBATION,,144,270
CSV002137,DRAIN-SUCTION-FLAT,,145,270
CSV001135,DERMABOND CHISEL TIP SUTURE,,147,270
CSV001216,TRAY-SPINAL ANESTH-25GAw/DRUG,,147,270
CSV003375,FORCEP-BIOPSY-PRECISOR-COLD,,151,270
CSV004363,SNARE-POLYECTOMY 230 cm,,153,270
CSV003910,TUBING-ARTHOSCOPIC,,154,270
CSV001427,BRACE-ANKLE-LEFT-STANDARD,,155.5,270
CSV001428,BRACE-ANKLE-STANDARD-RIGHT,,155.5,270
CSV004330,"SUTURE-2-0 TICRON CS250 30""",,159.4,270
CSV000281,ELECTRODE-ADULT PHYSIO CONTROL,,161,270
CSV004424,DRAPE-SHOULDER-BEACH,,164.95,270
CSV001399,RESUSCITATOR-AMBU (RT),,169,270
CSV005473,FILTER-SemipermeableFlyteSurg,,170,270
CSV001508,KIT-TRAUMA-ARROW,,171.5,270
CSV003830,SPLINT-WOMEN-RIGHT-AFO-SWEDISH,,172,270
CSV003831,SPLINT-WOMEN-LEFT-AFO-SWEDISH,,172,270
CSV003832,SPLINT-MEN-RIGHT-AFO-SWEDISH,,172,270
CSV003833,SPLINT-MEN-LEFT-AFO-SWEDISH,,172,270
CSV004259,TUBE-GASTROSOMY-20FRx20CC 3PRT,,172,270
CSV004430,STRAP-ANKLE-DISTRACTION GUHL,,173.4,270
CSV000139,AQUASEAL,,176.5,270
CSV004040,BLADE-ST SAG 9.5 x25.5,,177.5,270
CSV000154,COLLAR-PHILLY-LARGE,,179.5,270
CSV000156,COLLAR-PHILLY-SMALL,,181.5,270
CSV000153,COLLAR-PHILLY-MEDIUM,,184.5,270
CSV003573,NEEDLE-SCLEROTHERAPY-DISP,,187,270
CSV000155,COLLAR-PHILADELPHIA-MEDIUM,,189,270
CSV001724,FORCEP-BIOPSY-PRECISOR-DISP.,,192,270
CSV004100,SCREW BONE CNCL PRT 3 4.00mm45,,193,270
CSV000645,NEEDLE-BIOPSY-TRU-CUT 16X 10,,193.5,270
CSV001211,"TRAY-THORACENTESIS-6""CATH-14G",,193.5,270
CSV001398,VALUE-FLUTTER (CARDIO),,197,270
CSV004403,DRAPE-SHOULDER-BEACHCHR POUCH,,197.95,270
CSV004815,MESH-HERNIA-8x15,,198,270
CSV005358,COLLAR-CERVICAL-UNIV-ADULT,,198,270
CSV004754,BRACE-KNEE-HINGED,,198.75,270
CSV004294,TRAY-EPIDURAL TUOHY 18G NDL,,199.65,270
CSV003750,FORCEPS - HOT,,201,270
CSV005006,DRESSING-VAC-KCI-GRANUF-SM,,202.5,270
CSV005007,DRESSING-VAC-KCI-GRANUF-MED,,202.5,270
CSV004510,"TRAY-SPINAL-ANESTHESIA-24gX4""",,202.95,270
CSV005551,"TRAY-PARACENTESIS KIT15GA3.25""",,203,270
CSV004034,BURR ROUND 4MM,,204,270
CSV004035,BURR OVAL 4MM,,204,270
CSV002325,NEEDLE-BIOPSY-TEMMO,,207.5,270
CSV003478,LUMBAR SUPPORTER-SACRAL ORTHOS,,208,270
CSV003479,LUMBAR SUPPORTER-SACRAL ROYLAN,,208,270
CSV003480,LUMBAR SUPPORTER-ORTHOSIS SAC,,208,270
CSV002967,KIT-CATH-CENTRAL VENUS HI FLO,,210,270
CSV004274,TAMPON-NASAL ANTERIOR 5.5CM,,211,270
CSV004015,ANTER EPISTAXIS RAPID RHINO PS,,215.5,270
CSV003669,SOLUTION-GASTROVIEW DIATROZOAT,,218,270
CSV004305,TUBING-IRRIGATION-ARTHROSCOPIC,,219.3,270
CSV000641,NEEDLE-INFUSSION-INTRAOSS.#16,,219.5,270
CSV000642,NEEDLE-INFUSSION-INTRAOS #18,,219.5,270
CSV003420,DRESSING-V.A.C.GRANUFOAM EACH,,220,270
CSV003809,PAD-AED ELECTRODE,,223,270
CSV004039,BLADE-ST SAG 14.0 x 41.0,,224.4,270
CSV004041,BLADE-ST SAG 5.5 x 25.5,,224.4,270
CSV004042,BLADE-ST SAG 4.5 x 25.5,,224.4,270
CSV003117,WALKER-FOOT/ANKLE-SMALL,,224.5,270
CSV003118,WALKER-FOOT/ANKLE-MEDIUM,,224.5,270
CSV003119,WALKER-FOOT/ANKLE-LARGE,,224.5,270
CSV003120,WALKER-FOOT/ANKLE-EXTRA LARGE,,224.5,270
MED3015,MONITOR-CARDIAC-DAILY CHG-MED,,224.95,270
MED3016,MONITOR-LIFESCOPE,,224.95,270
CSV003911,BLADES-SHAVER-DISPOSABLE,,225,270
CSV005300,TUBING-ARTHROSCOPY-10K,,225,270
CSV004814,MESH-HERNIA-6x11,,228,270
CSV002781,SUTURE-DERMABOND-PROPEN DPP6,,229.5,270
CSV003418,CANISTER-VACUMN-KCL ATS w GEL,,229.5,270
CSV004351,SHAVER-RADIUS-FULL-3.5,,231.55,270
CSV001468,DRAINAGE SET 3 WAY U/WAT,,232.5,270
CSV002785,ACAPELLAwMOUTHPIECE-PEP-IF VIB,,234.45,270
CSV002851,ACAPELLAwMOUTHPIECE-PEP-DM,,234.45,270
CSV0004351,SHAVER-FULL RADIUS-3.5,,234.6,270
CSV005472,SET-PULSE LAVAGE INTERPULSE,,238,270
CSV005521,BLADE-SAW-RECIPROCATING.BONE,,240,270
CSV003419,DRESSING-V.A.C.GRANUFORAM SM,,242.5,270
CSV002500,SNARES-POLYPECTOMY,,246,270
CSV002159,TUBE-TRACHEOSTOMY-SIZE 5,,246.5,270
CSV001430,KIT-LAVAGE-TUM-E-VAC,,248,270
CSV004176,SCREW CORTEX SLF-TAP 3.5mm46mm,,253,270
CSV004206,WASHER 7.0mm,,253.05,270
CSV005511,SPATULA VACUUM UNIVERSAL,,254,270
CSV004010,PUSHER-KNOT-CUTTER-SUTURE,,255,270
CSV004393,BONE BUR OVAL HOODED 4.0 DISP,,255,270
CSV003274,KIT-IV-CENTRAL VENOUS CATH,,256,270
CSV004774,VALUE-PEEP-10cm-ADULT-(CARDIO),,256,270
CSV004523,PACK-ARTHROSCOPY MEDLINE,,261.95,270
CSV004751,BLADE SHAVER 3.5MM GRT WHT,,265,270
CSV002133,HYPAQUE SOD 250 MG ORAL,,269.5,270
CSV002160,TUBE-TRACHEOSTOMY-SIZE 7,,271.5,270
