83894,$67.00 
MATERNAL CELL CONTAMINATION,$458.00 
MATTRESS OVERLAY WAFFLE 75X30X3,$149.60 
MAVIK 4MG TABLET, $-   
MAX STR LICE TX SHAMPOO 60ML, $-   
MAXZIDE 75-50MG TAB UD, $-   
MDA(80359),$25.00 
MEASLES/MUMPS/RUBELLA VACCINE, $-   
MEBENDAZOLE 100MG CHEW, $-   
MEBENDAZOLE 100MG CHEW TAB, $-   
MECLIZINE 12.5 MG TAB, $-   
MECLIZINE 25 MG TAB, $-   
MECLIZINE CHEW 25MG TABLET, $-   
MECLOFENAMATE 50 MG CAP, $-   
MECONIUM DRUG SCREEN,$73.50 
MEDERMA GEL 20GM, $-   
MEDICAL ADHESIVE 96 ML, $-   
MEDICATED PETROLEUM JELLY 112GM, $-   
MEDIHONEY, $-   
MEDIHONEY 1.5OZ, $-   
MEDIPORT,$810.26 
MEDIUM CHAIN TRIGLYCERIDES 30ML, $-   
MEDIUM-CHAIN ACYL-COA DEHYDROGENA,$23.00 
MEDPRO+, $-   
MEDROL 16MG TABLET, $-   
MEDROXYPROGESTERONE 10MG TAB, $-   
MEDROXYPROGESTERONE 150MG/ML INJ, $-   
MEDROXYPROGESTERONE 2.5MG TAB, $-   
MEGA B VITAMIN TAB, $-   
MEGESTROL 400MG/10ML SUSP 10ML, $-   
MEGESTROL 40MG TAB, $-   
MEGESTROL 40MG/ML ORAL SUSP, $-   
MEGESTROL 40MG/ML SUSP 30ML, $-   
MEGESTROL ACETATE 125MG/ML 30ML, $-   
MEGESTROL ACETATE 40MG/ML 10ML UD, $-   
MEGESTROL ACETATE 625MG/5ML 5ML, $-   
MEGESTROL ACETATE SUSP 400MG 10ML, $-   
MEGESTROL SUSP 400MG/10ML UD CUP, $-   
MELANIN BLEACH,$107.00 
MELANIN STAIN,$107.00 
"MELANIN,QUALITATIVE,URINE",$126.00 
MELATONIN 10MG, $-   
MELATONIN 3MG TAB, $-   
MELATONIN 5MG, $-   
MELATONIN 5MG TABLET, $-   
MELATONIN SERUM,$325.00 
MEL-HMB45 (MELANOMA),$331.00 
MELOXICAM 15MG TABLET, $-   
MELPHALAN 2MG TAB, $-   
MEMANTINE 10MG TABLET, $-   
MEMANTINE CSPX 28MG, $-   
MEMANTINE HCL 5MG TABLET, $-   
MEMANTINE XR 7 MG, $-   
MEMORY CURRENT STATUS,$0.01 
MEMORY DISCHARGE STATUS,$0.01 
MEMORY PROJECTED STATUS,$0.01 
MENINGOCOCCAL DIPH VAC 0.5ML, $-   
MENINGOCOCCAL POLYSACC DIPH 0.5ML, $-   
MENINGOCOCCAL VACCINE SDV, $-   
MENINGOGOENCEPH CSF, $-   
MENTHOL 16% FOOT CREAM 4OZ, $-   
MENTHOL 3.5% GEL, $-   
MENTHOL 5% PATCH, $-   
MENTHOL-EUCALYPTUS COUGH DROPS, $-   
MENTHOL-PHENOL LOZ BOX 18'S, $-   
MENTHOL-ZINC OXIDE 113GM OINT, $-   
MEPERIDINE 100MG/2ML 2ML INJ, $-   
MEPERIDINE 100MG/ML INJ 1ML, $-   
MEPERIDINE 10MG/1ML PCA INJ 30ML, $-   
MEPERIDINE 25 MG/ML 1 ML INJ., $-   
MEPERIDINE 25MG/0.5ML INJ 0.5ML, $-   
MEPERIDINE 50MG TAB, $-   
MEPERIDINE 50MG/5ML SYRUP 5ML, $-   
MEPERIDINE 50MG/ML INJ 1ML, $-   
MEPERIDINE 75MG/1.5ML INJ 1.5ML, $-   
MEPERIDINE HCL 25MG/ML 1ML VIAL, $-   
MEPERIDINE HCL 50 MG/ML 1 ML INJ, $-   
MEPERIDINE/PROMETHAZ 50-25MG CAP, $-   
MEPIVACAINE 1.5% INJ. 30ML, $-   
MEPIVACAINE 2% INJ. 20ML, $-   
MEPIVACAINE 2% INJ. 50ML, $-   
MEPIVACIANE 1% INJ 50ML, $-   
MEPIVACIANE 1% INJ. 30ML, $-   
MEPROBAMATE,$110.00 
MEPROBAMATE 200MG TAB, $-   
MEPROBAMATE 400MG TAB, $-   
MERCAPTOPURINE 50MG TAB, $-   
MERCUROCHROME 2% SOLN 30ML, $-   
"MERCURY, BLOOD",$112.00 
"MERCURY, QUANTITATIVE",$112.00 
MEROPENEM 1 GRAM INJ., $-   
MEROPENEM[MIX]1GM, $-   
MERREM 1GM INJECTION, $-   
MERREM 500MG INJECTION, $-   
MESALAMINE 1000MG SUPP, $-   
MESALAMINE 250MG CAP, $-   
MESALAMINE 400MG TAB, $-   
MESALAMINE 500MG REC SUPP, $-   
MESALAMINE CPER 500MG, $-   
MESALAMINE DR 1.2GM TABLET, $-   
MESALAMINE DR CAP 400MG, $-   
MESALAMINE DR CAP 400MG, $-   
MESALAMINE ER CAP 0.375GM, $-   
MESALAMINE RECTAL ENEMA 60ML, $-   
MESALAMINE TBEC 800MG, $-   
MESCOLOR FC TABLET, $-   
MESNA 200MG/2ML INJ 2ML, $-   
METALOZONE 10MG TAB, $-   
METANEPHRINES,$413.00 
"METANEPHRINES,PLASMA (FREE)",$413.00 
"METANEPHRINES,RANDOM URINE",$413.00 
METAPROTERENOL INHALER, $-   
METARAMINAL 1% INJ. 10ML, $-   
METAXALONE TABLET 800MG, $-   
METAXOLONE 400MG TAB, $-   
METERED DOSE INHALER INITIAL,$120.00 
METERED DOSE INHALER SUBSEQ,$431.00 
METFORMIN 500MG TAB, $-   
METFORMIN 850MG TAB, $-   
METFORMIN CR 500 MG TABLET, $-   
METFORMIN HCL 750MG ER, $-   
METFORMIN TABLET 1000ML, $-   
METHACARBAMOL 100MG/ML INJ 10ML, $-   
METHADONE 10MG TAB, $-   
METHADONE 10MG/1ML INJ. 20ML, $-   
METHADONE 5MG TAB, $-   
METHADONE AND MET,$87.00 
"METHADONE CONFIRMATION,URINE",$25.00 
METHANAMINE 1 GRAM TAB, $-   
METHANAMINE SILVER,$107.00 
METHANAN-SOD BIPHOS 500-500MG TAB, $-   
METHANOL,$101.00 
METHEMOGLOBIN,$70.00 
METHEMOGLOBIN AND SULFHGB, $-   
METHERGINE 0.2MG TAB, $-   
METHIMAZOLE 10MG TABLET, $-   
METHIMAZOLE 5MG TAB, $-   
METHOCARBAMOL 500MG TAB, $-   
METHOCARBAMOL 750MG TAB, $-   
METHOCARBOMOL/ASA 400/325 TAB, $-   
METHOHEXITAL 500MG/50ML INJ 50ML, $-   
METHOHEXITAL SODIUM 500MG, $-   
METHOTREXATE,$194.00 
METHOTREXATE 2.5MG TAB, $-   
METHOTREXATE 2.5MG TAB, $-   
METHOTREXATE 20MG INJ, $-   
METHOTREXATE 50MG/2ML INJ 2ML, $-   
METHYCLOTHIAZIDE 5MG TAB, $-   
METHYL GREEN PYRONINE,$107.00 
METHYL SALICYLATE 10% PATCH, $-   
METHYL SALICYLATE-MENTHOL 85GM, $-   
METHYL SALICYLATE-MENTHOL OINT28G, $-   
METHYL SALI-MENTHOL CM 35.4GM, $-   
METHYLCELLULOSE POWDER PKT 19GM, $-   
METHYLDOPA 125MG TAB, $-   
METHYLDOPA 250MG TAB, $-   
METHYLDOPA 500MG TAB, $-   
METHYLDOPA W/HCTZ 250-15MG TAB, $-   
METHYLDOPA W/HCTZ 250-25 TAB, $-   
METHYLDOPATE 50MG/ML INJ 5ML, $-   
METHYLENE BLUE 0.5% INJ 10ML, $-   
METHYLENE BLUE 1% 1ML, $-   
METHYLENE BLUE 1% INJ 10ML, $-   
METHYLENE BLUE 1ML INJ, $-   
METHYLERGONOVINE 0.2MG/ML INJ 1ML, $-   
METHYLMALONIC ACID (MMA),$287.00 
METHYLNAL TREXONE SYRG 8MG/0.4ML, $-   
METHYLNALTREXONE BR 12MG/0.6ML, $-   
METHYLNALTREXONE BR 12MG/0.6MLINJ, $-   
METHYLPHENDIATE 36 MG TABLET, $-   
METHYLPHENIDATE 10MG TAB, $-   
METHYLPHENIDATE 5MG TAB, $-   
METHYLPHENIDATE SR 20MG TAB, $-   
METHYLPHENIDATE(80360),$20.00 
METHYLPREDNISOLONE 1 GRAM INJ., $-   
METHYLPREDNISOLONE 125MG INJ., $-   
METHYLPREDNISOLONE 4 MG TAB, $-   
METHYLPREDNISOLONE 40MG INJ., $-   
METHYLPREDNISOLONE 40MG REP INJ., $-   
METHYLPREDNISOLONE 4MG TAB PAK, $-   
METHYLPREDNISOLONE 500MG INJ., $-   
METHYLPREDNISOLONE 80MG REP INJ., $-   
METHYLPREDNISOLONE SOD SUC 125MG, $-   
METHYLPREDNISOLONE SOD SUC 2GM, $-   
METHYLPREDNISOLONE SOD SUC 40MG, $-   
METHYLSALICY.-MENTHOL BALM 57GM, $-   
"METHYMALONIC ACID, URINE",$287.00 
METHYSALICYL/MENTHOLAT OINT 38GM, $-   
METIPRANOLOL 0.3% OPTH SOLN 5ML, $-   
METOCLOPRAMIDE 10MG TAB, $-   
METOCLOPRAMIDE 1MG/1ML ELIXIR 1ML, $-   
METOCLOPRAMIDE 5MG TAB, $-   
METOCLOPROPAMIDE 1MG/ML ELIX 10ML, $-   
METOCLOPROPAMIDE 1MG/ML ELIX 1ML, $-   
METOCLOPROPAMIDE 1MG/ML ELIX 30ML, $-   
METOCLOPROPAMIDE 5MG/ML INJ 2ML, $-   
METOCLOPROPAMIDE ELIXIR 30ML, $-   
METOCLOPROPRAMIDE 1MG/1ML LIQ, $-   
METOLAZONE 2.5MG TAB, $-   
METOLAZONE 5MG TAB, $-   
METOPROLOL 100MG TAB, $-   
METOPROLOL 1MG/ML INJ 5ML, $-   
METOPROLOL 50MG TAB, $-   
METOPROLOL CR 50MG TAB, $-   
METOPROLOL SUCC TB24 50MG, $-   
METOPROLOL SUCCINATE XL 100MG TAB, $-   
METOPROLOL TARTRATE 100MG TAB, $-   
METOPROLOL TARTRATE 100MG TAB, $-   
METOPROLOL TARTRATE TABLET 25MG, $-   
METOPROTERENOL 20MG TAB, $-   
METRONIDAZOLE 0.75% CREAM 30GM, $-   
METRONIDAZOLE 0.75% VAG CREAM 70G, $-   
METRONIDAZOLE 100MG/5ML SUS 120ML, $-   
METRONIDAZOLE 250MG TAB, $-   
METRONIDAZOLE 500MG TAB, $-   
METRONIDAZOLE 500MG-NS 100ML INJ, $-   
METRONIDAZOLE GEL 1% 60GM, $-   
METRONIDAZOLE TOPICAL 0.75% 45GM, $-   
METYRAPONE 250MG CAPSULE, $-   
MEXILETINE 150MG CAP, $-   
MEXILETINE 200MG CAP, $-   
MEXILETINE 250MG CAP, $-   
MEXITELINE,$317.00 
MGMT,$721.00 
MHPG(3-METHOXY-4-HYDROXYPHENYLGLY,$115.00 
MI-2,$100.00 
MIBEFRADIL 50MG TAB, $-   
MICAFUNGIN 100MG INJECTION, $-   
MICAFUNGIN INJ. 100MG VIAL, $-   
MICAFUNGIN SOD 50MG VIAL, $-   
MICARDIS 40MG TABLET, $-   
MICONAZOLE 100MG VAG SUPP 7EA, $-   
MICONAZOLE 10MG/ML INJ 20ML, $-   
MICONAZOLE 2% CREAM 30GM, $-   
MICONAZOLE 2% POWDER 85GM, $-   
MICONAZOLE 2% VAG CREAM 45GM, $-   
MICONAZOLE 200MG VAG SUPP 3EA, $-   
MICONAZOLE NITRATE 2% 57GM, $-   
MICONAZOLE NITRATE 2% CREAM 92GM, $-   
MICROALBUMIN RATIO, $-   
"MICROALBUMIN, 24 HOUR URINE",$155.00 
"MICROALBUMIN, RANDOM URINE",$155.00 
"MICROALBUMIN, TIMED URINE", $-   
"MICROALBUMIN,URINE",$155.00 
MICROALBUMIN/CREA RATIO, $-   
MICROALBUMIN/CREA. RATIO, $-   
MICROALBUMIN/CREATININE RATIO TIM, $-   
MICRODISSECTION LASER,$386.00 
MICRODISSECTION MANUAL,$411.00 
MICRODISSECTION MANUAL,$411.00 
"MICRODISSECTION, MANUAL",$411.00 
MICROFIBRILLAR COLLAGEN 1 GRAM, $-   
MICROFIBRILLAR COLLAGEN HEMO. 1GM, $-   
MICROSOMAL AB,$93.71 
MIDAZOLAM 100MG/100ML D5W IV, $-   
MIDAZOLAM 100MG/100ML IN NS, $-   
MIDAZOLAM 10MG/10ML INJ 10ML, $-   
MIDAZOLAM 10MG/5ML SYRUP 5ML, $-   
MIDAZOLAM 1MG/ML INJ 5ML, $-   
MIDAZOLAM 2MG/2ML INJ 2ML, $-   
MIDAZOLAM 5MG ORAL SYRINGE, $-   
MIDAZOLAM 5MG/ML 10ML, $-   
MIDAZOLAM HCL ORAL LIQ 10MG/2ML, $-   
MIDODRINE 10MG TAB, $-   
MIDODRINE 2.5MG TAB, $-   
MIDODRINE HCL 5MG TABLET, $-   
MIGLITOL 25 MG TABLET, $-   
MIGRANAL NASAL AMPUL 4MG/ML, $-   
MILK (COW),$33.00 
"MILK COW, IGE",$33.00 
MILK OF MAGNESIA 118ML BOTTLE, $-   
MILK OF MAGNESIA 30ML, $-   
MILK OF MAGNESIA 325 MG TABLET, $-   
MILNACIPRAN 12.5MG TABLET, $-   
MILNACIPRAN 25MG TAB, $-   
MILRINONE 10MG/10ML 10ML SDV, $-   
MILRINONE 20 MG/100 ML INJ., $-   
MILRINONE 20MG/20ML INJ 20ML, $-   
MILRINONE 50MG/50ML 50ML SDV, $-   
MINERAL OIL (EMULSIFIED) 480ML, $-   
MINERAL OIL 15ML, $-   
MINERAL OIL 30ML, $-   
MINERAL OIL 30ML UD CUP, $-   
MINERAL OIL 480ML, $-   
MINERAL OIL ENEMA 133ML, $-   
MINERAL OIL TOPICAL SOLN 120ML, $-   
MINIMUN INHIBITORY CONC. (MIC),$91.00 
MINOCYCLINE 100 MG CAPSULE, $-   
MINOCYCLINE 100 MG INJ, $-   
MINOCYCLINE 50MG CAP, $-   
MINOCYCLINE 75MG, $-   
MINOR BREAKPOINT QUAL,$219.00 
MINOR SURGERY,"$1,960.00 "
MINOXIDIL 2.5MG TAB, $-   
MINOXIDIL 2.5MG TAB, $-   
MINTEX PD LIQUID 4MG/5ML 30ML BTL, $-   
MIRAPEX 0.25MG TAB, $-   
MIRAPEX 0.5MG, $-   
MIRAPEX 1.5MG TABLET, $-   
MIRTAZAPINE 15MG TAB, $-   
MIRTAZAPINE 30MG TABLET, $-   
MISC TEST OR INFORMATION, $-   
MISC. POOLING - CHRG ONLY,$151.00 
MISC.FILTER - CHRG ONLY, $-   
MISCELLANEOUS TREATMENT, $-   
MISOPROSTOL 100MCG TAB, $-   
MISOPROSTOL 200MCG TAB, $-   
MISOPROSTOL 25MCG QUARTER TABLET, $-   
MIST TENT CANOPY,$57.00 
MIST TENT DAILY CHARGE, $-   
MIST TENT INSTALL, $-   
MITOMYCIN 1 MG INJECTION, $-   
MITOMYCIN 20MG INJ., $-   
MITOMYCIN 20MG INJECTION, $-   
MITOMYCIN 5MG INJ., $-   
MIVACURIUM 2MG/ML INJ 20ML, $-   
MIVACURIUM CHLORIDE 2MG/ML 5ML, $-   
MM GALACTAGRAM SINGLE DUCT,$739.00 
MM GALACTOGRAM MULTIPLE DUCTS,$739.00 
MM INJECTION PROC FOR GALACTOGRAM,$739.00 
MM LAIRDS MAMMO DX BILAT DIGITAL, $-   
MM LAIRDS MAMMO DX UNILAT DIGITAL, $-   
MM LAIRDS MAMMO SCREEN UNI DIGI, $-   
MM LAIRDS MAMMO SCREENING DIGITAL, $-   
MM MAMMO DIAGNOSTIC BILAT DIGITAL,$384.00 
MM MAMMO DIAGNOSTIC UNI DIGITAL,$346.00 
MM MAMMO SCREENING UNILAT DIGITAL,$355.00 
MM MAMMOGRAM SCREENING DIGITAL,$355.00 
MM SURGICAL/PATHOLOGY SPECIMEN,$198.00 
MMP-9,$268.00 
MMR PANEL, $-   
MNT GROUP 30 MIN,$52.00 
MNT INITIAL INDIVIDUAL 15 MIN,$46.00 
MNT REASSES/SUBQ INTERV GR 30MIN,$52.00 
MNT REASSESSMENT INDIV 15 MIN,$40.00 
MNT REASSESSMENT INDIV CHG 15MIN,$40.00 
MOBIC 7.5MG TABLET, $-   
MOBILITY WALKING&MOVING CURR STAT,$0.01 
MOBILITY WALKING&MOVING CURR STAT,$0.01 
MOBILITY WALKING&MOVING DISCH ST,$0.01 
MOBILITY WALKING&MOVING DISCH ST,$0.01 
MOBILITY WALKING&MOVING PROJ STAT,$0.01 
MOBILITY WALKING&MOVING PROJ STAT,$0.01 
MODAFINIL 100 MG TABLET, $-   
MODAFINIL 200MG TABLET, $-   
MODERATE SEDATION EA ADDL 15MIN,$20.00 
MODERATE SEDATION INIT 15MIN <5,$25.00 
MODERATE SEDATION INIT 15MIN >5,$20.00 
MOEXIPRIL 15MG TABLET, $-   
MOEXIPRIL 7.5MG TAB, $-   
"MOLECULAR CYTOGENETICS, DNA PROBE",$145.00 
MOLECULAR DIAGNOSTIC AMP(83898),$94.00 
MOLECULAR DIAGNOSTIC AMP. ADD.,$94.00 
MOLECULAR DIAGNOSTIC AMPLICATION,$188.00 
MOLECULAR DIAGNOSTIC AMPLIFICATIO,$188.00 
MOLECULAR DIAGNOSTIC DIGESTION,$23.00 
MOLECULAR DIAGNOSTIC DOT/SL(83893,$23.00 
MOLECULAR DIAGNOSTIC ENZYME DIG.,$23.00 
MOLECULAR DIAGNOSTIC INT.(83912),$48.00 
MOLECULAR DIAGNOSTIC INTERPRETATI,$48.00 
MOLECULAR DIAGNOSTIC ISOLATION,$23.00 
MOLECULAR DIAGNOSTIC LYSIS,$39.00 
MOLECULAR DIAGNOSTIC SEPARATION,$94.00 
MOLECULAR DIAGNOSTIC SEPARATION,$94.00 
MOLECULAR DIAGNOSTIC(83890),$23.00 
MOLECULAR DIAGNOSTIC(83896),$23.00 
"MOLECULAR DIAGNOSTIC, INTERPRETAT",$48.00 
MOLECULAR DIAGNOSTICS (6424),$23.00 
MOLECULAR DIAGNOSTICS AMPLICATION,$94.00 
MOLECULAR DIAGNOSTICS ISOLATION,$23.00 
MOLECULAR DIAGNOSTICS MUTATION,$94.00 
"MOLECULAR DIAGNOSTICS, MUTATION",$94.00 
MOLECULAR PATHOLOGY,"$1,800.00 "
MOLINDONE 5 MG TABLET, $-   
MOM W/CASCARA 30ML, $-   
MOM W/CASCARA SUSP 15ML, $-   
MOMETASONE 0.1% CR 15GM, $-   
MOMETASONE 0.1% LOT 60ML, $-   
MOMETASONE 0.1% OINT 15GM, $-   
MOMETASONE AEPB 220MCG, $-   
MOMETASONE CR 45GM, $-   
MOMETASONE CREAM 0.1% 45GM, $-   
MOMETASONE FUROATE INH 220MCG 14D, $-   
MOMETASONE NASAL SPRAY 17GM, $-   
MONITOR DRUG PROFILE 14, $-   
MONITOR INTESTINAL FLUID PRESSURE,$420.00 
MONO TEST,$107.00 
MONOCLONAL PROTEIN STUDY PANEL, $-   
MONOTEST,$107.00 
MONTELUKAST 10MG TAB, $-   
MORICIZINE 200MG TAB, $-   
MORPHINE 0.15MG/0.075ML ORAL SYR, $-   
MORPHINE 0.5MG/ML PF 10ML, $-   
MORPHINE 100MG CAPSULE CR, $-   
MORPHINE 100MG/100ML D5W IV, $-   
MORPHINE 100MG/100ML NS IV, $-   
MORPHINE 10MG/1ML INJ. 20ML, $-   
MORPHINE 10MG/ML 1ML CARPUJECT, $-   
MORPHINE 10MG/ML INJ 1ML, $-   
MORPHINE 150MG/30ML PCA INJ. 30ML, $-   
MORPHINE 15MG CR TAB, $-   
MORPHINE 15MG/ML INJECTION, $-   
MORPHINE 1MG/ML 1ML AMPUL, $-   
MORPHINE 1MG/ML PCA INJ 30ML, $-   
MORPHINE 20MG/10ML UD CUP 10ML, $-   
MORPHINE 25MG/ML 10ML INJ, $-   
MORPHINE 2MG SYR, $-   
MORPHINE 2MG/1ML INJ TUBEX 1ML, $-   
MORPHINE 30MG CAPSULE CR, $-   
MORPHINE 30MG CR TAB, $-   
MORPHINE 30MG/30ML PCA (RUSH), $-   
MORPHINE 5MG/ML 1ML INJ, $-   
MORPHINE 5MG/ML INJ, $-   
MORPHINE 8MG INJECTION, $-   
MORPHINE CONC SOLN 20MG/ML 1ML, $-   
MORPHINE FOR DRIP 10MG 1ML, $-   
MORPHINE PF 10MG/ML 42ML, $-   
MORPHINE SULF IR 15MG TAB, $-   
MORPHINE SULFATE 10MG/5ML LIQUID, $-   
MORPHINE SULFATE 15 MG SR TABLET, $-   
MORPHINE SULFATE 1MG/1ML INJ 10ML, $-   
MORPHINE SULFATE 20 MG ER, $-   
MORPHINE SULFATE 4MG/ML INJ, $-   
MORPHINE SULFATE 500 MG FOR EPID, $-   
MORPHINE SULFATE 60 MG CR TAB, $-   
MORPHINE SULFATE 8MG/ML INJ CART, $-   
MORPHINE SULFATE CR 50MG CAP, $-   
MORPHINE SULFATE PF 25MG/ML 20ML, $-   
MORPHINE SUPP 10MG, $-   
MORPHOMETRIC ANALYSIS,$150.00 
MORPHOMETRIC ANALYSIS,$547.94 
MORRHUATE 50MG/1ML INJ. 30ML, $-   
MOTOR SPEECH CURRENT STATUS,$0.01 
MOTOR SPEECH DISCHARGE STATUS,$0.01 
MOTOR SPEECH PROJECTED STATUS,$0.01 
MOTRIN 100MG/5ML SUSP 5ML, $-   
MOUNTAIN CEDAR (ON 6791),$33.00 
MOUTH KOTE 240ML, $-   
MOXIFLOXACIN 400 MG/250 ML INJ., $-   
MOXIFLOXACIN 400MG TABLET, $-   
MOXIFLOXACIN HCL OPTH 0.5% 3ML, $-   
MRA ABDOMEN W/ OR W/O CONTRAST,"$3,172.00 "
MRA CAROTID WITH CONTRAST,"$2,892.00 "
MRA CAROTID WITHOUT CONTRAST,"$2,048.00 "
MRA CAROTIDS W/WO CONTRAST,"$3,640.00 "
MRA CHEST W/ OR W/O CONTRAST,"$3,172.00 "
MRA CIRCLE OF WILLIS W/O CONTRAST,"$2,048.00 "
MRA HEAD WITH & WITHOUT CONTRAST,"$2,892.00 "
MRA HEAD WITH CONTRAST,"$2,599.00 "
MRA HEAD WITHOUT CONTRAST,"$2,048.00 "
MRA LOWER EXTREMITY W/ OR W/O CON,"$3,172.00 "
MRA PELVIS W/ OR W/O CONTRAST,"$3,172.00 "
MRA RENALS WITH CONTRAST,"$3,172.00 "
MRA SPINAL CANAL W/ OR W/O CONTRA,"$3,172.00 "
MRA UPPER EXTREMITY W/ OR W/O CON,"$3,172.00 "
MRI 3D RECONSTRUCTION,"$1,088.00 "
MRI ABD,"$2,496.00 "
MRI ABDOMEN W/ AND W/O CONTRAST,"$3,446.00 "
MRI ABDOMEN W/WO CONTRAST (MRCP),"$3,446.00 "
MRI ABDOMEN WITH CONTRAST,"$3,034.00 "
MRI ANKLE WITH & WITHOUT CONTRAST,"$2,384.00 "
MRI ANKLE WITH CONTRAST,"$1,984.00 "
MRI ANKLE WITHOUT CONTRAST,"$1,606.00 "
MRI ANY JT LOWER EXTREM,"$1,606.00 "
MRI ANY JT UPPER EXTREM,"$1,723.00 "
MRI BONE MARROW BLD SUPPLY,"$2,556.00 "
MRI BRAIN W/CONTRAST,"$2,718.00 "
MRI BRAIN WITH & WITHOUT CONTRAST,"$3,264.00 "
MRI BRAIN WO CONTRAST,"$2,363.00 "
MRI BREAST BILATERAL,"$5,430.00 "
MRI BREAST UNILATERAL,"$4,132.00 "
MRI CERVICAL SPINE W/CONTRAST,"$2,257.00 "
MRI CHEST,"$2,697.00 "
MRI ELBOW WITH & WITHOUT CONTRAST,"$2,380.00 "
MRI ELBOW WITH CONTRAST,"$1,980.00 "
MRI ELBOW WITHOUT CONTRAST,"$1,723.00 "
MRI FOOT WITH & WITHOUT CONTRAST,"$2,278.00 "
MRI FOOT WITH CONTRAST,"$1,898.00 "
MRI FOOT WITHOUT CONTRAST,"$1,767.00 "
MRI FOREARM W/ AND W/O CONTRAST,"$2,121.00 "
MRI FOREARM WITH CONTRAST,"$1,792.00 "
MRI FOREARM WITHOUT CONTRAST,"$1,546.00 "
MRI HAND WITH & WITHOUT CONTRAST,"$2,121.00 "
MRI HAND WITH CONTRAST,"$1,792.00 "
MRI HEAND WITHOUT CONTRAST,"$1,546.00 "
MRI HIPS WITH & WITHOUT CONTRAST,"$2,384.00 "
MRI HIPS WITH CONTRAST,"$1,984.00 "
MRI HIPS WITHOUT CONTRAST,"$1,606.00 "
MRI HUMERUS W/ AND W/O CONTRAST,"$2,121.00 "
MRI HUMERUS WITH CONTRAST,"$1,792.00 "
MRI HUMERUS WITHOUT CONTRAST,"$1,546.00 "
MRI IAC DONE WITH BRAIN W/CONT,"$2,718.00 "
MRI IAC DONE WITH BRAIN W/O CONT,"$2,363.00 "
MRI IAC DONE WITH BRAIN W/WO CONT,"$3,264.00 "
MRI IAC WITH AND WITHOUT CONTRAST,"$3,264.00 "
MRI IAC WITH CONTRAST,"$2,718.00 "
MRI IAC WITHOUT CONTRAST,"$2,363.00 "
MRI KNEE WITH & WITHOUT CONTRAST,"$2,384.00 "
MRI KNEE WITH CONTRAST,"$1,984.00 "
MRI KNEE WITHOUT CONTRAST,"$1,606.00 "
MRI LOWER EXTREMITY,"$2,278.00 "
MRI LOWER LEG W/ AND W/O CONTRAST,"$2,278.00 "
MRI LOWER LEG WITH CONTRAST,"$1,898.00 "
MRI LOWER LEG WITHOUT CONTRAST,"$1,767.00 "
MRI LUMBAR SPINE W/CONTRAST,"$2,417.00 "
MRI MRCP,"$2,496.00 "
MRI MRV HEAD W/O CONTRAST,"$2,493.00 "
MRI ORBIT/FACE/NECK W/O & W/CONT,"$3,350.00 "
MRI ORBIT/FACE/NECK W/O CONTRAST,"$2,529.00 "
MRI ORBIT/FACE/NECK WITH CONTRAST,"$2,910.00 "
MRI PELVIS W/CONTRAST,"$2,386.00 "
MRI PELVIS W/O CONTRAST,"$2,101.00 "
MRI PELVIS W/WO CONTRAST,"$2,901.00 "
MRI PITUITARY W/ AND W/O CONTRAST,"$3,264.00 "
MRI PITUITARY WITH CONTRAST,"$2,718.00 "
MRI PITUITARY WITHOUT CONTRAST,"$2,363.00 "
MRI SACRUM/COCCYX W/ & W/O CONTRA,"$2,901.00 "
MRI SACRUM/COCCYX W/O CONTRAST,"$2,101.00 "
MRI SACRUM/COCCYX WITH CONTRAST,"$2,417.00 "
MRI SHOULDER W/ AND W/O CONTRAST,"$2,380.00 "
MRI SHOULDER WITH CONTRAST,"$1,980.00 "
MRI SHOULDER WITHOUT CONTRAST,"$1,723.00 "
MRI SPECTROSCOPY,"$2,207.00 "
"MRI SPINAL CANAL & CONT CERV,WO","$2,029.00 "
"MRI SPINAL CANAL & CONT LUMBAR,WO","$2,101.00 "
"MRI SPINAL CANAL & CONT THORAC,WO","$2,212.00 "
"MRI SPINAL CANAL WO THEN W,CERV","$2,798.00 "
"MRI SPINAL CANAL WO THEN W,LUMBAR","$2,901.00 "
"MRI SPINAL CANAL WO THEN W/,THOR","$3,053.00 "
MRI TEMPOROMANDIBULAR JOINT,"$2,774.00 "
MRI THIGH WITH & WITHOUT CONTRAST,"$2,278.00 "
MRI THIGH WITH CONTRAST,"$1,898.00 "
MRI THIGH WITHOUT CONTRAST,"$1,767.00 "
MRI THORACIC SPINE W/CONTRAST,"$2,543.00 "
MRI UPPER EXTREM OTHER THAN JT,"$2,121.00 "
MRI WRIST WITH & WITHOUT CONTRAST,"$2,380.00 "
MRI WRIST WITH CONTRAST,"$1,980.00 "
MRI WRIST WITHOUT CONTRAST,"$1,723.00 "
MRSA SCREEN BY PCR,$181.00 
MS CONTIN 100MG TABLET, $-   
MS PROFILE, $-   
MSDH - EIP,$33.00 
MSH2Z GENE,"$1,200.00 "
MSH6Z GENE ANALYSIS,$999.00 
MTE-5 W/SELENIUM INJ 10ML, $-   
MUCIN STAIN,$107.00 
MUCINEX 600MG CR TABLET, $-   
MUCO-FEN 800MG TAB CR, $-   
MUCO-FEN DM TABLET, $-   
"MUCOR RACEMOSUS(ON 6754,6761&6797",$33.00 
MUCOSIL-10 10% 10ML, $-   
