Wheeling ,,
Item Description,CPT/HCPC ,Price
PENTAMIDINE AEROSOL,94642,"$1,857.90 "
USN,94640,$40.72 
VITAL CAPACITY,94150,$105.52 
ACETYLCYSTEINE 4 ML 10%, ,$24.50 
ACETYLCYSTEINE 4 ML 20%, ,$29.75 
METAPROTERENOL 0.4% 0.6%, ,$8.25 
ATROPINE SULFATE 0.1%, ,$2.25 
CROMOLYN SODIUM 1%, ,$5.50 
DUONEB, ,$10.00 
ISOTHARINE 10MG/ML, ,$1.50 
IPRATROPIUM BROMIDE 0.02%, ,$8.25 
METAPROTERENOL 50MG/ML, ,$2.25 
NSS/H2O, ,$0.50 
ALBUTEROL 0.5%, ,$5.00 
ALBUTEROL 0.083% SOLUTION, ,$5.50 
PROVOCHOLINE 100MG,J7674,$262.50 
RACEMIC EPINEPHRINE 2.25%, ,$5.50 
LEVALBUTEROL 0.31 MG, ,$11.25 
LEVALBUTEROL 0.63 MG, ,$11.25 
LEVALBUTEROL 1.25 MG, ,$11.25 
PULMICORT 0.25 MG/2ML, ,$21.00 
PULMICORT 0.5 MG/2ML, ,$21.00 
BREATHING EXERCISE,94799,$158.46 
"ELECTROLYTES PLUS, WB",80051,$62.27 
BLOOD GAS + OXIMETRY,82805,$114.49 
"ELECTROLYTES, WB",80051,$50.49 
SPUN HEMATOCRIT,85013,$39.75 
"GLUCOSE, WB",82947,$36.00 
CLOT LYSIS TIME(TEG CLT),85175,$42.11 
PLATELET AGGREGATION (MA),85576,$89.15 
FIBRINOGEN ACTIVITY-ANGLE,85384,$83.04 
ACTIVATED CLOTTING TIME-R,85347,$37.56 
ARTERIAL BLOOD SAMPLING,36600,$51.90 
PFT MSHA-CITY,94010,$150.30 
FLOW VOLUMN LOOP,94375,$274.50 
BEDSIDE SPIROMETRY,94150,$162.22 
OCCUPATIONAL PFS, ,"$1,782.25 "
OCCUPATIONAL PFS/W STRESS, ,"$1,777.00 "
BRONCHIAL CHALLENGE TEST-,94070,$864.00 
BRONCHIAL CHALLENGE TEST-,94070,$864.00 
BRONCHIAL CHALLENGE TEST-,94070,$864.00 
BRONCHOSCOPE PROCESS FEE, ,$76.75 
BEDSIDE BRONCHOSCOPY(RESP,31622,$674.43 
PULM STRESS TEST COMPLEX,94621,"$1,747.50 "
NUTRITIONAL ASSESSMENT,94681,$340.65 
PULMONARY LAB NO SHOW FEE, ,$137.50 
DIFFUSION CAPACITY-D2CO,94729,$381.77 
HEMOGLOBIN ANALYSIS,85018,$28.46 
PULSE OXIMETRY - SINGLE,94760,$38.47 
PULSE OXIMETRY - MULTIPLE,94761,$76.26 
FICK CARDIAC OUTPUT,94681,$190.80 
LUNG VOLUMES-WASHOUT TECH,94727,$455.40 
ASBESTOSIS EVALUATION PFT, ,$447.81 
MVV,94200,$30.50 
PEAK FLOW - MEASUREMENT, ,$45.00 
SPIROMETRY,94010,$207.74 
SPIROMETRY W/DILATOR,94060,$544.58 
LUNG PLETHYSMOGRAPHY,94726,"$1,072.50 "
CORP. HEALTH PULM. SCREEN,94010,$93.71 
PNEUMOCARDIOGRAM,94772,$768.74 
NEBULIZER REFILL, ,$5.50 
BALLARD SAFETY DRAIN 131, ,$10.00 
BALLARD SAFETY DRAIN 132, ,$6.50 
NONCONDUCTIVE BREATHING B, ,$7.00 
ABG KIT, ,$6.75 
ADULT RESUSCITATOR, ,$44.00 
TRACH SUCTION CATH-CLOSED, ,$44.00 
CAPNO-FLO RESUSCITATOR, ,$121.75 
CONT AEROSOL DBL CIRCUIT, ,$83.00 
CONT AEROSOL SGL CIRCUIT, ,$44.00 
CONT. AEROSOL NEBULIZER, ,$44.00 
CPR SUPPLIES, ,$66.50 
CROUP TENT CANOPY, ,$20.00 
CROUP TENT SOLUTION, ,$13.25 
FACIAL CPAP CIRCUIT, ,$66.50 
HEATED HUMIDIFIER SYSTEM, ,$33.25 
HME/FILTER, ,$22.25 
H/C AEROSOL RX. CIRCUIT, ,$22.00 
INCENTIVE SPIROMETER, ,$13.25 
INFANT RESUSCITATOR, ,$83.00 
IPPB CIRCUIT, ,$22.00 
ISOLETTE O2 CIRCUIT, ,$4.50 
MDI SPACER, ,$33.25 
MDI SPACER W/MASK, ,$22.00 
MHH CIRCUIT, ,$44.00 
NASAL CANNULA - 25 FOOT, ,$4.50 
NASAL CANNULA - 7 FOOT, ,$1.50 
NASAL CPAP/BIPPAP SUPPLIE, ,$170.00 
NON-REBREATHER MASK, ,$4.50 
O2 CONNECTING TUBE, ,$1.50 
O2 TRANSPORT CIRCUIT, ,$4.50 
OXIMETRY PROBE, ,$49.75 
OXYGEN HUMIDIFIER, ,$5.50 
OXYHOOD CIRCUIT, ,$33.25 
PARTIAL REBREATHER MASK, ,$4.50 
PEAK FLOW METER, ,$44.00 
PEDIATRIC RESUSCITATOR, ,$60.75 
PFT CIRCUIT, ,$22.00 
PRESSURE VENT. CIRCUIT, ,$193.50 
RIBAVIRIN CIRCUIT, ,$121.75 
SIMPLE O2 MASK, ,$4.50 
S.A. NEBULIZER, ,$5.50 
USN CIRCUIT, ,$27.75 
VENTILATOR MDI SPACER, ,$13.25 
VENTILATOR S.A. CIRCUIT, ,$8.75 
VENTURI MASK, ,$4.50 
VOLUMN VENTILATOR CIRCUIT, ,$276.25 
V/Q SCAN VENT. CIRCUIT, ,$60.75 
INSTRUCTION,94664,$42.75 
NEW PT VISIT LVL 1,99201,$27.00 
NEW PT VISIT LVL 1 + PROC,99201,$27.00 
NEW PT VISIT LVL 2,99202,$44.00 
NEW PT VISIT LVL 2 + PROC,99202,$44.00 
NEW PT VISIT LVL 3,99203,$70.00 
NEW PT VISIT LVL 3 + PROC,99203,$77.00 
NEW PT VISIT LVL 4,99204,$89.00 
NEW PT VISIT LVL 4 + PROC,99204,$89.00 
NEW PT VISIT LVL 5,99205,$102.00 
NEW PT VISIT LVL 5 + PROC,99205,$102.00 
SUB OTHER DC CM,G8995,$0.01 
AFO,L1930,$93.94 
STIRRUP ANKLE,L4350,$73.33 
AIRCAST LONG LOWER LEG,L4350,$136.92 
HUMERAL FRACTURE BRACE,L3980,$381.50 
WARM N FORM,L0625,$122.12 
ABDOMINAL BINDER,L0625,$23.98 
BIOFEEDBACK,90911,$341.83 
SUP OM WOODEN CANE,E0100,$21.16 
DONJOY ULTRASLING III,L3670,$166.56 
CAST BOOT,L3260,$19.50 
HEEL WEDGE HARD SOLE SHOE,L3260,$101.01 
HEEL WEDGE LIFT, ,$51.91 
SUP LUMBAR ROLL, ,$43.40 
NOSE GUARD, ,$146.48 
CRUTCH HAND PADS MEDLINE,A4636,$7.29 
CRUTCH TIPS MEDLINE,A4637,$9.12 
SUP MEDLINE CRUTCH,E0114,$50.75 
CRUTCHES CHILD,E0114,$44.55 
FOREARM CRUTCHES,E0110,$306.63 
TRACTION,97012,$132.05 
ELECTRICAL STIMULAT,97014,$77.65 
TENS INSTRUCTION,64550,$219.31 
MANUAL ELECTRIC STIM 15MN,97032,$162.30 
PATELLA STRAP,A4467,$47.25 
FRACTURE WALKER,L4361,$148.02 
FRACTURE WALKER WITH LIFT,L4361,$199.92 
GAIT TRAINING EA 15MIN,97116,$84.35 
HEEL LIFT,L3332,$19.25 
METBAR,L3050,$21.39 
NECK MDSHOP HOME CT UNIT,E0860,$66.75 
HOSE THIGH HIGH KENDALL,A6533,$25.10 
HOT PACK/COLD PACK,97010,$81.48 
IONTOPHORESIS EA 15 MIN,97033,$119.78 
SUP JUMPSTRE FLEXBAND,A9300,$53.90 
VASOPNEUMATIC COMPRESSION,97016,$134.33 
KNEE IMMOBILIZER,L1830,$37.87 
MANUAL THERAPY EA 15 MIN,97140,$122.55 
MASSAGE EA 15 MIN,97124,$78.32 
CANALITH REPOSITIONING,95992,$137.60 
NEUROMUSCULR RE-ED EA15MN,97112,$149.53 
ORTHOTICS TRAINING INITIAL ENCOUNTER ,97760,$75.56 
SHLD SP OVERHEAD PULLEY,A9300,$51.42 
PARAFFIN BATH,97018,$72.00 
PRAFO BOOT,L4396,$332.50 
SENSORY INTEGRATIVE TECH,97533,$50.29 
THERAPEUTIC ACTIVITIES,97530,$79.15 
THERAPEUTIC EXER/EA 15MIN,97110,$120.76 
THERAPEUTIC EXER GROUP,97150,$50.85 
SUP SP THERAPUTTY 3 OZ,A9300,$8.05 
ULTRASOUND EA 15MIN,97035,$108.41 
ULTRASOUND WITH DEX,97035,$108.41 
SUP APRIA PLATFORM ATTACH,E0154,$262.12 
SUP APRIA WALKER WHEELS,E0155,$36.40 
SUP APRIA WALKER PEDIATRI,E0135,$105.26 
SUP APRIA WALKER ADULT,E0135,$87.85 
WHEELED WALKER,E0143,$123.87 
WALKER HEAVY DUTY APRIA,E0148,$336.77 
WHIRLPOOL,97022,$80.65 
WHIRLPOOL WITH ADDITIVE,97022,$134.92 
LEVEL 1 FCE NO SHOW, ,$66.00 
LEVEL 2 FCE NO SHOW, ,$132.00 
FCE-WV LEVEL 2 EA 15 MIN, ,$69.75 
FUNCTIONAL CAPACITY 15MIN,97750,$167.42 
WORK HARD/COND   INIT 2HR,97545,$69.75 
WORK HARD/COND EA ADDL HR,97546,$59.97 
WORK CONDITIONING OH, ,$12.38 
JOB ANALYSIS PER HOUR,97799,$78.75 
LIFT TEST 5, ,$5.50 
LIFT TEST 60, ,$66.00 
LIFT TEST 80, ,$88.00 
WORK FITNESS TEST, ,$250.00 
LIFT TEST 85, ,$85.00 
WRIST GAUNTLET THUMB SPIC,L3809,$55.34 
CUSTOM ORTHOTICS,L3020,$350.00 
WRIST GAUNTLET 10,L3908,$44.49 
WRIST GAUNTLET 8,L3908,$44.49 
SUP JOBST STOCKING BKNEE,A6530,$108.50 
SUP JOBST STOCKING THIGH,A6533,$210.07 
TEMPER STICK PADDING SH, ,$25.90 
HI PERFORMANCE KNIT SUPPORT ,A4467,$60.00 
HI PERFORM HINGED KNIT SUP ,L1812,$198.63 
ELASTIC KNEE, ,$60.00 
HINGED LPS BRACE,L1820,$171.50 
HINGED KNEE,L1820,$131.71 
SUP EMPI ELECTRODE, ,$10.68 
SELECTIVE DEBRIDEMENT,97597,$437.40 
NINJA BACK BRACE,L0625,$227.50 
NINJA BACK BRACE PRO,L0637,$507.50 
SUP ELASTIC BACK SUPPORT,L0625,$119.00 
NINJA BACK BRACE LSO,L0631,$451.50 
PLANTAR FASCIA SPLINT,L4396,$152.85 
NINJA BACK BRACE PRO TALL,L0456,$696.50 
SLING AND SWATHE,A4565,$38.15 
SHOULDER IMMOBILIZER,L3650,$66.50 
AQUATEMP,L3030,$59.50 
TOE SPREADER, ,$4.75 
TOE NIGHT SPLINT, ,$26.00 
MALLEOTRAIN, ,$121.07 
ACHILLOTRAIN,L1902,$230.55 
NINJA BACK BRACE LSM,L0627,$402.50 
POSTOP SHOE,L3260,$23.59 
AQUATIC THERAPY EA 15 MIN,97113,$99.30 
CLAVICE STRAP,L3650,$33.25 
CERVICAL COLLAR ASPEN,L0172,$123.61 
COLLAR CERVICAL,L0120,$24.12 
ELASTIC ANKLE,A4466,$118.65 
SUP OM ALUMINUM CANE,E0100,$35.42 
CUSTOM ACL,L1846,"$1,772.00 "
SUP APRIA QUADCANE,E0105,$119.00 
VELOCITY ANKLE BRACE,L1971,$105.28 
SUP SP REPCORD,A9300,$5.50 
WONDERCUP,L3485,$80.50 
VISCOSPOT,L3485,$115.50 
LACE UP ANKLE,L1906,$77.12 
ANKLE LACE UP,L1906,$87.33 
KNEE DJ IROM COOL,L1832,$263.26 
POST-OP KNEE,L1832,$413.84 
HINGED LATERAL J,L1820,$131.71 
LATERAL J KNEE SLEEVE, ,$60.00 
WRIST SPLINT,L3908,$50.86 
BANDIT TENNIS ELBOW,A4467,$46.17 
WRIST GAUNTLET,L3908,$34.76 
PROSTHETIC  TRAIN INITIAL ENCOUNTER EA 15 MIN,97761,$50.74 
HAPAD BAR,L3080,$23.94 
ORTH CHECK ESTAB EA 15MIN,97763,$86.72 
AIRSPORT ANKLE,L1906,$82.99 
TELESCOPING ELBOW,L3760,$378.00 
CONTRAST BATH,97034,$100.20 
UNLOADER,L1843,"$1,107.02 "
Z-12 ADJUSTABLE OA BRACE,L1845,"$1,276.10 "
PLAYMAKER,L1845,$336.18 
20/50 BRACE,L1845,"$1,032.50 "
BLEDSOE ACL,L1845,"$1,435.00 "
KNEE DJ 4TITUDE,L1845,$944.02 
ARMOR,L1845,"$1,143.98 "
CAST BOOT, ,$19.50 
PT MEMBERSHIP, ,$49.00 
SIMPLY STABLE SHOULDER,L3675,$171.68 
SULLY SHOULDER,L3675,$406.00 
ARC 2.0 SHOULDER,L3960,$451.50 
EPITRAIN,A4467,$175.56 
THERMOPLASTIC INSERT, ,$82.18 
AXIOM ELITE SPORT,L1845,"$1,239.70 "
Z12 SPORT,L1845,"$1,506.75 "
Z12 ADJUSTABLE OA,L1845,"$1,216.60 "
GROUP THER PROC 15 MIN,97150,$77.11 
GROUP THER PROC 30 MIN,97150,$82.67 
GROUP THER PROC 45 MIN,97150,$82.13 
GROUP THER PROC 60 MIN,97150,$86.58 
CPM SOFT KIT, ,$52.50 
PILLOW HIP LIFT 4 INCH, ,$68.60 
POSITIONING DEVICE,E0190,$175.00 
WHEELCHAIR TRAIN EA 15MIN,97542,$90.81 
MOBILITY CURRENT STATUS,G8978,$0.01 
MOBILITY GOAL STATUS,G8979,$0.01 
MOBILITY DC STATUS,G8980,$0.01 
BODY POS CURRENT STATUS,G8981,$0.01 
BODY POS GOAL STATUS,G8982,$0.01 
BODY POS DC STATUS,G8983,$0.01 
CARRY CURRENT STATUS,G8984,$0.01 
CARRY GOAL STATUS,G8985,$0.01 
CARRY DC STATUS,G8986,$0.01 
SELF CARE CURRENT STATUS,G8987,$0.01 
SELF CARE GOAL STATUS,G8988,$0.01 
SELF CARE DC STATUS,G8989,$0.01 
OTHER PT CURRENT STATUS,G8990,$0.01 
OTHER PT GOAL STATUS,G8991,$0.01 
OTHER PT DC STATUS,G8992,$0.01 
SUB PT CURRENT STATUS,G8993,$0.01 
SUB PT GOAL STATUS,G8994,$0.01 
SUB PT DC STATUS,G8995,$0.01 
MOBILITY CURRENT CH,G8978,$0.01 
MOBIITY CURRENT CI,G8978,$0.01 
MOBILITY CURRENT CJ,G8978,$0.01 
MOBILITY CURRENT CK,G8978,$0.01 
MOBILITY CURRENT CL,G8978,$0.01 
MOBILITY CURRENT CM,G8978,$0.01 
MOBILITY CURRENT CN,G8978,$0.01 
MOBILITY GOAL CH,G8979,$0.01 
MOBILITY GOAL CI,G8979,$0.01 
MOBILITY GOAL CJ,G8979,$0.01 
MOBILITY GOAL CK,G8979,$0.01 
MOBILITY GOAL CL,G8979,$0.01 
MOBILITY GOAL CM,G8979,$0.01 
MOBILITY GOAL CN,G8979,$0.01 
MOBILTIY DISCHARE CH,G8980,$0.01 
MOBILITY DISCHARGE CI,G8980,$0.01 
MOBILITY DISCHARE CJ,G8980,$0.01 
MOBILITY DISCHARGE CK,G8980,$0.01 
MOBILITY DISCHARGE CL,G8980,$0.01 
MOBILITY DISCHARGE CM,G8980,$0.01 
MOBILITY DISCHARGE CN,G8980,$0.01 
BODY POSITION CURRENT CH,G8981,$0.01 
BODY POSITION CURRENT CI,G8981,$0.01 
BODY POSITION CURRENT CJ,G8981,$0.01 
BODY POSITION CURRENT CK,G8981,$0.01 
BODY POSITION CURRENT CL,G8981,$0.01 
BODY POSITION CURRENT CM,G8981,$0.01 
BODY POSITION CURRENT CN,G8981,$0.01 
BODY POSITION GOAL CH,G8982,$0.01 
BODY POSITION GOAL CI,G8982,$0.01 
BODY POSITION GOAL CJ,G8982,$0.01 
BODY POSITION GOAL CK,G8982,$0.01 
BODY POSITION GOAL CL,G8982,$0.01 
BODY POISITION GOAL CM,G8982,$0.01 
BODY POSITION GOAL CN,G8982,$0.01 
BODY POSITION DC CH,G8983,$0.01 
BODY POSITION DC CI,G8983,$0.01 
BODY POSITION DC CJ,G8983,$0.01 
BODY POSITION DC CK,G8983,$0.01 
BODY POSITION DC CL,G8983,$0.01 
BODY POSITION DC CM,G8983,$0.01 
BODY POSITION DC CN,G8983,$0.01 
CARRY CURRENT CH,G8984,$0.01 
CARRY CURRENT CI,G8984,$0.01 
CARRY CURRENT CJ,G8984,$0.01 
CARRY CURRENT CK,G8984,$0.01 
CARRY CURRENT CL,G8984,$0.01 
CARRY CURRENT CM,G8984,$0.01 
CARRY CURRENT CN,G8984,$0.01 
CARRY GOAL CH,G8985,$0.01 
CARRY GOAL CI,G8985,$0.01 
CARRY GOAL CJ,G8985,$0.01 
CARRY GOAL CK,G8985,$0.01 
CARRY GOAL CL,G8985,$0.01 
CARRY GOAL CM,G8985,$0.01 
CARRY GOAL CN,G8985,$0.01 
CARRY DC CH,G8986,$0.01 
CARRY DC CI,G8986,$0.01 
CARRY DC CJ,G8986,$0.01 
CARRY DC CK,G8986,$0.01 
CARRY DC CL,G8986,$0.01 
CARRY DC CM,G8986,$0.01 
CARRY DC CN,G8986,$0.01 
SELF CARE CURRENT CH,G8987,$0.01 
SELF CARE CURRENT CI,G8987,$0.01 
SELF CARE CURRENT CJ,G8987,$0.01 
SELF CARE CURRENT CK,G8987,$0.01 
SELF CARE CURRENT CL,G8987,$0.01 
SELF CARE CURRENT CM,G8987,$0.01 
SELF CARE CURRENT CN,G8987,$0.01 
SELF CARE GOAL CH,G8988,$0.01 
SELF CARE GOAL CI,G8988,$0.01 
SELF CARE GOAL CJ,G8988,$0.01 
SELF CARE GOAL CK,G8988,$0.01 
SELF CARE GOAL CL,G8988,$0.01 
SELF CARE GOAL CM,G8988,$0.01 
SELF CARE GOAL CN,G8988,$0.01 
SELF CARE DC CH,G8989,$0.01 
SELF CARE DC CI,G8989,$0.01 
SELF CARE DC CJ,G8989,$0.01 
SELF CARE DC CK,G8989,$0.01 
DYNATRACKWRAP AROUND,L1820,$129.50 
SELF CARE DC CL,G8989,$0.01 
SELF CARE DC CM,G8989,$0.01 
SELF CARE DC CN,G8989,$0.01 
OTHER CURRENT CH,G8990,$0.01 
OTHER CURRENT CI,G8990,$0.01 
OTHER CURRENT CJ,G8990,$0.01 
OTHER CURRENT CK,G8990,$0.01 
OTHER CURRENT CL,G8990,$0.01 
OTHER CURRENT CM,G8990,$0.01 
OTHER CURRENT CN,G8990,$0.01 
OTHER GOAL CH,G8991,$0.01 
OTHER GOAL CI,G8991,$0.01 
OTHER GOAL CJ,G8991,$0.01 
OTHER GOAL CK,G8991,$0.01 
OTHER GOAL CL,G8991,$0.01 
OTHER GOAL CM,G8991,$0.01 
OTHER GOAL CN,G8991,$0.01 
OTHER DC CH,G8992,$0.01 
OTHER DC CI,G8992,$0.01 
OTHER DC CJ,G8992,$0.01 
OTHER DC CK,G8992,$0.01 
OTHER DC CL,G8992,$0.01 
OTHER DC CM,G8992,$0.01 
OTHER DC CN,G8992,$0.01 
SUB OTHER CURRENT CH,G8993,$0.01 
SUB OTHER CURRENT CI,G8993,$0.01 
SUB OTHER CURRENT CJ,G8993,$0.01 
SUB OTHER CURRENT CK,G8993,$0.01 
SUB OTHER CURRENT CL,G8993,$0.01 
SUB OTHER CURRENT CM,G8993,$0.01 
SUB OTHER CURRENT CN,G8993,$0.01 
SUB OTHER GOAL CH,G8994,$0.01 
SUB OTHER GOAL CI,G8994,$0.01 
SUB OTHER GOAL CJ,G8994,$0.01 
SUB OTHER GOAL CK,G8994,$0.01 
SUB OTHER GOAL CL,G8994,$0.01 
SUB OTHER GOAL CM,G8994,$0.01 
SUB OTHER GOAL CN,G8994,$0.01 
SUB OTHER DC CH,G8995,$0.01 
SUB OTHER DC CI,G8995,$0.01 
SUB OTHER DC CJ,G8995,$0.01 
SUB OTHER DC CK,G8995,$0.01 
SUB OTHER DC CL,G8995,$0.01 
SUB OTHER DC CM,G8995,$0.01 
SUB OTHER DC CN,G8995,$0.01 
PT EVALUATION LOW,97161,$270.68 
PT EVALUATION MODERATE,97162,$270.68 
PT EVALUATION HIGH,97163,$270.68 
PT RE-EVALUATION,97164,$115.25 
RE-EVALUATION HAND/OT,97168,$143.37 
MOBILITY GOAL,G8979,$0.01 
MOBILITY D/C,G8980,$0.01 
BODY POSITION CURRENT,G8981,$0.01 
BODY POSITION GOAL,G8982,$0.01 
BODY POSITION D/C,G8983,$0.01 
CARRY CURRENT,G8984,$0.01 
CARRY GOAL,G8985,$0.01 
CARRY D/C,G8986,$0.01 
SELF CARE CURRENT,G8987,$0.01 
SELF CARE GOAL,G8988,$0.01 
SELF CARE D/C,G8989,$0.01 
OTHER OT LIMIT CURRENT,G8990,$0.01 
OTHER OT LIMIT GOAL,G8991,$0.01 
OTHER OTHER OT LIMIT D/C,G8992,$0.01 
OT SUBSEQUENT CURRENT,G8993,$0.01 
OT SUBSEQUENT GOAL,G8994,$0.01 
OT SUBSEQUENT D/C,G8995,$0.01 
MOBILITY CURRENT CH,G8978,$0.01 
MOBILITY CURRENT CI,G8978,$0.01 
MOBILITY CURRENT CJ,G8978,$0.01 
MOBILITY CURRENT  CK,G8978,$0.01 
MOBILITY CURRENT CL,G8978,$0.01 
MOBILITY CURRENT CM,G8978,$0.01 
MOBILITY CURRENT CN,G8978,$0.01 
MOBILITY GOAL CH,G8979,$0.01 
MOBILITY GOAL CI,G8979,$0.01 
MOBILITY GOAL CJ,G8979,$0.01 
MOBILITY GOAL CK,G8979,$0.01 
MOBILITY GOAL CL,G8979,$0.01 
MOBILITY GOAL CM,G8979,$0.01 
MOBILITY GOAL CN,G8979,$0.01 
MOBILITY DC CH,G8980,$0.01 
MOBILITY DC  CI,G8980,$0.01 
MOBILITY DC CJ,G8980,$0.01 
MOBILITY DC CK,G8980,$0.01 
MOBILITY DC  CL,G8980,$0.01 
MOBILITY DC CM,G8980,$0.01 
MOBILITY DC CN,G8980,$0.01 
BODY POSITION CURRENT CH,G8981,$0.01 
BODY POSITION CURRENT CI,G8981,$0.01 
BODY POSITION CURRENT CJ,G8981,$0.01 
BODY POSITION CURRENT CK,G8981,$0.01 
BODY POSITION CURRENT CL,G8981,$0.01 
BODY POSITION CURRENT CM,G8981,$0.01 
BODY POSITION CURRENT CN,G8981,$0.01 
BODY POSITION GOAL CH,G8982,$0.01 
BODY POSITION GOAL CI,G8982,$0.01 
BODY POSITION GOAL CJ,G8982,$0.01 
BODY POSITION GOAL CK,G8982,$0.01 
BODY POSITION GOAL CL,G8982,$0.01 
BODY POSITION GOAL CM,G8982,$0.01 
BODY POSITION GOAL CN,G8982,$0.01 
BODY POSITION D/C  CH,G8983,$0.01 
BODY POSITION D/C  CI,G8983,$0.01 
BODY POSITION D/C  CJ,G8983,$0.01 
BODY POSITION D/C  CK,G8983,$0.01 
BODY POSITION D/C  CL,G8983,$0.01 
BODY POSITION D/C CM,G8983,$0.01 
BODY POSITION D/C  CN,G8983,$0.01 
CARRY CURRENT CH,G8984,$0.01 
CARRY CURRENT CI,G8984,$0.01 
CARRY CURRENT CJ,G8984,$0.01 
CARRY CURRENT CK,G8984,$0.01 
CARRY CURRENT CL,G8984,$0.01 
CARRY CURRENT CM,G8984,$0.01 
CARRY CURRENT CN,G8984,$0.01 
CARRY GOAL CH,G8985,$0.01 
CARRY GOAL CI,G8985,$0.01 
CARRY GOAL CJ,G8985,$0.01 
CARRY GOAL CK,G8985,$0.01 
CARRY GOAL CL,G8985,$0.01 
CARRY GOAL CM,G8985,$0.01 
CARRY GOAL CN,G8985,$0.01 
CARRY DC CH,G8986,$0.01 
CARRY DC CI,G8986,$0.01 
CARRY DC  CJ,G8986,$0.01 
CARRY DC CK,G8986,$0.01 
CARRY DC CL,G8986,$0.01 
CARRY DC CM,G8986,$0.01 
CARRY DC CN,G8986,$0.01 
SELF CARE CURRENT CH,G8987,$0.01 
SELF CARE CURRENT CI,G8987,$0.01 
SELF CARE CURRENT CJ,G8987,$0.01 
SELF CARE CURRENT CK,G8987,$0.01 
SELF CARE CURRENT CL,G8987,$0.01 
SELF CARE CURRENT CM,G8987,$0.01 
SELF CARE CURRENT CN,G8987,$0.01 
SELF CARE GOAL CH,G8988,$0.01 
SELF CARE GOAL CI,G8988,$0.01 
SELF CARE GOAL CJ,G8988,$0.01 
SELF CARE GOAL CK,G8988,$0.01 
SELF CARE GOAL CL,G8988,$0.01 
SELF CARE GOAL CM,G8988,$0.01 
SELF CARE GOAL CN,G8988,$0.01 
SELF CARE D/C CH,G8989,$0.01 
SELF CARE D/C CI,G8989,$0.01 
SELF CARE D/C CJ,G8989,$0.01 
SELF CARE D/C CK,G8989,$0.01 
SELF CARE D/C  CL,G8989,$0.01 
SELF CARE D/C  CM,G8989,$0.01 
SELF CARE D/C  CN,G8989,$0.01 
OTHER OT CURRENT CH,G8990,$0.01 
OTHER OT CURRENT CI,G8990,$0.01 
OTHER OT CURRENT CJ,G8990,$0.01 
OTHER OT CURRENT CK,G8990,$0.01 
OTHER OT CURRENT CL,G8990,$0.01 
OTHER OT CURRENT CM,G8990,$0.01 
OTHER OT CURRENT CN,G8990,$0.01 
OTHER OT GOAL CH,G8991,$0.01 
OTHER OT GOAL  CI,G8991,$0.01 
OTHER OT GOAL  CJ,G8991,$0.01 
OTHER OT GOAL CK,G8991,$0.01 
OTHER OT GOAL CL,G8991,$0.01 
OTHER OT GOAL CM,G8991,$0.01 
OTHER OT GOAL CN,G8991,$0.01 
OTHER OT DC  CH,G8992,$0.01 
OTHER OT DC   CI,G8992,$0.01 
OTHER OT DC  CJ,G8992,$0.01 
OTHER OT DC   CK,G8992,$0.01 
OTHER OT DC   CL,G8992,$0.01 
OTHER OT DC CM,G8992,$0.01 
OTHER OT DC   CN,G8992,$0.01 
OT SUBSEQUENT CURRENT CH,G8993,$0.01 
OT SUBSEQUENT CURRENT  CI,G8993,$0.01 
OT SUBSEQUENT CURRENT CJ,G8993,$0.01 
OT SUBSEQUENT CURRENT  CK,G8993,$0.01 
OT SUBSEQUENT CURRENT  CL,G8993,$0.01 
SUBSEQUENT CURRENT CM,G8993,$0.01 
SUBSEQUENT CURRENT CN,G8993,$0.01 
OT SUBSEQUENT GOAL CH,G8994,$0.01 
OT SUBSEQUENT GOAL  CI,G8994,$0.01 
OT SUBSEQUENT GOAL CJ,G8994,$0.01 
OT SUBSEQUENT GOAL CK,G8994,$0.01 
OT SUBSEQUENT GOAL  CL,G8994,$0.01 
OT SUBSEQUENT GOAL CM,G8994,$0.01 
OT SUBSEQUENT GOAL CN,G8994,$0.01 
OT SUBSEQUENT DC  CH,G8995,$0.01 
OT SUBSEQUENT DC  CI,G8995,$0.01 
OT SUBSEQUENT DC  CJ,G8995,$0.01 
OT SUBSEQUENT   DC  CK,G8995,$0.01 
OT SUBSEQUENT DC   CL,G8995,$0.01 
OT SUBSEQUENT  DC   CM,G8995,$0.01 
OT SUBSEQUENT DC  CN,G8995,$0.01 
ISOTONER GLOVE, ,$33.75 
PILLOW SPLINT, ,$34.42 
SELF CARE/HOME MNT EA 15,97535,$111.93 
BIOFEEDBACK EA 15,97112,$123.86 
EVALUATION PRE-DRIVERS, ,$147.88 
BTE/THERAP ACTIVITY EA 15,97530,$89.75 
NEUROMUSC RE-ED EA 15,97112,$134.25 
PARAFFIN BATH 1X,97018,$87.81 
WHIRLPOOL 1X,97022,$90.59 
ELEC STIM UNATTEND 1X,97014,$95.95 
FLEXION STRAP,L3927,$58.45 
BUDDY STRAP PAIR,L3929,$14.00 
SLING-ADULT,A4565,$12.01 
HOT/COLD PACKS,97010,$81.48 
IONTOPHORESIS EA 15,97033,$120.31 
GRIPPER,A9300,$36.25 
MASSAGE EA 15,97124,$36.45 
ELASTOMER, ,$17.50 
PHONOPHORESIS EA 15,97035,$110.63 
THERAP PROCED EA 15,97110,$86.03 
THERAPY PUTTY,A9300,$14.00 
ULTRASOUND EA 15,97035,$110.63 
