Hospital Name:  AHMC WHITTIER HOSPITAL MEDICAL CENTER,,,
OSHPD Facility No: 106190883,,,
"Effective Date of Charges: June 1, 2018",,,
2822949,PROVERA (medroxyPROGESTERone) TAB: 2.5MG,$26.00,
2822950,PROVERA (medroxyPROGESTERone) TAB: 5MG,$26.00,
2822951,PROVIGIL (MODAFINIL):100MG TAB,$61.00,
2822953,PROVISC (HYALURONATE SODIUM): 0.85ML,$743.00,
2822954,PROzac (FLUoxetine) CAP:10MG,$21.00,
2822955,PROzac (FLUoxetine) CAP: 20MG,$21.00,
2822960,PTU (PROPYLTHIOURACIL) TAB: 50MG,$24.00,
2822961,PULMICORT (BUDESONIDE) NEB: 0.25MG/2ML,$38.00,
2822964,PULMOZYME (DORNASE) IM: 1MG/ML,$471.00,
2822965,PURINETHOL(MERCAPTOPURINE) :50 MG,$19.00,
2822966,PYRAZINAMIDE (PZA)TAB: 500MG,$30.00,
2822969,PYRIDIUM (PHENAZOPYRIDINE) TAB: 100MG,$26.00,
2822971,PYRIDOXINE (VITAMIN B6) SDV: 100MG/ML,$121.00,
2822973,PYRIDOXINE (VITAMIN B6) TAB: 50MG,$20.00,
2822976,QUESTRAN (CHOLESTYRAMINE) PKT: 4GM,$29.00,
2822980,QUINIDEX(QUINIDINE SO4) ER TAB :300MG,$30.00,
2822984,QUINIDINE TAB:300MG,$30.00,
2822985,QUINAGLUTE(QUINIDINE GLUCONATE)TAB:324MG,$26.00,
2822986,QUININE CAP:200MG,$27.00,
2822987,QUINAMM(QUININE SULFATE)TAB:260 MG,$30.00,
2822988,QUALAQUIN (QUININE SULF.) CAP: 324MG,$30.00,
2822993,RACEPINEPHRINE(EPINEPH) 2.25% TOPICAL,$18.00,
2822996,RECOMBIVAX(HEPATITIS) SDV:10MCG,$760.00,
2822997,R GENE(ARGININE HCL)INJ:300 ML,$938.00,
2822998,REGITINE (PHENTOLAMINE) SDV: 5MG,$286.00,
2822999,REGITINE(PHENTOLAMINE) SDV:10MG,$528.00,
2823000,REGITINE(PHENTOLAMINE) SDV:20MG,$1016.00,
2823001,REGLAN (METOCLOPRAMIDE) SDV 10MG/2ML,$122.00,
2823002,REGLAN (METOCLOPRAMIDE) SOLN 10MG/10ML,$18.00,
2823003,REGLAN (METOCLOPRAMIDE) TAB: 10MG,$16.00,
2823005,REGRANEX(BECAPLERMIN) GEL 0.01% 15G,$4066.00,
2823007,RELAFEN (NABUMETONE) TAB:500MG,$23.00,
2823008,REMERON (MIRTAZAPINE) SOLTAB: 15MG,$19.00,
2823011,REMICADE (INFLIXIMAB )INJ 10MG,$598.00,
2823014,RENACIDIN IRRG 1000ML,$187.00,
2823015,RENAGEL (SEVELAMER) TAB: 400MG,$24.00,
2823016,RENAGEL (SEVELAMER) TAB: 800MG,$37.00,
2823018,RENOGRAFIN,$146.00,
2823019,REQUIP (ROPINIRole) TAB: 0.5MG,$24.00,
2823020,REQUIP (ROPINIRole) TAB: 2MG,$24.00,
2823029,RESTORIL (TEMAZEPAM) CAP: 15MG,$21.00,
2823030,RESTORIL(TEMAZEPAM) CAP:30MG,$21.00,
2823039,REZULIN(TROGLITAZONE)TAB: 200 MG,$24.00,
2823040,RIDAURA(AURANOFIN)TAB 3 MG,$24.00,
2823041,RIFADIN (rifAMPin) CAP: 150MG,$24.00,
2823042,RIFADIN (rifAMPin) CAP: 300MG,$24.00,
2823043,RIFADIN(RIFIMIN) SDV:300MG,$581.00,
2823044,RIFADIN (rifAMPin) SDV: 600MG,$578.00,
2823049,RIOPAN(MAGALDRATE)TAB:,$19.00,
2823050,RisperDAL (RisperiDONE) TAB: 0.5MG,$74.00,
2823051,RisperDAL (RisperiDONE) TAB: 1MG,$77.00,
2823052,RisperDAL (RisperiDONE) TAB: 2MG,$141.00,
2823053,RITALIN (METHYLPHENIDATE) TAB: 5MG,$19.00,
2823055,RITUXAN (RiTUXimab) SDV: 100MG,$3829.00,
2823057,ROBAXIN (METHOCARBAMOL) TAB: 500MG,$19.00,
2823058,ROBAXIN (METHOCARBAMOL) TAB: 750MG,$19.00,
2823059,ROBAXIN (METHOCARBAMOL) INJ: 1000MG/10ML,$89.00,
2823061,ROBINUL-FORTE (GLYCOPYRROLATE) TAB: 2MG,$33.00,
2823062,ROBINUL (GLYCOPYRROLATE) INJ 1MG/ 5ML,$158.00,
2823063,ROBINUL (GLYCOPYRROLATE) INJ 0.2MG/ 1ML,$132.00,
2823064,ROBINUL(GLYCOPYRROLATE) SDV:0.4MG/2ML,$176.00,
2823065,ROBINUL (GLYCOPYRROLATE) TAB: 1MG,$32.00,
2823066,ROBITUSSIN AC (GUAIF/COD) SYRUP: 10ML,$24.00,
2823069,ROBITUSSIN DAC(GUAIF/COD) SYR:100/10/5ML,$24.00,
2823071,ROBITUSSIN DM(GUAIF/DM) SYRP:200/20/10ML,$19.00,
2823074,ROBITUSSIN (GUAIFENESIN) SYRP:200MG/10ML,$19.00,
2823075,ROCALTROL (CALCITROL) CAP: 0.25 MCG,$32.00,
2823076,ROCALTROL(CALCITROL) CAP:0.5MCG,$32.00,
2823077,ROCEPHIN (CEFTRIAXONE) SDV 250MG,$261.00,
2823078,ROCEPHIN (CEFTRIAXONE) SDV 500MG,$373.00,
2823079,ROCEPHIN (CEFTRIAXONE) SDV 1GM IV,$585.00,
2823080,ROCEPHIN (CEFTRIAXONE) SDV 2GM,$1142.00,
2823082,ROMAZICON (FLUMAZENIL) INJ: 0.5MG/ 5ML,$110.00,
2823089,ROWASA (MESALAMINE) ENEMA SUSP: 4GM/60ML,$112.00,
2823090,ROXANOLMORPHINE)LIQ   20 MG / 1 ML,$24.00,
2823091,RUBELLA VACCINE INJECTION: 1 EA,$291.00,
2823095,RYTHMOL (PROPAFENONE) TAB: 150MG,$27.00,
2823096,RYTHMOL(PROPAFENONE) TAB:300MG,$16.00,
2823105,NEORAL (cycloSPORINE) TAB: 25MG,$20.00,
2823106,SANDIMMUNE(cycloSPORINE)TAB:100MG,$61.00,
2823107,SANDIMMUNE(cycloSPORINE)TAB:150MG,$67.00,
2823108,SANDIMMUNE(cycloSPORINE)INJ:25MG,$456.00,
2823109,SANDIMMUNE(cycloSPORINE)SOLN:100MG/ML,$46.00,
2823110,SANDOSTATIN (OCTREOTIDE) IM: 50MCG,$99.00,
2823111,SANDOSTATIN (OCTREOTIDE) INJ: 100MCG/ML,$120.00,
2823112,SANDOSTATIN (OCTREOTIDE) INJ: 500MCG/ML,$861.00,
2823113,SANDOSTATIN(OCTREOTIDE) DEPOT: PER 1 MG,$2368.00,
2823115,SANTYL (COLLAGENASE) OINT: 15GM,$301.00,
2823119,SARGRAMOSTIM(LEUKINE AKA GM-CSF)INJ: 500,$2007.00,
2823122,SCOPOLAMINE OPTH DROP: 0.25%,$137.00,
2823124,SCOPOLAMINE PATCH  1.5MG/72HR  EACH,$88.00,
2823126,SECONAL(SECOBARBITAL) CAP 100MG,$26.00,
2823129,SECRETIN-KAB(SECRETIN)I INJ:75 CU / 10 M,$956.00,
2823130,SECTRAL(ACEBUTOLOL) CAP: 400MG,$24.00,
2823133,SELENIUM(SELENIOUS ACID)INJ   40 MCG/ML,$134.00,
2823135,SENOKOT GRANULES,$19.00,
2823136,SENNA (SENNOSIDES) TAB: 8.6MG,$19.00,
2823137,SENOKOT-S TAB,$24.00,
2823142,SEPTRA(TRIM/SULFA)TAB:400/80,$30.00,
2823143,SEPTRA(TRIM/SULFAM)DS TAB:800/160,$30.00,
2823144,BACTRIM (SULFAM/TMP) SUSP:20 ML (PSA),$311.00,
2823148,SERAX(OXAZEPAM) CAP 30MG,$24.00,
2823150,SERENTIL(MESORIDAZINE)TAB:25MG,$24.00,
2823152,SERENTIL(MESORIDAZINE)TAB:100MG,$24.00,
2823153,SEREVENT(SALMETEROL) INH:60DOSE,$131.00,
2823154,SEREVENT (SALMETEROL) DSK 50MCG:28 DOSES,$1081.00,
2823156,SEROquel (QUEtiapine FUMARATE) TAB: 25MG,$30.00,
2823157,SEROquel (QUEtiapine FUMARATE) TAB: 50MG,$50.00,
2823158,SEROquel (QUEtiapine FUMARATE) TAB:100MG,$60.00,
2823159,SEROquel (QUEtiapine FUMARATE) TAB:200MG,$67.00,
2823172,SILVADENE(SILVER SULFADIAZINE)CR:1% 20GM,$134.00,
2823173,SILVADENE (SILVER SULFA) 1% CREAM: 400GM,$365.00,
2823174,SILVADENE (SILVER SULFA) 1% CREAM: 50GM,$144.00,
2823175,SILVER NITRATE STICK,$27.00,
2823177,SILVER NITRATE OPTH SOLN    EA,$245.00,
2823179,SINEMET CR(CARBI/LEVODOPA) TAB 50/200,$21.00,
2823180,SINEMET (CARBIDOPAI/LEVODOPA) TAB 10/100,$21.00,
2823181,SINEMET (CARBODOPA/LEVODOPA) TAB 25/100,$21.00,
2823182,SINEMET (CARBIDOPA/LEVODOPA) TAB 25/250,$21.00,
2823183,SINEMET ER (CARBI/LEVODOPA) TAB: 25/100,$21.00,
2823185,SINEQUAN(DOXEPIN HCL) CAP 75MG,$21.00,
2823186,SINEQUAN(DOXEPIN HCL) CAP:10MG,$21.00,
2823187,SINEQUAN (DOXEPIN HCL) CAP: 25MG,$21.00,
2823188,SINEQUAN(DOXEPIN HCL) CAP:50MG,$21.00,
2823189,SINGULAIR (MONTELUKAST) TAB: 10MG,$21.00,
2823191,SKELAXIN (METAXALONE) TAB: 800MG,$24.00,
2823192,SKIN TEST CANDIDA,$177.00,
2823194,SKIN TEST PPD,$319.00,
2823199,SLO-BID(THEOPHYLLINE)CAP: 50MG,$20.00,
2823200,SLO-BID (THEOPHYLLINE CR) CAP: 100MG,$20.00,
2823201,SLO-BID (THEOPHYLLINE ER) CAP: 200MG,$20.00,
2823202,SLO-BID(THEOPHYLLINE)CAP: 300MG,$20.00,
2823203,SLOW-K (POTASSIUM CHLORIDE) TAB: 8 MEQ,$30.00,
2823204,SLO-PHYLLIN (THEOPHYLLINE) LIQ:80MG/15ML,$20.00,
2823208,SLO-PHYLLIN (THEOPHYLLINE) TAB: 100 MG,$20.00,
2823209,SLO-PHYLLIN (THEOPHYLLINE) TAB: 200 MG,$20.00,
2823210,SLOW FE (FERROUS SULFATE SR) TAB: 160MG,$19.00,
2823211,SLOW-MAG (MAGNESIUM CHLORIDE) TAB: 64MG,$26.00,
2823212,SNAKE BITE ANTI-VENOM RATTLE(CROTALIDAE),$6000.00,
2823214,SODIUM BICARBONATE PFS: 50 MEQ,$207.00,
2823215,SODIUM BICARBONATE TAB: 650MG,$24.00,
2823216,SODIUM BICARBONATE VIAL 50MEQ/ 50ML,$207.00,
2823217,SODIUM ACETATE SDV 40MEQ/ 20ML,$89.00,
2823219,SODIUM BICARBONATE PFS: 4.2% 10ML,$49.00,
2823220,SODIUM BICARB PFS SYRINGE 8.4%:  10 ML,$27.00,
2823222,SODIUM CHLORIDE TAB: 1GM,$21.00,
2823223,SODIUM CHLORIDE MDV 23.4%: 30ML,$151.00,
2823228,SODIUM MORRHUATE INJ,$120.00,
2823229,SODIUM PHOSPHATE SDV :45MMOL/ 15ML,$89.00,
2823231,SOLGANOL(AUROTHIOGLUCOSE)INJ:10 MG/0.2ML,$111.00,
2823232,SOLGANOL(AUROTHIOGLUCOSE)INJ:50 MG/1 ML,$158.00,
2823233,SOLU CORTEF INJ 1000MG,$560.00,
2823234,SoluCORTEF (HYDROCORTISONE) INJ 100MG,$108.00,
2823235,SoluCORTEF (HYDROCORTISONE) INJ 250MG,$238.00,
2823236,SOLU CORTEF(HYDROCORTISONE) INJ :500MG,$397.00,
2823237,SOLUMedrol(methylPREDNISolone) SDV 1GM,$593.00,
2823238,SOLUMedrol(methylPREDNISolone) SDV 40MG,$220.00,
2823239,SOLUMedrol(methylPREDNISolone)SDV 125MG,$220.00,
2823242,SOMA COMP TAB,$24.00,
2823243,SOMA (CARISOPRODOL) TAB: 350MG,$26.00,
2823245,SORBITOL 3.3%   2000 ML,$156.00,
2823246,SORBITOL 70% SOLUTION,$23.00,
2823248,SORBITRATE(ISOSORBIDE)TAB:5 MG,$18.00,
2823249,SORBITRATE(ISOSORBIDE)SL TAB:5 MG,$18.00,
2823250,SORBITRATE(ISOSORBIDE)SR TAB:40 MG,$18.00,
2823255,SPECTAZOLE (ECONAZOLE) 1% CREAM: 15 GM,$164.00,
2823257,SPIRIVA (TIOTROPIUM) HANDINHALER:18MCG-6,$382.00,
2823261,SPORANOX (ITRACONAZOLE) CAP: 100MG,$24.00,
2823262,SSKI (POTASSIUM IODINE) SOLUTION: 1GM/ML,$246.00,
2823264,STADOL (BUTORPHANOL) INJECTION: 1MG/ML,$132.00,
2823265,STADOL(BUTORPHANOL) SDV:2MG/ML,$132.00,
2823266,STAPHCILLIN(METHICILLIN)INJ:1GM,$121.00,
2823267,STAPHCILLIN(METHICILLIN)INJ:2GM,$224.00,
2823270,STARLIX (NATEGLINIDE) TAB: 120MG,$14.00,
2823271,STARLIX (NATEGLINIDE) TAB: 60MG,$12.00,
2823272,STELAZINE(TRIFLUOPERAZINE) INJ:2MG,$111.00,
2823273,STELAZINE(TRIFLUOPERAZINE) TAB:2MG,$20.00,
2823274,STELAZINE (TRIFLUOPERAZINE) TAB: 1MG,$20.00,
2823275,STELAZINE(TRIFLUOPERAZINE) TAB:5MG,$20.00,
2823276,STELAZINE(TRIFLUOPERAZINE) TAB:10MG,$20.00,
2823277,STERI-STRIPS (TETRACAINE) OPTH SOLUTION,$151.00,
2823278,STERILE WATER INJECTION  10ML,$27.00,
2823279,STERILE WATER INJECTION: 100ML,$55.00,
2823280,STERILE WATER INJ 1000ML,$187.00,
2823281,STERILE WATER IRRIG   100 ML,$62.00,
2823282,STERILE WATER IRRIGATION: 1000 ML,$187.00,
2823299,SUBLIMAZE (FENTANYL) AMP: 250MCG/5ML,$135.00,
2823300,SUBLIMAZE(FENTANYL) IM:0.05MG,$14.00,
2823302,SUBLIMAZE (FENTANYL) INJ 50MCG/ML: 2ML,$93.00,
2823304,SUDAFED LIQ: 15MG/5ML,$2.00,
2823305,SUDAFED (PSEUDOEPHEDRINE) TAB: 30MG,$26.00,
2823307,SUFENTA(SUFENTANIL) IM:100MCG/2ML,$341.00,
2823309,SULAMYD(SULFACETAMIDE) OPTH SOLN:10%,$109.00,
2823310,SULAMYD(SULFACETAMIDE) OPTH OINT:10%,$185.00,
2823318,SULTRIN(COMBINATION SULFA DRUGS) VAG CRM,$161.00,
2823321,SUPRANE(DESFLURANE)   1 hour,$378.00,
2823322,SUPRAX(CEFIXIME) TAB:200MG,$20.00,
2823324,SUPRAX (CEFIXIME) SUSPENSION: 100MG/5ML,$20.00,
2823329,SURFAK(DOCUSATE CA) CAP:240MG,$19.00,
2823332,SUSPHRINE(EPINEPHrine) INJ 0.3ML,$122.00,
2823344,SYMMETREL (AMANTADINE) CAP: 100MG,$24.00,
2823345,SYMMETREL(AMANTADINE) SYRP:50MG/5ML,$24.00,
2823346,SYNAGIS (PALIVIZUMAB) INJ: 100 MG,$7837.00,
2823347,SYNALAR(FLUOCINOLONE) OINT 0.025%,$201.00,
2823348,SYNALAR (FLUOCINOLONE)CREAM 0.025%: 15GM,$202.00,
2823358,SYNKAVITE(MENADIOL SODIUM)INJ   :150 MG,$111.00,
2823359,SYNTHROID (LEVOTHYROXINE) TAB 200 MCG,$19.00,
2823360,SYNTHROID (LEVOTHYROXINE) TAB 300 MCG,$19.00,
2823361,SYNTHROID(LEVOTHYROXINE) SDV 100 MCG,$229.00,
2823362,SYNTHROID(LEVOTHYROXINE) SDV 500MCG,$585.00,
2823363,SYNTHROID (LEVOTHYROXINE) TAB 25 MCG,$19.00,
2823364,SYNTHROID (LEVOTHYROXINE) TAB 50 MCG,$19.00,
2823365,SYNTHROID (LEVOTHYROXINE) TAB 75 MCG,$19.00,
2823366,SYNTHROID (LEVOTHYROXINE) TAB 175 MCG,$19.00,
2823367,SYNTHROID (LEVOTHYROXINE) TAB 88 MCG,$19.00,
2823368,SYNTHROID (LEVOTHYROXINE) TAB 112 MCG,$19.00,
2823369,SYNTHROID (LEVOTHYROXINE) TAB 125 MCG,$19.00,
2823370,SYNTHROID (LEVOTHYROXINE) TAB 150 MCG,$19.00,
2823371,SYNTHROID (LEVOTHYROXINE) TAB 100 MCG,$19.00,
2823372,SYNTOCINON(OXYTOCIN) NASAL SPRAY,$592.00,
2823373,SYNTOCINON(OXYTOCIN) INJ   1 ML,$111.00,
2823378,TAGAMET(CIMETADINE) SDV:300MG/2ML,$89.00,
2823380,TAGAMET(CIMETADINE) TAB:400MG,$21.00,
2823381,TAGAMET(CIMETADINE) TAB:300MG,$21.00,
2823384,TALC STERILE SDV: 5GM,$532.00,
2823390,TALWIN NX(PENTAZOCINE/NALOXONE) TAB: 50M,$24.00,
2823391,TAMBOCOR(FLECAINIDE) TAB:100MG,$27.00,
2823393,TAMIFLU (OSELTAMIVIR) CAP: 75MG,$50.00,
2823395,TAPAZOLE (methIMAzole) TAB: 5MG,$24.00,
2823402,TAXOL(PACLITAXEL) MDV:30MG/5ML,$1657.00,
2823410,TEDRAL(THEOPHYL/EPHED/PB)LIQ:65MG/5ML,$24.00,
2823417,TEGRETOL (carBAMazepine) CHEWTAB: 100MG,$26.00,
2823418,TEGRETOL (carBAMazepine) TAB: 200MG,$23.00,
2823419,TEGRETOL (carBAMazepine) SUSP: 100MG/5ML,$26.00,
2823425,TEMARIL(TRIMEPRAZINE)TAB: 2.5MG,$24.00,
2823426,TEMOVATE (CLOBETASOL) 0.05% CREAM: 30GM,$153.00,
2823430,TENEX(guanFACINE HCL) TAB:1MG,$24.00,
2823431,TENORETIC (ATENOLOL/CHLOR) TAB :50/25MG,$24.00,
2823432,TENORETIC (ATENOLOL/CHLOR) TAB :100/50MG,$24.00,
2823433,TENORMIN (ATENOLOL) INJ : 5MG,$120.00,
2823434,TENORMIN (ATENOLOL) TAB : 25MG,$12.00,
2823435,TENORMIN (ATENOLOL) TAB : 50MG,$21.00,
2823436,TENORMIN (ATENOLOL) TAB : 100MG,$16.00,
2823437,TENSILON (EDROPHONIUM) INJ: 10MG,$120.00,
2823443,TERAZOL-3 (TERCONAZOLE) SUPP: 80MG,$69.00,
2823444,TERAZOL-7 (TERCONAZOLE) VAG CREAM: 45GM,$271.00,
2823447,TERBUTALINE INHAL TREATMENT,$34.00,
2823452,TERRAMYCIN OPTH OINT,$141.00,
2823454,TERRAMYCIN INJ 1000MG,$134.00,
2823455,TES TAPE,$92.00,
2823456,TESSALON PERLE (BENZONATATE) CAP: 100MG,$26.00,
2823460,TETANUS DIPHTHER TOXOID 7> IM : 0.5ML,$220.00,
2823461,TETANUS TOXOID INJECTION: 0.5ML,$89.00,
2823462,TETRACAINE 0.5% OPHTHALMIC DROP: 2ML,$137.00,
2823463,TETRACAINE OPHTHALMIC SOLN 0.5%: 15ML,$131.00,
2823465,TETRACYCLINE CAP 500MG,$27.00,
2823466,TETRACYCLINE CAP: 250MG,$27.00,
2823469,TETRACYCLINE INJ   100 MG,$120.00,
2823471,TETRACYN IV INJ 500MG,$419.00,
2823474,TETRAMUNE(DPT-HIB)VACCINE   0.5 ML,$89.00,
2823479,THEO-DUR 24 (THEOPHYLLINE ER) TAB: 200MG,$20.00,
2823480,THEO-DUR 24(THEOPHYLLINE) TAB :300MG,$20.00,
2823481,THEO-DUR (THEOPHYLLINE CR) TAB: 100MG,$20.00,
2823482,THEO-DUR (THEOPHYLLINE ER) TAB: 200MG,$20.00,
2823483,THEO-DUR(THEOPHYLLINE) TAB:300MG,$21.00,
2823484,THEO-DUR(THEOPHYLLINE) TAB:400MG,$20.00,
2823485,THEODUR(THEOPHYLLINE) SPRINKLE 200MG,$20.00,
2823486,THEO-DUR(THEOPHYLLINE) SPRINKLE 50MG,$20.00,
2823488,THEO-DUR(THEOPHYLLINE) SPRINKLE 125MG,$20.00,
2823496,THEOPHYLLINE ELIX :180MG/5ML,$54.00,
2823498,THEOPHYLLINE ELIX:160MG/30ML,$21.00,
2823505,THERAGRAN TAB,$24.00,
2823506,THERAGRAN-M TAB,$24.00,
2823507,THERAGRAN LIQUID  5ML,$24.00,
2823508,THIAMINE(VIT B1) TAB:50MG,$19.00,
2823509,THIAMINE (VITAMIN B1) SDV: 100MG/ML,$122.00,
2823510,THIAMINE (VITAMIN B1) TAB: 100MG,$19.00,
2823512,THIOPENTAL(PENTOTHAL) SYRN:250MG,$118.00,
2823517,THORAZINE(chlorproMAZINE) IM:100MG,$121.00,
2823519,THORAZINE(chlorproMAZINE) SYR:10MG/5ML,$34.00,
2823521,THORAZINE (chlorproMAZINE) TAB: 25MG,$26.00,
2823522,THORAZINE(chlorproMAZINE) TAB: 50MG,$26.00,
2823523,THORAZINE (chlorproMAZINE) TAB: 100MG,$26.00,
2823524,THORAZINE(chlorproMAZINE) TAB: 200MG,$26.00,
2823527,THORAZINE(chlorproMAZINE) SUPP:25MG,$34.00,
2823530,THROMBIN TOPICAL:10000 UNITS,$531.00,
2823532,"THROMBIN  5,000 UNITS",$350.00,
2823533,"THROMBIN KIT:  20,000 UNITS",$1581.00,
2823535,THYROID TAB 120MG,$19.00,
2823538,THYROID TAB :1 GRAIN,$19.00,
2823541,THYROLAR-1TAB,$24.00,
2823549,TICLID(TICLOPIDINE) TAB:250MG,$24.00,
2823550,TIGAN (TRIMETHOBENZAMIDE) IM: 200MG/2ML,$121.00,
2823551,TIGAN(TRIMETHOBENZAMIDE) CAP:100MG,$30.00,
2823552,TIGAN(TRIMETHOBENZAMIDE) CAP:250MG,$30.00,
2823553,TIGAN(TRIMETHOBENZAMIDE) SUPP:100MG,$38.00,
2823554,TIGAN(TRIMETHOBENZAMIDE) SUPP:200MG,$38.00,
2823557,TIMENTIN(TICARCILLIN) PWVL:3.1GM,$206.00,
2823559,TIMOPTIC (TIMOLOL) 0.25% OPTH SOLN: 5ML,$173.00,
2823560,TIMOPTIC (TIMOLOL) 0.5% OPTH SOLN: 5ML,$173.00,
2823561,TIMOLOL XE(TIMOLOL)OPTH SOLN:0.5%,$173.00,
2823563,TINACTIN(TOLNAFTATE) CRM:    1%  15GM,$108.00,
2823564,TINACTIN(TOLNAFTATE)SPRAY PWD:1%,$63.00,
2823565,TINCTURE OF BENZOIN COMP SOLN,$75.00,
2823566,TINCTURE OF BENZOIN SPRAY    EA,$121.00,
2823567,TINCTURE OF IODINE TOPICAL    EA,$93.00,
2823569,TNKASE (TENECTEPLASE) SDV: 50MG,$28167.00,
2823570,TOBRADEX (TOBRA/DEXAMETH) OO: 3.5GM,$241.00,
2823571,TOBRADEX (TOBRA/DEXAMETH) OS: 2.5ML,$210.00,
2823576,TOBRAMYCIN PER PHARMACY,$0.00,
2823577,TOBRAMYCIN (NEBICIN): SDV 80MG/2ML,$235.00,
2823578,TOBRAMYCIN POWDER  VIAL   1.2 GM,$1193.00,
2823579,TOBREX (TOBRAMYCIN) OPHTH OINTM:  3.5GM,$141.00,
2823580,TOBREX (TOBRAMYCIN) 0.3% OPHTH SOLN: 5ML,$141.00,
2823586,TOFRANIL (IMIPRAMINE) TAB: 10MG,$24.00,
2823587,TOFRANIL (IMIPRAMINE) TAB: 25MG,$24.00,
2823588,TOFRANIL(IMIPRAMINE) TAB:50MG,$24.00,
2823598,TOPAMAX (TOPIRAMATE) TAB: 100MG,$30.00,
2823599,TOPAMAX (TOPIRAMATE) TAB: 25MG,$11.00,
2823600,TOPICORT(DESOXIMETASONE)CR 0.25% :15GM,$111.00,
2823601,TOPICORT(DESOXIMETASONE)GEL 0.25% :15GM,$231.00,
2823605,TOPROL XL (METOPROLOL SUCC) TAB: 50MG,$24.00,
2823606,TORADOL (KETOROLAC) SDV  15MG/ML,$111.00,
2823607,TORADOL (KETOROLAC) SDV: 30MG/ML,$258.00,
2823608,TORADOL (KETOROLAC) IM ONLY  60MG/2ML,$146.00,
2823609,TORADOL (KETOROLAC) TAB: 10MG,$14.00,
2823610,TORECAN(THIEHTYLPERAZINE)INJ: 1 MG/0.2ML,$6.00,
2823613,ACTIVASE (ALTEPLACE) 50MG,$255.00,
2823614,TPN MAINTENANCE    EA,$101.00,
2823615,TPN PER PHARMACY,$0.00,
2823616,TPN PREPARE    EA,$208.00,
2823617,TPN STARTUP    EA,$228.00,
2823618,TPN WITH ADDITIVES PER LITER,$1906.00,
2823619,TRACE ELEMENTS   1 ML,$139.00,
2823620,TRACRIUM(ATRACURIUM BESY) SDV 10MG/ML,$132.00,
2823621,TRACRIUM(ATRACURIUM BESY) SDV 50MG/5/ML,$311.00,
2823622,TRANDATE (LABETALOL) TAB: 100MG,$30.00,
2823623,TRANDATE (LABETALOL) TAB: 200MG,$30.00,
2823624,TRANDATE (LABETALOL) TAB:300MG,$30.00,
2823625,TRANDATE (LABETALOL)  INJ: 100MG/ 20ML,$322.00,
2823626,TRANSDERM-NITRO(NITRO)PATCH:2.5MG,$63.00,
2823627,TRANSDERM-NITRO(NITROGLYCERIN)PATCH:5MG,$63.00,
2823628,TRANSDERM-NITRO(NITROGLYCERIN)PATCH:10MG,$63.00,
2823629,TRANSDERM-NITRO(NITROGLYCERIN)PATCH:15MG,$63.00,
2823630,TRANSDERM SCOP (SCOPOLAMINE) PATCH:1.5MG,$88.00,
2823632,TRANXENE (CLORAZEPATE) TAB: 3.75MG,$27.00,
2823633,TRANXENE (CLORAZEPATE) TAB: 7.5MG,$27.00,
2823634,TRANXENE(CLORAZEPATE) TAB:15MG,$27.00,
2823641,TRAVATAN(TRAVOPROST)OS : 0.004%,$808.00,
2823643,TRENTAL(PENTOXIFYLLINE) TAB:400MG,$21.00,
2823644,TREXAN(NALTREXONE):50 MG,$107.00,
2823647,TRIAMINIC DM LIQUID   5 ML,$32.00,
2823650,TRIAVIL(PERPHEN/AMYTRIP)TAB: 2\10,$24.00,
2823651,TRIAVIL (PERPHEN/AMYTRIP)TAB:2\25,$24.00,
2823652,TRIAVIL(PERPHEN/AMTRIP)TAB: 4\10,$24.00,
2823653,TRIAVIL (PERPHEN/AMYTRIP)TAB: 4\25,$24.00,
2823660,TRIDIL(NITROGLYCERIN)INJ:   50 MG,$461.00,
2823662,TRICOR (FENOFIBRATE) TAB: 145MG,$26.00,
2823663,TRICOR (FENOFIBRATE) 48MG TAB,$11.00,
2823666,TRILEPTAL (OXcarbazepine) TAB: 150MG,$24.00,
2823668,TRILISATE(CHOLINE/MAG TRISALICYLA):750ML,$19.00,
2823670,TRIMPEX(TRIMETHOPRIM) TAB: 100MG,$24.00,
2823675,TRIPLE ANTIBIOTIC OINTMENT: 1 OZ,$15.00,
2823677,TRIPLE DYE    EA,$38.00,
2823679,POLY-VI-FLOR(MULTI-VIT W/FLUORIDE):50ML,$49.00,
2823681,VISIONBLUE(TRYPAN BLUE)0.06%OPTH SOLN1MG,$351.00,
2823687,TRUSOPT(DORZOLAMIDE)OS 2%: 10ML,$203.00,
2823690,TUBERSOL(TUBERCULIN) MDV:5TU,$83.00,
2823694,TUCKS (WITCH HAZEL) PADS: 40 PER PK,$102.00,
2823701,TUMS (CALCIUM CARBONATE) TAB: 500MG,$24.00,
2823713,TUSSI ORGANIDIN DM(guaiFENesin/DM): 5ML,$26.00,
2823714,TUSSIONEX(HYDROCOD/CHLORPHEN)LIQ 5ML,$19.00,
2823716,TYLENOL #2(ACETAMIN W/COD) TAB 300/15,$26.00,
2823717,TYLENOL #3 (ACETAMIN W/COD) TAB: 300/30,$26.00,
2823718,TYLENOL #4 (ACETAMIN W/COD) TAB 300/60,$26.00,
2823719,TYLENOL ES (ACETAMINOPHEN) TAB: 500MG,$27.00,
2823720,TYLENOL W/CODEINE ELIXIR: 120MG/12MG/5ML,$26.00,
2823721,TYLENOL(ACETAMINOPHEN) CHEWTAB:80MG,$62.00,
2823722,TYLENOL DROP 15ML: 80MG/0.8ML,$101.00,
