Hospital Service Code,Service Description,Hospital Charge
50179035,CHANGE CATH DUR THROMBOLYS LT,7046.00
50179043,CHANGE CATH DUR THROMBOLYS RT,7046.00
50179050,IVC FILTER S&I,7845.00
50179068,IVUS S&I,960.00
50179076,IVUS EACH ADD'L VESSEL,960.00
50179084,INTRAVASCULAR STENT S&I LT,9773.00
50179092,INTRAVASCULAR STENT S&I RT,9773.00
50179100,FOREIGN BODY S&I,7046.00
50179118,PTA PERIPHERAL S&I LT,13029.00
50179126,PTA PERIPHERAL S&I RT,13029.00
50179134,PTA PERIPH EACH ADD'L S&I LT,3928.00
50179142,PTA PERIPH EACH ADD'L S&I RT,3928.00
50179159,PTA RENAL VISC S&I LT,10323.00
50179167,PTA RENAL VISC S&I RT,13029.00
50179175,PTA VISC ADDITIONAL S&I LT,5503.00
50179183,PTA VISC ADDITIONAL S&I RT,5503.00
50179191,TRANSCATHETER BX S&I,7845.00
50179209,VENOUS PTA S&I LT,8663.00
50179217,VENOUS PTA S&I RT,8663.00
50179225,PTBD S&I LT,2160.00
50179233,PTBD S&I RT,2160.00
50179241,BILIARY STENT S&I,2160.00
50179258,CHANGE DRAINAGE TUBE S&I,1266.00
50179266,GUID ABSC DRN CT/US/FLUORO,883.00
50179274,ATHERECTOMY 1ST VESSEL S&I LT,6818.00
50179282,ATHERECTOMY 1ST VESSEL S&I RT,6818.00
50179290,ATHERECOTOMY ADD'L VESSEL S&I,6818.00
50179308,ATHERECTOMY ADD'L VESSEL S&I,6818.00
50179316,ATHERECTOMY RENAL S&I LT,6818.00
50179324,ATHERECTOMY RENAL S&I RT,6818.00
50179340,ATHERECTOMY VISCERAL S&I LT,6818.00
50179357,ATHERECTOMY VISCERAL S&I RT,6818.00
50179365,ATHER VISCERAL EACH ADD S&I LT,7695.00
50179373,ATHER VISCERAL EACH ADD S&I RT,7695.00
50179381,FLUOR<1HR,501.00
50179399,FLUORO >1HR,883.00
50179407,FLUORO GUIDED BIOPSY,778.00
50179415,FISTULA/SINOGRAM S&I,793.00
50179423,US PRE-PUNCTURE R/O OCCL,960.00
50179431,SOFT TISSUE ABS DRN SUPERFICIA,828.00
50179449,SOFT TISSUE ABSCESS DRN DEEP,5685.00
50179456,MUSC BX DEEP INC,3849.00
50179464,SOFT TISSUE/MUSCLE BX INC,2252.00
50179472,SUPERFICIAL BONE BX INC,1539.00
50179480,DEEP BONE BX INC,3849.00
50179498,SCLEROSE CYST INC,2070.00
50179514,FISTULA INJECTION INC,889.00
50179522,TRACHEAL STENT INC,2961.00
50179530,THORACENTESIS LT INC,1481.00
50179548,THORACENTESIS RT INC,1481.00
50179555,CHEST TUBE(AIR/TRNSUCAT)LT INC,1481.00
50179563,CHEST TUBE(AIT/TRNSUDAT)RT INC,1481.00
50179571,PLEURODESIS LT INC,1481.00
50179589,PLEURODESIS RT INC,1481.00
50179597,CHEST TUBE(BLOOD/PUS) LT INC,1481.00
50179605,CHEST TUBE(BLOOD/PUS) RT INC,1481.00
50179613,PERC LUNG ABSCESS LT INC,3194.00
50179621,PERC LUNG ABSCESS RT INC,3194.00
50179639,NEEDLE BX PLEURA US LT INC,2252.00
50179647,ANGIO THRU EXISTING CATH,1397.00
50179654,CHANGE CATH DUR THROMBOLYS,7046.00
50179662,INTRAVASCULAR STENT S&I,9773.00
50179670,PTA RENAL VISC S&I,10323.00
50179688,PTA VISC ADDITIONAL S&I,5503.00
50179696,VENOUS PTA S&I,8663.00
50179704,PTBD S&I,2160.00
50179712,IR US GUIDE ASP BX,4950.00
50179720,IR US GUIDE ASP BX,917.00
50179738,ANGIO THRU EXISTING CATH,1397.00
50179746,COMPRESSION ANEURYSM LT,974.00
50179753,COMPRESSION ANEURYSM RT,974.00
50179761,PSEUDOANEURYSM INJECTION,917.00
50179779,PSEUDOANEURYSM INJECTION LT,917.00
50179787,PSEUDOANEURYSM INJECTION RT,917.00
50179795,RENAL UNILAT S&I 1ST ORDER,
50179803,RENAL BILAT 1ST ORDER,
50179811,RENAL UNILAT S&I 2ND ORDER,
50179829,RENAL BILAT 2ND ORDER,
50179837,INSERT VENA CAVA FILTER,
50179845,REPOSITION VENA CAVA FILTER,
50179852,REMOVE VENA CAVA FILTER,
50179860,PARACENTESIS ABDOMINAL,
50179878,PARACENTESIS ABD GUIDED,
50179886,PERITONEAL LAVAGE,
50180009,IR PROCEDURE ROOM 1ST HOUR,2344.00
50180017,NEEDLE BX PLEURA US RT INC,2252.00
50180025,LUNG BX PERFORM LT INC,2252.00
50180033,LUNG BX PERFORM RT INC,2252.00
50180041,PTA TIBIOPERONEAL LT INC,7695.00
50180058,PTA TIBIOPERONEAL RT INC,7695.00
50180066,PTA VISCERAL/RENAL LT INC,7695.00
50180074,PTA VISCERAL/RENAL RT INC,7695.00
50180082,PTA AORTA INC,7695.00
50180090,PTA ILIAC LT INC,7695.00
50180108,PTA ILIAC RT INC,7695.00
50180116,PTA FEM-POP LT INC,7695.00
50180124,PTA FEM-POP RT INC,7695.00
50180132,PTA BRACIOCEPHALIC LT INC,7695.00
50180140,PTA BRACIOCEPHALIC RT INC,7695.00
50180157,PTA VENOUS LT INC,7695.00
50180165,PTA VENOUS RT INC,7695.00
50180173,ATHERECTOMY AORTA INC,7695.00
50180181,ATHERECTOMY ILIAC LT INC,7695.00
50180199,ATHERECOMY ILIAC RT INC,7695.00
50180207,ATHERECTOMY FEM-POP LT INC,7695.00
50180215,ATHERECTOMY FEM-POP RT INC,7695.00
50180223,ATHERECTOMY BRACHIAL LT INC,7695.00
50180231,ATHERECTOMY BRACHIAL RT INC,7695.00
50180249,ATHERECTOMY TIBIAL LT INC,7695.00
50180256,ATHERECTOMY TIBIAL RT INC,7695.00
50180264,EXT VENOGRAM LT INC,950.00
50180272,EXT VENOGRAM RT INC,950.00
50180280,IVC/SVC INC,2347.00
50180298,1ST ORDER VEIN LT INC,3551.00
50180306,1ST ORDER VEIN RT INC,3551.00
50180314,2ND ORDER VEIN LT INC,3551.00
50180322,2ND ORDER VEIN RT INC,3551.00
50180330,MAIN PA INC,3551.00
50180348,PULM ART CATH SELECT LT INC,3551.00
50180355,PULM ART CATH SELECT RT INC,3551.00
50180363,PULM ART CATH SUBSELECT LT INC,3551.00
50180371,PULM ART CATH SUBSELECT RT INC,3551.00
50180389,DIRECT STICK ARTERY LT INC,2786.00
50180397,DIRECT STICK ARTERY RT INC,2786.00
50180405,DIALYSIS FISTULA CATH INC,3551.00
50180413,TRANS LUMBAR INC,3551.00
50180421,CATHETER AORTA INC,2612.00
50180439,SELECTIVE 1ST ORDER HEAD LT IN,3551.00
50180447,SELECTIVE 1ST ORDER HEAD RT IN,3551.00
50180454,SELECTIVE 2ND ORDER HEAD LT IN,3551.00
50180462,SELECTIVE 2ND ORDER HEAD RT IN,3551.00
50180470,SELECTIVE 3RD ORDER HEAD LT IN,3551.00
50180488,SELECTIVE 3RD ORDER HEAD RT IN,3551.00
50180496,ADTNL 2ND OR 3RD HEAD LT INC,3551.00
50180504,ADTNL 2ND OR 3RD HEAD RT INC,3551.00
50180512,1ST ORDER ABD/PELVIS/LEG LT IN,3551.00
50180520,1ST ORDER ABD/PELVIS/LEG RT IN,3551.00
50180538,2ND ORDER ABD/PELVIS/LEG LT IN,3551.00
50180546,2ND ORDER ABD/PELVIS/LEG RT IN,3551.00
50180553,3RD ORDER ABD/PELVIS/LEG LT IN,3551.00
50180561,3RD ORDER ABD/PELVIS/LEG RT IN,3551.00
50180579,ADD'L 2ND OR 3RD LT INC,3551.00
50180587,ADD'L 2ND OR 3RD RT INC,3551.00
50180595,VENAPUNCTURE/PHYSICIAN SKILL I,214.00
50180603,INJ SCLEROSING SOL VEIN INC,1064.00
50180611,PORTAL VEIN CATH/ANY METHOD IN,3551.00
50180629,PLACE CENTRAL LINE LT INC,2347.00
50180637,PLACE CENTRAL LINE RT INC,2347.00
50180645,REPOSITION CVP LT INC,2347.00
50180652,REPOSITION CVP RT INC,2347.00
50180660,VENOUS SAMPLE INC,1481.00
50180678,IMPLANT VENOUS PORT LT INC,6631.00
50180686,IMPLANT VENOUS PORT RT INC,6631.00
50180694,REVISE VENOUS PORT INC,2602.00
50180702,REMOVE VENOUS POST INC,2602.00
50180710,TIPS INC,5925.00
50180728,TRANS CATHETER BIOPSY INC,3849.00
50180736,FIBRINOLYTIC INFUSION LT INC,2996.00
50180744,FIBRINOLYTIC INFUSION RT INC,2996.00
50180751,OTHER RX INFUSION INC,2996.00
50180769,FOREIGN BODY RETRIEVAL INC,2602.00
50180777,EMBOLIZATION INC,7695.00
50180785,VASC STENT INITIAL VESSEL LT,7695.00
50180793,VASC STENT INITIAL VESSEL RT,7695.00
50180801,STENT-EACH ADD'L VESSEL LT INC,7695.00
50180819,STENT-EACH ADD'L VESSEL RT INC,7695.00
50180827,MANIPULATE UK CATH LT INC,7695.00
50180835,MANIPULATE UK CATH RT INC,7695.00
50180843,IVC FILTER INC,5925.00
50180850,SPLENOPORTOGRAM PUNCT INC,2347.00
50180868,LYMPH NODE BX INC,2252.00
50180876,LYMPHANGIOGRAM INC,3551.00
50180884,DILATE ESOPHAGUS INC,1954.00
50180892,GASTROSTOMY INC,2786.00
50180900,GASTROSTOMY CHANGE INC,1007.00
50180918,FEEDING TUBE INC,1007.00
50180926,TUBE ENTEROSTOMY/CECOSTOMY INC,774.00
50180934,INTRODUCE LONG GI TUBE INC,889.00
50180942,PERC DRN APPENDIX ABSCESS INC,2252.00
50180959,LIVER BIOPSY INC,2252.00
50180967,PERC DRAIN LIVE ABSCESS INC,2252.00
50180975,PERC CHOLECYSTOSTOMY INC,2252.00
50180983,PTC ISOLATED LT DUCT INC,2252.00
50180991,PTC ISOLATED RT DUCT INC,2252.00
50181007,PTC INC,2252.00
50181015,CHOLANGIO THRU EXIST TUBE LT,889.00
50181023,CHOLANGIO THRU EXIST TUBE RT,889.00
50181031,CHOLAGIO THRU EXIST TUBE INC,889.00
50181049,CHOLANGIOGRAM T-TUBE INC,889.00
50181056,CHOLANGIOGRAM T-TUBE INC,889.00
50181064,PTBD EXTERNAL DRAIN LT DUCT IN,3021.00
50181072,PTBD EXTERNAL DRAIN RT DUCT IN,3021.00
50181080,PTBD EXTERNAL DRAIN INC,3021.00
50181098,PTBD INTERNAL OR STENT LT DUCT,3021.00
50181106,PTBD INTERNAL OR STENT RT DUCT,3021.00
50181114,PTBD INTERNAL OR STENT INC,3021.00
50181122,CHANGE PERC BIL DRAIN LT DUCT,1954.00
50181130,CHANGE PERC BIL DRAIN RT DUCT,1954.00
50181148,CHANGE PERC BIL DRAIN INC,1954.00
50181155,REVISE T-TUBE INC,1007.00
50181163,DILATE BIL STRICT W/O STENT LT,3021.00
50181171,DILATE BIL STRICT W/O STENT RT,3021.00
50181189,DILATE BIL STRICT W STENT LT,3021.00
50181197,DILATE BIL STRICT W STENT RT,3021.00
50181205,STONE EX INC,3021.00
50181213,PANCREATIC ABSCESS INC,2252.00
50181221,PANCREATIC BIOPSY INC,2252.00
50181239,PERC DRAIN PSEUDOCYST INC,2252.00
50181247,PERITONEAL ABSCESS IN,2252.00
50181254,PERC DRN SUBPHREN ABSC LT INC,2252.00
50181262,PERC DRN SUBPHREN ABSC RT INC,2252.00
50181270,PERC DRN RETROPERIT ABSC LT IN,2252.00
50181288,PERC DRN RETROPERIT ABSC RT IN,2252.00
50181296,PARACENTESIS INC,1481.00
50181304,BIOPSY ABD MASS INC,2252.00
50181312,INSERT PERITONEAL CATHTEMP INC,7106.00
50181320,ABSCESS TUBE CHANGE INC,7106.00
50181338,ABSCESS TUBE CHECK INC,889.00
50181346,LEVEEN SHUNTOGRAM INC,889.00
50181353,PERC DRAIN RENAL ABSCESS LT IN,2252.00
50181361,PERC DRAIN RENAL ABSCESS RT IN,2252.00
50181379,RENAL BIOPSY PERFORM LT INC,2252.00
50181387,RENAL BIOPSY PERFORM RT INC,2252.00
50181395,ASP RENAL CYST OR PELVIS LT IN,2252.00
50181403,ASP RENAL CYST OR PELVIS RT IN,2252.00
50181411,ANTEGRADE/NEPHROSTOMY LT INC,2134.00
50181429,ANTEGRADE/NEPHROSTOMY RT INC,2134.00
50181437,URETERAL STENT LT INC,2134.00
50181445,URETERAL STENT RT INC,2134.00
50181452,INJECTION ANTEGR PYELO LT INC,889.00
50181460,INJECTION ANTEGR PYELO RT INC,889.00
50181478,DIL NEPHROST TRACT LT INC,2134.00
50181486,DIL NEPHROST TRACT RT INC,2134.00
50181494,CHANGE NEPHROSTOMY TUBE LT INC,1954.00
50181502,CHANGE NEPHROSTOMY TUBE RT INC,1954.00
50181510,CLOSE URETEERO CUTANFIST LT IN,3397.00
50181528,CLOSE URETERO CUTANFIST RT INC,3397.00
50181536,SUPRAPUBIC TUBE INC,1539.00
50181544,DRAIN PERIVESICLE ABSCESS INC,2664.00
50181551,CYSTOGRAM INC,889.00
50181569,URETHROCYSTOGRRETROGR INC,889.00
50181577,BRUSH BX URETER/RENAL PELV LT,4556.00
50181585,BRUSH BX URETER/RENAL PELV RT,4556.00
50181593,CAVERNOSOGRAM INC,889.00
50181601,PROSTATE BIOPSY INC,1954.00
50181619,TRANS VAGINAL DRAIN INC,2252.00
50181627,EMBO CNS INC,7106.00
50181635,EMBO NON CNS HEAD & NECK INC,5925.00
50181643,DIALYSIS FISTULA DECLOT INC,9787.00
50181650,LUNG BIOPSY FLUORO GUIDE LT IN,778.00
50181668,LUNG BIOPSY FLUORO GUIDE RT IN,778.00
50181676,OR ANGIO EXTREM LT INC,4068.00
50181684,OR ANGIO EXTREM RT INC,4068.00
50181692,REMOVE ESOPH FORBODY S&I INC,2308.00
50181700,CHOLANGIOGR CATH/T-TUBE S&I IN,1738.00
50181718,CHOLANGIOPERCTRANHEPS S&I INC,1649.00
50181726,STONE EX S&I INC,3785.00
50181734,LPACE LONG GI TUBE INC,1447.00
50181742,GASTROSTOMY TUBE PERC S&I INC,1727.00
50181759,PLACE ENTEROCLYSIS TUBE S&I IN,1727.00
50181767,DILATION ESOPH STRICTURE S&I,1447.00
50181775,DILAT BILSTRICT TRANSHEP S&I L,2486.00
50181783,DILAT BILSTRICT TRANSHEP S&I R,2486.00
50181791,NEPHROSTOGR ANTE PYELO LT INC,1202.00
50181809,NEPHROSTOGR ANTE PYELO RT INC,1202.00
50181817,RENAL CYST CONTRAST INJ S&I LT,1481.00
50181825,RENAL CYST CONTRAST INJ S&I RT,1481.00
50181833,NEPHROSTOMY S&I INC,2486.00
50181841,NEPHROSTOMY S&I RT INC,2486.00
50181858,URETERAL STENT S&I LT INC,5330.00
50181866,URETERAL STENT S&I INC,5330.00
50181874,DIL NEPHROST TRACT S&I LT INC,2823.00
50181882,DIL NEPHROST TRACT S&I RT INC,2823.00
50181890,THORACIC AORTA S&I INC,7845.00
50181908,ABD AORTA S&I INC,7845.00
50181916,AORTA AND RUNOFF S&I INC,7845.00
50181924,ARCH FOR NECK S&I INC,7845.00
50181932,RETROGR BRACHIAL ANGIO S&I LT,7046.00
50181940,RETROGR BRACHIAL ANGIO S&I RT,7046.00
50181957,EXTERNAL CAROTID UNILAT S&I LT,7046.00
50181965,EXTERNAL CAROTID UNILAT S&I RT,7046.00
50181973,EXTERNAL CAROTID BILAT S&I INC,7845.00
50181981,CAROTID CERBRAL UNILAT S&I INC,7046.00
50181999,CAROTID CERBRAL UNILAT S&I RT,7046.00
50182500,THORACENTESIS PLEUR PUNC.LT,1837.00
50182518,THORACENTESIS PLEUR.PUNC.RT,1837.00
50182526,THORACENTESIS PLEUR.PUNC.BIL.,1837.00
50182534,THORACENTESIS PLEUR.PUNC.INC,920.00
50182542,THORACENTESIS PLEUR.PUNC.ADL,1837.00
50182559,THORACENTESIS CHEST TUBE LT,1837.00
50182567,THORACENTESIS CHEST TUBE RT,1837.00
50182575,THORACENTESIS CHEST TUBE BIL.,1837.00
50182583,THORACENTESIS CHEST TUBE INC.,920.00
50182591,THORACENTESIS CHEST TUBE ADL,1837.00
50182609,INSERT TUNNEL PLEUR CATH LT,10854.00
50182617,INSERT TUNNEL PLEUR CATH.RT,10854.00
50182625,INSERT TUNNEL PLEUR CATH BIL.,10854.00
50182633,INSERT TUNNEL PLEUR CATH INC.,5425.00
50182641,INSERT TUNNEL PLEUR CATH ADL,10854.00
50182658,TUBE THORACOSTOMY LT,1837.00
50182666,TUBE THORACOSTOMY RT,1837.00
50182674,TUBE THORACOSTOMY BIL.,1837.00
50182682,TUBE THORACOSTOMY INC.,920.00
50182690,TUBE THORACOSTOMY ADL,1837.00
50182708,CONT.EVAL. CENTRAL VEN.ACC,877.00
50182716,CONT.EVAL.CENTRL.VEN.ACC. INC.,438.00
50182724,CONT.EVAL.CENTRL.VEN.ACC.ADL,877.00
50182732,GASTROSTOMY PERCUTANEOUS,3005.00
50182740,GASTROSTOMY PERCUTANEOUS INC,1503.00
50182757,PERCUTAN. DUOD/JEJUN. TUBE,3005.00
50182765,PERCUTAN.DUDO/JEJUN. TUBE INC,1503.00
50182773,PERCUTAN. CECO/COLONIC TUBE,3858.00
50182781,PERCUTAN.CEOCO/COLON TUBE INC,1930.00
50182799,CONVERT. G TUBE TO GJ TUBE,3005.00
50182807,CONVERT. G TUBE TO GJ TUBE INC,1503.00
50182815,REPLACE G/CECO TUBE PERC.,1503.00
50182823,REPLACE G/CECO TUBE PERC.INC,574.00
50182831,REPLACE DUOD/JEJ. TUBE PERC.,1143.00
50182849,REPLCE.DUD/JEJ.TUBE PERC.INC,574.00
50182856,REPLACE GJ TUBE PERCUTAN.,1143.00
50182864,REPLACE GJ TUBE PERCUTAN.INC,574.00
50182872,REMOVAL TUBE OBSTRUCTION,1143.00
50182880,REMOVAL TUBE OBSTRUCTION INC,574.00
50182898,CONTRAST INJECT GI TUBE,492.00
50182906,CONTRAST INJECT GI TUBE INC,246.00
50182963,RENAL ABLATIION CRYO LT,15198.00
50182971,RENAL ABLATION CRYO RT,15198.00
50182989,RENAL ABLATION CRYO BIL.,15198.00
50182997,RENAL ABLATION CRYO INC.,7599.00
50183003,CAROTID CEREBRAL BILAT S&I INC,7845.00
50183011,CERVICAL CAROTID UNILAT S&I LT,7046.00
50183029,CERVICAL CAROTID UNILAT S&I RT,7046.00
50183037,CERVICAL CAROTID BILAT S&I INC,7845.00
50183045,VERTEBRAL S&I LT INC,7046.00
50183052,VERTEBRAL S&I RT INC,7046.00
50183060,SPINAL SELECTIVE S&I INC,7845.00
50183078,SINGLE LEG RUNOFF S&I LT INC,7845.00
50183086,SINGLE LEG RUNOFF S&I RT INC,7845.00
50183094,BILAT SINGLE LEG RUNOFF S&I IN,7845.00
50183102,UNILAT RENAL S&I LT INC,7845.00
50183110,UNILAT RENAL S&I RT INC,7845.00
50183128,BILAT RENAL S&I INC,7845.00
50183136,VISCERAL S&I FIRST VESSEL INC,7845.00
50183144,ADRENAL BILAT S&I INC,7845.00
50183151,PELVIC SEL S&I LT INC,7845.00
50183169,PELVIC SEL S&I RT INC,7845.00
50183177,PULM ANGIO UNILAT S&I LT INC,7845.00
50183185,PULM ANGIO UNILAT S&I RT INC,7845.00
50183193,PULMONARY ANGIO BILAT INC,7845.00
50183201,PULM VENOUS INJ S&I INC,7845.00
50183219,INTERNAL MAMMARY ANGIO LT INC,7845.00
50183227,INTERNAL MAMMARY ANGIO RT INC,7845.00
50183235,SELECTIVE ADDITIONAL VESSEL IN,5623.00
50183243,DIALYSIS FIST S&I INC,7046.00
50183250,LYMPHANGIO EXTREM UNILAT S&I L,3557.00
50183268,LYMPHANGIO EXTREM UNILAT S&I R,3557.00
50183276,LYMPHANGIO EXTREM BILAT S&I IN,3557.00
50183284,LYMPHANGIOGRAM UNILAT S&I LT,4000.00
50183292,LYMPHANGIOGRAM UNILAT S&I RT,4000.00
50183300,LYMPHANGIOGRAM BILAT S&I INC,4000.00
50183318,LEVEEN SHUNTOGRAM S&I INC,1481.00
50183326,SPLENOPORTOGRAM INC,7845.00
50183334,VENO UNILAT S&I LT INC,1795.00
50183342,VENO UNILAT S&I RT INC,1795.00
50183359,VENO BILAT S&I INC,2287.00
50183367,IVC S&I INC,7046.00
50183375,SVC S&I INC,7845.00
50183383,RENAL VENO UNI S&I LT INC,7046.00
50183391,RENAL VENO UNI S&I RT INC,7046.00
50183409,RENAL VENO BIL S&I INC,7845.00
50183417,ADRENAL VENO BILAT S&I INC,7046.00
50183425,ADRENAL VENO UNILAT S&I LT INC,7845.00
50183433,ADRENAL VENO UNILAT S&I RT INC,7845.00
50183441,JUGULAR VENOGRAM S&I LT INC,7046.00
50183458,JUGULAR VENOGRAM S&I RT INC,7046.00
50183466,SUP SAG SINUS VENOGRAM S&I LT,7845.00
50183474,SUP SAG SINUS VENOGRAM S&I RT,7845.00
50183482,EPIDURAL VENO S&I LT INC,7046.00
50183490,EPIDURAL VENO S&I RT INC,7046.00
50183508,ORBITAL VENO S&I LT INC,2426.00
50183516,ORBITAL VENO S&I RT INC,2426.00
50183524,TRANSHEP PORTO W/PRES S&I INC,7845.00
50183532,TRANSHEP PORTO W/O PRES S&I IN,7845.00
50183540,HEPATIC VENO S&I INC,7845.00
50183557,HEPATIC VENO W/O PRESS S&I INC,7046.00
50183565,VENOUS SAMPLE S&I INC,2907.00
50183573,TRANSCATH EMBO S&I INC,10212.00
50183581,INFUSION THERAPY S&I INC,8995.00
50183599,ANGIO THRU EXISTING CATH LT IN,1481.00
50183607,ANGIO THRU EXISTING CATH RT IN,1481.00
50183615,CHANGE CATH DUR THROMBOLYS INC,7046.00
50183623,IVE FILTER S&I INC,7845.00
50183631,IVUS S&I INC,2108.00
50183649,IVUS EACH ADD'L VESSEL INC,3076.00
50183656,INTRAVASCULAR STENT S&I LT INC,9773.00
50183664,INTRAVASCULAR STENT S&I RT INC,9773.00
50183672,FOREIGN BODY S&I INC,7046.00
50183680,PTA PERIPHERAL S&I LT INC,7845.00
50183698,PTA PERIPHERAL S&I RT INC,7845.00
50183706,PTA PERIPH EACH ADD'L S&I LT,3928.00
50183714,PTA PERIPH EACH ADD'L S&I RT,3928.00
50183722,PTA RENAL VISC S&I LT INC,10323.00
50183730,PTA RENAL VISC S&I RT INC,10323.00
50183748,PTA VISC ADDITIONAL S&I LT INC,5503.00
50183755,PTA VISC ADDITIONAL S&I RT INC,5503.00
50183763,TRANSCATHETER BX S&I INC,7845.00
50183771,VENOUS PTA S&I LT INC,7845.00
50183789,VENOUS PTA S&I RT INC,7845.00
50183797,PTBD S&I LT INC,5706.00
50183805,PTBD S&I RT INC,5706.00
50183813,BILIARY STENT S&I INC,5706.00
50183821,CHANGE DRAINAGE TUBE S&I INC,1537.00
50183839,GUIDE ABSC DRN CT/US/FLUORO IN,2486.00
50183847,ATHERECTOMY 1ST VESSEL S&I LT,7845.00
50183854,ATHERECTOMY 1ST VESSEL S&I RT,7845.00
50183862,ATHERECTOMY ADD'L VESSEL S&I L,7695.00
50183870,ATHERECTOMY ADD'L VESSEL S&I R,7695.00
50183888,ATHERECTOMY RENAL S&I LT INC,10323.00
50183896,ATHERECTOMY RENAL S&I RT INC,10323.00
50183904,ATHERECTOMY VISCERAL S&I LT IN,7695.00
50183912,ATHERECTOMY VISCERAL S&I RT IN,7695.00
50183920,ATHER VISCERAL EACH ADD S&I LT,7695.00
50183938,ATHER VISCERAL EACH ADD S&I RT,7695.00
50183946,FLUORO<1HR INC,1329.00
50183953,FLUORO>1HR INC,2643.00
50183961,FLUORO GUIDED BIOPSY INC,778.00
50183979,FISTULA/SINOGRAM S&I INC,630.00
50183987,VASCULAR ACCESS CATH DECLOT,652.00
50184001,PERCUT. KYPHOPLASTY THO RT INC,6669.00
50184019,PERCUT.KYPHOPLASTY THOR RT,13338.00
50184027,PERCUT.KYPHOPLASTY THO LT INC.,6669.00
50184035,PERCUT. KYPHOPLASTY THOR LT,13338.00
50184043,PERCUT.KYPHOPLASTY THO BI INC,6669.00
50184050,PERCUT.KYPHOPLASTY THOR BI,13338.00
50184068,PERCUT.KYPHOPLASTY LUM RT INC,6669.00
50184076,PERCUT.KYPHOPLASTY LUMBAR RT,13338.00
50184084,PERCUT.KYPHOPLASTY LUM.LT INC,6669.00
50184092,PERCUT.KYPHOPLASTY LUMBAR LT,13338.00
50184100,PERCUT.KYPHOPLASTY LUM. BI INC,6669.00
50184118,PERCUT.KYPHOPLASTY LUMBAR BI,13338.00
50184126,PERCUT.KYPHOPLASTY ADD RT INC,6669.00
50184134,PERCUT.KYPHOPLASTY ADD ON RT,13338.00
50184142,PERCUT.KYPHOPLASTY ADD LT INC,6669.00
50184159,PERCUT.KYPHOPLASTY ADD ON LT,13338.00
50184167,PERCUT.KYPHOPLASTY ADD BI INC,6669.00
50184175,PERCUT.KYPHOPLASTY ADD ON BI,13338.00
50184183,"IDET, SINGLE RT INC",2519.00
50184191,IDET. SINGLE LEVEL RT,5033.00
50184209,"IDET, SINGLE LEVEL LT INC",2519.00
50184217,"IDET, SINGLE LT",5033.00
50184225,"IDET, SINGLE LEVEL BI INC",2519.00
50184233,"IDET, SINGLE LEVEL BI",5033.00
50184241,"IDET, 1 OR MORE LEVELS RT INC",2519.00
50184258,"IDET, 1 OR MORE LEVELS RT",5033.00
50184266,IDET.1 OR MORE LEVELS LT INC,2519.00
50184274,"IDET, 1 OR MORE LEVELS LT",5033.00
50184282,"LEDT, 1 OR MORE LEVELS BI INC",2519.00
50184290,"IDET, 1 OR MORE LEVELS BI",5033.00
50184308,"PERQ RF ABLATE TX,PUL RT INC",3741.00
50184316,"PERQ RF ABLATE TX, PUL TUMO RT",7485.00
50184324,"PERQ RF ABLATE TX,PUL LT INC",3741.00
50184332,"PERQ RF ABLATE TX,PUL TUMO LT",7485.00
50184340,ENDOVASC TAA REPR INCL SUB 2DR,1725.00
50184357,ENDOVASC TAA REPR INCL 2DR ADL,863.00
50184365,ENDOVASC TAA REPR INCL 2DR INC,863.00
50184373,ENDOVASC TAA REPR W/O SUBC 2DR,1467.00
50184381,ENDOVASC TAA REPR W/O S 2DRADL,734.00
50184399,ENDOVASC.TAA REPR W/O S 2DRINC,734.00
50184407,INSERT ENDOVASC.PROSTH.TAA 2DR,1268.00
50184415,INSERT ENDOVASC.PROSTH.2DR ADL,631.00
50184423,INSERT ENDOVASC.PROSTH.2DR INC,631.00
50184431,ENDOVASC.PROSTH.TAA ADD-0 2DR,503.00
50184449,ENDOVASC.PROSTH.TAA A 2DR ADL,254.00
50184456,ENDOVASC.PROSTH.TAA A 2DR INC,254.00
50184464,ENDOVASC.PROSTH.DELAYED 2DR,1084.00
50184472,ENDOVASC.PROSTH.DELAY 2DR ADL,544.00
50184480,ENDOVASC.PROSTH.DELAY 2DR INC,544.00
50184498,ARTERY TRANSPOSE/ENDOVAS TA2DR,1224.00
50184506,ARTERY TRANSPOSE/ENDOVA 2DRADL,612.00
50184514,ARTERY TRANSPOSE/ENDOVA 2DRINC,612.00
50184522,CAR-CAR BP GRFT/ENDOVAS TAA2DR,1548.00
50184530,CAR-CAR BP GRFT/ENDOVAS 2DRADL,774.00
50184548,CAR-CAR BP GRFT/ENDOVAS 2DRINC,774.00
50184555,PRIM ART MECH THROMBECT RT ADL,3778.00
50184563,PRIM.ART MECH.THROMBECT.RT INC,3778.00
50184571,PRIM ART MECH THROMBECTOMY RT,7563.00
50184589,PRIM ART MECH THROMBECT.LT ADL,3778.00
50184597,PRIM ART MECH THROMBECT LT INC,3778.00
50184605,PRIM ART MECH THROMBECTOMY LT,7563.00
50184613,PRIM ART MECH THROMBECT BI ADL,3778.00
50184621,PRIM ART MECH THROMBECT BI INC,3778.00
50184639,PRIM ART MECH THROMBECTOMY BI,7563.00
50184647,PRIM ART MECH THROMBE.AD RTADL,3778.00
50184654,PRIM ART MECH THROMBE.AD RTINC,3778.00
