Ventura County Medical Center (106560481),,
Charge Description Master,,
,,
Description,FY -17 Facility Rate,FY-17 Professional Rate
Self-Care - OT Primary Limitation Discharge Status,statistical only,
Self-Care - PT Primary Limitation Current Status,statistical only,
Self-Care - PT Primary Limitation Goal Status,statistical only,
Self-Care - PT Primary Limitation Discharge Status,statistical only,
Shoulder Immobilizer applied - ED Orthopedic Device Applied,19,
Sling applied - ED Orthopedic Device Applied,26,
Small volume nebulizer - Aerosol Delivery Device,102,
Small Adult Cannula High Flow  V-Therm - High Flow Set-Up***CHARGE,14,
Small  Vest - Therapy Vest ***CHARGE,321,
Smoking Cessation Instruction,statistical only,
Smoking Cessation,53,
Soft Collar applied - ED Orthopedic Device Applied,98,
Sol. 0.9% Saline 500ml - Arterial Line,14,
Solu-Medrol up to 125 mg inj - AMB MET (SoluMedrol) Given?,41,
Solu-Medrol 40 mg Inj - AMB MET (SoluMedrol) Given?,20.05,
Splint applied - ED Orthopedic Device Applied,100,
Split Prsrv Free 6-35 mo IM - AMB FLU Given,28,
Split Prsrv Free 3 yrs & older IM - AMB FLU Given,28,
Split 6-35 mo IM - AMB FLU Given,28,
Split 3 yrs & older IM - AMB FLU Given,28,
Spoken Lang Comprehension Current G-9159,statistical only,
Spoken Lang Expression Current G-9162,statistical only,
Spoken Lang Comprehension Goal G-9160,statistical only,
Spoken Language Expression Goal G-9163,statistical only,
Spoken Lang Comprehension DC G-9161,statistical only,
Spoken Lang Expression DC Status G-9164,statistical only,
Spoken language expression - SLP Primary Limitation Current Status,statistical only,
Spoken language comprehension - SLP Primary Limitation Current Status,statistical only,
Spoken language expression - SLP Primary Limitation Goal Status,statistical only,
Spoken language comprehension - SLP Primary Limitation Goal Status,statistical only,
Spoken language expression - SLP Primary Limitation Discharge Status,statistical only,
Spoken language comprehension - SLP Primary Limitation Discharge Status,statistical only,
Straight catheter - OB L&D Charge Urinary Catheter Placement,63,
Straight Cath - ED Urinary Catheter Type,32,
Subsequent NON-VEST - **CHEST PHYSIOTHERAPY CHARGE**,136,
Subsequent Ventilator Day - ***ONCE DAILY  VENT CHARGE***,286,
Suction Tube - Chest Tube,9,
Suction Tube - Chest Tube Insertion,9,
Suction Tube - Pediatric Chest Tube Insertion,9,
Swallow Current Status G-8996,statistical only,
Swallow Goal Status G-8997,statistical only,
Swallow Discharge Status G-8998,statistical only,
Swallow - SLP Primary Limitation Current Status,statistical only,
Swallow - SLP Primary Limitation Goal Status,statistical only,
Swallow - SLP Primary Limitation Discharge Status,statistical only,
Swan-Ganz PCG Bipolar Pacing Catheter - Pacer Swan Insertion,503,
Therapap with Manometer - PEP/PAP Set-Up,123,
Thoracentesis Kit - Pediatric Paracentesis,101,
Thumb Spica splint applied (Pre-fab) - ED Orthopedic Device Applied,52,
Tincture of Benzoin - ED NG Tube Secured,2,
Transducer - Bladder Pressure,53,
Transducer - CVP  Supplies,53,
Transducer X2 - Swan-Ganz Insertion,53,
Transducer X2 - Pacer Swan Insertion,53,
Treatment units MTP,25,
Treatment Units MTP Additional,9,
Treatment Units MTP OT,25,
Treatment Units MTP OT Additional,9,
Unit Dose Cup - AMB Docusate Given,7.5,
V-Therm Patient Circuit Low Flow 0-8 LPM - High Flow Set-Up***CHARGE,396,
V-Therm Patient Circuit High Flow 5-40 LPM - High Flow Set-Up***CHARGE,396,
Vacutainer Bottle 500ml,21,
Vacutainer Bottle 2000ml,31,
Vacutainer Bottle 1000ml,24,
Ventriculostomy Catheter - Ventriculostomy,525,
Voice Current Status G-9171,statistical only,
Voice Goal Status G-9172,statistical only,
Voice Discharge Status G-9173,statistical only,
Voice - SLP Primary Limitation Current Status,statistical only,
Voice - SLP Primary Limitation Goal Status,statistical only,
Voice - SLP Primary Limitation Discharge Status,statistical only,
Whisper Swivel - CPAP Set-Up,97,
Wound Vac Cannister - Wound Vac Cannister Change,62,
X-Large  Vest - Therapy Vest ***CHARGE,321,
X-Small  Vest - Therapy Vest ***CHARGE,321,
Yes - ED Urine Dipsitck POC,65,
Yes - ED Placed on Monitor,1,
Yes - ED Pulse Ox Applied,2,
Yes - ED Rectal Tube Placed,198,
Yes - ED Gastric Lavage,286,
Yes - ED Dermabond,37,
Yes - ED Pressure Infuser/Warmer,17,
Yes - ED Therapeutic Phlebotomy,44,
Yes - ED Leg Bag Applied,9,
Yes - ED Urinary Catheter Irrigation,12,
Yes - ED Hemodynamic Monitoring,64,
"Yes - ED Hemodynamic, SVO2",23,
Yes - ED Cricoidotomy,218,
Yes - End Tidal CO2 Monitoring,130,
Yes - ED Bedside Drainage Bag,21,
Yes - AMB Medication Given,9,
Yes - AMB Medication Given,54,
Yes - AMB Medication Given,14,
Yes - AMB Medication Given,8.04,
Yes - AMB CEFOX Given,29,
Yes - AMB CHL Given,1249,
Yes - AMB HCG Given,669,
Yes - AMB CLIN Given?,39,
Yes - AMB DOP Given?,9,
Yes - AMB GARA Given,14,
Yes - AMB GLU Given?,685,
Yes - AMB IPV (Polio)Given,106,
Yes - AMB PPD Given?,42,
Yes - AMB MTCP Given,8,
Yes - AMB MEDRO (DepoProvera) Given,358,
Yes - AMB Ondansetron Injection Given,13,
Yes - AMB IRON Given?,253,
Yes - AMB SUM Given,45,
Yes - AMB PVC13 Given,318,
Yes - AMB Pneumovx 23 Given,120,
Yes - AMB Tetanus Diphtheria Toxoids Given?,153,
Yes - AMB IPRA Given,10,
Yes - AMB HDZ Given,137,
Yes - AMB HYDRO Given,9,
Yes - AMB RAB Given,722,
Yes - AMB Varicella (chickenpox) Given,344,
Yes - AMB ZOS Given,615,
Yes - AMB MENIN Given,209,
Yes - AMB Meningococcal MCV4 Given,199,
Yes - AMB TYP Given,539,
Yes - AMB HEPB-HIB Given,234,
Yes - AMb IMM Given,81,
Yes - AMB FLU Nasal Given,25,
Yes - AMB Hepatitis A  Given,355,
Yes - AMB PRP-D Given,73,
Yes - AMB PRP-T Given,73,
Yes - AMB Medication Given,12,
Yes - AMB ERTA Given,255,
Yes - AMB DTaP Given,87,
Yes - AMB DTaP-IVP/Hib (Pentacel)Given,310,
Yes - AMB PED Given,209,
Yes - AMB DTaP-HepB-IPV (Pediarix)Given,561,
Yes - AMB FENT Given,9,
Yes - Field Visit MTP,7,
Yes - Field Visit MTP OT,8,
Yes - AMB Medication Given,5,
Yes - AMB DPH Given,9,
Yes - AMB Hepatitis B Adult vaccine,153,
Yes - Hep B CHPD peds Given,139,
Yes - Hep B peds Given,139,
Yes - AMB Medication Given,380,
Yes - AMB QUAD Given,380,
Yes - AMB Hyalurondaise Given,210,
Yes - AMB LEUPROlide (Lupron) Given,1403,
Yes - AMB PRED Given,4,
Yes - AMB PROMETH Given,9,
Yes - AMB RhoGAM Given,990,
Yes - AMB TEST Given,63,
Yes - AMB ROTA Given,270,
Yes - AMB RotaTeq Given,270,
Yes - AMB MMR Given,206,
Yes - AMB Medication Given,8.93,
Yes - AMB ETON Given?,2379,
Yes - AMB Tdap Given,73,
Yes - AMB METHYL 40 (DepoMedrol) Given,35,
Yes - AMB ADACEL Given,144,
Yes - AMB BOOSTRIX Given,144,
Yes - AMB HPV Given,380,
Yes - AMB INSULIN Given,50,
Yes - AMB MCV4 (Menactra/Menveo)Given,199,
Yes - AMB MMRV Given,159,
Yes - AMB Medication Given,11,
Yes - AMB Hepatitis B Given,333,
Yes - AMB  Medication Given,23,
Yes - AMB ONAB Given,2085,
Yes - AMB Mirena Given,2789,
Yes - AMB CYANO Given,13,
Yes - AMB HPV2 Cervarix Given,380,
Yes - AMB HPV4 Gardasil Given,1031,
Yes - AMB INS ASPART Given,491,
Yes - AMB Japanese Encephalitis vaccine given,1823,
Yes - AMB HYALG Given,1073,
Yes - AMB CLON Given,10,
Yes - AMB Candida Given,70.55,
Yes - AMB Fluarix Quad Prsrv Free 3 yrs & older,28,
Yes - AMB Fluarix Trivalent 3 yrs & older,18,
Yes - AMB FluLaval Quadrivalent 3 yrs & older,18,
Yes - AMB FluLaval Trivalent 3 yrs & older,18,
Yes - AMB FluMist Quadrivalent 2-49 yrs,25,
Yes - AMB FluMist Trivalent 2-49 yrs,25,
Yes - AMB Fluvirin Tri Prsrv Free 4 yrs & older,18,
Yes - AMB Fluvirin Trivalent 4 yrs & older,18,
Yes - AMB Fluzone High Dose,37,
Yes - AMB Fluzone Quad Prsrv Free 3 yrs & older,28,
Yes - AMB Fluzone Quadrivalent 3 yrs & older,18,
Yes - AMB Fluzone Quadrivalent 6-35 months,28,
Yes - AMB Fluzone Quadrivalent Prsrv Free 6-35 mo,28,
Yes - AMB Fluzone Tri Prsrv Free 3 yrs & older,18,
Yes - AMB Fluzone Trivalent 3 yrs & older,18,
Yes - AMB Fluzone Trivalent 6-35 months,28,
Yes - AMB FluLaval Quad Prsrv Free 3 yrs & older,28,
Yes - AMB sulfamethaxazole-trimethoprim,3,
Yes - AMB ciproFLOXACIN,16,
Yes - AMB Skyla Given,2581,
Yes - AMB Meningococcal Group B Given,205,
Yes - AMB thyrotropin alpha 1.1 mg,4470,
Yes - GARDASIL 9 HPV 9,1291,
Yes - AMB Hydroxyprogesterone Given,2738,
Yes - AMB NEULASTA,27051,
Yes - AMB COSYN Given,428,
Yes - AMB PRP-OMP Given,95,
Yes - AMB Bexsero Given,642,
Yes - AMB Trumenba Given,463,
Yes - AMB Paragard (copper IUD) given,795,
Yes - AMB LEXISCAN,832.5,
Yes - AMB donnatal elixir,1025.43,
Yes - AMB NUCALA (MEPOLIZUMAB),9270,
Yes - AMB silver sulfADIAZINE 1% cream,26.97,
Yes - AMB DTap (Daptacel),34.59,
Yes - AMB Menhibrix,84.96,
Yes - AMB Flublok TRIvalent Egg Free,43,
Yes - AMB ethyl chloride topical spray,7.55,
Yes - AMB Fluzone QUAD 6m-35m (Single-Dose Syringe),23.88,
Yes - AMB Fluzone QUAD 36m+ (Multi-Dose Vial),22.72,
Yes - AMB Fluzone QUAD 36m+ (Single-Dose Syringe),23.88,
Yes - AMB Fluzone QUAD 36m+ (Single-Dose Vial),23.88,
Yes - AMB Fluzone TRI High Dose 65y+ (SD Syr,48.26,
Yes - AMB Afluria QUAD 18+ (Multi-Dose Vial),20.96,
Yes - AMB Afluria QUAD 18y+ (Single-Dose Syringe),21.91,
Yes - AMB Afluria TRI 5y+ (Multi-Dose Vial),18.42,
Yes - AMB Afluria TRI 5y+ (Single-Dose Syringe),19.38,
Yes - AMB Fluarix QUAD 36m+ (Single-Dose Syringe),24.07,
Yes - AMB FluBlok QUAD 18y+ (Single-Dose Syringe),48,
Yes - AMB FluBlok TRI 18y+ (Single-Dose Vial),23.3,
Yes - AMB Flucelvax QUAD 4y+ (Single-Dose Syringe),22.3,
Yes - AMB FluLaval QUAD 6m+ (Single-Dose Syringe),24.07,
Yes - AMB FluLaval QUAD 36m+ (Multi-Dose Vial),22.97,
Yes - AMB Fluvirin TRI 4y+ (Multi-Dose Vial),18.42,
Yes - AMB Fluvirin TRI 4y+ (Single-Dose Syringe),19.38,
Yes - AMB Fluzone QUAD Intradermal 18y-64y (SD Syr,23.88,
Yes - AMB Fluarix QUAD 36 months & older,24.07,
Yes - AMB FluBlok QUAD 18 years & older,48,
Yes - AMB FluBlok TRIvalent 18 years & older,23.3,
Yes - AMB Flucelvax QUAD 4 years & older,22.3,
Yes - AMB clotrimazole 1% vaginal cream,24,
Yes - AMB ETHANOLAMINE 5%,521,
Yes - AMB eye wash irrigation soln,8.64,
Yes - AMB aluminum chloride 20% Topical Solution,15,
Yes - AMB mupirocin 2% topical oint,89.76,
Yes - AMB podophyllum resin 25% topical,366.5,
Yes - AMB PCZ Given,33.9,
Yes - AMB antipyrine-benzocaine Ear Sol,7.25,
Yes - AMB Lugol's strong iodine oral drop,62.55,
Yes - AMB Medication Given,18.43,
Yes - AMB Lidocaine Injection,2.64,
Yes - AMB Ofloxacin EAR DROPS,302.12,
Yes - AMB trichloroacetic acid 80% top liquid 15mL,74.75,
Yes - AMB Urea Cream,120.18,
Yes - AMB Nitrofurantoin Given?,28.99,
Yes - AMB lidocaine Uroject,22.86,
Yes - AMB SHINGRIX GIVEN,504,
Yes - AMB Kyleena IUD Given,3272.28,
Yes - AMB Liletta Given,2239.8,
Yes - AMB Testosterone Cypionate,64.8,
Yes - AMB Testosterone ENanthate,254.85,
Yes - AMB GI COCKTAIL,1014,
Yes HAVRIX 1440units/mL - AMB HEPA Given,255,
Yes INFANRIX SYRINGE - AMB DTaP-IPV (Kinrix) given,183,
"Yes, CHPD - AMB Medication Given",380,
"Yes, CHPD - AMB QUAD Given",10,
"Yes, CHPD - AMB RotaTeq Given",10,
"Yes, CHPD - AMB MMR Given",10,
"Yes, CHPD - AMB ADACEL Given",10,
"Yes, CHPD - AMB BOOSTRIX Given",10,
"Yes, CHPD - AMB MMRV Given",10,
"Yes, CHPD - AMB HPV4 Gardasil Given",10,
"Yes, CHPD - AMB DTaP Given",10,
"Yes, CHPD - AMB DTaP-HepB-IPV (Pediarix)Given",10,
"Yes, CHPD - AMB DTaP-IVP/Hib (Pentacel)Given",10,
"Yes, CHPD - AMB Hepatitis A  Given",10,
"Yes, CHPD - Hep B CHPD peds Given",10,
"Yes, CHPD - AMB Varicella (chickenpox) Given",10,
"Yes, CHPD - AMB Tetanus Diphtheria Toxoids Given?",10,
"Yes, CHPD - AMB HPV Given",10,
"Yes, CHPD - AMB Meningococcal MCV4 Given",10,
"Yes, CHPD - AMB PRP-D Given",10,
"Yes, CHPD - AMB PRP-T Given",10,
"Yes, CHPD - AMB DTaP-IPV (Kinrix) given",10,
"Yes, CHPD - AMB IPV (Polio)Given",10,
"Yes, CHPD - AMB PVC13 Given",10,
"Yes, CHPD - AMB Tdap Given",10,
"Yes, State - AMB Fluarix Quad Prsrv Free 3 yrs & older",10,
"Yes, CHDP/VFC - AMB Fluarix Quad Prsrv Free 3 yrs & older",10,
"Yes, State - AMB Fluarix Trivalent 3 yrs & older",10,
"Yes, CHDP/VFC - AMB Fluarix Trivalent 3 yrs & older",10,
"Yes, State - AMB FluLaval Quadrivalent 3 yrs & older",10,
"Yes, CHDP/VFC - AMB FluLaval Quadrivalent 3 yrs & older",10,
"Yes, State - AMB FluLaval Trivalent 3 yrs & older",10,
"Yes, CHDP/VFC - AMB FluLaval Trivalent 3 yrs & older",10,
"Yes, State - AMB FluMist Quadrivalent 2-49 yrs",10,
"Yes, CHDP/VFC - AMB FluMist Quadrivalent 2-49 yrs",10,
"Yes, State - AMB FluMist Trivalent 2-49 yrs",10,
"Yes, CHDP/VFC - AMB FluMist Trivalent 2-49 yrs",10,
"Yes, State - AMB Fluvirin Tri Prsrv Free 4 yrs & older",10,
"Yes, CHDP/VFC - AMB Fluvirin Tri Prsrv Free 4 yrs & older",10,
"Yes, State - AMB Fluvirin Trivalent 4 yrs & older",10,
"Yes, CHDP/VFC - AMB Fluvirin Trivalent 4 yrs & older",10,
"Yes, State - AMB Fluzone High Dose",10,
"Yes, CHDP/VFC - AMB Fluzone High Dose",10,
"Yes, State - AMB Fluzone Quad Prsrv Free 3 yrs & older",10,
"Yes, CHDP/VFC - AMB Fluzone Quad Prsrv Free 3 yrs & older",10,
"Yes, State - AMB Fluzone Quadrivalent 3 yrs & older",10,
"Yes, CHDP/VFC - AMB Fluzone Quadrivalent 3 yrs & older",10,
"Yes, State - AMB Fluzone Quadrivalent 6-35 months",10,
"Yes, CHDP/VFC - AMB Fluzone Quadrivalent 6-35 months",10,
"Yes, State - AMB Fluzone Quadrivalent Prsrv Free 6-35 mo",10,
"Yes, CHDP/VFC - AMB Fluzone Quadrivalent Prsrv Free 6-35 mo",10,
"Yes, State - AMB Fluzone Tri Prsrv Free 3 yrs & older",10,
"Yes, CHDP/VFC - AMB Fluzone Tri Prsrv Free 3 yrs & older",10,
"Yes, State - AMB Fluzone Trivalent 3 yrs & older",10,
"Yes, CHDP/VFC - AMB Fluzone Trivalent 3 yrs & older",10,
"Yes, State - AMB Fluzone Trivalent 6-35 months",10,
"Yes, CHDP/VFC - AMB Fluzone Trivalent 6-35 months",10,
"Yes, State - AMB FluLaval Quad Prsrv Free 3 yrs & older",10,
"Yes, CHDP/VFC - AMB FluLaval Quad Prsrv Free 3 yrs & older",10,
"Yes, CHDP - AMB HEPB-HIB Given",10,
"Yes, CHDP - AMB Meningococcal Group B Given",10,
"Yes, CHDP - GARDASIL 9 HPV 9",10,
"Yes, CHDP - AMB PRP-OMP Given",10,
"Yes, CHDP - AMB Bexsero Given",10,
"Yes, CHDP - AMB Trumenba Given",10,
"Yes, VFA - AMB Hepatitis B Given",26.03,
"Yes, VFA - GARDASIL 9 HPV 9",26.03,
"Yes, VFA - AMB MENIN Given",26.03,
"Yes, VFA - AMB PVC13 Given",26.03,
"Yes, VFA - AMB Pneumovx 23 Given",26.03,
"Yes, VFA - AMB Tdap Given",26.03,
"Yes, VFA - AMB Varicella (chickenpox) Given",26.03,
"Yes, VFA - AMB MMR Given",26.03,
"Yes, VFA - AMB Tetanus Diphtheria Toxoids Given?",26.03,
"Yes, VFA - AMB Meningococcal MCV4 Given",26.03,
"Yes, VFA - AMB HEPA Given",26.03,
"Yes, VFA - AMB Hepatitis B Adult vaccine",26.03,
"Yes, CHDP/VFC - AMB Flublok TRIvalent Egg Free",10,
"Yes, State - AMB Flublok TRIvalent Egg Free",10,
"Yes, VFA - AMB ZOS Given",26.03,
"Yes, State - AMB Fluzone QUAD 6m-35m (Single-Dose Syringe)",10,
"Yes, CDPH/VFC - AMB Fluzone QUAD 6m-35m (Single-Dose Syringe)",10,
"Yes, State - AMB Fluzone QUAD 36m+ (Multi-Dose Vial)",10,
"Yes, CDPH/VFC - AMB Fluzone QUAD 36m+ (Multi-Dose Vial)",10,
"Yes, State - AMB Fluzone QUAD 36m+ (Single-Dose Syringe)",10,
"Yes, CDPH/VFC - AMB Fluzone QUAD 36m+ (Single-Dose Syringe)",10,
"Yes, State - AMB Fluzone QUAD 36m+ (Single-Dose Vial)",10,
"Yes, CDPH/VFC - AMB Fluzone QUAD 36m+ (Single-Dose Vial)",10,
"Yes, State - AMB Fluzone TRI High Dose 65y+ (SD Syr",10,
"Yes, CDPH/VFC - AMB Fluzone TRI High Dose 65y+ (SD Syr",10,
"Yes, State - AMB Afluria QUAD 18+ (Multi-Dose Vial)",10,
"Yes, CDPH/VFC - AMB Afluria QUAD 18+ (Multi-Dose Vial)",10,
"Yes, State - AMB Afluria QUAD 18y+ (Single-Dose Syringe)",10,
"Yes, CDPH/VFC - AMB Afluria QUAD 18y+ (Single-Dose Syringe)",10,
"Yes, State - AMB Afluria TRI 5y+ (Multi-Dose Vial)",10,
"Yes, CDPH/VFC - AMB Afluria TRI 5y+ (Multi-Dose Vial)",10,
"Yes, State - AMB Afluria TRI 5y+ (Single-Dose Syringe)",10,
"Yes, CDPH/VFC - AMB Afluria TRI 5y+ (Single-Dose Syringe)",10,
"Yes, State - AMB Fluarix QUAD 36m+ (Single-Dose Syringe)",10,
"Yes, CDPH/VFC - AMB Fluarix QUAD 36m+ (Single-Dose Syringe)",10,
"Yes, State - AMB FluBlok QUAD 18y+ (Single-Dose Syringe)",10,
"Yes, CDPH/VFC - AMB FluBlok QUAD 18y+ (Single-Dose Syringe)",10,
"Yes, State - AMB FluBlok TRI 18y+ (Single-Dose Vial)",10,
"Yes, CDPH/VFC - AMB FluBlok TRI 18y+ (Single-Dose Vial)",10,
"Yes, State - AMB Flucelvax QUAD 4y+ (Single-Dose Syringe)",10,
"Yes, CDPH/VFC - AMB Flucelvax QUAD 4y+ (Single-Dose Syringe)",10,
"Yes, State - AMB FluLaval QUAD 6m+ (Single-Dose Syringe)",10,
"Yes, CDPH/VFC - AMB FluLaval QUAD 6m+ (Single-Dose Syringe)",10,
"Yes, State - AMB FluLaval QUAD 36m+ (Multi-Dose Vial)",10,
"Yes, CDPH/VFC - AMB FluLaval QUAD 36m+ (Multi-Dose Vial)",10,
"Yes, State - AMB Fluvirin TRI 4y+ (Multi-Dose Vial)",10,
"Yes, CDPH/VFC - AMB Fluvirin TRI 4y+ (Multi-Dose Vial)",10,
"Yes, State - AMB Fluvirin TRI 4y+ (Single-Dose Syringe)",10,
"Yes, CDPH/VFC - AMB Fluvirin TRI 4y+ (Single-Dose Syringe)",10,
"Yes, State - AMB Fluzone QUAD Intradermal 18y-64y (SD Syr",10,
"Yes, CDPH/VFC - AMB Fluzone QUAD Intradermal 18y-64y (SD Syr",10,
"Yes, CHDP/VFC - AMB Fluarix QUAD 36 months & older",10,
"Yes, State - AMB Fluarix QUAD 36 months & older",10,
"Yes, CHDP/VFC - AMB FluBlok QUAD 18 years & older",10,
"Yes, State - AMB FluBlok QUAD 18 years & older",10,
"Yes, CHDP/VFC - AMB FluBlok TRIvalent 18 years & older",10,
"Yes, State - AMB FluBlok TRIvalent 18 years & older",10,
"Yes, CHDP/VFC - AMB Flucelvax QUAD 4 years & older",10,
"Yes, State - AMB Flucelvax QUAD 4 years & older",10,
"Yes, VFA - AMB SHINGRIX GIVEN",26.03,
"Yes, CHDP - AMB HEPA Given",10,
ROOM/BED: Nursery,2010,
ROOM/BED: Med/Surg,10247,
ROOM/BED: Pediatrics,10247,
ROOM/BED: NICU,14057,
ROOM/BED: PICU,13656,
ROOM/BED: ICU,13656,
ROOM/BED: DOU/Step Down,11295,
ROOM/BED: Observation,220,
ROOM/BED: Telemetry,11295,
ROOM/BED: Med Surg semi-private,10247,
ROOM/BED: Intermediate NICU,11246,
ROOM/BED: IP Psych,7260,
ROOM/BED: Obstetrics,10247,
ROOM/BED: ICU Trauma,19818,
ROOM/BED: ED Hold,462,
ROOM/BED: NT MedSurgTele 1st,10247,
ROOM/BED: NT OB,10247,
ROOM/BED: NT ICU 2,11295,
ROOM/BED: NT ICU 1,11295,
ROOM/BED: NT MedSurgTele 3rd,10247,
ROOM/BED: NT Pediatrics,10247,
ROOM/BED: NT ICU 3,13656,
ROOM/BED: NT NICU,14057,
ROOM/BED: NT Nursery,2010,
ROOM/BED: NT PICU,13656,
ROOM/BED: NT ICU TRAUMA,19818,
Cardiopulmonary Resuscitation,548,
Oxygen Therapy with Exercise,31,
Oxygen Saturation,153,
Pnuemogram,1790,
23 gauge butterfly needle,648,
6FR SHEATH,414,
"ADENOSCAN,DX USE,30MG",1295,
AMPLATZER VASCULAR PLUG,3539,
AMPLATZER VASCULAR PLUG 4,4034,
AMPLATZER VASCULAR PLUG II,3539,
ANGIO SEAL CLOSURE DEVICE,1022,
ANGIO SHEATH,844,
ANGIOFLUSH FLUID COLLECTION BAG,41,
ANGIOPLASTY BALLOON CATHETER,1637,
ANGIOJET AVX CATHETER,1950,
ANGIOJET PROXI CATHETER,4620,
ANGIOJET OMNI CATHETER,4950,
ANGIOJET DISTA CATHETER,5850,
ANGIOJET ZELANTE CATHETER,8550,
ANGIOJET POWER PULSE KIT,510,
ASPIRA PLEURAL/PERITONEAL DRAINAGE KIT,4882,
ATHERECTOMY TURBOHAWK,10280,
ATHERECTOMY JETSTREAM,7260,
ATHERECTOMY SPIDER FX EMBOLIC PROTECTION,2750,
ATHERECTOMY HAWKONE,9945,
ATHERECTOMY SILVERHAWK,9300,
Biopsy Tray,63,
CATHETER ANGIO SPECIALTY,448,
CATHETER BILIARY KIT,996,
CATHETER FLEXIMA REG LOOP KIT,1069,
CATHETER THROMBECTOMY/EMBOLECTOMY,909,
CATHETER GLIDE,230,
CATHETER CENTRAL NON-TUNNELED,1684,
CATHETER SUPPORT RUBICON,680,
CATHETER INFUSION,642,
CATHETER PRONTO EXTRACTION XL 7FR,1521,
CATHETER PRONTO EXTRACTION,758,
CATHETER PRONTO EXTRACTION LP,1591,
CATHETER NEPH TEMP TIP,364,
CATHETER NEPHROSTOMY KIT,1096,
CATHETER PORT INDWELLING (IMPLANTABLE),1975,
CATHETER PICC,1042,
CATHETER INFUSION 5FR 5-20 CM,418,
CATHETER INFUSION 5FR 30-50 CM,634,
CATHETER INFUSION 4FR 5-20 CM,458,
CATHETER PIGTAIL MARKER BAND 20,210,
CECOSTOMY CATHETER,694,
CECOSTOMY CHAIT PERCUTANEOUS SET,1781,
CLEANER MECH THROMBECTOMY LONG,3519,
CLOSURE DEVICE TR BAND,105,
CO2 CARTRIDGE,105,
CO2 MANAGEMENT SYSTEM,285,
CRD EKG INTERPRET REPT ONLY 93010,,891
CRD ECG RYTHYM STRIP INTERP,,100
CRD ELECTROENCEPHALOGRAM,3290,
CRD ELECTROENCEPHALOGRAM - Report,,501
CRD EXERCISE STRESS TREADMILL ROUTINE - Report,,509
CRD EVENT MONITOR - Report,,142
CRD HOLTER MONITOR 24 HR - Report,,458
CRD HOLTER MONITOR 48 HR - Report,,458
CRD HOLTER MONITOR 72 HR - Report,,458
CRD INCOMPLETE STRESS TEST,242,123
CRD INCOMPLETE STRESS TEST - Report,,76
CRD MPS EXERCISE STRESS TREADMILL,1990,
CRD MPS EXERCISE STRESS TREADMILL - Report,,475
CRD PHARMACOL STRESS W/PHYS.SUPER&REPORT,1990,123
CRD PHARMACOLOGIC STRESS  TEST - Report,,303
CRD TREADMILL STRESS TEST,1990,
CT ABDOMEN W IV CONTRAST,2721,
CT ABDOMEN W & W/O IV CONTRAST,3301,
CT ABDOMEN W & W/O CONTRAST,3532,
CT ABDOMEN W CONTRAST,2912,
CT ABDOMEN W/O CONTRAST,2471,
CT ABDOMINAL BIOPSY NEEDLE PLCMNT,2021,
CT ABSCESS DRAINAGE CATH PLCMNT,3553,
CT ABDOMEN&PELVIS W IV CONTRAST,3238,
CT ABDOMEN&PELVIS W & W/O CONTRAST,4578,
CT ABDOMEN&PELVIS W CONTRAST,3464,
CT ABDOMEN&PELVIS W/O CONTRAST,1818,
CT ABD TRIPLEPHASE W/WO IV CONTRAST,3532,
CT ABD/PELVIS TRIPLEPHASE W/WO IV CONT,4577,
CT ABDOMEN W & W/O CONTRAST,2979,
CT ABDOMEN W & W/O CONTRAST,2979,
CT ANGIO UPPR EXTREM W & W/O CONTRAST,3208,
CT ANGIO ABDOMEN & PELVIS,1254,
CT ANGIO ABDOMEN & PELVIS,2600,
CT ANGIO PELVIS,3281,
CT ANGIO NECK,2937,
CT ANGIO CHEST W & W/O CONTRAST,3376,
CT ANGIO CHEST W & W/O CONTRAST,3612,
CT ANGIO NECK W & W/O CONTRAST,3143,
CT ANGIO PELVIS W & W/O CONTRAST,3511,
CT ANGIO HEAD W & W/O IV CONTRAST,2937,
CT ANGIO ABD AORTA BILAT LE RUN OFF,4279,
CT ANGIO ABDOMEN WWO,3511,
CT ANGIO CHEST WWO,3612,
CT ANGIO HEAD WWO,3143,
CT ANGIO LWR EXTREM WWO,3208,
CT ANGIO HEAD STROKE 70496,1074,
CT ANGIO NECK STROKE 70498,1065,
CT ANGIO CHEST ABDOMEN PELVIS 71275 7417,2600,
CT ANGIO DISSECTION CHEST ABDOMEN PELVIS,2600,
CT ANGIO HEAD AND NECK W & W/0 CONTRAST,1074,
CT ANGIO HEAD AND NECK W CONTRAST 70496,1074,
CT BONE BIOPSY NEEDLE DEEP,4202,
CT BONE BIOPSY NEEDLE SUPERFICIAL,1178,
CT BRAIN LAB HEAD W & W/O CONTRAST,3185,
CT BRAIN LAB HEAD W CONTRAST,2580,
CT BRAIN LAB HEAD W/O CONTRAST,2130,
CT BRAIN LAB MAXOFACIAL W CONTRAST,680,
CT BRAIN LAB MAXOFACIAL W/O CONTRAST,2122,
CT BRAIN LAB THORAX W/O CONTRAST,680,
CT CHEST ABDOMEN PELVIS ANGIO TRAUMA,2600,
CT CHEST ABDOMEN PELVIS W & W/O IV CONTR,4578,
CT CHEST ABDOMEN PELVIS W IV CONTRAST,3464,
CT CHEST ABDOMEN PELVIS W/O IV CONTRAST,1818,
CT CHEST TUBE,668,
CT CSPINE W/O IV CONTRAST,2374,
