Standard Hospital Charge, Unit Price 
"KO DBL UPRIGHT W/ ADJ JNT, ML, W/ ROTAT CNTRL, PREFAB, OFF THE SHELF"," $1,302.00 "
KO DEROTATION MEDIAL-LATERA," $1,419.00 "
"KO DOUBLE UPRIGHT, THIGH AND CALF, DYN ADJ LOAD SYS, ANT, CUST"," $3,425.00 "
KO ELASTIC W/ JOINTS, $194.00 
KO IMMOB CANVAS LONG PREF F, $162.00 
"KO SNG,UPR,THI/CLF,ADJ FLX&EXT JNT"," $1,375.00 "
KO SNGL UPRGHT THGH/CLF W/A," $1,391.00 "
KO SNGL UPRGHT THGH/CLF W/A," $1,926.00 "
KO W/O KNEE JOINT RIGID MTP," $1,145.00 "
L.EXT PROSTHESES  SACH FOOT, $334.00 
"L0120 CERVICAL,FLEX,N/ADJ SOFT COLLAR FOAM", $58.00 
"L0160 CERVICAL, SEMI-RIGID, WIRE FRAME (HEADMASTER OR EXECUTIVE)", $260.00 
"L0172 CERVICAL COLLAR, THERMOPLASTIC FOAM, 2 PIECE-PHILLY COLLAR", $218.00 
"L0174 CERVICAL COLLAR, TP FOAM, 2 PIECE W/ THORACIC EXT (MIAMI J OR PHILLY)", $509.00 
"L0190 CERVICAL, MULTIPLE-POST COLLAR (MINERVA)", $956.00 
"L0450 TLSO, FLEXIBLE,  (TLSO CORSET)", $250.00 
"L0460 TLSO, TRIPLANAR CONTROL, (PREFABRICATED TLSO)"," $1,798.00 "
"L0472 TLSO, TRIPLANAR CONTROL, HYPEREXTENSION,  (JEWETT/CASH)", $656.00 
"L0486 TLSO,  TRIPLANAR CONTROL, 2 PIECE SHELL (CUSTOM MOLDED TLSO)"," $3,676.00 "
"L0621 SACROILIAC ORTHOSIS, FLEXIBLE,PREFABRICATED", $155.00 
"L0626 LSO, WITH RIGID POSTERIOR PANEL, (ASPEN QUICKDRAW OR W-N-F)", $361.00 
L0627 LSO WITH RIGID ANT & POST PANEL(S) (ASPEN QUICKDRAW  RAP), $753.00 
"L0628 LUMBAR-SACRAL CORSET, FLEXIBLE, (CORSET W/ LACES)", $256.00 
"L0637 LSO, (QUICKDRAW ASPEN W/ CHAIRBACK ATTACHMENT AND ABD PANEL)"," $2,129.00 "
L0639 LSO SAG-CORON CNTRL PREFAB WITH CUST FIT," $2,063.00 "
"L0640 LSO, SAGITTAL-CORONAL CONTROL, RIGID  (CUSTOM MOLDED LSO)"," $2,655.00 "
"L0710 CTLSO, MOLDED TO PATIENT (MINERVA TYPE) (NEOFRAKT CTO)"," $3,263.00 "
"L0810 HALO PROCEDURE,CERVICAL HALO INCORPORATED INTO JACKET VEST"," $4,013.00 "
"L0859 ADD TO HALO, MRI COMPATIBLE  RINGS AND PINS, ANY MATERIAL"," $1,882.00 "
"L0984 PROTECTIVE BODY SOCK, EACH", $102.00 
L1499 CUSTOM OSTOMY BINDER, $248.00 
L1499 HALO BRACKETS (2) FULL SUPERSTRUCTURE," $1,557.00 "
L1499 HALO CROWN W/PINS ONLY," $1,421.00 "
L1499 REPLACEMENT CERVICAL COLLAR LINERS FOR MIAMI J AND ASPEN, $96.00 
L1499 REPLACEMENT PADS FOR MINERVA CTLSO-COMPLETE SET, $224.00 
L1499 REPLACEMENT PADS FOR MINERVA OR MIAMI J CTLSO-CHEST, $157.00 
L1620 HO PAVLIK HARNESS, $320.00 
L1640 HIP ORTH ABD CSTM-FAB, $699.00 
"L1680 HO, ABD CNTRL OF HIP JNTS, PELVIC BAND W/ BILAT THIGH CUFFS"," $2,143.00 "
L1686 HO ABDUCT HIP JOINT- PREFAB," $2,166.00 "
"L1686 HO, ABD CNTRL OF HIP,  PREFAB ADULT POST OP, USE WITH L2624"," $1,546.00 "
L1810 KO ELASTIC W/ JOINTS, $194.00 
"L1812 KNEE ORTHOSIS, ELASTIC W/JOINTS, PREFAB, OTS", $122.00 
"L1820 KO, ELASTIC WITH CONDYLAR PADS OR JOINTS PREFAB HINGED KNEE", $248.00 
"L1830 KO, IMMOBILIZER, CANVAS LONGITUDINAL, PREFAB KNEE IMMOBILIZER", $162.00 
"L1831 KO, LOCKING KNEE JOINT(S), POSITIONAL ORTHOSIS", $444.00 
"L1832 KO, ADJUSTABLE KNEE JOINTS, POSTIONAL, T-SCOPE OR SIMILAR", $918.00 
"L1833 KNEE ORTH, ADJ JNTS, POSITION ORTH, RGD SPRT, PREFAB, OTS", $841.00 
L1836 KNEE ORTHOSIS W/O JOINT RIGID PREFAB OTS, $373.00 
"L1846 KO, DOUBLE, UPRIGHT, THIGH & CALF, PREFABRICATED"," $2,121.00 "
"L1850 KO, SWEDISH TYPE, CUSTOM FITTED, PREFABRICATED", $442.00 
"L1902 AFO, ANKLE GAUNTLET, CUSTOM FITTED, PREFABRICATED", $143.00 
"L1906 AFO, MULTILEGAMENTUS ANKLE SUPPORT, PREFABRICATED", $174.00 
"L1907 AFO SUPRAMALLEOLAR WITH STRAPS, WITH OR WITHOUT PADS", $958.00 
"L1930 AFO, PLASTICE OR OTHER MATERIAL, PREFABRICATED, PREFAB AFO", $450.00 
"L1932 AFO, RIGID ANT SECT, CARBON OR EQUAL, PREFAB, TOE-OFF, MATRIX"," $1,403.00 "
"L1960 AFO POSTERIOR, SOLID ANKLE, CUSTOM FABRICATED, PLASTIC"," $1,165.00 "
"L1970 AFO, PLASTIC, CUSTOM FABRICATED, WITH ANKLE JOINT"," $1,310.00 "
"L1971 AFO,  PLASTIC OR OTHER MATL, WITH ANKLE JOINT, PREFABRICATED", $697.00 
"L2036 KAFO, FULL PLASTIC, DOUBLE UPRIGHT, CUSTOM FABRICATED"," $3,178.00 "
L2116 AFO TIBIAL FX RIGID CUST FIT," $1,193.00 "
L2182 DROP LOCK KNEE JOINT, $179.00 
"L2200 ADDITION TO LE, LIMITED JOINT MOTION, EACH JOINT", $100.00 
"L2210 DORSIFLEXION ASSIST (PLANTAR FLEXION RESIST) JOINT, EACH", $120.00 
"L2220  DORSIFLEXION AND PLANTAR FLEXION ASSIST/RESIST, EACH JOINT", $173.00 
"L2270 VARUS/VALGUS CORRECT (""T"") STRAP, OR MALLEOLLUS PAD", $122.00 
"L2275 VARUS/VALGUS CORRECT, PLASTIC MODIFICATION, PAD/LINE", $238.00 
"L2340 ADDITION TO LE, PRE-TIBIAL SHELL MOLDED TO PATIENT MODEL", $743.00 
"L2350 PROSTHETIC TYPE ""BK"" SOCKET, MOLDED TO PATIENT MODEL PTB AFO"," $1,314.00 "
"L2405 ADDITION TO KNEE JOINT, DROP LOCK, EACH", $152.00 
L2430 ADD TO KNEE JOINT RATC HK, $219.00 
L2530 THIGH/WGT BEARING LACER NON MOLDED ADDL CUFF OR BILAT HO, $453.00 
"L2600 PELVIC CONTROL, HIP JOINT, CLEVIS TYPE OR THRUST BEARING FREE", $329.00 
"L2624 PELVIC CONTROL, HIP JNT, ADJ FLEXION EXTENSION, ABD CONTROL", $676.00 
L2755 AD LE HI STR LGHT MTL EA SG, $212.00 
"L2785 ADDITION TO LE, DROP LOCK RETAINER EACH", $54.00 
L2820 SOFT INTERFACE FOR MOLDED PLASTIC BK SECTION, $156.00 
L2830 SOFT INTERFACE FOR MOLDED PLASTIC AK SECTION, $158.00 
"L2999 ANKLE CONTRACTURE SPLINT, EACH, ADJUSTABLE POSITION LNARD", $518.00 
"L2999 DROP LOCK HIP JOINT, EACH", $192.00 
L2999 HEELBO FOR HEEL INPATIENT ONLY, $55.00 
L2999 LNARD BOOT EXTENSION SET (CALF/FOOT), $16.00 
"L3020 CUSTOM FOOT ORTHOSIS, REMOVABLE, MOLDED TO PATIENT, EACH", $292.00 
"L3040 FOOT, ARCH SUPPORT, REMOVABLE, PREMOLDED, LONGITUDINAL, EACH", $144.00 
L3260 SURGICAL BOOT/SHOE EACH, $117.00 
"L3265 PLASTAZOTE SANDAL, CUSTOM FITTED, EACH", $83.00 
"L3300 LIFT, ELEVATION, HEEL, TAPERED AND METATARSALS, PER INCH", $91.00 
"L3310 LIFT, ELEVATION, HEEL AND SOLE, NEOPRENE, PER INCH", $136.00 
"L3332 LIFT, ELEVATION, INSIDE SHOE, TAPERED, UP TO ONE-HALF INCH", $100.00 
"L3650 SO, FIGURE OF ""8"" DESIGN ABDUCT., RESTRAINER, PREFABRICATED", $113.00 
L3660 SO FIG 8 DESIGN ABDUC RESTR, $159.00 
"L3670 SO, ACROMIO/CLAVICULAR (CANVAS AND WEBBING TYPE)", $290.00 
"L3675 SO, VEST TYPE ABD RESTRAINER, CANVAS AND WEBBING OR EQUAL", $414.00 
L3760 EO W/ADJ POS LOCKING JOINT(S) CUSTOMIZED, $757.00 
L3761 EO W ADJ POSI LOCKING JT PREFAB FA, $418.00 
"L3762 ELBOW ORTHO, RIGID, WO JTS, SOFT MAT, P", $161.00 
"L3807 WHFO, W/O JOINT(S), PREFAB, (USE FOR THUMB SPICA FORM FIT)", $377.00 
"L3809 WRIST/HAND/FINGER ORTHOSIS, W/O JOINTS, PREFAB, OTS", $248.00 
"L3908 WHFO, WRIST EXTENSION CONTROL COCK-UP, PREFABRICATED", $127.00 
"L3924 HAND/FINGER ORTHOSIS, W/O JOINTS, PREFAB, OTS", $92.00 
L3960 LEHRMAN SHOULDER ORTHOSIS UNIV," $1,502.00 "
"L3967 SEWHO, ABD POSITIONING, THORACIC &SUPPORT W/O JOINTS, CUSTOM"," $2,839.00 "
"L3980 UE FRACTURE ORTHOSIS-HUMERAL, PREFABRICATED", $599.00 
L3982 SEWHO RADIUS/ULNAR, $488.00 
"L3984 UPPER EXTREMITY FRACTURE ORTH, WRIST, PREFAB, W/ FIT AND ADJ", $557.00 
"L4002 REPLACEMENT STRAP, ANY ORTHOSIS,", $42.00 
"L4205 REPAIR OF ORTHOSES, LABOR COMPONENTS, PER 15 MINS", $53.00 
L4210 HALO PINS (EACH), $183.00 
L4350 ANKL CNTRL ORTHO PREFAB F&A, $173.00 
L4360 WALK BOOT PNEU/VAC W/WO JT, $437.00 
"L4361 WALK BOOT, PNEUM AND/OR VACUUM, W OR W/O JNTS OR INTRFCE MAT, OTS", $342.00 
L4370 PNEUMATIC FULL LEG SPLINT, $360.00 
L4386 WLK BT NON-PNEU WLK SPLNT W, $292.00 
"L4387 WALK BOOT, NON-PNEUM, W OR W/O JNTS, W OR W/O INTRFCE MAT, OTS", $188.00 
L4396 ANK FT ORTH ADJ PREFAB INC, $318.00 
"L4397 STATIC/DYNAMIC ANK/FT ORTHOSIS, PREFAB, OTS", $199.00 
L5450 NONWEIGHT BEARING BK RIGID DRESSING (IPOP), $781.00 
L5999 ADD TO PROSTHETIC SOCKET ADJ FEATURE AND MECHANICAL TENSION SYSTEM," $2,317.00 "
"L7520 REPAIR PROSTHESIS, PER 15 MIN", $52.00 
L7700 PROSTHETIC SEALING RING, $650.00 
L8010 MASTECTOMY ARM SLEEVE (LYMPHEDEMA ARM SLEEVE), $79.00 
L8015 EXTERNAL BREAST PROSTHESIS GARMENT W/ MASTECTOMY FORM, $107.00 
"L8420 PROSTHETIC SOCK, MULTIPLE PLY, BK, EACH", $38.00 
"L8430 PROSTHETIC SOCK, MULTIPLE PLY, AK, EACH", $41.00 
"L8440 PROSTHETIC SHRINKER, BK, EACH", $73.00 
"L8460 PROSTHETIC SHRINKER, AK, EACH", $112.00 
"L8465 PROSTHETIC SHRINKER,  UPPER LIMB", $110.00 
LAB - PROTHROMBIN TIME, $49.00 
LAB BLOOD GLUCOSE, $40.00 
LAB CHROMOSOME ANALYSIS TUMOR," $1,144.00 "
LAB -CROSSMATCH  ELECTRONIC, $130.00 
LAB- HCG BETA QUAL BLOOD, $81.00 
LAB HEMATOCRIT, $46.00 
LAB IDUA GENE SEQUENCING," $1,030.00 "
LAB LEVETIRACETAM, $185.00 
LAB RESP PNL MYCOPLASMA PNUEMONIAE, $175.00 
LAB SPECIFIC GRAVITY, $39.00 
LAB- SUCCINYLACETONE URINE, $701.00 
LAB TISSUE CULT CVS, $796.00 
LAB TOPIRAMATE, $185.00 
LAB ZONISAMIDE, $185.00 
LAB-17 HYDROXYPROGESTERONE, $245.00 
LAB-1P19Q DELETION FISH MULTIPLEX," $1,061.00 "
LAB-5-HYDROXYINDOLE-ACETIC, $156.00 
LAB-ABO GROUP DIAGNOSTIC, $106.00 
LAB-ACETAMINOPHEN, $101.00 
LAB-ACTH  PLASMA, $330.00 
LAB-ADAMTS-13 ACTIVITY," $1,880.00 "
LAB-ADAMTS-13 INHIBITOR," $1,880.00 "
LAB-ADDITIONAL FROZEN SECTION, $92.00 
LAB-ADULTERANT SCREEN URINE, $40.00 
LAB-AFB SMEAR, $62.00 
LAB-AFP CSF, $149.00 
LAB-AFP SERUM, $154.00 
LAB-AHIV, $149.00 
LAB-ALBUMIN FLUID, $49.00 
LAB-ALBUMIN;SERUM PLASMA/WH, $50.00 
LAB-ALCOHOL BREATHALYZER TE, $50.00 
LAB-ALCOHOLS, $146.00 
LAB-ALDOLASE  SERUM, $104.00 
LAB-ALDOSTERONE  SERUM, $318.00 
LAB-ALGN IGE ALMOND, $83.00 
LAB-ALGN IGE ALPHA LACTALBU, $83.00 
LAB-ALGN IGE ALTERNARIA TEN, $83.00 
LAB-ALGN IGE ASP FUMIGATUS, $83.00 
LAB-ALGN IGE BARLEY, $83.00 
LAB-ALGN IGE BEEF, $83.00 
LAB-ALGN IGE BETA LACTALBUM, $83.00 
LAB-ALGN IGE BIRCH CMN SILV, $83.00 
LAB-ALGN IGE BOX ELDER(MAPL, $83.00 
LAB-ALGN IGE BRAZIL NUT, $83.00 
LAB-ALGN IGE CASEIN, $83.00 
LAB-ALGN IGE CASHEW, $83.00 
LAB-ALGN IGE CAT EPITHELIUM, $83.00 
LAB-ALGN IGE CHESTNUT SW, $83.00 
LAB-ALGN IGE CHICKPEA, $83.00 
LAB-ALGN IGE CLADOSP HERBAR, $83.00 
LAB-ALGN IGE CLAM, $83.00 
LAB-ALGN IGE COCKROACH AMER, $83.00 
LAB-ALGN IGE CODFISH, $83.00 
LAB-ALGN IGE CORN (MAIZE), $83.00 
LAB-ALGN IGE COW MILK, $83.00 
LAB-ALGN IGE CRAB, $83.00 
LAB-ALGN IGE DF HSE DST MIT, $83.00 
LAB-ALGN IGE DOG DANDER, $83.00 
LAB-ALGN IGE DP HSE DST MIT, $83.00 
LAB-ALGN IGE EGG WHITE, $83.00 
LAB-ALGN IGE EGG YOLK, $83.00 
LAB-ALGN IGE ELM, $83.00 
LAB-ALGN IGE GRASS PNL, $158.00 
LAB-ALGN IGE GREEN BEAN, $83.00 
LAB-ALGN IGE GREEN PEA, $83.00 
LAB-ALGN IGE HAZELNUT, $83.00 
LAB-ALGN IGE HONEYBEE VENON, $83.00 
LAB-ALGN IGE HOUSE DUST PNL, $158.00 
LAB-ALGN IGE JUNE KY BLUE G, $83.00 
LAB-ALGN IGE LAMBS QUARTER, $81.00 
LAB-ALGN IGE LATEX, $83.00 
LAB-ALGN IGE LENTIL, $83.00 
LAB-ALGN IGE LOBSTER, $83.00 
LAB-ALGN IGE MOLD PNL, $158.00 
LAB-ALGN IGE OAK, $83.00 
LAB-ALGN IGE OAT, $83.00 
LAB-ALGN IGE ORCHARD GRASS, $83.00 
LAB-ALGN IGE OVALBUMIN, $83.00 
LAB-ALGN IGE OVOMUCOID, $83.00 
LAB-ALGN IGE PAPER WASP VEN, $83.00 
LAB-ALGN IGE PEANUT, $83.00 
LAB-ALGN IGE PEANUT ARA H 1, $141.00 
LAB-ALGN IGE PEANUT ARA H 1, $114.00 
LAB-ALGN IGE PEANUT ARA H 2, $261.00 
LAB-ALGN IGE PEANUT ARA H 2, $210.00 
LAB-ALGN IGE PEANUT ARA H 3, $141.00 
LAB-ALGN IGE PEANUT ARA H 3, $114.00 
LAB-ALGN IGE PEANUT ARA H 8 PR10, $261.00 
LAB-ALGN IGE PEANUT ARA H 8 PR10, $210.00 
LAB-ALGN IGE PECAN, $83.00 
LAB-ALGN IGE PINE NUT, $83.00 
LAB-ALGN IGE PISTACHIO, $83.00 
LAB-ALGN IGE RAGWEED(CMN SH, $83.00 
LAB-ALGN IGE RED TOP(BENT G, $83.00 
LAB-ALGN IGE RICE, $83.00 
LAB-ALGN IGE ROUGH MARSH EL, $83.00 
LAB-ALGN IGE SALMON, $83.00 
LAB-ALGN IGE SCALLOP, $83.00 
LAB-ALGN IGE SESAME SEED, $83.00 
LAB-ALGN IGE SHRIMP, $83.00 
LAB-ALGN IGE SOYBEAN, $83.00 
LAB-ALGN IGE TIMOTHY GRASS, $83.00 
LAB-ALGN IGE TREE PNL, $158.00 
LAB-ALGN IGE TUNA, $83.00 
LAB-ALGN IGE WALNUT, $83.00 
LAB-ALGN IGE WEED PNL, $158.00 
LAB-ALGN IGE WHEAT, $83.00 
LAB-ALGN IGE WHEY, $83.00 
LAB-ALGN IGE WHITE FACE HOR, $83.00 
LAB-ALGN IGE YELLOW FACE HO, $83.00 
LAB-ALGN IGE YELLOW JACKET, $83.00 
LAB-ALK (2P23) REARR FISH MULTIPLEX," $2,759.00 "
LAB-ALKALINE PHOSPHATE, $49.00 
LAB-ALPHA-1 ANTITRYPSIN SER, $156.00 
LAB-ALT(SGPT), $50.00 
LAB-AMIKACIN, $192.00 
LAB-AMINO ACIDS 6>  UAA, $517.00 
LAB-AMITRIPTYLINE & NORTRIPTYLINE, $92.00 
LAB-AMMONIA, $132.00 
LAB-AMNISURE ROM TEST, $330.00 
LAB-AMPHETAMINE GCMS QUAL, $157.00 
LAB-AMPHETAMINE SCREEN UR, $196.00 
LAB-AMYLASE FLUID, $67.00 
LAB-AMYLASE SERUM, $67.00 
LAB-AMYLASE URINE, $66.00 
LAB-ANALGESICS NON-OPOID 1 OR 2, $101.00 
LAB-ANDROSTENEDIONE DELTA 4, $264.00 
LAB-ANGIOTENSIN CONV ENZYME SER, $138.00 
LAB-ANTI IIA INHIB ARGATROB, $709.00 
LAB-ANTI IIA INHIB DABIGATR, $694.00 
LAB-ANTI MITOCHONDRIAL AB, $160.00 
LAB-ANTI SMOOTH MUSCLE AB, $160.00 
LAB-ANTI XA APIXABAN, $288.00 
LAB-ANTI XA ARIXTRA, $481.00 
LAB-ANTI XA LMWH, $489.00 
LAB-ANTI XA RIVAROXABAN, $569.00 
LAB-ANTI XA UFH, $468.00 
"LAB-ANTIBODY ELUTION RBC, EACH", $130.00 
"LAB-ANTIBODY IDENTIFICATION RBC, EACH PANEL", $216.00 
"LAB-ANTIBODY IDENTIFICATION RBC, JAUNDICE INFANT EACH PANEL", $216.00 
"LAB-ANTIBODY SCREEN RBC, EACH SERUM", $85.00 
LAB-ANTIGEN TYPING DIAGNOSTIC, $216.00 
LAB-ANTIGEN TYPING DONOR UNIT, $216.00 
LAB-ANTIMICROB SUSCEPT GRAD, $54.00 
LAB-ANTIMICROB SUSCEPT KB, $86.00 
LAB-ANTIMICROB SUSCEPT MIC, $154.00 
LAB-ANTINUC AB SERUM IFA, $159.00 
LAB-ANTINUC AB SERUM SCRN, $116.00 
LAB-ANTINUC AB SERUM TITER, $130.00 
LAB-ANTINUC AB TISSUE SCRN, $197.00 
LAB-ANTINUC AB TISSUE TITER, $130.00 
LAB-ANTI-PARIETAL CELL AB, $160.00 
LAB-ANTISTREPTOLYSIN O, $127.00 
LAB-ANTITHROMBIN III ACTIVI, $533.00 
LAB-ANTITHROMBIN III ANTIGE, $117.00 
LAB-APC RESISTANCE ASSAY, $164.00 
LAB-APOLIPOPROTEIN A1, $87.00 
LAB-APOLIPOPROTEIN B, $87.00 
LAB-ASPIRATION CYTOLOGY, $261.00 
LAB-AST(SGOT), $50.00 
LAB-AT1R ANTIBODY," $1,147.00 "
LAB-ATP7B," $1,236.00 "
LAB-AUT-FRXFA, $829.00 
LAB-AUT-PWSMP, $891.00 
LAB-AUT-SNPM1," $2,357.00 "
LAB-B CELL CLONALITY (IGK GENE REARR)," $1,951.00 "
LAB-B CELLS TOTAL COUNT, $168.00 
LAB-BACT AG STREP PNEUMO, $159.00 
LAB-BARBITURATE GCMS QUAL, $154.00 
LAB-BARBITURATE SCREEN UR, $190.00 
LAB-BASIC METABOLIC PANEL CALCIUM TOTAL, $129.00 
LAB-BCL6 (3Q27) REARR FISH MULTIPLEX, $817.00 
LAB-BCR/ABL KINASE DOM MUT SEQ," $1,704.00 "
LAB-BCR/ABL KINASE DOMAIN MUT," $1,491.00 "
LAB-BCR/ABL1 QNT MAJOR AND MINOR BRKPT," $1,428.00 "
LAB-BCR/ABL1 QNT MAJOR BRKPT, $714.00 
LAB-BCR/ABL1 QNT MINOR BRKPT, $714.00 
LAB-BENCE JONES QUANTITATIO, $184.00 
LAB-BENCE JONES SCREEN, $258.00 
LAB-BENZODIAZEPINE GCMS QUAL, $166.00 
LAB-BENZODIAZEPINE SCREEN U, $196.00 
LAB-BETA 2 GYCOPROTEIN IGA, $38.00 
LAB-BETA 2 GYCOPROTEIN IGG, $38.00 
LAB-BETA 2 GYCOPROTEIN IGM, $38.00 
LAB-BETA 2 TRANSFERRIN, $244.00 
LAB-BETA HYDROXYBUTYRATE SERUM, $98.00 
LAB-BETA-2 MICROGLOBULIN, $193.00 
LAB-BILIARY TRACT MALIG FISH MULTIPLEX," $1,584.00 "
LAB-BILIARY TRACT MALIGNANCY FISH, $599.00 
LAB-BILIRUBIN DIRECT, $29.00 
LAB-BILIRUBIN TOTAL, $51.00 
LAB-BILIRUBIN TOTAL, $50.00 
LAB-BLD GAS & O2 SAT ER, $226.00 
LAB-BLD GAS POC, $10.00 
LAB-BLD GAS POC, $209.00 
LAB-BLD OCC QUAL FECES 1-3, $45.00 
LAB-BLD OCCULT FECAL HGB IMMUNOASSAY, $96.00 
LAB-BLOOD 02 SATURATION, $92.00 
LAB-BLOOD C02 CONTENT, $227.00 
"LAB-BLOOD GASES, ANY COMBO OF PO2, PC02, PH, CO2, HCO3  Q=0", $209.00 
LAB-BLOOD OCC QUAL;FECES 3, $40.00 
LAB-BLOOD TYPING RH(D), $48.00 
LAB-BNP (NATRIURETIC PEPTIDE), $193.00 
LAB-BORRELIA AB(LYME)SER, $126.00 
LAB-BRAF (7Q34) REARR FISH MULTIPLEX," $2,249.00 "
LAB-BRCA1 & BRCA2 SEQ," $1,990.00 "
LAB-BRCA1 & BRCA2 SEQ & DEL/DUP," $1,990.00 "
LAB-BUPRENORPHINE URINE SCR, $190.00 
LAB-BWS SYNDROME ANALYSIS, $721.00 
LAB-C DIFF TOXIN DNA PCR, $375.00 
LAB-C DIFFICILE ANTIGEN, $139.00 
LAB-C13 H PYLORI RX ADM/COL, $392.00 
LAB-C3 COMPLEMENT COMPONENT, $114.00 
LAB-C4 COMPLEMENT COMPONENT, $128.00 
LAB-CA 15-3, $148.00 
LAB-CA 19-9 (CARBO ANTIGEN), $91.00 
LAB-CA-125, $197.00 
LAB-CAFFEINE, $127.00 
LAB-CALCIUM, $48.00 
LAB-CALCIUM  IONIZED, $93.00 
LAB-CALCIUM ION BLD GAS POC, $52.00 
LAB-CALCIUM URINE, $57.00 
LAB-CALR MUTATION, $786.00 
LAB-CANNABINOID GCMS QUAL, $166.00 
LAB-CANNABINOID SCREEN UR, $196.00 
LAB-CARBAMAZEPINE, $156.00 
LAB-CARBAMAZEPINE EPOXIDE, $156.00 
LAB-CARBAMAZEPINE FREE, $151.00 
LAB-CARBON DIOXIDE SERUM, $40.00 
LAB-CARDIAC RISK PROF POC, $120.00 
LAB-CARDIOLIPIN ANTIB-ELISA, $180.00 
LAB-CBC W/PLTS, $51.00 
LAB-CBC W/PLTS & DIFF, $79.00 
LAB-CBC W/PLTS POC, $60.00 
LAB-CD34 TOTAL COUNT, $615.00 
LAB-CEA TEST, $180.00 
LAB-CEBPA MUTATION," $1,365.00 "
LAB-CERULOPLASIM  SERUM, $117.00 
LAB-CFDXL," $1,837.00 "
LAB-CFTR DEL/DUP," $1,572.00 "
LAB-CHD7 GENE SEQUENCING," $6,661.00 "
LAB-CHEMICAL HISTOCHEMISTRY, $221.00 
LAB-CHLOESTECH, $116.00 
LAB-CHLORIDE  OTHER SOURCE, $359.00 
LAB-CHLORIDE BLD GAS POC, $8.00 
LAB-CHLORIDE FLUID, $38.00 
LAB-CHLORIDE SERUM, $38.00 
LAB-CHLORIDE SERUM (RESP), $31.00 
LAB-CHLORIDE URINE, $55.00 
LAB-CHOLESTEROL TOTAL, $44.00 
LAB-CHROMATGRPHY MASS SPEC, $424.00 
"LAB-CHROMOSOME ANALYSIS:15-20,2 KARYOTYPES, BLOOD"," $1,094.00 "
"LAB-CHROMOSOME ANALYSIS:15-20,2 KARYOTYPES, MALIG"," $1,177.00 "
"LAB-CHROMOSOME ANALYSIS:15-20,2 KARYOTYPES, TISSUES"," $1,111.00 "
"LAB-CHROMOSOME ANALYSIS:PLACENTA, AMNIO"," $1,234.00 "
"LAB-CHROMOSOME ANALYSIS:PLACENTA, CVS"," $1,148.00 "
LAB-CHROMOSOME-ADD CELL CNT, $221.00 
LAB-CIC (19Q13) REARR FISH MULTIPLEX," $2,057.00 "
LAB-CIRCULATING TUMOR CELLS (CTC)," $2,173.00 "
LAB-CITRATE  URINE, $290.00 
LAB-CLIFS1, $668.00 
LAB-CLIFS2, $873.00 
LAB-CLOMIPRAMINE, $92.00 
LAB-CLVRS1," $1,136.00 "
LAB-CMV IGG AB, $116.00 
LAB-CMV IGM AB, $122.00 
LAB-COCAINE GCMS QUAL, $167.00 
LAB-COCAINE SCREEN UR, $190.00 
LAB-COLD AGGLUTININS, $121.00 
LAB-COLORECTAL CANCER GERM NGS PAN(19 GENES)," $1,990.00 "
LAB-COMPLEX DIAGNOSTIC EXAM, $355.00 
LAB-COMPREHENSIVE DX.EXAM, $541.00 
LAB-CONCENTRATION INFECT AGENT, $38.00 
LAB-COPPER  SERUM, $94.00 
LAB-COPPER URINE, $111.00 
LAB-CORTISOL SERUM, $204.00 
LAB-COTININE URINE (NICOTINE), $75.00 
LAB-C-PEPTIDE, $197.00 
LAB-C-REACTIVE PROT HS QNT, $59.00 
LAB-C-REACTIVE PROTEIN QNT, $97.00 
LAB-CREATINE KINASE MB, $135.00 
LAB-CREATINE KINASE TOTAL, $83.00 
LAB-CREATININE FLUID, $39.00 
LAB-CREATININE POC, $51.00 
LAB-CREATININE SERUM, $52.00 
LAB-CREATININE URINE, $46.00 
LAB-CREATININE URINE (REF LAB), $45.00 
LAB-CROSSMATCH ANTIGLOBULIN, $130.00 
LAB-CROSSMATCH IMMED SPIN, $130.00 
LAB-CRYOGLOBULIN QUAL, $95.00 
LAB-CRYPTOCOCCUS SCREEN, $121.00 
LAB-CRYPTOCOCCUS SCREEN, $71.00 
LAB-CRYPTOCOCCUS TITER, $71.00 
LAB-CRYPTOSPORIDIUM ANTIGEN EIA, $108.00 
LAB-CRYPTOSPORIDIUM EXAM, $109.00 
LAB-CSF QUANTITY   CAA, $501.00 
LAB-CULTURE AFB, $139.00 
LAB-CULTURE ANAEROBE, $188.00 
LAB-CULTURE BLOOD, $163.00 
LAB-CULTURE BLOOD CMPLT, $169.00 
LAB-CULTURE CSF, $132.00 
LAB-CULTURE DERMATOPHYTE SC, $126.00 
LAB-CULTURE FLUID QUANT, $290.00 
LAB-CULTURE FUNGUS, $123.00 
LAB-CULTURE FUNGUS BLOOD, $172.00 
LAB-CULTURE H PYLORI, $215.00 
LAB-CULTURE NONSTERILE, $135.00 
LAB-CULTURE OOCYTES/EMBRYOS, $648.00 
LAB-CULTURE QUANTITATIVE BIOPSY, $216.00 
LAB-CULTURE RECTAL PRE-BIOPSY, $93.00 
LAB-CULTURE RESP ANAEROBIC QUANT, $180.00 
LAB-CULTURE RESP QUANT, $172.00 
LAB-CULTURE RESPIRATORY, $117.00 
LAB-CULTURE SCN VANCO RES E, $81.00 
LAB-CULTURE SCN YEAST, $126.00 
