Procedure Code,Procedure Name,Charge
027800095-03817,SCREW CORTEX SELF TAP 4.5X72MM,$88.16 
027800095-03818,SCREW CORTEX SELF TAP TI 4.5X26MM,$88.16 
027800095-03819,SCREW CORTEX SELF TAP TI 4.5X28MM,$88.16 
027800095-03820,SCREW CORTEX SELF TAP TI 4.5X30MM,$88.16 
027800095-03821,SCREW CORTEX SELF TAP TI 4.5X32MM,$88.16 
027800095-03822,SCREW CORTEX SELF TAP TI 4.5X34MM,$88.16 
027800095-03823,SCREW CORTEX SELF TAP TI 4.5X36MM,$88.16 
027800095-03824,SCREW CORTEX SELF TAP TI 4.5X38MM,$88.16 
027800095-03825,SCREW CORTEX SELF TAP TI 4.5X40MM,$88.16 
027800095-03826,SCREW CORTEX SELF TAP TI 4.5X42MM,$88.16 
027800095-03827,SCREW CORTEX SELF TAP TI 4.5X44MM,$88.16 
027800095-03828,SCREW CORTEX SELF TAP TI 4.5X46MM,$88.16 
027800095-03829,SCREW CORTEX SELF TAP TI 4.5X64MM,$88.16 
027800095-03830,SCREW CORTEX TI 4.5X70MM,$88.16 
027800095-03940,SCREW CORTICAL SOLID 4.5X44MM,$93.60 
027800095-03950,SUTURE 0 STRATAFIX PDS PLUS VIOLETCT-1 45CM,$94.28 
027800095-03987,PERI-LOC VLP 3.5X36MM CRTS SCRW S-T,$96.03 
027800095-03988,SCREW BN P-L 34X2.7MM CRTX S-T,$96.03 
027800095-03989,SCREW BN P-L VLP 3.5X18MM CRTCL S-T LOCK,$96.03 
027800095-03990,SCREW BN P-L VLP 3.5X20MM CRTCL S-T LOCK,$96.03 
027800095-03991,SCREW BN P-L VLP 3.5X28MM CRTX,$96.03 
027800095-03992,SCREW BN P-L VLP 3.5X48MM CRTX,$96.03 
027800095-03993,SCREW BN P-L VLP 38X2.7MM S-T,$96.03 
027800095-03994,SCREW BONE CORTEX SELF TAPPING 4.5X42MM,$96.03 
027800095-03995,SCREW CRTCL 4.5X60MM S-T L-P LRG FRMNT,$96.03 
027800095-04004,SUTURE SPIRAL STRATAFIX 2-0 45CM 12/BX,$96.75 
027800095-04011,NUT CONNECTING SHORT M8 6MM,$97.20 
027800095-04014,SCREW BN CORTEX S/T STRDRV 3.5X60MM,$97.43 
027800095-04015,SCREW BN FL THD T15 3.5X55MM CRTX S-T LK,$97.43 
027800095-04016,SCREW BN FL THRD 3.5X50MM CRTX S-T LCK,$97.43 
027800095-04017,SCREW BN FL THRD T15 3.5X44MM CRTX S-T,$97.43 
027800095-04018,SCREW BONE FIBULA HUMERUS RADIUS TIBIA CORTICAL LCP 18MM 3.5MM FULL THREAD TITANIUM SMALL FRAGMENT SET SELF TAPPING LOCKING STARDRIVE RECESS NONSTERILE,$97.43 
027800095-04019,SCREW BONE FIBULA HUMERUS RADIUS TIBIA CORTICAL LCP 20MM 3.5MM FULL THREAD TITANIUM SMALL FRAGMENT SET SELF TAPPING LOCKING STARDRIVE RECESS NONSTERILE,$97.43 
027800095-04020,SCREW CORTEX 3.5MMX14MM,$97.43 
027800095-04021,SCREW CORTEX 3.5MMX16MM,$97.43 
027800095-04022,SCREW CORTEX S/T STARDRIVE TI 3.5X24MM,$97.43 
027800095-04023,SCREW CORTEX S/T T15 STR DRV TI 3.5X28MM,$97.43 
027800095-04024,SCREW CORTEX SELF TAP STARDRIVE TI 3.5X14MM,$97.43 
027800095-04025,SCREW CORTEX SELF TAP STARDRIVE TI 3.5X15MM,$97.43 
027800095-04026,SCREW CORTEX SELF TAP STARDRIVE TI 3.5X22MM,$97.43 
027800095-04027,SCREW CORTEX SELF TAP STARDRIVE TI 3.5X26MM,$97.43 
027800095-04028,SCREW CORTEX STARDRIVE TI 3.5X12MM,$97.43 
027800095-04029,SCREW CRTCL FL THD 3.5X42MM FIB HMRS TIB,$97.43 
027800095-04030,SCREW CRTCL FL THD 3.5X48MM FIB HMRS RDS,$97.43 
027800095-04031,SCREW FL THRD 3.5X36MM FIB HMRS RDS TIB,$97.43 
027800095-04032,SCREW FL THRD T15 3.5X30MM CRTX S-T LCK,$97.43 
027800095-04033,SCREW FL THRD T15 3.5X32MM CRTX S-T LCK,$97.43 
027800095-04034,SCREW FL THRD T15 3.5X38MM CRTX S-T LCK,$97.43 
027800095-04050,WASHER F/SMALL SCREWS 7.0MM,$98.33 
027800095-04051,WASHER TITANIUM SYNTHES 7.0MM,$98.33 
027800095-04052,SCREW BONE CORTEX S/T 4.5X20MM,$98.46 
027800095-04053,SCREW BONE CORTEX S/TAPPING 4.5X30MM,$98.46 
027800095-04054,SCREW BONE CORTEX S/TAPPING 4.5X50MM,$98.46 
027800095-04055,SCREW BONE CORTEX S/TAPPING 4.5X60MM,$98.46 
027800095-04056,SCREW BONE CORTEX S/TAPPING 4.5X70MM,$98.46 
027800095-04057,SCREW BONE CORTICAL LCP 40MM 4.5MM STANDARD STAINLESS STEEL SELF TAPPING TIP NONSTERILE,$98.46 
027800095-04121,WASHER F/4.0 SCREW TI,$101.25 
027800095-04123,PEG VARIAX LOCKING 2.0X18MM,$101.48 
027800095-04124,SCREW BN HEXAGON FULL THREAD 4X60MM,$101.48 
027800095-04125,SCREW BONE FEMUR HUMERUS CANCELLOUS PROXIMAL AXSOS 26MM 4MM 2.5MM FULL THREAD HEXAGON STAINLESS STEEL SMALL FRAGMENT SET NONSTERILE,$101.48 
027800095-04126,SCREW BONE FEMUR HUMERUS CANCELLOUS PROXIMAL AXSOS 28MM 4MM 2.5MM FULL THREAD HEXAGON STAINLESS STEEL SMALL FRAGMENT SET NONSTERILE,$101.48 
027800095-04127,SCREW BONE FEMUR HUMERUS CANCELLOUS PROXIMAL AXSOS 45MM 4MM 2.5MM FULL THREAD HEXAGON STAINLESS STEEL SMALL FRAGMENT SET NONSTERILE,$101.48 
027800095-04128,SCREW CANCELLOUS FULL THREAD2.5MM HEX DRIVE 4.0X40MM,$101.48 
027800095-04167,WASHER F/4.5 CANNULATED SCREW 10MM,$103.37 
027800095-04190,SCREW BN CORTEX PERILOC T20 S/T 3.5X12MM,$104.27 
027800095-04191,SCREW BN CORTEX PERILOC T20 S/T 3.5X16MM,$104.27 
027800095-04192,SCREW BN CORTEX PERILOC T20 S/T 3.5X18MM,$104.27 
027800095-04193,SCREW BN CORTEX PERILOC T20 S/T 3.5X22MM,$104.27 
027800095-04194,SCREW BN CORTEX PERILOC T20 S/T 3.5X24MM,$104.27 
027800095-04195,SCREW BN CORTEX PERILOC T25 4.5X36MM,$104.27 
027800095-04196,SCREW BN CRTCL P-L T20 3.5X34MM S-T,$104.27 
027800095-04197,SCREW BN CRTCL P-L T20 3.5X38MM S-T,$104.27 
027800095-04198,SCREW BN CRTCL P-L T20 3.5X42MM S-T,$104.27 
027800095-04199,SCREW BN CRTX SS CT FLT T20 3.5X36MM S-T,$104.27 
027800095-04200,SCREW BN P-L 10X3.5MM T20 S-T,$104.27 
027800095-04201,SCREW BN P-L 14X3.5MM T20 S-T,$104.27 
027800095-04202,SCREW BN P-L 3.5X6.8X28MM ANKLE CRTCL,$104.27 
027800095-04203,SCREW BN P-L SS CT FLT T20 3.5X36MM CRTL,$104.27 
027800095-04204,SCREW BN P-L SS CT FLT T20 3.5X50MM CRTL,$104.27 
027800095-04205,SCREW BN T20 3.5X6.8X40MM CT FLUTE CRTCL,$104.27 
027800095-04206,SCREW BN T20 3.5X6.8X44MM CT FLUTE CRTCL,$104.27 
027800095-04207,SCREW BONE LONG BONE SMALL BONE CORTICAL PERI-LOC 30MM 4.5MM 8MM T25 FLUTE STAINLESS STEEL RED LARGE FRAGMENT SET SELF TAP SELF RETAINING,$104.27 
027800095-04208,SCREW BONE LONG BONE SMALL BONE CORTICAL PERI-LOC 32MM 4.5MM 8MM T25 FLUTE STAINLESS STEEL RED LARGE FRAGMENT SET SELF TAP SELF RETAINING,$104.27 
027800095-04209,SCREW BONE LONG BONE SMALL BONE CORTICAL PERI-LOC 34MM 4.5MM 8MM T25 FLUTE STAINLESS STEEL RED LARGE FRAGMENT SET SELF TAP SELF RETAINING,$104.27 
027800095-04210,SCREW BONE LONG BONE SMALL BONE CORTICAL PERI-LOC 36MM 4.5MM 8MM T25 FLUTE STAINLESS STEEL RED LARGE FRAGMENT SET SELF TAP SELF RETAINING,$104.27 
027800095-04211,SCREW BONE LONG BONE SMALL BONE CORTICAL PERI-LOC 38MM 4.5MM 8MM T25 FLUTE STAINLESS STEEL RED LARGE FRAGMENT SET SELF TAP SELF RETAINING,$104.27 
027800095-04212,SCREW BONE LONG BONE SMALL BONE CORTICAL PERI-LOC 46MM 3.5MM 6.8MM T20 CUT FLUTE STAINLESS STEEL ORANGE SMALL FRAGMENT SET SELF TAP SELF RETAINING,$104.27 
027800095-04213,SCREW BONE LONG BONE SMALL BONE CORTICAL PERI-LOC 60MM 4.5MM 8MM T25 FLUTE STAINLESS STEEL RED LARGE FRAGMENT SET SELF TAP SELF RETAINING,$104.27 
027800095-04214,SCREW BONE LONG BONE SMALL BONE CORTICAL PERI-LOC 64MM 4.5MM 8MM T25 FLUTE STAINLESS STEEL RED LARGE FRAGMENT SET SELF TAP SELF RETAINING,$104.27 
027800095-04215,SCREW CORTEX PERILOC 4.5X40MM,$104.27 
027800095-04216,SCREW CRTCL CT FLT T20 3.5X6.8X55MM S-T,$104.27 
027800095-04217,SCREW CRTCL CT FLT T20 3.5X6.8X60MM S-T,$104.27 
027800095-04218,SCREW CRTCL P-L T20 CUT FLT 3.5X6.8X48MM,$104.27 
027800095-04219,SCREW CRTCL PR-LC 3.5X26MMT20 SLF-TP LCK,$104.27 
027800095-04220,SCREW PERILOC CORTEX T25 4.5X54MM,$104.27 
027800095-04221,SCREW PERILOC CORTEX T25 4.5X66MM,$104.27 
027800095-04222,SCREW PERILOC CORTEX T25 4.5X70MM,$104.27 
027800095-04223,SCREW PERI-LOC CRTX T25 4.5X26MM,$104.27 
027800095-04224,SCREW PERI-LOC CRTX T25 4.5X46MM,$104.27 
027800095-04261,SCREW 206.426 CORTEX SELF TAP 4.0X26MM,$105.93 
027800095-04262,SCREW 206.432 CORTEX SELF TAP 4.0X32MM,$105.93 
027800095-04263,SCREW 206.434 CORTEX 4.0X34MM,$105.93 
027800095-04264,SCREW BN CRTCL FL THRD 4MM 6MM 55MM FOOT,$105.93 
027800095-04265,SCREW BN FL THD 4X58MM CRTX S-T SML HXGN,$105.93 
027800095-04266,SCREW BONE CORTEX LCP 70MM 4MM 6MM FULL THREAD STAINLESS STEEL SELF TAP SMALL HEXAGONAL SOCKET NONSTERILE,$105.93 
027800095-04267,SCREW BONE FOOT CORTEX LCP 46MM 4MM 6MM 2.5MM FULL THREAD STAINLESS STEEL SELF TAP SMALL HEXAGONAL SOCKET NONSTERILE,$105.93 
027800095-04268,SCREW BONE FOOT CORTICAL LCP 14MM 4MM 6MM 2.5MM FULL THREAD SMALL HEXAGON STAINLESS STEEL SELF TAP SOCKET NONSTERILE,$105.93 
027800095-04269,SCREW BONE FOOT CORTICAL LCP 20MM 4MM 6MM 2.5MM FULL THREAD SMALL HEXAGON STAINLESS STEEL SELF TAP SOCKET NONSTERILE,$105.93 
027800095-04270,SCREW BONE FOOT CORTICAL LCP 50MM 4MM 6MM 2.5MM FULL THREAD SMALL HEXAGON STAINLESS STEEL SELF TAP SOCKET NONSTERILE,$105.93 
027800095-04271,SCREW BONE FOOT CORTICAL LCP 65MM 4MM 6MM 2.5MM FULL THREAD SMALL HEXAGON STAINLESS STEEL SELF TAP SOCKET NONSTERILE,$105.93 
027800095-04272,SCREW CORTEX 4.0X22MM,$105.93 
027800095-04273,SCREW CORTEX 4.0X28MM,$105.93 
027800095-04274,SCREW CORTEX 4.0X30MM,$105.93 
027800095-04275,SCREW CORTEX S/T 4X16MM,$105.93 
027800095-04276,SCREW CORTEX S/T 4X40MM,$105.93 
027800095-04277,SCREW CORTEX S/T 4X44MM,$105.93 
027800095-04278,SCREW CORTEX SELF TAPPING 4X18MM,$105.93 
027800095-04279,SCREW CORTEX SELF TAPPING 4X24MM,$105.93 
027800095-04280,SCREW CORTEX SELF TAPPING 4X36MM,$105.93 
027800095-04281,SCREW CORTEX SELF TAPPING 4X42MM,$105.93 
027800095-04282,SCREW CORTEX SELF TAPPING 4X48MM,$105.93 
027800095-04283,SCREW CORTEX SELF TAPPING 4X52MM,$105.93 
027800095-04329,SCREW BONE TIBIA CANCELLOUS DISTAL 10MM 4MM FULL THREAD HEXAGON TIMAX SMALL FRAGMENT ANATOMIC LOCK PLATE SYSTEM NONSTERILE,$108.00 
027800095-04330,SCREW CORTICAL SOLID 4.5X34MM,$108.00 
027800095-04331,SCREW CORTICAL SOLID 4.5X40MM,$108.00 
027800095-04338,WASHER 13.0MM F/LARGE TI SCREW,$108.50 
027800095-04339,WASHER F/LARGE SCREW 13MM,$108.50 
027800095-04343,SCREW CORTICAL 2.7X16MM,$108.90 
027800095-04390,SCREW BONE CORTEX PELVIC LC-DCP 120MM 3.5MM STAINLESS STEEL SMALL FRAGMENT SET SELF TAPPING NONSTERILE,$110.97 
027800095-04391,SCREW BONE PELVIC CORTEX 100MM 3.5MM 6MM SELF TAP SMALL HEXAGONAL SOCKET,$110.97 
027800095-04392,SCREW BONE PELVIC CORTEX 90MM 3.5MM 6MM SELF TAP SMALL HEXAGONAL SOCKET,$110.97 
027800095-04393,SCREW BONE PELVIC CORTEX LC-DCP 105MM 3.5MM 6MM STAINLESS STEEL FRAGMENT SET SELF TAP SMALL HEXAGONAL SOCKET LOW PROFILE NONSTERILE,$110.97 
027800095-04394,SCREW BONE PELVIS CORTICAL DCP LC-DCP 125MM 3.5MM 6MM SMALL HEXAGON LOW PROFILE STAINLESS STEEL SELF TAP SOCKET NONSTERILE,$110.97 
027800095-04395,SCREW BONE PELVIS CORTICAL LC-DCP DCP 110MM 3.5MM 6MM SMALL HEXAGON LOW PROFILE STAINLESS STEEL SELF TAP SOCKET NONSTERILE,$110.97 
027800095-04396,SCREW BONE PELVIS CORTICAL LC-DCP DCP 115MM 3.5MM 6MM SMALL HEXAGON LOW PROFILE STAINLESS STEEL SELF TAP SOCKET NONSTERILE,$110.97 
027800095-04397,SCREW BONE PELVIS CORTICAL LC-DCP DCP 85MM 3.5MM 6MM SMALL HEXAGON LOW PROFILE STAINLESS STEEL SELF TAP SOCKET NONSTERILE,$110.97 
027800095-04398,SCREW BONE PELVIS CORTICAL LC-DCP DCP 95MM 3.5MM 6MM SMALL HEXAGON LOW PROFILE STAINLESS STEEL SELF TAP SOCKET NONSTERILE,$110.97 
027800095-04399,SCREW CORTEX PELVIC SELF TAP 3.5X65MM,$110.97 
027800095-04400,SCREW CORTEX PELVIC SELF TAP 3.5X70MM,$110.97 
027800095-04401,SCREW CORTEX PELVIC SELF TAP 3.5X80MM,$110.97 
027800095-04402,SCREW CORTEX PELVIC SELF-TAPPING 3.5X60MM,$110.97 
027800095-04466,WASHER ORTHOPEDIC 6.5MM TITANIUM 3MM SCREWS CANNULATED NONSTERILE,$113.54 
027800095-04504,SCREW ACETABULAR TI 6.5X40MM,$114.75 
027800095-04505,SCREW ACETABULAR TI 6.5X50MM,$114.75 
027800095-04506,SCREW ACETABULAR TI 6.5X60MM,$114.75 
027800095-04509,WASHER ORTHOPEDIC HIP ASNIS III 3.5MM TITANIUM 5MM CANNULATED SCREWS,$114.75 
027800095-04556,NUT F/4.5MM CORTEX SCREW,$116.10 
027800095-04557,WASHER F/3.0MM CANNULATED SCREW 6.5MM,$116.10 
027800095-04562,SCREW BN HEXAGON FULL THREAD 3.5X60MM,$116.33 
027800095-04563,SCREW BONE CORTICAL AXSOS 80MM 3.5MM STAINLESS STEEL HEXAGONAL DRIVE SELF TAPPING,$116.33 
027800095-04564,SCREW BONE FEMUR HUMERUS CORTICAL PROXIMAL AXSOS 16MM 3.5MM 2.5MM FULL THREAD HEXAGON STAINLESS STEEL SMALL FRAGMENT SET SELF TAP NONSTERILE,$116.33 
027800095-04565,SCREW BONE FEMUR HUMERUS CORTICAL PROXIMAL AXSOS 34MM 3.5MM 2.5MM FULL THREAD HEXAGON STAINLESS STEEL SMALL FRAGMENT SET SELF TAP NONSTERILE,$116.33 
027800095-04566,SCREW BONE FEMUR HUMERUS CORTICAL PROXIMAL AXSOS 70MM 3.5MM 2.5MM FULL THREAD HEXAGON STAINLESS STEEL SMALL FRAGMENT SET SELF TAP NONSTERILE,$116.33 
027800095-04567,SCREW BONE FEMUR HUMERUS CORTICAL PROXIMAL AXSOS 75MM 3.5MM 2.5MM FULL THREAD HEXAGON STAINLESS STEEL SMALL FRAGMENT SET SELF TAP NONSTERILE,$116.33 
027800095-04568,SCREW BONE FEMUR HUMERUS CORTICAL PROXIMAL AXSOS 85MM 3.5MM 2.5MM FULL THREAD HEXAGON STAINLESS STEEL SMALL FRAGMENT SET SELF TAP NONSTERILE,$116.33 
027800095-04569,SCREW BONE HUMERUS CORTICAL PROXIMAL AXSOS 14MM 3.5MM 2.5MM FULL THREAD STAINLESS STEEL SMALL FRAGMENT SET HEXAGONAL DRIVE SELF TAPPING NONSTERILE,$116.33 
027800095-04570,SCREW CORTICAL 3.5 X 100 MM SLF TPNG,$116.33 
027800095-04571,SCREW CORTICAL S/T HEX DRV 3.5X45MM,$116.33 
027800095-04572,SCREW CORTICAL S/T SS 3.5X12MM,$116.33 
027800095-04573,SCREW CORTICAL S/T SS 3.5X40MM,$116.33 
027800095-04574,SCREW CORTICAL SELF TAP 2.5MM HEX DRIVE 3.5X18MM,$116.33 
027800095-04575,SCREW CORTICAL SELF TAP 2.5MM HEX DRIVE 3.5X20MM,$116.33 
027800095-04576,SCREW CORTICAL SELF TAP 3.5X22MM,$116.33 
027800095-04577,SCREW CORTICAL SELF TAP 3.5X24MM,$116.33 
027800095-04578,SCREW CORTICAL SELF TAP 3.5X26MM,$116.33 
027800095-04579,SCREW CORTICAL SELF TAP 3.5X28MM,$116.33 
027800095-04580,SCREW CORTICAL SELF TAP 3.5X30MM,$116.33 
027800095-04581,SCREW CORTICAL SELF TAP 3.5X55MM,$116.33 
027800095-04582,SCREW CORTICAL SELF TAP HEX DRIVE SS 3.5X32MM,$116.33 
027800095-04583,SCREW CORTICAL SELF TAP HEX DRIVE SS 3.5X36MM,$116.33 
027800095-04584,SCREW CORTICAL SELF TAP HEX DRIVE SS 3.5X38MM,$116.33 
027800095-04585,SCREW CORTICAL SELF TAP HEX DRIVE SS 3.5X48MM,$116.33 
027800095-04586,SCREW CORTICAL SELF TAP HEX DRIVE SS 3.5X50MM,$116.33 
027800095-04587,SCREW CRTCL AXSOS 3.5X65MM HXGNL DRV S-T,$116.33 
027800095-04707,SCREW SURGICAL SET RINGFIX RAD,$119.70 
027800095-04730,SCREW CORTEX LOW HEX 3.5X22MM,$120.33 
027800095-04731,SCREW CORTEX LOW HEX 3.5X24MM,$120.33 
027800095-04732,SCREW CORTEX LOW HEX 3.5X26MM,$120.33 
027800095-04733,SCREW CORTEX LOW HEX 3.5X28MM,$120.33 
027800095-04734,SCREW CORTEX LOW HEX 3.5X30MM,$120.33 
027800095-04735,SCREW CORTEX LOW HEX 3.5X32MM,$120.33 
027800095-04736,SCREW CORTEX LOW HEX 3.5X34MM,$120.33 
027800095-04737,SCREW CORTEX LOW HEX 3.5X36MM,$120.33 
027800095-04767,WIRE ORTHOPEDIC METATARSOPHALANGEAL CHARLOTTE 150MM 1MM STAINLESS STEEL 1 END TROCAR POINT,$121.50 
027800095-04799,SCREW BN CORTEX T15 3.5X56MM S-T L-P,$122.85 
027800095-04800,SCREW BONE CLAVICLE FEMUR HUMERUS TIBIA CORTICAL 12MM 3.5MM T15 LOW PROFILE STAINLESS STEEL SELF TAP NONSTERILE,$122.85 
027800095-04801,SCREW BONE CLAVICLE FEMUR HUMERUS TIBIA CORTICAL 16MM 3.5MM T15 LOW PROFILE STAINLESS STEEL SELF TAP NONSTERILE,$122.85 
027800095-04802,SCREW BONE CLAVICLE FEMUR HUMERUS TIBIA CORTICAL 28MM 3.5MM T15 LOW PROFILE STAINLESS STEEL SELF TAP NONSTERILE,$122.85 
027800095-04803,SCREW BONE CLAVICLE FEMUR HUMERUS TIBIA CORTICAL 42MM 3.5MM T15 LOW PROFILE STAINLESS STEEL SELF TAP NONSTERILE,$122.85 
027800095-04804,SCREW BONE CLAVICLE FEMUR HUMERUS TIBIA CORTICAL 44MM 3.5MM T15 LOW PROFILE STAINLESS STEEL SELF TAP NONSTERILE,$122.85 
027800095-04805,SCREW BONE CLAVICLE FEMUR HUMERUS TIBIA CORTICAL 46MM 3.5MM T15 LOW PROFILE STAINLESS STEEL SELF TAP NONSTERILE,$122.85 
027800095-04806,SCREW BONE CLAVICLE FEMUR HUMERUS TIBIA CORTICAL 52MM 3.5MM T15 LOW PROFILE STAINLESS STEEL SELF TAP NONSTERILE,$122.85 
027800095-04807,SCREW BONE CLAVICLE FEMUR HUMERUS TIBIA CORTICAL 54MM 3.5MM T15 LOW PROFILE STAINLESS STEEL SELF TAP NONSTERILE,$122.85 
027800095-04808,SCREW BONE MIDFOOT HINDFOOT TIBIA CORTEX LCP 14MM 3.5MM STAINLESS STEEL SELF TAP LOW PROFILE HEAD T15 STARDRIVE NONSTERILE,$122.85 
027800095-04809,SCREW BONE MIDFOOT HINDFOOT TIBIA CORTEX LCP 30MM 3.5MM STAINLESS STEEL SELF TAP LOW PROFILE HEAD TI5 STARDRIVE NONSTERILE,$122.85 
027800095-04810,SCREW BONE MIDFOOT HINDFOOT TIBIA CORTEX LCP 36MM 3.5MM STAINLESS STEEL SELF TAP LOW PROFILE HEAD TI5 STARDRIVE NONSTERILE,$122.85 
027800095-04811,SCREW BONE MIDFOOT HINDFOOT TIBIA CORTEX LCP 40MM 3.5MM STAINLESS STEEL SELF TAP LOW PROFILE HEAD TI5 STARDRIVE NONSTERILE,$122.85 
027800095-04812,SCREW CORTEX LOW PRO 3.5X18MM,$122.85 
027800095-04813,SCREW CORTEX LOW PROFILE 3.5X22MM,$122.85 
027800095-04814,SCREW CORTEX LOW PROFILE 3.5X24MM,$122.85 
027800095-04815,SCREW CORTEX LOW PROFILE 3.5X26MM,$122.85 
027800095-04816,SCREW CORTEX LOW PROFILE 3.5X34MM,$122.85 
027800095-04817,SCREW CORTEX LOW PROFILE 3.5X38MM,$122.85 
027800095-04818,SCREW CORTEX LOW PROFILE 3.5X60MM,$122.85 
027800095-04819,SCREW CORTEX LP 3.5MMX48MM,$122.85 
027800095-04820,SCREW CRTX T15 3.5X58MM S-T L-P STRDRV,$122.85 
027800095-04844,SCREW CORTEX SELF-TAPPING 2X16MM,$123.71 
027800095-04878,SUTURE FORCE FIBER STRAND W/NEEDLE SZ2 38IN,$125.60 
027800095-04879,SUTURE FORCE FIBER STRAND W/O NEEDL SZ2 38IN,$125.60 
027800095-04911,SCREW MALLEOLAR 4.5X25MM,$127.08 
027800095-04912,SCREW MALLEOLAR 4.5X30MM,$127.08 
027800095-04913,SCREW MALLEOLAR 4.5X35MM,$127.08 
027800095-04914,SCREW MALLEOLAR 4.5X40MM,$127.08 
027800095-04915,SCREW MALLEOLAR 4.5X45MM,$127.08 
027800095-04916,SCREW MALLEOLAR 4.5X50MM,$127.08 
027800095-04917,SCREW MALLEOLAR 4.5X55MM,$127.08 
027800095-04918,SCREW MALLEOLAR 4.5X60MM,$127.08 
027800095-04919,SCREW MALLEOLAR 4.5X65MM,$127.08 
027800095-04920,SCREW MALLEOLAR 4.5X70MM,$127.08 
027800095-04945,SCREW CORTICAL S/T 3.5 HX DRV 4.5X38MM,$128.70 
027800095-04946,SCREW CORTICAL S/T 3.5 HX DRV 4.5X48MM,$128.70 
027800095-04947,SCREW CORTICAL S/T 3.5 HX DRV 4.5X70MM,$128.70 
027800095-04948,SCREW CORTICAL S/T 3.5 HX DRV 4.5X90MM,$128.70 
027800095-04949,SCREW CORTICAL S/T 4.5X14MM,$128.70 
027800095-04950,SCREW CORTICAL S/T 4.5X60MM,$128.70 
027800095-04951,SCREW CORTICAL S/T HEX DRIVE SS 4.5X34MM,$128.70 
027800095-04952,SCREW CORTICAL SELF TAP 3.5MM HEX DRIVE 4.5X36MM,$128.70 
027800095-04953,SCREW CORTICAL SELF TAP 3.5MM HEX DRIVE 4.5X40MM,$128.70 
027800095-04954,SCREW CORTICAL SELF TAP 3.5MM HEX DRIVE 4.5X44MM,$128.70 
027800095-04955,SCREW CORTICAL SELF TAP 3.5MM HEX DRIVE 4.5X65MM,$128.70 
027800095-04956,SCREW CORTICAL SELF TAP 4.5X26MM,$128.70 
027800095-04957,SCREW CORTICAL SELF TAP 4.5X28MM,$128.70 
027800095-04958,SCREW CORTICAL SELF TAP 4.5X30MM,$128.70 
027800095-05014,SCREW BONE CORTICAL LCP DCP 55MM 2.7MM STAINLESS STEEL MINI/SMALL FRAGMENT SET SELF TAPPING NONSTERILE,$130.50 
027800095-05015,SCREW BONE FIBULA RADIUS ULNA CORTICAL DCP 30MM 2.7MM 5MM FULL THREAD SMALL HEXAGON SPHERE STAINLESS STEEL MINI FRAGMENT SELF TAP SOCKET NONSTERILE,$130.50 
027800095-05016,SCREW BONE RADIUS CORTICAL DISTAL DCP 50MM 2.7MM SHORT THREAD STAINLESS STEEL SMALL FRAGMENT SET SELF TAPPING NONSTERILE,$130.50 
027800095-05017,SCREW CORTEX SELF TAP TI 2.7X10MM,$130.50 
027800095-05018,SCREW CORTEX SELF TAP TI 2.7X12MM,$130.50 
027800095-05019,SCREW CORTEX SELF TAP TI 2.7X14MM,$130.50 
027800095-05020,SCREW CORTEX SELF TAP TI 2.7X16MM,$130.50 
027800095-05021,SCREW CORTEX SELF TAP TI 2.7X18MM,$130.50 
027800095-05022,SCREW CORTEX SELF TAP TI 2.7X20MM,$130.50 
027800095-05023,SCREW CORTEX SELF TAP TI 2.7X22MM,$130.50 
027800095-05024,SCREW CORTEX SELF TAP TI 2.7X24MM,$130.50 
027800095-05025,SCREW CORTEX SELF TAP TI 2.7X26MM,$130.50 
027800095-05026,SCREW CORTEX SMALL HEX SELF TAP 2.7X10MM,$130.50 
027800095-05027,SCREW CORTEX SMALL HEX SELF TAP 2.7X12MM,$130.50 
027800095-05028,SCREW CORTEX SMALL HEX SELF TAP 2.7X14MM,$130.50 
027800095-05029,SCREW CORTEX SMALL HEX SELF TAP 2.7X16MM,$130.50 
027800095-05030,SCREW CORTEX SMALL HEX SELF TAP 2.7X18MM,$130.50 
027800095-05031,SCREW CORTEX SMALL HEX SELF TAP 2.7X20MM,$130.50 
027800095-05032,SCREW CORTEX SMALL HEX SELF TAP 2.7X22MM,$130.50 
027800095-05033,SCREW CORTEX SMALL HEX SELF TAP 2.7X24MM,$130.50 
027800095-05034,SCREW CORTEX SMALL HEX SELF TAP 2.7X26MM,$130.50 
027800095-05035,SCREW CORTEX SMALL HEX SELF TAP 2.7X28MM,$130.50 
027800095-05036,SCREW CORTEX SMALL HEX SELF TAP 2.7X32MM,$130.50 
027800095-05037,SCREW CORTEX SMALL HEX SELF TAP 2.7X34MM,$130.50 
027800095-05038,SCREW CORTEX SMALL HEX SELF TAP 2.7X36MM,$130.50 
027800095-05039,SCREW CORTEX SMALL HEX SELF TAP 2.7X38MM,$130.50 
027800095-05040,SCREW CORTEX SMALL HEX SELF TAP 2.7X40MM,$130.50 
027800095-05041,SCREW CORTEX SMALL HEX SELF TAP 2.7X45MM,$130.50 
027800095-05042,SCREW CRTX FL THD 2.7X32MM S-T HXGN SCKT,$130.50 
027800095-05043,SCREW LCP FL THRD 2.7X50MM RADIUS CRTCL,$130.50 
027800095-05093,SCREW BN PRTL THRD 32X75MM CNCLLS LRG,$132.21 
027800095-05094,SCREW BONE CANCELLOUS 6.5X80MM,$132.21 
027800095-05095,SCREW CANCELLOUS 16MM THREAD 6.5X30MM,$132.21 
