MEDICAL CENTER NAVICENT HEALTH,,,
AVERAGE CHARGE PER CASE BY DRG,,,
INPATIENT DATA AT DISCHARGE,,,
 ,,,
,,,
 ,DRG,DRG Description,Avg. Charge per Case (DRG)
,856,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W MCC,"$123,342.46"
,857,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W CC,"$78,492.19"
,858,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS W O.R. PROC W/O CC/MCC,"$32,900.74"
,862,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W MCC,"$49,546.83"
,863,POSTOPERATIVE & POST-TRAUMATIC INFECTIONS W/O MCC,"$29,912.42"
,864,FEVER,"$20,147.04"
,865,VIRAL ILLNESS W MCC,"$27,590.57"
,866,VIRAL ILLNESS W/O MCC,"$11,796.99"
,867,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W MCC,"$93,022.68"
,868,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W CC,"$14,607.03"
,869,OTHER INFECTIOUS & PARASITIC DISEASES DIAGNOSES W/O CC/MCC,"$43,862.84"
,870,SEPTICEMIA OR SEVERE SEPSIS W MV >96 HOURS,"$196,337.05"
,871,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W MCC,"$67,504.52"
,872,SEPTICEMIA OR SEVERE SEPSIS W/O MV >96 HOURS W/O MCC,"$30,923.98"
,876,O.R. PROCEDURE W PRINCIPAL DIAGNOSES OF MENTAL ILLNESS,"$94,958.59"
,880,ACUTE ADJUSTMENT REACTION & PSYCHOSOCIAL DYSFUNCTION,"$20,620.41"
,881,DEPRESSIVE NEUROSES,"$18,753.24"
,882,NEUROSES EXCEPT DEPRESSIVE,"$10,263.44"
,883,DISORDERS OF PERSONALITY & IMPULSE CONTROL,"$64,651.28"
,884,ORGANIC DISTURBANCES & INTELLECTUAL DISABILITY,"$38,886.07"
,885,PSYCHOSES,"$24,583.51"
,887,OTHER MENTAL DISORDER DIAGNOSES,"$28,354.58"
,894,"ALCOHOL/DRUG ABUSE OR DEPENDENCE, LEFT AMA","$12,292.03"
,896,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W MCC,"$68,020.01"
,897,ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC,"$17,552.74"
,901,WOUND DEBRIDEMENTS FOR INJURIES W MCC,"$89,126.51"
,902,WOUND DEBRIDEMENTS FOR INJURIES W CC,"$50,955.43"
,903,WOUND DEBRIDEMENTS FOR INJURIES W/O CC/MCC,"$23,713.77"
,904,SKIN GRAFTS FOR INJURIES W CC/MCC,"$117,405.01"
,905,SKIN GRAFTS FOR INJURIES W/O CC/MCC,"$16,574.46"
,906,HAND PROCEDURES FOR INJURIES,"$33,646.27"
,907,OTHER O.R. PROCEDURES FOR INJURIES W MCC,"$86,327.71"
,908,OTHER O.R. PROCEDURES FOR INJURIES W CC,"$69,102.77"
,909,OTHER O.R. PROCEDURES FOR INJURIES W/O CC/MCC,"$50,992.42"
,913,TRAUMATIC INJURY W MCC,"$46,963.41"
,914,TRAUMATIC INJURY W/O MCC,"$26,501.38"
,915,ALLERGIC REACTIONS W MCC,"$50,044.87"
,916,ALLERGIC REACTIONS W/O MCC,"$16,806.56"
,917,POISONING & TOXIC EFFECTS OF DRUGS W MCC,"$52,671.79"
,918,POISONING & TOXIC EFFECTS OF DRUGS W/O MCC,"$17,157.50"
,919,COMPLICATIONS OF TREATMENT W MCC,"$46,010.75"
,920,COMPLICATIONS OF TREATMENT W CC,"$22,993.43"
,921,COMPLICATIONS OF TREATMENT W/O CC/MCC,"$24,779.85"
,922,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W MCC","$49,597.38"
,923,"OTHER INJURY, POISONING & TOXIC EFFECT DIAG W/O MCC","$14,899.01"
,928,FULL THICKNESS BURN W SKIN GRAFT OR INHAL INJ W CC/MCC,"$70,274.14"
,935,NON-EXTENSIVE BURNS,"$44,251.36"
,939,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W MCC,"$337,777.43"
,940,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W CC,"$122,747.11"
,941,O.R. PROC W DIAGNOSES OF OTHER CONTACT W HEALTH SERVICES W/O CC/MCC,"$108,176.38"
,947,SIGNS & SYMPTOMS W MCC,"$30,060.23"
,948,SIGNS & SYMPTOMS W/O MCC,"$24,587.15"
,949,AFTERCARE W CC/MCC,"$40,804.63"
,950,AFTERCARE W/O CC/MCC,"$13,560.86"
,951,OTHER FACTORS INFLUENCING HEALTH STATUS,"$11,558.46"
,955,CRANIOTOMY FOR MULTIPLE SIGNIFICANT TRAUMA,"$187,559.22"
,956,"LIMB REATTACHMENT, HIP & FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA","$220,732.42"
,957,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W MCC,"$214,715.26"
,958,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W CC,"$138,889.35"
,959,OTHER O.R. PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC,"$94,420.90"
,963,OTHER MULTIPLE SIGNIFICANT TRAUMA W MCC,"$151,083.79"
,964,OTHER MULTIPLE SIGNIFICANT TRAUMA W CC,"$56,736.59"
,965,OTHER MULTIPLE SIGNIFICANT TRAUMA W/O CC/MCC,"$29,743.68"
,969,HIV W EXTENSIVE O.R. PROCEDURE W MCC,"$163,022.04"
,970,HIV W EXTENSIVE O.R. PROCEDURE W/O MCC,"$41,713.25"
,974,HIV W MAJOR RELATED CONDITION W MCC,"$72,317.77"
,975,HIV W MAJOR RELATED CONDITION W CC,"$60,196.97"
,976,HIV W MAJOR RELATED CONDITION W/O CC/MCC,"$39,512.63"
,977,HIV W OR W/O OTHER RELATED CONDITION,"$39,333.61"
,981,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$141,831.15"
,982,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$76,473.34"
,983,EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,"$47,121.19"
,987,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W MCC,"$105,730.49"
,988,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W CC,"$50,411.76"
,989,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS W/O CC/MCC,"$40,056.13"
,999,UNGROUPABLE,"$72,186.00"
