Procedure Name, Procedure Price  
"HC CARDIOVERSION, ELECTIVE;EXTERN"," $2,802.54 "
HC INSERT VENTR PM W TRANSVENOUS ELECTRODE," $37,820.20 "
HC INSERT ART & VENTR PM W TRANSVENOUS ELECTROD," $37,820.20 "
HC INSERT TEMP PM/ELECTRODE SINGLE CHMBR," $30,090.55 "
HC INSERT PULSE GENER SINGLE CHMBR," $30,090.55 "
HC INSERT PULSE GENER DUAL CHMBR," $37,820.20 "
HC REPOSITION TRANSVENOUS PM/ELECTRODE," $5,175.06 "
HC INSRT SINGLE TRANSVEN ELECTROD/PM/DEFIB," $8,398.00 "
HC RELOCATE SKIN POCKET FOR PACEMAKER," $3,949.41 "
HC REMVL PERM PM PLSE GEN W/REPL PLSE GEN SNGL LD," $30,090.55 "
HC REMVL PERM PM PLS GEN W/REPL PLSE GEN 2 LD SYS," $37,820.20 "
HC REMV PERM PACER GENERATOR," $33,484.25 "
HC REMV TRANSVEN PACER ELECTRODE SINGLE LEAD," $4,657.90 "
"HC REMV TRANSVEN PACER ELECTRODE,2 LEAD"," $4,924.39 "
"HC INSERT PULSE GEN,SNGL/DUAL"," $27,320.61 "
"HC RMV PACER/ELECTRD,TRANSVEN EXTRCT"," $4,867.47 "
HC INSERT/RPLACMNT AICD W LEAD SING/DUAL," $99,469.34 "
HC REM PAC CVDFB PLSE GEN &REPL PLSE GEN SNGL LEAD," $75,790.09 "
HC REM PAC CVDFB PLSE GEN &REPL PLSE GEN DUAL LEAD," $75,790.09 "
HC REM PAC CVDFB PLS GEN &REPL PLSE GEN MULTI LEAD," $99,469.34 "
HC IMPLANTATION PT-ACTIVATED CARDIAC EVENT RECORDR," $33,484.25 "
HC INSJ PERQ VAD W/IMAGING ARTERY ACCESS ONLY," $11,380.00 "
HC REMOVAL PERCUTANEOUS VAD DIFFERENT SESSION," $4,951.19 "
HC INSERT INTRA-AORTIC BALLOON ASST DEVICE," $18,976.40 "
HC RMV AORTIC BALLOON DEVICE," $1,814.82 "
HC PLC CATH CAROT/VERT ART," $3,723.00 "
HC PLC CATH EXTREM ARTERY," $4,337.33 "
HC PLC CATH AORTA VIA TRANSLUMBAR," $1,696.00 "
HC PLC CATH AORTA," $4,201.88 "
"HC PLC CATH SELECTIVE ART,NECK"," $1,868.70 "
HC SLCTV CATH CAROTID/INNOM ART ANGIO XTRCRANL ART," $20,875.32 "
HC SLCTV CATH CAROTD/INNOM ART ANGIO INTRCRANL ART," $25,181.12 "
HC SLCTV CATH INTRNL CAROTD ART ANGIO INTRCRNL ART," $21,324.80 "
HC SLCTV CATH INTRNL CAROTD ART ANGIO INTRCRNL ART," $25,181.12 "
HC SLCTV CATH SUBCLAVIAN ART ANGIO VERTEBRAL ART," $20,875.32 "
HC SLCTV CATH VERTEBRAL ART ANGIO VERTEBRAL ARTERY," $25,181.12 "
"HC PLACE CATH SELECT ART,ABD/PEL"," $5,911.04 "
"HC PLACE CATH SUBSELECT ART,ABD/PEL"," $6,180.85 "
"HC PLACE CATH SUBSUBSELECT ART,ABD/PEL"," $2,995.93 "
HC SLCTV CATH 1STORD W/WO ART PUNCT/FLUORO/S&I UNI," $20,875.32 "
HC SLCTV CATH 1STORD W/WO ART PUNCT/FLUOR/S&I BILA," $20,875.32 "
HC SUPSLCTV CATH 2ND+ORD RENL&ACCES ARTER/S&I BILA," $20,875.32 "
HC REMVL PERM PM PLS GEN W/REPL PLSE GEN MULT LD SYS," $60,743.20 "
"HC INSERT CANNULA,VEIN-VEIN"," $5,096.09 "
"HC PRIM PERC MECH THROMBECTOMY, ARTERIAL"," $8,272.88 "
HC INSERT INTRVAS VC FILTR W VASC ACS VSSL RS&I," $25,181.12 "
HC PERQ TRANSCATH RTRVL INTRVAS FB W IMG," $5,536.40 "
HC REVASC ILIAC ARTANGIOPLASTY INIT VSSL," $28,368.60 "
HC REVASC ILIAC ART ANGIOPL/STNT INIT VSSL," $38,627.05 "
HC REVASC ILIAC ART ANGIOPL EA ADD VESSEL," $8,069.58 "
HC REVASC ILIAC ART ANGIOPLASTY/STNT EA ADD VSSL," $15,202.23 "
HC REVASC FEM/POP ART ANGIOPLASTY," $28,368.60 "
HC REVASC FEM/POP ART ANGIOPL/STNT," $38,627.05 "
HC REVASC FEM/POP ART ANGIOPL/STNT/ATHERECTOMY," $27,969.18 "
HC REVASC TIBIAL/PERON ART ANGIOPL INIT," $38,627.05 "
HC OPEN/PERQ PLACEMENT INTRAVASCULAR STENT INITIAL," $38,627.05 "
HC OPEN/PERQ PLACEMENT INTRAVASCULAR STENT EA ADDL," $20,710.00 "
HC PRQ TRLUML CORONARY ANGIOPLASTY ONE ART/BRANCH," $25,425.00 "
HC PRQ TRLUML CORONARY ANGIOPLASTY ADDL BRANCH," $17,021.16 "
HC PRQ TRLUML CORONARY STENT W/ANGIO ONE ART/BRNCH," $38,627.05 "
HC PRQ TRLUML CORONRY STENT W/ANGIO ADDL ART/BRNCH," $23,176.23 "
HC PRQ TRLUML CORONRY STNT/ATH/ANGIO ONE ART/BRNCH," $53,836.51 "
HC PRQ TRANSLUMINAL CORONRY MECHANICL THROMBECTOMY," $12,804.25 "
"HC R&L HEART CATH INJ VETRICULOGRAPHY, RS/I"," $20,196.48 "
HC CATH PLC/COR ANGIO RS/I," $20,373.77 "
HC CATH PLC/COR ANGIO RS/I BYPASS ANGIO," $25,025.64 "
HC CATH PLC/COR ANGIO RS/I W L HRT VENTRICULOGRPHY," $14,068.00 "
"HC CATH PLC/COR ANGIO RS/I BYPSS ANGIO,W L VENTRIC"," $14,068.00 "
HC CATH PLC/COR ANGIO RS/I R&L HRT CATH L VENTRIC," $14,068.00 "
HC INJ SUPRAVALVULAR AORTOGRAPHY DURING HEART CATH," $4,793.00 "
HC HEART FLOW RESERV MEASURE INIT VESSL," $12,641.71 "
HC HEART FLOW RESERV MEASURE EA ADD VESSL," $4,909.75 "
HC PERC DRUG-EL COR STENT SING," $38,627.05 "
HC PERC DRUG-EL COR STENT BRAN," $21,092.05 "
HC PRQ DRUG ELUTING COR STENT ATHER S," $53,836.51 "
HC PRQ DRUG ELUTING COR REVASC T CABG S," $38,627.05 "
HC ENDOVASC VISCER AORTA REHC FENEST 4+ ENDOGRAFT, $972.50 
HC REVASC FEM/POP ART ANGIOPL/ATHERECTOMY," $12,930.04 "
HC REVASC TIBIAL/PERON ART ANGIOPL/ATHERECT INIT," $73,060.85 "
HC RMVL IMPLANTABLE PT-ACTIVATED CAR EVENT RECORDER," $5,651.88 "
HC TRLML BLLN ANGIOP OPEN/PERQ IMG S&I INIT ART," $24,115.80 "
HC TRLML BLLN ANGIOP OPEN/PERQ IMG S&I EA ADDL ART," $14,469.48 "
"HC CARDIAC STRESS TST,TRACING ONLY (93017)"," $2,340.00 "
"HC ECHO HEART XTHORACIC,COMPLETE W DOPPLER"," $3,036.41 "
"HC ECHO HEART XTHORACIC,LIMITED", $951.00 
"HC ECHO HEART,TRANSESOPHAGEAL,COMPLETE"," $7,524.46 "
HC DOPPLER COLOR FLOW VELOCITY MAP (93325)," $1,027.20 "
HC 2D TTE W OR W/O FOL W/CON COMPLETE," $3,036.41 "
"HC MRI, CHEST"," $6,746.86 "
HC MRI CHEST W/CONTRAST," $8,552.33 "
"HC MRI, PELVIS, W/O CONTRAST"," $10,135.20 "
"HC MRI, PELVIS, COMBO"," $13,309.04 "
HC MRI UPPER EXTREMITY W/O CONTRAST," $14,628.20 "
HC MRI UPPER EXTREM WO/W CONTRAST," $21,948.12 "
HC MRI JOINT UPPER EXTREM WO CONTRAST," $20,284.53 "
HC MRI JOINT UPPER EXTREM W/CONTRAST," $20,515.04 "
"HC MRI, JOINT UPPER EXTREM COMBO"," $22,312.98 "
"HC MRI, LOWER EXTREM"," $18,400.15 "
HC MRI LOWER EXTREM W/CONTRAST," $19,817.58 "
HC MRI LOWER EXTR W/O CONTRAST F/U BY CONTRAST," $20,603.08 "
"HC MRI LOWER EXTREM JT, W/O CONTRAST"," $14,562.81 "
HC MRI JOINT OF LEG W/CONTRAST," $19,091.97 "
HC MRI JOINT OF LEG. COMBO," $20,284.53 "
HC MRI ABDOMEN WO CONTRAST," $8,829.95 "
HC MRI ABDOMEN WO/W CONTRAST," $10,690.87 "
HC UNLISTED MR PROCEDURE," $5,240.83 "
"HC MRI, FACE, NECK"," $9,646.17 "
"HC MRI, FACE, NECK, COMBO"," $13,112.18 "
HC MRI BRAIN," $6,636.72 "
HC MRI BRAIN CONTRAST," $8,947.48 "
HC MRI BRAIN COMBO," $16,198.60 "
"HC MRI, FACE, NECK W/CONTRAST"," $12,785.29 "
"HC MRI, CERV SPINE"," $12,111.98 "
"HC MRI, DORSAL SPINE"," $10,470.09 "
"HC MRI, LUMBAR SPINE"," $11,369.79 "
"HC MRI, CERV SPINE COMBO"," $13,476.38 "
"HC MRI, DORSAL SPINE COMBO"," $12,779.55 "
"HC MRI, LUMBAR SPINE COMBO"," $14,836.28 "
HC MRI LUMBAR SPINE CONTRAST," $11,158.09 "
"HC MR ANGIO, HEAD"," $6,568.75 "
"HC MR ANGIO, NECK"," $6,472.26 "
HC PACU 1ST 60 MIN," $5,000.00 "
HC PACU ADDL 15 MIN," $1,250.00 "
"HC ELECTROCARDIOGRAM, TRACING", $647.98 
"HC EEG,W/AWAKE & DROWSY RECORD"," $1,315.79 "
"HC EEG,W/AWAKE & ASLEEP RECORD"," $1,606.00 "
"HC EEG,COMA/SLEEP RECORD ONLY"," $1,294.69 "
HC MULTIPLE SLEEP LATENCY TEST," $3,552.38 "
HC SLP STDY UNATTND SIMUL RCORD HR/O2 SAT/RESP FLW/RESP EFF," $1,286.35 "
HC POLYSOM 6/>YRS SLEEP 4/> ADDL PARAM ATTND," $7,287.67 "
HC POLYSOM 6/>YRS SLEEP W/CPAP 4/> ADDL PARAM ATTND," $8,857.34 "
"HC EEG MONITORING/COMPUTER, EA 24 HOURS, UNATTENDED"," $3,350.27 "
HC MONITOR ID& LATERALIZATION SEIZURE FOCUS EEG," $3,113.54 "
HC ESOPHAGOSCOPY FLEXIBLE TRANSORAL DIAGNOSTIC," $2,890.00 "
HC ESOPHAGOSCOPY FLX TRANSORAL WITH BIOPSY," $2,890.00 "
HC ESOPHAGOSCOPY FLEXIBLE W BLEEDING CONTROL," $3,575.28 "
HC ESOPHAGOSCOPY FLX TRANSORAL LESION ABLATION," $9,575.75 "
HC EGD TRANSORAL DIAGNOSTIC," $2,890.00 "
HC ESOPHAGOGASTRODUODENOSCOPY SUBMUCOSAL INJECTION," $2,890.00 "
HC EGD TRANSORAL BIOPSY SINGLE/MULTIPLE," $2,890.00 "
HC EGD INJECTION SCLEROSIS ESOPHGL/GASTRIC VARICES," $2,890.00 "
HC EGD BAND LIGATION ESOPHGEAL/GASTRIC VARICES," $3,575.28 "
HC EGD DILATION GASTRIC/DUODENAL STRICTURE," $3,575.28 "
HC EGD PERCUTANEOUS PLACEMENT GASTROSTOMY TUBE," $3,575.28 "
HC EGD FLEXIBLE FOREIGN BODY REMOVAL," $2,890.00 "
HC EGD INSERT GUIDE WIRE DILATOR PASSAGE ESOPHAGUS," $2,890.00 "
HC EGD BALLOON DILATION ESOPHAGUS <30 MM DIAM," $3,575.28 "
HC EGD REMOVAL TUMOR POLYP/OTHER LESION SNARE TECH," $3,575.28 "
HC EGD TRANSORAL CONTROL BLEEDING ANY METHOD," $3,575.28 "
HC ERCP DX COLLECTION SPECIMEN BRUSHING/WASHING," $4,793.55 "
"HC ERCP,BIOPSY"," $4,742.61 "
"HC ERCP,SPHINCTEROTOMY"," $4,828.96 "
HC ERCP REMOV CALCULI/DEBRIS BILIARY/PANCREAS DUCT," $4,742.61 "
HC EGD ENDOSCOPIC STENT PLACEMENT W/WIRE& DILATION," $6,618.67 "
HC EGD ABLATE TUMOR POLYP/LESION W/DILATION& WIRE," $3,575.28 "
HC ENDOSCOPIC PAPILLA CANNULATION BILE/PANCREATIC," $4,497.60 "
HC ERCP STENT PLACEMENT BILIARY/PANCREATIC DUCT," $6,618.67 "
HC ERCP REMOV FOREIGN BODY/STNT BILIARY/PANC DUCT," $5,081.67 "
HC ERCP BILIARY/PANC DUCT STENT EXCHNGE W/DIL&WIRE," $6,618.67 "
"HC SIGMOIDOSCOPY,DIAGNOSTIC"," $2,637.09 "
"HC SIGMOIDOSCOPY,BIOPSY"," $2,637.09 "
"HC COLONOSCOPY,DIAGNOSTIC"," $2,904.80 "
"HC COLONOSCOPY,BIOPSY"," $3,002.69 "
"HC COLONOSCPY,FLEX,W/DIR SUBMUC INJECT"," $2,904.80 "
"HC COLONOSCOPY,FLEX,W/CONTROL, BLEEDING"," $2,904.80 "
"HC COLONOSCOPY,REMV LESN,FORCEP/CAUTERY"," $3,000.00 "
"HC COLONOSCOPY,REMV LESN,SNARE"," $3,219.03 "
"HC COLONOSCOPY,ABLATE LESION"," $2,970.50 "
HC COLON MOTILITY STUDY MIN 6 HR CONT RECORD W I&R," $2,351.25 "
"HC SIGMOIDOSCOPY,REMVL F.B."," $2,904.80 "
HC SIGMOIDOSCOPY FLEX W BAND LIGATION," $2,904.80 "
HC COLONOSCOPY FLEX W BAND LIGATION," $3,056.69 "
HC GERD TST W/ MUCOS PH ELECTROD," $2,541.16 "
"HC COLORECTAL CANCER SCREEN, FLEX SIGMOIDSCOPE"," $2,637.09 "
"HC COLORECTAL CANCER SCREEN, COLONOSCOPY HIGH RISK"," $2,904.80 "
"HC COLORECTAL CANCER SCRN, COLONOSCOPY NOT HIGH RISK"," $2,904.80 "
HC ESOPHAGOSCOPY FLEX REMOVAL FOREIGN BODY," $3,575.28 "
HC EGD FLEX ESOPHAGUS BALLOON DILATION =>30 MM," $3,575.28 "
HC EDG FLEX INTRALUMINAL TUBE/CATHETER INSERTION," $2,890.00 "
HC SMALL BOWEL ENDO ABLATE LESN," $3,575.28 "
HC COLONOSCOPY THRU STOMA WASH/BRUSH," $2,904.80 "
HC SIGMOIDOSCOPY FLEX LESION/TUMOR REMOV SNARE," $2,637.09 "
HC SIGMOIDOSCOPY FLEX DIR SUBMUC INJECT," $2,637.09 "
HC COLONOSCOPY FLEX BLLN DILATE," $2,904.80 "
HC FECAL MICROBIOTA PREP AND INSTILLATION," $2,235.82 "
HC OFFICE OUTPATIENT NEW 20 MIN, $876.73 
HC OFFICE OUTPATIENT NEW 45 MIN," $1,523.05 "
HC OFFICE OUTPATIENT NEW 60 MIN," $2,083.88 "
HC OFFICE OUTPATIENT F/U VISIT 5 MIN, $711.92 
HC OFFICE OUTPATIENT F/U VISIT 10 MIN, $875.61 
HC OFFICE OUTPATIENT F/U VISIT 15 MIN, $875.61 
HC OFFICE OUTPATIENT F/U VISIT 25 MIN," $1,149.40 "
HC OFFICE OUTPATIENT F/U VISIT 40 MIN," $1,591.88 "
HC CLSD TREAT CLAVICLE FX WO MANIP, $668.59 
HC CLSD TREAT SHLDR DISLOC W MANIP WO ANES," $1,723.30 "
HC CLSD TREAT MID HUMERUS FX W MANIP," $5,482.25 "
HC CLSD TREAT ELBOW DISLOC WO ANES, $740.00 
HC CLSD TREAT ULNAR FX PROX END W MANIP," $5,482.25 "
HC CLSD TREAT RAD/ULNA SHAFT FX W MANIP," $1,416.21 "
HC CLSD TREAT DISTL RAD/ULNA FX W MANIP," $1,475.87 "
HC CLSD TREAT MC-P DISLOC W MANIP WO ANES, $620.00 
HC CLSD TREAT FINGR ARTICULAR FX W MANIP EA," $5,482.25 "
HC CLSD TREAT DIST FINGR FX W MANIP EA, $681.50 
HC CLSD TREAT IP JNT DISLOC W MANIP WO ANES," $1,723.30 "
HC CLSD TREAT POST HIP ARTHRPLAS DISLOC W ANES, $934.92 
HC CLSD TREAT PATELLR DISLOC WO ANES, $763.00 
HC CLSD TREAT DIST FIBULA FX W MANIP," $2,375.00 "
HC CLSD TREAT WEIGHT BEAR DIST TIB W MANIP," $2,773.14 "
HC CLSD TREAT ANKLE DISLOC WO ANES," $1,008.12 "
"HC CLSD TREAT I-P JT,TOE DISLOC WO ANES"," $2,036.23 "
HC APPLY LONG ARM SPLINT," $1,192.40 "
HC APPLY FOREARM SPLINT STATIC, $911.80 
HC APPLY FINGER SPLINT STATIC, $559.40 
HC STRAPPING SHOULDER, $254.67 
HC APPLY LONG LEG SPLINT," $1,192.40 "
HC APPLY LOWER LEG SPLINT," $1,192.40 "
HC STRAPPING UNNA BOOT," $1,192.40 "
HC CONTROL NOSE BLEED ANTER SIMPLE, $911.80 
HC CONTROL NOSE BLEED POST PACK/CAUT INIT," $1,292.90 "
HC DECLOT THROMBOLYTIC AGENT IMPLANT DEV/CATH, $702.59 
"HC NEG PRESS WOUND TX W DME, </= 50 CM", $898.39 
"HC NEG PRESS WOUND TX W DME, > 50 CM"," $1,272.75 "
HC APPLY MULTLAY COMPRS LWR LEG," $1,192.40 "
"HC NEG PRESS WOUND TX W NON-DME, </= 50 CM"," $1,723.30 "
HC REMOVE IMPACTED EAR WAX UNI, $559.40 
"HC IMMUNIZ ADMIN, INJ, INIT VAC", $221.32 
"HC IMMUNIZ ADMIN, INJ, EA AD VAC", $221.32 
HC ADMIN INFLUENZA VIRUS VAC, $365.86 
HC ADMIN PNEUMOCOCCAL VAC, $340.12 
HC ADMIN HEP B VAC, $221.32 
HC ER / UNSCHEDULED DIALYSIS FOR ESRD," $3,584.74 "
HC HEMODIALYSIS W SING EVAL," $4,117.07 "
HC DIALYSIS OTHER THAN HEMO W SING EVAL (CAPD), $991.22 
HC DIALYSIS OTHER THAN HEMO W SING EVAL (CCPD)," $2,458.89 "
HC PSYCH DIAGNOSTIC EVALUATION, $353.94 
"HC DUPLEX SCAN EXTRACRANIAL,BILAT"," $2,602.93 "
"HC NON-INV PHYSIOLOGIC STD EXTREM ART 1-2 LVL, LMT", $791.53 
"HC NON-INV PHYSIOLOGIC STD EXTREM ART 3 LVLS, COMP"," $1,905.23 "
HC DUPLEX LO EXTREM ART UNILAT/LTD, $948.18 
HC DUPLEX UP EXTREM ART BILAT," $1,735.00 "
HC DUPLEX UP EXTREM ART UNILAT/LTD," $1,078.96 "
"HC DUPLEX EXTREM VENOUS,BILAT"," $1,571.05 "
"HC DUPLEX EXTREM VENOUS,UNI OR LTD"," $1,107.75 "
"HC DUPLEX ABD/PEL VASC STUDY,COMPLETE"," $1,878.40 "
"HC DUPLEX SCAN EXTRACRANIAL,LIMITED"," $2,303.70 "
HC DUPLEX LO EXTREM ART BILAT," $2,303.70 "
"HC INJ, THERAP/PROPH/DIAGN, IM OR SUBCUT", $465.61 
"HC INJ, THERAP/PROPH/DIAGN, IV PUSH INIT DX", $498.20 
"HC INJ, THERAP/PROPH/DIAGN, IV PUSH EA ADD NEW DX", $353.88 
"HC INJ, THERAP/PROPH/DIAGN, IV PUSH EA ADD SAME DX", $363.66 
HC PHLEBOTOMY THERAPUTIC, $455.90 
