DEPARTMENT,IVDESC,IVCPTCD,IVPRICE1
LABORATORY,CYCLIC CITRULLINATED PEPT,86200,123
LABORATORY,DNA AB DOUBLE STRAND,86225,96
LABORATORY,DNA AB SINGLE STRAND,86226,41
LABORATORY,EXTRACTBL NUC ANTIG AB,86235,105
LABORATORY,FLUORESCENT AB EACH,86255,174
LABORATORY,FLUORESCENT AB TITER EACH,86256,174
LABORATORY,HEMAGGLUTINATN INHIB TEST,86280,114
LABORATORY,CA 15-3,86300,199
LABORATORY,CA 27-29,86300,199
LABORATORY,CA 19-9,86301,181
LABORATORY,CA 125,86304,225
LABORATORY,HETEROPHILE AB SCREEN,86308,140
LABORATORY,HETEROPHILE AB TITER,86309,71
LABORATORY,IMMUNOASSAY TUMOR ANTIGEN,86316,194
LABORATORY,HEPATITIS B TITER,86317,107
LABORATORY,IMMUNE COMPLEX ASSAY,86332,36
LABORATORY,IMMUNOFIX ELECTROPHORESIS,86334,225
LABORATORY,INHIBIN A,86336,90
LABORATORY,INSULIN AUTOANTIBODY,86337,655
LABORATORY,B CELLS TOTAL COUNT,86355,127
LABORATORY,NATURAL KILLER CELLS TOT,86357,127
LABORATORY,T CELLS TOTAL COUNT,86359,135
LABORATORY,T CELLS ABS COUNT RATIO,86360,179
LABORATORY,LYMPHOCYTE SUBET PANEL 5,86361,220
LABORATORY,MICRO ATB EA(THY.PEROX.AB,86376,115
LABORATORY,PARTICLE AGGLUTIN EA ATB,86403,157
LABORATORY,RHEUMATOID FACTOR QUAL,86430,74
LABORATORY,RHEUMATOID FACTOR QUAN,86431,154
LABORATORY,TB TEST GAMMA INTERFERON,86480,434
LABORATORY,SKIN TEST TB INTRAD,86580,30
LABORATORY,SYPHILIS/RPR,86592,53
LABORATORY,SYPHILIS TEST QUAL (GSO),86592,53
LABORATORY,SYPHILIS TEST QUANTATIVE,86593,51
LABORATORY,ANTIBODY BACTERIUM NOS,86609,129
LABORATORY,ANTIBODY BORDETELLA,86615,136
LABORATORY,LYME AB CONFIRM IGG,86617,91
LABORATORY,LYME AB CONFIRM IGM,86617,91
LABORATORY,LYME AB SCREEN,86618,50
LABORATORY,ANTIBODY CANDIDA,86628,302
LABORATORY,COCCIDIOIDES,86635,84
LABORATORY,COXIELLA B (QFEVER),86638,151
LABORATORY,CMV AB,86644,140
LABORATORY,CMV ANTIBODY IGM,86645,50
LABORATORY,EASTERN EQUINE ENCEPHALIT,86652,280
LABORATORY,WESTERN EQUINE ENCEPHALIT,86654,346
LABORATORY,ANTIBODY ENTEROVIRUS,86658,100
LABORATORY,EPSTEIN BARR VIRUS EA,86663,93
LABORATORY,EPSTEIN BARR VIRUS EBNA,86664,99
LABORATORY,EPSTEIN BARR VIRUS VCA,86665,99
LABORATORY,EHRLICHIA,86666,136
LABORATORY,FRANCISELLA TULARENSIS AB,86668,59
LABORATORY,HTLV I,86687,70
LABORATORY,HTLV II,86688,70
LABORATORY,HTLV OR HIV AB CONF TEST,86689,145
LABORATORY,HEPATITIS D VIRUS AB IGM,86692,535
LABORATORY,ANTIBODY HERPES SIMPLEX,86694,121
LABORATORY,ANTIBODY HERPES SIMP TP 1,86695,116
LABORATORY,ANTIBODY HERPES SIMP TP 2,86696,151
LABORATORY,IMMUNOASSAY,86701,74
LABORATORY,HIV 2 ANTIBODY,86702,74
LABORATORY,"HIV 1 ,2 ATB SINGLE ASSEY",86703,80
LABORATORY,HEPATITIS B CORE ATB TOT,86704,80
LABORATORY,HEPATITIS B CORE IGM AB,86705,83
LABORATORY,HEPATITIS B SURFACE AB,86706,121
LABORATORY,HEPATITIS BE AB,86707,96
LABORATORY,HEPATITIS A IGM AND IGG,86708,85
LABORATORY,HEPATITIS A IGM,86709,77
LABORATORY,INFLUENZA AB TYPE A&B,86710,191
LABORATORY,LEGIONELLA AB,86713,78
LABORATORY,LEPTOSPIRA ANTIBIODY,86720,285
LABORATORY,LYMPHOGRANULOMA VENERE AB,86729,330
LABORATORY,MUMPS AB,86735,96
LABORATORY,PARVOVIRUS,86747,126
LABORATORY,RSV ANTIGEN,86756,187
LABORATORY,RICKETTSIA,86757,210
LABORATORY,ROTAVIRUS AB,86759,140
LABORATORY,RUBELLA (GSO ONLY),86762,21
LABORATORY,RUBELLA,86762,57
LABORATORY,RUBEOLA,86765,160
LABORATORY,TOXOPLASMA ANTIBODY IGG,86777,47
LABORATORY,TREPONEMA PALLIDUM,86780,100
LABORATORY,VARICELLA ZOSTER,86787,92
LABORATORY,WEST NILE VIRUS IGM,86788,248
LABORATORY,WEST NILE VIRUS,86789,248
LABORATORY,ANTIBODY VIRUS NES,86790,187
LABORATORY,YERSINIA  ANTIBODY,86793,318
LABORATORY,THYROGLOBULIN ANTIBODY,86800,112
LABORATORY,HEPATITIS C ANTIBODY SCREENING,86803,109
LABORATORY,HEPATITIS C CONFIRM RIBA,86804,345
LABORATORY,HLA A B OR C SING ANTIGEN,86812,181
LABORATORY,BB ANTIBODY SCREEN RBC,86850,116
LABORATORY,BB ANTIBODY SCREEN RBC,86850,116
LABORATORY,BB ANTIBODY ELUTION,86860,284
LABORATORY,BB ANTIBODY ID PANEL SERU,86870,219
LABORATORY,BB COOMBS TEST,86880,93
LABORATORY,BB COOMBS INDIRECT TITER,86886,107
LABORATORY,BB BLOOD TYPING ABO,86900,74
LABORATORY,BB BLOOD TYPING RH,86900,74
LABORATORY,BB RH TYPE,86901,66
LABORATORY,BB RH TYPE (GSO ONLY),86901,66
LABORATORY,BB ANTIGEN SCREEN COMPAT,86902,108
LABORATORY,BB RBC ANTIGEN EACH,86905,116
LABORATORY,BB Rh PHENOTYPING COMPLET,86906,121
LABORATORY,BB COMPAT IMMED SPIN,86920,142
LABORATORY,BB COMPAT TEST INCUBATION,86921,108
LABORATORY,BB COMPAT ANTIGLOBULIN,86922,108
LABORATORY,BB PLASMA THAWING FFP,86927,411
LABORATORY,BB IRRIDATED BLOOD PROD,86945,197
LABORATORY,CONCENTRAT INFEC AGENT,87015,81
LABORATORY,CULTURE BACTERIAL BLOOD,87040,238
LABORATORY,CULTURE BACTERIAL STOOL,87045,157
LABORATORY,CULTURE STOOL ADDTL PATHO,87046,72
LABORATORY,CAMPYLOBACTER CULTURE,87046,72
LABORATORY,ESCHERICIA COLI 0157 CULTURE,87046,72
LABORATORY,CULTURE AEROBIC,87070,150
LABORATORY,CULTURE SPUTUM,87070,150
LABORATORY,CULTURE THROAT,87070,150
LABORATORY,THROAT CULTURE,87070,150
LABORATORY,CULTURE AEROBIC BACTERIA,87070,150
LABORATORY,CULTURE GENITAL,87070,150
LABORATORY,CULTURE ANAEROBIC,87075,278
LABORATORY,ANAEROBIC ID EACH,87076,123
LABORATORY,AEROBIC ISOLATE ID,87077,83
LABORATORY,"MRSA ,CULTURE SCREEN",87081,86
LABORATORY,CULTURE BACTERIAL URINE,87086,208
LABORATORY,URINE ISOLATE ID,87088,71
LABORATORY,CULTURE FUNGI SKIN,87101,70
LABORATORY,CULTURE FUNGI EXC BLOOD,87102,184
LABORATORY,FUNGUS ID EACH YEAST,87106,120
LABORATORY,FUNGUS ID EACH MOLD,87107,57
LABORATORY,CULTURE CHLAMYDIA,87110,295
LABORATORY,AFB CULTURE,87116,148
LABORATORY,AFB ID,87118,99
LABORATORY,CULTURE IMMUNOFLUORESCENT,87140,75
LABORATORY,CULTURE TYP IMMUNO METHOD,87147,54
LABORATORY,PINWORM EXAM TAPE PREP,87172,29
LABORATORY,STOOL OVA AND PARASITES,87177,126
LABORATORY,SUSCEP ANTIMICROBIAL,87181,372
LABORATORY,SENS STUDY KIRBY BAUER,87184,57
LABORATORY,SUSCEP STUDY ENZYME DETEC,87185,39
LABORATORY,SENSI STUDY ANTIBOD MIC,87186,101
LABORATORY,SMEAR PRIMARY SOURCE,87205,54
LABORATORY,SMEAR FLUORES ACID STAIN,87206,82
LABORATORY,SMEAR SPEC STAIN PERIPHER,87207,63
LABORATORY,SMEAR COMP SPECIAL STAIN,87209,118
LABORATORY,WET PREP,87210,74
LABORATORY,KOH SLIDE,87220,32
LABORATORY,VIRUS ISOLA ID CYTOPATH,87252,182
LABORATORY,VIRUS ISOLAT RAPID CULT,87254,192
LABORATORY,VIRUS ISOLAT ID NONIMMUNO,87255,200
LABORATORY,BORDETELLA DFA NASAL,87265,84
LABORATORY,CRYPTOSPORIDIUM,87272,93
LABORATORY,C DIFFICILE TOXIN,87324,27
LABORATORY,CRYPTOSPORIDIUM GIARDIA,87328,105
LABORATORY,GIARDIA ANTIGEN,87329,84
LABORATORY,GIARDIA EIA,87329,105
LABORATORY,HELICOBAC. PYLORI STOOL ANTIG,87338,250
LABORATORY,HEP B SUR ANT (GSO ONLY),87340,75
LABORATORY,HEPATITIS B SURFACE ANTIGEN,87340,111
LABORATORY,HEPATITIS BE ANTIGEN,87350,96
LABORATORY,HEPATITIS D ANTIGEN,87380,428
LABORATORY,HIV 1/2 ANTIGEN& ANTIBODY,87389,102
LABORATORY,"HIV-1 AG,EIA",87390,702
LABORATORY,ROTAVIRUS ANTIGEN DETECTION,87425,78
LABORATORY,SHIGA-LIKE TOXIN,87427,183
LABORATORY,GROUP A STREP ANTIGEN DET,87430,51
LABORATORY,ANTIGEN DETEC NOS MULT,87449,145
LABORATORY,C DIFFICILE TOXIN /GDH,87449,145
LABORATORY,"NOROVIRUS, EIA STOOL",87449,145
LABORATORY,CHLAMYDIA AMP PROBE TECH,87491,243
LABORATORY,C-DIFFICILE TOXIN REAL TIME PCR,87493,55
LABORATORY,HBV DETEC NUC ACID PROBE,87515,63
LABORATORY,HEPATITIS B VIRUS QUANT,87517,441
LABORATORY,HEPATITIS C AMP PROBE,87521,401
LABORATORY,HEPATITIS C QUANTIFICATION,87522,579
LABORATORY,HERPES SIMPLEX AMP PROBE,87529,197
LABORATORY,HERPES SIMPLEX QUANTIFICA,87530,303
LABORATORY,HERPES VIRUS 6 AMP PROBE,87532,338
LABORATORY,HIV 1 RNA QUALITATIVE,87535,602
LABORATORY,HIV 1 QUANTIFICATION,87536,511
LABORATORY,LEGIONELLA PNEUMOPHILA AMP PROBE,87541,123
LABORATORY,M TUBERCULO DNA AMP PROBE,87556,81
LABORATORY,GC AMPLIFIED PROBE TECH,87591,243
LABORATORY,HPV DNA AMP PROBE,87624,229
LABORATORY,RESPIRATORY VIRUS PANEL,87633,590
LABORATORY,MRSA-PCR,87641,206
LABORATORY,MICROB NUCLEIC ACID PROBE,87797,151
LABORATORY,INFEC AG DET NUC ACID AMP,87798,399
LABORATORY,WHOOPING COUGH,87798,399
LABORATORY,STREP GROUP A,87880,87
LABORATORY,INFEC AG GENO BY NUC ACID,87901,1011
LABORATORY,HEPATITIS C VIRUS GENOTYPE,87902,901
LABORATORY,CYTOPATHOLOGY FILTER,88106,116
LABORATORY,CYTOPATHOLOGY CONCENTRA,88108,147
LABORATORY,CYTOPATH SEL CELL ENHANC,88112,361
LABORATORY,CYTOPATHOLOGY SEL ENHANC,88112,361
LABORATORY,CYTOLOGY SCREEN/ THIN PREP,88142,142
LABORATORY,CYTOPATH EVAL INT/RPT,88173,494
LABORATORY,PAP IMAGING,88175,44
LABORATORY,FLOW CYTOMETRY EA MARKER,88182,121
LABORATORY,FLOW CYTOMETRY 1ST MARKER,88184,219
LABORATORY,FLOW CYTOMETRY EA ADDITIO,88185,60
LABORATORY,FLOW CYTOMETRY INTERP 16+,88189,174
LABORATORY,MOLECULAR CYTOGEN DNA EA,88271,150
LABORATORY,MOLEC CYT CHRO 10-30CELLS,88273,127
LABORATORY,LEVEL I PATHOLOGY,88300,132
LABORATORY,SPECIAL STAIN,88312,339
LABORATORY,GROUP II ALL OTHER,88313,285
LABORATORY,IMMUNOHISTOCHEM EACH ADD,88341,304
LABORATORY,IMMUNOHISTCHEM EA ATB,88342,293
LABORATORY,CELL COUNT EXCEPT BLOOD,89050,94
LABORATORY,CELL COUNT W DIFFERENTIAL,89051,140
LABORATORY,FECAL LEUKOCYTES,89055,56
LABORATORY,CRYSTAL ID,89060,127
LABORATORY,FAT STAIN FEC URINE SPUTM,89125,54
RESPIRATORY THERAPY,SPUTUM COLLECTION,89220,107
LABORATORY,SPERM ANAL MOBILITY COUNT,89310,57
LABORATORY,SPERM ANALY(POST VASEC),89321,114
CLINIC,ADM VACCINE,90471,98
CLINIC,ADM ADDTL VACCINE,90472,33
PHARMACY,VAC- HUMAN PAPILLOMAVIRUS [GARDASIL] INJ,90649,406.6
PHARMACY,VAC- INFLUENZA VIRUS [FLU VACCINE] INJ,90656,58.2
PHARMACY,VAC- RABAVERT [RABIES] CHICK - EMB,90675,1059.24
PHARMACY,VAC- TETANUS DIPH TOX [TENIVAC] ADULT,90714,102.69
PHARMACY,VAC- TETAN/DIPH/PERT [ADACEL] INJ ADULT,90715,122.67
PHARMACY,VAC- PNEUMOCOCCAL [PNEUMOVAX] 23 INJ,90732,326.79
PHARMACY,VAC- ZOSTAVAX [VARICELLA],90736,512.03
CLINIC,EYE TONOMETRY,92100,325
MED/SURG,AUDIOMETRY PURE TONE,92552,190
CLINIC,AUDIOGRAM,92560,105
CLINIC,TYMPANOGRAM,92567,98
SPECIALTY CLINIC,TYMPANOGRAN PER EAR,92567,90
ER,CARDIOPULMONARY RESUSCITA,92950,952
MED/SURG,CARDIOPULMONARY RESUSCITA,92950,1000
CLINIC,CARDIOVERSION,92960,1596
EKG,EKG,93005,334
EKG,PARAMED EKG,93005,334
CLINIC,STRESS TEST SUPERVISION,93016,108
CATSCAN,STRESS TREADMILL TEST,93017,884
NUCLEAR MEDICINE,NM TREADMILL TRACING ONLY,93017,884
EKG,EKG RHYTHM TRACING,93041,156
HOLTER MONITOR,HOLTER MONITOR COMPLETE,93224,333
HOLTER MONITOR,HOLTER MONITOR RECORDING,93225,342
HOLTER MONITOR,HOLTER MONITOR ANAL REPT,93226,568
CLINIC,HOLTER MONITOR INTERP,93227,109
HOLTER MONITOR,EVENT MONITOR COMPLETE,93268,537
HOLTER MONITOR,EVENT MONITOR,93270,493
HOLTER MONITOR,EVENT MONITOR ANAL&TRANS,93271,568
CLINIC,EVENT MONITOR INTERPRETAT,93272,105
ULTRASOUND,US ECHOCARDIOGRAPHY,93306,2716
ULTRASOUND,US ECHO T THORAC COMP,93307,1296
ULTRASOUND,US ECHO DOPP W SPEC DISP,93320,434
ULTRASOUND,US COLOR FLOW MAPPING,93325,434
CATSCAN,CARDIAC EX W O CONT MONIT,93797,108
CATSCAN,CARDIAC EX W CONT MONITOR,93798,186
ULTRASOUND,US DUPLEX BILAT CAROTID,93880,1363
ULTRASOUND,US DUPLEX EXTRACRAN LTD,93882,680
ULTRASOUND,US NONINVAS EXT SING LEV,93922,306
ULTRASOUND,US NONINVAS EXT MULT LEV,93923,1076
ULTRASOUND,US ARTERIAL DUP LOW EXT BILA,93925,1499
ULTRASOUND,US ARTERIAL DUP UPP EXT BILA,93930,1499
ULTRASOUND,US DUP EXT UPP UNILAT ARTERY,93931,396
ULTRASOUND,US NONINVAS VASCULAR STDY,93970,1201
ULTRASOUND,US EXTREMITY VEINS BILAT,93970,1201
ULTRASOUND,US DUP AORTA INF VC COMP,93978,675
RESPIRATORY THERAPY,VENTASSIST INITIAL DAY,94002,2165
RESPIRATORY THERAPY,VENTILATION ASSIST SUBSEQ,94003,664
RESPIRATORY THERAPY,SPIROMETRY PFT,94010,229
RESPIRATORY THERAPY,PFT BEF AFT SPIRO PRE/PST,94060,408
RESPIRATORY THERAPY,INHALATION TX,94640,175
RESPIRATORY THERAPY,SUBSEQUENT INHALATION TX,94640,175
RESPIRATORY THERAPY,DEMO EVAL INHAL DEVICE,94664,156
RESPIRATORY THERAPY,CHEST WALL MANIP INITL,94667,136
RESPIRATORY THERAPY,CHEST WALL MANIP SUB,94668,102
RESPIRATORY THERAPY,INCENTIVE SPIR(PULM COMP),94750,218
RESPIRATORY THERAPY,SUB INC SPIRO(PULM COMP),94750,218
RESPIRATORY THERAPY,O2 SAT NON INVASIV OVNITE,94762,464
CLINIC,ALLERGY INJECTION SINGLE,95115,37
CLINIC,ALLERGY INJ MULTIPLE,95117,47
MED/SURG,POLYSOMNOGRAPHY 6+,95810,1765
MED/SURG,POLYSOMNOGRAPHY 6+ W POSITIVE AIRWAY PRE,95811,1765
CLINIC,IV INFUS HYDRA 31-60 MIN,96360,256
ER,IV INFUS  HYDRA 31-60 MIN,96360,254
MED/SURG,IV INFUS HYDRA 31-60MIN,96360,266
CLINIC,IV INFUSION TO 1 HR,96365,256
ER,IV INFUS FOR THERAPY 1HR,96365,254
MED/SURG,IV INFUS THERAPY TO 1HR,96365,266
ER,IV INFUS ADDIT  UP TO 1HR,96367,205
MED/SURG,IV INFUS ADD SEQ UPTO 1HR,96367,215
CLINIC,INJECTION THER PROP SQ IM CLINIC,96372,114
ER,INJECTION THER PROP SQ IM,96372,113
MED/SURG,INJECTION THER PROP SQ IM,96372,119
SPECIALTY CLINIC,INJECTION THER PROP SQ IM,96372,104
ER,INJECTION INTRA ARTERIAL,96373,137
MED/SURG,INJECTION INTRA ARTERIAL,96373,144
ER,INJECTION IV PUSH INITIAL,96374,171
MED/SURG,INJECTION IV PUSH INITIAL,96374,180
PHYSICAL THERAPY,PT APPLY HEAT/COLD PACKS,97010,22
CLINIC,LASER TX ADDITIONAL AREA,97039,22
CLINIC,LASER TREATMENT,97039,39
PHYSICAL THERAPY,PT LASER THERAPY-CASH,97039,55
PHYSICAL THERAPY,PT AQUATIC THERAPY,97113,150
MED/SURG,WND NEG PRESS50CM OR LESS,97605,149
PHYSICAL THERAPY,PT WND NEG PRESS 50CM<,97606,268
PHYSICAL THERAPY,PT PHYSICAL PERFORM TEST,97750,77
PHYSICAL THERAPY,PT ORTHO TRAIN EA 15 MIN,97760,100
PHYSICAL THERAPY,PT PROSTH TRAIN EA 15 MIN,97761,103
PHYSICAL THERAPY,PT EVAL ORTHOT EA 15 MIN,97762,66
PHYSICAL THERAPY,PT DEEP TISSUE MSG  1 HR,97799,56
PHYSICAL THERAPY,PT DEEP TISSUE 1 1 2 HR,97799,82
CENTRAL SUPPLY,DIET INSTRUCTION,97802,69.3
CLINIC,OMT 1-2 REGIONS,98925,111
CLINIC,OMT 3-4 REGIONS,98926,151
PHYSICAL THERAPY,PT MANIPULATIVE SPINE 3-4,98941,28
PHYSICAL THERAPY,PT PATIENT EDU 30 MIN,98960,29
ER,MOD SED 1ST 30 MIN<5YRS,99151,52
SPECIALTY CLINIC,MOD SED 1ST 30MIN < 5YRS,99151,48
CLINIC,MOD SED 1ST 30 MIN >5 YRS,99152,578
ER,MOD SED 1ST 30 MIN>5YRS,99152,573
SPECIALTY CLINIC,MOD SED 1ST 30MIN > 5YRS,99152,529
SPECIALTY CLINIC,MOD SED SVC EA ADD 15MIN,99153,120
ER,MOD SED 1ST 30 MIN>5YRS,99156,156
LABORATORY,THERAPEUTIC PHLEBOTOMY,99195,189
CLINIC,OFFICE VISIT NEW BRIEF,99201,68
CLINIC,NH OV NEW STRAIGHT,99202,105
CLINIC,OFFICE VISIT NEW STRAIGHT,99202,109
CLINIC,NH OV NEW LOW,99203,137
CLINIC,OFFICE VISIT NEW LOW,99203,143
CLINIC,NH OV NEW MODERATE,99204,197
CLINIC,OFFICE VISIT NEW MODERATE,99204,204
CLINIC,NH OV NEW HIGH,99205,273
CLINIC,OFFICE VISIT NEW HIGH,99205,285
CLINIC,NH OV ESTAB BRIEF,99211,55
CLINIC,OFFICE VISIT ESTAB,99211,57
MED/SURG,TREATMENT ROOM LEVEL I,99211,91
RESPIRATORY THERAPY,TREATMENT RM LEVEL I RESP,99211,98
SPECIALTY CLINIC,TREATMENT ROOM ESTAB PT,99211,90
CLINIC,NH OV ESTAB STRAIGHT,99212,88
CLINIC,OFFICE VISIT ESTAB STRAIG,99212,91
CLINIC,NH OV ESTAB LOW,99213,121
CLINIC,OFFICE VISIT ESTAB LOW,99213,125
MED/SURG,TREATMENT ROOM LEVEL II,99213,120
CATSCAN,OP VISIT ESTAB MODERATE,99214,193
CLINIC,NH OV ESTAB MOD,99214,153
CLINIC,OFFICE VISIT ESTAB MODER,99214,159
MED/SURG,TREATMENT ROOM LEVEL IV,99214,193
CLINIC,NH OV ESTAB HIGH,99215,202
CLINIC,OFFICE VISIT ESTAB HIGH,99215,211
MED/SURG,TREATMENT ROOM LEVEL III,99215,159
MED/SURG,TREATMENT ROOM LEVEL V,99215,210
CLINIC,HOSP CARE SUB HIGH/99233,99233,380
CLINIC,CONSULT OFFICE STRATFWD,99241,131
CLINIC,CONSULT OFFICE EXPANDED,99242,230
CLINIC,CONSULT OFFICE LOW,99243,315
CLINIC,CONSULT OFFICE MODERATE,99244,466
CLINIC,CONSULT OFFICE HIGH,99245,573
CLINIC,PHYS ER STRAIGHTFORWARD/99281,99281,259
ER,ER LEVEL I,99281,257
CLINIC,PHYS ER LOW/99282,99282,328
CLINIC,PHYS ER EXANDED MOD/99283,99283,656
CLINIC,PHYS ER DETAILED MOD/99284,99284,765
CLINIC,PHYS ER HIGH/99285,99285,874
CLINIC,PHYS CRIT CARE EA 30 MIN/99292,99292,330
CLINIC,NH NEW PT LOW,99304,137
CLINIC,NH NEW PT MOD,99305,197
CLINIC,NH NEW PT HIGH,99306,273
CLINIC,NH ESTAB STRAIGHT,99307,88
CLINIC,NH ESTAB LOW,99308,121
CLINIC,NH ESATB MODERATE,99309,153
CLINIC,NH ESTAB HIGH,99310,202
CLINIC,NH DISCHARGE 30 MIN,99315,121
CLINIC,NH DISHCARGE >30 MIN,99316,153
ULTRASOUND,US STRESS ECHO,99350,2839
CLINIC,PHYS PROLONG SVC 1ST H OP,99354,360
CLINIC,PHYS PROLONG EAADD 30M OP,99355,358
CLINIC,PHYS PROLONG SVC 1ST H IP,99356,330
CLINIC,PHYS PROLONG EAADD 30M IP,99357,330
CLINIC,PREV MED NEW UNDER 1 YR,99381,249
CLINIC,PREV MED NEW AGE 1-4,99382,278
CLINIC,PREV MED NEW AGE 5-11,99383,263
CLINIC,PREV MED NEW AGE 12-17,99384,259
CLINIC,PREV MED NEW AGE 18-39,99385,256
CLINIC,PREV MED NEW AGE 40-64,99386,302
CLINIC,PREV MED NEW AGE 65+,99387,333
CLINIC,PREV MED ESTAB UNDER 1YR,99391,216
CLINIC,PREV MED ESTAB AGE 1-4,99392,278
CLINIC,PREV MED ESTAB AGE 5-11,99393,232
CLINIC,PREV MED ESTAB AGE 12-17,99394,236
CLINIC,PREV MED ESTAB AGE 18-39,99395,256
CLINIC,PREV MED ESTAB AGE 40-64,99396,302
CLINIC,PREV MED ESTAB AGE 65+,99397,321
CLINIC,CCM COMPLEX,99487,119
CLINIC,CCM COMPLEX EACH ADD 30 MIN,99489,31
CLINIC,CCM ADVANCED CARE PLANNING 20 MIN,99490,98
LABORATORY,CYTOLOGY INTERP BY PHYS,8814126,80
LABORATORY,CYTOLOGY W HORMONAL EVAL,8815526,110
LABORATORY,CYTOPATHOLOGY PREP SCREEN,8816126,227
LABORATORY,CYTOGEN MOLEC INTERP/RPT,8829126,127
LABORATORY,LEVEL II PATHOLOGY,8830226,210
LABORATORY,LEVEL III PATHOLOGY,8830426,277
LABORATORY,LEVEL IV PATHOLOGY,8830526,324
LABORATORY,LEVEL V PATHOLOGY,8830726,654
LABORATORY,LEVEL VI PATHOLOGY,8830926,835
LABORATORY,GROUP II ALL OTHER,8831326,285
ER,CARDIOVERSION,9296059,1581
CLINIC,ICG PHYSICIAN FEE,9370126,102
CLINIC,IV INFUS HYDRA TO 8HR,9636159,158
ER,IV INFUS HYDRA ADD TO 8HR,9636159,205
MED/SURG,IV INFUS HYDRA TO 8HR,9636159,215
CLINIC,IV INFUS  EA ADD TO 8 HR,9636659,206
ER,IV INFUS  EACH ADD TO 8H,9636659,205
MED/SURG,IV INFUS THERAPY TO 8H,9636659,215
ER,IV INFUS CONCURRENT,9636859,205
MED/SURG,IV INFUS CONCURRENT,9636859,215
ER,INJ EA ADD SEQ IVP,9637559,127
MED/SURG,INJ EA ADD SEQ IVP,9637559,133
SPECIALTY CLINIC,WOUND CARE WO ANES,9760259,254
SPECIALTY CLINIC,TREATMENT ROOM NEW PT,9920125,90
ER,ER LEVEL II,9928225,325
ER,ER LEVEL III,9928325,649
ER,ER LEVEL IV,9928425,758
ER,ER LEVEL V,9928525,866
ER,CRITICAL CARE,9929125,1351
PHYSICAL THERAPY,PT APP SHT ARM SPLINT DYN,29126GP,100
PHYSICAL THERAPY,PT APP FINGER SPLINT DYN,29131GP,142
PHYSICAL THERAPY,PT STRAPPING ANKLE FOOT,29540GP,120
CLINIC,LUMBAR PUNCTURE DX,62270AQ,1093
PHYSICAL THERAPY,PT TENS APPLICATION,64550GP,83
RADIOLOGY,EYE FOREIGN BODY LT,70030LT,228
RADIOLOGY,EYE FOREIGN BODY RT,70030RT,228
RADIOLOGY,TMJ UNILATERAL LT,70328LT,249
RADIOLOGY,TMJ UNILATERAL RT,70328RT,249
RADIOLOGY,RIBS UNILAT 2V LT - F/U,71100LT,171
RADIOLOGY,RIBS UNILAT 2V RT - F/U,71100RT,171
RADIOLOGY,RIBS UNI CHEST LT 3V MIN,71101LT,523
RADIOLOGY,RIBS UNI CHEST RT 3V MIN,71101RT,523
RADIOLOGY,CLAVICLE COMPLETE LT,73000LT,240
RADIOLOGY,CLAVICLE COMPLETE RT,73000RT,240
RADIOLOGY,SHOULDER 1 VIEW LT - F/U,73020LT,211
RADIOLOGY,SHOULDER 1 VIEW RT - F/U,73020RT,211
RADIOLOGY,SHOULDER COMP LT 2V MIN,73030LT,358
RADIOLOGY,SHOULDER COMP RT 2V MIN,73030RT,358
RADIOLOGY,HUMERUS LT 2V MIN - F/U,73060LT,443
RADIOLOGY,HUMERUS RT 2V MIN - F/U,73060RT,443
RADIOLOGY,ELBOW LT AP AND LAT - F/U,73070LT,253
RADIOLOGY,ELBOW AP AND LAT RT - F/U,73070RT,253
RADIOLOGY,ELBOW LT COMP 3V MIN,73080LT,446
RADIOLOGY,ELBOW COMP RT 3V MIN,73080RT,446
RADIOLOGY,FOREARM AP & LAT LT,73090LT,400
RADIOLOGY,FOREARM AP & LAT RT,73090RT,400
RADIOLOGY,WRIST 2 VIEW LT - F/U,73100LT,159
RADIOLOGY,WRIST 2 VIEW RT - F/U,73100RT,159
RADIOLOGY,WRIST COMP LT 3V MIN,73110LT,472
RADIOLOGY,WRIST COMP RT 3V MIN,73110RT,472
RADIOLOGY,WRIST ARTHRO LT,73115LT,552
RADIOLOGY,WRIST ARTHRO RT,73115RT,552
RADIOLOGY,HAND 2 VIEWS LT - F/U,73120LT,182
RADIOLOGY,HAND 2 VIEWS RT - F/U,73120RT,182
RADIOLOGY,HAND 3 VIEWS LT,73130LT,439
RADIOLOGY,HAND 3 VIEWS RT,73130RT,439
RADIOLOGY,FINGERS LT 2V MIN,73140LT,278
RADIOLOGY,FINGERS RT 2V MIN,73140RT,278
CATSCAN,CT EXT UPP LT WO,73200LT,1078
CATSCAN,CT EXT UPP RT WO,73200RT,1078
CATSCAN,CT EXT UPP LT W,73201LT,1155
CATSCAN,CT EXT UPP RT W,73201RT,1155
CATSCAN,CT EXT UPP LT WWO,73202LT,1733
CATSCAN,CT EXT UPP RT WWO,73202RT,1733
MRI,MRI EXT UPP LT WO,73218LT,2384
MRI,MRI EXT UPPER WO RT,73218RT,2384
MRI,MRI EXT UPP LT W,73219LT,2384
MRI,MRI EXT UPPER W RT,73219RT,2384
MRI,MRI EXT UPP LT WWO,73220LT,2384
MRI,MRI EXT UPP RT WWO,73220RT,2384
MRI,MRI EXT UPP LT JT WO,73221LT,2664
MRI,MRI EXT UPP RT JT WO,73221RT,2664
MRI,MRI EXT UPP LT JT W,73222LT,1662
MRI,MRI EXT UPP RT JT W,73222RT,1662
