Description/FIM Description,Primary Price
INCISE/DRAIN HEMATOMA,"$4,210.00 "
INCISION & DRAINAGE OF ABSCESS,$203.00 
"INCISION & DRAINAGE,HEMATOMA","$4,210.00 "
INCISION & DRAIN-SIMPLE/SINGLE,$442.00 
INDAPAMIDE 1.25 MG TAB,$0.47 
INDAPAMIDE 1.25MG TABLET,$0.47 
INDAPAMIDE 2.5MG TAB,$4.65 
"INDIA INK, STERILE",$203.42 
INDIGO CARMINE 40 MG/5 ML INJ,$206.25 
INDIGOTINDISULFONAT AMP .8%5ML,$105.17 
INDOCYANINE GREEN 25 MG,$355.64 
INDOCYANINE GREEN 25 MG/1.25ML,$355.64 
INDOMETHACIN 1 MG/1 ML INJECT,"$2,226.51 "
INDOMETHACIN 25 MG CAP,$1.39 
INDOMETHACIN 50MG SUPP,$45.68 
INDOMETHACIN 50MG SUPPOSITORY,$45.68 
INDOMETHACIN CAP 25MG UD,$1.39 
"INDOMETHACIN INJECTION, 1 MG","$2,226.51 "
INDUCED ABORTION W/VAG SUPPOS.,"$5,059.00 "
INFLATION DEVICE BIG60 60ML,$105.00 
"INFLATION DEVICE, LEVEL 2",$86.10 
INFLATION SYS NVISION VLE,$435.00 
INFLIXIMAB INJ 10 MG,$254.99 
INFLIXIMAB INJ 10MG (10X),$254.99 
INFLUENZA PF VACC QUAD FLUBLOK,$169.00 
INFLUENZA PF VACC QUAD FLUZONE,$64.00 
INFLUENZA VACC HIGH DOSE SYR,$169.00 
INFLUENZA VACC QUAD FLUCELVAX,$76.00 
INFLUENZA VACC QUAD PEDS SYR,$69.00 
INFLUENZA VIRUS ANTIBODY,$105.00 
INFUSE DONOR LYMPHOCYTES,"$2,810.00 "
INHALATION TREATMENT,$295.00 
INHIBIN A,$239.00 
INJ AIR/CONTRAST-PERITON CAV,$275.00 
INJ ANTIBIOTIC IM,$255.00 
INJ ANTIOBIOTIC IM,$255.00 
INJ ANY MED SQ OR IM,$255.00 
INJ CONTRAST CVAD- INCL FLUORO,$497.00 
INJ DRUGS IN CORPORA CAVERNOSA,$350.00 
INJ EPIDURAL BLOOD/CLOT PATCH,$999.00 
INJ- EPIDURAL-BLOOD OR PATCH,$999.00 
INJ FOR ABD AORTOGRAM,"$1,273.00 "
INJ FOR CHOLANGIOGRAM EXISTING,"$2,985.00 "
"INJ FOR CHOLANGIOGRAM, NEW","$3,050.00 "
"INJ FOR CHOLANGIOGRAM,EXIS","$2,985.00 "
INJ NEPHRO/URETER EXIST ACC BI,"$2,691.00 "
INJ PERC RX PSEUDOANEUR EXT,$752.00 
INJ VASCULAR PROC (UNLISTED),$275.00 
INJ. IDENTIFY SENTINEL NODE,$640.00 
INJ/ASP RENAL CYST ASPIRI- PER,"$1,563.00 "
INJ/ASP RENAL CYST NEEDLE PERC,$862.00 
INJECT EPIDURAL PATCH,$999.00 
INJECT FOR EXTREM VENOGRAPHY,$974.00 
INJECTION BY SC/IM,$255.00 
INJECTION FOR VENOGRAPHY,$974.00 
INJECTOR SPINEJACK 5-5.8MM,$181.00 
INOTUZUMAB OZOG 0.1MG INJ (9X),"$7,480.00 "
INOTUZUMAB OZOGAM  0.9MG INJ,"$7,480.02 "
INS IVC FILTER,"$10,273.00 "
INS OF PERITONEAL-VEN SHUNT,"$3,398.00 "
INS PICC WO PORT/PUMP AGE 5&UP,"$3,881.00 "
INS TUN CVC W PORT-AGE 5 & UP,"$3,881.00 "
INS TUN CVC WO PORT/PUMP<AGE 5,"$4,272.00 "
INS TUN CVCWO PORT-AGE 5ANDUP,"$3,881.00 "
INS TUNN INTRAPERITONEAL CATH,"$3,737.00 "
INS VAG BRACHYTX DEVICE,"$1,229.00 "
INS/RP LEADLESS PPM VENTRCULAR,"$15,790.00 "
INS/RP SQ DEF W/SQ LEA W/EVAL,"$22,879.00 "
INSERT 1-CHMBR ICD LEADS & GEN,"$13,812.00 "
INSERT 2-CHMBR ICD LEADS & GEN,"$13,812.00 "
INSERT CATHETER IN ARTERY,$359.00 
INSERT EMERGENCY AIRWAY,$713.00 
INSERT FOLEY FOR INCONTINENCE,$196.00 
INSERT HEART CATH -SWAN-GANZ,"$8,822.00 "
INSERT INTRA-AORTIC BALL. PUMP,"$5,598.00 "
INSERT IVC FILTER,"$10,273.00 "
INSERT LV-LEAD TO EXIST PM/ICD,"$14,096.00 "
INSERT NASO TUBES,$389.00 
INSERT NON-TUN CVC-<AGE 5,"$3,528.00 "
INSERT NON-TUN CVC-AGE 5 & UP,"$3,528.00 "
INSERT NON-TUN CVC-AGE 5AND UP,"$3,528.00 "
INSERT PERC ARTERIAL VAD,"$5,598.00 "
INSERT PERMANENT PM W/AV-LEADS,"$9,096.00 "
INSERT PERMANENT PM W/V-LEADS,"$8,845.00 "
INSERT PERMNNT 1-CHAMBER LEAD,"$11,609.00 "
INSERT PICC WO PORT/PUMP<AGE 5,"$3,528.00 "
INSERT TEMPORARY 1-CHAMBR LEAD,"$4,859.00 "
INSERT TEMPORARY 2-CHMBR LEADS,"$9,719.00 "
INSERT/PLACE SWAN-GANZ,"$8,822.00 "
INSERTION OF CERVICAL DILATOR,$541.00 
INSERTION OVOIDS AND TANDEMS,"$2,637.00 "
INSRT LV-LEAD TO INIT'L PM/ICD,"$8,834.00 "
INSTINCT ENDOSCOPIC CLIP DEVIC,$441.00 
INSUL HUMAN 70/30 VL 5U(200X),$0.05 
INSUL NOVOL 70/30 VL 5U(200X),$1.66 
INSULIN ANTIBODIES,$227.00 
INSULIN ASPART 100U/ML 3ML SYR,$6.17 
INSULIN ASPART PEN 5U-(X 60),$6.17 
INSULIN ASPART VIAL 5U-200X,$0.79 
INSULIN ASPART/PROTAMINE PER5U,$1.66 
INSULIN DETEMIR PER 5U,$1.58 
INSULIN DETEMIR VIAL 5U-200X,$1.58 
INSULIN GLARGIN 5UN (60X) PEN,$4.73 
INSULIN GLARGIN VIAL 5U(200X),$3.78 
INSULIN GLARGINE 100U/ML PEN,$4.73 
INSULIN GLARGINE PER 5 UNIT,$3.78 
INSULIN GLULISINE 300U/3ML SYR,$6.24 
INSULIN HUMAN NPH VL 5U-200X,$0.32 
INSULIN HUMAN REG VIAL 5U(60X),$0.05 
INSULIN HUMAN REG VL 5U-200X,$0.05 
INSULIN LISPRO PER5U(X60) VIAL,$4.65 
INSULIN NPH HUMAN U-100 PER 5U,$0.32 
"INSULIN REG HUMAN U-100,1U",$0.05 
"INSULIN, TOTAL",$103.00 
"INSULIN,ASPART INJ PER 5U",$0.79 
INT & ASPIR INCLD LAVAGE,$777.00 
INTEG BLYR MESH DSG (CHG 25),$320.00 
"INTEGRA BWMD P/SQ CM, 500SQCM",$81.39 
INTEGRA FLOWABLE WND MATRIX 3C,"$5,223.32 "
"INTERCEED TC7 BARRIER 3"" X 4""",$956.20 
INTERFERON A 2B 1MIL INJ(10X),$74.10 
"INTERFERON ALFA-2B REC,MILL.UN",$74.10 
INTERJECT SCLEROTHERAPY NEEDLE,$214.20 
INTERNAL CAROTID STENT,"$6,715.00 "
INTERROGATION VAD,$237.00 
INTR/SHEATH PERFORMER 10F 30CM,$178.50 
INTR/SHEATH/CATH TIPS 16G 9F,"$1,590.00 "
INTRACARDIAC ECHOCARDIOGRAPHY,"$9,962.00 "
INTRACARDIAC EPS 3-D MAPPING,"$10,990.00 "
"INTRACORONARY US, EA ADDED VES","$1,810.00 "
"INTRACORONARY US, FIRST VESSEL","$2,248.00 "
INTRAOCULAR INJECTION,$350.00 
INTRAOCULAR LENS LEVEL 10,"$1,061.55 "
INTRAOCULAR LENS LEVEL 4,$426.30 
INTRAOCULAR LENS LEVEL 5,$541.80 
"INTRAOP CYTOPATH CONSULT,INIT",$628.00 
INTRCORNRY US IVUS/OCT 1ST VES,"$2,248.00 "
INTRCORNRY US IVUS/OCT ADD VES,"$1,810.00 "
INTRINSIC FACTOR ANTIBODY,$114.00 
INTRO NEEDLE EXTREMITY ARTERY,$595.00 
"INTRO/SHEATH,BRITE TIP,LEVEL 9",$324.45 
"INTRO/SHEATH,DILATOR,LEVEL 1",$51.45 
"INTRO/SHEATH,FIXD/NONPEEL,L-11",$471.45 
"INTRO/SHEATH,FIXD/NONPEEL,L-13",$641.55 
"INTRO/SHEATH,NONEP NOLASER,L-1",$51.45 
"INTRO/SHEATH,NONEP NOLASER,L-2",$86.10 
"INTRO/SHEATH,NONEP NOLASER,L-3",$110.25 
"INTRO/SHEATH,NONEP NOLASER,L-6",$222.60 
"INTRO/SHEATH,NONEP NOLASER,L-7",$256.20 
"INTRO/SHEATH,NONEP NOLASER,L-9",$324.45 
"INTRO/SHEATH,NONEP NOLASR,L-13",$641.55 
"INTRO/SHEATH,NONLASER, LEV1",$78.75 
"INTRO/SHEATH,NONLASER, LEV10",$593.25 
"INTRO/SHEATH,NONLASER, LEV13",$987.00 
"INTRO/SHEATH,NONLASER, LEV14","$1,118.25 "
"INTRO/SHEATH,NONLASER, LEV2",$131.25 
"INTRO/SHEATH,NONLASER, LEV3",$183.75 
"INTRO/SHEATH,NONLASER, LEV4",$236.25 
"INTRO/SHEATH,NONLASER, LEV5",$288.75 
"INTRO/SHEATH,NONLASER, LEV6",$341.25 
"INTRO/SHEATH,NONLASER, LEV7",$393.75 
"INTRO/SHEATH,NONLASER, LEV8",$446.25 
"INTRO/SHEATH,NONLASER, LEV9",$498.75 
"INTRO/SHEATH,NONLASER,LEVEL 10",$386.40 
"INTRO/SHEATH,NONLASER,LEVEL 2",$86.10 
"INTRO/SHEATH,NONLASER,LEVEL 22","$1,410.15 "
"INTRO/SHEATH,NONLASER,LEVEL 23","$1,496.25 "
"INTRO/SHEATH,NONLASER,LEVEL 4",$154.35 
"INTRO/SHEATH,NONLASER,LEVEL 5",$187.95 
"INTRO/SH'TH,FIXD/PEELAWAY,L-12",$556.50 
"INTRO/SH'TH,FIXD/PEELAWAY,L-19","$1,155.00 "
"INTRO/SH'TH,FIXD/PEELAWAY,L-2",$86.10 
"INTRO/SH'TH,FIXD/PEELAWAY,L-24","$1,530.90 "
"INTRO/SH'TH,FIXD/PEELAWAY,L-5",$187.95 
"INTRO/SH'TH,FIXD/PEELAWAY,LEV1",$78.75 
"INTRO/SH'TH,FIXD/PEELAWAY,LEV4",$236.25 
"INTRO/SH'TH,FIXD/PEELAWAY,LEV5",$288.75 
"INTRO/SH'TH,STRBLE-NONPEEL,L27","$1,963.50 "
"INTRO/SH'TH,STRBLE-NONPEEL,L33","$2,988.30 "
"INTRO/SH'TH,STRBLE-NONPEEL,L36","$3,843.00 "
"INTRO/SH'TH,STRBLE-NONPEEL,L-5",$187.95 
INTRVASC US NONCORONARY 1ST,"$1,273.00 "
INTRVASC US NONCORONARY ADDL,$585.00 
"INTUBATION, ET, EMERGENCY",$713.00 
IOFLUPANE I-123 INJ-UP TO 5MCI,"$7,116.64 "
IP CODE BLUE,"$4,334.00 "
IPILIMUMAB 1 MG INJECTION,$451.85 
IPILIMUMAB 1MG INJ (200X),$451.85 
IPILIMUMAB 1MG INJ (50X),$451.85 
IPRATROPIUM 0.02% INH SOL 2 ML,$16.60 
IPRATROPIUM BROMIDE INHALER,$373.62 
IPRATROPIUM INH SOLN 2.5 ML,$16.60 
"IPRATROPIUM NASAL, 0.03% 30 ML",$235.24 
"IPRATROPIUM NASAL, 0.06% 15 ML",$199.27 
IRBESARTAN 150 MG TAB,$8.32 
IRBESARTAN 150 MG TABLET,$8.32 
IRINOTECAN INJ 20MG (15X),$27.00 
IRINOTECAN INJ 20MG (2X),$27.00 
IRINOTECAN INJ 20MG (5X),$27.00 
"IRINOTECAN INJ, 20 MG",$847.10 
IRON ASSAY,$68.00 
IRON BINDING CAPACITY (IBC),$75.00 
IRON POLYSACCHARIDE 150MG CAP,$4.15 
IRON SUCROSE INJ 1MG (100X),$7.27 
"IRON SUCROSE INJECTION, 1 MG",$7.27 
IRRADIATION OF BLOOD PRODUCT,$57.00 
"IRRADIATION, BLOOD, EACH UNIT",$57.00 
"IRRIGATING 0.9% NACL, 1L",$19.95 
IRRIGATION IMPLANT VAD,$462.00 
ISAVUCONAZONIUM 186MG CAP,$208.22 
ISAVUCONAZONIUM 1MG INJ (372X),$1.92 
ISAVUCONAZONIUM 1MG INJECTION,$1.92 
ISLET CELL ANTIBODY,$152.00 
ISONIAZID 100MG TABLET,$0.47 
ISONIAZID TABLET 300MG,$0.20 
ISOPROTERENOL 0.2 MG/1 ML IV,"$6,766.64 "
ISOPROTERENOL 1MG/5ML AMPULE,"$6,766.64 "
ISOPROTERENOL 2MG/250ML,"$13,533.28 "
ISOSORBIDE 30MG ERT,$1.39 
ISOSORBIDE DINITRATE 10 MG TAB,$0.20 
ISOSORBIDE DINITRATE 20 MG TAB,$0.20 
ISOSORBIDE MNT 20 MG TAB ISMO,$5.53 
ISOSORBIDE MNT 60 MG TAB IMOUR,$5.53 
ISOSORBIDE MONO 20 MG SR TAB,$5.53 
ISOSORBIDE MONO 30MG ER TAB,$1.39 
ISOSORBIDE MONO 60MG ER TAB,$5.53 
ISOSORBIDE TABLET-ORAL 10MG UD,$0.20 
ISOSORBIDE TABLET-ORAL 20MG UD,$0.20 
ISOSULFAN BLUE 1MG INJ (50X),"$2,170.56 "
"ISOSULFIN BLUE INJ., 10 MG/5ML","$2,170.56 "
ISOVUE-300 100ML PER 1ML,$0.27 
ISOVUE-300 50ML PER 1ML,$0.27 
ISOVUE-370 500ML PER 1ML,$0.30 
ISOVUE-M 200 20ML PER 1ML,$2.00 
ISRADIPINE 2.5MG CAPSULE,$2.77 
ISRADIPINE 5MG CAPSULE,$8.32 
"ITRACONAZOLE CAPSULE, 100 MG",$41.52 
ITRACONAZOLE ORAL SOLN/1 MG,$0.20 
IUD INSERTION,$374.00 
IV HYDRATION > 30 MIN 1ST HOUR,$765.00 
IV HYDRATION EA ADD'L HOUR,$223.00 
IV INFUSION > 15 MIN 1ST HOUR,$827.00 
IV INFUSION EA ADD'L HOUR,$178.00 
IV SOLUTIONS - BASE,$6.30 
IVABRADINE 5MG TAB,$25.80 
IVABRADINE 5MG TABLET,$25.80 
IVABRADINE 7.5MG TAB,$25.80 
IVERMECTIN 3 MG TAB,$19.37 
IVERMECTIN 3MG TABLET,$19.37 
IVIG - OCTAGAM 10% 500MG (10X),$256.65 
IVIG - OCTAGAM 10% 500MG (40X),$256.65 
IVIG - OCTAGAM 5% 500MG (20X),$257.00 
IVIG GAMUNEX 500MG(X20),$197.34 
IVIG GAMUNEX 500MG(X40),$197.34 
IVIG GAMUNEX 500MG(X80),$197.34 
IVIG GAMUNEX LIQ 500MG(X10),$197.34 
IVIG INFUSION 1ST HOUR,$827.00 
IVIG INFUSION EACH ADDL HOUR,$178.00 
IVIG-GAMMAGARD LIQ 500MG (20X),$79.95 
IVIG-GAMMAGARD LYO 500MG(20X),$166.95 
IVIG-GAMUNEX-C LIQ 500MG (10X),$197.34 
IVIG-GAMUNEX-C LIQ 500MG (20X),$142.40 
IVIG-GAMUNEX-C LIQ 500MG (40X),$197.34 
IVIG-GAMUNEX-C LIQ 500MG (80X),$197.34 
IVP INITIAL DRUG,$403.00 
IVP SAME DRUG > 30 MINUTES,$233.00 
"IVP, EA ADD'L NEW DRUG",$290.00 
IVPB NON CHEMO-CONCUR UP TO1HR,$146.00 
"IVUS NON COR, ADD'L VES,PERI",$585.00 
"IVUS NON COR, INIT VESSEL","$1,273.00 "
"IVUS NON COR, INIT VESSEL,PERI","$1,273.00 "
IXABEPILONE INJ 1MG (45X),$307.00 
IXABEPILONE INJECTION 1 MG,$260.10 
JAGTOME RX 44 W/ JAGWIRE,$941.85 
JAGWIRE HIGH PERFRM GUIDEWIRE,$565.95 
JAK 2 EXON 12 MUTATION,"$1,678.00 "
JAK 2 GENE V617F MUTATION,$570.00 
JCV ANTIBODY,"$4,093.00 "
J-TUBE SET W/GWIRE 12F 95CM,$314.94 
K PHOS NEUTRAL TAB,$4.15 
KAYEXELATE SUSP 15GM/60ML UD,$55.36 
KCL 2MEQ(10X)D5-1/2 NS 1000ML,$6.30 
"KERECIS PER SCM, 3X3.5CM, USED",$105.00 
"KERECIS PER SCM, 3X7 CM, USED",$105.00 
KETAMINE 500 MG/10ML INJ SOL,$125.94 
KETAMINE VL 500MG/10ML,$125.94 
KETOCONAZOLE CREAM 2% PER TUBE,$66.43 
KETOCONAZOLE SHAMPOO,$55.36 
KETOCONAZOLE TAB 200MG,$41.52 
KETONE BODIES QUANTITATIVE BHB,$63.00 
KETOROLAC 0.5% OPHTH SOL 10ML,$257.39 
KETOROLAC 10 MG TAB,$2.16 
KETOROLAC 10MG TAB,$6.48 
KETOROLAC 15 MG/1 ML INJECT,$13.07 
KETOROLAC INJ 15MG (2X),$9.45 
KETOROLAC INJ PER 15MG,$9.45 
"KETOROLAC INJECTION, 15 MG",$13.07 
KETOROLAC OPTHALMIC 0.5% SOL,$257.39 
KETOTIFEN OPTHALMIC 0.025% SOL,$222.80 
KIDNEY FLOW/FUNCTION W/O PHARM,"$2,439.00 "
KIDNEY FLOW/FUNCTION W/PHARM.,"$1,533.00 "
"KIT ASP816VAL MUTATION AN.,B","$2,036.00 "
KIT FASTNR SEROSAFUSE 7.5MM,"$14,934.00 "
KIT MUTATION ANALYSIS,"$1,846.00 "
KIT ORBERA BALLOON EXTRACTION,$282.00 
KIT QUICKPLACE STENT INS F/10F,$175.95 
KIT VERT AUG AVAMAX PLUS,"$1,547.91 "
"KIT,BALLARD READY CARE ORAL 50",$24.15 
KLEIHAUER-BETKE STAIN,$81.00 
"KNEE, 3 VIEWS",$630.00 
"KNEE, 3 VIEWS, LEFT",$630.00 
"KNEE, 3 VIEWS, RIGHT",$630.00 
"KNEE, 4 OR MORE VIEWS, LEFT",$683.00 
"KNEE, 4 OR MORE VIEWS, RIGHT",$683.00 
"KNEE, ONE OR TWO VIEWS, LEFT",$312.00 
"KNEE, ONE OR TWO VIEWS, RIGHT",$312.00 
"KNEES, BOTH, STANDING & AP",$505.00 
KNIFE ELECTRO DUALKNF J 165CM,"$2,466.00 "
KNIFE ELECTROSURGICAL ITKNIFE2,"$1,556.25 "
KNIFE HYBR T TYPE IJET 2.3X1.9,"$1,467.00 "
KOH TISSUE EXAM,$50.00 
L&D UNLISTED PROCEDURE,$488.00 
LABATELOL INJECTION 20 MG/4 ML,$10.51 
LABETALOL 100 MG TAB,$4.15 
LABETALOL 10MG/ML ORAL SUSP,$0.32 
LABETALOL 20 MG/4ML IV SOL,$10.51 
LABETALOL 40MG/ML ORAL SUSP,$0.81 
LABETALOL AMP 100MG/20ML,$260.15 
LABETALOL TAB 100MG UD,$4.15 
LABORATORY PROCESSING FEE,$53.00 
LACOSAMIDE 200 MG TABLET,$23.35 
LACOSAMIDE 200MG TAB,$23.35 
LACOSAMIDE 50 MG TABLET,$12.84 
LACOSAMIDE 50MG TAB,$12.84 
LACOSAMIDE 50MG/5ML ORAL SUSP,$5.39 
LACOSAMIDE INJ 1MG(200X) VIAL,$0.67 
LACOSAMIDE INJECTION 1 MG,$0.67 
LACRI-LUBE OPTH-OINT 3.5G,$74.74 
LACTASE 3000 UNIT TAB,$0.22 
LACTATE DEHYDROGENASE (LD)(LDH,$89.00 
LACTATED RINGER IV SOL 1000ML,$5.31 
LACTATION IP CONSULT,$224.70 
LACTIC ACID ASSAY,$236.00 
LACTINEX PACKETS,$6.92 
LACTOBACILLUS ACIDOPHILU 1GM/P,$6.92 
LACTOBACILLUS ACIDOPHILUS CAP,$8.32 
LACTOBACILLUS CAPSULE,$8.32 
LACTOBACILLUS RHAM POWDER PKT,$1.89 
LACTOBACILLUS RHAM PWDR PKT,$1.89 
LACTULOSE 10GRAM/15ML BULK SYR,$49.81 
LACTULOSE ENEMA 200GM(300ML),$9.23 
LACTULOSE ENEMA NORMAL SALINE,$9.23 
LACTULOSE LIQ 20GM/30ML UD,$49.81 
LAMIVUDINE 100MG TABLET,$50.72 
LAMIVUDINE 150 MG TAB,$30.45 
LAMIVUDINE SOL'N 10 MG/ML,$12.45 
LAMIVUDINE/ZIDOVUDIN150/300TAB,$18.65 
LAMOTRIGENE 25MG CHEWABLE,$0.28 
LAMOTRIGINE 100 MG TAB,$12.45 
LAMOTRIGINE 25 MG TAB,$12.45 
LAMOTRIGINE TAB 100 MG,$12.45 
LAMOTRIGINE TAB 25 MG,$12.45 
LANOLIN TOPICAL OINT 60GM,$37.36 
"LANOLIN, MODIFIED, TUBE 60 GM",$37.36 
LANREOTIDE 1MG DEPOT INJECTION,$121.40 
LANREOTIDE 1MG INJ (120X),$204.90 
LANSOPRAZOLE 3MGML ORALNICU SP,$1.39 
LANSOPRAZOLE SUSPENSION PER MG,$1.39 
"LANTHANUM 250 MG, PER CHEWABLE",$4.15 
"LANTHANUM 500 MG, PER CHEWABLE",$8.32 
LANTHANUM CARBONATE 500MG TAB,$8.32 
L-ARG/L-LYS 25/25 GM INJ,$360.00 
LASER SURCHARGE (CO2),"$1,504.00 "
LASER SURCHARGE (HOLMIUM-URO),"$7,079.00 "
LAT TOPICAL GEL,$10.40 
LATANOPROST 0.005% OPTH SOL,$282.30 
"LATANOPROST OPTH-SOLN, 0.005%",$282.30 
LAVAGE,$389.00 
LEAD ASFXOTW 78CM BPLR,"$5,364.00 "
LEAD ASSAY,$92.00 
LEAD ATTAIN PERFORMA 429888,"$7,104.00 "
LEAD ATTAIN PERFORMA 459888,"$7,104.00 "
LEAD ATTAIN PROFORMA 88CM,"$20,052.90 "
LEAD CAPSURE FIX NOVUS 6FRX58,"$1,260.00 "
LEAD CAPSURE SENSE 45CM,"$1,260.00 "
LEAD CAPSURE SENSE 52CM,"$1,260.00 "
LEAD CAPSURE SENSE 58CM,"$1,260.00 "
LEAD CAPSUREFIX NOVUS 45,"$1,260.00 "
LEAD CS QFLX MICRO 92CM,"$5,100.00 "
LEAD DURATA 58CM BPLR 1COIL,"$9,000.00 "
LEAD DURATA 65CM BPLR 1COIL,"$9,000.00 "
LEAD EMBLEM S-ICD,"$13,500.00 "
LEAD ENDOTAK RELIANCE SG,"$9,000.00 "
LEAD ENDOTAK RELIANCE4SITE0293,"$9,000.00 "
LEAD ENPATH EPICARD 54CM,"$1,200.00 "
LEAD FINELINE II EZ STEROX 5.7,"$1,200.00 "
LEAD INGEVITY MRI 7740,"$1,200.00 "
LEAD INGEVITY MRI 7741-52,"$1,200.00 "
LEAD INGEVITY MRI 7742,"$1,200.00 "
LEAD LV QUARTET DBL 86,"$6,750.00 "
LEAD OPTISURE DUAL COIL,"$9,000.00 "
LEAD OPTISURE SING COIL 58 CM,"$9,000.00 "
LEAD PACING 5076-58,"$2,528.40 "
LEAD PACING ATTAIN ABILITY88CM,"$5,364.00 "
LEAD PACING CAPSURE SENSE,"$1,260.00 "
LEAD PACING STAND BIPOLAR 52CM,"$2,528.40 "
LEAD PM CS ACUITY 4555/90,"$5,100.00 "
LEAD QFLX MICRO 86CM BPLR,"$5,100.00 "
LEAD QUARTET QUADPOLAR LV LEAD,"$6,750.00 "
LEAD RELIANCE 4-SITE GORE,"$17,100.00 "
LEAD RELIANCE 4-SITE SING COIL,"$16,587.00 "
LEAD SELECTIVE SECURE 3830-69,"$1,260.00 "
LEAD SING OPTISURE DF4-65,"$13,230.00 "
LEAD SPRINT QUATTRO 6935M-62,"$20,052.90 "
LEAD SPRINT QUATTRO DUAL 62CM,"$9,471.00 "
LEAD SPRQS 8.6FRX55CM 4P/BPL,"$9,471.00 "
LEAD SPRQS 8.6FRX62CM 4P/BPLR,"$13,818.00 "
LEAD SPRQS S 55CM TRIPOL 1COIL,"$9,471.00 "
LEAD SPRQS S 62CM TRIPOL 1COIL,"$9,471.00 "
LEAD SPRQS S 65CM TRIPOL 1COIL,"$9,471.00 "
LEAD SUTURLESS BP 35CM,"$1,200.00 "
LEAD TENDRIL MRI PM 46CM,"$1,200.00 "
LEAD TENDRIL MRI PM 52CM,"$1,200.00 "
LEAD TENDRIL MRI PM 58CM,"$1,200.00 "
LEAD TENDRIL STS 46CM BPLR,"$1,200.00 "
LEAD TENDRIL STS 52CM BPLR,"$1,200.00 "
LEAD TENDRIL STS 58CM BPLR,"$1,200.00 "
"LEAD,CAP,LEVEL 3",$119.70 
"LEAD,CLAMP,LEVEL 2",$86.10 
"LEAD,KIT TORQ WRENCH,LEVEL 3",$119.70 
"LEAD,KIT,LEVEL 6",$222.60 
"LEAD,SLEEVE,LEVEL 2",$86.10 
"LEAD,STYLET,LEVEL 3",$119.70 
LEECHES 1 UN,$49.50 
LEFLUNOMIDE 10 MG TAB,$0.44 
LEFLUNOMIDE 10MG TABLET,$0.44 
LEFLUNOMIDE 20 MG TAB,$5.70 
LEFLUNOMIDE 20MG TABLET,$5.70 
LEGIONELLA ANTIBODY,$114.00 
"LEGIONELLA ANTINGEN, URINE",$125.00 
LEPTOSPIRA ANTIBODY,$125.00 
LET TOPICAL SOLN 3ML,$10.40 
LETERMOVIR 240MG TABLET,$702.00 
LETERMOVIR 480MG TAB,$702.00 
LETERMOVIR 480MG TABLET,$702.00 
LETERMOVIR 480MG/24ML INJ,$972.00 
LETERMOVIR 480MG/24ML PF SDV,$972.00 
LETROZOLE 2.5 MG TAB,$35.98 
"LETROZOLE TABLET, 2.5 MG",$35.98 
LEUCOVORIN 25MG TABLET,$21.89 
LEUCOVORIN CALC 50MG INJ (1X),$10.19 
LEUCOVORIN CALC 50MG INJ (2X),$10.19 
LEUCOVORIN CALC 50MG INJ (7X),$10.19 
LEUCOVORIN CALCIUM INJ 50 MG,$10.19 
LEUCOVORIN CALCIUM TAB 10MG,$53.97 
LEUCOVORIN CALCIUM TAB 15MG,$80.27 
LEUCOVORIN CALCIUM TABLET 5MG,$27.68 
LEUKOCYTE ANTIBODY,$343.00 
LEUKOCYTE HISTAMINE RELEASE,$123.00 
LEUPROL DEP 3.75MG (HORM) INJ,"$3,957.66 "
LEUPROL DEP PED 3.75MG HORM(3X,"$4,318.00 "
LEUPROLIDE 11.25MG INJ,"$3,957.66 "
LEUPROLIDE 22.5MG INJ,"$4,716.18 "
LEUPROLIDE 30MG INJ,"$4,716.18 "
LEUPROLIDE 45MG INJ,"$4,716.18 "
LEUPROLIDE ACETATE 3.75 MG INJ,"$3,957.66 "
LEUPROLIDE ACETATE 7.5 MG INJ,"$4,716.18 "
LEUPROLIDE DEP 7.5MG CHEMO(1X),"$5,253.00 "
LEUPROLIDE DEP 7.5MG CHEMO(3X),"$4,716.18 "
LEUPROLIDE DEP 7.5MG CHEMO(4X),"$4,716.18 "
LEUPROLIDE DEP 7.5MG CHEMO(6X),"$4,716.18 "
LEV 1-SURGPATH GROSS EXAM ONLY,$225.00 
LEV 2(LOW) EST CLINIC DSRIP,$368.00 
"LEV 2,SURGPATH,GROSS/MICRO EXM",$319.00 
LEV2(LOW) EST CLINIC PED ORTHO,$368.00 
LEV2(LOW) NEW CLINIC PED ORTHO,$404.00 
"LEV-3 SURGPATH,GROSS/MICRO EXM",$374.00 
LEV3(MID) EST CLINIC PED ORTHO,$420.00 
LEV3(MID) NEW CLINIC PED ORTHO,$462.00 
"LEV-4 SURGPATH,GROSS/MICRO EXM",$536.00 
LEV4(HIGH) EST CLNIC PED ORTHO,$473.00 
LEV4(HIGH) NEW CLNIC PED ORTHO,$520.00 
"LEV-5,SURGPATH GROSS/MICRO EXA",$630.00 
LEV-6 SURGPATH GROSS/MICRO EXM,$693.00 
LEVALBUTEROL SOL 1.25 MG/0.5ML,$10.27 
"LEVALBUTEROL SOLN, 0.63 MG/3ML",$12.45 
"LEVEL 1 (LOW) EST CLINIC, SURG",$315.00 
LEVEL 2 (LOW) EST CLINIC ORTHO,$368.00 
"LEVEL 2 (LOW) EST CLINIC, SURG",$368.00 
"LEVEL 2 (LOW) EST, CLINIC, URO",$368.00 
