CHARGES FOR SERVICES RENDERED,,
,,
,,
HCPCS Code,Description,new price
"70110,TC",XR MANDIBLE COMPLETE,$397.00
"71101,TC",XR RIBS UNI W/PA,$407.00
"73560,TC",XR KNEE <2 VIEW,$434.00
"73080,TC",XR ELBOW COMPLETE,$435.00
"73565,TC",XR KNEE BI STANDING,$435.00
"73562,TC",XR KNEE 3 VIEW,$444.00
"73564,TC",XR KNEE 4 VIEW,$460.00
"72120,TC",XR L-SPINE BENDING,$462.00
"72100,TC",XR L-SPINE 2 VIEW,$473.00
"72070,TC",XR T-SPINE 2 VIEW,$474.00
"71111,TC",XR RIBS BI W/PA CHST,$516.00
"74022,TC",XR ABD 2V+PA CHEST,$520.00
"72072,TC",XR T-SPINE COMPLETE,$520.00
"72050,TC",XR C-SPINE COMPLETE,$544.00
"72114,TC",XR L-SPINE COMP+BEND,$549.00
"72110,TC",XR L-SPINE COMPLETE,$587.00
"73521,TC",XR HIP BI W/PELVIS,$624.00
"77075,TC",XR SKELET SURV ADLT,$672.00
"73050,TC",XR AC JNTS W/WO WT'S,$192.00
"73551,TC",XR FEMUR 1 VIEW,$196.00
"77072,TC",XR BONE AGE SURVEY,$215.00
"71035,TC",XR CHEST DECUBITUS,$215.00
"71046,TC",XR CHEST 2 VIEW,$342.00
"71045,TC",XR CHEST 1 VIEW,$275.00
"74019,TC",XR ABD 2 VIEW,$422.00
"74018,TC",XR ABD 1 VIEW,$351.00
,MANUAL DIFF,$0.00
,RVS,$0.00
84155,PROTEIN ELECTROPHORESIS,$150.00
96375,IV PUSH-EACH ADDITIONAL NEW DRUG,$113.00
"20610,50",ARTHROCENTESIS ASPIRAT/INJ MAJOR JOINT BILATERAL (SC),$910.00
"G8978,GP",MOBILITY CURRENT STATUS,$1.00
"G8979,GP",MOBILITY PROJECTED GOAL,$1.00
"G8980,GP",MOBILITY DISCHARGE STATUS,$1.00
"G8981,GP",BODY POSITION CURRENT STATUS,$1.00
"G8982,GP",BODY POSITION PROJECTED GOAL STATUS,$1.00
"G8983,GP",BODY POSITION DISCHARGE STATUS,$1.00
"G8984,GP",CARRYING MOVING HANDLING CURRENT STATUS,$1.00
"G8985,GP",CARRYING MOVING HANDLING PROJECTED GOAL STATUS,$1.00
"G8986,GP",CARRYING MOVING HANDLING DISCHARGE STATUS,$1.00
"G8987,GP",SELF CARE CURRENT STATUS,$1.00
"G8988,GP",SELF CARE PROJECTED GOAL STATUS,$1.00
"G8989,GP",SELF CARE DISCHARGE STATUS,$1.00
"G8990,GP",OTHER PT OT PRIMARY SET CURRENT STATUS,$1.00
"G8991,GP",OTHER PT OT PRIMARY SET PROJECTED GOAL STATUS,$1.00
"G8992,GP",OTHER PT OT PRIMARY SET DISCHARGE STATUS,$1.00
"G8993,GP",OTHER PT OT SUBSEQUESNT SET CURRENT STATUS,$1.00
"G8994,GP",OTHER PT OT SUBSEQUENT SET PROJECTED GOAL STATUS,$1.00
"G8995,GP",OTHER PT OT SUBSEQUESNT SET DISCHARGE STATUS,$1.00
"97163,GP",PHYSICAL THERAPY EVAL HIGH COMPLEXITY,$212.00
"97750,GP",PHYSICAL PERFORMANCE TEST,$13.00
"97024,GP",SHORT WAVE DIATHERMY,$13.00
"64550,GP",APPLICATION OF SURFACE (TRANSCUTANEOUS) NEUROSTIMULATOR (TENS),$35.00
"97026,GP",LOW LEVEL LASER,$40.00
"97022,GP",APPLICATION OF WHIRLPOOL TO 1 OR MORE AREAS,$41.00
"97762,GP",PROSTHESIS TRNG 15 MIN,$41.00
"95851,GP",RANGE OF MOTION,$41.00
"97542,GP",WHEELCHAIR TRNG 15 MIN,$41.00
"97760,GP","ORTHOTICS TRNG, 15 MIN",$42.00
"95831,GP",MUSCLE TESTING MANUAL WITH REPORT EXTREMITY OR TRUNK,$45.00
"97016,GP",APPLICATION OF VASOPNEUMATIC DEVICE TO 1 OR MORE AREAS,$50.00
"97597,GP",DEBRIDMENT FIRST 20 SQUARE CM OR LESS,$51.00
"97018,GP",APPLICATION OF PARAFFIN BATH TO 1 OR MORE AREAS,$65.00
"97124,GP","MASSAGE, 15 MIN",$66.00
"97033,GP","IONTOPHORESIS, 15 MIN",$69.00
"97032,GP","ELECT STIM, MANUAL 15 MIN",$71.00
"97139,GP",PHONOPHORESIS 15 MIN,$75.00
"G0283,GP",ELECTRO-STIM UNATTENDED,$77.00
"97035,GP","ULTRASOUND, 15 MIN.",$77.00
"97112,GP",NEUROMUSCULAR RE-ED,$93.00
"97116,GP",GAIT TRAINING EA. 15 MIN,$98.00
"97530,GP",THERAPEUTIC ACTIVITY 15 M,$101.00
"97110,GP",THERAPEUTIC EXERCISE,$101.00
"97140,GP",MANUAL THERAPY 15MIN,$104.00
"97535,GP",ADL/HOME MGMT TRAINING 15,$108.00
"97164,GP",RE-EVALUATION,$111.00
97001,EVALUATION PT,$141.00
"97161,GP",PHYSICAL THERAPY EVAL LOW COMPLEXITY,$141.00
"97602,GP",WOUND CARE,$165.00
"97162,GP",PHYSICAL THERAPY EVAL MODERATE COMPLEXITY,$176.00
"97014,GP",ELECTRO-STIM UNATTENDED,$77.00
92526,TREATMENT OF SWALLOWING DYSFUNCTION AND/OR ORAL FUNCTION FOR FEEDING,$203.00
92610,EVALUATION OF ORAL AND PHARYNGEAL SWALLOWING FUNCTION,$203.00
92507,"TREATMENT OF SPEECH, LANGUAGE VOICE, COMMUNICATION AND/OR AUDITORY PROCESSING",$185.00
92508,"TREATMENT OF SPEECH, LANGUAGE,....GROUP, TWO OR MORE INDIVIDUALS",$55.00
97532,"DEVELOPMENT OF COGNITIVE SKILLS TO IMPROVE ATTENTION, MEMORY, PROBLEM SOLVING, DIRECT ONE ON ONE PATIENT CONTACT EACH 15 MINS",$116.00
97533,SENSORY INTEGRATIVE TECHNIQUES TO ENHANCE SENSORY PROCESSING EACH 15 MINS,$82.00
92521,"EVALUATION OF SPEECH FLUENCY (EG, STUTTERING, CLUTTERING)",$270.00
92522,"EVALUATION OF SPEECH SOUND PRODUCTION (EG, ARTICULATION, PHONOLOGICAL PROCESS)",$218.00
92523,"EVALUATION OF SPEECH SOUND PRODUCTION (EG, ARTICULATION, PHONOLOGICAL PROCESS)",$468.00
92524,BEHAVIORAL & QUANTITATIVE ANALYSIS OF VOICE RESONANCE,$208.00
92626,"EVALUATION OF AUDITORY REHABILITATION STATUS, FIRST HOUR",$203.00
92627,EVALUATION OF AUDITORY REHAB STATUS EACH ADDITIONAL 15 MINS,$53.00
96105,"ASSESSMENT OF APHASIA WITH INTERPRETATION AND REPORT, PER HOUR",$257.00
92630,AUDITORY REHABILITATION; PRE-LINGUAL HEARING LOSS,$179.00
92633,AUDITORY REHABILITATION; POST-LINGUAL HEARING LOSS,$179.00
96111,DEVELOPMENTAL SCREENING WITH INTERPRETATION AND REPORT,$129.00
96111,"DEVELOPMENTAL TESTING, WITH INTERPRETATION REPORT",$320.00
96125,STANDARDIZED COGNITIVE PERFORMANCE TESTING PER HOUR,$281.00
92597,EVALUATION FOR USE/FITTING OF VOICE PROSTHETIC DEVICE TO SUPPLEMENT ORAL SPEECH,$171.00
92605,EVALUATION FOR PRESCRIPTION OF NON-SPEECH-FACE TO FACE WITH PATIENT-FIRST HOUR,$225.00
92618,EVALUATION FOR PRESCRIPTION OF NON-SPEECH-FACE TO FACE WITH PATIENT-EACH ADD'L 30 MINUTES,$77.00
92606,THERAPEUTIC SERVICES FOR THE USE OF NON-SPEECH-PROGRAMMING AND MODIFICATION,$201.00
92607,EVALUATION FOR PRESCRIPTION FOR SPEECH-GENERATING FACE TO FACE FIRST HOUR,$310.00
92608,EVALUATION FOR PRESCRIPTION FOR SPEECH-GENERATING FACE TO FACE EACH ADD'L 30 MINS,$125.00
92609,THERAPEUTIC SERVICES FOR THE USE OF SPEECH-GENERATING DEVICE,$260.00
98967,TELEPHONE ASSESSMENT & MANAGEMENT SERVICE PROVIDED 11-20 MINUTES MEDICAL DISCUSSION,$66.00
98966,TELEPHONE ASSESSMENT & MANAGEMENT SERVICE PROVIDED 5-10 MIN OF MEDICAL DISCUSSION,$34.00
98968,TELEPHONE ASSESSMENT & MANAGEMENT SERVICE PROVIDED 21-30 MIN OF MEDICAL DISCUSSION,$97.00
98969,ONLINE ASSESEMENT & MANAGEMENT SERVICES PROVIDED,$53.00
99366,MEDICAL TEAM CONFERENCE WITH INTERDISCIPLINARY TEAM 30 MINS OR MORE,$109.00
99368,MEDICAL TEAM CONFERENCE WITH INTERDISCIPLINARY TEAM-FAMILY NOT PRESENT 30 MINS OR MORE,$93.00
,,
,,
"-HCPCS (Healthcare Common Procedure Coding System)/CPT(Current Procedural Terminology)-uniform coding system used to describe medical, surgical and diagnostic services as well as supplies and pharmaceuticals.  ",,
DISCLOSURES:,,
-The health care price for any given health care service is an estimate and that the actual charges for the health care service are dependent on the circumstances at the time the service is rendered.,,
"-If you are covered by health insurance, you are strongly encouraged to consult with your health insurer to determine accurate information about your financial responsibility for a particular health care service provided by a health care provider at this facility.  If you are not covered by health insurance, you are strongly encouraged to contact our billing office at 970-774-6123 to discuss payment options prior to receiving a health care service from a health care provider at this facility since posted health care prices may not reflect the actual amount of your financial responsibility.",,
-Prices are subject to change without notice.  ,,
