Procedure Number,Description,Standard Charge
111775,HC NEISS GONORRHOEAE DIRECT PROBE,$202.94 
111777,HC NEISSERIA GONORRHOEAE AMP PROB,$357.69 
111781,HC HPV HIGH RISK TYPES,$321.69 
111783,HC HPV TYPES 16 & 18 ONLY,$321.69 
111787,HC INF AGNT DNA RNA STA AU AMP PR,$357.69 
111789,HC INF AGNT DNA RNA MRSA AMP PR,$357.69 
111791,HC INF AGNT DNA RNA STRP B AMP PR,$355.22 
111793,"HC TRICHOMONAS VAGIN, DIR PROBE",$190.33 
111799,HC INFECT AGENT DNA AMP PROBE EA,$362.16 
111801,HC INFECT AGENT DNA QUANT EACH,$441.93 
111803,HC INFECT AGNT DNA MULT AMP PR,$122.29 
111805,HC INFLUENZA AG A OR B,$114.18 
111807,HC INFLUENZA ASSAY W/OPTI OBSRV,$72.70 
111809,HC RSV AG DIRECT OPTICAL OBSERVAT,$110.10 
111811,HC TRICHOMONAS ASSAY W/OPTIC,$121.39 
111813,HC STREP A RAPID DIRECT OPTICAL,$123.30 
111815,HC INF AGNT NOS IA DIRECT OPTICAL,$123.81 
111817,HC HIV GENOTYPE DNA REVERSE,"$2,233.40 "
111819,HC HEP C GENOTYPE DNA REVERSE,"$2,656.08 "
111821,HC SIALIDASE ENZYME ASSAY,$48.12 
111827,HC URINALYSIS NONAUTO W SCOPE,$82.93 
111829,HC URINALYSIS AUTO W SCOPE,$141.77 
111831,HC URINALYSIS NONAUTO W/O SCOPE,$57.36 
111833,HC URINALYSIS AUTO W/O SCOPE,$82.80 
111835,HC URINALYSIS QUAL/SEMI QUAN,$97.65 
111837,HC URINALYSIS MICROSCOPIC,$64.73 
111839,HC PREGNANCY TEST URINE,$64.49 
111841,HC URINALYSIS VOLUME MEASURE,$108.49 
111847,HC MOPATH PROCEDURE LEVEL 4,$322.25 
111849,HC HEXAGNAL PHOSPH PLTLT NEUTRL,$161.31 
111851,HC BB CONSULT XMATCH/AB EVAL,$213.08 
111853,HC BB CONSULT TRANSFUSION RXN,$269.41 
111855,HC INTRA-OP CYTO PATH CONSUL INIT,"$3,076.82 "
111857,HC INTRA-OP CYTOPATH CONSULT ADDL,$122.47 
111859,HC IHC PER SPEC EA ADDL AB SLIDE,$258.23 
111861,HC IHC PER SPEC 1ST AB SLIDE,"$1,462.65 "
111863,HC IHC PER SPEC EA MULTIPLEX AB,"$1,425.63 "
111867,HC CYTO NON-GYN SMEAR W INTERP,$379.53 
111869,HC CYTO NON-GYN FILTER METHOD INT,$212.39 
111871,HC CYTO CONCEN TECH SMEARS INTERP,$213.08 
111873,HC CYTO NON-GYN LIQUID BASED,$384.01 
111875,HC CYTO GYN THIN LAYER,$205.86 
111879,HC CYTO MATURATION INDEX,$60.63 
111881,HC CYTOPATHOLOGY FLUIDS,$85.47 
111883,HC CYTO NON-GYN SMEAR W PREP INT,$210.64 
111885,HC CYTO SMR EXT STUDY > 5 SLIDES,$384.48 
111887,HC CYTO GYN PAP,$101.82 
111889,HC CYTO FNA W IMMEDIATE EVAL,$713.78 
111891,HC CYTO FNA INTERP & REPORT,$384.01 
111893,HC DNA ANALYSIS FLOW CYTOMETRY,"$2,084.35 "
111895,HC FLOW CYTOMETRY FIRST MARKER,"$1,462.65 "
111897,HC FLOW CYTOMETRY ADDL MARKER EA,$122.79 
111899,HC FLOW CYTOMETRY INTERP 2-8,"$1,224.62 "
111901,HC FLOW CYTOMETRY INTERP 9-15,"$1,966.41 "
111903,HC FLOW CYTOMETRY INTERP 16 &MORE,$257.81 
111905,HC CHROMO CULT NON-NEO LYMPHOCYTE,$956.46 
111907,HC CHROMO CULT NON-NEO SOLID TISS,$751.38 
111909,HC CHROMO CULT NON-NEO AMNIO/CV,$864.29 
111911,HC CHROMO CULT NEO MARROW BLOOD,"$1,287.06 "
111913,HC CHROMO CULT SOLID TUMOR,"$1,475.14 "
111915,HC CHROMO ANL SISTER CHROMA 20-25,"$1,506.69 "
111917,HC CHROMO ANL BASELINE BREAKAGE,"$1,752.73 "
111919,HC CHROMO ANL 5 CELL 1K W BANDING,"$1,703.58 "
111921,HC CHROMO ANL 15-20 CELL 2K W BND,"$2,621.07 "
111923,HC CHROMO ANL 20-25 CELL ANALYZE,"$1,270.09 "
111925,HC CHROMO ANL AF/CV 15 CELL 1K BA,"$1,793.98 "
111927,HC CYTOGEN MOL DNA PROBE EA(FISH),$345.61 
111929,HC CYTOGEN MOL HYBRID 3-5 CELLS,$271.00 
111931,HC CYTOGEN MOL HYBRID 10-30 CELLS,$309.70 
111933,HC CYTOGEN MOL INTER 25-99 CELLS,$321.35 
111935,HC CYTOGEN MOL INTER 100-300 CELL,$409.27 
111937,HC CHROMO ANL ADD KARYOTYPE EA,$256.49 
111939,HC CHROMO ANL ADD SPEC BANDING,$694.27 
111941,HC CHROMO ANAL ADD CELLS COUNTED,$193.60 
111943,HC CHROMO ANL ADDL HIGH RES,$352.29 
111945,HC GYN PAP THIN LAYER SCREEN,$207.98 
111949,HC SCREEN GYN PAP,$101.82 
111951,HC PAP SMEAR SCREEN OBTAINING,$64.25 
111953,HC CYTP C/V AUTO THIN LYR ADDL,$84.56 
111955,HC SURG PATH GROSS ONLY LEVEL 1,$213.08 
111957,HC SURG PATH GROSS&MICRO LEVEL 2,$295.51 
111959,HC SURG PATH GROSS&MICRO LEVEL 3,$384.01 
111961,HC SURG PATH GROSS&MICRO LEVEL 4,$392.11 
111963,HC SURG PATH GROSS&MICRO LEVEL 5,"$1,462.65 "
111965,HC SURG PATH GROSS&MICRO LEVEL 6,"$3,076.82 "
111967,HC DECALCIFICATION PROCEDURE,$107.37 
111969,HC SPECIAL STAINS GROUP I,$384.01 
111971,HC SPECIAL STAINS GROUP II,$384.01 
111973,HC HISTOCHEMICAL STAIN W FROZEN,$166.46 
111975,HC HISTOCHEMISTRY FOR ENZYMES,"$2,966.84 "
111977,HC CONSULT ON REFERRED SLIDES,$213.08 
111979,HC CONSULT REFERRED W SLIDE PREP,"$1,299.54 "
111981,HC CONSULT REFERRED COMPREHENSIVE,$494.64 
111983,HC PATH CONSULT OR,$205.46 
111985,HC PATH CONSULT FIRST FROZEN SPEC,"$1,299.54 "
111987,HC PATH CONSULT FROZ EA ADDL BLOC,$120.42 
111989,HC IMMUNOFLUORESCENCE EA AB DIREC,"$1,414.20 "
111993,HC ELECTRON MICROSCOPY DIAGNOSTIC,"$3,232.39 "
111995,HC TUMOR IMMUNOHISTCHM EA AB MANU,"$1,462.65 "
111997,HC MORPHOMETRIC COMPUTER ASSIST,"$1,431.20 "
111999,HC EXAM ARCHIVE TISSUE MOLEC ANAL,$206.86 
112001,HC INSITU HYBRID EA ADD,$186.11 
112003,HC IN SITU HYBRID EA PROBE (FISH),"$1,250.70 "
112007,"HC INSITU HYBRIDIZATION, AUTO","$1,410.37 "
112015,HC MORPHMET ANAL ISH,$639.77 
112019,"HC PROSTATE BIOPSY, ANY MTHD","$1,410.37 "
112025,HC PATH PACKAGE PRICE ADJUST 312,$0.00 
112027,HC XR ORBIT FOR FOREIGN BODY,$956.23 
112029,HC XR MANDIBLE < 4 VIEW,$953.69 
112031,HC XR MANDIBLE MIN 4 VIEW,"$1,067.25 "
112033,HC XR MASTOIDS COMP MIN 3 VIEW,$862.09 
112035,HC XR FACIAL BONE < 3 VIEW,$673.67 
112037,HC XR FACIAL BONE COMP MIN 3 VIEW,"$1,022.80 "
112039,HC XR NASAL BONE COMPL MIN 3 VIEW,$788.62 
112041,HC XR ORBITS COMPL MIN 4 VIEW,"$1,183.43 "
112043,HC XR SINUS < 3 VIEW,$646.26 
112045,HC XR SINUS COMPL MIN 3 VIEW,"$1,048.79 "
112047,HC XR SELLA TURCICA,$572.11 
112049,HC XR SKULL < 4 VIEW,$758.54 
112051,HC XR SKULL MIN 4 VIEW,"$1,507.56 "
112053,HC XR TMJ UNILATERAL,$953.69 
112055,HC XR TMJ BILATERAL,"$1,239.79 "
112057,HC XR ORTHOPANTOGRAM,$514.70 
112059,HC XR NECK SOFT TISSUE,$638.63 
112061,HC XR PHARYNGEAL SPEECH EVAL,"$1,340.60 "
112063,HC SIALOGRAM S/I,$516.20 
112067,HC XR RIBS 2 VIEW,$997.45 
112069,HC XR RIBS 3 VIEW W PA CHEST,"$1,437.12 "
112071,HC XR RIBS 3 VIEW BI,"$1,595.75 "
112073,HC XR RIBS 4V INCL PA CHEST BI,"$1,668.56 "
112075,HC XR STERNUM MINIMUM 2 VIEW,$790.98 
112077,HC XR STERNOCLAVIC JNT MIN 3 VIEW,$793.31 
112081,HC XR SPINE 1 VIEW,$629.09 
112083,HC XR SPINE CERV 2 OR 3 VIEW,$805.81 
112085,HC XR SPINE CERVICAL 4 OR 5 VIEW,"$1,226.52 "
112087,HC XR SPINE CERVICAL 6 OR MORE,"$1,502.33 "
112091,HC XR SPINE THORACIC 2 VIEW,$832.28 
112093,HC XR SPINE THORACIC 3 VIEW,$998.73 
112095,HC XR SPINE THORACIC MIN 4 VIEW,"$1,198.48 "
112097,HC XR SPINE THOR-LUMB JUNC MIN 2V,$917.09 
112101,HC XR SPINE LUMBAR 2-3 VIEW,"$1,062.12 "
112103,HC XR SPINE LUMBAR MIN 4 VIEW,"$1,662.80 "
112105,HC XR SPINE LUMBAR MIN 6 VIEW,"$1,995.35 "
112107,HC XR SPINE LUMBAR BEND ONLY,"$1,351.17 "
112109,HC XR PELVIS 1-2 VIEW,$601.55 
112111,HC XR PELVIS MIN 3 VIEW,$698.15 
112113,HC XR SACROILIAC JOINT < 3 VIEW,$748.96 
112115,HC XR SACROILIAC JOINT MIN 3 VIEW,$911.32 
112117,HC XR SACRUM COCCYX MIN 2 VIEW,$783.24 
112119,HC MYELOGRAM CERVICAL S/I,"$2,034.31 "
112121,HC MYELOGRAM THORACIC S/I,"$1,565.30 "
112123,HC MYELOGRAM LUMBAR S/I,"$1,996.08 "
112125,HC MYELOGRAM 2 > REGIONS S/I,"$2,313.31 "
112127,HC EPIDUROGRAPHY S/I,"$1,037.05 "
112129,HC DISCOGRAPHY LUMBAR S/I,"$4,650.46 "
112131,HC XR CLAVICLE,$695.43 
112133,HC XR SCAPULA,$710.00 
112135,HC XR SHOULDER 1 VIEW,$541.72 
112137,HC XR SHOULDER MIN 2 VIEW,$806.85 
112139,HC XR AC JOINT W-W/O WEIGHTS BI,"$1,339.87 "
112141,HC XR HUMERUS MIN 2 VIEW,$697.95 
112143,HC XR ELBOW 2 VIEW,$593.52 
112145,HC XR ELBOW MIN 3 VIEW,$668.08 
112147,HC XR FOREARM 2 VIEW,$615.82 
112149,HC XR INFANT UP EXT MIN 2 VIEW,"$1,829.07 "
112151,HC XR WRIST 2 VIEW,$591.93 
112153,HC XR WRIST MIN 3 VIEW,$692.45 
112155,HC XR HAND 2 VIEW,$614.78 
112157,HC XR HAND MIN 3 VIEW,$657.27 
112159,HC XR FINGER MIN 2 VIEW,$607.41 
112173,HC XR KNEE 1-2 VIEW,$697.61 
112175,HC XR KNEE 3 VIEW,$732.98 
112177,HC XR KNEE MIN 4 VIEW,"$1,028.97 "
112179,HC XR KNEE STANDING AP BOTH KNEES,$854.22 
112181,HC XR TIBIA FIBULA 2 VIEW,$675.33 
112183,HC XR INFANT LOWER EXT MIN 2 VIEW,"$1,182.85 "
112185,HC XR ANKLE 2 VIEW,$524.56 
112187,HC XR ANKLE MIN 3 VIEW,$785.18 
112189,HC XR FOOT 2 VIEW,$598.76 
112191,HC XR FOOT MIN 3 VIEW,$712.09 
112193,HC XR CALCANEUS MIN 2 VIEW,$618.68 
112195,HC XR TOE MIN 2 VIEW,$563.75 
112197,HC XR ABDOMEN 1 VIEW AP,$552.74 
112199,HC XR ABDOMEN W AP/OBLIQUES/CONE,$804.48 
112201,HC XR ABDOMEN COMPLETE DECUB OR ERECT,$818.15 
112203,HC XR ABDOMEN 2 OR MORE VIEWS CHEST 1 VIEW,$896.88 
112205,HC PERITONEOGRAM S/I,"$2,209.37 "
112207,HC XR ESOPHAGRAM,"$1,121.99 "
112209,HC XR VIDEO SWALLOW,"$1,282.01 "
112211,HC XR UGI W/O KUB,"$1,238.78 "
112213,HC XR UGI W KUB,"$1,486.54 "
112215,HC XR UGI W SM BOWEL,"$1,903.17 "
112217,HC XR UGI W AIR CONTRAST W/O KUB,$589.91 
112219,HC XR UGI W AIR CONTRAST W KUB,"$1,511.08 "
112221,HC XR UGI W AIR CONTRAST SM BOWEL,"$1,936.82 "
112223,HC XR SMALL BOWEL SERIES,"$1,207.90 "
112225,HC XR SMALL BOWEL ENTEROCLYSIS,"$2,168.93 "
112227,HC XR BARIUM ENEMA W-W/O KUB,"$1,764.04 "
112229,HC XR BARIUM ENEMA W AIR CON,"$1,943.88 "
112231,HC XR ENEMA THERAPEUTIC,$998.72 
112233,HC XR CHOLECYSTOGRAM ORAL,$598.45 
112235,HC CHOLANGIOGRAM SURGERY S/I,"$2,940.43 "
112237,HC CHOLANGIOGRAM SURG ADDL S/I,$529.29 
112245,HC ENDO CATH BILIARY DUCT S/I,"$1,692.56 "
112247,HC ENDO CATH PANC DUCT S/I,"$1,692.56 "
112249,HC ERCP BILIARY PANC DUCT S/I,"$1,714.86 "
112251,HC FLUORO GI TUBE PLACE S/I,"$1,084.06 "
112253,HC FLUORO EGD DILATION S/I,$336.62 
112257,HC UROGRAPHY IV (IVP),$384.04 
112259,HC XR UROGRAPHY RETRO,"$1,071.65 "
112261,HC UROGRAPH ANTEGRADE PYLO S/I,"$1,793.29 "
112263,HC CYSTOGRAM MIN 3 VIEW S/I,"$1,320.20 "
112265,HC URETHROCYSTOGRAM RETRO S/I,"$1,531.16 "
112267,HC URETHROCYSTOGRAM VOIDNG S/I,"$1,592.13 "
112269,HC RENAL CYST STUDY S/I,"$1,770.70 "
112275,HC DILATION URETER OR URETHRA S/I,"$1,921.47 "
112277,HC HYSTEROSALPINGOGRAPHY S/I,"$1,326.52 "
112279,HC LYMPHANGIOGRAM ABD/PEL BI S/I,"$2,980.55 "
112281,HC SHUNTOGRAM INDW SHUNT S/I,$553.32 
112283,HC VENOGRAM EXTREMITY S/I,"$1,944.31 "
112285,HC VENOGRAM EXTREMITY BI S/I,"$3,915.48 "
112287,HC VENOGRAM CAVAL INFERIOR S/I,"$4,067.16 "
112289,HC VENOGRAM CAVAL SUPERIOR S/I,"$4,058.61 "
112291,HC VENOGRAM RENAL S/I,"$5,098.84 "
112293,HC VENOGRAM RENAL BI S/I,"$10,197.69 "
112295,HC VENOGRAM ADRENAL S/I,"$6,598.65 "
112297,HC VENOGRAM SINUS/JUGULAR S/I,"$2,655.15 "
112299,HC VENOGRAM SUP SAG SINUS S/I,"$2,855.78 "
112301,HC PORTOGRAPH W HEMO TIP S/I,"$4,958.65 "
112303,HC PORTOGRAPH W/O HEMO TIP S/I,"$2,071.34 "
112305,HC HEPATIC VENOGRAM W HEMO S/I,"$5,132.15 "
112307,HC HEPATIC VENOGRAM W/O HEM S/I,"$4,276.79 "
112309,HC VENOUS SAMPLE THRU CATH S/I,"$4,748.06 "
112311,HC EMBO HEAD/NECK/SPINE S/I,"$5,528.12 "
112315,HC TRNSCATH INFUS TX NON LYSIS FU,"$3,222.97 "
112317,HC REMOVE CATH MATERIAL S/I,$939.84 
112319,HC BRUSH OF INTRACATH CLOT S/I,$509.03 
112325,HC ENDOVASC AAA REPAIR S/I,"$1,809.66 "
112327,HC ENDOVASC AAA INFRARENAL OR ILIAC PROXIMAL OR DISTAL EXTENSION S/I,$163.58 
112329,HC ENDOVASC ILIAC REPAIR ILIO-ILIAC TUBE PROSTH S/I,"$7,834.26 "
112331,HC ENDOVASC TAA W SUBCLAV INITIAL INCL DISTAL EXTENSION S/I,"$2,373.28 "
112333,HC ENDOVASC TAA WO SUBCLAV INITIAL INCL DISTAL EXTENSION S/I,"$2,373.28 "
112335,HC ENDOVASC TAA DISTAL EXTENSION DELAYED S/I,"$12,238.87 "
112345,HC TRANSCATHETER BIOPSY S/I,"$4,664.01 "
112353,HC DRAIN CHNG PERC TUBE NON-GI S/I,"$1,117.79 "
112355,HC TUNNEL PLEURAL DRAIN GUIDANCE,"$2,227.45 "
112357,HC FLUOROSCOPY 1 HOUR OR LESS,"$1,085.34 "
112359,HC FLUOROSCOPY > 1 HOUR,"$1,292.09 "
112361,HC XR FOREIGN BDY ID CHILD 1 VIEW,$597.81 
112363,HC ABSCESS/FISTULA/SINUS S/I,"$1,449.07 "
112365,HC RAD EXAM SURGICAL SPECIMEN,$615.93 
112367,HC XR TOMOGRAM,"$1,085.98 "
112369,HC CINERADIOGRAPHY VALVE,"$1,727.69 "
112371,HC ANGIOGRAM PHRENIC DIAPHRAGM SI,"$1,174.62 "
112373,HC INJ TPA INTRA-ABD CATH S/I,"$1,292.09 "
112375,HC VENOGRAM ADDL SEL VESSEL S/I,"$3,524.18 "
112379,HC FLUORO CATH PLACE/RMVL/REPR,"$1,144.31 "
112381,HC FLUORO GUIDED NEEDLE PLACE,"$1,231.52 "
112383,HC FLUOROGUIDE FOR SPINE INJECT,"$1,017.99 "
112385,HC DUCTO/GALACTO 1 DUCT S/I,"$1,078.78 "
112387,HC DUCTO/GALACTO 2+ DUCT S/I,"$1,294.53 "
112389,HC XR STRESS VIEW JOINT,$485.18 
112391,HC XR BONE AGE STUDY,$462.97 
112393,HC XR BONE LENGTH STUDY,$185.80 
112395,HC XR OSSEOUS SURVEY LTD,$536.61 
112397,HC XR OSSEOUS SURVEY COMPLETE,"$1,444.99 "
112399,HC XR OSSEOUS SURVEY INFANT,$969.23 
112401,HC XR JOINT SURVEY 1 VIEW 2 JOINT,$508.39 
112403,HC DXA BONE DEN HIP PEL SP WO VFA,$690.93 
112405,HC DXA BONE DEN RAD WR HEEL,$816.97 
112407,HC DXA BONE DEN HIP PEL SP W VFA,$972.69 
112409,HC DXA BONE DEN VFA,$113.21 
112411,HC XR BARIUM ENEMA SCREENING,"$1,943.88 "
112413,HC ARTHROGRAM SHOULDER S/I,"$1,100.80 "
112415,HC ARTHROGRAM ELBOW S/I,"$1,203.70 "
112417,HC ARTHROGRAM WRIST S/I,"$1,265.58 "
112419,HC ARTHROGRAM HIP S/I,$859.39 
112421,HC ARTHROGRAM KNEE S/I,"$1,094.91 "
112423,HC ARTHROGRAM ANKLE S/I,$688.93 
112425,HC AORTOGRAPHY THORACIC S/I,"$4,978.64 "
112427,HC AORTOGRAPHY ABDOMINAL S/I,"$6,465.48 "
112429,HC AORTA/ABD/ILIOFEM/BI S/I,"$5,509.50 "
112431,HC ANGIOGR BRACH S/I,"$4,310.84 "
112433,HC ANGIOGRAM SPINAL S/I,"$6,485.27 "
112435,HC ANGIOGRAM EXTR S/I,"$4,117.69 "
112437,HC ANGIOGRAM EXTR BI S/I,"$7,747.14 "
112439,HC ANGIOGRAM VISCERAL S/I,"$6,159.10 "
112441,HC ANGIOGRAM ADRENAL S/I,"$4,500.48 "
112443,HC ANGIOGRAM PELVIS S/I,"$4,902.08 "
112445,HC ANGIOGRAM PULMONARY S/I,"$3,674.33 "
112447,HC ANGIOGRAM PULMONARY BI S/I,"$7,275.40 "
112449,HC ANGIOGRAM PULMONARY NONSELECTIVE S/I,"$2,353.68 "
112451,HC ANGIOGRAM INTERNAL MAMMARY S/I,"$3,038.99 "
112453,HC ANGIOGRAM EA ADDL VESSEL S/I,"$3,503.44 "
112457,HC XR CHEST 1 VIEW,$570.32 
112459,HC XR CHEST 1 VIEW EMP HEALTH,$570.32 
112461,HC XR CHEST 2 VIEW,$762.57 
112463,HC XR CHEST 2 VIEW EMP HEALTH,$762.57 
112465,HC XR CHEST 3 VIEW INCL AP LORDOTIC,$914.59 
112467,HC XR CHEST 3 VIEW INCL OBLIQUES,$914.59 
112469,HC XR CHEST 3 VIEW INCL FLUORO,"$1,115.11 "
112471,HC XR CHEST COMPLETE MIN 4 VIEW,"$1,238.74 "
112473,HC XR CHEST SPECIAL VIEW,$940.71 
112475,HC CHEMO SQ/IM NON-HORMONAL,$552.98 
112477,HC CHEMO SQ/IM HORMONAL,$552.98 
112479,HC CHEMO IV PUSH SNGL INIT DRUG,$626.71 
112481,HC CHEMO IV PUSH EA ADDL DRUG,$626.71 
112483,HC CHEMO INTRA-ARTERIAL PUSH,"$1,223.02 "
112485,HC LUMBAR PUNCTURE CHEMO,"$2,217.42 "
112487,HC SIMULATION SIMPLE,"$2,009.10 "
112489,HC SIMULATION INTERMED,"$2,831.42 "
112491,HC SIMULATION COMPLEX,"$3,945.56 "
112493,HC SIMULATION RESP MOTION MNGMNT,"$1,130.26 "
112495,HC 3D PLAN W HISTOGRAMS,"$10,714.39 "
112497,HC PLANNING ENB PRO W/CT & MAP,$312.74 
112499,HC BASIC DOSIMETRY CALCULATION,"$1,409.23 "
112501,HC IMRT TREATMENT PLANNING,"$18,043.20 "
112503,HC ISODOSE PLAN SIMPLE,"$6,780.81 "
112505,HC ISODOSE PLAN COMPLEX,"$7,555.86 "
112507,HC SPECIAL TELETHERAPY PORT PLAN,"$3,918.84 "
112509,HC SPECIAL DOSIMETRY,"$2,114.19 "
112511,HC TREATMENT DEVICE SIMPLE,"$1,553.43 "
112513,HC TREATMENT DEVICE INTERMEDIATE,"$2,000.44 "
112515,HC TREATMENT DEVICE COMPLEX,"$2,534.32 "
112517,HC CONTINUING MEDICAL PHYSICS,"$1,718.80 "
112519,HC MLC DEVICE DESIGN FOR IMRT,"$20,365.07 "
112521,HC SPECIAL PHYSICS CONSULT,"$2,586.46 "
112523,HC SINGLE FX SRS/SBRT LINAC BASED,"$13,001.32 "
112525,HC STEREOTACTIC BODY RADIATION,"$6,974.28 "
112527,HC RAD TX IMRT SMPL BRST OR PROST,"$5,723.46 "
112529,HC RAD TX IMRT COMPLX OTHER,"$6,868.15 "
112531,HC IMAGE GUIDANCE TX DELIVERY,"$1,951.22 "
112533,HC RADIATION TX SUPERFICL PER DAY,$707.54 
112535,HC RAD TX >1 MEV SMPL,$885.48 
112537,HC RAD TX >1 MEV INTERM,"$1,491.82 "
112539,HC RAD TX >1 MEV COMPLX,"$2,064.66 "
112541,HC PORT FILM,$621.09 
112543,HC SPECIAL TREATMENT PROCEDURE,"$11,525.20 "
112545,HC CHEMO IV INFUSION INIT TO 1 HR,$867.07 
112547,HC CHEMO IV INFUSION ADDL HR,$752.06 
112549,HC CHEMO IV PROLONGED >8H W/PUMP,$557.81 
112551,HC CHEMO IV INFUSION SEQUENTIAL,$867.07 
112553,HC CHEMO INTO PERITONEAL CAVITY,$976.88 
112555,HC THYROID UPTAKE SING OR MULTI,$807.43 
112557,HC THYROID IMAGING,"$1,502.24 "
112559,HC THYROID IMAG W VAS FL W UPTAKE,"$2,782.58 "
112561,HC THYROID CA/METS WHOLE BODY,"$4,249.40 "
112563,HC THYROID CA/METS UPTAKE,$471.04 
112565,HC PARATHYROID IMAGING,"$3,090.33 "
112567,HC PARATHYROID W SPECT,"$4,713.21 "
112569,HC PARATHYROID W CT SPECT,"$6,166.11 "
112571,HC BONE MARROW LIMITED AREA,$691.01 
112573,HC LYMPHATIC/LYMPH GLAND STUDY,"$2,877.15 "
112575,HC LIVER SCAN,"$1,996.85 "
112577,HC LIVER SPECT,"$3,078.78 "
112579,HC LIVER SPECT W VASCULAR,"$3,694.54 "
112581,HC LIVER/SPLEEN SCAN STATIC,"$1,944.92 "
112583,HC HEPATOBILIARY IMAGING,"$3,334.03 "
112585,HC HEPATOBILIARY IMAGING W PHARM,"$3,593.56 "
112587,HC GASTRIC EMPTYING IMAGE STUDY,"$2,799.06 "
112589,HC UREA BREATH TEST ISOTOPIC,$366.00 
112591,HC UREA BREATH TEST ANALYSIS,$916.27 
112593,HC GI BLOOD LOSS IMAGING,"$2,195.83 "
112595,HC INTESTINE IMAGING (MECKELS),"$2,008.51 "
112597,HC PERITONEAL SHUNT PATENCY,"$1,392.78 "
112599,HC BONE JOINT SCAN LIMITED,"$2,548.81 "
112601,HC BONE JOINT SCAN MULTI AREAS,"$3,058.57 "
112603,HC BONE JOINT SCAN WHOLE BODY,"$4,099.17 "
112605,HC BONE JOINT THREE PHASE,"$3,456.75 "
112607,HC BONE JOINT IMAGING SPECT,"$3,940.74 "
112609,HC CARDIAC SHUNT DETECTION,"$2,138.38 "
112611,HC MYOCARDIAL PERF SPECT SINGLE,"$7,355.23 "
112613,HC MYOCARDIAL PERF SPECT MULTI,"$8,927.83 "
112615,HC MYOCARDIAL INFARCTION SPECT,"$2,370.11 "
112617,HC CARDIAC BLOOD POOLING SINGL,"$3,305.31 "
112619,HC CARDIAC BLOOD POOLING MULTI,"$3,966.37 "
112623,HC LUNG SCAN VENTILATION,"$2,747.20 "
112625,HC LUNG SCAN PERFUSION,"$2,287.14 "
112627,HC LUNG SCAN VENT AND PERF,"$4,164.93 "
112629,HC LUNG PERFUSION DIFFERENTIAL,"$2,911.38 "
112631,HC LUNG VENT/PERF DIFFERENTIAL,"$2,911.38 "
112633,HC BRAIN IMAGING VASC FLOW < 4 VIEW,"$1,049.87 "
112635,HC BRAIN IMAGING VASC FLOW MIN 4 VIEW,"$1,974.56 "
112637,HC BRAIN COMPLETE W SPECT,"$4,712.91 "
112639,HC CISTERNOGRAPHY,"$4,077.75 "
112641,HC CEREBRAL SHUNT EVALUATION,"$1,697.72 "
112643,HC CEREBROSPINAL FLUID LEAKAGE,"$2,422.78 "
112645,HC KIDNEY W VASCULAR FLOW,"$1,165.53 "
112647,HC KIDNEY FLOW/FUNCTION SINGLE,"$3,199.24 "
112649,HC KIDNEY FLOW/FUNCT DRUG SINGLE,"$4,764.22 "
112651,HC KIDNEY FLOW/FUNCT W/WO DRUG >1,"$2,460.42 "
112653,HC KIDNEY SPECT,"$2,585.03 "
112655,HC URETER REFLUX VOIDING CYSTO,"$1,665.77 "
112657,HC TESTICULAR SCAN W VASC FLOW,"$1,424.46 "
112659,HC LOCALIZE RADIOPHARM WHOLE BODY,"$3,989.68 "
112661,HC LOCALIZATION RADIOPHARM SPECT,"$3,606.88 "
112663,HC LOC RADIOPH WHOLE BODY 2+ DAYS,"$4,565.75 "
112665,HC LOCALIZE INFLAM PROCESS LTD,"$2,296.98 "
112667,HC LOC INFLAM PROCESS WHOLE BODY,"$3,200.20 "
112669,HC LOCALIZE INFLAM PROCESS SPECT,"$2,271.30 "
112671,HC INJECT IV RA DRUG DX STUDY,$781.97 
112673,HC BRACHY ISO PLAN SIMPLE 1 CHANNEL,"$4,898.36 "
112675,HC BRACHY ISO PLAN INTERM 2-12 CHANNEL,"$5,300.44 "
112677,HC BRACHY ISO PLAN COMPLX > 12 CHANNEL,"$6,836.05 "
112679,HC INTRACAVITARY APPL COMPLEX,"$7,274.20 "
112681,HC INTERSTITIAL APPL COMPLEX,"$13,364.50 "
112689,HC LDR SURFACE APPL RADIOELEMENT,"$2,560.44 "
112691,HC SUPERVISION HANDLING LOAD RAD SOURCE,"$2,180.97 "
112693,HC RADIOPHARM TREATMENT ORAL ADMIN,"$3,449.87 "
112695,HC RADIOPHARM TREATMENT OTHER,"$1,864.33 "
112697,HC RP MONOCLONAL ANTIBODY IV,"$1,896.70 "
112699,HC RADIOPHARM TX INTRA ART PARTIC,"$1,992.13 "
112775,HC CT HEART W/O CONTRAST EVAL CA,"$3,609.77 "
112777,HC CT CARDIAC STRUCT/MORPH W/3D,"$3,399.75 "
112779,HC CTA HEART/CORONARY COMPLETE,"$1,189.93 "
112781,HC TUNNEL PLEURAL DRAIN GUIDANCE,"$2,227.45 "
112783,HC 3D RENDER W/O POST PROCESS,$761.12 
112785,HC 3D RENDER W POST PROCESS,"$1,702.88 "
112787,HC CT LTD OR FOLLOW UP STDY,"$2,120.40 "
112789,HC CT GUIDED NEEDLE PLACEMENT S/I,"$3,425.11 "
112791,HC CT GUIDED ABLATION,"$3,960.67 "
