No.,General Description,Charge
48100086,HC CORONARY STENT(S); SGL VSL,21853.00
48100087,HC DRUG ELUTING STENT(S); SGL VSL,27763.00
48100088,HC CORONARY STENT(S); SGL VSL,21853.00
48100089,HC DRUG ELUT STENT(S); ADD VSL,27763.00
48100090,"HC STENT REVASC BYPASS GRAFT,SGL",21853.00
48100091,"HC DES REVASC BYPASS GRAFT,SGL",27763.00
48100092,"HC STENT REVASC BYPASS GRAFT,ADD",21853.00
48100093,"HC DES REVASC BYPASS GRAFT,ADDL",27763.00
48100094,HC ATHERECTOMY W ANGIO; SGL VSL,27434.00
48100095,HC ATHERECTOMY W ANGIO;ADDL VSL,27434.00
48100096,COR STENT(S) W ATHER;SGL VSL,21853.00
48100097,DRUG ELUT STENT(S) W ATHER;SGL,27763.00
48100098,COR STENT(S) W ATHER;ADDL VSL,21853.00
48100099,DRUG ELUT STENT(S) W ATHER;ADD,27763.00
48100100,"COR REVASC AMI, SGL VSL",21853.00
48100101,"DES COR REVASC W AMI,SGL",27763.00
48100102,"COR REVASC CHR OCCL, SGL VSL",21853.00
48100103,"DES COR REVASC CHR OCCL,SGL",27763.00
48100104,"COR REVASC CHR OCCL,ADDL",21853.00
48100105,"DES COR REVASC CHR OCCL,ADDL",27763.00
48100106,EP & ABLATION FOR SVT,39862.00
48100107,EP & ABLATE VENTRIC TACHY,39862.00
48100108,TX ATRIAL FIB PULM VEIN ISOL,39862.00
48100109,ABLATE ARRHYTHMIA ADD ON,853.00
48100110,TX L/R ATRIAL FIB ADD ON,853.00
48100111,HC TRANSTRACHEAL INJ FOR BRONCHOGRAPHY,595.00
48100112,"HC INSERT VAD, PERC ARTERY ACCESS",8007.00
48100113,HC REMOVE VAD DIFFERENT SESSION,3776.00
48100114,HC REPOSITION VAD DIFF SESSION,3316.00
48100116,HC IV OCT (CORONARY) INIT VESSEL,15988.00
48100117,HC IV OCT (CORONARY) ADDL VESSEL,15988.00
48100118,HC INS/REP DEFIB SYS W/SUBQ EL,62033.00
48100119,HC INSERT SUBQ DEFIB ELECTRODE,11410.00
48100120,HC INSERT SUBQ DEFIB GENERATOR,62033.00
48100121,HC REMOVE SUBQ DEFIB GENERATOR,5746.00
48100122,REM/REP SUBQ DEFIB GENERATOR,62033.00
48100123,HC REMOVE SUBQ DEFIB ELECTRODE,5746.00
48100124,HC REPOS SUBQ DEFIB ELECT/GEN,5746.00
48100125,HC EP EVAL SUBQ DEFIB W/PROG PARAM,4243.00
48100126,HC BUNDLE OF HIS RECORDING,3148.00
48100127,HC IMPLANT PRESSURE SENSOR,38689.00
48100128,HC TRANSCATH TRICUSPID VALVE PLACEMENT,16162.00
48100129,"HC REM/REP SUBQ DEFIB GENERATOR, SINGLE LEAD",62033.00
48100130,"HC REM/REP SUBQ DEFIB GENERATOR, DUAL LEAD",62033.00
48100131,"HC REM/REP SUBQ DEFIB GENERATOR,MULTI LEAD",62033.00
48100132,HC REPAIR TRANSCATH MITRAL VALVE INITIAL,16162.00
48100133,HC REPAIR TRANSCATH MITRAL VALVE ADDITIONAL,13650.00
48100134,HC ARTERY EXPOS/GRAFT ARTERY,3336.00
48100135,HC TRANSCATH LAA CLOSURE W/IMPLANT,20406.00
48100136,HC TRLUML BALLOON ANGIOP 1ST ARTERY,18087.00
48100137,HC TRLUML BALLOON ANGIOP ADDL ARTERY,4522.00
48100138,HC TRLUML BALLOON ANGIOP 1ST VEIN,18087.00
48100139,HC TRLUML BALLOON ANGIOP ADD VEIN EA.,4522.00
48100140,HC PERC TRANSCATH CLS PARAVALVR LEAK MITRAL VALVE,55410.00
48100141,HC PERC TRANSCATH CLS PARAVALVR LEAK 1 AORTIC VALVE,55410.00
48100142,HC PERC TRANSCATH CLS PARAVALVR LEAK EACH OCCLS DEV,13853.00
48100143,HC IV US/IV OCT (CORONARY) INIT VESSEL,15988.00
48100144,HC IV US/IV OCT (CORONARY) ADDL VESSEL,7995.00
48100145,"HC REPAIR CORONARY FISTULA, W/O BYPASS",13650.00
48100146,HC PERQ REPAIR COARCTATION OF AORTA W STENT,15310.00
48131500,"HC INTUBATION, ET, EMERGENT",1514.00
48133010,HC PERICARDIOCENTESIS; INITIAL,1914.00
48133025,HC CREATE PERICARDIAL WINDOW/PARTIAL RESECT,9997.00
48133206,HC AAI PACER INSERTION,7504.00
48133207,HC VVI PACER INSERTION,8213.00
48133208,HC INS/REPL PERM PACEMAKER; AV,8352.00
48133210,HC INS/REPL TEMP TRANSV SC CARD ELECTR/CATH,4343.00
48133212,HC INS/REPL PG ONLY;SGL CHAMBER,6663.00
48133213,HC INS/REPL PG ONLY;DUAL CHAMBER,6787.00
48133214,HC UPGRADE IMPL PACEMKR; SC TO DC,8047.00
48133215,HC REPOSITION PACING-DEFIB LEAD,2791.00
48133216,HC INSERT 1 ELECTRODE PM-DEFIB,5652.00
48133217,HC INSERT 2 ELECTRODE PM-DEFIB,6830.00
48133218,HC REP SGLE TV ELECTRODE; SC PMKR/CD,3459.00
48133220,"HC REPAIR LEAD PACE-DEFIB, DUAL",1072.00
48133222,HC RELOCATION POCKET PACEMAKER,4586.00
48133223,HC RELOCATION POCKET FOR DEFIB,6617.00
48133224,HC INSERT PACING LEAD & CONNECT,4391.00
48133225,HC LV PACING LEAD ADD-ON,3848.00
48133226,HC REPOSITION L VENTRIC LEAD,4230.00
48133233,HC REMOVE PPM OR PG,3856.00
48133234,HC REMOVE 1-PACER LEAD ONLY,3459.00
48133235,HC REMOVE 2-PACER LEAD ONLY,7468.00
48133240,HC SC/DC ICD GENERATOR CHANGE,8007.00
48133241,HC SQ REM SC/DC ICD GENERATOR,3592.00
48133244,HC REM SC/DC ICD LEAD; TV EXTRACT,11041.00
48133249,HC INS/REP ELECTRODE LEADS W INS PG,12672.00
48133282,HC IMPL PT-ACTIVATED CARD EVENT RECORDER,5530.00
48133284,HC REMOVE ILR,4348.00
48133967,HC INS IA PERC BALLOON,3246.00
48133968,"HC REM IAB ASSIST DEVICE, PERCUTANEOUS",361.00
48134471,"HC THROMBECTOMY; SUBCLAVIAN VEIN, NECK INC",17227.00
48135471,"HC PTA, RENAL OR VISCERAL ARTERY",5972.00
48135472,"HC PTA, AORTA",5972.00
48135475,"HC PTA, BRACHIOCEPHALIC ARTERIES",5972.00
48135476,"HC PTA, VENOUS",5972.00
48136005,HC EXTREM VENOGRAM INJ,4132.00
48136010,"HC NONSELECTIVE CATH, SUP/INF VENA CAVA",3331.00
48136013,HC NONSELECT CATH RT HEART/MAIN PULMON ART,1954.00
48136140,HC NS CATH - EXTREMITY ARTERY,1845.00
48136200,HC NONSELECTIVE CATH - AORTA,1436.00
48136215,"HC SELECT CATH, ART - BRACH-CEPH; 1ST ORDER",1954.00
48136217,"HC SELECT CATH, ART - BRACH-CEPH; 3RD ORDER",1489.00
48136245,"HC SELECT CATH, ART-L EXTR ABD/P; 1ST ORDER",1954.00
48136246,"HC SELECT CATH, ART - L EXTR ABD/P; 2ND ORD",1954.00
48136247,"HC SELECT CATH, ART - L EXTR ABD/P; 3RD ORD",1954.00
48136556,HC INS NON-TUNNEL CV CATH 5 YRS/>,2249.00
48136620,HC ARTERIAL CATH - SAMPLE/MONITOR/TRANSFUSE,781.00
48137220,HC ILIAC REVASC,19454.00
48137221,HC ILIAC REVASC W/STENT,19454.00
48137223,HC ILIAC REVASC W/STENT ADD-ON,19454.00
48137224,HC FEM/POPL REVAS W/TLA,19454.00
48137226,HC FEM/POPL REVASC W/STENT,41299.00
48137228,HC TIB/PER REVASC W/TLA,19454.00
48137232,HC TIB/PER REVASC ADD-ON,12728.00
48137799,HC PERC LIGATION L. ATRIAL APPENDAGE,20406.00
48137800,"HC CARDIOVERSION, INT",3104.00
48200001,HC CVSLR STRESS TEST; TRACING,983.00
48200001,HC CVSLR STRESS TEST; TRACING,522.00
48200002,"HC CV STRESS TEST,TREADMILL,NO IMAGING",983.00
48200003,"HC CV STRESS TEST, BIKE EXERCISE, NO IMAGING",983.00
48200004,"HC CV STRESS TEST, TREADMILL, ECHO IMAGING",983.00
48200005,"HC CV STRESS TEST, TREADMILL,ISOTOPE",983.00
48200006,"HC CV STRESS TEST,PHARMACOLOGIC,ISOTOPE",983.00
48300001,HC TTE CONG ABN; COMPLETE,2128.00
48300001,HC TTE CONG ABN; COMPLETE,1039.00
48300002,HC TTE CONG ABN; LIMITED/F-UP,1072.00
48300002,HC TTE CONG ABN; LIMITED/F-UP,672.00
48300003,"HC TTE W/DOPPLER, COMPLETE",4812.00
48300003,"HC TTE W/DOPPLER, COMPLETE",1358.00
48300004,"HC TTE, F-UP OR LMTD",1072.00
48300004,"HC TTE, F-UP OR LMTD",575.00
48300005,HC ECHO TRANSESOPHAGEAL,2099.00
48300006,HC TEE CONGENITAL; GLOBAL,3484.00
48300007,HC DOPPLER ECHO; LIMITED/ F-UP,615.00
48300007,HC DOPPLER ECHO; LIMITED/ F-UP,179.00
48300008,HC DOPPLER COLOR FLOW,1735.00
48300008,HC DOPPLER COLOR FLOW,325.00
48300009,HC STRESS TTE ONLY,980.00
48300009,HC STRESS TTE ONLY,926.00
48300010,HC STRESS TTE COMPLETE,1972.00
48300010,HC STRESS TTE COMPLETE,717.00
48300011,"HC TTE W OR WO FOL WCON,DOPPLER",4812.00
48300012,"HC STRESS TTE W OR W/O CONTR, CONT ECG",1972.00
48300013,HC DOPPLER ECHO; COMPLETE,949.00
48300013,HC DOPPLER ECHO; COMPLETE,394.00
48300014,HC 3D RENDER W/O POSTPROCESS,1389.00
48300015,HC TEE FOR MONITORING,2679.00
48300016,HC TEE FOR TRANSCATH CARDIAC PX,2099.00
51000002,HC LEVEL 1 NEW PATIENT,154.00
51000002,HC LEVEL 1 NEW PATIENT,164.00
51000003,HC LEVEL 2 NEW PATIENT,154.00
51000003,HC LEVEL 2 NEW PATIENT,197.00
51000004,HC LEVEL 3 NEW PATIENT,207.00
51000004,HC LEVEL 3 NEW PATIENT,250.00
51000005,HC LEVEL 4 NEW PATIENT,263.00
51000005,HC LEVEL 4 NEW PATIENT,322.00
51000006,HC LEVEL 5 NEW PATIENT,475.00
51000006,HC LEVEL 5 NEW PATIENT,475.00
51000007,HC LEVEL 1 EST PATIENT,181.00
51000007,HC LEVEL 1 EST PATIENT,164.00
51000008,HC LEVEL 2 EST PATIENT,198.00
51000008,HC LEVEL 2 EST PATIENT,197.00
51000009,HC LEVEL 3 EST PATIENT,198.00
51000009,HC LEVEL 3 EST PATIENT,197.00
51000010,HC LEVEL 4 EST PATIENT,251.00
51000010,HC LEVEL 4 EST PATIENT,250.00
51000011,HC LEVEL 5 EST PATIENT,321.00
51000011,HC LEVEL 5 EST PATIENT,322.00
51000012,"HC INIT PM E/M, NEW PAT, INF",274.00
51000012,"HC INIT PM E/M, NEW PAT, INF",273.00
51000013,"HC INIT PM E/M, NEW PAT 1-4 YRS",275.00
51000013,"HC INIT PM E/M, NEW PAT 1-4 YRS",274.00
51000014,"HC PREV VISIT, NEW, AGE 5-11",271.00
51000014,"HC PREV VISIT, NEW, AGE 5-11",271.00
51000015,"HC PREV VISIT, NEW, AGE 12-17",297.00
51000015,"HC PREV VISIT, NEW, AGE 12-17",297.00
51000016,"HC PREV VISIT, NEW, AGE 18-39",278.00
51000016,"HC PREV VISIT, NEW, AGE 18-39",277.00
51000017,"HC PREV VISIT, NEW, AGE 40-64",328.00
51000017,"HC PREV VISIT, NEW, AGE 40-64",327.00
51000018,"HC INIT PM E/M, NEW PAT 65+ YRS",355.00
51000018,"HC INIT PM E/M, NEW PAT 65+ YRS",354.00
51000019,"HC PER PM REEVAL, EST PAT, INF",212.00
51000019,"HC PER PM REEVAL, EST PAT, INF",212.00
51000020,"HC PREV VISIT, EST, AGE 1-4",220.00
51000020,"HC PREV VISIT, EST, AGE 1-4",221.00
51000021,"HC PREV VISIT, EST, AGE 5-11",217.00
51000021,"HC PREV VISIT, EST, AGE 5-11",217.00
51000022,"HC PREV VISIT, EST, AGE 12-17",244.00
51000022,"HC PREV VISIT, EST, AGE 12-17",244.00
51000023,"HC PREV VISIT, EST, AGE 18-39",231.00
51000023,"HC PREV VISIT, EST, AGE 18-39",230.00
51000024,"HC PREV VISIT, EST, AGE 40-64",253.00
51000024,"HC PREV VISIT, EST, AGE 40-64",252.00
51000025,HC PER PM REEVAL EST PAT 65+ YR,277.00
51000025,HC PER PM REEVAL EST PAT 65+ YR,276.00
51000026,"HC CA SCRNING, PELV & BRST EXAM",164.00
51000026,"HC CA SCRNING, PELV & BRST EXAM",164.00
51000027,HC OUTPT - CONSULTATION - LEVEL 1,154.00
51000028,HC OUTPT - CONSULTATION - LEVEL 2,145.00
51000029,HC OUTPT - CONSULTATION - LEVEL 3,152.00
51000030,HC OUTPT - CONSULTATION - LEVEL 4,244.00
51000031,HC OUTPT - CONSULTATION - LEVEL 5,244.00
51000032,HC ROUTINE FOOTCARE PT W LOPS,167.00
51000032,HC ROUTINE FOOTCARE PT W LOPS,167.00
51000308,HC SPIN/BRAIN PUMP REFIL & MAIN,408.00
51000308,HC SPIN/BRAIN PUMP REFIL & MAIN,407.00
51000309,HC IMPL SP/BR PUMP RFL & MAIN BY DOC,358.00
51000309,HC IMPL SP/BR PUMP RFL & MAIN BY DOC,357.00
51000310,"HC EYE EXAM, NEW PATIENT",251.00
51000310,"HC EYE EXAM, NEW PATIENT",250.00
51000311,"HC EYE EXAM, NEW PATIENT",251.00
51000311,"HC EYE EXAM, NEW PATIENT",250.00
51000312,HC EYE EXAM AND TREATMENT,198.00
51000312,HC EYE EXAM AND TREATMENT,197.00
51000313,HC SPECIAL EYE EVALUATION,114.00
51000313,HC SPECIAL EYE EVALUATION,114.00
51000314,HC NASOPHARYNGOSCOPY,152.00
51000315,HC NEUROBEHAVIORAL STATUS EXAM,510.00
51000315,HC NEUROBEHAVIORAL STATUS EXAM,509.00
51000316,HC NEUROPSYCH TST BY PSYCH/PHYS,510.00
51000316,HC NEUROPSYCH TST BY PSYCH/PHYS,509.00
51000317,HC NEUROPSYCH TESTING BY TECH,510.00
51000317,HC NEUROPSYCH TESTING BY TECH,509.00
51000318,HC BEHAV CHNG SMOKING 3-10 MIN,66.00
51000318,HC BEHAV CHNG SMOKING 3-10 MIN,65.00
51000320,HC PROLONGED SER W/O P,1371.00
51000321,HC DISABILITY EVAL/TREATER,751.00
51000322,HC PTP PROGRESS REPORT,0.00
51000323,HC PHONE CONF INTERMEDIATE,723.00
51000323,HC PHONE CONF INTERMEDIATE,722.00
51000324,HC PHONE CONF BRIEF,1004.00
51000324,HC PHONE CONF BRIEF,1003.00
51000325,HC DEBRIDEMENT UP TO 10%,408.00
51000326,HC DEBRIDEMENT EA ADDL 10%,159.00
51000327,HC TESTING CENTER VISIT,183.00
51000328,HC FACIAL NERVE FUNCTION TEST,288.00
51000329,"HC LASER TX,PSORIASIS,AREA <250SQCM",295.00
51000330,"HC CRITICAL CARE, E/M 30-74 MINUTES",1403.00
51000331,HC CA SCREEN;FLEXI SIGMOIDSCOPE,714.00
51000332,HC COLORECTAL SCRN; HI RISK IND,1545.00
51000333,HC RX- CONTACTS; CORNEAL APHAKIA,182.00
51000333,HC RX- CONTACTS; CORNEAL APHAKIA,182.00
51000334,"HC CONTACT LENS FITTING APHAKIA, 1 EYE",182.00
51000335,HC RX - CONTACTS & FITTING; CORNEOSCLERAL LENS,114.00
51000336,HC PRESCRIPTION OF CONTACT LENS 1 EYE,114.00
51000337,HC RX - CONTACTS; CORNEAL APHAKIA,182.00
51000338,HC RX - CONTACTS; CORNEOSCLERAL LENS,114.00
51000339,HC CONTACT LENS FITTING FOR TX,164.00
51000340,HC FIT CONTAC LENS FOR MANAGMNT,164.00
51000346,HC PRE-PROCEDURE ASSESSMENT ONLY,181.00
51000347,HC PSYCH DIAGNOSTIC EVALUATION,293.00
51000347,HC PSYCH DIAGNOSTIC EVALUATION,293.00
51000348,HC PSYCH DIAG EVAL W/MED SRVCS,293.00
51000348,HC PSYCH DIAG EVAL W/MED SRVCS,293.00
51000349,HC PSYTX PT&/FAMILY 30 MINUTES,220.00
51000351,HC PSYTX PT&/FAMILY 45 MINUTES,293.00
51000351,HC PSYTX PT&/FAMILY 45 MINUTES,293.00
51000352,HC PSYTX PT&/FAMILY 60 MINUTES,293.00
51000354,HC TRANS CARE MGMT 14 DAY DISCH,196.00
51000355,HC TRANS CARE MGMT 7 DAY DISCH,258.00
51000356,HC NEUROPSYCH TST ADMIN W/COMP,509.00
51000357,HC ANNUAL ALCOHOL SCREEN 15 MIN,119.00
51000358,HC BRIEF ALCOHOL MISUSE COUNSEL 15 MIN,119.00
51000359,HC INTENS BEHAVE THER CARDIO DX 15 MIN,58.00
51000360,HC BEHAVIOR COUNSEL OBESITY 15 MIN,119.00
51000361,HC TEAM CONF W/PAT BY HC PROF,168.00
51000362,HC TEAM CONF W/O PAT BY HC PRO,116.00
51000363,HC  HC PRO PHONE CALL 5-10 MIN,71.00
51000364,HC  HC PRO PHONE CALL 11-20 MIN,134.00
51000365,HC  HC PRO PHONE CALL 21-30 MIN,199.00
51000366,HC BRIEF EMOTIONAL/BEHAV ASSMT,111.00
51000367,HC LIVER ELASTOGRAPHY,305.00
51000368,HC NEG PRESS WOUND TX </=50 CM,224.00
51000370,HC LEVEL 1 EST PATIENT,181.00
51000371,HC PROLONGED SERVICES W/PT 1ST HR,220.00
51000371,HC PROLONGED SERVICES W/PT 1ST HR,220.00
51000372,HC PROLONGED SERVICES W/PT EA 30 MIN,120.00
51000373,HC PROSTHETIC REPLACE OCULAR SURFACE ECOSYSTEM,2042.00
51000374,HC PROLONG CLINCL STAFF SVC W O/P E/M 1ST HR,220.00
51000375,HC PROLNG CLINCL STAFF SVC W O/P E/M ADD 30 MIN,120.00
51000376,HC PDT DSTR PRMLG LES SKN ILLUM/ACTIVJ BY PHYS/QHP,362.00
51000376,HC PDT DSTR PRMLG LES SKN ILLUM/ACTIVJ BY PHYS/QHP,362
51000377,HC DEBRIDEMENT PRMLG HYPERKERATOTIC LES W/PDT,362.00
51000377,HC DEBRIDEMENT PRMLG HYPERKERATOTIC LES W/PDT,362
51000378,"HC CASE COORDINATOR, AHP",288.00
51000379,"HC CASE CONFERENCE, ALLIED HEALTH",34.00
51000380,"HC ASSESSMENT, MSW, EA 30 MIN",67.00
51000381,"HC CASE CONFERENCE, MSW",34.00
51000382,"HC GRP TEACH, COUNS, SUPPORT ALLIED HEALTH",53.00
51000383,HC COCHLEAR IMPLANT ORIENTATION,449.00
51900000,HC CASE CONFERENCE 30',1153.00
51900000,HC CASE CONFERENCE 30',1153.00
51900001,HC PROLONGED SERVICES W/PT,132.00
51900002,HC CASE CONFERENCE 60',782.00
51900003,HC OUTPATIENT OFFICE CONSUL,99.00
51900004,HC OUTPATIENT OFFICE CONSUL,179.00
51900005,HC OUTPATIENT OFFICE CONSUL,306.00
51900006,HC OUTPATIENT OFFICE CONSUL,447.00
53000001,"HC OSTEOPATHIC MANIP,3-4 BODY REGN",72.00
53000002,"HC OSTEOPATHIC MANIP,1-2 BODY REGN",73.00
53000002,"HC OSTEOPATHIC MANIP,1-2 BODY REGN",72.00
54200001,HC MOBILIZN PICKUP,2382.00
54200002,HC EMER PU TPORT 1HR,5060.00
54200003,HC EMER PU TPORT 2HR,10117.00
54200004,HC EMER PU TPORT 3HR,15177.00
54200005,HC EMER PU TPORT 4HR,20234.00
54200006,HC EMER PU TPORT 5HR,25294.00
54200007,HC EMER PU TPORT 6HR,30350.00
54200008,HC EMER PU TPORT 7HR,35410.00
54200009,HC MOBILIZN RETURN,2382.00
54200010,HC EMER RT TPORT 1HR,3324.00
54200011,HC EMER RT TPORT 2HR,6653.00
54200012,HC EMER RT TPORT 3HR,9978.00
54200013,HC EMER RT TPORT 4HR,13308.00
54200014,HC EMER RT TPORT 5HR,16634.00
54200015,HC EMER PU TPORT 8HR,40467.00
54200016,HC EMER RT TPORT 6HR,19961.00
54200017,HC EMER RT TPORT 7HR,23287.00
54200018,HC EMER RT TPORT 8HR,26612.00
54200019,HC EMER RT TPORT 9HR,29938.00
61000001,HC MRA ABD WITH CONTRAST,3348.00
61000002,HC MRA ABD WO CONTRAST,3348.00
61000003,HC MRA ABD W/WO CONTRAST,3348.00
61000004,HC MRI BREAST UNI W CONT,3491.00
61000005,HC MRI BREAST UNI WO CON,3491.00
61000006,HC MRI BREAST UNI WO&W CON,3491.00
61000007,HC MRI BREAST BILAT W/O,4374.00
61000008,HC MRI BREAST BIL WO&W CON,4374.00
61000009,HC MRA CHEST WITH CONTRAST,3293.00
61000010,HC MRA CHEST W/O CONTRA,3293.00
61000011,HC MRA CHEST WO&W CON,3293.00
61000012,HC MRA LOW EXT W/CON,2974.00
61000013,HC MRA LOW EXT WO&W CON,2974.00
61000014,HC MRA PELVIS WITH CONTRAST,2915.00
61000015,HC MRA PELVIS W/OUT CONTRAST,3735.00
61000016,HC MAMMO SCREENING DIGITAL,339.00
61000017,HC MAMMO DX BILAT DIGITAL,500.00
61000018,HC MAMMO UNI DIGITAL,365.00
61000019,HC MRA LOW EXT WO CON,2974.00
61000020,HC MRI BREAST BILAT WITH CONTRAST,4330.00
61070180,HC MRI BRAIN W/ AND W/O CONTRAST FOR TREATMENT PLANNING,6838.00
61070181,HC MRI BRAIN W/ CONTRAST FOR TREATMENT PLANNING,5728.00
61070182,"HC MRI ORBIT,FACE, NECK W/ AND W/O CONTRAST FOR TREATMENT PLANNING",7006.00
61070183,HC MRI THORACIC SPINE W/ AND W/O CONTRAST FOR TREATMENT PLANNING,7939.00
61070184,HC MRI LUMBAR SPINE W/ AND W/O CONTRAST FOR TREATMENT PLANNING,6093.00
61070185,"HC MR PELVIS W & W/O CONTRAST, UNLISTED",6008.00
61070336,HC MRI OF TMJ(S),4166.00
61070540,HC MRI ORBIT/FACE/NECK W/O DYE,3923.00
61070542,HC MRI ORBIT/FACE/NECK W/DYE,4773.00
61070543,HC MRI ORBT/FAC/NCK W/O & W/DYE,7006.00
61070544,HC MRA; HEAD; WO CONTRAST,4200.00
61070545,HC MRA; HEAD W CONTRAST,4531.00
61070546,HC MRA; HEAD W & WO CONTRAST,6243.00
61070547,HC MRA; NECK WO CONTRAST,4574.00
61070548,HC MRA; NECK W CONTRAST,5186.00
61070549,HC MRA; NECK W & WO CONTRAST,7105.00
61070551,"HC MRI, BRAIN WO CONTRAST",3598.00
61070552,"HC MRI, BRAIN W CONTRAST",5728.00
61070553,"HC MRI, BRAIN W & WO CONTRAST",6838.00
61071550,HC MRI CHEST WO CONTRAST,2720.00
61071551,HC MRI CHEST W CONTRAST,5455.00
61071552,HC MRI CHEST W & WO CONTRAST,8129.00
61072141,"HC MRI,SPINE, CERV; WO CONTR",4171.00
61072142,"HC MRI, SPINE, CERVICAL W CONTR",6230.00
61072146,"HC MRI,SPINE, THORACIC WO CONTR",4020.00
61072147,"HC MRI, SPINE, THORACIC W CONTR",4868.00
61072148,"HC MRI, SPINE, LUMBAR WO CONTR",4499.00
61072149,"HC MRI, SPINE, LUMBAR W CONTR",5412.00
61072156,HC MRI CERV SPINE W & WO CONTR,7141.00
61072157,"HC MRI THORAC SPINE, W & WO CONTR",7939.00
61072158,HC MRI LUMB SPINE W & WO CONTR,6093.00
61072159,"HC MRA, SPINE W/WO CONTR",4217.00
61072195,HC MRI PELVIS WO CONTRAST,4468.00
61072196,"HC MRI, PELVIS W CONTRAST",3988.00
61072197,HC MRI PELVIS W & WO CONTRAST,6008.00
61073218,"HC MRI U EXT, NOT JOINT WO CONTRAST",3425.00
61073219,"HC MRI U EXT, NOT JOINT W CONTRAST",4182.00
61073220,"HC MRI, U EXTR; NOT JOINT W&WO CONTR",4541.00
61073221,"HC MRI, U EXTR; ANY JOINT WO CONTRAST",2806.00
61073222,"HC MRI, U EXTR; ANY JOINT W CONTRAST",4662.00
61073223,"HC MRI, UE ANY JOINT W & WO CONTRAST",6067.00
61073225,"HC MRA, U EXTR W OR WO CONTRAST",4277.00
61073718,HC MRI - LEXTREM WO CONTR,3329.00
61073719,HC MRI - LEXTREM W CONTR,4157.00
61073720,HC MRI LEXTREM W&WO CONTR,5268.00
61073721,HC MRI - LE JNT WO CONTR,3947.00
61073722,HC MRI LE JNT W CONTR,4860.00
61073723,HC MRI LE JNT W&WO CONTR,6847.00
61074181,HC MRI ABDOMEN WO CONTRAST,3744.00
61074182,HC MRI ABDOMEN W CONTRAST,5602.00
61074183,HC MRI ABDOMEN W & WO CONTRAST,6053.00
61074712,HC MRI FETAL SNGL OR 1ST GESTATION,1022.00
61074713,HC MRI FETAL EA ADDL GESTATION,511.00
61075557,HC CARDIAC MRI FOR MORPH,2959.00
61075561,HC MR HRT FOR MRPH/FUNC W/W/O,3356.00
61076390,HC MAGNETIC RESONANCE SPECTROSCOPY,1959.00
61077021,HC MR GUIDANCE FOR NEEDLE PLACE,3712.00
61170554,HC FMRI BRAIN BY TECH,3422.00
61170557,HC MRI BRAIN W/O DYE,9952.00
61170558,HC MRI BRAIN W/DYE,1663.00
61170559,HC MRI BRAIN W/O & W/DYE,9952.00
61475565,HC CARD MRI VEL FLW MAP ADD-ON,483.00
61476377,HC 3D RENDERING W/POSTPROCESS,1506.00
61900001,"HC U/S TRTMT, NOT LEIOMYOMATA, W/MR GUIDE",4646.00
61900002,HC MRI FOR TISSUE ABLATION,464.00
62100000,HC CATHETER SUPPLY,59.00
62100001,HC ENDORECTAL COIL,262.00
71000001,HC ASC PACU ADD'L MINS-A,8.00
71000002,HC ASC PACU ADD'L MINS-B,17.00
71000003,HC ASC PACU ADD'L MINS-C,23.00
71000004,HC PACU 1ST HR-A,1243.00
71000005,HC PACU 1ST HR-A,1709.00
71000006,HC PACU 1ST HR-B,1859.00
71000007,HC PACU 1ST HR-C,2794.00
71000008,HC PACU ADD'L MINS-A,8.00
71000009,HC PACU ADD'L MINS-B,17.00
71000010,HC PACU ADD'L MINS-C,23.00
71000011,HC SURG RECOVERY 1 HR,1283.00
71000012,HC SURG RECOVERY 1.5 HR,1483.00
71000013,HC SURG RECOVERY 2 HR,1691.00
71000014,HC SURG RECOVERY 2.5 HR,1876.00
71000015,HC SURG RECOVERY 3 HR,2073.00
71000016,HC SURG RECOVERY 3.5 HR,2262.00
71000017,HC SURG RECOVERY 4 HR,2443.00
71000018,HC ADDTL 15 MIN-A,153.00
71000019,HC ADDTL 15 MIN-B,224.00
71000020,HC RECOVERY CARE - EA 15 MIN,506.00
71000021,HC RECOVERY CARE - EA 15 MIN,506.00
71000022,HC RECOVER AFTER 1ST HR EA HR,503.00
71000023,HC SURG/PROC RECOVERY EA 15 MIN,311.00
71000024,HC PACU 1ST HR-D,3492.00
71000025,HC PACU ADD'L MINS-D,29.00
72000001,HC DELIVERY PLACENTA,980.00
72000002,HC ABDOMINAL CERCLAGE,12848.00
72000003,HC CERCLAGE DURING PREGNANC,4362.00
72000004,HC INT FETAL ECG COR,996.00
72000005,HC FET BLD MON 1 SAMP,550.00
72000014,HC FETAL SURGERY,10033.00
72000015,HC FETAL VACUUM EXTRACTION,1345.00
72000016,HC FOLEY BULB INSERTION,1293.00
72000017,HC INTRAUTERINE PRESS CATH INSERT,1293.00
72000018,HC LABOR SUPPRESSION,1282.00
72000019,HC O/P TRIAGE 1 - 4 HRS,1305.00
72000020,HC O/P TRIAGE 4 - 8 HRS,1351.00
72000021,HC STERILE VAG EXAM,561.00
72000022,HC RULE OUT LABOR/HOUR,478.00
72000023,HC SUP LABOR IV/SQ,1282.00
72000024,HC CERCLAGE REMOVAL,4974.00
72000025,HC DR RECOVERY 1 HR,667.00
72000026,HC DR RECOVERY 2 HR,844.00
72000027,HC DR RECOVERY 3 HR,1073.00
72000028,HC DR RECOVERY 4 HR,1255.00
72000029,HC DR RECOVERY 1.5 HR,747.00
