CDM_NBR [corp],HOSP,DEPT_DESC [corp],CDM_DESC [corp],CURR_PRICE
8003001,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,222984 MITEK SUPER ANCHOR,"$1,281.00 "
8003003,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,200-741 REGENSR7X14X11MM,"$3,692.00 "
8003004,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,196001400 DEPUYCRFEMER,"$5,583.00 "
8003005,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,196040500 DEPUYSTABFEMUR,"$6,239.00 "
8003006,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,196040400 DEPUYSIGFEMUR,"$6,239.00 "
8003007,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,196050300 FEMCEMENT,"$6,239.00 "
8003008,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,196040300 FEMCEMENT,"$6,239.00 "
8003009,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,196050400 DEPUYSIGFEMUR,"$6,239.00 "
8003012,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,816135016 SCREW,$355.00 
8003013,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,816135010 SCREW,$355.00 
8003014,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,9795323 SELFDRILLINGSCREW,"$1,634.00 "
8003015,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,450758 CRUSHEDCANN,"$3,098.00 "
8003017,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,BC0724SP SINUS CATH,"$2,500.00 "
8003018,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,960846 DISTAL AUGMENT,"$2,941.00 "
8003019,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,960866 DISTAL AUGMENT,"$2,941.00 "
8003020,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,960886 DISTAL AUGMENT,"$2,941.00 "
8003021,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3L92501 CORFEMSTMCOLLAR,"$10,617.00 "
8003022,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3L93710 CORLAT/FEMW/COL,"$10,617.00 "
8003023,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3L93711 CORLAT/FEMW/COL,"$10,617.00 "
8003024,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3L93712 CORLAT/FEMW/COL,"$10,617.00 "
8003025,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,52-3418 SROM HIP STEM,"$7,373.00 "
8003026,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,129453246 UNVFEMSLV,"$9,039.00 "
8003027,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,129453226 UNFEMSLV,"$9,039.00 "
8003028,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AR-1934BCF BIOSUTURE,$979.00 
8003029,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,196050250 SIGPOSTSTABFEM,"$6,239.00 "
8003030,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,179712645 SCREWEXPEDIUM,"$4,273.00 "
8003031,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,CO-S2314 SMOOTH PEG,$257.00 
8003032,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,CO-T2318 LOCKING SCREW,$257.00 
8003035,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,370003 LOCK INSERTS,$210.00 
8003036,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,815037014 CORTICALSCRW,$88.00 
8003037,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,10-16010 GOODET-TUBE,$50.00 
8003038,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3037 PATIENT PROGRAMMER,"$3,820.00 "
8003039,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1806-0080S GUIDE WIRE,$549.00 
8003040,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,VT08070L VASC GRAFT,"$2,176.00 "
8003041,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,ACE36E HARMONIC ACE,"$1,754.00 "
8003042,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,204.814 CORTICAL SCREW,$144.00 
8003043,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,204.816 CORTICAL SCREW,$144.00 
8003044,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,206.016 CANCELLOUSSCREW,$91.00 
8003045,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,75FHXL80 TRACH TUBE,$357.00 
8003046,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,T505 HEART VALVE,"$11,235.00 "
8003048,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,91-6103 SCREWS,$315.00 
8003049,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1896-5037S LKING SCREW,$569.00 
8003051,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,PG3990BPX BILIARY STENT,"$2,915.00 "
8003052,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,610130 ANGIO SEAL,$642.00 
8003053,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,212133 QUICHANCHOR,"$1,088.00 "
8003054,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,VSP550 VEINHARVKIT,"$2,422.00 "
8003055,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,6647 KIT PEG SAFETY,$282.00 
8003056,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3120-1180S TROCHANTE NAIL,"$4,397.00 "
8003058,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,CB004 ONQ SELECT A FLOW,"$4,494.00 "
8003059,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0117170 PERFIXPLUG,$521.00 
8003060,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0117160 PERFIXPLUG,$515.00 
8003061,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0117180 PERFIXPLUG,$612.00 
8003062,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0117150 PERFIXPLUG,$512.00 
8003063,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M0061921430  POLURETSTENT,$461.00 
8003065,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3550-39 ANCHORTITAN,$482.00 
8003067,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,OMSPDBS2 BLLN DISSCT,"$1,411.00 "
8003068,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,T510 HEART VALVE,"$11,235.00 "
8003069,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M0061921330 STENT 6 X 26,$715.00 
8003070,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,72012701 ELEVATE A&P SYS,"$6,301.00 "
8003071,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,00110501001 BONE PUTTY,$945.00 
8003072,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3060-0085S LAG SCREW,"$1,795.00 "
8003073,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,72009301 ELEVATE A&A SYS,"$7,415.00 "
8003074,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,OM9246 OPUS IMPLANT,"$2,231.00 "
8003075,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,ZA9003 TECNIS LENS,$465.00 
8003076,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7133-2752 LINER,"$5,289.00 "
8003077,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7133-8679 LINER,"$4,237.00 "
8003078,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7133-9550 LINER,"$5,288.00 "
8003079,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7134-2340 FEMHEAD,"$5,297.00 "
8003080,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7134-4245 SLEEVE,$963.00 
8003081,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7134-4247 TAPERSLEEVE,$561.00 
8003082,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,8709SC INTRATHECALCATH,"$2,151.00 "
8003083,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,8835 PROGRAMMER,"$2,552.00 "
8003085,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,222229 HEALIXBRANCHOR,$786.00 
8003086,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,OM-9026 KNOTLESS IMPLANT,"$2,729.00 "
8003088,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3202038 COMPRESSIONSCRW,$433.00 
8003089,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,320-15-01 GLENOIDPLATE,"$5,749.00 "
8003091,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,A45001 GRAFTON PLATE,$546.00 
8003092,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7133-1850 SHELL,"$6,560.00 "
8003093,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7133-1852 SHELL,"$6,560.00 "
8003094,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7133-1858 SHELL,"$6,560.00 "
8003095,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,OM-4525CS MAGNUM,"$1,156.00 "
8003096,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,124603000 HOLEELIM,$410.00 
8003097,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,EC60A STAPLER,"$1,101.00 "
8003098,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3905 EVICEL,"$1,878.00 "
8003100,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,EC500F ECLIPSE FILTER,"$3,130.00 "
8003101,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,CS40B STAPLER,"$1,444.00 "
8003103,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,136310000 TAPEREDSPCER,$640.00 
8003104,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,GN1000 SNAREKIT,$997.00 
8003105,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,140242 ENT VENTTUBE,$49.00 
8003106,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,8792811 SCREWS,$848.00 
8003107,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AR-1370 SCREW,$305.00 
8003108,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,122140456 PINNLINER,"$4,739.00 "
8003110,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,223600014 CENTRALDRILL,$906.00 
8003111,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,U415024 BALLOON CATH,$915.00 
8003112,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,U41502H4 BALLOON CATH,$915.00 
8003113,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,U415034 BALLOON CATH,$915.00 
8003114,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,RY2004 RESTORELLE,"$2,889.00 "
8003115,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,N60000110 PLATE45MM,"$2,889.00 "
8003116,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0134450 MESH,"$1,766.00 "
8003117,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,CNGL2 GELPOINT,"$2,167.00 "
8003118,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,80XLTCP TRACH TUBE,$211.00 
8003119,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,6LPC TRACH TUBE,$132.00 
8003120,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,E10023A00 TISSUEVALVE,"$11,556.00 "
8003121,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0134680 MESH,"$2,409.00 "
8003122,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,377845 LEAD KIT,"$7,367.00 "
8003123,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,720191-01 MINIARC PRECISE,"$4,157.00 "
8003124,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AVM-851J FILSHIE CHLIPS,$362.00 
8003125,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,POOCTHPUZ  HIP PACK,"$1,189.00 "
8003126,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,240072 T-TUBE,$69.00 
8003128,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,LF1537 LIGASURE,"$1,727.00 "
8003129,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,EX060803CS LIFESTENT,"$3,692.00 "
8003131,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,APLIGRAF SKIN SUB 44 SQCM,$94.00 
8003132,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,SSDX-14-I LIFEPORT,"$1,043.00 "
8003133,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0115310 MESH,$488.00 
8003134,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AR-1923BC PUSHLOCK,"$1,284.00 "
8003135,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7133-2754 ACELINER,"$4,943.00 "
8003136,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,5440030 SCREWSET,$353.00 
8003137,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,5442147 CROSSLINK,"$3,210.00 "
8003138,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M006175265 UROSTENT,$366.00 
8003139,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,54840005540 SCREW,"$3,210.00 "
8003140,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AR-1403TC INTERFER SCREW,$754.00 
8003141,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,122140156 ACELINER,"$4,739.00 "
8003142,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AR-2323BCC ANCHOR SUT,"$1,284.00 "
8003143,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,5516-F-401 STABFEM,"$6,420.00 "
8003144,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,19AGFN-756 VALVE,"$14,888.00 "
8003145,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,MN60AC LENS,$478.00 
8003146,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,122136456 PINNCLENEUTRAL,"$3,916.00 "
8003147,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,136540720 FEMORALHEAD,"$7,224.00 "
8003148,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,A42210 MATRIXGRAFT,"$4,857.00 "
8003149,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,8637-40 II PUMP,"$34,508.00 "
8003151,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1884080EM BLADE,"$1,236.00 "
8003153,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1475501035 SOLERA ROD,$963.00 
8003154,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1180616 SURGGRAFT,"$8,712.00 "
8003155,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1180816 SURGGRAFT,"$11,617.00 "
8003156,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,RV13542 RIVAL BALLOON,$433.00 
8003157,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,RV13554 PTA BALL CATH,$433.00 
8003158,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M002020851680 GRAFT,"$2,782.00 "
8003159,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1888TC/52 TENDRIL LEAD,"$1,445.00 "
8003160,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1888TC/58 TENDRIL LEAD,"$1,445.00 "
8003161,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,112844120 ECCENTRICHEAD,"$6,256.00 "
8003162,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,4074-58 LEAD,"$1,525.00 "
8003163,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,4574-53 LEAD,"$1,525.00 "
8003164,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,NL850-5076 SHUNT,"$1,345.00 "
8003165,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,4P6 PERI PATCH,$610.00 
8003166,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M0061921420 STENT,$461.00 
8003167,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1503350 FLOSEAL,$471.00 
8003168,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,535090 PORTEX PER-FIT,$805.00 
8003169,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,960101 OVALDOMEPAT,"$1,521.00 "
8003170,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,71692814 DRILLPROBE,"$1,210.00 "
8003171,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,982320 ALLODERM 320 SQCM,$94.00 
8003172,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,DUET4548A RELOAD,"$1,534.00 "
8003173,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,CS-15272-X NEXT STEP CATH,$966.00 
8003174,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,C01B BONE CEMENT & MIXER,$674.00 
8003175,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,B10111512 CERV MINI FRAME,"$8,163.00 "
8003176,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AR-1370C SCREW,$722.00 
8003177,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,EC45A STAPLER,$989.00 
8003178,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1475501030 ROD,$963.00 
8003179,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1475501060 ROD,$963.00 
8003180,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,5050-043 KWIRE,$18.00 
8003181,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,54840006535 SCREW,"$3,210.00 "
8003182,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,5484006540 SCREW,"$5,399.00 "
8003183,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7133-1848 COATEDSHELL,"$4,594.00 "
8003184,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7133-9548 ACELINER,"$4,013.00 "
8003185,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,ZMB00 RESTOR LENS,$745.00 
8003186,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,131211120 PEG2.5X20,$467.00 
8003187,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,KM71-113 KWIRE,$8.00 
8003188,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,815540040 CANCSCREW,$117.00 
8003189,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7133-6525 SCREW,$317.00 
8003190,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1475501070 ROD,$963.00 
8003191,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,7182-1350 SCREW,$65.00 
8003194,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,U813042 ULTRAVERSE,$883.00 
8003195,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3441C SIZING CATH,"$1,278.00 "
8003196,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3L92499 FEMSTEM,"$10,617.00 "
8003197,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,60SF2 ABLATION PROBE,"$7,832.00 "
8003198,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,4074-52 LEAD,"$1,525.00 "
8003199,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,IOL LENS-COSMETIC USE ONLY,$150.00 
8003200,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,SN6AT6 TORIC LENS,$345.00 
8003201,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M00556101 GUIDEWIRE,$575.00 
8003202,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,LXA23 HEART VALE,"$14,766.00 "
8003203,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,9155108 PICC LINE,"$3,033.00 "
8003204,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,9154108 PICC LINE,"$2,499.00 "
8003205,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,9255108 PICC LINE,"$3,362.00 "
8003206,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,9275108 PICC LINE,"$4,101.00 "
8003207,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,M00562181 TUBE,$116.00 
8003208,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,JD-100 SINUS INFLATE DEV,"$4,655.00 "
8003209,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,ZBM08040 STENT,"$3,210.00 "
8003210,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,RV8052 BALLOON,$433.00 
8003211,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AR-2260 DISTALBICEP,"$2,729.00 "
8003212,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,122136054 ACETABLINER,"$3,054.00 "
8003213,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,136550100 FEMORALHEAD,"$5,698.00 "
8003214,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,122136052 PINNACETAB,"$3,054.00 "
8003216,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0113115 FIXSYSTEM,$995.00 
8003217,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,0113116 FIXSYSTEM,"$1,412.00 "
8003218,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1475501040 ROD,"$1,317.00 "
8003219,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,430010 BTBQUADHEMI,"$8,089.00 "
8003220,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,443002 TENDON,"$10,593.00 "
8003221,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,LPS7523 LIFEPORT,$658.00 
8003222,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,670-312 SENSORGUIDEWIRE,$245.00 
8003223,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,5950007 HERNIAPATCH,"$1,189.00 "
8003224,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,8637-20 II PUMP,"$34,508.00 "
8003225,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,140940 WEHRS INCUS PROS,"$1,091.00 "
8003226,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,102016 ALLODERM 160 SQCM,$94.00 
8003227,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,72200146 ENDOBUTTON,$967.00 
8003228,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,SN6AT9 TORIC LENS,$345.00 
8003229,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,352506070 VENACAVA,"$5,858.00 "
8003230,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,960012 FEMCRUICATE,"$5,583.00 "
8003231,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,15-7380-12 LONG DOG BONE SET,$845.00 
8003232,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,PGPS002 PROFEL SEALANT,"$2,969.00 "
8003233,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,355531 CABLE LEAD,$915.00 
8003234,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,E10021A00 TISSUE VALVE,"$11,556.00 "
8003235,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,ETRIO335H ENSEAL HNDPC,"$1,612.00 "
8003236,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,976145 PLATE,"$5,935.00 "
8003237,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,72822007 PERILOCKVLP,"$2,160.00 "
8003238,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,1400-A GUSCEMENTGENTA,$321.00 
8003239,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3203800 HUMERAL LINER,"$3,033.00 "
8003241,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,SN6AT7 TORIC LENS,$345.00 
8003242,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,122132050 ACETABLINER,"$2,877.00 "
8003243,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,320-20-30 LOCKINGCOMP,$433.00 
8003244,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,72202796 RAP PAC,$835.00 
8003245,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,453016 TIBIALPOSTTENDON,"$8,346.00 "
8003246,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,122140458 ACELINER,"$4,739.00 "
8003247,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,3202042 SCREWLCKCAP,$433.00 
8003248,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,320-01-38 GLENOSPHERE,"$5,345.00 "
8003249,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,199102S HEMOSTATIC MATRIX,$520.00 
8003250,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,G09691 INTRODUCER,$356.00 
8003251,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,G12831 INTRODUCER,$872.00 
8003252,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,U813054 PTA BALL CATH,$883.00 
8003253,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,U415028 BALLOON CATH,$915.00 
8003254,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,5554-L-320 PATELLA,"$1,926.00 "
8003256,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,70-0356 PLATE,"$2,934.00 "
8003258,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,472-110 LASER GUIDE CATH,"$8,667.00 "
8003259,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,ETRIO345H HANDPIECE,"$1,792.00 "
8003260,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,6495-9-006 CERVALLOGRAFT,"$4,297.00 "
8003261,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AR-1588RT ACL TIGHTROPE,$883.00 
8003262,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,LS1037 LIGASURE,"$1,345.00 "
8003263,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,COL-3180 SCREW,$292.00 
8003264,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AR-5080AB INTERFSCREW,$456.00 
8003265,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,198727112 TIBIALHINGE,"$11,843.00 "
8003266,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,122136458 PINNACLE,"$3,916.00 "
8003267,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,397003 HYDROSET 3CC,"$3,049.00 "
8003268,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,6260-9-128 FEMORAL HEAD,"$1,926.00 "
8003269,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,FV433T SHUNT SYSTEM,"$10,446.00 "
8003270,SHARON HOSPITAL,SUPPLIES/IMPLANTS-OR,AR-1404TC SCREW,$722.00 
