Procedure Description, Charge Amount 
SHOULDER LEFT 2 OR MORE VIEWS,$146.00 
NECK SOFT TISSUES,$146.00 
CHEST 1 VIEW PORT OR TRAUMA,$119.00 
CHEST SINGLE VIEW ADDITONAL OF THE DAY,$108.50 
CHEST 2 VIEWS,$159.00 
CHEST 2 (TWO) VWS ADDDITIONAL OF THE DAY,$144.50 
RIBS UNILATERAL RIGHT,$146.00 
RIBS BILATERAL,$205.50 
RIBS UNILATERAL RIGHT WITH PA CHEST,$230.50 
RIBS BILATERAL WITH PA CHEST,$289.00 
STERNUM,$126.00 
SPINE ENTIRE AP & LAT,$342.50 
KNEE LEFT 3 VIEWS,$134.50 
SCOLIOSIS SERIES ONE VIEW,$149.50 
CERVICAL SPINE 3 VIEWS OR LESS,$146.00 
CERVICAL SPINE 4-5 VIEWS,$212.00 
CERVICAL SPINE 6 OR MORE VIEWS,$208.00 
THORACIC SPINE 3 VIEWS,$190.00 
THORACO LUMBAR 2 VIEWS,$190.00 
KNEE LEFT 1 OR 2 VIEWS,$98.50 
LS SPINE MIN 4 VWS,$245.00 
"""LS SPINE AP, LAT AND BENDING 6 VWS""",$245.00 
PELVIS ONE OR TWO VIEWS,$124.50 
SACRO-ILIAC 3VWS-MOR,$146.00 
SACRUM AND COCCYX,$141.50 
CLAVICLE RIGHT 2 VIEWS,$97.50 
CLAVICLE LEFT 2 VIEWS,$97.50 
SCAPULA RIGHT,$119.00 
SHOULDER LEFT 1 PROJECTIONN,$98.50 
SHOULDER LEFT 1 VIEW ADDITIONAL OF DAY,$98.50 
SHOULDER RIGHT 2 OR MORE VIEWS,$146.00 
ACROMIOCLAVICULAR JOINTS,$163.50 
HUMERUS RIGHT,$133.00 
HUMERUS RIGHT 1 VIEW,$107.00 
ELBOW RT 2 VIEWS,$98.50 
ELBOW LT 2 VIEWS,$98.50 
ELBOW RT 3 VIEWS OR MORE,$124.50 
ELBOW LT 3 VIEWS OR MORE,$124.50 
FOREARM RIGHT,$134.50 
FOREARM LEFT,$134.50 
WRIST 2 VIEWS RIGHT,$97.50 
WRIST 2 VIEWS LEFT,$97.50 
WRIST 2 VIEWS LEFT ADDITIONAL OF THE DAY,$97.50 
WRIST 2 VIEWS RIGHT ADDITIONAL OF THE DA,$97.50 
WRIST 1 VIEW LEFT,$97.50 
WRIST RIGHT 3 VIEWS OR MORE,$131.50 
WRIST LEFT 3 VIEWS OR MORE,$131.50 
WRIST 3 VIEWS OR MORE RIGHT ADD OF DAY,$131.50 
HAND RIGHT 2 VIEWS,$129.75 
HAND RIGHT 2 VIEWS ADDITIONAL OF THE DAY,$129.75 
HAND RIGHT 3 VIEWS OR MORE,$114.00 
HAND LEFT 3 VIEWS OR MORE,$114.00 
HAND RIGHT 3 VIEWS ADDITIONAL OF THE DAY,$114.00 
HAND LEFT 3 VIEWS ADDITIONAL OF THE DAY,$114.00 
FINGER(S) LEFT,$97.50 
FINGER(S) RIGHT,$97.50 
FINGER(S) LEFT ADDITIONAL OF THE DAY,$97.50 
TIBIA-FIBULA LEFT,$134.50 
HIP RT 1 VIEW W OR WO PELVIS,$110.50 
HIP LT 1 VIEW W OR WO PELVIS,$110.50 
HIP RT 1 VIEW ADDITIONAL OF THE DAY,$110.50 
HIP RIGHT 2 VIEWS W OR W/O PELVIS,$143.00 
HIP LEFT 2 VIEWS W OR W/O PELVIS,$143.00 
HIP LT 2 VIEWS ADDITIONAL OF THE DAY,$143.00 
HIP RT 2 VIEWS ADDITIONAL OF THE DAY,$143.00 
PELVIS AND BILATERAL HIPS,$212.00 
FEMUR RIGHT 2 VIEWS,$114.00 
FEMUR LEFT 2 VIEWS,$114.00 
FEMUR RIGHT 2 VWS ADDITIONAL OF THE DAY,$114.00 
FEMUR RIGHT 1 VIEW,$101.00 
KNEE RIGHT 1 OR 2 VIEWS,$98.50 
"""KNEES BOTH STANDING, AP""",$100.00 
KNEE RIGHT 3 VIEWS,$134.50 
TIBIA-FIBULA RIGHT,$134.50 
ANKLE LT 2 VIEWS,$98.50 
ANKLE RT 2 VIEWS,$98.50 
ANKLE RT 2 VIEWS ADDITIONAL OF THE DAY,$98.50 
ANKLE RIGHT 3 VIEWS OR MORE,$134.50 
ANKLE LEFT 3 VIEWS OR MORE,$134.50 
ANKLE LT 3 VIEWS ADDITIONAL OF THE DAY,$134.50 
FOOT RIGHT 2 VIEWS,$98.50 
FOOT LEFT 2 VIEWS,$98.50 
FOOT RIGHT 3 VIEWS,$134.50 
FOOT LEFT 3 VIEWS,$134.50 
OS CALCIS RIGHT 2 VIEWS OR MORE,$97.50 
TOE(S) RIGHT,$97.50 
TOE(S) LEFT,$97.50 
ABDOMEN 1 VIEW (KUB),$118.00 
ABDOMEN 1 VW ADDITIONAL SAME DAY,$118.00 
ABD 2 VW WITH PA CHEST,$269.00 
ABDOMEN 2 VIEWS OR MORE,$163.50 
ESOPHAGUS SWALLOW FUNCTION W OR W/O VIDE,$289.00 
SMALL BOWEL-MULTI IMAGES,$222.50 
CHOLANGIOGRAPHY-OPER,$412.50 
RIBS UNILATERAL LEFT WITH PA CHEST,$230.50 
FLUORO LESS THAN 1 HOUR,$242.25 
FLOURO GUIDANCE,$570.50 
FLOURO GUIDE FOR SPINAL PUNCTURE,$212.00 
CHILD FOREIGN BODY,$144.50 
BONE AGE STUDIES,$147.75 
BONE DENSITOMETRY,$616.50 
BONE LENGTH STUDIES,$191.00 
BONE SURVEY INFANT,$392.00 
BONE DENSITOMETRY FOREARM,$155.50 
SHOULDER RIGHT ADDITIONAL OF THE DAY,$146.00 
"""CERVICAL SPINE, SINGLE VW""",$86.50 
HUMERUS LEFT,$133.00 
LUMBAR SPINE 2-3 VIEWS,$167.00 
KNEE RIGHT 4 OR MORE VIEWS,$167.00 
SHOULDER LEFT 2 VIEWS ADD OF THE DAY,$146.00 
ORAL CONTRAST (HOCM 350-399MG/ML)PER ML,$1.50 
OS CALCIS LEFT 2 OR MORE VIEWS,$97.50 
US THYROID,$342.50 
US SOFT TISSUES HEAD AND NECK,$342.50 
US ECHO DOPPLER COLOR FLOW,$269.50 
US ECHO TRANSESOPHAGEAL,"$1,275.50 "
US ECHO LIMITED,$541.50 
US ECHO COMP W/O CONTRAST,"$1,354.50 "
US CHEST,$379.00 
US BREAST COMPLETE 2ND OF THE DAY,$268.50 
US BREAST LIMITED,$268.50 
US BREAST LIMITED 2ND OF THE DAY,$268.50 
US BREAST COMPLETE,$268.50 
"""US ABDOMEN, COMPLETE""",$379.00 
US ABDOMEN-LIMITED,$377.00 
US RENAL ONLY,$325.50 
US FINE NEEDLE ASPIRATION,$570.50 
US ABDOMINAL AORTA,$307.50 
US RENAL AND BLADDER,$377.00 
US PREGN GREATER THAN 14 WKS MULTIPLE,$654.50 
US PREGNANCY LIMITED,$173.00 
US PREG GREATER THAN 14 WEEKS,$458.50 
US PREG LESS THAN 14 WEEKS,$370.50 
US TRANSVAGINAL PREGNANCY,$316.50 
US TRANSVAGINAL,$304.00 
US PELVIC (NON-OBSTETRICAL),$378.00 
US PELVIS (NON-OBSTETRIC)LIMITED,$189.00 
US GUIDED FOR NEEDLE BIOPSY/ASPIRATION,$282.00 
US GUIDED THORACENTESIS NEEDLE PLACEMENT,$558.00 
US TESTICULAR,$342.50 
US BIOPSY BREAST 2ND OF THE DAY,$613.50 
US EXTREMITY LIMITED,$342.50 
US VENOUS BILATERAL,"$1,738.50 "
US GUIDED FOR NEEDLE BIOPSY 2ND OF DAY 0,$245.00 
US BIOPSY BREAST 1ST PROCEDURE OF DAY,"$1,220.00 "
US VENOUS UNILATERAL,"$1,105.00 "
US ECHO PW AND/OR CW,$216.00 
US CAROTID DUPLEX,"$1,338.00 "
US ABI,$348.00 
US ARTERIAL EVALUATION,$434.50 
US A/V ORGAN VESSEL LTD,$342.50 
NM TC MDP,$167.00 
NM TC S.C.,$338.00 
NM TC CHOLE,$285.00 
NM XENON 133 PER 10 mCi,$386.00 
NM TC MAA,$284.50 
NM I-123 per 100uCi,$129.00 
NM TC MAG-3,$868.00 
NM GASTRIC EMPTYING STUDY,$873.50 
NM BONE - TOTAL BODY,$960.00 
NM RENAL FLOW AND FUNCTION WITH RX DRUGS,$681.50 
NM LUNG PERFUSION/VENTILAT.,"$1,032.00 "
NM LUNG - PERFUSION STY,$655.00 
NM TC MYOVIEW TETROFOSMIN,$169.00 
NM HEPATOBILIARY ( HIDA) SCAN,$791.50 
NM THYROID UPTAKE AND SCAN,$655.00 
NM MYOCARDIAL PERFUSION,"$2,567.50 "
NM BONE THREE PHASE,"$1,188.00 "
NM HEPATOBILIARY ( HIDA) SCAN WITH EF,$791.50 
"""CT ORB, SELLA, IAC'S W/O""","$1,294.00 "
CT CHEST ANGIOGRAPHY WITH ONLY,"$1,530.00 "
CT NECK ANGIOGRAPHY,"$1,530.00 "
CT ABD ANGIOGRAPHY W AND W/O,"$1,753.50 "
CT ANGIO ABD AORTA AND ILEOFEM RUN OFF,"$1,531.00 "
CT ABD COMPLETE W,"$1,685.50 "
CT ABD COMPLETE W/O,"$1,592.50 "
"""CT BODY (CH, ABD, PEL) W/O""","$1,388.00 "
"""CT BODY (CH, ABD, PEL) W""","$1,530.00 "
CT ABD COMP W AND W/O,"$1,930.00 "
CT CHEST/MEDIA. WITH ONLY,"$1,530.00 "
CT ABD WITH,"$1,688.50 "
CT SOFT TISS NECK WITH ONLY,"$1,468.00 "
CT MAXFAC WITH,"$1,489.50 "
CT HEAD OR BRAIN W ONLY,"$1,374.50 "
CT PELVIS W ONLY,"$1,616.00 "
CT PELVIS W/O,"$1,526.50 "
CT CHEST/MEDIA. W/O,"$1,388.00 "
CT ABD W/O,"$1,592.50 "
CT T-SPINE W/O,"$1,468.00 "
CT C-SPINE W/O,"$1,388.00 "
"""CT HEAD, W/O ONLY 2ND OF THE DAY""","$1,424.00 "
CT SOFT TISS NECK W/O,"$1,384.00 "
"""CT SOFT TISS NECK, W AND W/O""","$1,530.00 "
"""CT HEAD, W/O ONLY""","$1,424.00 "
CT MAXFAC W/WO,"$1,700.50 "
CT MAXFAC W/O ONLY,"$1,029.00 "
CT L-SPINE W,"$1,468.00 "
"""CT ORB, SELLA, IAC'S W AND W/O""","$1,441.50 "
"""CT ORB, SELLA, IAC'S WITH""","$1,384.00 "
CT HEAD OR BRAIN W AND W/O,"$1,583.50 "
CT ABD W AND W/O,"$1,930.00 "
CT L-SPINE W/O,"$1,388.00 "
CT PELVIS W/WO,"$1,530.00 "
CT CHEST/MEDIA. W AND W/0,"$1,616.00 "
CT EXT UPPER W/O,"$1,228.00 "
NONIONIC CONTRAST,$1.50 
CT EXT LOWER W/O ONLY,"$1,228.00 "
CT LWR EXT W ONLY,"$1,333.50 "
MRI ORBIT FACE AND NECK WITHOUT CONTRAST,"$1,867.00 "
MRI ANGIO HEAD WITHOUT,"$2,094.00 "
MRI ORBIT FACE NECK W AND W/O,"$3,921.50 "
MRI ANGIOGRAPHY ABDOMEN WITH AND WITHOUT,"$3,921.50 "
MRI ANGIO NECK W AND W/O,"$3,921.50 "
MRI BRAIN W/O,"$2,220.00 "
MRI BRAIN W AND W/O,"$3,921.50 "
MRI C-SPINE W/O,"$1,867.00 "
MRI T-SPINE W/O,"$1,867.00 "
MRI L-SPINE W/O,"$1,867.00 "
MRI L-SPINE WITH,"$2,282.00 "
MRI C-SPINE W AND W/O,"$3,921.50 "
MRI T-SPINE W AND W/O,"$3,921.50 "
MRI L-SPINE W AND W/O,"$3,921.50 "
MRI PELVIS W/O,"$1,867.00 "
MRI UP EXT N/JOINT W/O,"$1,831.50 "
MRI UP EXT W/JOINT W/O,"$1,867.00 "
MRI UP EXT W/JOINT W AND W/O,"$3,921.50 "
MRI LWR EXT W/JOINT W/O,"$1,867.00 "
MRI LWR EXT W/JOINT W AND W/O,"$3,921.50 "
MRI LWR EXT N/JOINT W AND W/O,"$3,921.50 "
MRI LWR EXT N/JOINT W/O,"$1,867.00 "
MRI ABDOMEN W/O,"$1,867.00 "
MRI ABDOMEN W AND W/O,"$3,921.50 "
MRI GADOLINIUM,$12.00 
STEREO BX 1ST PROCEDURE,"$5,788.50 "
MAM CAD SCREEN,$116.25 
MAM DIGITAL DIAGNOSTIC,$413.00 
MAM DIGITAL SCREEN,$367.00 
MAM DIGITAL DIAGNOSTIC CONVERT,$174.00 
MAM DIGITAL UNILAT DIAGNOSTIC,$286.00 
MAM DIGITAL UNILAT SCREEN,$286.00 
STEREO MAMMATOME NDL,$793.50 
TD ADSORBED ADULT (DECAVAC/TENIVAC),$65.00 
LIDOCAINE 1% TEARTOP 30ML WO/PRESERV.,$14.40 
EPINEPHRINE:1 MG INJ (1/1000) AMPULE,$25.92 
AFRIN NOSE SPRAY 0.05%(OXYMETAZOLINE),$4.00 
ALDACTONE 25MG (SPIRONOLACTONE),$1.00 
ALDOMET 250MG TABLET (METHYLDOPA),$1.75 
TYLENOL 650MG SUPP (ACETAMINOPHEN),$3.00 
AMINOPHYLLIN : 500MG / 20ML,$25.73 
ANTIVERT 12.5MG TABLET (MECLIZINE),$2.45 
ANTIVERT 25MG TABLET (MECLIZINE),$3.25 
ANUSOL HC SUPP (HYDROCORTISONE 25MG),$22.61 
ATARAX 10MG TABLET (hydrOXYzine),$2.30 
APRESOLINE (hydrALAZINE) : 20MG VIAL,$36.50 
APRESOLINE 10MG TABLET (hydrALAZINE),$1.30 
APRESOLINE 25MG TABLET (hydrALAZINE),$1.70 
APRESOLINE 50MG TABLET (hydrALAZINE),$1.90 
VITAMIN K 10MG/ML (PHYTONADIONE),$91.92 
ARTANE 2MG TABLET (TRIHEXPHENIDYL),$1.88 
ASCORBIC ACID 500MG TAB (VITAMIN C),$1.00 
ATIVAN 1MG TABLET (LORazepam) *********,$1.07 
ATROPINE : 0.4 MG/ML INJ,$7.70 
AZULFIDINE TABLETS 500MG(sulfaSALAzine),$1.35 
BACITRACIN OINTMENT,$15.84 
BACTRIM TABLET(TRIMETHOPRIM&SULFAMETHOX),$2.20 
BACTRIM DS TAB(TRIMETHOPRIM&SULFAMETHOX),$3.40 
BENADRYL 25MG (diphenhydrAMINE),$1.00 
BENADRYL 50MG CAPSULE(diphenhydrAMINE),$1.05 
BENGAY OINTMENT (ANALGESIC BALM),$3.80 
BENTYL INJ 20MG/2 ML(DICYCLOMINE),$145.23 
BENTYL:10MG CAPSULE(DICYCLOMINE),$1.30 
BENTYL 20MG TABLET(DICYCLOMINE),$1.45 
"""BICILLIN CR 1,200,000U(PROCAINE/BENZATHI""",$267.82 
"""BICILLIN LA 1,200,000U (PERMAPEN)""",$310.94 
"""BACITRACIN: 50,000 UNITS INJ.""",$46.10 
CATAPRES 200MCG TABLET (cloNIDine),$1.40 
CHLORASEPTIC SPRAY(PHENOL),$7.15 
CEPACOL ANESTHETIC LOZ.(BENZOCAINE/MENTH,$5.22 
CETACAINE SPRAY (BENZOCAINE/TETRACAINE),$125.37 
CHLORASEPTIC LOZ(MENTHOL/BENZOCAINE),$5.66 
THORAZINE (chlorproMAZINE):50MG/2ML INJ,$58.97 
CITRATE OF MAGNESIA(MAGNESIUM CITRATE),$3.26 
DECADRON 4MG TABLET (DEXAMETHASONE),$2.25 
CLEOCIN 150MG CAPSULE(CLINDAMYCIN),$3.80 
CODEINE 30MG TABLETS(CODEINE SULFATE)***,$6.05 
COGENTIN 2MG/2ML INJ(BENZTROPINE),$117.11 
COLACE 100MG CAPSULE(DOCUSATE SODIUM),$1.00 
COLBENEMID TAB (COLCHICINE/PROBENCID),$3.20 
COMPAZINE 10MG TABLETS(PROCHLORPERAZINE),$3.35 
CORTISPORIN OTIC SUSP(NEOMYCIN/POLYMIXIN,$144.85 
COUMADIN 2MG TABLET(WARFARIN SODIUM),$3.70 
COUMADIN 2.5MG TABLET(WARFARIN SODIUM),$3.75 
COUMADIN 5MG TABLET(WARFARIN SODIUM),$3.85 
COUMADIN 7.5MG TABLET(WARFARIN SODIUM),$4.60 
VITAMIN B 12 1000MCG INJ (CYANOCOBOLAMIN,$16.18 
DACRIOSE SOL OPHTH (EYE IRRIG SOL),$7.54 
DECADRON : 4 MG/ML 1 ML (DEXAMETHASONE),$6.50 
DULCOLAX 5MG TABLET (BISACODYL),$1.00 
D50% : 50 ML ABBOJECT (50% DEXTROSE),$16.75 
DILANTIN INJ. : 100MG (PHENYTOIN),$8.90 
DILANTIN 50MG CHEWABLE TABLET (PHENYTOIN,$1.98 
DILANTIN 100MG CAPSULE (PHENYTOIN EXT),$1.45 
DILAUDID : 2 MG/ML INJ (HYDROmorphone)**,$11.00 
BENADRYL:50MG/ML INJ(diphenhydrAMINE),$6.50 
DITROPAN 5MG TABLET (OXYBUTYNIN),$2.25 
DOMEBORO POWDER,$20.82 
IMODIUM 2MG CAPSULE (LOPERAMIDE),$2.87 
INDERAL 20MG TABLET (PROPRANOLOL),$1.30 
AMITRIPTYLINE 10MG TAB.(ELAVIL),$1.00 
AMITRIPTYLINE 25MG TAB. (ELAVIL),$2.00 
LACRI-LUBE OPTH OINT (AKWA TEARS),$11.80 
ePHEDrine 50MG INJ.,$102.32 
"""EPINEPHrine 1:10,000 10 ML SYRINGE""",$12.76 
LITHIUM CARBONATE 300MG,$1.25 
HEPARIN : 5000 UNITS,$6.50 
FERROUS SULFATE 325 MG,$1.00 
FLAGYL 250MG TABLET(metroNIDAZOLE),$1.90 
FOLIC ACID 1 MG TAB,$1.00 
GENTAMICIN : 80 MG/2 ML (GARAMYCIN),$8.30 
GENTAMICIN OPHTH OINT SOP(GARAMYCIN),$43.35 
GENTAMICIN OPHTH SOL .3%(GARAMYCIN),$28.60 
NOLVADEX 10MG TABLET (TAMOXIFEN),$4.73 
GLUCAGON 1 MG INJ,$371.19 
GLYCERIN SUPP INFANT,$3.45 
HALDOL 5MG/ML INJ.(HALOPERIDOL),$32.40 
HALDOL 1MG TABLET(HALOPERIDOL),$1.70 
HALDOL 5MG TABLET(HALOPERIDOL),$3.10 
HEPARIN : 1000 UNITS,$16.20 
HYDROCHLOROTHIAZIDE 25MG,$1.00 
ERYTHROMYCIN OPTH OINT,$32.38 
AMPICILLIN / NS IVPB : 1 GRAM/ 50ML,$23.80 
INDERAL 1MG/ML INJ (PROPRANOLOL),$27.80 
INDERAL 10MG TABLET (PROPRANOLOL),$1.30 
INDERAL 40MG TABLET (PROPRANOLOL),$1.85 
INDOCIN 25MG CAPSULE (INDOMETHACIN),$1.80 
ATROPINE 1% OPHTH DROPS(ISOPTO ATROPINE),$56.06 
ARTIFICIAL TEARS (AKWATEARS),$11.40 
TRIAMCINOLONE 0.1% 15 GM CREAM(KENALOG),$8.40 
TRIAMCINOLONE 40MG/ML INJ (KENALOG),$24.00 
TRIAMCINOLONE 0.1% OINT (KENALOG) 15GM,$8.40 
TRIAMCINOLONE IN ORABASE (KENALOG PASTE),$120.00 
VITAMIN K 1MG/0.5ML INJ (PHYTONADIONE),$20.35 
LANOXIN 125 MCG TABLET (DIGOXIN),$2.82 
LANOXIN 250 MCG TABLET(DIGOXIN),$3.34 
LANOXIN 500MCG/ 2ML INJ (DIGOXIN),$12.96 
AMOXICILLIN 250MG CAPSULE,$1.30 
LASIX:100MG/10ML INJ. (FUROSEMIDE),$9.40 
LASIX 20MG/2ML INJ. (FUROSEMIDE),$8.30 
LASIX 20MG TABLET (FUROSEMIDE),$1.05 
LASIX 40MG TABLET (FUROSEMIDE),$1.00 
LEVOPHED / D5W IVPB : 8MG/ 500ML,$73.00 
PNEUMOCOCCAL VACCINE,$201.61 
LIBRIUM 10MG CAPS. (chlordiazePOXIDE)***,$1.20 
LIBRIUM 25MG CAPS. (chlordiazePOXIDE)***,$1.25 
LIDEX CREAM 0.05% (FLUOCINONIDE) 30 GM,$120.26 
LOMOTIL 2.5MG/0.025MG TAB.(LONOX)******,$2.05 
CLOTRIMAZOLE 1% CREAM (Lotrimin),$14.45 
predniSONE 5MG TABLET,$1.00 
MAXITROL OPTH OINT.(NEO/POLYB/DEXAMETH),$73.33 
MAXITROL 0.S.(NEO/POLYMIX/DEXAMETH),$61.33 
MEPERIDINE:25MG INJ (DEMEROL),$11.53 
MEPERIDINE:50MG INJ (DEMEROL),$11.91 
MEPERIDINE:75MG INJ (DEMEROL),$11.10 
MEPERIDINE:100 MG INJ. (DEMEROL)********,$11.10 
MEPERIDINE TABLETS 50MG (DEMEROL),$5.60 
QUESTRAN PKT 9GM (CHOLESTYRAMINE),$5.75 
METAMUCIL (PSYLLIUM) PACKET,$1.35 
MICONAZOLE 2% CREAM (MONISTAT DERM),$13.60 
MORPHINE:10 MG CARPUJECT,$10.50 
MOTRIN 400MG TABLET (IBUPROFEN),$1.30 
"""MYCOSTATIN CREAM 100,000U (NYSTATIN)""",$31.02 
MYLICON 80 MG (SIMETHICONE),$1.00 
NARCAN 0.4MG/ML INJ. (NALOXONE),$33.04 
TOBRAMYCIN : 80 MG/2ML INJ (NEBCIN),$23.00 
NEOSPORIN TOP OINT (TRIPLE ANTIBIOTIC),$9.53 
NORFLEX 60MG/2ML INJ,$37.50 
NORFLEX 100MG (ORPHENADRINE CITRATE),$5.50 
PHENERGAN:50MG/ML INJ (PROMETHAZINE),$11.15 
PHENERGAN 25MG TABLET (PROMETHAZINE),$1.95 
PHENERGAN 25MG SUPP (PROMETHAZINE),$26.70 
POTASSIUM CHLORIDE VIAL : 40 MEQ,$8.05 
PREMARIN 0.3MG TABLET (CONJ. ESTROGENS),$7.18 
PYRIDIUM 100MG TABLET (PHENAZOPYRIDINE),$4.32 
OFLOXACIN 0.3% OTIC SOL (OFLOXACIN),$398.74 
RITALIN 5MG TABLETS (METHYLPHENIDATE),$5.70 
ROBAXIN 750MG TABLETS (METHOCARBAMOL),$1.80 
ROBINUL INJ. 0.2MG/ML (GLYCOPYROLATE),$26.68 
"""LIDOCAINE 1% WITH EPI 1:100,000""",$14.35 
SILVADENE 25 GM(SILVER SULFADIAZINE),$15.90 
SILVADENE 400GM(SILVER SULFADIAZINE),$115.78 
SINEMET 10/100 TABLETS(CARBIDOPA/LEVODOP,$2.10 
SINEquan 25 MG CAPS (DOXEPIN),$1.85 
SODIUM BICARBONATE 8.4% : 50 ML SYRINGE,$20.67 
BLEPH-10 OPHTHALMIC SOLN(SULFACETAMIDE),$233.55 
HYDROCORTISONE : 100MG (Solu CORTEF),$29.70 
methylPREDNISolone: 40MG (Solu MEDROL),$14.05 
methylPREDNISolone: 125MG,$19.09 
fentaNYL : 100 MCG. (SUBLIMAZE),$8.35 
SUDAFED 30MG TAB(PSEUDOEPHEDRINE)*******,$0.85 
SURFAK 240MG CAPSULE(DOCUSATE CALCIUM),$3.20 
SYNTHROID (LEVOTHYROXINE) 50 MCG.TAB,$2.15 
SYNTHROID (LEVOTHYROXINE) 100 MCG TAB,$2.30 
TEGRETOL (carBAMazepine) 200MG TAB,$2.20 
THIAMINE (VIT B-1):100MG/ML 2 ML VIAL,$18.60 
THORAZINE (chlorproMAZINE) 25MG TABLET,$10.54 
TRANXENE 3.75 MG (CLORAZEPATE)**********,$4.10 
TYLENOL 325MG CAPLETS (ACETAMINOPHEN),$0.09 
TYLENOL W/CODEINE 30MG(#3)*************,$1.75 
VALIUM:10MG/2ML INJ (DIAZEPAM),$52.91 
VALIUM 2 MG TAB (DIAZEPAM) *************,$1.25 
VALIUM 5 MG TAB (DIAZEPAM) ************,$1.40 
VIBRAMYCIN 100MG CAPSULE (DOXYCYLINE),$2.72 
VISTARIL 25MG CAPSULE (hydrOXYzine),$1.45 
VISTARIL 100MG/2ML INJ. (hydrOXYzine),$16.50 
THIAMINE (B-1) 100MG TABLET,$1.00 
LIDOCAINE 2% WITH PRESERVATIVE (MDV),$9.18 
LIDOCAINE JELLY 2% (XYLOCAINE),$37.35 
LIDOCAINE 4% TOPICAL:(XYLOCAINE),$108.15 
ZAROXOLYN 2.5MG TABLETS (METOLAZONE),$4.50 
ZAROXOLYN 5MG TABLETS (METOLAZONE),$4.90 
ZINC OXIDE OINT,$4.98 
ZYLOPRIM 100MG TABLETS (ALLOPURINOL),$1.00 
ZYLOPRIM 300MG TABLETS (ALLOPURINOL),$2.25 
LIDOCAINE 2% INJ 100MG/5ML SYRINGE,$8.33 
D5W 100ML,$18.00 
NORMAL SALINE: 50ML ADV,$18.00 
NORMAL SALINE: 100ML ADVANTAGE,$18.00 
predniSONE 20MG TABLET,$1.20 
predniSONE 10MG TABLET,$1.00 
DAKIN'S SOLUTION,$21.00 
MINIPRES 1MG CAPS (PRAZOSIN),$1.40 
FLEXERIL 10MG TABLET(CYCLOBENZAPRINE),$2.80 
ATROPINE 1MG/10ML SYRINGE,$20.78 
BRETHINE : 1 MG/ML INJ (TERBUTALINE),$23.12 
ISOPTO HOMATROPINE 5% (5ML),$75.63 
MYCOSTATIN (NYSTATIN/PEDI-DRI) POWDER,$43.90 
HYDROCORTISONE CR 1%,$14.40 
LOPRESSOR 50MG (metoPROLOL TARTRATE),$1.90 
MEFOXIN : 1GM INJ. (CEFOXITIN),$30.45 
PENICILLIN VK 250MG TAB,$1.35 
PHENERGAN 12.5MG SUPP (PROMETHAZINE),$25.10 
STADOL 2MG/ML INJ(BUTORPHANOL)**********,$11.00 
DULCOLAX SUPPOSITORY 10MG (BISACODYL),$3.40 
ANUSOL HC 2 1/2% (HYDROCORTISONE) CREAM,$113.61 
ACTIDOSE (CHARCOAL W/SORBITOL) CHERRY,$65.73 
MAGNESIUM SULFATE 50% : 2 ML,$7.70 
MAALOX (ANTACID LIQUID) MYLANTA/MINTOX,$5.62 
NITROSTAT 0.4MG S/L (NITROGLYCERIN),$56.03 
PILOCARPINE 2% OPHT UD,$8.35 
ASPIRIN 325MG ENTERIC COATED,$0.10 
KAYEXALATE SUSP 15GM/60ML,$18.34 
LASIX 80MG TABLET (FUROSEMIDE),$1.00 
LASIX:40MG/4ML INJ. (FUROSEMIDE),$7.50 
TESSALON PERLES 100 MG (BENZONATATE),$2.80 
KEFLEX 250MG CAPSULE (CEPHALEXIN),$4.90 
KEFLEX 500MG CAPSULES (CEPHALEXIN),$2.70 
LIDOCAINE 1% MDV 50ML (XYLOCAINE),$15.50 
"""VANCOMYCIN : 1GM VIAL, CHG/500MG""",$25.00 
MEFOXIN 1 GRAM VIAL (cefOXitin),$29.90 
MEFOXIN/ NS IVPB: 2 GM/ 50ML,$74.70 
MUCOMYST 20%:(ACETYLCYSTEINE) 30 ML,$32.06 
predniSONE 1MG TABLET,$1.25 
TIMOPTIC (TIMOLOL) 0.25% OPTH SOL,$91.20 
VISINE OPTH SOLN 0.05% (TETRAHYDROZOLIN),$3.60 
TYLENOL W/COD SOLN.(120MG/12MG PER 5ML),$2.44 
CORGARD 40MG TABLET(NADOLOL),$6.67 
VALPROIC ACID 250MG/5ML SYRUP (DEPAKENE),$27.00 
FERROUS GLUCONATE 324MG,$1.00 
ISORDIL 20MG TABLET (ISOSORBIDE DINITRAT,$2.24 
KLYTE 25 MEQ. EFFER. (POTASSIUM BICARB),$1.45 
MEDROL 4MG TABLETS (methylPREDNISolone),$2.10 
MVI ADULT MULTIVITAMIN : 10 ML,$60.20 
STRESSTAB TAB 500(B COMPLEX W VIT C),$0.95 
VITAMIN B6 TABLET100MG (PYRIDOXINE),$1.00 
THEO-DUR (THEOPHYLLINE) 300MG TABS,$7.51 
INFLUENZA VACCINE,$33.50 
RABIES VACCINE IMOVAX/RABAVERT,$681.63 
TYLENOL 325MG SUPP (ACETAMINOPHEN),$3.30 
ASPERCREME,$6.30 
THEO-DUR (THEOPHYLLINE) 200MG TABS,$1.00 
TIMOPTIC (TIMOLOL) 0.5% OPTH SOL,$157.96 
MOTRIN 600MG TABLET (IBUPROFEN),$1.75 
AMOXICILLIN SUSP 125MG/5ML,$8.20 
