Description, Total Price 
"HB LAB PLASMINOGEN ACTIVATOR INHIB, SO", $57.60 
HB LAB PLASMINOGEN ANTGEN ASSAY, $53.00 
HB LAB PLASMINOGEN ASSAY, $34.00 
"HB LAB PLAT AG TYPING, SO", $180.00 
"HB LAB PLATELET AB DRUG DEPENDANT, SO", $160.00 
HB LAB PLATELET AB ID, $95.00 
"HB LAB PLATELET AB ID, SO", $83.00 
"HB LAB PLATELET AB SCR, SO", $289.00 
"HB LAB PLATELET AB SCREEN, INDIRECT , SO", $12.80 
"HB LAB PLATELET ASSOC AB ID, SO", $43.45 
HB LAB PLATELET COUNT AUTOMATED, $23.00 
HB LAB PLT PHOSPHOLIPID NEUTRAL, $93.00 
HB LAB PMS2 GENE ANALYSIS DUPLICATION/DELETION VARIANTS, $841.00 
HB LAB PMS2 GENE ANALYSIS FULL SEQUENCE," $2,964.00 "
"HB LAB PMS2 GENE ANALYSIS, FULL SEQ, SO", $433.33 
"HB LAB PMS2 GENE ANALYSIS; DUPLICATION/DELETION VARIANTS, SO", $560.00 
"HB LAB PMS2 GENE ANALYSIS; FULL SEQUENCE, SO", $560.00 
"HB LAB PMS2 GENE ANLY, FULL SEQ, DUP/DEL, SO", $433.36 
HB LAB PNEUMOCYSTIS ANTIGEN, $62.00 
"HB LAB PNUEMOCYSTIC JIROECII QUAL PCR, SO", $249.09 
"HB LAB POLIO ANTIBODY, SO", $47.75 
HB LAB POOLING PLATELETS OTH BLD, $90.00 
"HB LAB PORPHOBILINOGEN, QN, SO", $6.43 
"HB LAB PORPHYRINS UR QN FRACT, SO", $24.00 
"HB LAB PORPHYRINS, PLASMA, SO", $55.00 
HB LAB POST VASECTMY SEMEN ANAL, $62.00 
HB LAB POTASSIUM SERUM WHOLE BLOOD, $24.00 
"HB LAB POTASSIUM, OTH FLUID", $28.00 
"HB LAB POTASSIUM, URINE", $22.00 
HB LAB PREALBUMIN, $76.00 
HB LAB PREGNANCY PLASMA PROT-A SO INT ONE, $38.00 
HB LAB PREGNANCY PLASMA PROTEIN A-MSSP, $130.00 
HB LAB PREGNANCY PLASMA PROTEIN-A, $78.00 
"HB LAB PREGNCY PLASMA PROT-A, SO", $130.00 
"HB LAB PREGNENOLONE, SO", $25.00 
HB LAB PREP EMBRYO FOR TRANSFER, $170.00 
HB LAB PREP EMBRYO FOR TRANSFER PT PAY, $290.00 
HB LAB PRETREAT RBC ANTIBODYSORPTION, $121.00 
HB LAB PRIMIDONE, $86.00 
HB LAB PROCALCITONIN (PCT), $139.00 
HB LAB PROGESTERONE, $108.00 
HB LAB PROLACTIN, $100.00 
"HB LAB PROPOXYPHENE CONFIRMATION,SO", $124.00 
HB LAB PROTEIN C ACTIVITY, $72.00 
HB LAB PROTEIN C ANTIGEN, $62.00 
HB LAB PROTEIN PHORES OTH FL QN, $92.00 
HB LAB PROTEIN PHORES SER & QN, $56.00 
HB LAB PROTEIN S ANTIGEN, $60.00 
"HB LAB PROTEIN S ANTIGEN, SO", $42.28 
"HB LAB PROTEIN S FREE ANTIGEN, PROSAGFSP, SO", $15.00 
HB LAB PROTEIN TOTAL OTH SOURCE, $19.00 
"HB LAB PROTEIN TOTAL, EXC REFRAC", $19.00 
HB LAB PROTEIN URINE, $19.00 
"HB LAB PROTEIN, OTHER SOURCE, SO", $65.00 
"HB LAB PROTEIN; WESTERN BLOT, MAG AUTOAB, SO", $95.35 
HB LAB PROTHROMBIN TIME, $20.00 
HB LAB PROTHROMBIN TIME SUBSTIT, $20.00 
"HB LAB PROTOZOA ANTIBODY, SO", $12.80 
"HB LAB PSA FREE, SO", $8.20 
HB LAB PSA SCREEN, $95.00 
HB LAB PSA TOTAL, $95.00 
"HB LAB PSA TOTAL, SO", $18.00 
HB LAB PTEN GENE ANALYSIS DUPLICATION/DELETION VARIANT," $1,140.00 "
HB LAB PTEN GENE ANALYSIS FULL SEQUENCE," $2,280.00 "
HB LAB PTT SUB PLASMA FRAC EA, $33.00 
"HB LAB PYRIDOXINE PHOS VIT B6, SO", $31.07 
"HB LAB PYRUVATE KINASE, PYRB, SO", $41.60 
"HB LAB PYRUVIC, SO", $24.00 
"HB LAB QUANTITATIVE ASSAY DRUG, 5-FLUOROCYTOSINE, SO", $106.56 
"HB LAB QUANTITATIVE ASSAY DRUG, AMIODARONE, SO", $38.00 
"HB LAB QUANTITATIVE ASSAY DRUG, CLOMIPRAMINE, SO", $17.28 
"HB LAB QUANTITATIVE ASSAY DRUG, FELBAMATE, SO", $38.00 
"HB LAB QUANTITATIVE ASSAY DRUG, FLECAINIDE, SO", $13.32 
"HB LAB QUANTITATIVE ASSAY DRUG, FLUOXITENE, SO", $20.00 
"HB LAB QUANTITATIVE ASSAY DRUG, GABAPENTIN, SO", $38.00 
"HB LAB QUANTITATIVE ASSAY DRUG, IBUPROFIN, SO", $62.00 
"HB LAB QUANTITATIVE ASSAY DRUG, ITRACONAZOLE, SO", $71.47 
"HB LAB QUANTITATIVE ASSAY DRUG, LACOSAMIDE, SO", $80.00 
"HB LAB QUANTITATIVE ASSAY DRUG, METHOTREXATE", $38.00 
"HB LAB QUANTITATIVE ASSAY DRUG, PENTOBARBITAL, SO", $31.83 
"HB LAB QUANTITATIVE ASSAY DRUG, PREGABALIN, SO", $85.00 
"HB LAB QUANTITATIVE ASSAY DRUG, VORICONAZOLE, SO", $71.47 
"HB LAB QUANTITATVE ASSAY DRUG,INFLIXIMAB, SO", $219.60 
HB LAB RAST ALLERGEN EACH IGE, $27.00 
"HB LAB RAST ALLERGEN EACH IGE (BASS BLACK), SO", $9.94 
HB LAB RAST ALLERGEN EACH IGE SO, $9.72 
"HB LAB RAST ALLERGEN EACH IGE, SO", $8.00 
"HB LAB RAST ALLERGEN EACH IGE,SO", $22.00 
HB LAB RENAL FUNCTION PANEL, $45.00 
"HB LAB RENIN, SO", $61.00 
HB LAB REPTILASE TEST, $51.00 
"HB LAB RESPIRAT SYNCYTIAL VIRUS AB, SO", $41.00 
HB LAB RESPIRATORY CULTURE, $45.00 
"HB LAB RESPIRATORY VIRUS PANEL, 12-25 TARGETS"," $1,358.00 "
"HB LAB RESPIRTORY VIRUS, MULTIPLEX 3-5 TARGETS", $664.00 
HB LAB RETICULOCYTE CNT AUTOMTED, $21.00 
"HB LAB RHEUMATOID FACTOR QL, SO", $40.00 
HB LAB RHEUMATOID FACTOR QN, $29.00 
"HB LAB RIA NONANTIBODY, PROCOLLAGEN TYPE 1, SO", $114.75 
"HB LAB RIA NONANTIBODY, SO", $17.35 
"HB LAB RIA NONANTIBODY, SO", $68.00 
"HB LAB RIBOFLAVIN VITAMIN B-2, SO", $83.70 
"HB LAB RICKETTSIA ANTIBODY, SO", $9.37 
HB LAB ROTAVIRUS ANTIGEN, $62.00 
HB LAB ROUTINE CULTURE, $45.00 
HB LAB RSV ANTIGEN, $62.00 
HB LAB RUBELLA ANTIBODY, $75.00 
"HB LAB RUBELLA ANTIBODY, SO", $26.00 
HB LAB RUBEOLA ANTIBODY, $67.00 
HB LAB RUNX1 GENE ANALYSIS TARGETED SEQUENCE ANALYSIS," $1,252.00 "
HB LAB RUSSELL VIPER VENOM DILUTED, $50.00 
HB LAB SALICYLATE, $55.00 
HB LAB SALICYLATE SENDOUT, $10.00 
"HB LAB SALMONELLA ANTIBODY, SO", $8.00 
HB LAB SEDIMENT RATE RBC AUTOMATED, $14.00 
HB LAB SEDIMENT RTE RBC NONAUTO, $18.00 
"HB LAB SELENIUM, SO", $19.91 
HB LAB SEMEN ANALYSIS COMPLETE, $62.00 
HB LAB SEMEN ANALYSIS COMPLETE PT PAY, $62.00 
HB LAB SEMEN ANALYSIS DONOR PT PAY, $62.00 
HB LAB SEMEN ANALYSIS KRUGER, $80.00 
HB LAB SEMEN ANALYSIS MOTILITY, $46.00 
HB LAB SEPT9 PROMOTER METHYLATION ANALYSIS, $65.00 
"HB LAB SEROTONIN RELEASE ASSAY, SO", $50.00 
"HB LAB SEROTONIN, SO", $17.00 
HB LAB SEX HORMNE BINDING GLOB, $113.00 
HB LAB SHIGATOXIN INFECT AGENT DIRECT OPTICAL, $62.00 
"HB LAB SIALIC ACID, SO", $150.00 
HB LAB SICKLE CELL RBC, $29.00 
HB LAB SIROLIMUS-RAPAMYCIN, $71.00 
HB LAB SKIN TEST CANDIDA, $121.00 
HB LAB SKIN TEST TUBERCULOSIS, $66.00 
HB LAB SKIN TEST UNLISTED ANTIGEN, $66.00 
HB LAB SLCO1B1 GENE ANALYSIS COMMON VARIANTS, $664.00 
"HB LAB SMEAR COMPLEX STAIN, SO", $3.91 
HB LAB SMEAR FLUORESCT/ACID FAST, $28.00 
HB LAB SMEAR GRAM/GIEMSA STAIN, $22.00 
"HB LAB SMEAR GRAM/GIEMSA STAIN, LEUKOCYTES, STOOL", $22.00 
HB LAB SMEAR NASAL EOSINOPHIL, $25.00 
HB LAB SMEAR SPECIAL STAIN, $31.00 
HB LAB SMN1 GENE ANALYSIS DOSAGE/DELET ALYS W/SMN2 ALYS, $521.00 
HB LAB SMOOTH MUSCLE AB/MITOCHONDRIAL AB, $25.00 
"HB LAB SMPD1 GENE ANALYSIS, SO", $65.00 
HB LAB SODIUM OTHER SOURCE, $25.00 
HB LAB SODIUM SERUM PLASMA W/ BLOOD, $25.00 
HB LAB SODIUM URINE, $25.00 
HB LAB SOLID TUMOR FUSION PANEL," $2,000.00 "
"HB LAB SOMATOMEDIN, SO", $33.00 
HB LAB SPECIAL STAIN 1, $170.00 
HB LAB SPECIAL STAIN 2, $221.00 
HB LAB SPECIFIC GRAVITY BODY FLUID, $13.00 
"HB LAB SPECTROPHOTOMETRY NOT SPEC, SO", $239.00 
HB LAB SPERM ANTIBODY, $55.00 
HB LAB SPERM ANTIBODY PT PAY, $477.00 
HB LAB SPERM WASH UP & SWIM PT PAY, $324.00 
HB LAB SPERM WASH&SWIM UP CMPLX PREP, $170.00 
HB LAB SPERM WASH&SWIM UP PACKAGE PR, $55.00 
HB LAB SPLIT OF BLD PRODUCT EACH, $491.00 
HB LAB STAPHY A METHICILLN RESIST AMPLFD, $182.00 
HB LAB STEM CELL QUANT CD34, $296.00 
"HB LAB STEROL QUANT GCMS, SO", $150.00 
HB LAB STOOL BACTERIAL PCR, $664.00 
HB LAB STORAGE (PER YR) SPERM/SEMEN, $20.00 
HB LAB STORAGE (PER YR) SPERM/SEMEN PT PAY, $20.00 
HB LAB STORAGE EMBROY(S) PER YR, $50.00 
HB LAB STORAGE EMBROY(S) PER YR PT PAY, $50.00 
HB LAB STREP A ASSAY W/OPTIC, $63.00 
HB LAB STREP B DNA AMPLIFIED PROBE, $182.00 
HB LAB STREP GROUP A AG EIA, $64.00 
"HB LAB SUGARS; SNGLE QUAL, STL RDC SUBS, EACH SPEC, SO", $2.40 
"HB LAB SULFA DRUG LEVEL, SO", $18.24 
HB LAB SURG PATH PROSTATE NDL BX, $819.00 
HB LAB SURGICAL PATH GROSS, $66.00 
HB LAB SUSCEPTIB AGAR PER PLATE, $25.00 
HB LAB SUSCEPTIB DISK PER PLATE, $36.00 
HB LAB SUSCEPTIB ENZ DET PER ENZ, $25.00 
HB LAB SUSCEPTIB MIC PER PLATE, $45.00 
"HB LAB SUSCEPTIB MIC PER PLATE, SO", $71.36 
"HB LAB SYNTHETIC CANNABINOID SCREEN, SO", $50.00 
HB LAB SYPHILIS TEST NON-TREP QL, $22.00 
HB LAB SYPHILIS TEST NON-TREP QN, $23.00 
"HB LAB T CELLS CD4 CD8 RATIO, SO", $131.00 
HB LAB T CELLS TOTAL, $195.00 
"HB LAB T CELLS TOTAL, SO", $68.00 
HB LAB T3 TRIIODOTHYRONINE FREE, $88.00 
HB LAB T3 TRIIODOTHYRONINE TOTAL, $73.00 
HB LAB T3 UPTAKE, $33.00 
HB LAB TACROLIMUS (FK506), $71.00 
"HB LAB TARGETED GENOMIC SEQ ANALYS PANEL, SOLID ORGAN OR HEMATOLYMPHOID NEOPLASM"," $4,379.00 "
"HB LAB TARGETED GENOMIC SEQUENCE ANALYSIS PANEL,  HEMATOLYMPHOID NEOPLASM OR DISORDER, DNA AND RNA ANALYSIS"," $2,886.00 "
"HB LAB TARGETED GENOMIC SEQUENCE ANALYSIS PANEL, SOLID ORGAN NEOPLASM, DNA ANALYSIS"," $2,272.00 "
"HB LAB TB TEST CELL IMMUN MEASRE, SO", $115.00 
HB LAB TERT GENE ANALYSIS TARGETED SEQUENCE ANALYSIS, $704.00 
HB LAB TEST ADVISORY SERVICE, $170.00 
HB LAB TESTOSTERONE FREE, $132.00 
HB LAB TESTOSTERONE FREE TOTAL, $134.00 
"HB LAB TETANUS ANTIBODY, SO", $11.20 
"HB LAB THALLIUM, SO", $22.87 
HB LAB THAWING CRYOPRESERVED; SPERM/SEMEN, $170.00 
HB LAB THAWING CRYOPRESERVED; SPERM/SEMEN PT PAY, $18.00 
HB LAB THAWING CRYOPRSRV EMBRYO, $360.00 
HB LAB THAWING CRYOPRSRV EMBRYO PT PAY, $360.00 
"HB LAB THC-MECONIUM, SO", $15.00 
HB LAB THEOPHYLLINE, $73.00 
"HB LAB THIAMINE VITAMIN B1, SO", $58.00 
HB LAB THIOCYANATE, $60.00 
HB LAB THROMBIN CLOTTING TIME, $30.00 
"HB LAB THYR STIM IMMUNOGLOB, SO", $28.90 
HB LAB THYROGLOBULIN, $83.00 
HB LAB THYROGLOBULIN ANTIBODY, $82.00 
HB LAB THYROID STIM HORMONE-TSH, $87.00 
"HB LAB THYROTROPIN RECTR AB, SO", $45.00 
HB LAB THYROXINE BINDING GLOBULIN, $77.00 
HB LAB THYROXINE TOTAL, $36.00 
HB LAB THYROXINE TOTAL FREE, $47.00 
HB LAB TISS CULTURE SOLID TUMOR, $764.00 
HB LAB TISSUE CULTURE AMNIOTIC, $762.00 
"HB LAB TISSUE CULTURE AMNIOTIC, SO", $460.00 
HB LAB TISSUE CULTURE BONE MARROW, $654.00 
HB LAB TISSUE CULTURE LYMPHOCYTE, $603.00 
"HB LAB TISSUE CULTURE, SKIN", $728.00 
HB LAB TISSUE EXAM FUNGI, $22.00 
HB LAB TISSUE HOMOGENIZATION, $30.00 
HB LAB TISSUE SKIN OR OTHER SOLID TISSUE BIOPSY, $728.00 
HB LAB TISSUE TRANSGLUTAM IGA, $60.00 
HB LAB TISSUE TRANSGLUTAM IGG, $60.00 
HB LAB TOBRAMYCIN, $83.00 
"HB LAB TOCOPHEROL ALPHA VIT E, SO", $40.00 
HB LAB TOPIRAMATE, $62.00 
"HB LAB TOXICOLOGY BLOOD, SO", $98.00 
HB LAB TOXOPLASMA ANTIBODY, $75.00 
"HB LAB TOXOPLASMA ANTIBODY DYE TEST-IGT, SO", $31.00 
HB LAB TOXOPLASMA ANTIBODY IGM, $75.00 
"HB LAB TOXOPLASMA ANTIBODY IGM, 1 GM ELISA, SO", $27.00 
HB LAB TPMT GENE ANALAYSIS COMMON VARIANTS, $664.00 
"HB LAB TRANSFERASE ALANINE AMINO ALT SGPT, SO", $24.27 
HB LAB TRANSFERRIN, $66.00 
HB LAB TREPONEMA PALLIDUM, $69.00 
HB LAB TRICH VAG IMMUNO DIR OPTICAL, $62.00 
HB LAB TRICH VAGINALIS AMPLIF, $182.00 
"HB LAB TRICYCLICS PNL, SO", $16.00 
HB LAB TRIGLYCERIDES, $30.00 
"HB LAB TRIIODOTHYRONINE T3 REVERSE RT3SP, SO", $11.00 
HB LAB TROPONIN QUANTITATIVE, $51.00 
HB LAB TUMOR IMMUNOHISTOCHEM/COMPUT, $819.00 
HB LAB TYMS GENE ANALYSIS COMMON VARIANTS, $664.00 
"HB LAB UGT1A1 GENE, SO", $792.00 
HB LAB UNLISTED PROCEDURE CHEM, $28.00 
HB LAB UREA NITROGEN QUANT (BUN), $20.00 
HB LAB UREA NITROGEN URINE, $25.00 
HB LAB URIC ACID BLOOD, $23.00 
HB LAB URIC ACID OTHER SOURCE, $25.00 
HB LAB URINALYS NONAUTO W/O MICROSCOPE, $13.00 
HB LAB URINALYSIS AUTO W/ MICROSCOPE, $16.00 
HB LAB URINALYSIS MACRO AUTO, $12.00 
HB LAB URINALYSIS MICROSCOPIC, $11.00 
HB LAB URINALYSIS MICROSCPIC ONLY, $16.00 
HB LAB URINALYSIS NONAUTO W/MICRO, $16.00 
"HB LAB URINE PREGNANCY TEST, BY VISUAL COLOR COMPARISON METHODS", $33.00 
HB LAB URINE VOLUME MEASUREMNT, $16.00 
HB LAB VALPROIC ACID DEPAKANE, $70.00 
HB LAB VALPROIC ACID; FREE, $70.00 
HB LAB VANCOMYCIN, $70.00 
HB LAB VARICELLA ANTIGEN, $62.00 
HB LAB VARICELLA-ZOSTER AB, $67.00 
"HB LAB VARICELLA-ZOSTER AB, SO", $9.50 
"HB LAB VASOACT INTEST PEPTIDE, SO", $30.40 
"HB LAB VASOPRESSIN (ADH), SO", $25.60 
HB LAB VDRL CSF, $23.00 
HB LAB VIRUS INOCULATION TISSUE, $135.00 
HB LAB VISCOSITY, $60.00 
"HB LAB VIT A AND METANTIBODY, SO", $32.00 
"HB LAB VIT B12 BIND CAP, SO", $17.60 
"HB LAB VIT B3 NIACIN, NIACINNMS, SO", $95.00 
"HB LAB VIT C ASCORB ACID, VITCSP, SO", $22.30 
"HB LAB VIT D 1 25 DIHYDROXY, SO", $28.80 
HB LAB VITAMIN B12, $78.00 
HB LAB VITAMIN D 25 HYDROXY, $153.00 
"HB LAB VMA URINE, SO", $43.00 
"HB LAB VOLATILE SCREEN, SO", $48.00 
"HB LAB VOLT, GATE K AB, SO", $460.00 
"HB LAB VOLTAGE, GATED CA CHNL, SO", $123.50 
HB LAB WBC AUTOMATED, $13.00 
"HB LAB WEST BLOT, ANTI PURKINJE CELL AB, SO", $93.08 
"HB LAB WEST BLOT, IMMUNOFLUORESCENT, SO", $475.00 
"HB LAB WEST NILE VIRUS AB, SO", $31.95 
"HB LAB WEST NILE VIRUS IGG, SO", $44.00 
"HB LAB WEST NILE VIRUS IGM AB, SO", $30.85 
"HB LAB WEST NILE VIRUS IGM, SO", $44.00 
HB LAB WET MOUNT, $56.00 
HB LAB WOUND/ANTIBODYSC/DRN CULT, $45.00 
"HB LAB XYLOSE ABSORPTION TEST, SO", $23.52 
HB LAB ZIKA VIRUS IGM ANTIBODY, $92.80 
"HB LAB ZINC, BLOOD, SO", $9.24 
"HB LAB ZINC, RBC, SO", $49.80 
"HB LAB ZINC, URINE, SO", $11.20 
HB LAB3 PROBE PANEL, $111.00 
"HB LAB-ANTIBODY TITER, SO", $28.52 
"HB LAB-BCR/ABL T(9;22), P190", $750.00 
"HB LAB-BCR/ABL T(9;22), P210", $849.00 
HB LAB-BRAF  GENE ANALYSIS, $680.00 
HB LAB-COMP ANAL STR EA ADL SPEC," $1,158.00 "
HB LAB-COMPARA ANALY STR," $1,113.00 "
HB LAB-CYSTIC FIBROSIS," $2,115.00 "
HB LAB-EGFR MUTATION ANAL," $1,252.00 "
HB LABEL PACK- CARDIAC CATH STERILE, $7.00 
HB LAB-FACTOR V (LEIDEN), $316.00 
"HB LAB-FENTANYL, URINE, SO", $66.00 
HB LAB-FRAGILE X PCR, $217.00 
HB LAB-FRAGILE X SOUTHERN BLOT, $171.00 
HB LAB-HERED.HEMOCHROMATOSIS, $338.00 
HB LAB-IGH BCELL GENE REARRNG," $1,025.00 "
"HB LAB-IMMUNOASSAY ANALYTE, SO", $30.64 
"HB LAB-INFECT AGENT DETECTION, SO", $60.40 
HB LAB-JAK2 V617F, $475.00 
"HB LAB-KRAS CODONS 12 ,13", $749.00 
HB LAB-MSI TESTING," $1,499.00 "
HB LAB-MTHFR, $248.00 
"HB LAB-MURAMIDASE, SO", $16.35 
HB LAB-NPM1 GENE ANALYSIS, $938.00 
HB LABOR RM-EVAL FALSE LABOR/HR, $181.00 
HB LABOR ROOM LEVEL 1-1ST HR, $210.00 
HB LABOR ROOM LEVEL 1-EA ADDL HR, $107.00 
HB LABOR ROOM LEVEL 2-1ST HR, $312.00 
HB LABOR ROOM LEVEL 2-EA ADDL HR, $228.00 
HB LAB-PML/RARA T(15;17)," $1,073.00 "
HB LAB-PROTHROMBIN 20210G>A, $255.00 
HB LAB-PWS AND AS, $194.00 
HB LAB-RETT FAMILIAL MUTATION, $456.00 
HB LAB-RETT SYNDROME," $2,006.00 "
HB LAB-T CELL BETA GENE REARRNG," $1,081.00 "
HB LAB-T CELL GAMMA GENE REARRNG," $1,043.00 "
"HB LAB-TKD PORTION OF FLT3, SO", $166.00 
HB LABYRINTHOTOMY TRANSCANAL, $250.00 
HB LAC ANT. MITRAL VALVE PREV. LT VENTRICULAR OBSTRUCTION," $6,800.00 "
HB LAC FIBERGLASS MATERIALS, $158.00 
"HB LACERATION REPAIR TONGUE, FLOOR OF MOUTH OVER 2.6 CM OR COMPLEX", $709.00 
HB LACRIMAL DUCT IMPLANT EACH, $104.00 
"HB LACRIMAL DURA PLUGS TEMPORARY, EACH", $4.00 
HB LACTATION CLASSES PER SESSION, $25.00 
"HB LACTATION CLASSES, PER SESSION, PATIENT PAY", $25.00 
"HB LARIA & SNARE, 10MM", $75.00 
"HB LARIA & SNARE, 30MM", $75.00 
"HB LARIA & SNARE, 6MM", $75.00 
"HB LARYNGOPLASTY MEDIALIZATION, UNILATERAL"," $2,966.00 "
HB LARYNGOSCOPY DIRECT DX," $1,381.00 "
HB LARYNGOSCOPY FLEX DX, $125.00 
HB LARYNGOSCOPY W FB REMOVE, $235.00 
HB LARYNGOSCOPY W STROBOSCOPY, $350.00 
HB LARYNGOSCOPY W/LASER DESTRUCT LESIONS," $1,550.00 "
"HB LARYNGOSCOPY,DIRCT,INJ VOCAL CORD"," $1,550.00 "
"HB LARYNGOSCOPY,FLEXIBLE W/REMOVAL OF LESION(S), NON-LASER", $850.00 
"HB LARYNGOSCOPY,FLEXIBLE,BIOPSY(IES)", $350.00 
"HB LARYNGOSCOPY,FLEXIBLE,W/REMOVAL OF FOREIGN BODY(S)", $350.00 
"HB LARYNGOSCOPY,INDIRECT,DX", $125.00 
HB LAS FIBERGLASS MATERIALS, $124.00 
HB LASER KTP, $970.00 
HB LASER OR, $855.00 
"HB LASER SURGERY, SEVER VITREOUS STRANDS", $850.00 
HB LASER TRM INFL SKIN DIS<250 SQ CM, $275.00 
HB LASER TRM INFL SKIN DIS>500 SQ CM, $325.00 
"HB LASER TX 250 SQ CM, PT PAY", $150.00 
HB LASR TR INFL SKN DIS 250-500 SQ CM, $260.00 
HB LATE FEE HOME SLEEP EQUIPMENT-PT PAY, $15.00 
HB LATITUDE USD CELL ADAPTER (BOSTON SCIENTIFIC)," $1,350.00 "
HB LEAD AXXESS QUAD," $4,836.00 "
HB LEAD CAP KIT, $60.00 
HB LEAD CUTTER," $1,525.00 "
HB LEAD EXCLAIM™," $8,325.00 "
HB LEAD EXTRACTION, $692.00 
HB LEAD EXTRACTION EVOLUTION MECH DIALTOR SHEATH SET 9.0 LVL 21," $4,650.00 "
HB LEAD ICD ENDOCARD 1 COIL LVL 23," $5,250.00 "
HB LEAD ICD ENDOCARD 1 COIL LVL 24," $5,500.00 "
HB LEAD ICD ENDOCARD 1 COIL LVL 36," $9,375.00 "
HB LEAD ICD ENDOCARD 1 COIL LVL 37," $10,050.00 "
HB LEAD ICD ENDOCARD 1 COIL LVL 38," $10,875.00 "
HB LEAD ICD ENDOCARD 1 COIL LVL 39," $11,475.00 "
HB LEAD ICD ENDOCARD 1 COIL LVL 40," $12,525.00 "
HB LEAD ICD ENDOCARD 1 COIL LVL 41," $11,275.00 "
HB LEAD ICD ENDOCARD 1 COIL LVL 43," $14,775.00 "
HB LEAD ICD ENDOCARD 1 COIL LVL 44," $16,500.00 "
HB LEAD ICD ENDOCARD 1 COIL LVL 52," $40,500.00 "
HB LEAD ICD ENDOCARD DUAL COIL LVL 37," $10,050.00 "
HB LEAD ICD ENDOCARD DUAL COIL LVL 39," $11,475.00 "
HB LEAD ICD ENDOCARD DUAL COIL LVL 41," $13,275.00 "
HB LEAD ICD ENDOCARD DUAL COIL LVL 43," $14,775.00 "
HB LEAD ICD ENDOCARD DUAL COIL LVL 44," $16,500.00 "
HB LEAD ICD O/T ENDCAR 1 OR 2 COIL LVL 10," $1,350.00 "
HB LEAD ICD O/T ENDCAR 1 OR 2 COIL LVL 18," $3,750.00 "
HB LEAD ICD O/T ENDCAR 1 OR 2 COIL LVL 31," $7,650.00 "
HB LEAD ICD O/T ENDCAR 1 OR 2 COIL LVL 42," $14,025.00 "
HB LEAD ICD O/T ENDCAR 1 OR 2 COIL LVL 48," $27,000.00 "
HB LEAD LVL 10," $1,350.00 "
HB LEAD LVL 11," $1,650.00 "
HB LEAD LVL 12," $1,950.00 "
HB LEAD LVL 14," $2,550.00 "
HB LEAD LVL 16," $3,150.00 "
HB LEAD LVL 21," $4,650.00 "
HB LEAD LVL 25," $5,850.00 "
HB LEAD LVL 26," $6,150.00 "
HB LEAD LVL 3, $225.00 
HB LEAD LVL 30," $7,350.00 "
HB LEAD LVL 4, $375.00 
HB LEAD LVL 6, $675.00 
HB LEAD LVL 8, $975.00 
HB LEAD LVL 9," $1,125.00 "
HB LEAD NEUROSTIMULATOR LVL 11," $1,650.00 "
HB LEAD NEUROSTIMULATOR LVL 12," $1,950.00 "
HB LEAD NEUROSTIMULATOR LVL 14," $2,550.00 "
HB LEAD NEUROSTIMULATOR LVL 15," $2,850.00 "
HB LEAD NEUROSTIMULATOR LVL 18," $3,600.00 "
HB LEAD NEUROSTIMULATOR LVL 19," $4,050.00 "
HB LEAD NEUROSTIMULATOR LVL 20," $4,350.00 "
HB LEAD NEUROSTIMULATOR LVL 26," $6,150.00 "
HB LEAD NEUROSTIMULATOR LVL 28," $6,750.00 "
HB LEAD NEUROSTIMULATOR LVL 29," $7,050.00 "
HB LEAD NEUROSTIMULATOR LVL 33," $8,250.00 "
HB LEAD NEUROSTIMULATOR LVL 41," $13,275.00 "
HB LEAD NEUROSTIMULATOR LVL 45," $19,500.00 "
HB LEAD OCTRODE KIT," $6,636.00 "
HB LEAD PACING DEXTRUS  MODEL 4135 STEROID-ELUTING ACTIVE," $1,500.00 "
HB LEAD PACING TEMP LVL 12," $1,950.00 "
HB LEAD PACING TEMP LVL 3, $225.00 
HB LEAD PACING TEMP LVL 6, $636.00 
HB LEAD PCNG COR VNS L90 CM OD6 F, $636.00 
HB LEAD PENTA™ 3MM," $15,186.00 "
HB LEAD PMKR NOT TRANSVEN VDD LVL 10," $1,350.00 "
HB LEAD PMKR NOT TRANSVEN VDD LVL 11," $1,650.00 "
HB LEAD PMKR NOT TRANSVEN VDD LVL 12," $1,950.00 "
HB LEAD PMKR NOT TRANSVEN VDD LVL 13," $2,250.00 "
HB LEAD PMKR NOT TRANSVEN VDD LVL 14," $2,550.00 "
HB LEAD PMKR NOT TRANSVEN VDD LVL 15," $2,850.00 "
HB LEAD PMKR NOT TRANSVEN VDD LVL 34," $8,550.00 "
HB LEAD PMKR NOT TRANSVEN VDD LVL 43," $14,775.00 "
HB LEAD PMKR NOT TRANSVEN VDD LVL 7, $825.00 
HB LEAD PMKR NOT TRANSVEN VDD LVL 8, $975.00 
HB LEAD PORT PLUG, $105.00 
HB LEAD QUATTRODE," $4,386.00 "
HB LEAD QUATTRODE KIT TRIAL," $1,500.00 "
HB LEAD REPAIR KIT, $300.00 
HB LEAD TRIAL," $2,700.00 "
HB LEAD VENTRICULAR VENOUS LVL 15," $2,850.00 "
HB LEAD VENTRICULAR VENOUS LVL 21," $4,650.00 "
HB LEAD VENTRICULAR VENOUS LVL 25," $5,850.00 "
HB LEAD VENTRICULAR VENOUS LVL 26," $6,150.00 "
HB LEAD VENTRICULAR VENOUS LVL 27," $6,450.00 "
