Charge Description Master, Charge 
LEFT HEART CATHETERIZATION W/ LEFT VENTRICULOGRAPHY & CORONARY & BYPASS GRAFT ANGIOGRAPHY," 17,882.00 "
LEFT HEART CATHETERIZATION W/ LEFT VENTRICULOGRAPHY & CORONARY ANGIOGRAPHY," 16,296.00 "
LENS INTRA TECNIS D11.0- PT RES, 361.00 
LENS INTRA TECNIS D18.5- PT RES, 361.00 
LENS INTRA TECNIS D19.0- PT RES, 361.00 
LENS INTRA TECNIS D19.5- PT RES, 361.00 
LENS INTRA TECNIS D21.5- PT RES, 361.00 
LENS INTRA TECNIS D23.0- PT RES, 361.00 
LENS INTRA TECNIS D27.5- PT RES, 361.00 
LENS INTRA TECNIS D9.5- PT RES, 361.00 
LENS INTRA TECNIS MONO D15.0- PT RES, 361.00 
LENS INTRA TECNIS MONO D18.0- PT RES, 361.00 
LENS INTRA TECNIS MONO D23.0-  PT RES, 361.00 
LENS INTRA TECNIS MULTI D05.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D05.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D06.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D06.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D07.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D07.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D08.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D08.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D09.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D09.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D10.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D10.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D11.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D11.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D12.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D12.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D13.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D13.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D14.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D14.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D15.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D15.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D16.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D16.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D17.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D17.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D18.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D18.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D19.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D19.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D20.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D20.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D21.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D21.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D22.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D22.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D23.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D23.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D24.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D24.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D25.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D25.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D26.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D26.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D27.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D27.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D28.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D28.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D29.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D29.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D30.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D30.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D31.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D31.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D32.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D32.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D33.0- PT RES, 761.00 
LENS INTRA TECNIS MULTI D33.5- PT RES, 761.00 
LENS INTRA TECNIS MULTI D34.0- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D11.5- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D12.0- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D13.0- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D14.0- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D14.5- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D15.5- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D17.5- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D18.0- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D18.5- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D19.0- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D19.5- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D20.0- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D20.5- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D21.0- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D21.5- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D22.0- PT RES, 761.00 
LENS INTRA TECNIS SYMFONY D22.5- PT RES, 761.00 
LENS RESTOR SN6AD1-PT RES, 761.00 
LENS TECNIS ZMA00-PT RES, 761.00 
LENS TORIC SN60T4-PT RES, 361.00 
LENS TORIC SN6AT3-PT RES, 361.00 
LENS TORIC SN6AT4-PT RES, 361.00 
LENS TORIC SN6AT5-PT RES, 361.00 
LENS TORIC SN6AT6-PT RES, 361.00 
LENS TORIC SN6AT7-PT RES, 361.00 
LENS TORIC SN6AT8-PT RES, 361.00 
LENS TORIC SN6AT9-PT RES, 361.00 
LEUPROLIDE ACETATE 7.5 MG, 622.83 
LEVITRONIX VAD," 33,000.00 "
LEVONORGESTREL INTRAUTERINE CONTRACEPTIVE 52MG (MIRENA)," 1,287.00 "
LIDOCAINE, 94.00 
LIGATION HEMORRHOID INTERNAL BY RUBBER BAND," 1,068.00 "
LIGATION HEMORRHOID INTERNAL NOT RUBBER BAND," 3,397.00 "
LIGATION PERFORATOR VEINS RADICAL OPEN 1 LEG," 4,494.00 "
LIGATION/BIOPSY TEMPORAL ARTERY," 2,452.00 "
LIMITED EXTREMITY STUDY UP TO 2 LEVELS BILATERAL, 239.00 
LINEAR ACCELERATOR INTRAOPERATIVE," 3,396.00 "
LIPASE, 39.00 
LIPID PANEL, 44.00 
LIPOPROTEIN DIRECT MEASUREMENT HIGH DENSITY CHOLESTEROL (HDL), 38.00 
LIPOPROTEIN DIRECT MEASUREMENT LOW DENSITY CHOLESTEROL (LDL), 35.00 
LITHIUM, 36.00 
LITHOLAPAXY COMPLICATED > 2.5 CM," 5,300.00 "
LITHOLAPAXY SIMPLE < 2.5 CM," 4,011.00 "
LITHOTRIPSY," 5,208.00 "
LIVER ELASTOGRAPHY MECH INDUCED SHEAR WAVE W/O IMAGING, 247.00 
LIVER PROCUREMENT FROM CADAVER DONOR," 132,000.00 "
LIVER PROCUREMENT FROM LIVING DONOR," 121,000.00 "
LOCM 100-199 MG/ML IODINE 1ML, 1.00 
LOCM 200-299 MG/ML IODINE 1ML, 1.00 
LOCM 300-399 MG/ML IODINE 1 ML, 1.00 
LOW DOSE CT LUNG SCREENING, 218.00 
LOW FREQUENCY NON-CONTACT & NON-THERMAL ULTRASOUND W/ WOUND ASSESSMENT PER DAY, 250.00 
LS CORSET, 175.96 
LSO W POST PANEL (WARM & FORM), 400.00 
LUMBAR PUNCTURE DIAGNOSTIC, 929.00 
LUMBAR PUNCTURE THERAPEUTIC, 990.00 
LUMBAR SAC ORTH WITH POS STEELS PREFABRICATED OFF-THE-SHELF, 158.18 
LUMBAR SURGICAL SUPPORT, 420.00 
LUNG CANCER MUTATION PANEL," 3,510.00 "
LUNG PROCUREMENT," 185,000.00 "
LUNG PROCUREMENT BILATERAL," 203,500.00 "
LYMPHADEMIC GARMENT 1, 50.00 
LYMPHADEMIC GARMENT 10, 500.00 
LYMPHADEMIC GARMENT 11, 550.00 
LYMPHADEMIC GARMENT 12, 600.00 
LYMPHADEMIC GARMENT 13, 650.00 
LYMPHADEMIC GARMENT 14, 700.00 
LYMPHADEMIC GARMENT 15, 750.00 
LYMPHADEMIC GARMENT 16, 800.00 
LYMPHADEMIC GARMENT 17, 850.00 
LYMPHADEMIC GARMENT 18, 900.00 
LYMPHADEMIC GARMENT 19, 950.00 
LYMPHADEMIC GARMENT 2, 100.00 
LYMPHADEMIC GARMENT 20," 1,000.00 "
LYMPHADEMIC GARMENT 21," 1,200.00 "
LYMPHADEMIC GARMENT 3, 150.00 
LYMPHADEMIC GARMENT 4, 200.00 
LYMPHADEMIC GARMENT 5, 250.00 
LYMPHADEMIC GARMENT 6, 300.00 
LYMPHADEMIC GARMENT 7, 350.00 
LYMPHADEMIC GARMENT 8, 400.00 
LYMPHADEMIC GARMENT 9, 450.00 
LYMPHANGIOGRAPHY EXTREMITY BILATERAL," 1,348.00 "
LYMPHANGIOGRAPHY EXTREMITY UNILATERAL, 977.00 
LYMPHANGIOGRAPHY PELVIC/ABDOMINAL BILATERAL," 3,289.00 "
LYMPHANGIOGRAPHY PELVIC/ABDOMINAL UNILATERAL," 1,348.00 "
LYSIS PENILE ADHESIONS POST-CIRCUMCISION," 2,893.00 "
LYSIS SYNECHIA INTRANASAL, 851.00 
MACROSCOPIC EXAM ARTHROPOD, 65.00 
MACROSCOPIC EXAM PARASITE, 39.00 
MAGNESIUM, 79.00 
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) ABDOMEN W/ & W/O CONTRAST," 2,927.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) ABDOMEN W/ CONTRAST," 2,030.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) ABDOMEN W/O CONTRAST," 1,637.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) CHEST W/ & W/O CONTRAST," 3,045.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) CHEST W/ CONTRAST," 2,920.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) CHEST W/O CONTRAST," 2,499.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) HEAD W/ & W/O CONTRAST," 1,410.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) HEAD W/ CONTRAST," 1,090.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) HEAD W/O CONTRAST," 1,018.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) LOWER EXTREMITY W/ & W/O CONTRAST," 3,333.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) LOWER EXTREMITY W/ CONTRAST," 2,829.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) LOWER EXTREMITY W/O CONTRAST," 2,398.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) NECK W/ & W/O CONTRAST," 1,418.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) NECK W/ CONTRAST," 1,121.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) NECK W/O CONTRAST," 1,039.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) PELVIS W/ & W/O CONTRAST," 2,316.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) PELVIS W/ CONTRAST," 2,246.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) PELVIS W/O CONTRAST," 2,145.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) SPINE W/ & W/O CONTRAST," 7,135.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) SPINE W/ CONTRAST," 5,708.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) SPINE W/O CONTRAST," 4,567.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) UPPER EXTREMITY W/ & W/O CONTRAST," 3,589.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) UPPER EXTREMITY W/ CONTRAST," 3,051.00 "
MAGNETIC RESONANCE ANGIOGRAPHY (MRA) UPPER EXTREMITY W/O CONTRAST," 2,593.00 "
MAGNETIC RESONANCE IMAGING (MRI) ABDOMEN W/ & W/O CONTRAST," 3,738.00 "
MAGNETIC RESONANCE IMAGING (MRI) ABDOMEN W/ CONTRAST," 3,492.00 "
MAGNETIC RESONANCE IMAGING (MRI) ABDOMEN W/O CONTRAST," 2,467.00 "
MAGNETIC RESONANCE IMAGING (MRI) BONE MARROW," 2,618.00 "
MAGNETIC RESONANCE IMAGING (MRI) BRAIN FUNCTIONAL BY MD," 1,306.00 "
MAGNETIC RESONANCE IMAGING (MRI) BRAIN FUNCTIONAL BY TECH," 2,501.00 "
MAGNETIC RESONANCE IMAGING (MRI) BRAIN INTRAOPERATIVE W/ & W/O CONTRAST," 5,702.00 "
MAGNETIC RESONANCE IMAGING (MRI) BRAIN INTRAOPERATIVE W/ CONTRAST," 4,951.00 "
MAGNETIC RESONANCE IMAGING (MRI) BRAIN INTRAOPERATIVE W/O CONTRAST," 4,501.00 "
MAGNETIC RESONANCE IMAGING (MRI) BRAIN W/ & W/O CONTRAST," 3,817.00 "
MAGNETIC RESONANCE IMAGING (MRI) BRAIN W/ CONTRAST," 3,396.00 "
MAGNETIC RESONANCE IMAGING (MRI) BRAIN W/O CONTRAST," 2,240.00 "
MAGNETIC RESONANCE IMAGING (MRI) BREAST W & W/O CONTRAST BILATERAL," 4,395.00 "
MAGNETIC RESONANCE IMAGING (MRI) BREAST W & W/O CONTRAST UNILATERAL," 2,020.00 "
MAGNETIC RESONANCE IMAGING (MRI) BREAST W/O CONTRAST BILATERAL," 2,844.00 "
MAGNETIC RESONANCE IMAGING (MRI) BREAST W/O CONTRAST UNILATERAL," 1,833.00 "
MAGNETIC RESONANCE IMAGING (MRI) CARDIAC MORPHOLOGY & FUNCTION W/ & W/O CONTRAST," 1,403.00 "
MAGNETIC RESONANCE IMAGING (MRI) CARDIAC MORPHOLOGY & FUNCTION W/ & W/O CONTRAST W/ STRESS," 1,467.00 "
MAGNETIC RESONANCE IMAGING (MRI) CARDIAC MORPHOLOGY & FUNCTION W/O CONTRAST," 1,410.00 "
MAGNETIC RESONANCE IMAGING (MRI) CARDIAC MORPHOLOGY & FUNCTION W/O CONTRAST W/ STRESS," 1,551.00 "
MAGNETIC RESONANCE IMAGING (MRI) CARDIAC VELOCITY FLOW MAPPING, 542.00 
MAGNETIC RESONANCE IMAGING (MRI) CHEST W/ & W/O CONTRAST," 3,483.00 "
MAGNETIC RESONANCE IMAGING (MRI) CHEST W/ CONTRAST," 2,286.00 "
MAGNETIC RESONANCE IMAGING (MRI) CHEST W/O CONTRAST," 1,998.00 "
MAGNETIC RESONANCE IMAGING (MRI) FETAL INCLUDING PLACENTAL/MATERNAL PELVIC IMAGING WHEN PERFORMED EACH ADDITIONAL GESTATION," 1,168.00 "
MAGNETIC RESONANCE IMAGING (MRI) FETAL INCLUDING PLACENTAL/MATERNAL PELVIC IMAGING WHEN PERFORMED SINGLE/FIRST GESTATION," 2,762.00 "
MAGNETIC RESONANCE IMAGING (MRI) GUIDANCE NEEDLE PLACEMENT," 1,252.00 "
MAGNETIC RESONANCE IMAGING (MRI) LOWER EXTREMITY JOINT W/ & W/O CONTRAST," 1,840.00 "
MAGNETIC RESONANCE IMAGING (MRI) LOWER EXTREMITY JOINT W/ CONTRAST," 1,673.00 "
MAGNETIC RESONANCE IMAGING (MRI) LOWER EXTREMITY JOINT W/O CONTRAST," 1,416.00 "
MAGNETIC RESONANCE IMAGING (MRI) LOWER EXTREMITY OTHER THAN JOINT W/ & W/O CONTRAST," 1,975.00 "
MAGNETIC RESONANCE IMAGING (MRI) LOWER EXTREMITY OTHER THAN JOINT W/ CONTRAST," 1,878.00 "
MAGNETIC RESONANCE IMAGING (MRI) LOWER EXTREMITY OTHER THAN JOINT W/O CONTRAST," 1,486.00 "
MAGNETIC RESONANCE IMAGING (MRI) ORBIT FACE NECK W/ & W/O CONTRAST," 3,224.00 "
MAGNETIC RESONANCE IMAGING (MRI) ORBIT FACE NECK W/ CONTRAST," 2,888.00 "
MAGNETIC RESONANCE IMAGING (MRI) ORBIT FACE NECK W/O CONTRAST," 2,041.00 "
MAGNETIC RESONANCE IMAGING (MRI) PELVIS W/ & W/O CONTRAST," 2,892.00 "
MAGNETIC RESONANCE IMAGING (MRI) PELVIS W/ CONTRAST," 2,869.00 "
MAGNETIC RESONANCE IMAGING (MRI) PELVIS W/O CONTRAST," 2,046.00 "
MAGNETIC RESONANCE IMAGING (MRI) SPINE W/ & W/O CONTRAST CERVICAL," 3,541.00 "
MAGNETIC RESONANCE IMAGING (MRI) SPINE W/ & W/O CONTRAST LUMBAR," 3,575.00 "
MAGNETIC RESONANCE IMAGING (MRI) SPINE W/ & W/O CONTRAST THORACIC," 3,541.00 "
MAGNETIC RESONANCE IMAGING (MRI) SPINE W/ CONTRAST CERVICAL," 1,725.00 "
MAGNETIC RESONANCE IMAGING (MRI) SPINE W/ CONTRAST LUMBAR," 1,903.00 "
MAGNETIC RESONANCE IMAGING (MRI) SPINE W/ CONTRAST THORACIC," 1,821.00 "
MAGNETIC RESONANCE IMAGING (MRI) SPINE W/O CONTRAST CERVICAL," 1,409.00 "
MAGNETIC RESONANCE IMAGING (MRI) SPINE W/O CONTRAST LUMBAR," 1,417.00 "
MAGNETIC RESONANCE IMAGING (MRI) SPINE W/O CONTRAST THORACIC," 1,416.00 "
MAGNETIC RESONANCE IMAGING (MRI) TEMPOROMANDIBULAR JOINT," 1,895.00 "
MAGNETIC RESONANCE IMAGING (MRI) UPPER EXTREMITY JOINT W/ & W/O CONTRAST," 1,498.00 "
MAGNETIC RESONANCE IMAGING (MRI) UPPER EXTREMITY JOINT W/ CONTRAST," 1,490.00 "
MAGNETIC RESONANCE IMAGING (MRI) UPPER EXTREMITY JOINT W/O CONTRAST," 1,417.00 "
MAGNETIC RESONANCE IMAGING (MRI) UPPER EXTREMITY OTHER THAN JOINT W/ & W/O CONTRAST," 2,747.00 "
MAGNETIC RESONANCE IMAGING (MRI) UPPER EXTREMITY OTHER THAN JOINT W/ CONTRAST," 2,104.00 "
MAGNETIC RESONANCE IMAGING (MRI) UPPER EXTREMITY OTHER THAN JOINT W/O CONTRAST," 1,414.00 "
MAGNETIC RESONANCE IMAGING (MRI) WHOLE BODY W/ CONTRAST," 3,750.00 "
MAGNETIC RESONANCE SPECTROSCOPY," 1,388.00 "
MAMMOGRAM DIAGNOSTIC BILATERAL INCLUDING COMPUTER-AIDED DETECTION, 664.00 
MAMMOGRAM DIAGNOSTIC UNILATERAL INCLUDING COMPUTER-AIDED DETECTION, 592.00 
MAMMOGRAM SCREENING BILATERAL INCLUDING COMPUTER-AIDED DETECTION, 234.00 
MANAGEMENT GENE METHYLATION ANALYSIS," 1,476.00 "
MANAGEMENT OF UNRELATED HEMATOPOIETIC PROGENITOR CELL (HPC) DONOR SEARCH & ACQUISITION, 200.00 
MANOMETRIC STUDIES VIA NEPHROSTOMY/PYELOSTOMY TUBE/CATHETER," 2,336.00 "
MANUAL CHEST WALL MANIPULATION (PEP) INITIAL, 159.00 
MANUAL CHEST WALL MANIPULATION (PEP) SUBSEQUENT, 156.00 
MANUAL THERAPY TECHNIQUES EACH 15 MINS BY ATHLETIC TRAINER, 177.00 
MANUAL THERAPY TECHNIQUES EACH 15 MINS BY OCCUPATIONAL THERAPIST, 177.00 
MANUAL THERAPY TECHNIQUES EACH 15 MINS BY PHYSICAL THERAPIST, 177.00 
MASSAGE EACH 15 MINS BY ATHLETIC TRAINER, 95.00 
MASSAGE EACH 15 MINS BY OCCUPATIONAL THERAPIST, 95.00 
MASSAGE EACH 15 MINS BY PHYSICAL THERAPIST, 95.00 
MASTECTOMY BRA W/ INTEGRATED BREAST PROSTHESIS ANY SIZE/TYPE BILATERAL, 200.00 
MASTECTOMY BRA W/ INTEGRATED BREAST PROSTHESIS ANY SIZE/TYPE UNILATERAL, 200.00 
MEASUREMENT OF PARASYMPATHETIC & SYMPATHETIC FUNCTION DURING REST/PACED BREATHING/VALSALVA/HEAD-UP POSTURAL CHANGE, 321.00 
MEATOTOMY," 3,852.00 "
MECHANICAL CHEST WALL OSCILLATION PER SESSION, 275.00 
MED CHAIN ACYL CO A MUT, 639.00 
MEDICARE ANNUAL WELLNESS VISIT (INITIAL VISIT), 422.00 
MEDICARE ANNUAL WELLNESS VISIT (SUBSEQUENT VISIT), 286.00 
MEDSURG FRAM 1713 & AV MATRESS, 180.90 
MEDSURG POWER/RT 3000/669, 135.00 
MENINGOCOCCAL CONJUGATE VACCINE IM, 261.00 
METABOLIC PANEL TOTAL CALCIUM, 273.00 
METERED DOSE INHALER SELF-ADMINISTERED MEDS, 275.00 
METERED DOSE INHALER TREATMENT, 275.00 
METHADONE, 292.00 
METHOTREXATE VIAL 50 MG, 41.00 
MICROALBUMIN URINE QUANTITATIVE, 52.00 
MICROBE SUSCEPTIBLE MINIMUM LETHAL CONCENTRATION, 44.00 
MICROSATELLITE INSTABILITY ANALYSIS," 1,420.00 "
MICROSOMAL ANTIBODIES EACH, 62.00 
MICROVOLT T-WAVE ALTERNANS, 710.00 
MINI BAL ANALYSIS, 311.00 
MINI NEB TREATMENT OR SPUTUM INDUCTION, 275.00 
MLH1 PROMOTER METHYLATION ANALYSIS," 1,404.00 "
MMR VACCINE, 64.00 
MOBILE MAMMOGRAM SCREENING BILATERAL INCLUDING CAD, 211.00 
MODERATE SEDATION > 5 YRS INITIAL 15 MINS SAME PHYSICIAN, 173.00 
MODERATE SEDATION EACH ADDITIONAL 15 MINS SAME PHYSICIAN, 157.00 
MOH'S ANY STAGE ANY BLOCK, 759.00 
MOLECULAR CYTOGENETICS CHROMOSOMAL IN SITU HYBRIDIZATION 100-300 CELLS, 464.00 
MOLECULAR CYTOGENETICS CHROMOSOMAL IN SITU HYBRIDIZATION 25-99 CELLS, 257.00 
MOLECULAR CYTOGENETICS CHROMOSOMAL IN SITU HYBRIDIZATION ANALYSIS 3-5 CELLS, 214.00 
MOLECULAR CYTOGENETICS DNA PROBE EACH (EG/ FISH), 317.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) 7Q TRICOLOR, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) ALK, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) ATM-TP53, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) BCL3, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) BCL6, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) BCR-ABL1, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) BIRC3-MALT1, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CBFB, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CBFB/MYH11, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CDKN2A CEP 9, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CDKN2C-CKS1B, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CEP 10, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CEP 16, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CEP 17, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CEP 20, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CEP 3, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CEP 4, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CEP 6, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CEP 8, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CEP 9, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CEP17 TP53C, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CEP17/TP53C, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CEREBRAL SPINAL FLUID1R-D5S23:D5S721, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) CRLF2, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) D12Z3-D13S319, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) D20S108, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) D7S486-CEP7, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) DDIT3, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) DEK/NUP214, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) EGR1-D5S23:D5S721, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) ETV6, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) ETV6-RUNX1, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) EWSR1, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) EWSR1-ERG, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) FGFR1, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) FLI1/EWSR1, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) FOXO1, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) IGH, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) IGH/CCND3, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) IGH-BCL2, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) IGH-CCND1, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) IGH-FGFR3, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) IGH-MAF, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) IGH-MAFB, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) IGH-MYC-CEP8, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) IGK, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) IGL, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) IKZF1 CIZ1, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) IKZF1 CUX1C, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) JAK2, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) KMT2A, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) MECOM, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) MLLT3 KMT2AC, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) MLLT3-KMT2A, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) MYB, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) MYC BREAK APART, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) MYC SINGLE COLOR, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) NMYC, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) NUP98, 991.00 
MOLECULAR CYTOGENICS DNA PROBE (FISH) P2RY8, 991.00 
