USC VHH CDM Price Increase,,,,,,,,,,,,
Gross Revenue Change (old to new),,,,,,,,,,,,
"July 1, 2017 - June 30, 2018",,,,,,,,,,"Gross Revenue
(old price)","Gross Revenue
(new price)","New Gross Revenue based on Price increase on April 1, 2018"
2300460,ER CRITICAL CARE 30-74MIN W/ PX,4010,EMERGENCY ROOM,450,450,450,"5,709","7,370",65,"371,085","479,050",Phase I
2300499,"THER/PROPH/DG IV INF,ADD-ON",4010,EMERGENCY ROOM,450,450,450,139,275,341,"47,399","93,775",Phase I
2300549,THER/DIAG CONCURRENT INF,4010,EMERGENCY ROOM,450,450,450,152,262,0,0,0,Phase I
2300598,TRANSFUSE BLD/BLOOD COMP,4010,EMERGENCY ROOM,450,450,450,703,"1,417",2,"1,406","2,834",Phase I
2300697,IMMUNIZATION ADMINISTRATION,4010,EMERGENCY ROOM,450,450,450,133,92,0,0,0,Phase I
2330405,ADMIN HEPATITIS B VACC,4010,EMERGENCY ROOM,450,450,771,250,152,0,0,0,Phase I
2330413,ADMIN INFLUENZA VACC,4010,EMERGENCY ROOM,450,450,771,250,152,0,0,0,Phase I
2330421,ADMIN PNEUMOCOCCAL VACC,4010,EMERGENCY ROOM,450,450,771,250,152,0,0,0,Phase I
2330439,CPR,4010,EMERGENCY ROOM,450,450,450,"1,396","1,306",4,"5,584","5,224",Phase I
2330447,IMMUNIZATION ADMIN EA ADD,4010,EMERGENCY ROOM,450,450,771,149,139,0,0,0,Phase I
2330454,INFUSION ADDL SEQ IV NEW,4010,EMERGENCY ROOM,450,450,450,314,395,7,"2,198","2,765",Phase I
2330462,INJ SAME DRUG ADD-ON,4010,EMERGENCY ROOM,450,450,450,90,97,465,"41,850","45,105",Phase I
2510048,MD SERV OP CARDI REHAB W/ECG,4593,CARDIAC REHABILITATION,943,943,943,415,525,330,"136,950","173,250",Phase I
2510451,MD SERV OP CARDI REHAB W/ECG KX,4593,CARDIAC REHABILITATION,943,943,943,415,525,30,"12,450","15,750",Phase I
2620078,"MD SER,OP CARDI REHAB,woECG",4593,CARDIAC REHABILITATION,943,943,943,129,137,0,0,0,Phase I
2800076,PSYCHTX PT &/FAMILY 30 MIN,4260,PARTIAL HOSPITALIZATION,914,914,914,85,146,0,0,0,Phase I
2800084,PSYCHTX PT &/FAMILY 30 MIN,4260,PARTIAL HOSPITALIZATION,914,914,914,85,146,0,0,0,Phase I
2800092,PSYCHTX PT &/FAMILY 45 MIN,4260,PARTIAL HOSPITALIZATION,914,914,914,148,195,0,0,0,Phase I
2800100,PSYCHTX PT &/FAMILY 60 MIN,4260,PARTIAL HOSPITALIZATION,914,914,914,163,293,0,0,0,Phase I
3590015,OP VISIT NEW PT BRIEF,4802,WOUND CARE CENTER,761,761,761,126,134,0,0,0,Phase I
3590023,OP VISIT NEW PT LIMITED,4802,WOUND CARE CENTER,761,761,761,139,147,0,0,0,Phase I
3590031,OP VISIT NEW PT INTERMEDIATE,4802,WOUND CARE CENTER,761,761,761,224,324,2,448,648,Phase I
3590056,OP VISIT PT COMPLEX,4802,WOUND CARE CENTER,761,761,761,729,713,4,"2,916","2,852",Phase I
3590148,DEBR SKIN/SC TISS/MUSCLE 1ST 20SQCM,4802,WOUND CARE CENTER,361,361,361,"1,521","2,220",49,"74,529","108,780",Phase I
3590155,DEBR SKIN/SC TISS/MUSCLE/BONE 1ST,4802,WOUND CARE CENTER,361,361,361,"3,204","3,454",27,"86,508","93,258",Phase I
3590163,PARING OF BENIGN LESION,4802,WOUND CARE CENTER,361,361,361,179,198,17,"3,043","3,366",Phase I
3590171,PARING OF BENIGN LESION 2-4,4802,WOUND CARE CENTER,361,361,361,285,280,0,0,0,Phase I
3590189,PARING OF LESION OVER 4,4802,WOUND CARE CENTER,361,361,361,285,326,0,0,0,Phase I
3590213,NON-INVAS UP/LW EXT ART 1LV BL,4802,WOUND CARE CENTER,921,921,921,789,"1,225",0,0,0,Phase I
3590221,NON-INVAS UP/LW EXT ART MX,4802,WOUND CARE CENTER,361,361,361,"1,416","2,130",0,0,0,Phase I
3590239,BIOSPY SINGLE LESION,4802,WOUND CARE CENTER,361,361,361,573,698,1,573,698,Phase I
3590247,I&D ABSCESS SIMPLE,4802,WOUND CARE CENTER,361,361,361,682,662,1,682,662,Phase I
3590254,I&D ABSCESS COMPLEX,4802,WOUND CARE CENTER,361,361,361,"1,259",674,0,0,0,Phase I
3590262,CAUTERY - CHEMICAL GRAN TISSUE,4802,WOUND CARE CENTER,361,361,361,533,557,2,"1,066","1,114",Phase I
3590296,DEBRIDEMENT OF NAILS 5 OR LESS,4802,WOUND CARE CENTER,361,361,361,163,122,1,163,122,Phase I
3590304,DEBRIDEMENT OF NAILS 6 OR MORE,4802,WOUND CARE CENTER,361,361,361,255,295,2,510,590,Phase I
3590312,AVULSION OF NAIL PLATE,4802,WOUND CARE CENTER,361,361,361,269,598,1,269,598,Phase I
3590338,AVULSION OF ADD'L NAIL PLATE,4802,WOUND CARE CENTER,361,361,361,86,192,0,0,0,Phase I
3590346,EXCISION OF NAIL MATRIX,4802,WOUND CARE CENTER,361,361,361,364,"1,038",0,0,0,Phase I
3590445,APPLY PROFOR/UNNABOOT UNI,4802,WOUND CARE CENTER,361,361,361,226,349,0,0,0,Phase I
3590577,DEBR SKIN 10% BODY SURFACE,4802,WOUND CARE CENTER,361,361,361,528,570,0,0,0,Phase I
3590593,NEGATIVE PRESS WOUND TX 50SQ CM <,4802,WOUND CARE CENTER,361,361,361,285,458,0,0,0,Phase I
3590619,NEGATIVE PRESSURE WOUND TX >50SQ CM,4802,WOUND CARE CENTER,361,361,361,407,"1,012",0,0,0,Phase I
3590627,APP OF RIGID TOTAL CONTACT LEG CAST,4802,WOUND CARE CENTER,361,361,361,326,612,2,652,"1,224",Phase I
3590643,REMOVE FB SUBQ SMPL,4802,WOUND CARE CENTER,361,361,361,588,"1,509",0,0,0,Phase I
3590650,DRAINAGE OF HEMATOMA/FLUID,4802,WOUND CARE CENTER,361,361,361,"1,410","1,539",0,0,0,Phase I
3590668,"BONE BIOPSY, TROCAR/NEEDLE",4802,WOUND CARE CENTER,361,361,361,"1,410","1,759",0,0,0,Phase I
3590692,DRAIN/INJ JOINT/BURSA INTERM W/O US,4802,WOUND CARE CENTER,361,361,361,"1,588",744,0,0,0,Phase I
3590726,DRAINAGE OF PILONIDAL CYST,4802,WOUND CARE CENTER,361,361,361,624,663,0,0,0,Phase I
3590858,NON SELECTIVE DEBRIDEMENT ENZYMATIC,4802,WOUND CARE CENTER,361,361,361,179,233,0,0,0,Phase I
3590924,HYPERBARIC OXYGEN THERAPY 30MIN,4802,WOUND CARE CENTER,413,413,413,515,726,704,"362,560","511,104",Phase I
3590932,SELECTIVE DEBRIDEMENT > 20SQCM,4802,WOUND CARE CENTER,361,361,361,193,443,38,"7,334","16,834",Phase I
3590957,SELECTIVE DEBRIDEMENT 20SQCM OR LES,4802,WOUND CARE CENTER,361,361,361,687,691,47,"32,289","32,477",Phase I
3590965,MULTI LAYER COMP WRAP UNI,4802,WOUND CARE CENTER,361,361,361,443,511,35,"15,505","17,885",Phase I
3590973,I&D COMPLEX POST OP WOUND INFECTION,4802,WOUND CARE CENTER,361,361,361,"4,078","4,164",0,0,0,Phase I
3590981,"DRSG AND/OR DEBRIDEMENT, BURN < 5%",4802,WOUND CARE CENTER,361,361,361,202,683,0,0,0,Phase I
3590999,DEBRIDE SUB-Q TISS EA ADD'L 20SQCM,4802,WOUND CARE CENTER,361,361,361,904,798,289,"261,256","230,622",Phase I
3591005,DEBRIDE MUSC/FASCIA EA ADD'L 20SQCM,4802,WOUND CARE CENTER,361,361,361,904,"1,228",65,"58,760","79,820",Phase I
3591021,VENOUS DUPLEX SCAN BILATERAL,4802,WOUND CARE CENTER,921,921,921,"1,753","2,291",0,0,0,Phase I
3591039,VENOUS DUPLEX SCAN UNILATERAL,4802,WOUND CARE CENTER,921,921,921,"1,688","1,727",0,0,0,Phase I
3591062,APP SKNGRFT T/A/L 1ST 25,4802,WOUND CARE CENTER,361,361,361,"1,660","2,112",4,"6,640","8,448",Phase I
3591096,APP SKNGRFT T/A/L EA+25,4802,WOUND CARE CENTER,361,361,361,250,443,0,0,0,Phase I
3591104,APP SKNGRFT F/N/H 1ST 25,4802,WOUND CARE CENTER,361,361,361,"2,376","2,386",30,"71,280","71,580",Phase I
3591112,APP SKNGRFT F/N/H EA+25,4802,WOUND CARE CENTER,361,361,361,250,633,0,0,0,Phase I
3591153,OP VISIT NEW PT BRIEF,4802,WOUND CARE CENTER,761,761,761,126,134,0,0,0,Phase I
3591161,OP VISIT NEW PT LIMITED,4802,WOUND CARE CENTER,761,761,761,139,147,0,0,0,Phase I
3591179,OP VISIT NEW PT INTERMEDIATE,4802,WOUND CARE CENTER,761,761,761,224,324,0,0,0,Phase I
3591195,OP VISIT PT COMPLEX,4802,WOUND CARE CENTER,761,761,761,729,713,1,729,713,Phase I
3591286,LC APPLICATION TRUNK ARMS LEGS 1%,4802,WOUND CARE CENTER,761,761,761,"5,485","3,110",0,0,0,Phase I
3591351,APPLY PROFOR/UNNABOOT BIL,4802,WOUND CARE CENTER,361,361,361,684,698,0,0,0,Phase I
3591369,MULTI LAYER COMP WRAP BIL,4802,WOUND CARE CENTER,361,361,361,684,"1,022",2,"1,368","2,044",Phase I
3591377,EXC MALIGNANT LESION 0.6-1.0CM,4802,WOUND CARE CENTER,361,361,361,625,663,0,0,0,Phase I
3591385,EXC MAL LESN TRNK/ARM .6-1.0CM,4802,WOUND CARE CENTER,361,361,361,625,663,0,0,0,Phase I
3600038,DIETARY EDUCATION - 1 HOUR,5754,MISC INCOME COMM EDUC,942,942,942,193,198,0,0,0,Phase I
3700127,BONE MARROW/STEM TRANSPLANT,4871,PLASMA-PHERESIS,360,360,360,"32,360","35,497",0,0,0,Phase I
3700176,ROOM SUBACUTE VENTILATOR BED HOLD,3560,SUBACUTE,120,120,120,"1,665","2,015",0,0,0,Room & Board
3700184,ROOM SUBACUTE NON VENT BED HOLD,3560,SUBACUTE,129,129,129,"1,585","1,920",0,0,0,Room & Board
4000063,"XR ART,XTREMITY,UNI,S&I",4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"3,201","4,812",0,0,0,Phase I
4000113,"XR GB/PANC,INTRAOP,S&I",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,526,"2,038",6,"3,156","12,228",Phase I
4000238,"XR FOREARM,AP&LAT",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,645,610,37,"23,865","22,570",Phase I
4000345,XR KNEE;MIN 3V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,108",732,132,"146,256","96,624",Phase I
4000352,MANDIBLE LESS 4V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,633,"1,013",1,633,"1,013",Phase I
4000378,XR CALCANEUS;MIN 2V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,515,424,12,"6,180","5,088",Phase I
4000402,MANDIBLE MIN 4V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,671,"1,073",2,"1,342","2,146",Phase I
4000568,"XR,FLUOR GUIDE NEEDLE PLACEMENT",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,442,"1,149",14,"6,188","16,086",Phase I
4000576,CT LIMITED FOLLOW-UP EXAM,4680,CAT SCAN,350,350,350,878,"2,110",1,878,"2,110",Phase I
4000592,FLUORO GUID/LOC NEED CAT,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,183,"1,308",0,0,0,Phase I
4000600,FACIAL BONES LESS 3V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,622,749,1,622,749,Phase I
4000626,FACIAL BONES MIN 3V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,129","1,385",4,"4,516","5,540",Phase I
4000659,ORBITS MIN 4V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,280,"1,036",0,0,0,Phase I
4000675,ARTH ASP INJ SML JNT BURSA,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,350,"1,170",0,0,0,Phase I
4000683,"PUNCT ASP ABSCS HEMA, BULLA OR CYST",4630,RADIOLOGY-DIAGNOSTIC,360,360,360,488,885,0,0,0,Phase I
4000725,XR ENTIRE SPINE SCOLIOSIS 2 OR 3V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,476,970,0,0,0,Phase I
4000733,CHG G-TB TO GJ-TB PERC FLUORO,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"7,110","2,089",0,0,0,Phase I
4000758,NASAL BONES MIN 3V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,590,880,6,"3,540","5,280",Phase I
4000907,SINUSES LESS 3V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,536,914,0,0,0,Phase I
4000956,SINUSES MIN 3V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,603,"1,177",1,603,"1,177",Phase I
4001053,SKULL LESS 4V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,833,848,0,0,0,Phase I
4001103,SKULL COMP MIN 4V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,042","1,449",2,"2,084","2,898",Phase I
4001301,TMJ'S BILATERAL,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,422,"1,130",0,0,0,Phase I
4001400,SOFT TISSUE NECK,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,424,645,14,"5,936","9,030",Phase I
4001608,"XR CHEST;1V,FRONTAL",4630,RADIOLOGY-DIAGNOSTIC,324,324,324,380,725,0,0,0,Phase I
4001657,"XR CHEST 2V,AP,LAT",4630,RADIOLOGY-DIAGNOSTIC,324,324,324,754,996,0,0,0,Phase I
4001723,CHEST SPECIAL VIEWS,4630,RADIOLOGY-DIAGNOSTIC,324,324,324,278,878,0,0,0,Phase I
4001806,NEEDLE LOCALIZATION BY X-RAY,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,442,"1,149",0,0,0,Phase I
4002051,XR STERNUM;MIN 2V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,527,535,2,"1,054","1,070",Phase I
4002101,XR STERNOCLAVICULAR JT;MIN3V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,673,642,0,0,0,Phase I
4002168,"XR SPI,1V,SPECIFY LEVEL",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,301,464,13,"3,913","6,032",Phase I
4002200,"XR SPI,CERVICAL;AP&LAT",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,550,710,57,"31,350","40,470",Phase I
4002259,"XR SPI,CERVICAL;MIN 4V",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,748,"1,231",18,"13,464","22,158",Phase I
4002309,"XR SPI,CERVICAL;MIN 6V",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,956,"1,276",0,0,0,Phase I
4002358,"XR SPI;THORACIC,AP,LAT,C-T JUNC",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,417,808,35,"14,595","28,280",Phase I
4002408,"XR SPI;THORACOLUMBAR,AP&LAT",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,347,760,0,0,0,Phase I
4002457,"XR SPI;SCOLIOSISwSUPINE,ERECT",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,422,530,10,"4,220","5,300",Phase I
4002507,"XR SPI;LUMBOSACRAL,AP&LAT",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,634,962,142,"90,028","136,604",Phase I
4002556,XR SPI;LUMBOSACRAL MIN 4V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,880,"1,313",46,"40,480","60,398",Phase I
4002606,XRSPI;LUMBSAC MIN 6V+BEND,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,211","1,744",2,"2,422","3,488",Phase I
4002705,PELVIS 1 OR 2 VIEWS,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,265,615,78,"20,670","47,970",Phase I
4002903,XR SACROILIAC JT;3+V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,362,792,1,362,792,Phase I
4002952,"XR SACRUM&COCCYX,MIN 2V",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,362,779,19,"6,878","14,801",Phase I
4002986,"XR MYELOGRAPHY,CERV,S&I",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,718","2,791",0,0,0,Phase I
4002994,"XR MYELOGRAPHY,THOR,S&I",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,446","2,064",0,0,0,Phase I
4003059,"XR MYELOGRAPHY,SPI CANAL,S&I",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,020","2,367",0,0,0,Phase I
4003208,"XR SCAPULA,COMP",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,711,700,4,"2,844","2,800",Phase I
4003257,XR SHOULDER 1V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,242,481,4,968,"1,924",Phase I
4003265,XR FEMUR 1V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,359,884,0,0,0,Phase I
4003307,XR SHOULDER 2V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,634,687,150,"95,100","103,050",Phase I
4003356,"XR SHLDR;ARTHROG,S&I",4630,RADIOLOGY-DIAGNOSTIC,322,322,322,843,"1,362",6,"5,058","8,172",Phase I
4003406,XR ACROMIOCLAV JT BILAT,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,748,852,2,"1,496","1,704",Phase I
4003455,"XR HUMERUS,MIN 2V",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,620,619,42,"26,040","25,998",Phase I
4003505,"XR ELBOW,AP&LAT;2V",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,242,580,7,"1,694","4,060",Phase I
4003554,"XR ELBOW;COMP,MIN 3V",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,527,732,75,"39,525","54,900",Phase I
4003653,XR WRIST;AP&LAT,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,424,506,19,"8,056","9,614",Phase I
4003703,"XR WRIST;COMP,MIN 3V",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,527,665,133,"70,091","88,445",Phase I
4003729,XR WRIST W NAVICULAR,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,527,665,0,0,0,Phase I
4003752,XR HAND;2V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,242,609,10,"2,420","6,090",Phase I
4003802,XR HAND;MIN 3V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,527,727,126,"66,402","91,602",Phase I
4003851,"XR FINGER(S),MIN 2V",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,424,477,97,"41,128","46,269",Phase I
4003901,"XR HIP,UNILAT;COMP,MIN 2V",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,362,750,171,"61,902","128,250",Phase I
4004008,BILAT HIP W PELVIS MIN 2V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,482,647,14,"6,748","9,058",Phase I
4004156,X RAY HIP UNI W/PELVIS 1 VIEW,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,301,512,0,0,0,Phase I
4004164,"XR HIP,ARTHROGRAPHY,S&I",4630,RADIOLOGY-DIAGNOSTIC,322,322,322,843,"1,350",7,"5,901","9,450",Phase I
4004206,"XR FEMUR,AP&LAT",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,301,708,51,"15,351","36,108",Phase I
4004214,INSERT PRPH CATH SUBQ PORT,4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"2,158","9,367",1,"2,158","9,367",Phase I
4004255,XR KNEE;AP&LAT,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,943,633,66,"62,238","41,778",Phase I
4004321,XR KNEE COMP 4+VIEWS,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,198",791,54,"64,692","42,714",Phase I
4004354,CONTRAST X-RAY OF KNEE JOINT,4630,RADIOLOGY-DIAGNOSTIC,322,322,322,843,"1,329",1,843,"1,329",Phase I
4004404,XR TIBIA&FIBULA;AP&LAT,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,527,675,56,"29,512","37,800",Phase I
4004453,XR ANKLE;AP&LAT,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,424,640,6,"2,544","3,840",Phase I
4004503,"XR ANKLE;COMP,MIN 3V",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,527,732,134,"70,618","98,088",Phase I
4004552,"XR FOOT;COMP,MIN 2V LIMITED",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,242,623,15,"3,630","9,345",Phase I
4004602,"XR FOOT;COMP,MIN 3V COMPLETE",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,732,716,179,"131,028","128,164",Phase I
4004750,XR TOE(S);MIN 2V,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,583,479,36,"20,988","17,244",Phase I
4004800,XR ABDOMEN;AP,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,242,613,0,0,0,Phase I
4004909,"XR ACUTE ABD SERIES,SUP,EREC",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,472,"1,196",4,"1,888","4,784",Phase I
4005005,XR ESOPHAGUS,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,482,"1,044",10,"4,820","10,440",Phase I
4005013,"XR SWALLOW FUNCTION,ESOwCINE",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,603,"1,223",41,"24,723","50,143",Phase I
4005096,XR UGI;wKUB,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,844,873,11,"9,284","9,603",Phase I
4005104,"XR UGI;wAIR CON,wKUB",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,603,"1,930",9,"5,427","17,370",Phase I
4005203,XR UGI;wAIR CONwSBFT,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,783,"2,335",0,0,0,Phase I
4005252,XR SMALL BOWELwMX FILMS,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,603,"1,218",19,"11,457","23,142",Phase I
4005302,"XR COLON;BE,w/woKUB",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,603,"1,826",1,603,"1,826",Phase I
4005351,XR COLON;AIR CON BE,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,662,"2,123",0,0,0,Phase I
4005609,INJ PROC CHOLANGIO W/IMAGE & S&I,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,603,"2,970",0,0,0,Phase I
4005757,INJ PROC CHOLANGIO TRNSHEP W/IMAGE,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"1,566","8,867",0,0,0,Phase I
4005799,"XR UROGRAPHY,IVP LIMITED",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,267","2,560",0,0,0,Phase I
4005807,"XR UROGRAPHY,IVP COMPLETE",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,267","2,560",0,0,0,Phase I
4006011,"XR UROGRAPHY,ANTEGRADE,S&I",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,772,"1,003",1,772,"1,003",Phase I
4006037,TRANSCATH BX,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,902,"3,761",0,0,0,Phase I
4006052,"XR CYSTOGRAPHY,MIN 3V",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,799,"1,147",3,"2,397","3,441",Phase I
4006086,RETRIEV INTRAVASC FB,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"2,239","12,867",0,0,0,Phase I
4006128,AORTA THORACIC W/SERIAL,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"3,877","4,251",0,0,0,Phase I
4006136,AORTAGRAM ABD,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"3,201","5,519",0,0,0,Phase I
4006144,PLACE CATH THORACIC AORTA,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"5,166","7,798",0,0,0,Phase I
4006151,RETRO CYSTOURETHROGRAM,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,480,819,1,480,819,Phase I
4006169,ANG EXT CAROTID UNI SEL,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,543,"6,691",0,0,0,Phase I
4006185,ANG CAROTOD CERE UNI,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"5,166","7,910",0,0,0,Phase I
4006193,ANG CAROTID CERE BI,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"5,166","15,820",0,0,0,Phase I
4006201,"XR URETHRA/BLADDER,VOID,S&I",4630,RADIOLOGY-DIAGNOSTIC,320,320,320,603,"1,371",1,603,"1,371",Phase I
4006219,ANG CAROTID CERV UNI,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"2,891","9,699",0,0,0,Phase I
4006227,ANG CAROTID CERV BI,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"2,891","19,398",0,0,0,Phase I
4006235,ANG VERT CERV CRAN,4630,RADIOLOGY-DIAGNOSTIC,361,361,361,"3,877","15,405",0,0,0,Phase I
4006250,ANG EXTREMITY UNILATERIAL,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"3,201","4,812",0,0,0,Phase I
4006268,ANG EXTREMITY BILAT,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"4,585","6,884",0,0,0,Phase I
4006276,ANG RENAL UNI SELEC,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"5,166","6,431",0,0,0,Phase I
4006318,ANG PELVIC SELEC,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"3,877","7,554",0,0,0,Phase I
4006334,ANG PULM UNI SELEC,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"2,173","4,822",0,0,0,Phase I
4006367,ANGIO SEL ADDITIONAL,4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"2,308","2,372",0,0,0,Phase I
4006391,VENOGRAM EXTREM UNI,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,080","1,789",0,0,0,Phase I
4006409,VENOGRAM EXTREM BILAT,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,517","3,158",0,0,0,Phase I
4006417,VENA CAVAL INF SERIAL,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"2,173","4,617",2,"4,346","9,234",Phase I
4006425,VENA CAVAL SUP SERIAL,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,852","3,604",0,0,0,Phase I
4006433,VENOGRAM RENAL UNI,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"2,173","2,303",0,0,0,Phase I
4006441,"SPINAL PUNCTURE, LUMBAR DIAGNOSTIC",4630,RADIOLOGY-DIAGNOSTIC,360,360,360,760,"1,681",7,"5,320","11,767",Phase I
4006458,VENOGRAM RENAL BI/SEL,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"2,173","4,606",0,0,0,Phase I
4006466,VENOGRAM ADRENAL UNI SEL,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"2,173","2,303",0,0,0,Phase I
4006474,VENOGRAM ADREANAL BI SEL,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"3,877","4,606",0,0,0,Phase I
4006508,XR HYSTEROSALPINGOGRAPHY,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,844,"1,046",34,"28,696","35,564",Phase I
4006573,"XR ART,SELEC,EA ADD VES,S&I",4630,RADIOLOGY-DIAGNOSTIC,323,323,323,"2,308","2,372",0,0,0,Phase I
4006581,CHANGE PERQ TUBE/CATH,4630,RADIOLOGY-DIAGNOSTIC,320,320,320,"1,005","1,458",0,0,0,Phase I
4006615,"XR ART,CERVICOCEREB,S&I",4630,RADIOLOGY-DIAGNOSTIC,360,360,360,"5,166","7,798",0,0,0,Phase I
