Hospital Name:  Mercy St Francis SF,,,
OSHPD Facility No: 106380960,,,
"Effective Date of Charges: July 1, 2018",,,
,,,
"CDM
Number",Billing Description (25 char), Price ,Zero Price Inicator
4492765,NICOTINE GUM 2MG (EA) TAB, 8.38 ,
4492807,NIFEDIPINE 10MG CAP      , 9.91 ,
4492849,NIFEDIPINE ER 30MG TAB   , 12.98 ,
4492864,NIFEDIPINE XL 60MG TAB   , 20.41 ,
4492922,NIMODIPINE 30MG CAP      , 41.52 ,
4492948,NITROFURAN 100MG CAP     , 15.13 ,
4492963,NITROFURAN 50MG CAP      , 11.47 ,
4492971,NIZATIDINE 150MG CAP     , 6.89 ,
4492989,NORTRIPTYLINE 10MG CAP   , 8.81 ,
4492997,OLANZAPINE 10MG ODT      , 26.86 ,
4493003,NORTRIPTYLINE 25MG CAP   , 10.19 ,
4493128,NTG SL 0.4MG (25) TAB    , 35.79 ,
4493284,OFLOXACIN 200MG TAB      , 17.50 ,
4493318,OLANZAPINE ODT 5MG TAB   , 19.02 ,
4493334,OMEPRAZOLE 10MG EC CAP   , 16.18 ,
4493367,ONDANSETRON 4MG TAB      , 53.04 ,
4493417,PALIPERIDONE 6MG ER TAB  , 27.21 ,
4493458,AMYL/LIPASE/PRO ER27/5/17, 2.00 ,
4493474,PALIPERIDONE ER 3MG TAB  , 24.42 ,
4493490,OXYBUTYNIN XL 5MG TAB    , 9.49 ,
4493516,OXYCODONE CR 80MG TAB    , 27.99 ,
4493524,OXYBUTYNIN 5MG TAB       , 10.19 ,
4493532,OXYCODONE IR 5MG TAB     , 8.13 ,
4493573,PANTOPRAZOLE EC 40MG TAB , 9.20 ,
4493581,PAPAVERINE ER 150MG CAP  , 5.97 ,
4493599,PANTOPRAZOLE EC 20MG TAB , 9.20 ,
4493607,PAROMOMYCIN 250MG CAP    , 15.55 ,
4493623,PAROXETINE 20MG TAB      , 12.80 ,
4493631,PAROXETINE ER 25MG TAB   , 8.17 ,
4493656,PAROXETINE ER 12.5MG TAB , 7.71 ,
4493680,PEMOLINE 37.5MG TAB      , 9.53 ,
4493805,PENICILLAMINE 125MG CAP  , 8.27 ,
4493920,PENICILLIN V K 500MG TAB , 10.81 ,
4493946,NALOXONE/PENTAZOCINE 50MG, 21.87 ,
4493961,PENTOXIFYLLINE SR 400MG  , 6.37 ,
4494043,PERPHENAZINE 2MG TAB     , 9.00 ,
4494084,PERPHENAZINE 8MG TAB     , 5.97 ,
4494100,PHENAZOPYRIDINE 100MG TAB, 9.00 ,
4494142,PHENELZINE 15MG TAB      , 9.00 ,
4494167,PHENOBARB 100MG TAB      , 8.20 ,
4494209,PHENOBARB 30MG TAB       , 6.16 ,
4494225,PHENOBARB 60MG TAB       , 6.16 ,
4494241,PHENYTOIN 100MG ER CAP   , 8.81 ,
4494266,PHENYTOIN ER 30MG CAP    , 5.54 ,
4494282,PHENYTOIN 50MG CHW TAB   , 9.00 ,
4494290,PILOCARPINE 5MG TAB      , 4.86 ,
4494308,VIT K(PHYTONADIONE) 5MG  , 114.70 ,
4494316,PIMOZIDE 2MG TAB         , 4.43 ,
4494332,PRASUGREL 10MG TAB       , 32.40 ,
4494340,PINDOLOL 5MG TAB         , 5.83 ,
4494357,PIOGLITAZONE 30MG TAB    , 18.27 ,
4494381,PIROXICAM 10MG CAP       , 8.27 ,
4494423,MULTIVIT CHEW TAB PEDPO  , 5.97 ,
4494431,PEG 17GM PWDR            , 5.72 ,
4494449,MULTIVIT FE CHEW TAB     , 5.54 ,
4494456,PRAMIPEXOLE 1MG TAB      , 7.30 ,
4494480,PRAMIPEXOLE 0.25MG TAB   , 4.43 ,
4494506,PRAVASTATIN 20MG TAB     , 10.29 ,
4494522,PRAZOSIN 1MG CAP         , 6.35 ,
4494563,PRAZOSIN 5MG CAP         , 8.27 ,
4494605,PREDNISONE 1MG TAB       , 5.97 ,
4494621,PREDNISONE 10MG TAB      , 5.43 ,
4494662,PREDNISONE 20MG TAB      , 8.50 ,
4494688,PREDNISONE 5MG TAB       , 5.97 ,
4494704,PREDNISONE 50MG TAB      , 7.35 ,
4494720,PRIMAQUINE PHOS 26.3MG   , 8.27 ,
4494738,PREGABALIN 25MG CAP      , 8.13 ,
4494746,PRIMIDONE 250MG TAB      , 9.00 ,
4494761,PRIMIDONE 50MG TAB       , 9.00 ,
4494787,PROBENECID 500MG TAB     , 9.46 ,
4494803,PROCAINAMIDE SR 250MG TAB, 9.00 ,
4494829,PROCAINAMIDE SR 500MG TAB, 5.97 ,
4494845,PROCAINAMIDE ER 750MG TAB, 9.00 ,
4494886,PROCAINAMIDE 250MG CAP   , 9.00 ,
4494902,PROCAINAMIDE 375MG CAP   , 9.00 ,
4494944,PROCARBAZINE 50MG CAP    , 17.83 ,
4495024,PROCHLORPERAZINE 10MG TAB, 11.17 ,
4495081,PROMETHAZINE 25MG TAB    , 9.00 ,
4495123,PROPAFENONE 150MG TAB    , 9.15 ,
4495172,SEVELAMER CARB 2.4GM PWD , 22.73 ,
4495180,PROPANTHELINE 15MG TAB   , 9.00 ,
4495263,PROPRANOLOL LA 80MG CAP  , 9.61 ,
4495271,QUETIAPINE 300MG ER TAB  , 25.63 ,
4495289,PROPRANOLOL 10MG TAB     , 9.15 ,
4495297,QUETIAPINE 200MG ER TAB  , 19.55 ,
4495322,FLUORESCEIN 0.6MG STRIP  , 5.00 ,
4495339,RABEPRAZOLE EC 20MG TAB  , 12.16 ,
4495347,PROPRANOLOL 20MG TAB     , 9.15 ,
4495354,GUANFACINE 1MG TAB       , 2.74 ,
4495362,PROPRANOLOL 40MG TAB     , 9.15 ,
4495370,GLYCOPYRROLATE 1MG TAB   , 1.75 ,
4495388,PROPRANOLOL LA 60MG CAP  , 7.81 ,
4495396,MIRTAZAPINE 15MG SOLTAB  , 6.19 ,
4495412,METHAZOLAMIDE 25MG TAB   , 2.15 ,
4495420,PROPYLTHIOURACIL 50MG TAB, 5.97 ,
4495438,MESALAMINE 500MG ER CAP  , 4.14 ,
4495446,PSEUDOEPH/TRIPROL 60/2.5 , 8.71 ,
4495453,HYOSCYAMINE SR 0.375MG   , 2.08 ,
4495479,HYOSCYAMINE 0.125MG TAB  , 2.00 ,
4495495,TEMOZOLOMIDE 20MG CAP    , 73.52 ,
4495503,PSEUDOEPHEDRINE 30MG TAB , 2.00 ,
4495511,TEMOZOLOMIDE 5MG CAP     , 19.13 ,
4495537,TEMOZOLOMIDE 100MG CAP   , 363.61 ,
4495545,PYRAZINAMIDE 500MG TAB   , 12.03 ,
4495552,PYRIDOSTIGMINE 60MG TAB  , 16.25 ,
4495578,ROPINIROLE 0.5MG TAB     , 5.23 ,
4495594,QUETIAPINE 50MG TAB      , 8.00 ,
4495602,VIT B6(PYRIDOXINE) 50MG  , 9.00 ,
4495610,QUETIAPINE FUM 25MG TAB  , 7.10 ,
4495628,PYRIMETHAMINE 25MG TAB   , 6.46 ,
4495636,QUETIAPINE FUM 100MG TAB , 11.19 ,
4495669,QUINIDINE GLUC SR 324MG  , 10.79 ,
4495677,QUETIAPINE FUM 200MG TAB , 19.32 ,
4495685,QUINIDINE SULF SR 300MG  , 10.22 ,
4495701,QUINIDINE SULF 200MG TAB , 7.44 ,
4495719,ROPINIROLE 2MG TAB       , 5.23 ,
4495750,RISEDRONATE 35MG TAB     , 43.14 ,
4495768,QUININE SULF 324MG CAP   , 5.97 ,
4495800,RANITIDINE 150MG TAB     , 10.64 ,
4495842,RESERPINE 0.1MG TAB      , 5.97 ,
4495883,RIFABUTIN 150MG CAP      , 20.55 ,
4495891,RISEDRONATE 5MG TAB      , 7.72 ,
4495909,RIFAMPIN 150MG CAP       , 17.69 ,
4495917,RISPERIDONE 0.5MG TAB    , 10.93 ,
4495925,RIFAMPIN 300MG CAP       , 20.34 ,
4495941,RISPERIDONE 1MG TAB      , 12.64 ,
4495966,RISPERIDONE 2MG TAB      , 19.25 ,
4495982,RISPERIDONE 3MG TAB      , 23.44 ,
4496006,RISPERIDONE 4MG TAB      , 30.30 ,
4496030,ROSIGLITAZONE 4MG TAB    , 10.83 ,
4496048,SALSALATE 500MG TAB      , 6.19 ,
4496063,SAQUINAVIR MESYL 200MG   , 11.63 ,
4496089,SELEGILINE 5MG TAB       , 18.46 ,
4496097,SALMETEROL 50MCG/IH 28DSK, 140.21 ,
4496098,DOCOSANOL 10% 2GM TOP    , 43.00 ,
4496105,SENNOSIDES 8.6MG TAB     , 9.00 ,
4496113,SAQUINAVIR 500MG TAB     , 19.03 ,
4496121,SERTRALINE 100MG TAB     , 6.00 ,
4496139,SERTRALINE 25MG TAB      , 6.00 ,
4496147,SERTRALINE 50MG TAB      , 6.00 ,
4496162,SEVELAMER HCL 800MG TAB  , 4.75 ,
4496170,RALOXIFENE 60MG TAB      , 7.72 ,
4496196,SIMVASTATIN 5MG TAB      , 4.00 ,
4496204,SIMETHICONE 80MG CHW TAB , 8.81 ,
4496212,SIMVASTATIN 10MG TAB     , 6.00 ,
4496220,CARBIDOP/LEVOD 10/100 TAB, 9.00 ,
4496238,SIMVASTATIN 20MG TAB     , 9.00 ,
4496246,CARBIDOPA/LEVOD 25/100MG , 7.34 ,
4496253,SIMVASTATIN 40MG TAB     , 9.00 ,
4496261,CARBIDOPA/LEVODOP 25/250M, 8.61 ,
4496279,SIMVASTATIN 80MG TAB     , 10.50 ,
4496287,CARBIDOPA/LEVO ER 50/200M, 10.06 ,
4496295,RIBAVIRIN 200MG CAP      , 19.65 ,
4496303,NACL 1GM TAB             , 5.97 ,
4496311,SILDENAFIL 25MG TAB      , 24.87 ,
4496329,FLUORIDE 1MG CHW TAB     , 5.97 ,
4496337,SORBITOL 70% 30ML SOL    , 5.15 ,
4496345,ASP/CARSP/COD325/200/16MG, 21.87 ,
4496402,SOTALOL 80MG TAB         , 11.52 ,
4496410,SOLIFENACIN 5MG TAB      , 7.36 ,
4496436,RIFAXIMIN 200MG TAB      , 11.16 ,
4496444,SPIRONOLACTONE 25MG TAB  , 9.61 ,
4496469,SPIRONOLACTONE 50MG TAB  , 12.86 ,
4496485,STAVUDINE 15MG CAP       , 18.50 ,
4496501,STAVUDINE 20MG CAP       , 19.22 ,
4496519,RILPIVIRINE 25MG TAB     , 63.47 ,
4496568,MULTIVITAMIN PRENATAL TAB, 8.06 ,
4496584,SUCRALFATE 1GM TAB       , 5.97 ,
4496600,SULFADIAZINE 500MG TAB   , 5.24 ,
4496642,SULFASALAZIN EC 500MG TAB, 5.54 ,
4496667,SULFASALAZINE 500MG TAB  , 5.97 ,
4496683,SULFINPYRAZONE 100MG TAB , 5.97 ,
4496725,SULFISOXAZOLE 500MG TAB  , 5.85 ,
4496741,SULINDAC 150MG TAB       , 12.36 ,
4496758,SUMATRIPTAN 50MG TAB     , 61.50 ,
4496766,SULINDAC 200MG TAB       , 15.13 ,
4496774,SUMATRIPTAN 25MG TAB     , 51.99 ,
4496782,TAMOXIFEN 10MG TAB       , 18.02 ,
4496816,TAMSULOSIN 0.4MG CAP     , 7.51 ,
4496824,TEMAZEPAM 15MG CAP       , 18.80 ,
4496832,TELMISARTAN 80MG TAB     , 4.52 ,
4496840,TEMAZEPAM 30MG CAP       , 18.80 ,
4496857,TACROLIMUS 0.5MG CAP     , 6.05 ,
4496865,TEMAZEPAM 7.5MG CAP      , 5.54 ,
4496873,TACROLIMUS 1MG CAP       , 8.05 ,
4496907,TERAZOSIN 1MG CAP        , 9.50 ,
4496949,TERAZOSIN 5MG CAP        , 9.50 ,
4497000,VIT B12 500MCG TAB       , 6.19 ,
4497004,TERBUTALINE 5MG TAB      , 9.83 ,
4497005,SMZ-TMP 800-160MG/20ML LQ, 5.72 ,
4497046,TETRACYCLINE 250MG CAP   , 5.97 ,
4497186,THEOPHYLLINE ER 200MG TAB, 9.00 ,
4497319,THEOPHYLLINE TR 400MG(24H, 3.73 ,
4497327,MULTIVIT MINERAL TAB     , 9.00 ,
4497343,MULTIVIT THERAPEUTIC TAB , 9.00 ,
4497368,THIABENDAZ 500MG CHW TAB , 15.97 ,
4497384,VIT B1(THIAMINE) 100MG   , 9.00 ,
4497442,THIORIDAZINE 10MG TAB    , 8.76 ,
4497467,THIORIDAZINE 100MG TAB   , 10.56 ,
4497525,THIORIDAZINE 25MG TAB    , 9.37 ,
4497566,THIOTHIXENE 1MG CAP      , 10.19 ,
4497582,THIOTHIXENE 10MG CAP     , 12.04 ,
4497640,THIOTHIXENE 5MG CAP      , 11.47 ,
4497814,TIPRANAVIR 250MG CAP     , 41.63 ,
4497822,THYROID 60MG (1GR) TAB   , 6.73 ,
4497830,TIAGABINE 4MG TAB        , 5.26 ,
4497848,TICLOPIDINE 250MG TAB    , 10.21 ,
4497863,TIMOLOL 10MG TAB         , 9.00 ,
4497871,TIZANIDINE 4MG TAB       , 5.30 ,
4497889,TOCAINIDE 400MG TAB      , 7.96 ,
4497921,TOLAZAMIDE 100MG TAB     , 6.73 ,
4497947,TOLAZAMIDE 250MG TAB     , 6.73 ,
4498002,TOLBUTAMIDE 500MG TAB    , 7.35 ,
4498010,TOPIRAMATE 100MG TAB     , 10.83 ,
4498028,TRANYLCYPROMINE 10MG TAB , 5.97 ,
4498036,TOPIRAMATE 25MG TAB      , 5.44 ,
4498044,TRAZODONE 100MG TAB      , 16.13 ,
4498051,TOLTERODINE 2MG TAB      , 6.59 ,
4498069,TRAZODONE 50MG TAB       , 10.81 ,
4498077,TORSEMIDE 20MG TAB       , 3.07 ,
4498085,TRIAMTERENE/HCTZ 37.5/25M, 5.83 ,
4498093,TRETINOIN 10MG CAP       , 34.44 ,
4498102,OSELTAMIVIR 30MG CAP     , 34.19 ,
4498144,ALCLOMETAS 0.05% 15GM CRM, 95.58 ,
4498184,TRIAMTERENE 50MG CAP     , 5.54 ,
4498200,TRIAZOLAM 0.125MG TAB    , 18.80 ,
4498283,TRIFLUOPERAZINE 2MG TAB  , 9.00 ,
4498325,TRIFLUOPERAZINE 5MG TAB  , 8.27 ,
4498341,TRIHEXYPHENIDYL 2MG TAB  , 5.75 ,
4498358,RIVAROXABAN 15MG TAB     , 15.89 ,
4498366,TRIHEXYPHENIDYL 5MG TAB  , 9.15 ,
4498374,OXCARBAZEPINE 300MG TAB  , 7.67 ,
4498416,VALACYCLOVIR 500MG TAB   , 13.00 ,
4498424,TRIMETHOPRIM 100MG TAB   , 9.00 ,
4498465,METH/METH BLUE/BA/SAL/HYC, 5.97 ,
4498481,K CITRATE ER 5MEQ TAB    , 7.46 ,
4498499,URSODIOL 300MG CAP       , 11.58 ,
4498515,VALSARTAN 80MG TAB       , 6.46 ,
4498556,VENLAFAXINE 150MG XR TAB , 11.17 ,
4498606,VENLAFAXINE 37.5MG TAB   , 7.45 ,
4498614,VENLAFAXINE 50MG TAB     , 6.46 ,
4498622,VENLAFAXINE 75MG TAB     , 7.45 ,
4498630,VENLAFAXINE ER 75MG TAB  , 11.11 ,
4498655,VENLAFAXINE 37.5MG XR TAB, 7.72 ,
4498663,VERAPAMIL ER 120MG CAP   , 8.50 ,
4498671,RIVAROXABAN 10MG TAB     , 17.00 ,
4498689,VERAPAMIL ER 180MG CAP   , 10.22 ,
4498697,WARFARIN 0.5MG TAB       , 3.56 ,
4498747,VERAPAMIL 80MG TAB       , 9.61 ,
4498796,RALTEGRAVIR 400MG TAB    , 33.75 ,
4498812,RASAGILINE 1MG TAB       , 19.10 ,
4498838,NITAZOXANIDE 500MG TAB   , 40.83 ,
4498846,VIT B12 100MCG TAB       , 6.19 ,
4498853,MARAVIROC 150MG TAB      , 36.25 ,
4498861,VIT E 100IU CAP          , 9.00 ,
4498879,ETRAVIRINE 100MG TAB     , 13.63 ,
4498887,VIT A 10000IU CAP        , 5.54 ,
4498903,VIT A 25000 IU CAP       , 5.97 ,
4498911,ACAMPROSATE 333MG ER TAB , 2.42 ,
4498937,VORICONAZOLE 200MG TAB   , 60.54 ,
4498947,RITONAVIR 100MG TAB      , 15.04 ,
4498952,VORICONAZOLE 50MG TAB    , 16.02 ,
4498960,VIT E 400IU CAP          , 9.00 ,
4498986,WARFARIN 1MG TAB         , 7.12 ,
4498987,DOLUTEGRAVIR 50MG TAB    , 116.65 ,
4498988,ONDANSETRON 4MG ODT      , 5.00 ,
4499000,WARFARIN 10MG TAB        , 9.83 ,
4499001,MESALAMINE 400MG ER CAP  , 6.27 ,
4499018,APAP/TRAMADOL 325/37.5 TB, 3.28 ,
4499026,WARFARIN 2MG TAB         , 8.81 ,
4499034,ANAGRELIDE 0.5MG CAP     , 12.66 ,
4499042,WARFARIN 2.5MG TAB       , 8.81 ,
4499059,WARFARIN 3MG TAB         , 8.03 ,
4499067,WARFARIN 5MG TAB         , 9.15 ,
4499075,MELOXICAM 7.5MG TAB      , 8.04 ,
4499083,WARFARIN 7.5MG TAB       , 9.46 ,
4499091,ZAFIRLUKAST 20MG TAB     , 5.98 ,
4499117,LEVOCARNITINE 330MG TAB  , 2.93 ,
4499141,ZIDOVUDINE 100MG CAP     , 26.62 ,
4499174,ZONISAMIDE 100MG CAP     , 5.00 ,
4499182,ZINC SULF 220MG CAP      , 5.43 ,
4499190,ZIPRASIDONE 40MG CAP     , 12.45 ,
4499208,ZOLPIDEM TART 10MG TAB   , 15.48 ,
4499216,ZIPRASIDONE 20MG CAP     , 12.45 ,
4499224,ZOLPIDEM TART 5MG TAB    , 15.48 ,
4499232,CYCLOSPORINE 100MG CAP   , 35.64 ,
4499265,AZITHROMYCIN 600MG TAB   , 56.87 ,
4499273,VALGANCICLOVIR 450MG TAB , 63.44 ,
4499299,ARIPIPRAZOLE 5MG TAB     , 84.36 ,
4499307,OLANZAPINE 10MG TAB      , 31.23 ,
4499323,OLANZAPINE 5MG TAB       , 23.97 ,
4499331,CARVEDILOL 3.125MG TAB   , 8.19 ,
4499349,CARVEDILOL 6.25MG TAB    , 8.19 ,
4499356,CARVEDILOL 12.5MG TAB    , 8.19 ,
4499364,CARVEDILOL 25MG TAB      , 8.19 ,
4499372,ACARBOSE 50MG TAB        , 4.09 ,
4499398,PAROXETINE 10MG TAB      , 10.34 ,
4499414,LOSARTAN 25MG TAB        , 6.69 ,
4499422,REPAGLINIDE 1MG TAB      , 3.78 ,
4499430,DOXAZOSIN 2MG TAB        , 5.99 ,
4499463,METOPROLOL ER 50MG TAB   , 4.19 ,
4499471,METOPROLOL ER 100MG TAB  , 5.26 ,
4499505,OXANDROLONE 2.5MG TAB    , 23.97 ,
4499513,ISOSORBIDE MON ER 30MG TB, 6.59 ,
4499521,TRAMADOL 50MG TAB        , 5.04 ,
4499562,ARIPIPRAZOLE 15MG TAB    , 84.36 ,
4499570,ZIPRASIDONE 60MG CAP     , 15.25 ,
4499588,ZIPRASIDONE 80MG CAP     , 15.25 ,
4499596,ATAZANAVIR SUL 150MG CAP , 32.89 ,
4499604,HCTZ 12.5MG CAP          , 2.13 ,
4499612,TENOFOVIR 300MG TAB      , 29.90 ,
4499620,DIVALPROEX ER 250MG TAB  , 3.68 ,
4499638,ELETRIPTAN 20MG TAB      , 33.12 ,
4499646,ELETRIPTAN HBR 40MG TAB  , 35.12 ,
4499653,LEVETIRACETAM 500MG TAB  , 5.80 ,
4499661,TOLTERODINE LA 2MG CAP   , 7.72 ,
4499679,ARIPIPRAZOLE 10MG TAB    , 84.36 ,
4499711,METOPROLOL ER 25MG TAB   , 2.60 ,
4499729,BUPROPION SR 24HR 150MG T, 7.11 ,
4499737,SENNA/DOC 8.6MG/50MG TAB , 2.00 ,
4499738,WND BI MSH4X5 5965X-7755 ," 18,345.00 ",
4499739,WND BI M4X10 7755X-10082 ," 29,550.00 ",
4499745,RIVASTIGMINE 1.5MG CAP   , 5.35 ,
4499746,APIXABAN 2.5MG TAB       , 8.94 ,
4499747,UMECL/VILANT 62.5-25#7INH, 178.77 ,
4499748,VIT D3 400IU/1ML LIQ     , 5.00 ,
4499749,CLOBETASOL 0.05% 15GM OIN, 193.23 ,
4499752,RAMIPRIL 1.25MG CAP      , 3.36 ,
4499760,ATORVASTATIN 80MG TAB    , 8.87 ,
4499778,CARBIDOPA/LEVO ER 25/100 , 3.20 ,
4499786,CAPECITABINE 500MG TAB   , 27.24 ,
4499802,ANASTROZOLE 1MG TAB      , 18.20 ,
4499810,IMATINIB 100MG CAP       , 76.13 ,
4499828,MEMANTINE 5MG TAB        , 5.64 ,
4499836,ATAZANAVIR SUL 200MG CAP , 29.92 ,
4499844,RISPERIDONE ODT 1MG TAB  , 9.90 ,
4499851,RISPERIDONE ODT 2MG TAB  , 15.20 ,
4499852,TESTOSTER 2MG/24HR PATCH , 17.69 ,
4499869,BENZONATATE 100MG CAP    , 3.00 ,
4499877,CAPECITABINE 150MG TAB   , 7.12 ,
4499885,FAMOTIDINE 10MG TAB      , 5.00 ,
4499886,UMECL/VILANT 62.5-25#7INH, 223.50 ,
4499893,CYCLOSPORINE MOD 25MG CAP, 4.05 ,
4499902,TRIAMCIN ACE 0.1% 15GM CR, 92.85 ,
4499903,TRIAMCIN ACE 0.1% 80GM CR, 171.87 ,
4499904,OASIS TRI 3X3.5 150X-195 , 527.91 ,
4499905,OASIS TRI 7X10CM 730X-949," 2,561.00 ",
4499906,OASIS TRI 7X20 1605X-2087," 5,631.00 ",
4499927,CYCLOSPORINE MOD100MG CAP, 12.00 ,
4499950,DULOXETINE DR 20MG CAP   , 7.76 ,
4499952,SILVER OXY COAT 4X8IN DSG, 35.84 ,
4499953,SILVER OXY COAT 8X16INDSG, 190.00 ,
4499954,RIFAXIMIN 550MG TAB      , 62.52 ,
4499955,FOSFOMYCIN GRAN 3GM PKT  , 142.22 ,
4499956,APAP/HYDROCO 325/7.5 15ML, 8.86 ,
4499957,BELLADON/OPIUM 16/60MG SU, 61.29 ,
4499958,RILUZOLE 50MG TAB        , 7.49 ,
4499959,ACYCLOVIR 5% 5GM OINT    , 295.88 ,
4499970,PHENYLEPH 2.5% 15ML OPS  , 255.42 ,
4499976,OLMESARTAN 20MG TAB      , 4.04 ,
4499985,OAT BETA-GLUCAN 99GM OINT, 193.14 ,
4499986,LEFLUNOMIDE 10MG TAB     , 12.54 ,
4499992,EMTRICT-TENOF 200/300MTB , 88.00 ,
4499994,DRONEDARONE 400MG TAB    , 16.00 ,
4499995,PRAMOXINE/HC 2.5% 30GMCRM, 72.09 ,
4499996,NITROFUR MACR/MONO 100MG , 15.13 ,
4499997,MICROFIB COLLAG 0.5GM JAR, 277.00 ,
4500000,OB/GYN PROCEDURE LEVEL 1 ," 1,374.00 ",
4700001,PULMONARY REHAB DEPT     , -   ,1
4703211,PULM REHAB INIT ASSESS NC, -   ,1
4703278,THERAP STRG ENDR EA 15MIN, 151.00 ,
4703286,THRP RSP-OTH INDV EA15MIN, 151.00 ,
4703294,THRP RSP STRG END GR<=15M, 151.00 ,
4703302,THRP RSP STRG END GR<=30M, 170.00 ,
4703310,THRP RSP STRG END GR<=45M, 258.00 ,
4703328,THRP RSP STRG END GR<=60M, 342.00 ,
4703336,THRP RSP STRG END GR<=75M, 430.00 ,
4703344,THRP RSP STRG END GR<=90M, 519.00 ,
4703351,THRP RSP STG END GR<=120M, 688.00 ,
4703369,PULM REHAB PHASE III NC  , -   ,1
4703377,PULM REHAB COPD W EX 1HR , 446.00 ,
4703401,PULM REHAB PHASE I IP NC , -   ,1
4704136,DEMO/EVAL INHALATION TX  , 388.00 ,
4704144,TOBACCO COUNSELING 3-10MN, 94.00 ,
4704151,TOBACCO COUNSELING >10MIN, 130.00 ,
4706008,PULM REHAB III SP        , 34.00 ,
4707006,CARD REHAB II WO ECG OP  , 175.00 ,
4707014,CARDIAC REHAB II W ECG OP, 259.00 ,
4707022,CARD REHAB III SP        , 11.00 ,
4707030,CARD REHAB I INIT IP NC  , -   ,1
4707048,CARD REHAB INI ASMT OP NC, -   ,1
4720000,PAIN CENTER DEPARTMENT   , -   ,1
4720001,PAIN CTR COURTESY VISIT  , -   ,1
4720002,UNCANC VST PAIN CTR SP   , 62.00 ,
4720003,VISIT LEVEL 1 EST PT     , 140.00 ,
4720004,VISIT LEVEL 1 NEW PT     , 140.00 ,
4720005,VISIT LEVEL 2 EST PT     , 143.00 ,
4720006,VISIT LEVEL 2 NEW PT     , 154.00 ,
4720007,VISIT LEVEL 3 EST PT     , 186.00 ,
4720008,VISIT LEVEL 3 NEW PT     , 192.00 ,
4720009,VISIT LEVEL 4 EST PT     , 234.00 ,
4720010,VISIT LEVEL 4 NEW PT     , 238.00 ,
4720011,VISIT LEVEL 5 EST PT     , 246.00 ,
4720012,VISIT LEVEL 5 NEW PT     , 344.00 ,
4720013,INTERACTIVE COMPLEX ADDON, 207.00 ,
4720014,PSYCH DX EVAL 90 MIN     , 380.00 ,
4720018,PSYCHOTHERAPY PAT >53 MIN, 418.00 ,
4720024,PSYCH TESTING COMPUTER   , 497.00 ,
4720025,OFFICE VISIT W/PROC PC NC, -   ,1
4720026,XR FLUORO <1 HOUR NC     , -   ,1
4720027,XR FLUORO 1-2 HOURS NC   , -   ,1
4720028,XR FLUORO 2-3 HOURS NC   , -   ,1
4720029,XR FLUORO 3-4 HOURS NC   , -   ,1
4720030,XR FLUORO 4-5 HOURS NC   , -   ,1
4720031,XR FLUORO 5-6 HOURS NC   , -   ,1
4720032,RXOI BUPIV 0.5% 10ML INJ , 61.87 ,
4720033,RXOI LIDO 0.5% 50ML INJ  , 72.16 ,
4720034,RXOI LIDO 1% 10ML        , 42.50 ,
4720035,RXOI LIDO 1% 30ML INJ    , 95.23 ,
4720036,RXOI LIDO 1% 5ML         , 58.34 ,
4720037,RXOI LIDO 2% 2ML INJ     , 53.04 ,
4720038,RXOI LIDO 2% MPF 5ML     , 17.80 ,
4720039,RXOI SOD BIC 8.4% 50ML IJ, 70.39 ,
4720040,INF TX/DX/PRO INIT 1ST HR, 418.00 ,
4720041,XR EPIDUROGRAM           ," 1,276.00 ",
4720042,XR FLUORO < 1 HR         ," 1,674.00 ",
4720043,XR FLUORO NDL LOCAL SPINE," 1,301.00 ",
4720044,XR ARTHROGRAM HIP BIL    ," 2,895.00 ",
4720045,XR ARTHROGRAM HIP LT     ," 2,895.00 ",
4720046,XR ARTHROGRAM HIP RT     ," 2,895.00 ",
4720047,XR ARTHROGRAM SHOULDER LT," 1,879.00 ",
4720048,XR ARTHROGRAM SHOULDER RT," 1,879.00 ",
4720049,XR ARTHROGRM SHOULDER BIL," 1,879.00 ",
4720050,CHEMO INF INIT 1ST HR    , 583.00 ,
4720051,INF TX/DX/PRO SEQ 1HR    , 781.00 ,
4720052,INJ TX/DX/PRO IV PUSH SEQ, 253.00 ,
4720053,BUPIVACAINE 0.25% 10ML   , 61.87 ,
4720054,RXCI!NATALIZUMAB 300MG IJ," 7,505.52 ",
4720055,RXOI BOTLNM TXN A 100U IJ," 1,658.00 ",
4720056,RXOI BOTUL TXN B 5000U IJ," 1,314.00 ",
4720057,RXOI DEXAM PHOS 4MG INJ  , 112.00 ,
4720058,RXOI KETOROLAC 30MG INJ  , 77.00 ,
4720059,RXOI METHYLPRED AC 200MG , 138.00 ,
4720060,RXOI METHYLPRED AC 40MG  , 78.00 ,
4720061,RXOI METHYLPRED AC 80MG  , 92.00 ,
4720062,RXOI TRIAM AC 10MG 5ML IJ, 73.00 ,
4720063,RXOI TRIAM AC 40ML/ML 1ML, 108.00 ,
4720064,RXOI VIT B12 1000MCG INJ , 46.00 ,
4720065,EMG CRAN NRV BIL         , 511.00 ,
4720066,EMG CRAN NERV UNILAT     , 420.00 ,
4720067,MUSC TST W/NRV CON CMP EA, 338.00 ,
4720068,MUSC TST W/NRV CON LTD EA, 338.00 ,
4720069,MUSC TST W/NRV CON NONEXT, 179.00 ,
4720070,N EMG THORACIC NOT T1/T12, 246.00 ,
