Procedure ID,Procedure,Charge
S17261,CATHETER OCCL OCCLUDER 34FRX7X2X100CM,547.3499756
S17263,BALLOON SCORING ANGIOSCULPT 2.0MM X 6MM,2800
S17264,BALLOON SCORING ANGIOSCULPT 2.0MM X 10MM,2800
S17265,BALLOON SCORING ANGIOSCULPT 2.0MM X 15MM,2800
S17266,BALLOON SCORING ANGIOSCULPT 2.5MM X 6MM,2800
S17267,BALLOON SCORING ANGIOSCULPT 2.5MM X 10MM,2800
S17268,BALLOON SCORING ANGIOSCULPT 2.5MM X 15MM,2800
S17269,BALLOON SCORING ANGIOSCULPT 3.0MM X 6MM,2800
S1727,M/DN FEM IM NAIL 11MM DIA X 34CM,3853.850098
S17270,BALLOON SCORING ANGIOSCULPT 3.0MM X 10MM,2800
S17271,BALLOON SCORING ANGIOSCULPT 3.0MM X 15MM,2800
S17272,BALLOON SCORING ANGIOSCULPT 3.5MM X 6MM,2800
S17273,BALLOON SCORING ANGIOSCULPT 3.5MM X 10MM,2800
S17274,BALLOON SCORING ANGIOSCULPT 3.5MM X 15MM,2800
S1728,M/DN FEM IM NAIL 12MM DIA X 34CM,3853.850098
S17289,SCREW BONE CORT TI 4.5X26.0MM,891
S1729,M/DN FEM IM NAIL 13MM DIA X 34CM,3853.850098
S173,BONE NAIL PEDIFLEX TI ELAST FIX 2.0MM,1353.75
S1730,M/DN FEM IM NAIL 14MM DIA X 34CM,3853.850098
S17301,PLATE HAND STAINLSS STR 6 HOLES 1.3MM,772.7999878
S17302,PLATE HAND STAINLSS STR 12 HOLES 1.3MM,971.4799805
S17303,PLATE HAND STAINLSS H SHP EXT RT 1.3MM,930.9000244
S17304,PLATE HAND STAINLSS H SHP EXT LT 1.3MM,930.9000244
S17305,PLATE HAND STAINLSS T SHP 3X8 HL 1.3MM,894.1099854
S17306,PLATE HAND STAINLSS T SHP 4X8 HL 1.3MM,930.9000244
S17307,PLATE HAND STAINLSS Y SHP 3X8 HL 1.3MM,894.1099854
S1731,M/DN FEM IM NAIL 15MM DIA X 34CM,3853.850098
S17311,RESERVOIR VENTRIC FLAT DOME INTEGR 3.5CM,1210.130005
S17315,FILTER SMOKE EVAC ULPA NON FL TRAP ST,57.86000061
S1732,M/DN FEM IM NAIL 16MM DIA X 34CM,3853.850098
S17327,CABLE ELECTROSURG WET-FIELD BIPLR ST,60.68000031
S1733,M/DN FEM IM NAIL 8MM DIA X 36CM,3853.850098
S17330,GUIDEWIRE VASC PATRIOT 0.014INX145CM,423.75
S17337,TRIAL SHELL PINNACLE HIP STD PROF 48MM,2086
S1734,M/DN FEM IM NAIL 9MM DIA X 36CM,3853.850098
S17340,PINN STRAIGHT CUP IMPACTOR,5838
S1735,M/DN FEM IM NAIL 10MM DIA X 36CM,3853.850098
S1736,M/DN FEM IM NAIL 11MM DIA X 36CM,3853.850098
S1737,M/DN FEM IM NAIL 12MM DIA X 36CM,3853.850098
S17375,PLATE BONE 140MM NONSTERILE LCP,5668.569824
S17376,PLATE BONE 140MM STERILE LCP STAINLESS,5879.689941
S17379,PLATE BONE 180MM NONSTERILE LCP,5781.439941
S1738,M/DN FEM IM NAIL 13MM DIA X 36CM,3853.850098
S17380,PLATE BONE 180MM STERILE LCP STAINLESS,5999.879883
S17383,PLATE BONE 220MM NONSTERILE LCP,5907.859863
S17384,PLATE BONE 220MM STERILE LCP STAINLESS,6123.5
S17387,PLATE BONE 260MM NONSTERILE LCP,6020.740234
S17388,PLATE BONE 260MM STERILE LCP STAINLESS,6240.290039
S1739,M/DN FEM IM NAIL 14MM DIA X 36CM,3853.850098
S17391,PLATE BONE 300MM NONSTERILE LCP,6135.890137
S17392,PLATE BONE 300MM STERILE LCP STAINLESS,6363.910156
S17395,PLATE BONE 156MM NONSTERILE LCP,5749.169922
S17396,PLATE BONE 156MM STERILE LCP STAINLESS,5862.470215
S17399,PLATE BONE 196MM NONSTERILE LCP,5869.399902
S174,BONE NAIL PEDIFLEX TI ELAST FIX 2.5MM,1353.75
S1740,M/DN FEM IM NAIL 15MM DIA X 36CM,3853.850098
S17400,PLATE BONE 196MM STERILE LCP STAINLESS,5982.72998
S17403,PLATE BONE 236MM NONSTERILE LCP,5992.97998
S17404,PLATE BONE 236MM STERILE LCP STAINLESS,6102.879883
S17407,PLATE BONE 276MM NONSTERILE LCP,6109.709961
S17408,PLATE BONE 276MM STERILE LCP STAINLESS,6223.109863
S1741,M/DN FEM IM NAIL 16MM DIA X 36CM,3853.850098
S17411,PLATE BONE 316MM NONSTERILE LCP,6233.330078
S17412,PLATE BONE 316MM STERILE LCP STAINLESS,6343.299805
S17415,SCREW BONE 5MM 14MM LCP LISS SS FEM TIB,850.0100098
S17416,SCREW BONE 5MM 14MM LCP SS FEM TIB DIST,993.5300293
S17418,SCREW BONE 5MM 18MM LCP SS FEM TIB DIST,993.5300293
S1742,M/DN FEM IM NAIL 8MM DIA X 38CM,3853.850098
S1743,M/DN FEM IM NAIL 9MM DIA X 38CM,3853.850098
S1744,M/DN FEM IM NAIL 10MM DIA X 38CM,3853.850098
S1745,M/DN FEM IM NAIL 11MM DIA X 38CM,3853.850098
S1746,M/DN FEM IM NAIL 12MM DIA X 38CM,3853.850098
S17464,NUT ORTHO 12MM 4MM LCP SS SLFCT SERRAT,647.5900269
S1747,M/DN FEM IM NAIL 13MM DIA X 38CM,3853.850098
S1748,M/DN FEM IM NAIL 14MM DIA X 38CM,3853.850098
S1749,M/DN FEM IM NAIL 15MM DIA X 38CM,3853.850098
S17499,PLATE BONE CURVE 170X17.5X5.2MM,5687.359863
S175,NAIL 3.0MM FLEX TI,1353.75
S1750,M/DN FEM IM NAIL 16MM DIA X 38CM,3853.850098
S17500,PLATE BONE CURVE 170X17.5X5.2MM STERILE,5821.310059
S17503,PLATE BONE CURVE 206X17.5X5.2MM,5794.990234
S17504,PLATE BONE CURVE 206X17.5X5.2MM STERILE,5931.169922
S17507,PLATE BONE CURVE 242X17.5X5.2MM,6010.200195
S17508,PLATE BONE CURVE 242X17.5X5.2MM STERILE,6144.109863
S1751,M/DN FEM IM NAIL 8MM DIA X 40CM,3853.850098
S17511,PLATE BONE CURVE 278X17.5X5.2MM,6131.370117
S17512,PLATE BONE CURVE 278X17.5X5.2MM STERILE,6267.72998
S17515,PLATE BONE CURVE 314X17.5X5.2MM,6257.410156
S17516,PLATE BONE CURVE 314X17.5X5.2MM STERILE,6391.419922
S17519,PLATE BONE CURVE 350X17.5X5.2MM,6381.100098
S1752,M/DN FEM IM NAIL 9MM DIA X 40CM,3853.850098
S17520,PLATE BONE CURVE 350X17.5X5.2MM STERILE,6515.040039
S17523,PLATE BONE CURVE 386X17.5X5.2MM,6511.609863
S17524,PLATE BONE CURVE 386X17.5X5.2MM STERILE,6645.52002
S1753,M/DN FEM IM NAIL 10MM DIA X 40CM,3853.850098
S1754,M/DN FEM IM NAIL 11MM DIA X 40CM,3853.850098
S17542,DEVICE GWIRE HI-TORQUE 0.18INX300CM,18.75
S1755,M/DN FEM IM NAIL 12MM DIA X 40CM,3853.850098
S17552,ANCHOR SUTURE HEALIX PEEK ORTHOCORD 2,1200
S17553,ANCHOR SUTURE HEALIX PEEK 5.5MM 2,1200
S17554,ANCHOR SUTURE HEALIX PEEK 5.5MM,1200
S17555,ANCHOR SUTURE HEALIX PEEK 6.5MM 2,1744.880005
S17556,ANCHOR SUTURE ARTHROSCOP HEALIX 5.5MM,1241.25
S17559,ANCHOR HEALIX TRANSTEND BR 2 PERCANNULA,3717
S1756,M/DN FEM IM NAIL 13MM DIA X 40CM,3853.850098
S17561,AWL BONE TAP HEALIX TI FULL REUSE 4.5MM,1839.380005
S17562,ANCHOR HEALIX KNOTLESS BR 4.75MM,1771.880005
S17563,ANCHOR SUTURE ARTHROSCOP HEALIX 4.75MM,1731.380005
S17564,ANCHOR SUTURE HEALIX ADVANCE 4.5MM,1241.25
S17565,ANCHOR SUTURE HEALIX ADVANCE 5.5MM,1241.25
S1757,M/DN FEM IM NAIL 14MM DIA X 40CM,3853.850098
S17571,AWL SURG 4.5MM HEALIX ADVANCE,1852.880005
S17572,TAP SURG 4.5MM HEALIX CORTICAL AWL,1852.880005
S17573,ANCHOR SUTURE 4.75MM HEALIX ADVANCE,1335
S17574,ANCHOR SUTURE HEALIX ADVANCE PEEK 4.75MM,1819.130005
S17575,ANCHOR HELIX TRANSCEND 2,1275
S1758,M/DN FEM IM NAIL 15MM DIA X 40CM,3853.850098
S17580,WIRE KIRSCHNER TROC RND ORTHO 1.1X100MM,112.2399979
S17581,WIRE KIRSCHNER OLIVE SS 1.1MMX100MM,313.2000122
S17586,GUIDEWIRE VASC ROTAT HEMOSTAT VLV .096IN,131.25
S17587,AWL BONE SPIRALOK TI ARTHSCP REUSE 8IN,1333.130005
S17589,ANCHOR SUTURE GII QUICKANCHOR + 2 CP2,1350
S1759,M/DN FEM IM NAIL 16MM DIA X 40CM,3853.850098
S17590,ANCHOR SUTURE QUICKANCHOR SUPR + 2  CP2,1832.630005
S17591,ANCHOR SUTURE FASTIN RC THRD 5.0MM 2,1474.880005
S17592,ANCHOR SUTURE FASTIN RC THRD 6.5MM 2,1474.880005
S17594,GUIDEWIRE.014IN/STRAIGHT2CMTIP/1,281.25
S17595,GUIDEWIRE.014IN/STRAIGHT30CMTIP/,281.25
S176,NAIL 3 .5 FLEX TI,1353.75
S1760,M/DN FEM IM NAIL 8MM DIA X 42CM,3853.850098
S17605,PLATE BONE 86X11X3.3MM NONSTERILE LCP,3204.290039
S17606,PLATE BONE 99X11X3.3MM NONSTERILE LCP,3266.100098
S17607,PLATE BONE 112X11X3.3MM NONSTERILE LCP,3317.620117
S17608,PLATE BONE 125X11X3.3MM NONSTERILE LCP,3372.600098
S17609,PLATE BONE 138X11X3.3MM NONSTERILE LCP,3424.02002
S1761,M/DN FEM IM NAIL 9MM DIA X 42CM,3853.850098
S17610,PLATE BONE 151X11X3.3MM NONSTERILE LCP,3482.429932
S17611,PLATE BONE 164X11X3.3MM NONSTERILE LCP,4495.609863
S17612,PLATE BONE 190X11X3.3MM NONSTERILE LCP,4643.310059
S17613,PLATE BONE 216X11X3.3MM NONSTERILE LCP,4742.890137
S17614,PLATE BONE 242X11X3.3MM NONSTERILE LCP,4832.100098
S17615,3.5MM MEDIAL DISTAL TIBIA PLATE 6 HOLES/,1961.02002
S17617,3.5MM MEDIAL DISTAL TIBIA PLATE 8 HOLES/,2280.429932
S17619,3.5MM MEDIAL DISTAL TIBIA PLATE 10 HOLES,2610.159912
S1762,M/DN FEM IM NAIL 10MM DIA X 42CM,3853.850098
S17621,3.5MM MEDIAL DISTAL TIBIA PLATE 12 HOLES,2912.389893
S17623,3.5MM MEDIAL DISTAL TIBIA PLATE 14 HOLES,3248.97998
S17625,3.5MM MEDIAL DISTAL TIBIA PLATE 16 HOLES,3571.75
S17627,3.5MM MEDIAL DISTAL TIBIA PLATE 18 HOLES,3897.98999
S17629,BONE PLATE LC-DCP SS STR 2 HL 3.5X25.0MM,485.7399902
S1763,M/DN FEM IM NAIL 11MM DIA X 42CM,3853.850098
S17630,PLATE BONE 33X11X3.4MM NONSTERILE LCP,1037.699951
S17631,BONE PLATE LC-DCP SS STR 3 HL 3.5X38.0MM,496.730011
S17632,PLATE BONE 46X11X3.4MM NONSTERILE LCP,1081.76001
S17633,BONE PLATE LC-DCP SS STR 4 HL 3.5X51.0MM,511.4599915
S17634,PLATE BONE 59X11X3.4MM NONSTERILE LCP,1122.26001
S17635,BONE PLATE LC-DCP SS STRIGHT 3.5X64.0MM,551.960022
S17636,PLATE BONE 72X11X3.4MM NONSTERILE LCP,1192.199951
S17637,BONE PLATE LC-DCP SS STR 6 HL 3.5X77.0MM,592.4299927
S17638,PLATE BONE 85X11X3.4MM NONSTERILE LCP,1273.199951
S17639,BONE PLATE LC-DCP SS STR 7 HL 3.5X90.0MM,614.4799805
S1764,M/DN FEM IM NAIL 12MM DIA X 42CM,3853.850098
S17640,PLATE BONE 98X11X3.4MM NONSTERILE LCP,1328.359985
S17641,BONE PLATE LC-DCP SS STR 8 HL 3.5X103MM,643.9099731
S17642,PLATE BONE 111X11X3.4MM NONSTERILE LCP,1394.589966
S17643,BONE PLATE LC-DCP SS STR 9 3.5X116.0MM,680.7399902
S17644,PLATE BONE 124X11X3.4MM NONSTERILE LCP,1446.079956
S17645,BONE PLATE LC-DCP SS STR 10 3.5X129.0MM,688.0100098
S17646,PLATE BONE 137X11X3.4MM NONSTERILE LCP,1486.650024
S17647,3.5MM LC-DCPC PLATE,721.2000122
S17648,PLATE BONE 150X11X3.4MM NONSTERILE LCP,1549.089966
S1765,M/DN FEM IM NAIL 13MM DIA X 42CM,3853.850098
S17650,PLATE BONE 163X11X3.4MM NONSTERILE LCP,1644.75
S17651,PLATE BONE 176X11X3.4MM NONSTERILE LCP,1772.160034
S17653,PLATE BONE 189X11X3.4MM NONSTERILE LCP,2297.580078
S17655,PLATE BONE 202X11X3.4MM NONSTERILE LCP,2390.290039
S17657,PLATE BONE 215X11X3.4MM NONSTERILE LCP,2500.22998
S17658,PLATE BONE 241X11X3.4MM NONSTERILE LCP,2802.449951
S1766,M/DN FEM IM NAIL 14MM DIA X 42CM,3853.850098
S17660,PLATE BONE 267X11X3.4MM NONSTERILE LCP,3111.610107
S17661,PLATE BONE 293X11X3.4MM NONSTERILE LCP,3111.610107
S1767,M/DN FEM IM NAIL 15MM DIA X 42CM,3853.850098
S1768,M/DN FEM IM NAIL 16MM DIA X 42CM,3853.850098
S1769,M/DN FEM IM NAIL 8MM DIA X 44CM,3853.850098
S177,BONE NAIL PEDIFLEX TI ELAST FIX 4.5MM,1353.75
S1770,M/DN FEM IM NAIL 9MM DIA X 44CM,3853.850098
S1771,M/DN FEM IM NAIL 10MM DIA X 44CM,3853.850098
S17712,GUIDEWIRE.014IN/STRAIGHT2CMTIP/3,281.25
S1772,M/DN FEM IM NAIL 11MM DIA X 44CM,3853.850098
S1773,M/DN FEM IM NAIL 12MM DIA X 44CM,3853.850098
S17739,4.5MM MEDIAL DISTAL TIBIA PLATE 6 HOLES/,2136.189941
S1774,M/DN FEM IM NAIL 13MM DIA X 44CM,3853.850098
S17741,4.5MM MEDIAL DISTAL TIBIA PLATE 8 HOLES/,2493.370117
S17743,4.5MM MEDIAL DISTAL TIBIA PLATE 10 HOLES,2843.649902
S17745,4.5MM MEDIAL DISTAL TIBIA PLATE 12 HOLES,3176.810059
S17747,4.5MM MEDIAL DISTAL TIBIA PLATE 14 HOLES,3540.850098
S1775,M/DN FEM IM NAIL 14MM DIA X 44CM,3853.850098
S17750,PLATE BONE NARROW 44X13.5X4.2MM,1170.150024
S17752,PLATE BONE NARROW 62X13.5X4.2MM,1236.300049
S17754,PLATE BONE NARROW 80X13.5X4.2MM,1365.150024
S17756,PLATE BONE NARROW 98X13.5X4.2MM,1457.209961
S17758,PLATE BONE NARROW 116X13.5X4.2MM,1545.410034
S1776,M/DN FEM IM NAIL 15MM DIA X 44CM,3853.850098
S17760,PLATE BONE NARROW 134X13.5X4.2MM,1788.339966
S17762,PLATE BONE NARROW 152X13.5X4.2MM,1761.869995
S17764,PLATE BONE NARROW 170X13.5X4.2MM,1847.689941
S17766,PLATE BONE NARROW 188X13.5X4.2MM,2009.109985
S17768,PLATE BONE NARROW 206X13.5X4.2MM,2167.060059
S1777,M/DN FEM IM NAIL 16MM DIA X 44CM,3853.850098
S17770,PLATE BONE NARROW 224X13.5X4.2MM,2321.659912
S17772,PLATE BONE NARROW 260X13.5X4.2MM,2634.139893
S17774,PLATE BONE NARROW 296X13.5X4.2MM,3053.159912
S17775,PLATE BONE NARROW 332X13.5X4.2MM,3509.939941
S17777,PLATE BONE NARROW 368X13.5X4.2MM,4423.509766
S17778,PLATE BONE NARROW 404X13.5X4.2MM,4835.600098
S17779,PLATE BONE 118X11X4.2MM NONSTERILE LCP,3317.620117
S1778,M/DN FEM IM NAIL 9MM DIA X 46CM,3853.850098
S17780,PLATE BONE 136X11X4.2MM NONSTERILE LCP,3372.600098
S17781,PLATE BONE 154X11X4.2MM NONSTERILE LCP,3424.02002
S17782,PLATE BONE 172X11X4.2MM NONSTERILE LCP,3482.429932
S17783,PLATE BONE 190X11X4.2MM NONSTERILE LCP,4495.609863
S17784,PLATE BONE 208X11X4.2MM NONSTERILE LCP,4540.240234
S17785,PLATE BONE 226X11X4.2MM NONSTERILE LCP,4643.310059
S17786,PLATE BONE 262X11X4.2MM NONSTERILE LCP,4742.890137
S17787,PLATE BONE 298X11X4.2MM NONSTERILE LCP,4832.100098
S17788,PLATE BONE 334X11X4.2MM NONSTERILE LCP,5051.970215
S1779,M/DN FEM IM NAIL 10MM DIA X 46CM,3853.850098
S178,BONE NAIL PEDIFLEX SS ELAST FIX 4.0MM,1353.75
S1780,M/DN FEM IM NAIL 11MM DIA X 46CM,3853.850098
S17802,SYSTEM EMBOLIC PROTECT NAV6 5.0MMX190CM,5425
S17803,SYSTEM EMBOLIC PROTECT NAV6 7.2MMX190CM,5425
S17804,DURALOC CURVED CUP IMPACTOR,7798
S17806,(REPLACE BY 261260)CATH CAVA SIZINGH,135.3800049
S17809,CATHETER BLN HI PRESS 18FRX6MMX10X75CM,937.8800049
S1781,M/DN FEM IM NAIL 12MM DIA X 46CM,3853.850098
S17810,KIT CATH DILATATION 12FRX4MMX4X75CM,974.7800293
S17811,KIT CATH UROMAX ULTR 15FRX4CMX5.8FRX75CM,1036.280029
S17812,KIT CATH UROMAX ULTR DIL 18FRX6MMX4X75CM,1036.280029
S17813,KIT CATH DILATATION 24FRX8MMX4X75CM,974.7800293
S17815,KIT CATH DILATATION 18FRX6MMX6X75CM,968.6300049
S17816,KIT CATH UROMAX ULTR 12FRX4MMX10X75CM,974.7800293
S17817,KIT CATH UROMAX ULTR 15FRX5MMX10X75CM,1036.280029
S17818,KIT CATH UROMAX ULTR 18FRX6MMX10X75CM,1036.280029
S1782,M/DN FEM IM NAIL 13MM DIA X 46CM,3853.850098
S1783,M/DN FEM IM NAIL 14MM DIA X 46CM,3853.850098
S1784,M/DN FEM IM NAIL 15MM DIA X 46CM,3853.850098
S17847,PLATE BONE BROAD 116X17.5X5.2MM,1648.459961
S17849,PLATE BONE BROAD 134X17.5X5.2MM,1747.800049
S1785,M/DN FEM IM NAIL 16MM DIA X 46CM,3853.850098
S17851,PLATE BONE BROAD 152X17.5X5.2MM,1998.819946
S17853,PLATE BONE BROAD 170X17.5X5.2MM,2167.060059
S17855,PLATE BONE BROAD 188X17.5X5.2MM,2321.659912
S17857,PLATE BONE BROAD 206X17.5X5.2MM,2476.179932
S17859,PLATE BONE BROAD 224X17.5X5.2MM,2627.310059
S1786,M/DN FEM IM NAIL 10MM DIA X 48CM,3853.850098
S17860,PLATE BONE BROAD CURVE 229X17.5X5.2MM,2634.139893
S17862,PLATE BONE BROAD CURVE 247X17.5X5.2MM,2792.129883
S17865,PLATE BONE BROAD 260X17.5X5.2MM,2929.540039
S17866,PLATE BONE BROAD CURVE 265X17.5X5.2MM,2936.330078
S17868,PLATE BONE BROAD CURVE 282X17.5X5.2MM,3259.169922
S1787,M/DN FEM IM NAIL 11MM DIA X 48CM,3853.850098
S17871,PLATE BONE BROAD 296X17.5X5.2MM,3564.929932
S17872,PLATE BONE BROAD CURVE 300X17.5X5.2MM,3578.610107
S17874,PLATE BONE BROAD CURVE 318X17.5X5.2MM,3825.959961
S17877,PLATE BONE BROAD 332X17.5X5.2MM,4062.840088
S17878,PLATE BONE BROAD CURVE 336X17.5X5.2MM,4069.72998
S1788,M/DN FEM IM NAIL 12MM DIA X 48CM,3853.850098
S17881,PLATE BONE BROAD 368X17.5X5.2MM,4554.029785
S17882,PLATE BONE BROAD CURVE 372X17.5X5.2MM,4670.75
S17883,PLATE BONE BROAD 404X17.5X5.2MM,4993.629883
S17884,PLATE BONE BROAD CURVE 408X17.5X5.2MM,5127.540039
S17885,PLATE BONE BROAD CURVE 443X17.5X5.2MM,5570.600098
S17886,PLATE BONE BROAD CURVE 479X17.5X5.2MM,6013.600098
S1789,M/DN FEM IM NAIL 13MM DIA X 48CM,3853.850098
S179,NAIL FLEX ROUND TIP TITANIUM 2.0MM,1353.75
S1790,M/DN FEM IM NAIL 14MM DIA X 48CM,3853.850098
S17902,CATH ROTALINK BURR 1.25MM X 135CM,3713.5
S17903,CATH ROTALINK BURR 1.50MM X 135CM,3713.5
S17904,CATH ROTALINK BURR 1.75MM X 135CM,3713.5
S17905,CATH ROTALINK BURR 2.00MM X 135CM,3713.5
S17906,CATH ROTALINK BURR 2.25MM X 135CM,3713.5
S17907,CATH ROTALINK BURR 2.50MM X 135CM,3713.5
S17908,CATH ROTALINK BURR 2.38MM X 135CM,3713.5
S17909,ROTABLATOR ADVANCER KIT,798.75
S1791,M/DN FEM IM NAIL 15MM DIA X 48CM,3853.850098
S17910,CATHETER EP CRYOABLATION 7FRX49MMX108CM,4375
S17911,CATHETER EP CRYOABLATION 7FRX55MMX108CM,4375
S17912,CATHETER EP CRYOABLATION 7FRX60MMX108CM,4375
S17918,MENISCAL REPAIR OMNISPAN SYS STR 0DEG,1353.380005
S1792,M/DN FEM IM NAIL 16MM DIA X 48CM,3853.850098
S17920,DEVICE MENISCAL SYS OMNISPAN 27DEG       PLATE CERVICAL SPINE TEMPUS TITANIUM LOCK,1353.380005
S17922,GUIDEWIRE VASC .014INX2.2X330CM,639.75
S17924,PLATE BONE STR 45X12X3MM NONSTERILE,1376.209961
S17925,PLATE BONE STR 56MM NONSTERILE LCP COMBI,1582.199951
S17926,PLATE BONE STR 61X12X3MM NONSTERILE,1435.089966
S17927,PLATE BONE STR 75MM NONSTERILE LCP COMBI,1655.890015
S17928,PLATE  5 HOLE PLATE 4.5MM,1560.189941
S17929,PLATE BONE STR 94MM NONSTERILE LCP COMBI,1792.01001
S1793,M/DN FEM IM NAIL 13MM DIA X 50 CM,3853.850098
S17930,PLATE  6 HOLE PLATE 4.5MM,1655.890015
S17931,PLATE BONE STR 113MM NONSTERILE LCP,1782.410034
S17932,PLATE  7 HOLE PLATE 4.5MM,1729.5
S17933,PLATE BONE STR 132MM NONSTERILE LCP,1868.339966
S17934,PLATE  8 HOLE PLATE 4.5MM,1821.48999
S17935,PLATE BONE STR 151MM NONSTERILE LCP,1964.47998
S17936,PLATE  9 HOLE PLATE 4.5MM,1823.680054
S17937,PLATE BONE STR 170MM NONSTERILE LCP,2105.290039
S17938,PLATE  10 HOLE PLATE 4.5MM,1912.930054
S17939,PLATE BONE STR 189MM NONSTERILE LCP,2204.830078
S1794,M/DN FEM IM NAIL 14MM DIA X 50CM,3853.850098
S17940,PLATE  11 HOLE PLATE 4.5MM,1978.199951
S17941,PLATE BONE STR 208MM NONSTERILE LCP,2276.959961
S17942,PLATE BONE STR 189X12X3MM NONSTERILE,2070.919922
S17943,PLATE BONE STR 227MM NONSTERILE LCP,2386.830078
S17944,4.5MM RECONSTRUCTION PLATE,2204.830078
S17945,PLATE BONE STR 246MM NONSTERILE LCP,2541.419922
S17946,PLATE BONE STR 221X12X3MM NONSTERILE,2266.669922
S17947,PLATE BONE STR 265MM NONSTERILE LCP,2617.02002
S17948,PLATE BONE STR 284MM NONSTERILE LCP,2716.600098
S17949,PLATE BONE STR 303MM NONSTERILE LCP,2792.129883
S1795,M/DN FEM IM NAIL 15MM DIA X 50CM,3853.850098
S1796,M/DN FEM IM NAIL 16MM DIA X 50CM,3853.850098
S1797,INTERLOCKING IM SCREW SML 3.7MM DIA X 20,716.6300049
S1798,INTERLOCKING IM SCREW MED 4.2MM DIA X 20,716.6300049
S1799,INTERLOCKING IM SCREW 4.5MM DIA X 20MM,716.6300049
S180,NAIL FLEX ROUND TIP TITANIUM 2.5MM,1353.75
S1800,INTERLOCKING IM SCREW LG 5.5MM DIA X 20M,716.6300049
S1801,INTERLOCKING IM SCREW SML 3.7MM DIA X 22,716.6300049
S18014,SEALER HEMOSTAT TISS SBS 5.0 3.56MM,2188.409912
S1802,INTERLOCKING IM SCREW MED 4.2MM DIA X 22,716.6300049
S1803,INTERLOCKING IM SCREW 4.5MM DIA X 22.5MM,716.6300049
S18031,DILATOR URET NOTTINGHAM 1 STEP LF 70CM,476.6300049
S18033,INTERPHALA ST IPPON SZ 1,3455.689941
S18034,IMPLANT IPP-ON IMPLANTS .02,3455.689941
S18037,SHUNT CEREBRAL SPINE FL ASMBL 90CM,4030.25
S18038,SCREW BONE FIX ADV CANN TI 9X20MM,1086.75
S1804,INTERLOCKING IM SCREW LG 5.5MM DIA X 22.,716.6300049
S18044,SCREW BONE CANC INTERFER TI 7.0X20MM,1086.75
S18045,SCREW BONE CANC INTERFER TI 7.0X25MM,1086.75
S18046,SCREW BONE INTERFEREN PROF TI 8X20MM,1086.75
S18047,SCREW BONE CANC INTERFER PROF 8.X 30MM,1086.75
S18048,SCREW BONE INTERFEREN PROF TI 9X20MM,1086.75
S18049,SCREW BONE CANN INTERFER PROF ST 9X25MM,1086.75
S1805,INTERLOCKING IM SCREW SML 3.7MM DIA X 25,716.6300049
S18054,CATHETER DIALYSIS OPEN END STD 120CM,483
S18055,LENS IOL ISERT 231 ACRYLIC PMMA 1 PC 10,555
S18056,LENS IOL ISERT 231 ACRYLIC PMMA 1 10.5,555
S18057,PRELOADED IOL SYSTEM 11.0,555
S18058,LENS PRELOADED IOL SYSTEM 11.5,555
S18059,LENS PRELOADED IOL SYSTEM 12.0,555
S1806,INTERLOCKING IM SCREW MED 4.2MM DIA X 25,716.6300049
S18060,LENS PRELOAD IOL SYST ACRYLIC PMMA  12.5,555
S18061,LENS IOL ISERT 231 ACRYLIC PMMA 1 13.5,555
S18062,LENS PRELOADED IOL SYSTEM 14.0,555
S18063,LENS IOL ISERT 231 ACRYLIC PMMA 1 14.5,555
S18064,LENS IOL ISERT 231 ACRYLIC PMMA 1 PC 15,555
S18065,LENS IOL ISERT 231 ACRYLIC PMMA 1 15.5,555
S18066,LENS IOL ISERT 231 ACRYLIC PMMA 1 PC 16,555
S18067,LENS IOL ISERT 231 ACRYLIC PMMA 1 16.5,555
S18068,LENS IOL ISERT 231 ACRYLIC PMMA 1 PC 17,555
S18069,LENS IOL ISERT 231 ACRYLIC PMMA 1 17.5,555
S1807,INTERLOCKING IM SCREW 4.5MM DIA X 25MM,716.6300049
S18070,LENS IOL ISERT 231 ACRYLIC PMMA 1 PC 18,555
S18071,LENS IOL ISERT 231 ACRYLIC PMMA 1 18.5,555
S18072,LENS IOL ISERT 231 ACRYLIC PMMA 1 PC 19,555
S18073,LENS IOL ISERT 231 ACRYLIC PMMA 1 19.5,555
S18074,LENS IOL ISERT 231 ACRYLIC PMMA 1 PC 20,555
S18075,LENS IOL ISERT 231 ACRYLIC PMMA 1 20.5,555
S18076,LENS IOL ISERT 231 ACRYLIC PMMA 1 PC 21,555
S18077,LENS IOL ISERT 231 ACRYLIC PMMA 1 21.5,555
S18078,LENS IOL ISERT 231 ACRYLIC PMMA 1 PC 22,555
S18079,LENS IOL ISERT 231 ACRYLIC PMMA 1 22.5,555
S1808,INTERLOCKING IM SCREW LG 5.5MM DIA X 25M,716.6300049
S18080,LENS IOL ISERT 231 ACRYLIC PMMA 1 PC 23,555
S18081,LENS IOL ISERT 231 ACRYLIC PMMA 1 23.5,555
S18082,LENS IOL ISERT 231 ACRYLIC PMMA 1 PC 24,555
S18083,LENS IOL ISERT 231 ACRYLIC PMMA 1 24.5,555
S18084,LENS IOL ISERT 231 ACRYLIC PMMA 1 PC 25,555
S18085,LENS IOL ISERT 231 ACRYLIC PMMA 1 25.5,555
S18086,LENS IOL ISERT 231 ACRYLIC PMMA 1 PC 26,555
S18087,LENS IOL ISERT 231 ACRYLIC PMMA 1 26.5,555
