Description, Base Price 
Peripherally Inserted Central Catheter Line Placement," 2,700.00 "
"Peritoneocentesis, abdominal paracentesis, or peritoneal lavage (dx or therapeutic): initial", 362.00 
PF Flu Vaccine 6-35 mo OrderSet - MONR, -   
PFT PRE POST, 226.00 
pH Body Fluid MCL, 48.00 
Phenobarbital CLS, 164.00 
Phenobarbital Level MCL, 164.00 
Phenytoin Level, 185.00 
"Phospholipid Abs IgG, IgM, IgA CLS", 122.00 
"Phosphorous, Urine CLS", 27.00 
Phosphorus Level, 81.00 
Physical Performance Test, 87.00 
Physical Therapy Evaluation 97001- BCE, 296.00 
PICC GROSHONG 3FR, 334.00 
PICC GROSHONG 4FR, 374.00 
PICC INTRODUCER KIT, 298.00 
PICC KIT," 1,004.00 "
PICC KIT 3FR (PK-01351-TWSP), 530.00 
PICC KIT 4FR 45-458, 701.00 
PICC KIT 5FR DUAL   (45-473), 726.00 
Pinworm Prep, 63.00 
PL 12 Ab MCL, 50.00 
PL 7 Ab MCL, 50.00 
"Placement Of Central Venous Catheter (Subclavian, Jugular, Or Other Vein)", 556.00 
Plasma Thawed CPD, 245.00 
Platelet Count, 58.00 
Platelets," 1,521.00 "
PLEUR EVAC AD/PED WAT SUC, 164.00 
"Pleural drainage, percutaneous with insertion of indwelling catheter without image guidance", 344.00 
Plt CPD 500," 1,215.00 "
PM Hospice care provided in a Hospice Facility, -   
PM Hospice care provided in Assisted Living Facility, -   
PM Hospice care provided in Inpatient Hospice Facility, -   
PM Hospice care provided in Inpatient Hospital, -   
PM Hospice care provided in Inpatient Psychiatric Facility, -   
PM Hospice care provided in Long Term Care Hospital (LTCH), -   
PM Hospice care provided in Nursing Long Term Care Facility (LTC) Or Non Skilled Nursing Facility (N, -   
PM Hospice care provided in Patient’s home/residence, -   
PM Hospice care provided in place not otherwise specified (NOS), -   
PM Hospice care provided in Skilled Nursing Facility (SNF), -   
PMMA EYE SPHERE 16GA K8-6160, -   
Pneumococcal  23-Valent Adult Vaccine POC, 110.00 
"Pneumococcal conjugate vaccine, 13 valent, for intramuscular use", 221.00 
"Pneumococcal conjugate vaccine, 13 valent, for intramuscular use", 145.00 
Polymositis PM-SCL Antibody MCL, 379.00 
Polypectomy Nasal," 4,579.00 "
POPE EPISTAXIS  NOSE PACKING  10EA/BX, 81.00 
POST OP SHOE MEN (M), 19.00 
POST OP SHOE MEN (S), 19.00 
POST OP SHOE WOMEN (L), 19.00 
POST OP SHOE WOMEN (M), 19.00 
POST OP SHOE WOMEN (S), 19.00 
Post Vasectomy, 98.00 
Potassium Level, 79.00 
Potassium Level, 79.00 
Potassium Level MCL, 32.00 
POUCH CTF FLEX (8460), 9.00 
POUCH FLEX UROS CTF  (8460), 11.00 
POWER PORT 8FR(1808060)," 1,611.00 "
PowerPICC Solo 4fr," 1,083.00 "
POWERPICK 45(AR-8150PX-45), 337.00 
PR/CHEMO BLOOD TRANS ADDL, 340.00 
PR/CHEMO BLOOD TRANS INITIAL, 684.00 
PR/CHEMO INFUSION 1HR, 456.00 
PR/CHEMO INFUSION ADD HR, 102.00 
PR/CHEMO IV PUSH, 336.00 
PR/EACH NEW DRUG W/O INFUSION, 65.00 
PR/FLOOR BLOOD TRANS ADDL, 340.00 
PR/FLOOR BLOOD TRANS INITIAL, 684.00 
PR/FREEDOM VAC DAILY, 318.00 
PR/HYDRATION ADD HOURS, 178.00 
PR/HYDRATION ADD HOURS NONPORT, 45.00 
PR/HYDRATION INFUSION, 494.00 
PR/IM/SQ INJECTION FLOOR, 75.00 
PR/INJ ARENESP-PROCRIT-NEULAST, 85.00 
PR/INJ CHEMO, 186.00 
PR/INJ HORMONAL ANTI NEOPLASTIC, 117.00 
PR/INJ NONCHEMO, 75.00 
PR/METH/VIDAZA/NONCHEMO, 76.00 
PR/MONTHLY PORT FLUSH, 91.00 
PR/NON CHEMO INF 1HR, 200.00 
PR/NON CHEMO INF ADD, 58.00 
PR/NON CHEMO INF/PORT, 200.00 
PR/NON CHEMO/NO IV RESTART, 154.00 
PR/PORT LAB NO INFUSION, 91.00 
PR/PORT LAB WITH INFUSION, 170.00 
PR/SINGLE IV PUSH, 164.00 
PR/TRACH CARE DAILY, 211.00 
Prealbumin CLS, 149.00 
Prealbumin MCL, 149.00 
Pre-Employment Physical Charge, 138.00 
Pregnancy Test Serum, 127.00 
Pregnancy Test Urine, 88.00 
"Preoperative Placement Of Needle Localization Wire, Breast;", 238.00 
PREP TRAY SKIN WET, 36.00 
PRESSURE INFUSER BAG DISPOSABLE, 20.00 
Pressurized or nonpressurized inhalation treatment for acute airway obstruction Charge, 37.00 
Preventive Medicine < 1 year Established - 99391, 157.00 
Preventive Medicine < 1 year New - 99381, 174.00 
Preventive Medicine 12-17 years Established - 99394, 181.00 
Preventive Medicine 12-17 years New - 99384, 209.00 
Preventive Medicine 1-4 years Established - 99392, 169.00 
Preventive Medicine 1-4 years New - 99382, 180.00 
Preventive Medicine 18-39 years Established - 99395, 184.00 
Preventive Medicine 18-39 years New - 99385, 204.00 
Preventive Medicine 40-64 years Established - 99396, 197.00 
Preventive Medicine 40-64 years New - 99386, 233.00 
Preventive Medicine 5-11 years Established - 99393, 168.00 
Preventive Medicine 5-11 years New - 99383, 188.00 
Preventive Medicine 65+ years Established - 99397, 209.00 
Preventive Medicine 65+ years New - 99387, 252.00 
PRHYDRATION INFUSION NON PORT 1ST HOUR, 166.00 
PRIMARY HIP FEM HEAD 28MM LONG +3.5MM [HWBO2803 ]," 8,100.00 "
PRIMARY HIP FEM HEAD 28MM MEDIUM 0 MM [HWBO2802 ]," 8,100.00 "
PRIMARY HIP FEM HEAD 28MM SHORT -3.5MM [HWBO2801 ]," 8,100.00 "
PRIMARY HIP FEM HEAD 28MM X-LONG + 7 MM [HWBO2804 ]," 8,100.00 "
PRIMARY HIP FEM HEAD 32MM LONG +3.5MM [HWBO0009 ]," 8,100.00 "
PRIMARY HIP FEM HEAD 32MM MEDIUM 0 MM [HWBO0008]," 8,100.00 "
PRIMARY HIP FEM HEAD 32MM SHORT -3.5MM [HWBO0007 ]," 8,100.00 "
PRIMARY HIP FEM HEAD 32MM X-LONG + 7 MM [HWBO0010 ]," 8,100.00 "
PRIMARY HIP FEM HEAD 36MM SLEEVE NEEDED [HWBO3600]," 8,100.00 "
PRIMARY HIP FEM HEAD 38MM SLEEVE NEEDED [HWBO3800]," 8,100.00 "
PRIMARY HIP FEM HEAD 40MM SLEEVE NEEDED [HWBO4000]," 8,100.00 "
PRIMARY HIP FEM HEAD 42MM SLEEVE NEEDED [HWBO4200]," 8,100.00 "
PRIMARY HIP FEM HEAD 46MM SLEEVE NEEDED [HWBO4600]," 8,100.00 "
PRIMARY HIP FEM NECK LONG +3.5MM SLEEVE [HWBO3500], 810.00 
PRIMARY HIP FEM NECK MEDIUM 0 MM SLEEVE [HWBO0000], 810.00 
PRIMARY HIP FEM NECK SHORT -3.5MM SLEEVE [HWBO0035], 810.00 
PRIMARY HIP FEM NECK X-LONG + 7 MM SLEEVE [HWBO0700], 810.00 
"PRIMARY HIP LINER, POLY 28MM, ELEVATED 15 DGR GROUP B [HWBOLB28]"," 6,150.00 "
"PRIMARY HIP LINER, POLY 28MM, STANDARD GROUP B [HWBOGB28]"," 6,150.00 "
"PRIMARY HIP LINER, POLY 32MM, ELEVATED 15 DGR GROUP C [HWBOLC32]"," 6,150.00 "
"PRIMARY HIP LINER, POLY 32MM, STANDARD GROUP C [HWBOGC32]"," 6,150.00 "
"PRIMARY HIP LINER, POLY 36MM, ELEVATED 15 DGR GROUP D [HWBOLD36]"," 6,150.00 "
"PRIMARY HIP LINER, POLY 36MM, STANDARD GROUP D [HWBOGD36]"," 6,150.00 "
"PRIMARY HIP LINER, POLY 38MM, ELEVATED 15 DGR GROUP E [HWBOLE38]"," 6,150.00 "
"PRIMARY HIP LINER, POLY 38MM, STANDARD GROUP E [HWBOGE38]"," 6,150.00 "
"PRIMARY HIP LINER, POLY 40MM, ELEVATED 15 DGR GROUP F [HWBOLF40]"," 6,150.00 "
"PRIMARY HIP LINER, POLY 40MM, STANDARD GROUP F [HWBOGF40]"," 6,150.00 "
"PRIMARY HIP LINER, POLY 42MM, ELEVATED 15 DGR GROUP G [HWBOLG42]"," 6,150.00 "
"PRIMARY HIP LINER, POLY 42MM, STANDARD GROUP G [HWBOGG42]", -   
"PRIMARY HIP LINER, POLY 46MM, ELEVATED 15 DGR GROUP H [HWBOLH46]"," 6,150.00 "
"PRIMARY HIP LINER, POLY 46MM, STANDARD GROUP H [HWBOGH46]"," 6,150.00 "
PRIMARY HIP SHELL 46MM POROUS COAT GROUP B [HWBOGB46]," 7,500.00 "
PRIMARY HIP SHELL 48MM POROUS COAT GROUP B [HWBOGB48]," 7,500.00 "
PRIMARY HIP SHELL 50MM POROUS COAT GROUP C [HWBOGC50]," 7,500.00 "
PRIMARY HIP SHELL 52MM POROUS COAT GROUP D [HWBOGD52], -   
PRIMARY HIP SHELL 54MM POROUS COAT GROUP E [HWBOGE54]," 7,500.00 "
PRIMARY HIP SHELL 56MM POROUS COAT GROUP F [HWBOGF56]," 7,500.00 "
PRIMARY HIP SHELL 58MM POROUS COAT GROUP G [HWBOGG58]," 7,500.00 "
PRIMARY HIP SHELL 60MM POROUS COAT GROUP G [HWBOGG60]," 7,500.00 "
PRIMARY HIP SHELL 62MM POROUS COAT GROUP G [HWBOGG62]," 7,500.00 "
PRIMARY HIP SHELL 64MM POROUS COAT GROUP H [HWBOGH64], -   
PRIMARY HIP SHELL 66MM POROUS COAT GROUP H [HWBOGH66]," 7,500.00 "
PRIMARY HIP STEM Z SZ 1 INCREASED OFFSET [HWBOE232]," 18,750.00 "
PRIMARY HIP STEM Z SZ 1 STANDARD [HWBOS232]," 18,750.00 "
PRIMARY HIP STEM Z SZ 2 INCREASED OFFSET [HWBOE234]," 18,750.00 "
PRIMARY HIP STEM Z SZ 2 STANDARD [HWBOS234]," 18,750.00 "
PRIMARY HIP STEM Z SZ 3 INCREASED OFFSET [HWBOE236]," 18,750.00 "
PRIMARY HIP STEM Z SZ 3 STANDARD [HWBOS236]," 18,750.00 "
PRIMARY HIP STEM Z SZ 4 INCREASED OFFSET [HWBOE238]," 18,750.00 "
PRIMARY HIP STEM Z SZ 4 STANDARD [HWBOS238]," 18,750.00 "
PRIMARY HIP STEM Z SZ 5 INCREASED OFFSET [HWBOE240], -   
PRIMARY HIP STEM Z SZ 5 STANDARD [HWBOS240]," 18,750.00 "
PRIMARY HIP STEM Z SZ 6 INCREASED OFFSET [HWBOE242]," 18,750.00 "
PRIMARY HIP STEM Z SZ 6 STANDARD [HWBOS242]," 18,750.00 "
PRIMARY HIP STEM Z SZ 7 INCREASED OFFSET [HWBOE244]," 18,750.00 "
PRIMARY HIP STEM Z SZ 7 STANDARD [HWBOS244]," 18,750.00 "
PRIMARY HIP STEM Z SZ 8 INCREASED OFFSET [HWBOE246], -   
PRIMARY HIP STEM Z SZ 8 STANDARD [HWBOS246]," 18,750.00 "
PRIMARY HIP STEM Z SZ 9 INCREASED OFFSET [HWBOE248]," 18,750.00 "
PRIMARY HIP STEM Z SZ 9 STANDARD [HWBOS248]," 18,750.00 "
PRIMARY HIP/KNEE SCREW CANCELLOUS 6.5MM X 15MM [KWBO0300], 390.00 
PRIMARY HIP/KNEE SCREW CANCELLOUS 6.5MM X 20MM [KWBO0301], 390.00 
PRIMARY HIP/KNEE SCREW CANCELLOUS 6.5MM X 25MM [KWBO0302], -   
PRIMARY HIP/KNEE SCREW CANCELLOUS 6.5MM X 30MM [KWBO0303], 390.00 
PRIMARY HIP/KNEE SCREW CANCELLOUS 6.5MM X 35MM [KWBO0304], 390.00 
PRIMARY HIP/KNEE SCREW CANCELLOUS 6.5MM X 40MM [KWBO0305], 390.00 
PRIMARY KNEE FEMUR 1 LEFT FEMUR [KFTCNP1L]," 14,825.70 "
PRIMARY KNEE FEMUR 1 RIGHT FEMUR [KFTCNP1R]," 14,825.70 "
PRIMARY KNEE FEMUR 2 LEFT FEMUR [KFTCNN2L]," 14,825.70 "
PRIMARY KNEE FEMUR 2 RIGHT FEMUR [KFTCNN2R]," 14,825.70 "
PRIMARY KNEE FEMUR 3 LEFT FEMUR [KFTCNN3L]," 14,825.70 "
PRIMARY KNEE FEMUR 3 RIGHT FEMUR [KFTCNN3R]," 14,825.70 "
PRIMARY KNEE FEMUR 4 LEFT FEMUR [KFTCNN4L]," 14,825.70 "
PRIMARY KNEE FEMUR 4 RIGHT FEMUR [KFTCNN4R]," 14,825.70 "
PRIMARY KNEE FEMUR 5 LEFT FEMUR [KFTCNP5L]," 14,825.70 "
PRIMARY KNEE FEMUR 5 RIGHT FEMUR [KFTCNP5R]," 14,825.70 "
PRIMARY KNEE FEMUR 6 LEFT FEMUR [KFTCNP6L], -   
PRIMARY KNEE FEMUR 6 RIGHT FEMUR [KFTCNP6R]," 14,825.70 "
PRIMARY KNEE FEMUR SZ 1 LEFT NONPOROUS [KWBONP1L]," 14,825.70 "
PRIMARY KNEE FEMUR SZ 1 RT NONPOROUS [KWBONP1R]," 14,825.70 "
PRIMARY KNEE FEMUR SZ 2 LEFT NONPOROUS [KWBONN2L]," 14,825.70 "
PRIMARY KNEE FEMUR SZ 2 RT NONPOROUS [KWBONN2R]," 14,825.70 "
PRIMARY KNEE FEMUR SZ 3 LEFT NONPOROUS [KWBONN3L]," 14,825.70 "
PRIMARY KNEE FEMUR SZ 3 RT NONPOROUS [KWBONN3R]," 14,825.70 "
PRIMARY KNEE FEMUR SZ 4 LEFT NONPOROUS [KWBONN4L]," 14,825.70 "
PRIMARY KNEE FEMUR SZ 4 RT NONPOROUS [KWBONN4R]," 14,825.70 "
PRIMARY KNEE FEMUR SZ 5 LEFT NONPOROUS [KWBONP5L]," 14,825.70 "
PRIMARY KNEE FEMUR SZ 5 RT NONPOROUS [KWBONP5R]," 14,825.70 "
PRIMARY KNEE PATELLA TRI-PEG 29MM," 3,280.50 "
PRIMARY KNEE PATELLA TRI-PEG 32MM," 3,280.50 "
PRIMARY KNEE PATELLA TRI-PEG 35MM," 3,280.50 "
PRIMARY KNEE PATELLA TRI-PEG 38MM," 3,280.50 "
"PRIMARY KNEE PATELLA TRI-PEG, 32MM [KWBOTP32]"," 3,280.50 "
"PRIMARY KNEE PATELLA TRI-PEG, 35MM [KWBOTP35]"," 3,280.50 "
"PRIMARY KNEE PATELLA TRI-PEG, 38MM [KWBOTP38]"," 3,280.50 "
"PRIMARY KNEE POLY INSERT SZ 1, LEFT 10MM [KWBO110L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 1, LEFT 12MM [KWBO112L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 1, LEFT 14MM [KWBO114L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 1, LEFT 17MM [KWBO117L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 1, RT 10MM [KWBO110R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 1, RT 12MM [KWBO112R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 1, RT 14MM [KWBO114R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 1, RT 17MM [KWBO117R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 2, LEFT 10MM [KWBO210L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 2, LEFT 12MM [KWBO212L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 2, LEFT 14MM [KWBO214L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 2, LEFT 17MM [KWBO217L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 2, RT 10MM [KWBO210R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 2, RT 12MM [KWBO212R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 2, RT 14MM [KWBO214R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 2, RT 17MM [KWBO217R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 3, LEFT 10MM [KWBO310L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 3, LEFT 12MM [KWBO312L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 3, LEFT 14MM [KWBO314L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 3, LEFT 17MM [KWBO317L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 3, RT 10MM [KWBO310R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 3, RT 12MM [KWBO312R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 3, RT 14MM [KWBO314R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 3, RT 17MM [KWBO317R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 4, LEFT 10MM [KWBO410L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 4, LEFT 12MM [KWBO412L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 4, LEFT 14MM [KWBO414L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 4, LEFT 17MM [KWBO417L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 4, RT 10MM [KWBO410R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 4, RT 12MM [KWBO412R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 4, RT 14MM [KWBO414R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 4, RT 17MM [KWBO417R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 5, LEFT 10MM [KWBO510L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 5, LEFT 12MM [KWBO512L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 5, LEFT 14MM [KWBO514L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 5, LEFT 17MM [KWBO517L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 5, RT 10MM [KWBO510R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 5, RT 12MM [KWBO512R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 5, RT 14MM [KWBO514R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 5, RT 17MM [KWBO517R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 6, LT 10MM [KIMP610L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 6, LT 12MM [KIMP612L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 6, LT 14MM [KIMP614L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 6, LT 17MM [KIMP617L]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 6, RT 10MM [KIMP610R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 6, RT 12MM [KIMP612R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 6, RT 14MM [KIMP614R]"," 5,386.50 "
"PRIMARY KNEE POLY INSERT SZ 6, RT 17MM [KIMP617R]"," 5,386.50 "
PRIMARY KNEE TIBIA BASE 1 PLUS TIBIA [KTCCNP11]," 7,055.10 "
PRIMARY KNEE TIBIA BASE 1 TIBIA [KTCCNP10]," 7,055.10 "
PRIMARY KNEE TIBIA BASE 2 PLUS TIBIA [KTCCNP21]," 7,055.10 "
PRIMARY KNEE TIBIA BASE 2 TIBIA [KTCCNP20]," 7,055.10 "
PRIMARY KNEE TIBIA BASE 3 PLUS TIBIA [KTCCNP31]," 7,055.10 "
PRIMARY KNEE TIBIA BASE 3 TIBIA [KTCCNP30]," 7,055.10 "
PRIMARY KNEE TIBIA BASE 4 PLUS TIBIA [KTCCNP41], -   
PRIMARY KNEE TIBIA BASE 4 TIBIA [KTCCNP40]," 7,055.10 "
PRIMARY KNEE TIBIA BASE 5 PLUS TIBIA [KTCCNP51]," 7,055.10 "
PRIMARY KNEE TIBIA BASE 5 TIBA [KTCCNP50]," 7,055.10 "
PRIMARY KNEE TIBIA BASE 6 TIBIA [KTCCNP60]," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 1 + CO/CR NONPOROUS [KWBONP11]," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 1 CO/CR NONPOROUS [KWBONP10], -   
PRIMARY KNEE TIBIA BASE SZ 2 + CO/CR NONPOROUS [KWBONP21]," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 2 CO/CR NONPOROUS [KWBONP20]," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 3, -   
PRIMARY KNEE TIBIA BASE SZ 3 + CO/CR NONPOROUS [KWBONP31]," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 3 CO/CR NONPOROUS [KWBONP30]," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 4," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 4 + CO/CR NONPOROUS [KWBONP41]," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 4 CO/CR NONPOROUS [KWBONP40], -   
PRIMARY KNEE TIBIA BASE SZ 5," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 5 + CO/CR NONPOROUS [KWBONP51]," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 5 CO/CR NONPOROUS [KWBONP50]," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 6," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 6 PLUS," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 7," 7,055.10 "
PRIMARY KNEE TIBIA BASE SZ 7 PLUS, -   
Procedure:  Foley change, 76.00 
"Proctectomy; partial resection of rectum, transabdominal app [MONR]"," 3,420.00 "
Progesterone CLS, 290.00 
Progesterone Level MCL, 290.00 
Prolactin CLS, 268.00 
Prolactin MCL, 268.00 
Prostate Specific Antigen Free MCL, 169.00 
Prostate Specific Antigen Total and Free MCL, 169.00 
Prosthetic Training Charges, 128.00 
Prot Elect Interp MCL, 90.00 
Protein 24H Urine CLS, 110.00 
Protein Body Fluid MCL, 113.00 
Protein C Ag CLS, 171.00 
Protein C Antigen MCL, 170.00 
Protein Cerebrospinal Fluid MCL, 86.00 
Protein Creatinine Random Urine Ratio Calc MCL, 110.00 
Protein Creatinine Random Urine Ratio MCL, 110.00 
"Protein Electrophoresis, Random Urine CLS", 61.00 
"Protein Electrophoresis, Serum CLS", 175.00 
"Protein Electrophoresis, Urine CLS", 61.00 
Protein S Activity CLS, 183.00 
Protein S Activity MCL, 281.00 
Protein Total MCL, 20.00 
Protein U MCL, 20.00 
Protein Urine Random MCL, 33.00 
"Protein, Random Urine CLS", 61.00 
"Protein, total, refractometry; serum, plasma or whole blood", 61.00 
Prothrombin 20210 Mutation MCL, 270.00 
Prothrombin Time, 59.00 
Prothrombin Time, 59.00 
PSA Diagnostic, 259.00 
PSA Free & Total CLS, 239.00 
PSA Screen, 259.00 
PT Canalith Repositioning Charge, 168.00 
PT Cognitive Function Charge, 128.00 
PT Cognitive Function Medicare Charge, 128.00 
PT Cognitive Function Medicare Charge, -   
PT Cognitive Function Medicare Units, -   
PT Cognitive Function Units, 128.00 
PT Cognitive Skills Charge, 122.00 
PT evaluation BCE, -   
PT Gait Training BCE, -   
PT High Complex Units, 286.00 
PT Low Complex Units, 286.00 
PT Manual Therapy BCE, -   
PT MCL, 14.00 
PT MCL, 51.00 
PT Mobility Goal Status G-8979, -   
PT Moderate Complex Units, 286.00 
PT Orthotic Mgmt/Train Establish Charge, 128.00 
PT Orthotic Mgmt/Train Establish Rehab Units, 128.00 
PT Physical Performance Test Charges, 87.00 
PT PHYSICAL THERAPY EVAL HIGH COMPLEXITY, 286.00 
PT PHYSICAL THERAPY EVAL LOW COMPLEXITY, 286.00 
PT PHYSICAL THERAPY EVAL MOD COMPLEXITY, 286.00 
PT PHYSICAL THERAPY RE-EVALUATION, 164.00 
PT ReEval Units, 164.00 
PT Therapeutic Exercise BCE, -   
PT Wound VAC <50 Charge - BCE, 316.00 
PT Wound VAC >50 Charge - BCE, 316.00 
PT/INR POC, 27.00 
PTT 1:1 Mix Incubated MCL, 24.00 
PTT 1:1 Mix MCL, 24.00 
PTT Lupus Sens MCL, 24.00 
PUDENTAL BLOCK TRAY CHARGE, 79.00 
Pulmonary Function Pre/Post, 226.00 
Pulmonary Function Testing PFT, 189.00 
Pulmonary Function Testing Pre and Post PFT, 189.00 
"Pulmonary rehabilitation, including exercise (includes monitoring), one hour, per session, up to two", 87.00 
"Pulmonary stress testing; (eg, 6-minute walk test), including RT monitoring", 173.00 
Pulse Oximetry, 9.00 
Pulse Oximetry Continuous, 201.00 
Pulse Oximetry Single, 56.00 
Puncture Aspiration of Cyst of Breast, 146.00 
"Puncture Aspirtn of Abscess, Hematoma, Bulla, or Cyst Charge", 272.00 
"Q4101 Apligraph, per square centimeter", 88.00 
QFTTB MCL, 123.00 
Quantiferon TB Gold Plus MCL, 297.00 
Rabies Immune Globulin Human Charge, 574.00 
Rabies Immune Globulin Inj - MONR, 574.00 
"Rabies Vaccine, for intramuscular use", 288.00 
RAGNALLS, 62.00 
RBC Count, 50.00 
RBC CPD AS1 500 LR Irr, 563.00 
RBC CPD AS5 500 LR, 563.00 
RBC CPD AS5 500 LR Irr, 563.00 
Reducing Substance Stool MCL, -   
REF Antibody ID, 287.00 
REF Antigen Type, 22.00 
Removal foreign body from external auditory canal; without general anesthesia Charge, 287.00 
"Removal Foreign Body, Intranasal; Office Type Procedure", 533.00 
"REMOVAL IMPACTED CERUMEN REQUIRING INSTRUMENTATION, UNILATERAL", 118.00 
"Removal of embedded foreign body, vestibule of mouth; simple", 468.00 
Removal Of Fecal Impaction Or Foreign Body (Separate Procedure) Under Anesthesia, 117.00 
Removal of foreign body from pharynx, 284.00 
Removal of Foreign Body In Muscle or Tendon Sheath; Simple Charge, 375.00 
"Removal of Foreign Body, Foot; Deep Charge", 175.00 
"Removal of Foreign Body, Foot; Subcutaneous Charge", 487.00 
"Removal of Implanter; Deep (eg, Buried Wire, Pin, Screw, Metal Band, Nail, Rod or Plate) Charge"," 1,416.00 "
"Removal of Implanter; Superficial, (eg, Buried Wire, Pin or Rod)Charge"," 1,053.00 "
REMOVAL OF KNEE CARTILAGE (ARTHROSCOPY)," 2,118.00 "
Removal Of Permanent Intraperitoneal Cannula Or Catheter," 1,111.00 "
"Removal of Skin Tags, Mult Fibrocutaneous Tags, Any Area; Up to & w/15 Lesions Charge", 276.00 
"Removal of skin tags, multiple fibrocutaneous tags, any area; each additional 10 lesions, or part th", 59.00 
Removal of the Gallbladder," 3,899.00 "
Removal of tunneled central venous access, 668.00 
"Removal of tunneled central venous catheter, without subcutaneous port or pump", 511.00 
Removal Screw," 4,385.00 "
"Removal, Under Anesthesia, of Ext Fixation System Charge"," 1,344.00 "
REMOVE AND REINSERT IMPLANON, 524.00 
REMOVE INTRAUTERINE DEVICE (IUD), 234.00 
"Remove Lesion, Face/Lid/Ear/Nose/Lip .6 to 1.0 cm Charge", 449.00 
"Remove Lesion, Face/Lid/Ear/Nose/Lip <.5 cm Charge", 340.00 
"Remove Lesion, Face/Lid/Ear/Nose/Lip 1.1 to 2.0 cm Charge", 507.00 
"Remove Lesion, Face/Lid/Ear/Nose/Lip 2.1 to 3.0 cm Charge", 593.00 
"Remove Lesion, Scalp/Neck/Hand/Foot .6 to 1.0 cm Charge", 356.00 
"Remove Lesion, Scalp/Neck/Hand/Foot < .5 cm Charge", 290.00 
"Remove Lesion, Scalp/Neck/Hand/Foot 1.1 to 2.0 cm Charge", 436.00 
