Charge Description,Charge Amount
EXT CORD/TISSUE VPRZ    ,464
PAD NPTN 2X2            ,464
SUT NYL 10-0 CU-5 EYE   ,464
SUT PRLN 4-0 RB1 M8557  ,464
SNARE ACSNR PLPCTM ENDO ,464
SUTURE NYL 10-0 198001  ,464
ROD SUPPLEMENTAL 150MM  ,464.25
SUT GUT 7-0 1745G       ,465
TRAY CATH PED 5F        ,466
ULTRA-PRO II NEEDLE GUID,466
CATHETER URDY 7FR AIR CH,466
BLADE ANGLED ELECTRODE I,466
SYS CRTDG LEN MNRCH D   ,466
BLADE STRYK 27796250    ,467
BLADE RECIP STRYKER 5   ,467
SUT D7984 VCRL 5-0 PS-4C,467
CATH BLNDIL ENDO 160F   ,469
KIT BLOOD SMPL VAMP 84IN,469
SUT CHRMC 7-0 18IN      ,470
CATH DRN 5CM 10F        ,470
BAG DRN NL650-8305N     ,471
CATH HMAT 3W 22F 30CC   ,471
IMOB ABDCT SHLDR LG     ,472
SUT VICRYL 10-0         ,472
SUT PROLENE 5-0 RB-1    ,472
SET DRN ASEPT PLR 1000ML,473
SUTURE MYO STRNM 18IN   ,473
BNDG DRMFT SUPP SZ A INF,473
SUT GOR 6-0 6M04A       ,473
CATH INTRO 8FR 469008   ,473
SPONGE SRGFM 8X12.5X10  ,473
KIT MANIFOLD CUSTOM     ,473
PIN STEINMAN SM/DIA 9/64,474
PIN FX STEIN 3.5MM 9IN A,474
FEM INJ NOZ 180GR CE    ,475
CAUTERY HITMP TIP CRDLS ,475
SUPPLY                  ,475
HNDPC I/A SIL CMPTT  MLN,476
HNDPCE I/A SILICONE STR ,476
GWIRE ORTH 8IN 2.4MM    ,476
KWIRE FX SS ORTH OD2    ,476
CATHETER VNT 8FR LV 08  ,476
BLADE ULT KRLN TIP 1.5MM,477
TUBING INSUFF PLUME AWAY,477
SNARE ROT 195X2.4X13 SM ,478
KIT MINTRDCR REG 5F 40CM,478
KIT MINT 5FR 40CM .018IN,478
SCALPEL 2.8MM CLRCT ANG ,478
SUT SXPD 2-0 MH 24X24CM ,479
SUTURE V-LOC 90ABS 3-0 V,479
ELECTRODE DEFIB 6.5X5IN ,479
SLNG SLNGSHT 2 MED B    ,479
SLNG SLNGSHT 2 LG BR    ,479
CATH HMAT 3W 24F 30CC   ,479
WRENCH TORQUE #2 PCMKR  ,480
NDL SCLEROTHERPY 25GX5  ,480
GWIRE ORTHO 9.25X.062IN ,480
GWIRE SS L7IN O WS-140  ,480
SUTURE POLY ETHB XCL 2-0,480
CABLE PCNG 12FR TRNVNS  ,480
KIT SYNCHROMED REFILL 22,480
GW CNS TFE035 145 15 STR,480
GWIRE ORTH 6IN .062IN   ,480
CANNUYLA OPTH 25GA DISP ,480
TIP 0.3MM PLY I/A BIMANL,480
SEAL 5MM -8MM UNIVERSAL ,480
PLW ABDCT MED SHLDR ENV ,481
CANNULA ARTERIAL PEDIATR,481
SAW LNG 90X25.4X1 REP   ,481
SUTURE PRLN 11-0 CTC-6L ,481
CANNULA ARTERIAL ADULT S,481
CATH VENT PEDIA 13FR LF ,481
CATH DOUBL LMN U.A.C.5FR,482
CATH EXT MENS LIBTY ACUT,483
KNIFE LASREDGE 2.0MMX2.2,484
SUT PRLN 10-0 788G      ,484
DRESSING ANBCTRL 5X4IN  ,484
CTHVNT MLBL DL 17F35X5.5,484
INTRO SHTH TRAW 11F 14CM,485
INTRO SHTH TRAW 14F 14CM,485
DEVICE STRTFX 2-0 30CM  ,485
PORTAL STICK 4MM        ,485
KWIRE ASNS .8X100MM     ,485
BAG ATF REPL            ,485
PUNCH AORTIC PORTER 2.7 ,485
BUTTON CBL 3.5MM CBLRDY ,485
KWIRE FX SS ORTH OD2    ,485
SUTURE 2-0 30CM PDS PLUS,486
CATH ARGYL SRTG 20F 20IN,486
CATH ARGYL SRTG 24F 20IN,486
BLADE NAR THIN 9.00MLX24,486
BLADE STRYK 2108-125-000,486
BLADE SAW SAGTL 19X70X0.,486
"SAG. BLD THIN, SHRT     ",486
APPLICATOR ENDO 318MM 5M,486
TUBE TRCH PED 5.5MM LNG ,486
BLDE SGTL W THK 2108-   ,486
KIT PRSS MNTR TRNDCR 84 ,487
V-LOC 180 ABS 3-0 CL 6 P,487
SYSTEM ATF 19ML 1 WY CK ,487
CANNULA PRFSN 12IN 20FR ,488
SUT SURG L4.375 RSB5    ,489
WASHER STAR EX FIX 6MM  ,489
ELECTRODE DEFIB HRTSTRT ,489
FRCP BX NDL 240CM 2.8MM ,489
CATH LEH 5FR X 100CM    ,489
SUPP MAM W/CUPS SZ2     ,490
SUPP MAM W/CUPS SZ3     ,490
SUPP MAM W/CUPS SZ4     ,490
SUPP MAM W/CUPS SZ5     ,490
POUCH 9.7X6.3 W/ DRAI NA,491
BLADE MICRO OSCIL SAW BL,491
NEEDLE 20GA 1.5IN URO   ,491
KNIFE OPTH 600UM BD ATM ,492
MANIPULATOR EZ GLIDE LF ,493
CATH M 10632302         ,493
GWIRE VASC .032IN 180CM ,493
CANN PRFSN 34-48F 15IN  ,493
RESUSCITATOR NEOTEE TPC ,493
CATH CV OMNI FLUSH 5FX65,493
DEVICE CLSR 3-0 C UNV SP,493
GWIRE AMPTZ .035IN 180CM,493
GUIDEWIRE VASC 300CM .03,493
GW VASC AMPTZXSTF TFE   ,493
GW VSC TFE CTD 180 .3   ,493
GUIDEWIRE INQWIRE SS 035,494
TUBE 14FR SIL RADPQ STRP,494
GDWR VASC 80CM .035IN   ,494
SUT GORTEX CV-6 6K10A   ,496
MANIPULATOR UTRN BLN TIP,497
DRESSING SLVRLN 10X4IN  ,497
DEVICE INTRCRD 22F 33D  ,497
SUT STRTFX PDS+ 4-0 45CM,497
SET SCREW EXFX HXFX     ,498
INTRO SHTH TRAW 12F 14CM,498
GAD MR CONT NOS/ 10ML   ,498
BLADE SAW SM 22.5X38MM  ,498
K WIRE DISP .90MM       ,498
EXTRACTOR VAC PROCUP    ,498
LINE MONITOR ETC02 ADLT ,498
SHTH SPR 6F 25          ,498
PROBE STIM NEURO STRL   ,498
SUT PRLN 9-0 BV100-4 5IN,498
ELCTRD DEFIB PED 4.8X   ,498
BLADE SGTL WIDE THN     ,498
CATH ARTL KIT 1.75IN 20G,499
CATH TRAY LBRSL 16F350ML,499
CATH URTH TEMP SNSR 10FR,499
SUT SPRL PDO 1 CTX 36X36,500
TB CNCTNG URO 14FX30 500,500
CATH LEFT VENT PED      ,500
SUPPORT FACIOPLASTY ELAS,500
SUPPORT ELASTIC FACIOPLA,500
CATH MALLEABLE INFANT LE,500
KIT INJ DIL GLCTGR 30GA ,501
CAP ESCPSL 3-4MM BX PORT,501
SNARE WIDE OVAL PEDS    ,501
FCP RADL JW BX W/O NDL  ,501
TUBE 24FR STR REPL GSTRM,501
TUBE 28FR STR REPL GSTRM,501
TROCAR & SLEEVE SECOND  ,501
KIT CV CARDPLGA DELV 6FT,501
PUNCH AOR LNG HNDL 4MM  ,502
SOL IRRIG SRB 3K ML BG  ,502
PUNCH SHRP CNCL TIP 5MM ,502
BRACE L/S ORTH SUPPORT  ,502
SUTURE EPTFE GRTX CV-0 T,502
KIT MIC INTRO 5F GW 40CM,505
BLD MEGATIP 619         ,505
STRTFX SMTR CT-1 0 45CM ,505
GWIRE APMTZ 035 145     ,505
SUT STRTFX PDS+ 3-0 45CM,505
CATH OCL UVE 6.2F 1.5X26,506
DEV URN M RLFT W/CATH   ,506
GWIRE TRCR DBL 35INX6IN ,506
WIRE KRSH FT/ANK 2X228MM,506
K-WIRE 1.6X260MM USI    ,506
GW ORTH .059IN SS 6IN   ,506
BLADE K99054            ,506
GWIRE ORTHO .045X6      ,506
GWIRE ORTH ACUTRK MINI 6,506
BURR SURG 3MM SS RND BAL,506
SPLINT ORTH SM 2.5-3IN L,506
SPLINT ORTH MED 3-3.5IN ,506
FCP RJ 3LC 160CM NDL 2.2,506
INTRO CATH PTFE UNIV 6FR,506
ADAPTER CMUNC SYS LTD   ,506
GW ACULOC VDR .054X6IN  ,506
BIT DRL 100X2.0 QC      ,508
BIT DRL 110X2.5 QC      ,508
BIT DRL QC125X2.7MM REPR,508
BIT DRL QUICK 310.31    ,508
BIT SURG DRL SS L195MM  ,508
BIT DRL QC110X1.8MM REPR,508
DRILL QC D MRK 140X2MM  ,508
BIT DRL CLBRT 2.8X200MM ,508
BIT DRL QC NS 100X2.7MM ,508
BIT DRL 110X3.5 310.35  ,508
BIT SRG DRL 180X2.5 REPR,508
DRILL BIT 125X2.0MMQC RP,508
INTRO SHTH AVNT 4F 7.5CM,509
SHTH AVNT 5F 5.5        ,509
NEEDLE THNWL 1.5IN 18GA ,509
BLADE SAW GIGLI 12IN    ,509
INTROD SHTH PED 7.5 5.0 ,509
INTRO SHTH AVNT 6F 7.5CM,509
DRESSING TRNS 10X6.8IN 1,510
PUNCH SURG 4MM BX BAHA S,510
STRIPPER VEIN DISP      ,510
RESERVOIR BKFLSH SIL DIS,510
STRATFIX SYMMETR 1 45CM ,510
INTRODUCER CATHETER 12FR,511
GUIDEWIRE 1.6MMX450MM F/,511
CNSTR WND DRN PRVNA 45ML,512
BOOT WALKER EQUALIZER LA,512
NDL BX 11GA 7.8CM TRGD  ,512
SHEATH ONQ TNLR16GAX12  ,512
DRESSING QUICKCLOT 4X4  ,512
BURR CRBDE 6 FLUT 44.5X4,513
WIRE PACING ART LOOP    ,513
SUT STRTFX 2-0 MH 14CM  ,514
ADHESIVE LQ BTL MASITSOL,515
TROCAR BLADELESS B5LT   ,515
SUTURE VLOC 9IN 90 0 CLS,515
SUTURE VLK 3-0 V-20 ABS ,515
BIT DRL QC 3FLT 4X195MM ,516
GW FX COR .015IN 15CM   ,516
BIT DRL 85MM 1.5MM QC WO,516
BIT DRILL 310.288R      ,516
BIT DRL SS 145X4.5MM REP,516
BIT DRILL 315.28R       ,516
FILIFORM URET CDE TIP 3F,516
FILIFORM URET CDE TIP 4F,516
FILIFORM URET CDE TIP 5F,516
FILIFORM URET CDE TIP 6F,516
SUT CHRMC 7-0 1797G     ,517
CATH 2 STAGE 36F/51F 17L,518
SUT SXP76 ETHIBOND      ,518.25
SPLINT ORTH LG 3.5-4IN L,519
SPLINT ORTH LG 3.5-4IN R,519
GW FC PTFE .035IN 150CM ,519
CANN ART PED 16FR 23CM  ,519
BLADE SAG MICRO TPS 25MM,519
ELECTROD ESURG 6.5IN ESA,519
BLADE SAW 80X20X.89MM SG,519
BLADE OSC/SAG MED       ,519
BLADE MICRO 2296033221  ,519
BLADE L35XW9 STRL .64   ,519
BLDE SHRT NAR 15.0      ,519
BLDE MED NAR 18.0X5.5   ,519
SHTH BRTP 6F 11         ,519
BLADE SAW AGG SS L11.5MM,519
CANN BRD TPS ELT        ,519
SHTH BRTP 8F 11         ,519
SHTH BRTP 4F            ,519
SHTH BRTP 5F 11         ,519
SHTH BRTP 7F 11         ,519
CATH PICC 24.50 SILICONE,519
INTRODUCER MNI GW 21GA N,519
TROCAR APPLE EXT LENGTH ,519
BLADE SAG NAR/X.THN/SHRT,519
BLADE SAG WD EX THK 24MM,519
BAND CMPR INFL SHRT 21CM,520
CANNULA OPTH SFTP 23GA  ,520
SUT FBRWR BRD 3-0 18IN  ,520
CATH URTH SCTH 10FR 16IN,520
CONNECTOR PRFSN SAT HCT ,520
SUT 3-0 45CM STRATAFIX  ,520
BURR LINDEMANN 84mm     ,520.25
SHTH FSTCTH 10F 406120  ,522
SHTH FSTCTH 11F 406124  ,522
CATH URTH LBR 18FR FOL 2,522
TRAY PROC CIRC IN       ,522
CUFF TAT OR REG UNIV    ,522
ANCHOR SUT 2 ULBRD 38IN ,523
SUTURE ULBRD 2 38IN CBRA,523
SHEATH LONG NO WIRE 5FR ,523
SHTH PNCLC 7F 25        ,523
PUNCH SURG 4.5MM        ,523
CATH INTRCATH 19GA 12IN ,523
BLADE RECEP 270MM CT EG ,523
SHTH PNCLP 6F 25        ,523
DEVICE DRG DLV EVCL ARLS,523
PUNCH AORTIC PORTER 4.0 ,523
PUNCH AORTIC PORTER 3.5 ,523
SUT SXMD 3-0 FS2 30X30CM,524
DRESSING HYDROCOL 12X8IN,524
CATH PERFUSION PVC ADULT,524
SUT SXPD 4-0 V4 24X24CM ,525
ADPT NAMC OPTN125 .100IN,526
SUT STRTFX PDO 2-0 7CM  ,526
KWIRE 1.6MM 6IN         ,526
SUT EC12 ABSRB EBOND    ,526
STE IRRIG 2 3/4 OSTOMY V,527
SUT CHROMIC 6-0 360997  ,527
DIL CNS TPR 12F 20CM DST,528
DIL CNS TPR 16F 20CM RGD,528
BLADE SAW SS 6X.64MM    ,528
BLADE FUL RAD BEIGE REPR,529
ELBOW STATIC LG PREMIER ,529
TROCAR OPTVW UNV 5X100MM,530
CATH UMBIL PU L15IN     ,530
DEVICE CLSR VIOL 45CM ST,530
PIN STEINMAN 5/32       ,530
CATH TRAY COUDE 14FR    ,530
TRAY CATH COUDE 16FR    ,530
TRAY CATH COUDE 18FR    ,530
SPLINT MULTI-PODUS LG   ,531
FORCEP BIPOLAR 4.5 DISP ,531
TREPHINE 12.0mm DISP    ,531.5
RTNR VSCR SM 8.875X5.62 ,532
ADAPTER DLYS STAY SA 4IN,532
STPLR EWRST CANNUL SEAL ,533
STPLR SHTH 45 EWRST DSP ,533
VALVE HMSTS ADPT HVA-100,533
SHTH PNCLC 8F 25        ,533
CONN ADAPTER URETH      ,533
GUIDEWIRE 2.0MM X450MM P,533
CATH ANGIO 4FX70CM AR1  ,533
LINE MONITOR ETC02 INF  ,533
BRSH ESCP CLN 160CM .5MM,533
INTRO SHTH PLWY 7FR 14CM,533
TOOL PCMKR PNCH ON LEAD ,533
END CAP FOR 6.5 LEAD    ,533
CATH 20FR HG ST XL      ,533
CANNULA 22GA L10CM CRV S,533
WIRE 1.6MMX.065MM       ,533
WIRE FX KRSH 1.6MM 100MM,533
CAP ESCPSL MNPLR 8X8MM  ,533
SLEEVE LD ANCHORING KIT ,533
SUT 2-0 20CM STRATAFIX  ,533
WIRE GUIDE 1.35MM       ,533
SUT SXMD 3-0 SH 20CM    ,534
DEV CLSR STRTFX 2-0 45CM,534
SUT PGA SPRL 0 CT1 45CM ,534
SUT STRFX 3-0 CT-1 45CM ,534
ROD EXFX CFBR 200X8MM   ,534
DEVICE CLSR 2-0 C SPRL  ,534
TROCAR SLEEVE 11/12 X100,534
SUT 2-0 30CM STRATAFIX  ,534
NEEDLE SUT MONO CT1 72CM,535
TUBE NG FD KNGR 10F 43IN,536
SNARE EMR OVL 230X2.8   ,536
PAD DEFIB HRTSTRT25-34CM,536
BLADE SAW LNG MED AGGRES,536
BLADE SAW LNG MED 9X16MM,536
BLADE SAW MED 18.5X6.5  ,536
BURR M/A K-50           ,536
CATH HRT LT VNT ADLT    ,536
BLDE LNG WDE 34.5X16.5  ,536
CATH 16X16F LT HRT VENT ,536
STAPLER SKIN INSORB SQ  ,536.75
CANNULA BLUE 8.5X72MM   ,537
CANNULA GREEN 8.5X72MM  ,537
"SAG BLD SFED WIDE, THN  ",537
BLADE SGTL 73X29X.89MM  ,537
CANN ERCP ENDO STD 5X210,538
SUTURE PLGLU MXN 5-0 CV-,538
SHTH HIFLO KIT BVLV 9F  ,538
FORCEP ALIGTR CUP PD 1.8,538
PROVOX SIL GLU TRACH ATT,538
ABDUCTION BAR CUSTOM    ,538
RADL JW 3 PULM WO NEED  ,538
TREPHINE 6.50MM DISP    ,538
SUTURE EPTFE GORE CV4   ,538
CANN BRST IMAG 90D 12IN ,539
ROD EXFX CFBR 220X8MM   ,539
WASHER EX FIX RINGFIX OR,539
KWIRE ASNS 1.2X100MM    ,539
CANNULA PRFSN 20CM 18 FR,540
GWIRE VASC 260CM FLX TP ,540
BOLT EX FX SDKCK 40MM   ,541
KWIRE FX .062X7.25IN    ,541
GW BIOMTN 1.58X101.6MM  ,541
GW 100MM/1.1 2.5-4 SCR  ,541
KWIRE FX KRSH .6X100MM  ,541
DRSG SGL LYR 4X4IN JMPST,541
BLADE SAW 25X9.4X.6MM SG,541
DRILL BIT TWIST AO SHAFT,541
APPLICATOR FLX TP AM0004,541
ESSNT KIT SCIMED        ,541
EVACUATR BLDR ADPT URVC ,541
SET NEURO HEAT PEN      ,541
WIRE FX 1.6MM 113MM KRSH,541
BLADE SAG 300 16X5.5X55M,541
CATH FOLY 3W LUB 22F 30 ,541
BLADE SGTL 25X9.4X.55MM ,541
DEVICE CLSR VLOC 180 0GR,541
GWRE INFS KTZN COR 145  ,541
CANN ASC AR-1802D       ,541
CATH INFIN .038 5F 100CM,541
SUT 2-0 15CM STRATAFIX  ,541
SUT 2-0 45CM STRATFIX   ,541
DEV CLSR STRFX 4-0 20CM ,542
DEV CLSR STRFX 3-0 20CM ,542
SUT TCRN 5-0 CV337 36IN ,542
TRAY CATH FOL URMTR 16FR,542
BRACE WLK LG PNEUM BT 1 ,542
BRACE WLK MED PNEUM BT  ,542
AIRCAST MOON BOOT SMALL ,542
KIT CELLSAVER TBG ANCOAG,542
GUIDEWIRE ORTH 150X1.4MM,543
KIT SIMPULSE IRRIGATOR/S,543
BLADE SRG L15.8MM OD7.25,543.75
BLADE SRG L15.8MM OD7.75,543.75
DEVICE INFLATION ENCOR 2,543.75
SUT 4-0 30CM STRATAFIX  ,544
TROC KII SLV Z 100X12   ,545
OTHTC L-XTRM WST BELT WB,545
CATH SIMP. 5568570724   ,545
CTH SET CK FLO PERFORMNC,545
CANN PRFSN VNS 20FR 14IN,546
ACCU SNARE POLY NDL TIP ,546
CANN PRFSN 14IN 31FR VNS,546
FELT CV PLDGT PTFE 2X2IN,547
BLADE SAW 73X18.5X1.24MM,547
TROC KII SHLD Z 100X11  ,547
TROC KII SHLD AFX 100X12,547
GW ZPWR 035 150 STR BX5 ,547
AGENT HMSTC PRTCL 10ML  ,549
INTRODUCER/SHEATH 5FR LO,549
DEVICE CLSR DPJT EZ PRP ,549
BLADE OPTH TRPHN 7.5MM  ,550
INTRO SHTH 6FR CKFL     ,550
GD PIN IMHS 3.2 X353    ,550
ELECTROD ELECSURG 15MMX1,551
CATH FOLEY 3W 20F 30CC  ,551
CATH CV PICC SIL 2FR    ,552
TUBE 44MM 5MM UNCUF OBT ,552
SUT PRLN 8-0 8730H      ,553
CABLE PCNG LEAD TST DISP,554
ST TANDM RESERV Y ADPTR ,554
SUT STRTFX 4-0 FS2 30CM ,555
ENDO SUTR/ASSIST/SW122  ,555
SUT GORTEX CV7          ,555
SUT PRLN 8-0 BV130-5    ,555
TROCAR 1ST ENTRY 150X5  ,556
TROCAR 1ST ENTRY 100X5  ,556
BOW LOGAN LIP TRACTION  ,556
SUT 3-0 30CM STRATAFIX  ,556
PHILADELPHIA COLLAR EXT ,556
SNARE PLPCTM OVL 2.4X13 ,557
TRANSDCR PRS MNTR TRIFUR,557
INTRO HEMOSTASIS 14FRX12,557
TUBING PRFSN 72X3/8X3/32,557
SUT 3-0 20CM STRATAFIX  ,558
SET INCS FSCA 18GA 5CM  ,559
NEEDLE KYPHPL 6IN 11GA  ,560
CATH ANGIO PGTL 3FR 50CM,560
CATH PGTL 6-SDPRT 7X100 ,560
CANN PRFSN 12IN 20FR ART,560
CANN ART PRF 12X3/8IN20F,560
CANN ART PRF 12X3/8IN12F,560
CANN PRFSN ADLT 3/8 CONN,560
SHTH PNCLC 9F 25        ,560
INTRODUCER SHTH 10FR 2.5,560
INTROD PINN 11FR X 25CM ,560
PATCH DRUG DEL A939650  ,560
EVACUATOR SMK AU RVR NPT,560
GUIDE PIN NITINOL 3.4MM ,560
CANN PRFSN ADLT 15X36FR ,560
CANN PRFSN ADLT 38.1X34F,560
CANN PRFSN OD34FR DLP   ,560
CANN PRFSN VNS 15IN 36FR,560
CATH PIGTAIL ADLT 5 X100,560
SGL STG VNS CANN ST     ,560
APPLICATR FBRJT 20GA 2IN,560
TIP APL SPRY FBRJT DPLTP,560
PLUG SCLR AU SLVR 19GA  ,560
DRSNG NADH 8X12         ,561
TUBE TRACH SGL CANN 9   ,561
TUBE TRACH SGL CANN 8   ,561
SHTH CTH 035 L6C        ,561
BOOT CAST TCC-EZ LG     ,562
DEV INFS GLCTGR UN 31GA ,563
SUT NASRB AR-7229-20    ,563
CATH CV ACC 7FR 21      ,563
CANN VNS RTN 18F 90D    ,565
CANN VNS RTN 20F 90D    ,565
CANN VNS RTN 22F 90D    ,565
CANN VNS RTN OPN TIP    ,565
CANN THFLX VR OL90 28   ,565
CATH 24FR HG ST XL      ,565
BAR EXT FX CON SM       ,565
RESERVOIR DRN LN LCK PLE,565
INTRODUCER CATH SHEATH S,565
DRAIN ABRAMSON SUMP     ,566
BLADE SAG NARROW THK 90X,566
SUT M8709 6/0 PROLENE   ,566
GLDWR .032 46-128       ,568
BURR M/A K-22           ,568
DILATOR 12FR SCALPEL 10 ,568
IRRIGTR LAV HNDPC SHWR  ,568
CATH URET 10-12F 60MM   ,568
KWR FX ORTH 2PT 4X.85   ,569
CTH URET LSR            ,569
DRESSING ARGLAES 6X10   ,570
CANNULA PERFUSION 16F AR,570
TUBE TRCH NEO 3.0       ,570
TUBE TRACH 3.5 NEONTL   ,570
TUBE TRCH NEONATAL 4.0  ,570
ROD EXFIX SS L200 THRD  ,571
TUBNG PED LO-RECIRCL VOL,571
ROD EX FIX THRD ILZ 40MM,571
BAG DRN SFT BELT 300ML  ,571
SET EXT HIFLO F/WRM SYST,571
BLADE SRG L15.8MM OD8.25,571.25
BLADE SRG L15.8MM OD7.5M,571.25
BANANA PEEL SHEATH 9X30 ,571.25
ATCH ESCP RND SFT 4X12.4,572
ATCH ESCP SGL 4X15.7MM  ,572
PIN STNMN BYNT 1E 9X7/64,572
PIN STMN SS 3.2X22.9    ,572
SUT QUILL SRS 2 HLF CIRC,572
CATHETER FOLEY LBRSL TMP,572
GW QFX .054 TROC 1.35MM ,573
GUIDEWIRE ARTHSCP .86MM ,573
GWIRE ORTH SURG .045IN  ,573
GWIRE 2.4MM ARTHX       ,573
GAS KIT UNIVERSAL       ,573
KNIFE MIC BLD 2.0 KARL M,573
GWIRE ST ARTH .062IN    ,573
TOOL SURG OFST SZ ANCLRY,573
GWIRE ORTH .094IN TROC  ,573
GDWIRE VASC .035IN 180CM,574
SUTURE STRATAFX CT1 45CM,574
FORCEP SPEC RETRVL L230C,575
GDWIRE VAS RDRUN F07914 ,575
GW NMBL RDRN 035 180 ANG,575
PROBE TEMP MYOCARDIAL   ,575
SYS IRR ENDOFLO STRL    ,575
SUT SXMD 2-0 MH 36X36CM ,576
KWIRE FX ORTH .062X150  ,576
PIN GD ORTH 2303.2MM    ,576
PIN GD THRD 152X2.4MM   ,577
CTHTHRMB FGRTY 7F 80    ,577
CATH PRSMNTR INTUTR SNSR,577
MICROCLIP TIT HEMOSTATIC,577.5
BLADE RECP TAPER 22.5mm ,578
BLADE RECP LONG 33.5mm C,578
SET ADM PRNTNL 4 PRNG   ,578
BRC ADD ABV KNE LWR EXTR,578
PIN GUIDE ORTH 230X3.2MM,579
KIT MINTRDCR SMTH 40CM  ,580
INTRO MIC 7280V REG 4F  ,580
SHTH HIFLO KT HC BVLV 9F,580
DVCE STRATA PDS CT1     ,580
BLADE SAW SAGITTAL NARW ,581
BLADE HD 25X47.6X.64MM S,581
BLDE SGTL SAW STRYK     ,581
BLADE SHVR AGRS 4MM     ,581
CATH CNTS NDL 5F 15 19  ,581
BLADTHICK WDE EXLNG     ,581
SUTURE ETH 11-0 BV50-3  ,581
CANN PRFSN 3/8IN 28F VNS,581
CANN ORFSB 3/8IN 30F VNS,581
CANNULA SGL STG CNS 32F ,581
DVC STRFX VIOSH 2-0 30CM,582
SUT VLOC 90 ABS CL 3-0  ,582
OTHTC L-XTRM AD LMT MTN ,582
TUBE TRCH PED 4.5       ,582
SUT D8950 PDS 5/0 RB-1  ,582.5
BUR ROUND 6.0mm S       ,583
BURR ROUND              ,583
SUTURE EPTFE GRTX CV-5 T,583
WIRE TAK FPS .045X6IN   ,584
TUBE GSTRM STR REPL 18FR,584
SUTURE V-LOC 90ABS 2-0 V,584
V-LOC 180 3-0 CL 18 P-24,584
V-LOC 180 3-0 CL 18 P-12,584
HANDLE SURG KNF CLRCT AN,584
CATH PIG MB2 5FR/70CM 6S,584
DILATOR W/SHEATH AM 30FR,584
LGHT PIPE FOR RETR      ,585
11FR 14CM PEEL AWAY INTR,585
15FR 14CM PEEL AWAY INTR,585
SUTURE STRFX 0 30CM SPRL,585
GUIDEWIRE VASC 40CM 4FR ,585
SUT FBRWR 4-0 T12 18IN  ,586
GW ORTH 6IN.035IN ACTRK2,586
HOOK RET NEURO DURA.5IN ,586
SUTURE PE POLY FBRWR 2 3,586
PIN DSTRCTN NEURO 12MM  ,586
PIN DSTRCTN NEURO 14MM  ,586
PIN 16MM DSTRCT         ,586
BURR M/A K-48           ,586
TRAY PROC W/9FREN       ,586
INTRO CATH HEMO 8.5-5F  ,586
SUTURE AR-7248          ,586
SUTURE FIBRWRE 4-0 REVCT,586
TROCAR LAPSCP 100MM 12MM,586
ELCTRD 12X1CM 3/32IN 1CM,587
TRAY CATH KIT 14FR COUDE,587
SUT GORE TEX CV-6       ,588
SUTURE FIBERWIRE AR-7251,588
SYSTEM DRN PVC THOR 2 CH,589
SEAL ENDOSCP SHTH 4-5   ,589
CLIP REG INT UCLP 25MM  ,589
TREPHINE 8.25MM DISP    ,589
TREPHINE 8.50MM DISP    ,589
TR LIVER BIOP #SK1016A  ,589
TROCAR 5mm 355L         ,589.75
BOOT CAST MDKST SZ XLARG,590
FORCEP BIOP 2MMX115CM CH,590
DLYZER HMDIAL EFF F3    ,591
CATHETER URDY 7FR FULL L,591
INTRODUCER EPI W/GW 10FR,591
TUBE TRCH PED 3.5       ,591
TUBE TRCH PED 4.0       ,591
DIALYZER HMDIAL LO VOL D,591
ROD SUPPLEMENTAL 300 MM ,591.75
INTRO PLWY 12FR. 405    ,592
SET ADM 3 PRNG CASS INTG,592
SUTURE 2-0 30CM PDS PLUS,593
VALVE HEMOSTATIC ROTAT  ,593
STYLET LD TPR .014IN    ,593
STYLET LD .014IN KIT XTN,593
STYLET LD .016IN KIT STR,593
STYLET LD XTND .016IN   ,593
STYLET LD .016IN KIT XTN,593
STYLET LD 58X.014 BTP BL,593
STYLET LD .014IN KIT STR,593
STYLET LD BLNT .014IN 65,593
TUBING IRRIG 250070540  ,593
PIN DSTRCT CSPR 1 14MM  ,593
PIN DSTRCT CSPR 1       ,593
PERC ENTRY TRAY 9FR     ,593
PILLOW ABDUCTION MED    ,593
CATH URTHRL 8FR W/TEMP S,593
STYLET LD 75CM .016IN KI,593
STYLET LEAD 52CM 6054-52,593
STYLET LD 85CM .016IN KI,593
STYLET LD 110CM .014IN K,593
STYLET LD 110CM .016IN K,593
STYLT LD KT52CM.014INSTR,593
STYLET PCNG LEAD 6052-53,593
STYLT LD KT58CM.014INSTR,593
STYLET LEAD KIT 75 CM   ,593
STYLET LD 85CM .014IN KI,593
STYLET LD 65CM .014IN KI,593
STYLET LD 52 .016IN KT B,593
STYL LD 110CM .014IN KIT,593
STYL LD 75CM .014IN KIT ,593
STYLET LD 85X.014 KT GRY,593
STYL LD 75CM .016IN KIT ,593
STYLET INTBT 85CM PUR   ,593
KIT STYLET PCMKR        ,593
KIT STYLET 6254-85      ,593
STYL LD 58CM .014IN JTP ,593
STYLET STR GRY 58CM     ,593
STYL LD 45CM .016IN KIT ,593
STYL LD 53CM .014IN KIT ,593
CATH CLMP INCNT SFT ADJ ,594
BRACE LEG 80/20 RT ADLT ,594
PNCH AOR LNG HNDL       ,594
SUT MERS 5MM RS20       ,594
TRAY BNE MRW W/DISP 4   ,594
CTHTHRMB FGRTY 3F 40    ,594
DRESSING MPLX AG 10X15CM,594
